-0.0022267+0.00012065i,-0.0009728-0.00016228i,-0.0021749+0.00070219i,-0.002087+0.00086356i,-0.0010155+0.00049106i,-0.00028112+0.00024838i,-0.00032654+0.00051957i,-0.00085674+0.00072242i,-0.00082068+0.00054191i,-0.00072724+0.00041705i,-0.00072316+0.00050764i,-0.00069189+0.00055753i,-5.0278e-05+0.00068776i,0.00034874+0.0011315i,-0.0002834+0.00071008i,-0.0003747+0.00085556i,-0.00022284+0.00071416i,-0.00013215+6.4918e-05i,-0.00063185-0.00065644i,-0.00032442-0.00042447i,0.00033817-0.00032559i,0.00028027-0.00025141i,8.0319e-06+0.00034527i
-0.0022166+0.0012319i,-0.0020551+0.0011374i,-0.0013328+0.0015161i,0.00075095+0.0016951i,0.0018385+0.00082313i,0.0020561-0.00066314i,0.0015458-0.0012335i,0.0003083-0.00090844i,-0.00046041+0.00010789i,-0.00021852+0.00014938i,1.221e-05+0.00047225i,-0.00032478+0.0016869i,-0.00032877+0.0022079i,-0.00034488+0.0017076i,-0.00049074+0.0011469i,-0.00035261+0.0013589i,-0.00041957+0.0013988i,-0.0001402+0.0014054i,0.00051459+0.0011832i,0.00060258+0.0010915i,-0.00034229+0.0013037i,-0.00076249+0.0014322i,-0.00051286+0.0016954i
-0.00072587-0.0022401i,-0.00078492-0.0020622i,-0.00062177-0.0012484i,-2.1408e-05-0.0016637i,0.00019791-0.0010877i,0.0005329+0.00043719i,0.0010985+9.8765e-05i,0.00056132-0.00052769i,3.0198e-05+0.00029033i,0.00018317+0.00092432i,-9.0576e-07+0.0014174i,-0.0012365+0.0012125i,-0.00069363+0.00010372i,0.00040158-0.00024893i,-0.00024077+0.00020886i,-0.00080952+0.00056193i,-0.0004418+0.00074733i,8.9062e-05+0.00082968i,-0.00057021+0.0009292i,-0.0012237+0.00054949i,-0.0008385+0.00021055i,-0.0010954+0.00053219i,-0.00089218+0.0012351i
-0.0020558-0.0017654i,-0.001617-0.0019163i,-0.0024129-0.00095119i,-0.002382+0.00047268i,-0.0010026+0.0014634i,-0.00047538+0.0011508i,-0.00017051-4.6603e-05i,-9.3984e-05-0.0010403i,-0.00013652-0.00027592i,-0.00037369+0.00069102i,-0.00060841+0.00063664i,-0.00083459+0.00087561i,-0.00047097+0.00096646i,0.0006941+0.0012747i,0.00053466+0.00098609i,-0.00038073+0.00030656i,-0.0010928-0.00012501i,-0.0009978+0.00028309i,-1.35e-05+0.00068582i,0.00034347+8.6735e-05i,0.00011266-7.9103e-05i,0.00049566+0.0001832i,0.0011552+0.00042496i
-0.000914+0.0005394i,-0.001198+0.00028771i,-5.8618e-05+0.00033463i,0.00046921+0.00033782i,0.00084853-0.00029711i,0.00060344-0.0006939i,0.00013816-0.0011385i,-0.00015979-0.0010458i,-0.00039376-0.00030616i,-0.00048774-4.3314e-05i,-0.00059525+0.0003249i,-0.00068059+0.00072954i,-0.00083423+8.1011e-05i,-0.00026575-0.00029905i,0.00064269-0.00041292i,0.00078973-0.00084658i,-8.8646e-05-0.00037036i,-0.00048522-0.00018415i,-1.0583e-05-1.2662e-05i,-0.00041498+7.6748e-05i,-0.0010425-0.00029348i,-0.00087674+0.00010405i,-0.00046468+0.0007035i
-0.00011997+0.0039207i,0.0001643+0.0038563i,0.0023307+0.0036697i,0.0030695+0.0019878i,0.0025107+1.6887e-05i,0.0025325-0.00095342i,0.0021926-0.00098835i,0.0011616-0.00083547i,0.00026692-0.00040048i,-0.00077608+0.00035067i,-0.0005834+0.00050371i,-0.00011414+0.0011296i,7.3814e-05+0.0014023i,0.00043149+0.00054193i,-5.7054e-05-0.00028852i,-0.00059906-0.00088856i,-0.0009458-0.00092594i,-0.00080976-0.00071832i,-0.00049173-0.00044451i,-0.0011122-0.00017349i,-0.00177+3.8004e-05i,-0.0014663+6.1791e-05i,-0.00082817+0.00039859i
-0.0024932-0.00025224i,-0.0018138+0.00037624i,-0.0022501+0.00051626i,-0.001573+0.0003769i,-0.00066149+0.00094874i,-0.00010351+0.00066878i,1.2449e-05-8.811e-05i,-0.00019534-7.9065e-05i,-0.00036867-4.466e-05i,-0.00085821+2.8098e-06i,-0.0012127+0.00097426i,-0.00056546+0.0016908i,0.00028024+0.0022512i,0.00029468+0.0018939i,9.5596e-05+0.00095541i,-5.3294e-05+0.0003634i,-0.00040399+0.00039828i,-0.00024725+0.0012215i,8.7192e-05+0.00092958i,-0.00039806-0.00026843i,-0.00078046-0.0014239i,-0.00020222-0.0010272i,0.00033738+0.00021645i
0.0018763+0.00012735i,0.002292+0.00068942i,0.002989+0.0011742i,0.0026541-0.00015128i,0.0025751-0.0001645i,0.0029451+0.00044888i,0.002116-0.00071235i,0.00080895-0.00097278i,-0.00049356-0.00046438i,-0.0012135-0.0004049i,-0.00070932-0.00017202i,2.7109e-05+0.000481i,-0.00018424+0.00095121i,-0.00054574+0.00050972i,-1.3746e-05-8.2494e-05i,0.00027148+8.7208e-05i,-0.00028993+2.8098e-06i,-0.00014295+0.00027209i,0.00037167+0.00080799i,0.00035336+0.0012262i,-0.00035376+0.0012465i,-0.00083813+0.00084302i,-0.00018727-3.1223e-05i
0.0012613-0.00028486i,0.0010586-0.0013035i,0.00078637-0.0032536i,3.0134e-05-0.0035728i,-6.7755e-05-0.0022218i,0.00023032-0.0013712i,0.00038723-0.0009553i,-8.9849e-05-0.00087917i,-0.00063779-0.0008452i,-0.00086462-0.00053923i,-0.00026033+0.0002537i,0.00079161+0.0009713i,0.00010036+0.0013183i,-0.00068603+0.0016043i,-0.00083281+0.00094513i,-0.00096533+0.0010428i,-0.00051961+0.0014436i,-8.6256e-05+0.00067934i,-0.00070158-0.00026745i,-0.0010468-0.00026944i,-0.0011749+0.00043057i,-0.0013639+0.00062346i,-0.00097952+0.00051404i
-0.0016969-0.0013836i,-0.0017649-0.0011106i,-0.0024092-0.001028i,-0.0016198+0.00015135i,-0.00048741+0.0015073i,0.00074585+0.0010159i,0.0013202+0.0001104i,0.00089799+0.00018692i,0.00021137+0.000659i,-0.00071682+0.00078148i,-0.00070736+0.0010521i,-0.00065081+0.0016064i,-0.00013327+0.0018651i,0.00026007+0.0015387i,6.138e-06+0.001526i,0.0001877+0.0020685i,0.00076349+0.0015782i,0.00047273+2.7674e-05i,-3.0903e-05-0.00066837i,-0.0004253-0.0010572i,-0.00031952-0.0011502i,5.0352e-05-0.00087164i,2.7093e-05-0.00020237i
-0.0012442+0.00096503i,-0.0014323+0.0030844i,-0.00071159+0.0023772i,-0.00023099+0.0010737i,0.0010905-6.5811e-06i,0.0020681-0.00035238i,0.0015603-0.00046564i,0.00077188-0.0012499i,3.171e-05-0.00098459i,-0.00076403-0.00021843i,-0.00085449+0.00056798i,-1.3237e-05+0.0012335i,0.00091231+0.0014088i,0.00098873+0.00016904i,-0.00041227-0.00035921i,-0.0011168+0.00060026i,-0.0004367-9.0096e-05i,-0.00032234-0.0007179i,-0.00040923-0.00010365i,5.8109e-05+0.0004448i,5.9276e-05-7.4248e-07i,-0.00059932+0.00052201i,-0.00082687+0.00090864i
-0.00052925-0.001372i,-0.0010488-0.002762i,6.4028e-05-0.0036943i,0.0010189-0.0026244i,0.0014078-0.00073266i,0.0018675-0.00010972i,0.0017637-0.001363i,0.00067563-0.0027483i,-0.00076292-0.0026305i,-0.0011215-0.0016539i,-0.00069432-2.0389e-06i,-0.00047151+0.001258i,-0.00063545+0.0012177i,-0.0005389+0.00026355i,0.00040283+0.00010655i,0.0014098+0.00063449i,0.00085646+0.00061086i,5.4419e-05+0.00068581i,-0.00024126+0.00039338i,-0.00059122+0.00032225i,-0.00069553+0.001208i,-0.00057343+0.0013031i,-0.00014076+0.0011164i
0.0012635-0.0015274i,0.0019246-0.0017592i,0.0016128-0.0027764i,-0.00061265-0.0024492i,-0.0018423-0.0014489i,-0.00079721-0.00033001i,0.0005219-0.00042714i,0.00068314-0.0015184i,-0.00012779-0.0012858i,-0.00037593-0.00079705i,-9.6383e-05+0.0004034i,-0.0004836+0.0012679i,-0.00052547+0.00016955i,0.000213-0.00024828i,0.00050698-9.356e-05i,-0.00017198-0.00047819i,-0.00051487+4.2959e-05i,0.00038778+0.00031705i,0.00079707-0.00022387i,-0.00071662-0.0011488i,-0.0013267-0.0011121i,-0.00044004-0.00047983i,-0.00036189+5.1188e-05i
0.00081186+0.00097501i,-0.00056574+0.00030882i,-0.0013424+0.00022341i,-0.00092745+0.00084394i,2.1741e-05+0.00088145i,0.00039252-0.00014635i,-0.00012819-0.00064878i,-7.5245e-05-0.00055782i,-0.00076073-0.00030534i,-0.0016493+9.1501e-05i,-0.0011911+0.00045486i,-0.001278+0.0011133i,-0.00095047+0.00046056i,0.00010027+0.00021325i,-0.00044174-0.00023567i,-0.0012509-0.0014037i,-0.0012525-0.0011432i,-0.00027275-0.00087836i,0.0005547-0.00027507i,0.00035194-2.0125e-05i,0.000284-0.00020409i,0.00041757-0.00023932i,0.00044163-0.00027587i
-0.000436+0.00068738i,0.00048841-0.00011715i,0.00079402+0.00015678i,0.0009623+0.0009536i,0.00092787+0.00033523i,0.00085701-0.00062179i,0.00091359-0.000414i,0.00044517-0.00082744i,-0.00050894-0.00071174i,-0.0010335+0.00019241i,-0.0010205+0.00082256i,-0.00041487+0.0013875i,-0.00014799+0.0015932i,-7.4081e-05+0.00096503i,-0.00060877-0.00011359i,-0.0014544-0.00019487i,-0.00056045+0.00031578i,-4.8655e-05+0.00047332i,-0.00029877+0.00063521i,0.00027349+0.00015699i,-7.529e-05-0.00046277i,9.2145e-05+7.0456e-05i,0.00048527+0.00097418i
0.00348-0.001416i,0.0028818-0.0011958i,0.002545-0.0021355i,0.0021874-0.0020007i,0.0017527-0.0010274i,0.0010788-4.83e-06i,0.00053489-0.00032868i,0.00039808-0.0010227i,0.00060602-0.00029342i,0.00069365+0.00073518i,-0.0004464+0.0015188i,-0.0019808+0.0012962i,-0.0018004+0.00031166i,1.2036e-05-0.00041059i,0.0011235-0.00016987i,0.00098809+0.00041678i,0.00061795+0.00076145i,2.6805e-05+0.00076744i,-0.00090269+0.00037029i,-0.00084424+0.00044203i,-0.00082622-0.00029795i,-0.001221-0.00094952i,-0.00055554+4.6147e-05i
-0.00067187+0.0017121i,-0.0007197+0.0017676i,-0.00072847+0.0010404i,-8.4831e-05+0.00066859i,0.00021349+0.0003737i,6.9929e-06-7.4653e-05i,-0.00018235-0.0012662i,-0.00048303-0.0018581i,-0.0014563-0.00078545i,-0.0013775+2.0477e-05i,-0.00098942+0.00024328i,-0.0012076+0.00070576i,-0.00091287+0.00096989i,-0.00028793+0.00060342i,0.00032138-0.00011363i,0.00030318+0.00095111i,0.00017598+0.0014474i,0.00067338+0.00034443i,0.00062437-0.00047255i,0.00069741-0.00095344i,0.00053615-0.00086026i,0.00048263-0.00052321i,0.00053591-0.00047973i
0.0026987-0.0021043i,0.0023858-0.0017765i,0.0033681-0.0027114i,0.0025114-0.0027701i,0.00090249-0.0018821i,-1.2191e-05-0.0016286i,-7.6244e-05-0.00090213i,7.8971e-05-0.00027357i,-0.00032239-0.00065426i,-0.00057931-0.00029732i,-0.0009869+0.00093769i,-0.0014627+0.0013703i,-0.0010036+0.0011162i,-0.0004118+9.4744e-05i,-0.00030775-2.07e-05i,-0.00043293+0.00035006i,-0.00036246+0.00026625i,-0.00030657+0.00065534i,-5.0398e-05+0.00056881i,0.0002764-0.00012946i,-2.7953e-05-0.00031028i,-0.00029794+0.00018207i,7.0678e-05+0.00022309i
0.0033179-0.00054632i,0.0029027-0.0014631i,0.0027547-0.0020427i,0.0017039-0.0011258i,0.00037893-0.00041587i,0.00041091-5.7814e-05i,0.00024467-0.00020089i,0.00030397-0.000561i,3.7556e-05+0.00012305i,-0.0010213+0.00068226i,-0.0014361+0.0011822i,-0.0015377+0.0019329i,-0.0012406+0.0022804i,-0.00076064+0.0011761i,-0.00087124-0.00031635i,-0.00075621-0.00072161i,-0.00020734-0.00030565i,-3.9267e-05-0.00013757i,-0.00038642+5.522e-05i,-0.0012563-0.00034654i,-0.0012572-0.0013145i,-0.00079212-0.0011929i,-0.00057152-0.00017489i
-0.00024958-0.0019671i,-0.00054989-0.00099084i,-0.0013623-0.001125i,-0.0010336-0.00084822i,-0.00013356+0.00058399i,0.00066973+0.00034308i,0.0015675-3.7553e-05i,0.0013083-0.000376i,0.00072384-0.00068266i,-3.6847e-05+0.00017195i,-0.00092621+0.0011677i,-0.0011259+0.0014891i,-0.00068289+0.0011998i,-0.00049172+0.0010077i,-0.0002286+0.00012123i,0.00039373-0.00036318i,0.00065187+0.00046014i,0.00062611+0.00040169i,0.00027095-0.00054469i,0.00049354-0.0011117i,0.00048268-0.00094245i,0.00054511-0.00015285i,0.00059471+0.00066893i
0.0013677-0.00013836i,0.0013512-0.00046474i,0.001316-0.0011984i,0.0014105-0.00099733i,0.0015169-0.0011219i,0.0015285-0.002073i,0.00078855-0.0022424i,-9.7487e-05-0.0012975i,-0.0007784-0.00080355i,-0.0012348-0.00077305i,-0.00086802-0.00031842i,-0.00017555+0.00056107i,0.00078853+0.0015088i,0.00073082+0.001965i,-0.00043657+0.0018757i,-0.00051665+0.0015837i,4.2154e-05+0.0016683i,-7.1839e-05+0.0013838i,0.00012554+0.00074712i,0.00065766+0.00083542i,0.00071803+0.0012623i,-6.2767e-05+0.0010986i,-7.2291e-05+0.0010323i
0.0018681-0.0023249i,0.0022345-0.0026468i,0.0010749-0.0030427i,0.00030228-0.0020969i,-2.5044e-05-0.0014766i,-8.862e-05-0.00034314i,0.00087349+0.00071363i,0.0011211+0.00030471i,0.00019155-0.00092813i,-0.00046132-0.0013951i,-0.00029374-0.00076182i,-0.0010978-0.00086055i,-0.0018768-0.00073212i,-0.0022629+0.00042867i,-0.0023204+0.00068006i,-0.0021271-0.00038742i,-0.0019472-0.0015365i,-0.0012507-0.0015125i,-0.0011626-0.00035933i,-0.0020732+0.00028631i,-0.001769+0.00053222i,-0.0014064+0.00086355i,-0.00069402+0.00086079i
0.0013175+0.0024979i,0.00079808+0.0023081i,0.00042922+0.0027325i,0.00089026+0.0015642i,0.00063013+0.00093292i,-7.4952e-05+0.00094076i,0.00018435+0.00046278i,0.00059524-0.00027689i,-6.478e-05+0.00017545i,-0.00065636+0.00082446i,-0.0014367-3.267e-05i,-0.0017922-0.00027494i,-0.00097892+0.00048605i,-0.0004897+0.00061166i,-0.00087138-0.00036018i,-9.5335e-05-0.0013673i,0.00063942-0.00068668i,0.00012684-0.0001707i,-0.00080218-0.0010567i,-0.0010739-0.0020901i,-0.00066325-0.0022849i,-1.5e-05-0.0015624i,0.00047884-0.00020371i
-0.00092278-0.0021437i,-0.00054475-0.003389i,-0.001536-0.0033661i,-0.0022395-0.0019066i,-0.00079439-0.0010431i,0.00033637-0.00099188i,0.0001349-0.0017666i,-0.00067808-0.0020798i,-0.0013338-0.0012826i,-0.0016959-0.00020467i,-0.0018168+0.00038507i,-0.0017511+0.00055335i,-0.0016867+0.0010351i,-0.00088431+0.0010847i,0.00060219+0.00082416i,0.0013397+0.0014073i,0.00060973+0.0014856i,0.00033291+0.001134i,0.0011688+0.0015544i,0.0011304+0.0018437i,3.8097e-05+0.0013927i,-0.00033268+0.00091213i,0.00014618+0.000775i
0.0021817-0.0014125i,0.0032009-0.00094309i,0.0035755-4.9139e-05i,0.0028243+0.00016017i,0.0018095+0.00087711i,0.0012775+0.0011587i,0.0014692+0.00033306i,0.00086026-0.00031505i,-0.00010531-0.00097288i,-0.00084115-0.00047956i,-0.00088694+0.00074015i,-0.00081246+0.0022807i,-0.00063333+0.0028845i,-0.00044054+0.0019401i,-0.00094372+0.0012778i,-0.0011805+0.0014666i,-0.00095433+0.0011355i,-0.0012881+0.0010213i,-0.0016268+0.0015208i,-0.0014977+0.0015548i,-0.001482+0.0017526i,-0.0016248+0.001265i,-0.00083556+0.00015268i
-0.0012843+0.00083984i,-0.00072041+0.00061413i,-0.0011299+0.00073979i,-0.0015848+0.0011992i,-0.00086633+0.00034303i,0.00026011-0.00043318i,0.00076634-0.00099179i,0.00045902-0.0010496i,-0.0002704-0.00098923i,-0.00087438-0.00031956i,-0.00095233+0.00094261i,-0.00017679+0.0014759i,0.00031852+0.00088396i,-0.0003832+0.00038554i,-0.0012982-0.00065699i,-0.0012954-0.0015797i,-0.00036342-0.00098775i,-1.1199e-05-0.00042376i,-0.0013453-0.00026839i,-0.0019834-0.00080179i,-0.0015827-0.0014493i,-0.0014365-0.00090222i,-0.00029883-0.00029657i
0.004456+0.00061183i,0.0041635+0.00066067i,0.004498+0.00057965i,0.0033975-0.00023062i,0.0011874-0.0012408i,2.3752e-05-0.001326i,0.00055178-0.00091399i,0.00056844-0.0010903i,0.00014538-0.0011283i,-2.1623e-05-0.00088742i,-0.00082126+0.00014087i,-0.00089659+0.0016208i,0.00011501+0.0018592i,0.0010143+0.0004269i,0.0016324-0.0010351i,0.0018052-0.00047248i,0.0014479-0.00014943i,0.00084359-0.00045171i,0.00051314-3.2001e-05i,0.0007194-0.00053037i,0.0014262-0.00047377i,0.0010238+0.0002814i,0.00014101+0.0002966i
0.0041549-2.407e-05i,0.0042871-0.0002739i,0.0049457-0.0014003i,0.0038-0.00061079i,0.0019524+8.9022e-05i,0.0013005+0.00056435i,0.0021771+0.00025298i,0.0021863-0.00060158i,0.0011314-0.00091654i,-0.00064356-0.00066637i,-0.0021218-9.7432e-05i,-0.0017167+0.00014454i,-0.00035213+0.00026128i,0.00076321+0.00070971i,0.00096976+0.0012427i,0.00072991+0.0015106i,0.00090665+0.0014049i,0.00065166+0.0013631i,0.00029881+0.001827i,-0.000257+0.0019428i,-0.00065873+0.0011006i,-0.00092649+0.00057121i,-0.00093238+0.00042155i
0.0015138-0.0009768i,0.00089186-0.0017576i,4.4148e-05-0.0026648i,-0.00078095-0.0018714i,-0.00086522-0.00055494i,-0.00022479+6.3859e-05i,0.00036783-0.00012455i,0.00072459-0.00022798i,0.001005+0.00030663i,0.0001058+0.00067724i,-0.00095724+0.00075543i,-0.0010565+0.00016257i,-0.0012134+6.4333e-05i,-0.002478+0.0010177i,-0.0031766+0.0013434i,-0.003324+0.00064233i,-0.0034638+0.00048806i,-0.0024919+0.0010181i,-0.0014085+0.00093513i,-0.0011807-8.3082e-05i,-0.0012083-0.00068974i,-0.00043716-0.00036286i,-0.00047236+0.00029128i
-0.00059605-0.0023306i,-0.0015853-0.0017614i,-0.0031718+0.00013408i,-0.002731+5.5161e-06i,-0.00097396-0.00054962i,0.00069929-0.0013368i,0.00092223-0.0024658i,1.1186e-05-0.0023293i,-0.0009512-0.0010683i,-0.0013356-0.0010244i,-0.0011283-0.00080747i,-0.0013674+0.00029426i,-0.001188+0.00078392i,-0.00036287+0.00074459i,-0.0011254+2.7222e-05i,-0.0014405-0.0014316i,-0.00070529-0.0026713i,-0.00014788-0.0026565i,0.00045567-0.0026394i,0.00067133-0.0022151i,0.00077379-0.0014024i,0.0010854-0.00057565i,0.00075872+0.00075715i
-0.0022843+0.0014645i,-0.0018899+0.0017522i,-0.0005362+0.0011153i,0.0010191+0.00096169i,0.00080337+0.0019803i,0.00012474+0.0013082i,0.00051731-0.00037076i,0.00036668-0.0013441i,-0.00015269-0.00086467i,-0.00051638+0.00021316i,-0.0013973+0.00070132i,-0.0020588+0.0008655i,-0.0015103+0.0013647i,-0.00022145+0.0010751i,0.0012091+0.0002631i,0.0019292+0.0010426i,0.0015794+0.0016107i,0.00092884+0.00084054i,0.00033894+0.00056312i,0.00030703+0.00097657i,0.00042711+0.00074994i,-0.00063053+0.00028485i,-0.0011004-2.4043e-05i
0.003628+0.0010866i,0.0026102+0.00072486i,0.003009-0.00015194i,0.0027484-0.00024737i,0.0018999+0.00010777i,0.0018261+0.00081045i,0.0017324+0.0010012i,0.0014454+0.0004196i,0.0011169-0.00053857i,-0.0002973-0.0012664i,-0.0015452-0.00078063i,-0.0012519+0.0004948i,-0.00045753+0.00107i,6.3131e-05+0.001505i,0.00014413+0.0026065i,-0.00017747+0.0028626i,-0.00019484+0.0020431i,-0.00021893+0.0015574i,-0.00096541+0.001065i,-0.0014034+0.00075232i,-0.00082709-0.00038753i,-0.00066661-0.0010308i,-0.00099563-0.00056932i
-0.00071439-0.0028081i,-0.00028681-0.0033318i,-0.0015108-0.0034883i,-0.0026037-0.0027436i,-0.0025687-0.00087806i,-0.0013731-0.0007057i,-0.00046115-0.0017702i,-0.0007993-0.0016641i,-0.0014549-0.0011714i,-0.0016999-0.00055491i,-0.0018899+0.00087951i,-0.0016938+0.0018589i,-0.0014587+0.0017535i,-0.0025075+0.00084765i,-0.0030364-0.00065926i,-0.0025417-0.0008i,-0.0021673-0.00044028i,-0.0016797-0.0003259i,-0.0012574-0.00025838i,-0.00084413-0.0006696i,-0.00099563-0.00068695i,-0.00081314-0.00026015i,-0.00010353+0.00050749i
-0.0030561+0.0017006i,-0.00096717+0.0024487i,-0.00060341+0.0041348i,0.00027017+0.0029984i,0.002147+0.0015795i,0.0029571-7.3819e-05i,0.0017638-0.0011256i,0.00029902-0.001272i,-0.0011491-0.00022554i,-0.0015681+0.0015345i,-0.0010645+0.0023654i,-0.00087597+0.0021837i,9.984e-05+0.001064i,0.0011598+0.00028261i,0.0011729-0.00038328i,0.0013013-0.0012988i,0.0012523-0.0014318i,0.00082781-0.0011053i,0.00082364-0.0011227i,0.0004135-0.00043754i,-0.00079614+0.00070169i,-0.00094948+0.0015211i,-0.00095438+0.0014821i
3.3263e-05+0.00098741i,-0.00057872+0.0011476i,-0.0014877+0.0019556i,-0.00066579+0.0015478i,-0.00010716+2.3586e-05i,-6.1541e-06-0.00019274i,0.00062916+0.00045807i,0.00080118+0.00033623i,0.00081465-0.00022025i,0.00068324-0.00032424i,0.00031438-0.00046626i,-9.7103e-05+0.00025292i,-0.00067436+0.0007112i,8.7095e-05+0.00031716i,0.00093959+0.00070633i,0.0013252+0.0016294i,0.0026208+0.0011073i,0.002176+7.3345e-05i,0.00053046-0.00021933i,-0.00048784-0.00044035i,-0.00068852-0.00050411i,-0.00061712+0.00024938i,-0.00043336+0.0011222i
0.002414-0.0032136i,0.0020994-0.0031251i,0.0019115-0.0023359i,0.0012165-0.0015094i,0.00060553-0.0007829i,0.00058539+0.00017538i,0.00032828+0.00073173i,-1.4939e-05+0.00019217i,-0.00011884-0.000655i,-0.0012106-0.00070084i,-0.0016596-0.00044739i,-0.00067544+0.00025896i,-0.00016596-0.0002106i,-0.00061471-0.00017664i,-0.0016424+0.0016028i,-0.0027282+0.0022i,-0.0023994+0.0017853i,-0.0014722+0.0013536i,-0.00052958+0.00020755i,0.0004492-0.00105i,0.00041118-0.0010031i,1.4335e-05-0.00043538i,-0.00032483-0.00013251i
-0.0013967-0.0023884i,-0.0003418-0.001553i,-0.00044182-0.0014243i,-0.0007023-0.00093378i,-0.00064387+0.00020797i,0.00037807+0.00020981i,0.0011776-0.0012967i,0.00088119-0.0021026i,-0.00020493-0.0011791i,-0.00069256-0.00082845i,-0.00052358-0.00013534i,-0.00076753+0.00087028i,-0.0010282+9.0461e-05i,-0.0011373-0.0011568i,-0.0011187-0.002002i,-0.0019345-0.0025144i,-0.0025957-0.0020603i,-0.0013211-0.0012414i,-5.2038e-05-0.00063562i,2.716e-05+0.00016907i,-4.2141e-05+0.00066091i,0.0001501+0.00075439i,-0.00045054+0.00057654i
-0.00048336-0.00038812i,-0.0010323-0.00012015i,-0.0012236-0.00033295i,-0.00018515-0.00023488i,0.00088508+0.00037506i,0.0013976+0.0009254i,0.0013576-0.00015166i,0.0012695-0.0015127i,0.00014395-0.0016886i,-0.00084712-0.00066464i,-0.00078898-0.00010516i,-0.0011639+0.00017913i,-0.0016822+0.00062823i,-0.00081661+1.9087e-05i,0.00068218-0.001402i,0.001272-0.0011583i,0.0010995-0.0007365i,0.00050803-0.0015984i,-6.0064e-05-0.001268i,-0.00072159-0.00010719i,-0.001098-4.9516e-05i,-0.00089404-0.00038626i,-0.00035245-0.00080732i
-0.0001821-0.0037893i,0.00061878-0.0046415i,-0.00012862-0.0038089i,-0.0020437-0.0015661i,-0.0014506-0.00010007i,0.00090639+0.0012225i,0.0005687+0.0016844i,7.8703e-05+0.00026973i,-0.00016504-0.00043262i,-0.0014863-0.00048778i,-0.0022451+0.00047066i,-0.0024193+0.0014682i,-0.0019567+0.0016273i,-0.00091454+0.0017784i,0.00027098+0.0021084i,0.00099614+0.0027928i,0.0012656+0.0025173i,0.0016734+0.00066928i,0.0013883-0.00055543i,0.0002767-0.00074948i,-0.00030338-0.00079257i,-0.00064779-0.00061971i,-9.2788e-05-8.0636e-08i
-0.0010039+0.0027169i,-0.0017809+0.0040584i,-0.00092677+0.0039341i,0.00034598+0.003035i,0.0007678+0.0018123i,0.00096421+8.8447e-05i,0.00083781-0.0011844i,0.00082881-0.0012681i,0.00029268-0.00084601i,-0.00024831-0.00049911i,-0.00031444+0.00049957i,-0.001109+0.0021582i,-0.0018609+0.0027837i,-0.0019447+0.0027427i,-0.0023511+0.0021395i,-0.0023672+0.00096156i,-0.0016953+0.00043705i,-0.00076338+0.00069804i,0.00038372+0.0016651i,0.00059995+0.0011551i,0.00036661+0.00064507i,0.00048031+0.0014975i,1.9243e-05+0.0015763i
-0.0001865-0.00085911i,-0.00071383-9.3728e-05i,-0.0017314-0.00021897i,-0.00056683-0.00044293i,0.00053917-0.0010801i,0.0006131-0.0023036i,0.00057066-0.002389i,0.00016487-0.0027131i,-0.00079075-0.0026818i,-0.0015104-0.0014324i,-0.00075672-5.4751e-05i,0.00064812+0.0011264i,0.00052707+0.0012927i,-7.4501e-05-0.00016951i,-0.00016962-0.0017474i,-6.4818e-05-0.0030834i,-0.0006151-0.0034305i,-0.00064341-0.0022371i,-4.8656e-05-6.7288e-05i,-4.3239e-05+0.00068614i,-0.00020642+0.00046289i,-0.00017218+0.00077494i,-0.00024726+0.00048233i
-0.0011928-0.00074734i,-0.00092678-0.001772i,-0.0011731-0.0020406i,-0.00095554-0.0010646i,0.00046242+5.0335e-05i,0.0010947+0.0015556i,0.00069785+0.0013731i,0.00059866-7.247e-05i,0.00028591+0.00014454i,0.0001924+0.0010323i,0.00050969+0.0012665i,0.00027811+0.001532i,0.00057796+0.0015544i,0.0013942+0.0016717i,0.002485+0.0017297i,0.0028331+0.0002416i,0.0021919-0.00067857i,0.001241-0.00080846i,0.00021324-0.0012549i,-0.00014424-0.0015296i,-0.00044886-0.0011587i,0.00021427-0.00035777i,0.00056535+0.00059839i
-0.0047166+0.00050569i,-0.0043056-8.6595e-05i,-0.0047391+0.00072979i,-0.0031182+0.0016688i,-0.0006269+0.001797i,0.00048855+0.00097367i,0.00059937-0.0001893i,-0.00046828-0.00010248i,-0.0018976+0.00044841i,-0.0018344+0.0009i,-0.001507+0.0019777i,-0.0014471+0.0026545i,-0.00066691+0.002074i,0.00061006+0.0019231i,0.00087528+0.003235i,0.00027834+0.0039186i,9.0094e-05+0.0033138i,0.00024497+0.0017922i,0.00055691+2.899e-05i,0.00036687-0.00087294i,-2.5112e-05-0.0011572i,-0.00047836-0.00047553i,-0.00050124+0.00060309i
-0.0018991-0.00098548i,-0.0029344-0.00048065i,-0.0046382-0.00050606i,-0.0041105-2.4681e-05i,-0.0023503+0.00112i,-0.00055044+0.00057492i,0.0015543-0.0008852i,0.0013131-0.001477i,-0.00054519-0.0017858i,-0.0015064-0.0018724i,-0.0019972-0.0013378i,-0.0025568-0.00076725i,-0.0019334-0.00062309i,-0.0021514-0.0011891i,-0.0032888-0.001943i,-0.0035887-0.002141i,-0.0032526-0.00096116i,-0.002331+0.001097i,-0.00090524+0.0019584i,9.8448e-05+0.001619i,0.00056209+0.00067558i,0.00054713+5.1146e-05i,-0.00023104+0.00021283i
