-0.00087406-0.00025407i,-0.0020792-0.00023802i,-0.0032252+0.00078926i,-0.00305+0.0014502i,-0.0027262+0.00087922i,-0.002171+0.00087516i,-0.0014934+0.0021528i,-0.00041693+0.0031401i,0.0012841+0.0023918i,0.0024233+0.00080225i,0.0024406+0.00030514i,0.0019287+0.00070405i,0.00088151+0.00064348i,-0.00042071+0.00023353i,-0.00073075+0.00011312i,-0.00030527+1.3683e-05i,-0.00051816-9.15e-05i,-0.00056949-0.00027137i,-9.5781e-05-0.00055134i,0.00028982-0.00019362i,5.541e-05-3.8869e-05i,-0.00082302+0.00020787i,-0.00096378+0.00046973i
-0.00037816-0.00042169i,-0.00062206-0.00065604i,-0.00041654-0.00071265i,0.00017614-0.00073646i,-0.00044248-0.00041234i,-0.001269+0.00021974i,-0.0013433-0.00042484i,-0.00021057+2.0257e-05i,0.00031204+0.00089479i,-0.00041261+0.0014506i,-0.0003276+0.0026947i,0.0002834+0.0037243i,2.4573e-05+0.0034943i,-0.0011476+0.0022827i,-0.0025431+0.002113i,-0.0028335+0.0032069i,-0.002015+0.0035992i,-0.0013464+0.0025394i,-0.00092212+0.000421i,-0.00014982-9.319e-05i,0.00060195-0.00016082i,0.0012095-0.00098263i,0.00096418-0.00062071i
0.0024454-0.0023572i,0.0015933-0.0018065i,0.0013526-0.0017439i,0.00061546-0.0011281i,-0.00015212-0.00043403i,0.00077299-0.00053998i,0.0015611-0.00075757i,0.0012801+0.00047525i,0.0011244+0.002121i,0.00061059+0.0024447i,-1.1042e-05+0.0032281i,0.0005249+0.0036812i,0.00061428+0.0018465i,0.00011787-0.00035742i,-0.00080763-0.0014698i,-0.0029871-0.0010317i,-0.0039342-0.00093094i,-0.0024915-0.0011054i,-0.0014178-0.00082567i,-0.0015369-0.00019678i,-0.0010435-0.00045635i,8.4783e-05-0.0013007i,0.001119-0.00072367i
-0.00021346-0.0012986i,0.00074996-0.00015429i,0.00065415+0.0004358i,1.7616e-05+0.00027555i,-0.0012797-0.00043938i,-0.0017272-0.0011357i,-0.001658-0.0006484i,-0.0015483+0.00081304i,-0.0008419+0.0018159i,0.00026458+0.0024256i,0.0012504+0.0029505i,0.0019761+0.0024061i,0.0019748+0.0013442i,0.0015271-0.00049361i,0.00199-0.0024547i,0.001634-0.0037832i,0.00070112-0.0043937i,4.1752e-05-0.003798i,0.00046435-0.0023992i,0.0011679-0.0011052i,0.0009562+4.1181e-05i,0.00063443-0.0002192i,0.00014207-0.00082025i
-0.0019667-0.0023461i,-0.0020235-0.0015335i,-0.0022273-0.00037397i,-0.0017983+0.0010689i,-0.0017996+0.0013527i,-0.0012134-2.3421e-05i,-0.0012391-0.0012768i,-0.0020082-0.0014432i,-0.0015377-0.00015805i,-0.00013529+0.00069622i,0.0012404+0.00054915i,0.0018464+0.00020147i,0.001937-5.258e-05i,0.0014796+0.0005017i,0.0016822+0.00015025i,0.002824-0.0021889i,0.0033772-0.0029699i,0.0024507-0.0020345i,0.00098581-0.0012994i,0.0011396-0.0012237i,0.0010853-0.00098099i,5.4505e-05-0.00040084i,-0.00037279-0.00042838i
0.0009829+0.00088296i,0.00033139+0.00045195i,0.00021968-0.00066206i,0.00016779-0.00087297i,-0.0011429-0.00045373i,-0.0016077-9.8558e-05i,-0.0016481+0.00025162i,-0.0017665+0.00035398i,-0.00097223+0.00097002i,-0.00053969+0.0011764i,0.00018901+0.00023278i,0.0011027+0.0001007i,0.00086099+0.00085577i,0.00020688+0.0016314i,0.00065525+0.0018154i,0.001646+0.0017363i,0.0019108+0.0014257i,0.0013056+0.00063716i,0.00062926+0.0012735i,0.00018203+0.0019698i,-0.00031559+0.00075507i,-0.0004012-0.00093278i,-0.00060736-0.0015272i
0.00049723+0.0013906i,-0.0002605+0.0018486i,-0.00069476+0.0014676i,-0.00027422+0.00036249i,0.00039413-0.00023288i,0.00065728-0.00087029i,0.00048745-0.0014169i,0.00042716-0.00081518i,0.00058857+0.00039373i,0.00061619+0.00030457i,-0.00023329-0.00013868i,-0.000766-2.4252e-05i,-0.00090795+0.00044795i,-0.001374+0.00067824i,-0.0017883+0.00095033i,-0.00074278+0.0030946i,0.00026582+0.0048186i,-0.0007183+0.0036623i,-0.0019009+0.0019535i,-0.0016041+0.0011734i,-0.00039199+0.001118i,0.00084264+0.00095685i,0.0005029+0.0004452i
0.0015727-0.00076805i,0.0019895-0.00098838i,0.0012507-0.00076943i,0.0005391-0.00049678i,0.00037531-0.00093062i,-0.00077696-0.0012734i,-0.0014172-0.00057063i,-0.00082378+0.0016251i,-0.00016269+0.0024038i,-0.00028044+0.0022267i,-0.0013101+0.0025847i,-0.00093947+0.0035001i,0.00049974+0.0036372i,-0.0004468+0.0017682i,-0.0024611+0.00016136i,-0.0031991+0.00084294i,-0.0033412+0.0013602i,-0.0027105+0.0010731i,-0.0013408+0.00076888i,0.0001218+0.0010732i,0.00078277+0.00143i,0.00087184+0.00090309i,0.00090928+3.5222e-05i
0.00041566-0.0016652i,0.00050641-0.001091i,0.00096344-0.00097319i,0.0003131-0.0018234i,-6.1205e-05-0.0012486i,-0.00045461+0.0011286i,-0.0011541+0.0021673i,-0.0018724+0.0018066i,-0.0013949+0.0019783i,7.1416e-05+0.0024025i,0.00047503+0.0033389i,0.00068188+0.0026852i,0.0018334+0.0011976i,0.0020635+0.00032703i,0.00082986-0.00083125i,-0.00043277-0.0020892i,-0.0010577-0.0021583i,-0.00148-0.001423i,-0.001491-0.0013097i,-0.0010814-0.001367i,-0.00084248-0.00052701i,9.3186e-05+0.00043066i,0.00060722+0.0001894i
0.00076028+0.0013733i,0.00020955+0.0022508i,-0.00013832+0.0026347i,0.00045382+0.0021028i,-0.00030325+0.0014323i,-0.0015538+0.00036245i,-0.0020954-0.00051446i,-0.0018918+0.00027931i,-0.00040675+0.0025351i,0.0012448+0.0038918i,0.0026085+0.0031378i,0.0037163+0.0010673i,0.0037201-3.8504e-05i,0.003035-0.00012078i,0.0027722-0.0010724i,0.0023249-0.0034836i,0.0016874-0.0044223i,0.00082414-0.0033098i,3.8224e-06-0.0020136i,-0.00035987-0.0011448i,-0.0010903-0.0007523i,-0.00078201-0.00038232i,0.00084832+0.0004196i
-0.00075994+0.0016443i,-1.0387e-05+0.0018186i,0.00011052+0.00048926i,0.00019011-0.00028128i,0.0004297-0.0016846i,-0.00012104-0.0032663i,-0.00095089-0.0025395i,-0.00062452-0.0013822i,0.00036046-0.00021854i,0.0020895+0.0012653i,0.0030837+0.0013948i,0.002507+0.00056573i,0.0015215-5.6814e-06i,0.0018464-0.00037995i,0.0024377-2.8397e-05i,0.0028801+7.0901e-05i,0.0035095-0.00091263i,0.002514-0.0011762i,0.00096259-0.00070657i,0.00021226-0.0009027i,0.00045002-0.0011997i,0.00088418-0.00089201i,0.00072984-0.00060955i
0.0034393+0.0012179i,0.0041567+0.0010597i,0.0049241-0.00023937i,0.0031003-0.00084152i,0.0010841-0.00098164i,0.0011701-0.0016447i,0.00094572-0.0009208i,0.00045519+0.00071339i,9.6804e-05+0.0013756i,-0.00045945+0.001217i,-0.00024516+0.0010541i,-0.00029167+0.00050786i,-0.00045886+0.00015944i,-0.0016984-0.00019722i,-0.0022646+0.00055094i,-0.00064117+0.0012189i,0.0013367+0.0011821i,0.0022321+0.0012987i,0.0015531+0.0012291i,0.0012344+0.0012791i,0.0014455+0.0012048i,0.00070457+0.0014148i,-7.968e-05+0.00093375i
-0.0010246-0.0008469i,-0.0017063-0.00058552i,-0.0019258+9.7202e-05i,-0.0012767+0.00090303i,-0.0013521+0.00067809i,-0.002007+0.00013965i,-0.0018774+0.00072956i,-0.00098168+0.0014132i,-0.00077119+0.0020895i,-0.0010317+0.0017966i,-0.0012325+0.00071245i,-0.0011491+0.0015887i,-0.0010529+0.0017287i,-0.0018772+0.00035861i,-0.0027817+0.00067284i,-0.0026015+0.0018967i,-0.00081821+0.0032319i,-0.0005822+0.0030837i,-0.0011797+0.0023836i,-0.00086182+0.0022502i,-0.00028043+0.0020597i,0.00064427+0.0010011i,0.0012799+0.00027626i
-0.00057365+0.0005164i,-0.00037561-0.00020814i,6.1919e-05+0.00037326i,0.0008003+0.00024709i,0.00046248-0.00035115i,-0.00083862-0.00042929i,-0.0018381-7.7049e-05i,-0.0024413+0.0014164i,-0.0023449+0.0032447i,-0.0010063+0.0034062i,0.00019902+0.0030863i,0.00060773+0.0032566i,0.001079+0.0026865i,0.0014435+0.0011704i,0.00059327-0.00021354i,-0.00069002+3.7282e-05i,-0.0017985+0.00050782i,-0.0021409+0.00096062i,-0.0023969+0.0012175i,-0.0025296+0.00066651i,-0.0025156+7.5633e-05i,-0.0016307-1.3448e-05i,-0.00040503+0.00036312i
-0.00060272-0.0010079i,-0.00049509-0.00046206i,-6.1344e-05-0.00060794i,9.774e-05-0.0013131i,-2.6731e-05-0.0013382i,-4.6784e-05-0.00093722i,-0.00046905-0.001058i,-0.00085155-0.0010625i,-0.000684+0.00035678i,-4.5174e-05+0.0026541i,0.00099082+0.0039632i,0.0030407+0.0034875i,0.0039741+0.0026747i,0.0035894+0.0018048i,0.003242-3.073e-05i,0.0014982-0.0018031i,-0.00086543-0.0025664i,-0.001899-0.0024667i,-0.0011132-0.0018225i,-0.00066451-0.0014975i,-0.00073889-0.0016413i,-0.00055689-0.0018522i,-0.00012479-0.0010432i
-0.00047083-0.0003199i,-7.9661e-05-0.00071797i,-0.00026021-0.00033356i,-6.5699e-05+0.00017631i,-0.00046789-0.00057605i,-0.00083723-0.0010602i,-0.00050756-0.0021898i,-0.00078321-0.001888i,-0.0002997+0.00020136i,0.0012356+0.0019251i,0.0026178+0.0031572i,0.0028464+0.0028505i,0.0015097+0.0013828i,0.00081489+0.00065204i,0.00077582-5.3023e-05i,0.00060339-0.0020721i,0.00043398-0.0038697i,-6.0073e-05-0.0038351i,-0.00039789-0.0030084i,0.00023359-0.0021662i,0.00082929-0.0018446i,0.00081823-0.0020507i,0.00058204-0.0014951i
-0.0011179-0.0025619i,-0.0015332-0.0024992i,-0.0024433-0.001477i,-0.0013536+0.00023193i,0.00030014+0.00088397i,0.001175+0.0010183i,0.0016214+0.0012902i,0.00086696+0.0014492i,0.00032306+0.0019962i,0.0010683+0.0027336i,0.0019566+0.0019522i,0.0017819+0.00012881i,0.0013676-0.00010807i,0.00082957+0.00010816i,-4.1603e-05-0.00042172i,0.00018331-0.00054392i,0.0016823-0.00083028i,0.0023181-0.0015625i,0.0014828-0.0010854i,0.0012812+0.00036949i,0.00156+0.0012609i,0.0012289+0.001184i,0.0002112+0.00034415i
0.00057386+0.00118i,0.00041923+0.00059381i,-3.0605e-05+0.00021376i,-0.0004909+0.00093084i,-0.00069838+0.0020426i,-0.00080502+0.0022387i,-0.0020586+0.00080263i,-0.0025399+3.1437e-05i,-0.0018764+0.0008801i,-0.0017814+0.00095267i,-0.0014847+0.00054314i,-0.0012614-0.00036903i,-0.0011733-0.00056206i,-0.00055888-0.00079064i,-0.00058027-0.00016026i,0.00037837+0.0015154i,0.0021063+0.0019186i,0.0019697+0.0018268i,0.001007+0.0019442i,0.0010818+0.0016533i,0.001246+0.00099685i,0.00090284+0.00061398i,0.00053397+0.00015851i
0.00252+0.0025147i,0.0019346+0.0021397i,0.0019479+0.001231i,0.00096152-0.0011644i,-0.00015404-0.0022247i,-0.0014766-0.0021788i,-0.0029174-0.0012026i,-0.0033292-0.00010424i,-0.0025753-7.0179e-05i,-0.0014408-0.00064184i,-0.00081707-0.00098113i,0.0001651-0.00041538i,0.00070982+0.00068138i,-0.00027135+0.00058467i,-0.0014323+0.00059641i,-0.00064182+0.0016753i,0.00086815+0.0029946i,0.0011981+0.0037452i,0.00043726+0.0031075i,-0.00063301+0.0020839i,-0.0011646+0.0010394i,-0.001164+0.00041388i,-0.00066391+0.00043422i
-0.0020162-0.0013819i,-0.0022232-0.0011357i,-0.0025663-0.0005418i,-0.0018877-0.00029067i,-0.0012351-0.00080583i,-0.00046148-0.0017381i,-0.0012459-0.0021378i,-0.0024349-0.0013121i,-0.0023695+7.5183e-05i,-0.0011332+0.0012233i,0.0011321+0.0033026i,0.0022794+0.0042246i,0.0015923+0.0030853i,0.00058705+0.0025164i,0.00045888+0.0021535i,0.00011587+0.0011496i,-0.0012918+0.00089131i,-0.0031673+0.0019094i,-0.0030774+0.0021994i,-0.0016432+0.00095513i,-0.0013614-0.00025794i,-0.0012371-0.00057267i,-0.00068626+6.2707e-05i
0.0018376-0.0012922i,0.0023803-0.0011203i,0.0019762-0.0015932i,0.0018584-0.0018406i,0.0023855-0.0015129i,0.0018614-0.0010474i,0.00017123-0.00044194i,-0.00022244-0.00016448i,0.00036308+0.0012743i,0.0014594+0.0038269i,0.002886+0.005465i,0.0038115+0.0049313i,0.0031531+0.0031397i,0.0016738+0.0012889i,0.0013821+0.00028222i,0.00079592-0.00095351i,-0.00077906-0.0028581i,-0.0019334-0.0026211i,-0.001704-0.0013298i,-0.00091786-0.0016817i,-0.00049934-0.0021665i,-0.00039752-0.0012003i,-0.0011543-0.00018277i
-0.0016212+0.003118i,-0.0014652+0.0035412i,-0.00052853+0.0035571i,0.00054204+0.0027013i,0.0010565+0.0020828i,0.00043974+0.0020686i,-0.00068099+0.0016006i,-0.00083167+0.0016632i,0.00068909+0.0028318i,0.0020469+0.0039981i,0.0019638+0.0030699i,0.0018974+0.0013416i,0.0025484+5.8492e-05i,0.0025169-0.0014281i,0.0021043-0.0021331i,0.0016692-0.0025005i,0.00040527-0.0032852i,-0.00058817-0.0032135i,-0.00070493-0.0024071i,0.00019969-0.0016217i,0.0012056-0.0011342i,0.00099974-0.0011493i,0.00061613-0.0016998i
-0.0034865-9.2918e-05i,-0.0036361+0.001277i,-0.0041011+0.0020336i,-0.0027937+0.0034086i,-0.0019041+0.0034013i,-0.0026862+0.0011527i,-0.0031167-0.00042318i,-0.0024488+0.0010078i,-0.0010966+0.0019552i,0.0011402+0.0014025i,0.0016119+0.00048917i,0.00040063-0.00074269i,0.00013209-0.00054274i,0.00070938-0.00052337i,0.00082093-0.00079845i,0.0010476-0.00098533i,0.0020345-0.00056859i,0.0024615-0.00079448i,0.001787-0.00093716i,0.0010459+0.00014002i,0.00071824+0.00079984i,0.00035599+0.00022806i,-0.00032912-0.00053811i
-0.0002489+0.00018633i,0.0011194-0.00019345i,0.0013375+0.00049224i,0.00020462-0.00016965i,-0.0012386-0.0011308i,-0.0013584-0.0028236i,-0.00099345-0.0032431i,-0.0013834-0.0010023i,-0.0015065+0.00047253i,-0.000634-0.00094153i,0.00012585-0.002042i,-0.00017928-0.00098511i,-8.1565e-05+0.00063104i,0.00037321+0.00088461i,-0.00042256+0.0010972i,-0.00078536+0.0017782i,0.00097975+0.0015942i,0.0025624+0.0011911i,0.0017346+0.0011767i,0.00016817+0.0019468i,-0.00014893+0.0020783i,0.00030305+0.0012613i,0.00038895+0.00096694i
0.00014884-0.00016088i,0.00030745+0.00026951i,4.5423e-06+0.0011233i,-0.00049443+0.0006016i,-0.00028778-0.0015833i,0.0009034-0.0023739i,0.0011428-0.0013444i,-0.0003089-0.00050994i,-0.0010355-0.0006152i,-0.00084765+2.9809e-05i,-0.0006931+0.0018912i,-0.00092258+0.0036908i,-0.00099169+0.004174i,-0.00079347+0.002897i,-0.0012108+0.0019406i,-0.0016323+0.0028845i,-0.0012267+0.0032469i,-0.0011475+0.0031201i,-0.0010428+0.002543i,-0.00076112+0.0012564i,-0.00083848+0.00067179i,-0.00083202+4.6188e-05i,-0.00026455-0.0011252i
-0.00030151+0.0018972i,-0.00047135+0.0010642i,0.00063695-0.00034274i,0.0021586-0.0012194i,0.0021144+0.0007819i,0.0019883+0.0025366i,0.0016256+0.002214i,0.00075402+0.0015214i,0.0009562+0.0013999i,0.0017189+0.0029395i,0.0019216+0.0052101i,0.0022089+0.0048042i,0.0024972+0.0023337i,0.0020399+0.0012693i,0.00082848+0.00091911i,-0.00026705-1.9835e-05i,-0.0019644-0.0003077i,-0.0029066+0.00085483i,-0.0016428+0.0012638i,-8.1984e-05+0.0004419i,0.0001261-0.00056207i,0.0005705-0.00033784i,0.0010121+2.6715e-05i
-0.0017218-0.00088785i,-0.001696+0.00021905i,-0.001962+0.0010991i,-0.0013136+0.0007334i,-0.0010766+0.0017154i,-0.0023602+0.0027762i,-0.0037797+0.0012706i,-0.0028105+0.00084496i,-0.00081347+0.0018997i,0.00010955+0.0035481i,0.001661+0.0045746i,0.0026975+0.0032153i,0.0024324+0.00099444i,0.0022775-0.00011747i,0.002087-0.0011135i,0.0013304-0.0026893i,-0.0010689-0.0031316i,-0.0034978-0.0021141i,-0.0037322-0.0011843i,-0.002067-0.00083344i,-9.9449e-05-0.00087317i,8.8045e-05-0.0011513i,-0.00059201-0.00098126i
0.0016062+0.00021376i,0.001946+0.00077203i,0.0016725+0.00093941i,0.00035794+0.0014845i,-0.0015363+0.0013191i,-0.0028956-0.0010807i,-0.0021956-0.0020409i,-0.001451-0.00010335i,-0.00087578+0.0026006i,0.00030095+0.0030731i,0.001908+0.0012764i,0.0027469+0.00054971i,0.0021338+0.00056797i,0.0016222-0.0001373i,0.0014566-0.00080787i,0.00062435-0.0021021i,5.6013e-05-0.003217i,-0.00029903-0.0031621i,-0.00059128-0.0021217i,-0.00035451-0.00089913i,-0.00015797+0.00011514i,-3.1906e-05+0.00014344i,0.00040791-0.00051915i
0.0010754+0.0020269i,0.00052631+0.0021726i,0.00041538+0.0010294i,-0.00035147-0.0010276i,-0.00090002-0.0034372i,-0.00025629-0.0051502i,-0.0004027-0.0040474i,-0.0010376-0.00072166i,-0.0010131+0.0012633i,-0.00018616+0.00049182i,0.00015789-0.00070794i,-0.00034825-0.00065405i,9.8033e-05+0.00032183i,0.00047729+0.00071863i,-0.00037226+0.00012189i,0.0001053-0.00032585i,0.002271-0.0011035i,0.0036587-0.0023428i,0.0025385-0.0021271i,0.0011526-0.00073974i,0.0013814-0.00073591i,0.0011533-0.00075342i,0.00060902-0.00039739i
-0.0015487-3.3296e-05i,-0.0022466+2.8118e-05i,-0.0011634-0.00081815i,0.00088309-0.0020496i,0.003386-0.0023263i,0.0051747-0.00074426i,0.003148+0.00065611i,0.00031574+1.8121e-05i,-0.00035907-0.0009282i,-0.0010744-0.00081375i,-0.0017781-0.00072918i,-0.001485+0.0007393i,-0.00052517+0.0023658i,-0.00050207+0.0011157i,-0.0015003+0.0001787i,-0.00091821+0.00078282i,0.0011292+0.0012456i,0.0025457+0.00055853i,0.001775+0.00058837i,0.00014886+0.00038279i,0.00014214-9.358e-05i,0.00070521-0.00015849i,0.0013402+4.1122e-05i
0.0022313+0.00021533i,0.002655+0.00041474i,0.0020843-0.0010267i,0.0012431-0.00045379i,0.0014357+0.0025829i,-0.00028367+0.003775i,-0.0020954+0.0025877i,-0.0014404+0.0010967i,-0.00036814+0.0011649i,0.00020951+0.0014881i,-3.5856e-05+0.0023607i,-0.00026031+0.0030837i,0.0010067+0.0016151i,0.0011388+0.00049775i,2.8988e-05+0.0010756i,-9.0798e-05+0.0012835i,0.00017977+0.0015368i,0.00031867+0.0027217i,0.001231+0.0025625i,0.0018762+0.0015427i,0.00077789+0.00084653i,-0.00016311+0.00073187i,0.00057429+0.00073791i
0.001917+0.00073398i,0.00051905-0.00060202i,0.00070907+0.00014002i,0.00021126+0.0015688i,-0.0028871+0.0022153i,-0.0064784+0.0013908i,-0.0072222-0.00071454i,-0.0043772-0.00057319i,-0.0010907+0.00069835i,-7.7091e-06+0.0033145i,0.00094286+0.0057428i,0.0023008+0.0045337i,0.0027155+0.0017493i,0.0023766+0.00055936i,0.0025301+0.0006172i,0.0021888+8.2056e-05i,-0.00027879+8.2315e-05i,-0.0019651+0.0015554i,-0.0016074+0.0015671i,-0.0011236+0.00035873i,-0.0012336-0.00061489i,-0.0014317-0.00071268i,-0.0014645-7.8732e-05i
0.00016521+0.00034849i,-0.00036481+3.1827e-05i,-0.00016974+0.00041813i,-0.0010647-0.00090933i,-0.0024796-0.003838i,-0.0027896-0.0064626i,-0.0018954-0.0055682i,-0.0012975-0.0021634i,-0.00084138+0.0025864i,0.00029962+0.0061167i,0.0016843+0.0057099i,0.0026361+0.0037669i,0.0017167+0.0025061i,0.00060821+0.0014544i,0.00095803-0.00026097i,0.00044762-0.0012496i,-0.0012856-0.0011338i,-0.0026954-0.0007142i,-0.0022197-0.00023455i,-0.00069382-0.00056487i,-0.00038974-0.00084656i,-0.00076613-0.00095897i,-0.00078561-0.00091022i
-0.00088939+0.0010628i,-0.00045946+0.0015017i,-0.00065729+0.00035152i,-0.00043031-0.0022215i,0.0018269-0.0048663i,0.0043143-0.0056841i,0.0037311-0.0032083i,0.0010276+7.8616e-05i,-0.00014676+0.0021905i,0.0012016+0.0027497i,0.0030187+0.002769i,0.0027155+0.0024717i,0.0013848+0.0014535i,0.00068797+0.00021103i,0.00017716-0.0010911i,-0.00043149-0.0016633i,-0.0010325-0.0020207i,-0.001365-0.0031296i,-0.0011222-0.0031358i,0.00014289-0.0013142i,0.0010383-0.00035585i,0.0010525-0.00095628i,0.00097166-0.0018501i
0.001092+0.00052612i,0.0011606+0.00028719i,0.0026264+0.00036719i,0.0043328+2.6836e-05i,0.0063092+0.0013839i,0.0062216+0.0042098i,0.0035596+0.0040784i,0.00096574+0.0022221i,-3.9212e-05+0.0010336i,0.00057631-0.00017747i,0.0013072-0.0013052i,0.0020393-0.0012586i,0.0015853-0.00022686i,0.00060054-0.00023546i,-0.00017046+0.00011346i,-0.00066653+0.00018055i,0.00098325-0.00097347i,0.0016667-0.0013365i,-8.8752e-05-0.00064101i,-0.00028823+0.00062069i,0.00063649+0.0016092i,0.0014652+0.00097646i,0.0016054-2.0357e-05i
-0.0006317-0.0027202i,0.00046403-0.0022562i,-0.00024105-0.0016971i,-0.0014755+0.0014339i,-0.002246+0.0057787i,-0.0038816+0.0073367i,-0.0039816+0.0047152i,-0.0017311+0.0018107i,0.00017364+0.00072305i,2.9611e-05-0.00020317i,-0.0016891-0.0004645i,-0.0018294+0.00028519i,-8.6978e-05+0.00046837i,0.00044065+0.00074357i,-0.0010191+0.0013987i,-0.00072878+0.0014218i,0.00089053+0.0014918i,0.0011994+0.00074483i,-0.00021175+0.00014693i,-0.001017+0.0013882i,-0.00030064+0.0023661i,0.0006519+0.0020287i,0.0014651+0.0013066i
0.0017096+0.0011276i,0.00086635+0.0020106i,0.00047584+0.0016629i,-0.00097866+0.0019076i,-0.0054328+0.00056048i,-0.009623-0.0024766i,-0.0086245-0.0029183i,-0.0044295-0.0012973i,-0.0014675-0.00015757i,-0.00076655+0.0010008i,-0.0006389+0.0024064i,0.00062287+0.0029858i,0.0010503+0.0022856i,0.00064258+0.0015947i,0.00023251+0.0014254i,0.00063163+0.0016142i,0.0013171+0.001967i,0.0013291+0.0019505i,0.0010855+0.0012162i,6.9605e-05+4.1714e-05i,-0.0006098-5.0581e-05i,-0.0001234+0.00013578i,2.4611e-05+0.00039753i
-0.0034833+0.0018115i,-0.0044686+0.0026875i,-0.0048697+0.0014672i,-0.003873-0.0021055i,-0.0027438-0.0080134i,-0.00044558-0.011802i,0.00085082-0.0094092i,-0.00018141-0.0040777i,-0.0011583+0.00019707i,-0.00051161+0.0038035i,0.00051049+0.0064453i,0.0011149+0.0068086i,0.00090941+0.0050416i,0.00037198+0.0028913i,0.00088204+0.00096875i,0.00086965-0.00034384i,-0.00012066+0.00026737i,9.3454e-07+0.00098733i,0.0012231+0.0004861i,0.0014966-0.0012502i,0.00072725-0.0021989i,-0.0001334-0.0020799i,-0.00050936-0.0019657i
-0.0020284-0.001666i,-0.0025364-0.0021479i,-0.0022871-0.0016196i,5.2494e-05-0.0014846i,0.0056357-0.0023812i,0.0097145-0.0023196i,0.0075133-0.0019789i,0.002468-0.0019284i,-0.00035524+0.00063618i,0.00044535+0.0033837i,0.002664+0.0040651i,0.003155+0.0040524i,0.0012021+0.0028619i,0.00024011+0.0014531i,0.00064232-0.00048284i,0.0003925-0.0020532i,-0.00070172-0.0015438i,-0.0017294+0.0001177i,-0.0011456+0.0021787i,0.00077733+0.0022543i,0.0022807+0.00030189i,0.0020946-0.00070947i,0.0019125-0.0010764i
0.004156-0.0016996i,0.0061107-0.0016109i,0.0070293-0.0013215i,0.0058948+0.0010572i,0.0053623+0.0065501i,0.0046698+0.010477i,0.0022644+0.0086473i,0.00038142+0.004285i,0.00033397+0.002579i,0.00085794+0.002278i,0.0014958+0.00064079i,0.0021648-0.00028283i,0.0019524-0.0005958i,0.0019267-0.0010003i,0.00052988-0.0019837i,-0.00074254-0.002199i,-0.00050973-0.0019995i,-0.0010375-0.0024912i,-0.0023616-0.0010188i,-0.0020849+0.0010991i,0.00062221+0.0013826i,0.0021819+0.00060196i,0.0021372-0.00023634i
-2.0153e-05+0.0010102i,-0.00081319+0.0022505i,-0.001684+0.0050063i,-0.0027945+0.0065046i,-0.0057998+0.0071687i,-0.0092233+0.0064468i,-0.0089413+0.0041194i,-0.0050953+0.0026815i,-0.0017574+0.0026005i,-0.00025463+0.0016966i,-5.3813e-05+0.00036494i,-0.00017013-0.00047042i,0.00064083-0.00044175i,0.0012376+7.3109e-05i,0.00030091-0.00053412i,-0.00032684-0.00018409i,-0.00032162-0.00017714i,-0.0015783-0.0023232i,-0.0028565-0.0025854i,-0.0027389-0.0012742i,-0.001491+0.00031011i,-0.00042631+0.00077782i,0.00035562-3.5497e-05i
-0.0004944-0.0031379i,-0.00048344-0.0026935i,-0.0013297-0.0028334i,-0.0053302-0.0041254i,-0.0099762-0.0077858i,-0.010965-0.010981i,-0.0079805-0.0088889i,-0.0051503-0.0035412i,-0.0032936-0.00020052i,-0.0020517-0.00010408i,-0.0023573-0.00048822i,-0.0027388+0.00022399i,-0.0012041+0.00024974i,-0.00087493-0.00019384i,-0.0020796+0.00034904i,-0.0010582+8.4693e-05i,0.00081344-0.00059863i,0.00054009-0.0019412i,-0.0005004-0.0031091i,-0.00090806-0.0027519i,-0.00076649-0.0012814i,-0.00093299-0.00029892i,-0.0010178-0.00098309i
-0.00091659-0.0015718i,-0.0010298-0.0039587i,-0.0014557-0.0058167i,-0.0019277-0.0084953i,0.0016243-0.011328i,0.0057173-0.012226i,0.0050391-0.01033i,0.0020993-0.0064381i,0.00113-0.0024358i,0.001532+0.00065554i,0.0003536+0.0030676i,-0.0011371+0.0050691i,-0.0012879+0.0049829i,-0.0012158+0.0025435i,-0.0010311+0.0011738i,0.00012206+0.001287i,0.00072983+0.0010339i,0.00091053+0.00018466i,0.001264-0.0002952i,0.0011981-0.0012504i,0.0012883-0.0019957i,0.0005092-0.0014216i,-0.00064823-0.0010335i
0.0022939-0.0013818i,0.0034607-0.00070858i,0.0046727-0.0015204i,0.0078868+0.00039898i,0.012623+0.0043372i,0.014429+0.0070413i,0.011003+0.0054817i,0.0055994+0.0016789i,0.0024919+0.001157i,0.0018477+0.0023786i,0.0022225+0.0027867i,0.0028131+0.0034788i,0.002615+0.0025626i,0.0021798+0.00042449i,0.0019894+1.4764e-05i,0.00091772-0.00043088i,-0.00051219-0.00069134i,-0.00029345+0.00098212i,0.0015503+0.0027143i,0.0027701+0.0022284i,0.0024321+0.00026518i,0.0017054-0.0010253i,0.0010195-0.00065004i
