0.00088554+0.0021155i,0.0013619+0.0025409i,0.0023651+0.0024742i,0.0018473+0.0019435i,0.00076248+0.0011061i,0.0006078-0.00032749i,0.00030436-0.0009155i,0.00015813-0.00033071i,6.0393e-05+7.3339e-05i,-0.00028317+0.00045723i,-0.00037682+0.000137i,-0.00058902-0.00069948i,-0.00040177-3.5522e-05i,1.9428e-05-0.00035401i,-3.0547e-05-0.00079843i,0.00030469-0.00021527i,-1.5873e-05-0.00030132i,-0.00070568-0.00019323i,-0.0004512-0.00016794i,2.1648e-05-6.6517e-05i,-0.00015888+0.00030185i,-0.00043134+0.00016165i,9.8999e-05-0.00058433i
-0.00018882+0.00016296i,-0.00034442+0.0013246i,-0.00038115+0.0023539i,-0.00044505+0.0020016i,-0.0011324+0.00095687i,-0.0011888+0.00047708i,-0.0003177+0.00057059i,9.6144e-05+0.000349i,7.8326e-05+0.00034893i,0.00011269+0.00015746i,0.00015914-0.00016434i,-7.7083e-05+0.00033795i,-0.00011581+0.00093007i,0.00011936+0.0010166i,-0.00050749+0.00053371i,-0.00027602+0.00012942i,0.00038712+0.00034233i,0.00035059+0.00057702i,-0.00023483+0.00057849i,-0.00020917+0.00019982i,-8.2802e-05-0.00036005i,-0.00059074-0.00068998i,-0.00054221-0.0001323i
0.0010114+0.00016488i,0.0012481-5.2297e-05i,0.0018019-0.00081368i,0.00085475-0.00176i,-3.6924e-05-0.00148i,-0.00030022+0.00039047i,-0.00094639+0.001571i,-0.00078568+0.0014263i,-0.00016201+0.00079658i,0.00014492+0.00053302i,0.0002638+0.00047833i,0.0004586+0.00078169i,0.00032049+0.0013718i,0.00028489+0.0012437i,0.00050473+0.0011724i,0.00032843+0.00062423i,0.00027185-0.00028158i,0.00024392-0.00034616i,0.00044231+2.2451e-05i,0.00031076+0.00015745i,0.00033811-0.00018867i,-2.9793e-06-5.3117e-05i,9.9595e-05+0.00034686i
0.00032508-0.0002235i,0.00090148+3.2594e-05i,0.00022181+0.00089468i,0.00019323+0.00034747i,0.00053309-0.00035966i,0.00027204+1.7493e-05i,3.9596e-05+0.00025103i,0.0004455-3.1089e-06i,0.00089945-0.00033101i,0.0014559+8.9396e-05i,0.0013748+4.9821e-05i,0.00089927-0.0002359i,0.00099624-0.00038461i,0.0012691+0.00031694i,0.0007186+0.000563i,0.00012068+0.00025539i,-0.00039729+0.00038867i,-0.00016134+0.0002118i,0.00080365+0.00024845i,0.0011944+0.0007408i,0.00088727+0.00054933i,0.00033711-2.6508e-05i,-6.6904e-05-0.00019455i
0.00091881+0.0016872i,0.00026284+0.002667i,0.00070309+0.0026736i,0.0010242+0.0022514i,0.0002832+0.0014618i,-0.00033425+0.00062324i,-0.00023462+6.1251e-05i,0.00031762+0.0002697i,0.00015772+0.0014334i,4.2905e-05+0.0013613i,0.00069431+0.00037667i,0.00066042+0.00014744i,0.00028302-0.0003103i,-0.00029618+0.00010654i,-0.00065687+0.00058673i,-0.00036873-0.00044074i,0.00010713-0.00088134i,-0.00045294-0.00042804i,-0.00061477-0.00026427i,0.00064959-0.00027172i,0.00043889-0.00079946i,-0.00032572-0.00065497i,-4.3101e-05-0.00040405i
0.00017611-0.0010408i,0.00063929-0.0012254i,0.00072111-0.00090831i,0.0013185-0.00019851i,0.00067502+0.00070658i,0.00032351+0.0009436i,-0.00025611+0.00051843i,-0.00053883+0.00035718i,-0.00023279+0.00046596i,-5.8258e-06+0.00093171i,8.554e-05+0.00049898i,0.00025577+7.5972e-05i,0.00055897-0.00019887i,0.00085621-0.00051212i,-1.3127e-06-0.00026i,2.9486e-05-0.00035943i,0.0011296-0.00041535i,0.0013686-0.00016281i,0.0013633+0.00011925i,0.00081992+0.00074224i,0.00012865+0.00090425i,-0.00021833+4.6508e-05i,-0.00048233-0.00069416i
0.0001926-0.00044866i,-0.0014488-0.0012774i,-0.00099835-0.0016488i,7.8452e-05-0.0018144i,5.6556e-05-0.00066807i,-0.00060862-2.3999e-05i,-0.00074339+0.00027073i,-0.00039821+0.00046985i,-0.00083896-0.00045361i,-0.00071197-0.00062484i,-0.00026872-3.1006e-05i,-0.00020504+0.00025005i,-0.00081951+0.00078163i,-0.0012488+0.0013419i,-0.00026063+0.00077479i,-0.00062528+0.00033073i,-0.0017209+0.00044739i,-0.00086485+0.00028386i,-0.00027452-0.00022397i,-0.00063103-0.0001645i,-0.00022233+0.0002i,0.0001773-0.00026422i,0.00022905-0.00020819i
0.0014854+0.0010083i,0.0018343+0.0015964i,0.00066705+0.0028322i,0.00024112+0.002456i,0.00059406+0.0015315i,1.3413e-06+0.0011786i,-0.0005342+0.00034145i,-0.00030187-0.00018711i,-5.3331e-05+0.00027477i,-0.00024114+0.00069222i,-0.0001031+0.00087685i,0.000463+0.00046189i,0.00041564-0.00025983i,-4.34e-05-0.0003792i,-0.00030315+0.00029058i,0.0001684+0.00097339i,0.00030614+3.7097e-05i,0.00018548-0.00055427i,0.00038122-0.00070168i,0.0011752-0.00084189i,0.001073-6.8315e-05i,0.0004661+0.00028939i,0.00057575+8.6106e-05i
0.00014632-0.00014039i,-0.00064501+0.00030772i,0.00011928+0.00078567i,-0.00021213+0.0005971i,-0.0011367+0.00032945i,-0.0011002+0.0004781i,3.393e-05-0.00031323i,0.00075497+2.7057e-06i,0.0003837+0.0013595i,0.00066455+0.0012876i,0.00026214+0.00052058i,-0.00077921+0.00061612i,-0.00050696+2.308e-05i,0.0002852-0.00051198i,0.00059505-0.00054033i,0.0005615-0.00096857i,-0.00041219-0.00065483i,-0.00096424+0.00037971i,-0.00048043+0.00064668i,0.00028294+0.00027853i,0.0012275+0.0001248i,0.00097492-0.00027735i,-0.00012593+4.3266e-05i
0.0012735+0.00016493i,0.0010454+0.00095565i,0.00092997+0.0011425i,0.00062388+0.00053178i,0.00013434-0.00058433i,-0.00071001-0.00082414i,-0.00090016-0.00032501i,-0.00026935+6.8895e-05i,1.4957e-05+0.00034015i,-0.00036457-0.00011458i,-0.0001037-0.00080239i,-3.3717e-07-0.00036737i,-0.00086637+0.00074i,-0.00060296+0.0005651i,7.5318e-05+0.00010582i,-0.00047154+3.842e-05i,-0.00041794-0.00053231i,0.00032993-0.00087011i,0.0002197-0.00059457i,0.00018251-0.00026007i,0.00030755-0.00039946i,-0.00013372-0.00081709i,6.1486e-05-0.0007675i
