-0.00026261+0.0016713i,-0.0005717+0.0008461i,-0.00042029+6.9511e-05i,0.00095847-0.00062921i,0.00078685+0.00016541i,-0.00086356+0.001187i,-0.0010115+0.00093552i,-7.7417e-05+0.00069362i,0.00025472+0.0012438i,0.0004008+0.00091668i,0.0002695-0.00030297i,0.00053186-0.0014216i,0.0010556-0.0011312i,0.00063596-0.00081858i,0.00042384-8.4834e-06i,-0.00029387+0.0004036i,-0.00092345+0.00069338i,-0.00073238+0.0010238i,-0.00039723-0.0001538i,4.194e-05-0.00059182i,5.7272e-05-0.00012694i,-0.00049202-9.9425e-05i,-0.0003539-0.00040569i
-0.0019551+0.00082908i,-0.0020388+0.0017898i,-0.00033786+0.00088573i,0.0010061+0.00036872i,0.0013151+0.00049648i,0.0015875-0.00028457i,0.0018632-0.00068468i,0.00079124-0.00053108i,-0.00047773+3.836e-05i,-0.00024886-3.0397e-05i,-6.2587e-05-0.00061451i,-0.00098487-2.8406e-05i,-0.0013806+0.00046847i,-0.0009422+0.00033582i,-0.00066815+4.2805e-05i,-0.000719-0.00024426i,-0.00036134+0.00049583i,5.277e-05+0.00088233i,-0.00047664+0.00056064i,-0.0014315+0.0015859i,-0.0012324+0.0011969i,-0.00052247-0.00032842i,-0.00095269-0.00022625i
-0.00056639+7.8798e-05i,0.00051936+0.00011411i,0.00011714+0.00036985i,-0.00064364-1.9773e-05i,-0.0010631+0.00038091i,-0.00069139-9.6296e-05i,-0.00086781-0.0010462i,-0.0018387-0.00048787i,-0.0014631+0.00039972i,-0.00071949+0.00074418i,-0.00017483+0.00083272i,-0.0004769+0.001266i,-0.0009134+0.0018207i,-0.00018291+0.0017044i,0.00039815+0.0014126i,4.7385e-05+0.0024904i,0.00015175+0.0037311i,-1.8436e-05+0.0030706i,-0.00068774+0.0017507i,-0.0003184+0.00060889i,-2.7358e-06-0.00041152i,6.8809e-05-0.00071825i,0.00017823-0.00051846i
0.0010897-0.0017532i,0.0015019-0.0016954i,0.0012043-0.0012952i,0.00085204-0.00030491i,0.00025597-5.0266e-05i,-0.00031316+0.00043469i,0.00016452+0.00039047i,-0.00043038-0.00054481i,-0.0012883-0.00067611i,-0.00061913+0.00073458i,2.2144e-05+0.0025157i,0.0010134+0.0031686i,0.0022467+0.0031413i,0.0020605+0.0028467i,0.0015072+0.0025055i,0.0014572+0.0024493i,0.00084087+0.0018471i,-8.0261e-05+0.0001042i,-5.4769e-05-0.00067593i,0.00056323-0.0009423i,0.00015016-0.000981i,5.9856e-06-0.00069138i,0.00025654-0.00071914i
0.0022103+0.00065336i,0.0017364+0.0011888i,0.0027072-0.0004728i,0.0020691-0.0012706i,0.00058993-0.0017237i,-0.00031602-0.0020517i,-0.0014209-0.0013889i,-0.002119-0.0012026i,-0.00061177-0.00045995i,0.0016779+0.00099554i,0.0028041+0.0019119i,0.0028909+0.0017133i,0.0030736+0.0014183i,0.0026972+0.0017478i,0.0017673+0.0018124i,0.00028364+0.00067964i,-0.0010588-0.00098782i,-0.001103-0.0011513i,0.00030097-0.00073213i,0.0014329-0.00096189i,0.00098568-0.0006965i,0.00038019+0.00022069i,0.00019791+0.00064926i
0.0003574+0.0014956i,-8.4716e-05+0.00059786i,0.0003806+0.0001227i,0.00010694+0.00070407i,-0.0011762+0.0010173i,-0.0009013+0.00013437i,-0.00050463-0.00045294i,-0.00056909+0.00012387i,1.3526e-06+0.00089328i,0.0011348+0.0013144i,0.0018297+0.00062551i,0.0014362-0.00093724i,0.00067624-0.00088921i,-0.00055085+0.00014439i,-0.0008172-0.00034841i,-0.00085342-0.00080686i,-0.00061983-0.00013331i,-6.5173e-05+0.00027474i,-6.9717e-05+9.3593e-05i,-8.8772e-06+0.00085534i,-3.2275e-06+0.0012219i,0.00015353+0.0007561i,0.00021635+0.00048023i
2.1457e-05+0.0020185i,0.00051941+0.0017274i,0.0017047+0.00034816i,0.0018096-8.6364e-05i,0.0020822-0.00027842i,0.0017705-0.00049848i,0.00086039-0.0011097i,-0.00039213-0.0016495i,-0.0011322-0.00077018i,-0.0010466+0.00081088i,-0.00069987-5.9499e-05i,-0.0017085-0.0014367i,-0.0023732-0.00060112i,-0.0010833-0.00031835i,-0.0003508-0.00071607i,-0.00082047-0.00072107i,-0.00040773-0.00097695i,0.00053743-0.00073176i,-6.7105e-05+0.00035995i,-0.0012128+0.0012191i,-0.0012626+0.0013439i,0.00046391+0.00083926i,0.0012067+0.00058631i
-0.0033799+9.2197e-05i,-0.0042864+0.0011299i,-0.0039791+0.0015526i,-0.0028594+0.0010838i,-0.001627+0.0014195i,-0.00017787+0.0012677i,-0.00010961-0.0003212i,-0.0010117-0.00041993i,-0.0016799+0.00078882i,-0.0025397+0.0012507i,-0.0028323+0.0012742i,-0.002732+0.0020549i,-0.001632+0.0028875i,-0.00043489+0.0028297i,0.00010545+0.0018509i,0.0010249+0.00069606i,0.0021354+0.00057474i,0.0017898+0.00044183i,9.5021e-05-0.00045836i,-0.00091208-0.00092865i,-0.00060323-0.00084766i,-0.00010498-0.00067705i,9.2284e-05-0.0010492i
0.001058-3.9251e-05i,0.00079595-0.00087793i,-2.5811e-05-0.00032349i,-8.6613e-05+0.00038454i,0.00021557+3.9381e-05i,-6.2123e-05-0.00086117i,-0.00057149-0.00073199i,-0.000261-0.00083185i,-4.015e-05-0.0011605i,0.00071575-0.00031275i,0.0013313+0.0013956i,0.0011681+0.0025964i,0.0010826+0.0029421i,0.0010594+0.0027779i,0.0012805+0.0021999i,0.0018882+0.0020477i,0.002591+0.0015702i,0.00249+0.00066064i,0.0015488-0.00035872i,0.00062611-0.0011074i,0.00020875-0.00077667i,0.00067996-0.0003911i,0.00067684-0.00017295i
0.0022733-0.0019381i,0.0025036-0.0022188i,0.0023484-0.002935i,0.0012533-0.0021546i,0.00021346-0.00029417i,-0.00033001+0.00053748i,-0.00055093-0.00028897i,-0.00083032-0.0010545i,-0.00030898+0.00031271i,0.0013091+0.0018546i,0.0032302+0.0027303i,0.0043033+0.0036335i,0.0032665+0.0036581i,0.0015779+0.0028781i,0.001182+0.0019483i,0.00066404+0.0017455i,-7.5302e-05+0.0019017i,-0.00019403+0.0016708i,-0.00019711+0.0010995i,0.00094569+0.00017353i,0.0015121+0.00044003i,0.00042182+0.00078028i,5.1841e-05+0.00017631i
0.0017896-0.00026167i,0.00071196-0.00060499i,0.0020507-0.0010763i,0.0011958-0.00059968i,-0.00049318-0.00071852i,-0.00081868-0.00055579i,-0.0013486-0.00084465i,-0.00088536-0.0007918i,0.00017852+0.00080251i,0.0012217+0.0017197i,0.0023493+0.0012287i,0.0020187-0.00023766i,0.00011572-0.00059933i,-0.00077179-0.00070336i,-0.00070275-0.0014522i,-0.001592-0.0013839i,-0.0026658-0.00073266i,-0.001877+0.00016848i,-0.00057183+0.0016058i,0.00029208+0.0015828i,0.000748+0.00085333i,0.00036667-0.00022183i,0.00055568-0.0012391i
0.00012367-0.00022783i,0.00017397-0.0003429i,-3.265e-05+0.00048743i,-0.00024068+0.00046095i,-0.0010808-0.00013011i,-0.00081764-0.00039522i,0.00061442-0.00024155i,-0.00017997-1.6568e-05i,-0.0014452+0.00019147i,-0.00068832+0.00037416i,-0.00036924+5.0142e-05i,-0.0017304-0.00085861i,-0.0025984-0.00096327i,-0.0021366-0.00026896i,-0.0023772-0.00029753i,-0.0024845-0.00049138i,-0.0018097-0.00055114i,-0.0013486-5.3739e-05i,-0.001067+0.00051301i,-0.00086937+0.00075583i,-0.00074718+0.00059009i,-0.00081272-0.00052879i,-0.00040722-0.00035373i
-5.0286e-05-0.001109i,0.00062186-0.00033244i,-0.00026708+8.4831e-05i,-0.0010046-0.00079376i,-0.0011489-0.0014019i,-0.00017604-0.00085421i,0.00061029+9.3488e-05i,-0.00036419-0.00012002i,-0.0011496-0.0011141i,-0.0013114-0.0012i,-0.0018561-0.00054267i,-0.0028288+0.0010307i,-0.0029199+0.0026329i,-0.0016203+0.0024152i,-7.8264e-05+0.0013128i,0.0012636+0.00084378i,0.0021181+0.00044882i,0.001544-0.00055704i,5.0212e-05-0.0014709i,-0.00051916-0.0017708i,-0.00032066-0.0015273i,0.00023129-0.00055026i,0.0001759+0.00026832i
-0.0034725-0.00031573i,-0.0034257-0.00085979i,-0.00264-0.00088991i,5.4367e-05+4.5001e-05i,0.0014556+0.000918i,0.0011004+0.00039366i,0.00033516-5.8821e-06i,-0.0010034-0.00032902i,-0.0012506-0.00084169i,-0.00034005+0.00076204i,0.00041533+0.0026681i,0.0010429+0.0042375i,0.0017467+0.0047135i,0.0016432+0.0037087i,0.0015747+0.0027733i,0.0022568+0.0017042i,0.0025828+0.00016602i,0.0022402-0.00084083i,0.0012199-0.0011835i,0.0011172-0.0018545i,0.0012336-0.0016344i,0.00096892-0.00064809i,0.0005033+5.8048e-05i
0.00028579-0.0046134i,0.0015011-0.0056877i,0.00036239-0.0054593i,-0.0015121-0.0027553i,-0.0014367-0.0009058i,-0.00027083-5.1051e-06i,-0.00045335-0.00023804i,-4.3113e-05-0.00027448i,0.00051907+0.00029229i,0.00055886+0.0011594i,0.0012151+0.002289i,0.0015494+0.0023588i,0.0014761+0.0019106i,0.0010453+0.0015648i,0.0011671+0.0020217i,0.0015342+0.0019436i,0.0013524+0.001874i,0.0010364+0.001753i,0.00050019+0.0012851i,0.00093643+0.00050472i,0.0010106-0.00042304i,-0.00057228+2.9471e-05i,-0.00067882-0.00032478i
-0.0002148+0.0022203i,-0.00021921+0.0030857i,0.00010761+0.0023482i,0.00014742+0.0010274i,-0.00026406+0.00042736i,-0.0010348-0.00036499i,-0.00054395-0.0015995i,-0.00053297-0.0016194i,-0.00040011-0.00026829i,0.0012266+0.00028173i,0.0022805-0.0002051i,0.0020414-0.00081368i,0.00097333-0.00065361i,8.5627e-05-0.00056985i,-0.00066168-0.00068166i,-0.0016083+0.00010837i,-0.0021478+0.0015336i,-0.0014067+0.0016083i,-0.00095715+0.0010432i,-0.0005356+0.0013306i,-0.00016286+0.0011087i,-0.00016442+0.00053461i,-0.00017765+6.2989e-05i
-0.00097138-0.0016822i,-0.0021238-0.001867i,-0.0023349-0.0014146i,-0.0015935-0.0013784i,-0.00041499-0.0013857i,1.9364e-05-0.00097885i,0.00015076-0.00057535i,-0.00040266-0.00067492i,-0.00040822-0.00050645i,0.0001264-0.0001365i,0.00022765-0.00090251i,-0.00070346-0.0012346i,-0.0021341-0.00035483i,-0.0016454+0.00021787i,-0.0012366+0.00013833i,-0.0024776+0.00074448i,-0.0026373+0.001638i,-0.0010702+0.001886i,-0.00029861+0.0017013i,-0.00017806+0.00113i,0.00020428+0.00050891i,0.00060975+0.00025884i,0.00061296-0.00065278i
-0.0010832-0.0016716i,-0.0004209-0.00011799i,-0.00013502+0.00056431i,0.00027238+0.00071297i,0.0015885+0.00055169i,0.0018129-0.00029648i,0.00064261-0.00065091i,-0.00015527-0.00079405i,0.00034533+1.0312e-05i,0.0006336+0.00022044i,-0.00031153-0.00010377i,-0.0012022+0.0010649i,-0.0015191+0.0020099i,-0.00057569+0.0015139i,0.0010037+0.0002507i,0.0022377-7.1238e-05i,0.0014889-0.00051793i,-8.1779e-05-0.0008934i,-0.00089663-0.0002237i,-0.00087675-1.206e-05i,-0.00079797-0.0005922i,0.0001594-0.00062993i,0.0014301-0.00017362i
0.0021572+0.00035961i,0.0019516+0.00096517i,0.0021043+0.00018467i,0.0013425+1.1253e-05i,-0.0003214+0.00038986i,-0.00073638+0.0001512i,-0.00038299-5.647e-05i,6.1286e-05+0.00034267i,0.00010213+0.00082939i,-0.0011692+0.0010689i,-0.0016695+0.0021347i,-0.00077059+0.0036665i,0.00022084+0.0037421i,0.00045341+0.0024586i,0.001035+0.0013574i,0.0017421-0.00029658i,0.0016366-0.001997i,0.00063316-0.0012931i,-0.00022879-8.4378e-05i,-0.00080291-6.8044e-05i,-0.00089453-0.00031271i,-0.00083757-0.00024572i,-0.0010119-0.00016253i
0.00057319+0.0012758i,0.00031319+0.0016366i,0.00034588+0.0017163i,0.0009204+0.00026868i,0.00074291-0.0011601i,-0.00037704-0.0010298i,-0.0013213-0.001081i,-0.0015086-0.0013856i,-0.00065291-8.2661e-05i,-8.9716e-05+0.0016391i,0.0013168+0.0022493i,0.0029952+0.00197i,0.0023583+0.0015655i,0.0014814+0.0010692i,0.0022821+0.00036181i,0.0028126-0.00030253i,0.001918-0.00043016i,0.0019366-0.00025765i,0.0017203+1.289e-05i,0.00056811+0.0007026i,-0.00022782+0.00061561i,-0.00040516-0.00032356i,-0.00049222-0.00048503i
0.0011256-0.00072778i,0.0024075-0.00079935i,0.0035457-0.0010799i,0.0029412-0.0017224i,0.0014065-0.0013581i,-0.00034606-0.0014015i,-0.0010189-0.0021375i,-0.0013211-0.0014981i,-0.00052741-0.00011797i,0.0022373+0.00062266i,0.0040178-0.00036993i,0.003354-0.0015621i,0.0019864-0.0012892i,0.00081929-0.00071525i,-0.00056799-0.00050252i,-0.0014152-0.00027675i,-0.0010077+0.00078672i,-2.9217e-05+0.00058952i,0.00086948-0.00083259i,0.00044254-0.00030844i,-2.285e-05+0.00082589i,0.00086126+0.00053155i,0.0015117-0.00056509i
0.0011279-0.00015027i,0.0013766-0.00051484i,0.00066809-0.0011074i,-0.00011111-0.0007904i,0.00016944-0.00020363i,0.00092375-0.00055832i,0.000767-0.0016117i,4.9463e-05-0.0016338i,8.2922e-05-0.00094081i,0.00047101-0.00074504i,0.001267-0.00063081i,0.00097722-0.00094291i,0.00044687-0.00046643i,0.00042103+0.00027609i,-0.0007691+0.00010196i,-0.0020327+0.0011727i,-0.0018431+0.0029977i,-0.00042021+0.002747i,0.00091392+0.0013557i,0.0010646+0.00076357i,0.0004425+0.00080699i,0.00075692+0.00026127i,0.0012984+3.8377e-05i
-0.00064978-0.0009586i,-0.00091318-0.00074153i,-0.0011596-0.0011273i,-0.00035445-0.0011307i,0.00094225-0.0014713i,0.0017746-0.00092533i,0.0017081-0.0003679i,0.00096473-5.6281e-05i,-0.00081974+0.00036512i,-0.0018295+0.00067697i,-0.0018512+0.00074092i,-0.0025518+0.0012933i,-0.0027983+0.0025494i,-0.0024236+0.002151i,-0.0013168+0.00039535i,-0.00052571-0.00044597i,-7.5914e-05-0.00033075i,-0.00027732+0.00035036i,-0.0012444+0.0007093i,-0.0011695+0.00082137i,-0.00047823+0.00055689i,0.00027156+0.00052401i,0.0003543+0.00079903i
1.6886e-05-0.0022728i,0.00039307-0.0020369i,0.00022311-0.0025839i,-0.00068422-0.0017025i,-0.0010469-0.00011506i,-0.0014466+0.0013851i,-0.0017899+0.0014051i,-0.0024478-0.00015159i,-0.002819-0.00071462i,-0.0020095+0.00026041i,-0.0015196+0.0021882i,-0.0016084+0.0039108i,-0.00048146+0.0047459i,0.00039986+0.0036835i,0.00033814+0.0019701i,0.000677+0.0011053i,0.00078246+0.00013215i,0.00032184-0.00013035i,-0.00032391+0.00022889i,-0.00097278+0.00022074i,-0.0014083+0.00054671i,-0.0010922+0.00093926i,-0.00088779+0.00041675i
0.0016557-0.0031751i,0.0011593-0.0036579i,0.0018942-0.0037245i,0.0011224-0.0026335i,-0.0011653-0.00085514i,-0.003164+5.4864e-05i,-0.0039636-0.00044474i,-0.0031939-0.0014759i,-0.0018062-0.0012852i,-0.0010252+0.00040136i,-0.0004372+0.0017838i,-0.00010311+0.0024197i,0.00016287+0.0023952i,0.00046111+0.0018373i,0.00084997+0.00041431i,0.0017786-0.0010474i,0.0021809-0.0015244i,0.0011035-0.0011626i,-0.00020631-0.00061724i,-0.00067838-0.00049875i,-0.00093655-0.0005164i,-0.001309-0.00054553i,-0.00083408-0.00067781i
-0.00011295-0.0030415i,-0.00035779-0.0042995i,-0.0019366-0.0042769i,-0.0021652-0.0019745i,-0.0017306-0.00066378i,-0.00035292-0.0010663i,0.00081057-0.0027199i,0.00066878-0.0030906i,0.00052412-0.0010611i,0.00090934+0.00078379i,0.0022374+0.00073524i,0.0033308-0.00050262i,0.0021547-0.00046998i,0.00071547+0.00017952i,-5.9675e-05+0.00016306i,-0.00057349+9.9028e-05i,0.00028392+0.00019468i,0.0016412+0.00022631i,0.00092662+8.1085e-05i,-0.0003076+1.8239e-05i,-0.00037675-7.0755e-05i,5.521e-05+0.00028041i,0.0005628+0.001052i
0.00015233+8.9493e-05i,0.00078139+0.0012201i,0.001763+0.001316i,0.0011049+0.00078101i,0.00048751-0.00045685i,0.00081639-0.0016945i,0.001441-0.0013544i,0.0023811+0.00072011i,0.0023351+0.0014707i,0.001707+0.0012727i,0.0019075+0.00068696i,0.00098494-0.00066958i,-0.001184-0.00014594i,-0.001337+0.0015264i,-0.00054967+0.0018222i,-0.0010359+0.002671i,-0.00051148+0.0043914i,0.00098858+0.0039783i,0.0017455+0.0017064i,0.00090416+0.00056914i,-0.00033072+0.00073564i,0.00027592+0.00051989i,0.0010413+1.2261e-05i
-0.001746-0.00047007i,-0.0033577-0.0014895i,-0.0012378-0.00046864i,0.0010377-0.00014322i,0.0011294-0.00066627i,0.0016763-7.227e-05i,0.0018867+0.0008357i,0.00061084+0.00089885i,-0.00026348+0.00063233i,0.00023462+0.00086857i,-0.00016438+0.0012051i,-0.0012938+0.0015431i,-0.0010547+0.0028352i,-0.00032427+0.0021852i,-0.0002912+0.00026527i,-0.0011616+0.00074482i,-0.00084134+0.0021764i,0.00013344+0.0027007i,0.00026076+0.0024557i,-0.00018235+0.0016709i,-0.00011191+0.00096209i,-8.1796e-05+0.0009074i,-0.00057139+0.0009412i
0.00081438-0.0023693i,0.00079164-0.0042249i,0.00011678-0.0044743i,-0.00086426-0.0017025i,-0.0018238+0.0010902i,-0.0020729+0.0016231i,-0.00223+0.0015678i,-0.0027605+0.0014543i,-0.0023261-3.0989e-05i,-0.0017518-0.00070106i,-0.0011447+0.0010245i,-0.00092513+0.0036359i,-0.00058094+0.0043434i,0.00078781+0.0025198i,0.0018393+0.0012448i,0.0016649+0.0015611i,8.4521e-05+0.0017502i,-0.0011845+0.0011223i,-0.00094118+0.00053336i,-0.00081848+0.00073349i,-0.0012004+0.00059664i,-0.0013633+0.00077289i,-0.0014751+0.00059801i
0.0018378+0.0026272i,0.0024161+0.00357i,0.0034409+0.0033779i,0.0030667+0.0024964i,0.0012199-9.3683e-05i,-0.0011886-0.0020379i,-0.0030237-0.0017309i,-0.002726-0.0014356i,-0.0023191-0.00092755i,-0.0024759-8.3004e-05i,-0.0014846+0.0012206i,-8.2816e-05+0.0023832i,0.0010359+0.0020658i,0.0013088+0.0013162i,0.0015032+0.00035113i,0.0022355-0.0016504i,0.0015705-0.0025513i,-0.00058281-0.0015325i,-0.0016398-0.000473i,-0.001149-5.5223e-05i,-0.00055179+1.6904e-06i,-0.00017563-0.00031114i,0.00031229-0.00016737i
-0.0025198+0.0019947i,-0.0037642+0.0021723i,-0.0038002+0.0027912i,-0.0021581+0.001095i,-0.00027859-0.00069119i,0.00062791-0.0016021i,9.921e-05-0.0020261i,-0.00063212-0.0025197i,-0.0004518-0.0014803i,0.00057618-2.6311e-06i,0.0031807+6.8814e-05i,0.0039561-0.0009204i,0.0017293-7.0931e-05i,0.00065791+0.0018021i,0.00044079+0.0020297i,-0.0004503+0.0013031i,-0.00037711+0.00096007i,0.00053635+0.00063218i,0.00021037-0.00018199i,-0.00056998-0.00073162i,-0.00016835-0.00022401i,0.00023886-0.00031336i,-0.00011749-0.00080362i
0.00089147-0.00025448i,0.00034449-0.0010838i,0.00044002-0.00098761i,0.0016795-0.00049299i,0.0021166-0.0013754i,0.002407-0.0017681i,0.0030599-0.00086206i,0.0029808-0.0010828i,0.0023284-0.00097723i,0.0023338+0.00017891i,0.003444-0.00043728i,0.0034099-0.0011736i,0.0018889-0.00010189i,0.00046366+0.0013509i,0.00026437+0.0015326i,0.00065939+0.0015808i,0.0012216+0.0024317i,0.002029+0.002029i,0.0017071+0.00023468i,0.00042826+0.0001074i,-0.00021611+0.0012461i,-0.00050535+0.0015294i,-0.00070593+0.00037946i
0.0011592+0.00059852i,0.0031538+0.00010376i,0.0030599-0.00051759i,0.0018751-0.0010419i,0.0009403-0.00099918i,0.0003888+0.00045698i,0.00064931+0.0013954i,0.00055813+0.0010069i,0.00041229+0.00083074i,0.0012629+0.00076816i,0.0019106+0.00054935i,0.00048342+0.00083105i,-0.0012728+0.0014793i,-0.001527+0.00073169i,-0.0015262-0.00020109i,-0.001232+0.001064i,-0.00047438+0.0028037i,0.00095457+0.0032832i,0.0022616+0.0034319i,0.001614+0.0025546i,0.0010626+0.00047435i,0.0012467-0.00042875i,0.00049403-7.4598e-05i
0.0021151+0.0030862i,0.0019462+0.0036387i,0.0032323+0.0034943i,0.0027002+0.0026093i,0.00070609+0.0019511i,-0.001171+0.0017175i,-0.0019548+0.0017732i,-0.0018794+0.0010722i,-0.0016766+0.00079689i,-0.0010299+0.0007863i,-0.00074192+0.001669i,-0.00033576+0.0027729i,0.00078871+0.0024503i,0.0015338+0.0012917i,0.0017191+0.0011615i,0.0014929+0.0015413i,0.0014885+0.0013675i,0.001502+0.0009179i,0.0007044+0.0012143i,0.00056043+0.0010614i,0.0012485+0.00013866i,0.00070258-0.0003621i,0.00056256-0.00071498i
-0.0028856-0.00097778i,-0.0020437-0.00022164i,-0.0023647+0.00011005i,-0.0029225+0.00041986i,-0.0037077-0.00031244i,-0.0037482-0.0018046i,-0.0025163-0.002418i,-0.0021843-0.001348i,-0.001959+0.00017117i,-0.0015882+0.00072423i,-0.0012068+0.0008989i,-0.00036967+0.0015859i,0.00081478+0.0016347i,0.0010077+0.0011796i,0.0010916+0.00099601i,0.0013741-0.00059596i,0.00073166-0.0018217i,-0.0013142-0.00071161i,-0.0020636+0.00071345i,-0.0011316+0.00073057i,-0.00050954+9.0795e-05i,0.00046448-0.00020953i,0.0015658+8.7274e-05i
0.0021981+0.0016347i,0.0020014+0.0017665i,0.002995+0.00063586i,0.00258-0.0011776i,0.0022018-0.0028878i,0.0020637-0.0033007i,0.00097317-0.0028452i,-0.00020243-0.0023889i,-0.00058505-0.0013343i,-0.00047795+5.4082e-05i,-5.8637e-05+0.00033306i,0.00084613-0.00047315i,0.0008635-0.00040999i,0.00041559+0.0014433i,-8.0677e-05+0.0025018i,-0.00090822+0.0013633i,-0.0024001-0.00019569i,-0.0030302-0.00074138i,-0.0018242-0.00060946i,-0.0005952-0.00031326i,1.3113e-05+0.00052642i,0.00018895+0.00061665i,1.8447e-05-0.0001122i
0.00030195-0.0025678i,0.0002699-0.0028691i,8.9193e-05-0.0036522i,0.00031512-0.0036788i,0.00076243-0.0013327i,-0.00013466+0.00083316i,-5.4396e-05+0.00064251i,0.00071952-0.0013105i,0.00025168-0.0015255i,0.00086837+0.00033581i,0.0021272+0.00067037i,0.0013438-0.00016033i,0.00024788+0.00025594i,-9.2899e-05+0.00069512i,-0.00021937+0.00027785i,-0.00069275+0.00040705i,-0.00051931+0.00037811i,0.0005325-0.0010395i,2.2321e-05-0.0015413i,-0.00039171-0.00040898i,0.00030394-0.00016308i,0.00057434-0.00010091i,0.00050563+0.00014461i
0.00039264-0.0022194i,0.000958-0.0023316i,0.00098208-0.0014406i,0.00042553-6.4169e-05i,-0.00012021+0.0015411i,0.00011215+0.0025619i,0.00020238+0.0017109i,0.00066989+0.00027692i,0.0018645+7.8909e-05i,0.0024144+0.0009798i,0.0019057+0.0005217i,0.00011029-0.00022627i,-0.0012692+0.00069066i,-0.00070612+0.0013475i,-0.00083884+0.0012388i,-0.0014965+0.0013639i,0.0010807+0.00090178i,0.0041894-0.00028869i,0.0039582-0.00010725i,0.0023927+0.00037832i,0.0010609+0.000267i,-0.00016181-0.00058089i,-0.00035931-0.0011104i
0.00019491+0.00011313i,0.00057193+0.001853i,0.00048548+0.0026293i,-0.00021979+0.0026005i,-0.0019567+0.0018959i,-0.0038871-0.001117i,-0.0031074-0.0024357i,-0.00097221+6.5616e-05i,0.00075125+0.001662i,0.0018832+0.0010916i,0.001781+0.00053651i,0.00033958+0.00117i,-0.00053416+0.0019746i,7.0216e-07+0.0020133i,0.00093279+0.0015599i,0.0021645+0.001332i,0.0030661+0.0019538i,0.0024601+0.0021897i,0.0013741+0.0025074i,0.00059478+0.0023376i,0.00064505+0.0010562i,0.00060554-0.00020483i,0.00049516-0.00051594i
-0.0019389+0.0004349i,-0.002323-0.0011867i,-0.002756-0.00074191i,-0.0029369+0.00025906i,-0.0013677-0.00059055i,0.00027217-0.0016899i,0.00067092-0.0024297i,-9.4297e-05-0.0016846i,-0.0013612+0.00024339i,-0.0012119+0.00073388i,-0.00014386+0.00091406i,0.00040832+0.0021565i,0.0010648+0.0031702i,0.00078531+0.0024693i,-0.00040379+0.0012266i,-0.00032016+0.00051725i,-0.00011216+0.001047i,-0.0010414+0.0029842i,-0.0019857+0.0033832i,-0.0017618+0.0017759i,-0.00087048+0.0010464i,0.0003683+0.001136i,0.0012768+0.0012794i
0.001442-0.00088334i,0.002543-0.0011041i,0.0017469-0.0017873i,0.00035213-0.0023346i,8.1744e-05-0.0029694i,0.0017933-0.0023459i,0.0023029-0.0011887i,-0.0013819-0.0012238i,-0.0045501-0.0010962i,-0.0047462+0.0009874i,-0.0031804+0.0029536i,-0.0012148+0.00347i,-0.00023787+0.0035238i,0.00025134+0.0031677i,0.00047488+0.0022313i,0.0001913+0.0020818i,-0.0010872+0.0018413i,-0.0027429+0.0018665i,-0.0035233+0.0013971i,-0.0029585+0.00054462i,-0.0018522+0.00097804i,-0.00084682+0.0014102i,-0.00032194+0.00092549i
0.0012775+0.0034287i,0.0016959+0.0048664i,0.0025318+0.0033611i,0.0030255+0.00070948i,0.0033777+0.0020437i,0.0016083+0.0035381i,-0.00038534+0.0025322i,-0.0015724+1.0455e-05i,-0.0014764-0.0017062i,-0.00036499-0.0010074i,0.0005296-0.0003715i,0.00067578-0.00021727i,-0.00014084+0.00090703i,-9.3246e-05+0.0012811i,0.00030565-0.00030051i,-0.00047585-0.0017012i,-0.0017926-0.0021279i,-0.0022988-0.0021105i,-0.0018927-0.0021507i,-0.0010849-0.0017637i,-0.00011824-0.00025644i,-0.00031547+0.00054601i,-0.00086746+0.00014502i
-0.00077773-0.0010112i,-0.0019961-3.6046e-05i,-0.00037311+0.0007937i,0.0014844+0.0012688i,0.0010583+0.0013196i,-0.00059759+0.0011316i,-0.0024431+0.00058681i,-0.001575-0.00043397i,0.00081453-0.00048586i,0.0020041-5.7196e-05i,0.0024003-6.7217e-06i,0.00078311+4.3845e-05i,-0.0013573+0.0007703i,-0.0013761+0.0018525i,-0.0010213+0.0019808i,-0.00058+0.0012779i,0.00056934+2.3151e-05i,0.0013952-0.00067257i,0.0017092-0.00062325i,0.0013424-0.00031238i,0.00066327-0.00010182i,1.7771e-05-0.001194i,-0.00038318-0.0020582i
0.0013783+0.0018596i,0.0023774+0.0013338i,0.0013242+0.0024071i,-0.0012176+0.0024793i,-0.0022259-0.0011724i,-0.0029605-0.0063824i,-0.0018568-0.0079691i,0.00079131-0.0040424i,0.002727-5.3315e-05i,0.0042072+0.00065386i,0.0041026-3.3618e-07i,0.0024157+0.00076201i,0.0022123+0.0020182i,0.0020964+0.0014195i,0.0019918+0.00042388i,0.0032309+0.00052822i,0.0037737+0.00072412i,0.0025448-0.00060487i,0.0011002-0.00093951i,0.0011551-1.1886e-05i,0.0014655+0.00038579i,0.0018618+0.00069172i,0.0021542-3.4441e-05i
