-0.0036235+0.00030553i,-0.0032767+0.0029046i,-0.0039781+0.0035961i,-0.0041529+0.0037631i,-0.0024766+0.003444i,-0.0014438+0.0021454i,-0.0014465+0.0010592i,-0.0012476+0.00034366i,-4.1727e-05+7.3654e-05i,0.00041753-0.00046318i,-0.00032989-0.00063208i,-0.00015499-0.00031684i,9.8973e-05+0.00063211i,-0.00039527+0.00054678i,-0.00091708-0.00057723i,-0.00067631-0.00051476i,8.6659e-05-0.00024382i,0.00013946+1.9123e-05i,-6.0769e-05+2.6276e-05i,0.00032794-0.00049401i,0.0010164-0.00056573i,0.00084026-0.00068112i,-0.00021909-0.00037442i
-0.0026075-0.0029656i,-0.0045462-0.0020987i,-0.0045822-0.00014496i,-0.002131+0.0012679i,-0.00064319+0.00050211i,0.00046923-0.00095721i,0.00043644-0.0018369i,-0.00071058-0.0015217i,-0.0010409-0.00077208i,-0.00073858+7.7906e-05i,-0.00097213-0.00026226i,-0.0011675-0.0013109i,-0.00060543-0.0006291i,-0.00051655+9.1886e-05i,-1.2587e-05-6.1233e-05i,0.00085275+0.00041872i,0.0010223+0.00099044i,0.0013645+0.00057006i,0.0015034-0.00038002i,0.0013365-0.00065323i,0.00089544-0.00041087i,0.00098937-0.00049979i,0.00060472-0.00097523i
-0.00033636-0.002082i,-0.00082135-0.000648i,-0.0015507+0.00036415i,-0.0019943-0.00027412i,-0.0014887-0.0011617i,-0.00079122-0.0014338i,-0.001387-0.0011155i,-0.0025112-0.0011493i,-0.0021313-0.00064941i,-0.0011231-0.00023099i,-0.00028523-0.00073963i,-2.3879e-05-0.00095874i,-0.00047628-0.00017121i,-0.0001733+0.00015838i,0.00029813-0.0002684i,0.00043446-5.3283e-05i,0.00077585-0.00063626i,0.00097544-0.00089584i,0.00030436-0.00039518i,-0.00067909-0.00042953i,-0.0012813-0.00086484i,-0.00088528-0.0010336i,-0.00030977-0.0009776i
-0.0019566-0.0039095i,-0.0027956-0.0029832i,-0.0043803-0.0027002i,-0.0043067-0.0021634i,-0.0030693-0.0010606i,-0.0018704-2.8309e-05i,-0.0013298+0.00038028i,-0.0017298+0.00034158i,-0.0010266-0.00059547i,0.00023304-0.0010302i,3.2043e-05-0.00054277i,-0.0010734-0.00052162i,-0.0011322-0.00059473i,-0.000105-0.00022335i,0.00044665-0.00032691i,-3.11e-05-0.00025607i,-0.00092429-0.00050456i,-0.00067708-0.00083242i,-0.0003784-0.00014274i,-0.00077275-9.0233e-05i,-0.00086339-0.00058982i,-0.00033381+0.00014425i,0.00014177+0.00019288i
0.0013905+2.5221e-06i,0.00048674-0.0002074i,0.00056378-0.00091561i,0.00038491-0.0020754i,-0.00066729-0.0026736i,-0.0021724-0.001885i,-0.0020014-0.00045778i,-0.00091949+0.00026484i,-0.00063415+0.00061772i,-8.4403e-05+0.00061235i,0.00046996-2.4244e-05i,0.00021834-0.00049402i,-0.00016071-0.00099028i,-0.00061184-0.00087866i,-0.00087754-0.00054799i,-0.0010273-0.00059854i,-0.00085397-0.00033678i,-0.0005329+0.0002091i,0.00029239+0.00025297i,0.0010872+0.0002302i,0.0002577+0.00021537i,-0.00044121-5.9047e-05i,-0.00011011-0.0003359i
-0.0011911+0.0009944i,-0.00017075-0.00017727i,0.0010594-0.0010627i,-0.00030305-0.00046185i,-0.0019278+0.00024963i,-0.00091067+0.00033931i,-0.00037279-0.00019387i,-0.00091197-0.00034581i,-0.00069295+0.00020336i,-0.00055704+0.00030127i,-0.00046855+0.0003281i,-0.00031132+0.00038303i,-0.00017877+8.2116e-05i,9.7667e-05-8.0135e-05i,-0.00026702-0.00082676i,-0.00059247-0.0014834i,-0.00036598-0.00069081i,-0.00048418-0.00027797i,-0.00054712-0.00049151i,-0.00040947+0.00038908i,1.9493e-06+0.0010178i,0.00026149+0.00095807i,9.375e-05+0.00041011i
0.0025125-0.0013116i,0.0015043-0.0021403i,0.0018609-0.0016777i,0.0017448-0.00092361i,0.001066-0.0014787i,-4.5931e-05-0.0011189i,-0.00031881-5.8653e-05i,-2.8025e-06-0.00051372i,-0.00010346-0.00020471i,-4.3534e-06+0.00077768i,0.00062472-5.7578e-05i,0.0012012-0.00076302i,0.00060138-0.0011965i,-5.8794e-05-0.0012921i,-6.8909e-05-0.00031966i,-0.00065038-9.9479e-05i,-0.0012709+0.00042959i,-0.00077886+0.00030667i,0.00065708-0.00034141i,0.0011126-0.00029864i,0.00028238-0.00045881i,-0.00063148-0.00017807i,-0.00059398+0.0001753i
-0.001456-0.0021803i,-0.0030159-0.0016129i,-0.0024917-0.001816i,-0.0016462-0.00057962i,-0.00067008+0.00029528i,8.891e-05+0.00032584i,0.0010295-0.00099955i,0.0008293-0.0015226i,-0.00051369-0.0002266i,-0.0008069-0.00012578i,-0.00031851-0.0007063i,-7.4894e-05-0.00050255i,-0.00013656-0.0001456i,-0.0003362+0.000291i,-0.00038115+0.00010897i,-0.00028411-0.00027174i,-0.00037183-0.00030362i,-0.00055892-0.00033732i,-0.00036411-0.00070738i,-0.00016071-0.0011827i,-7.2076e-05-0.0013057i,-0.00018297-0.00090636i,-0.00055124-0.00037134i
0.00045939-0.0029326i,0.00043572-0.0022418i,0.00079503-0.0023638i,0.00061146-0.0032166i,-0.001516-0.0034479i,-0.0021037-0.0030362i,-0.0013406-0.0020851i,-0.00097548-0.00089689i,-0.00094035-0.00027971i,-4.1842e-05-0.0004506i,0.00029842-0.00081476i,-0.00077978-1.6339e-05i,-0.0011596+0.00069562i,-0.00090083-3.0134e-05i,0.00033879-0.0013081i,0.0010999-0.0015023i,0.00067493-0.00027669i,-0.00021172+1.5755e-05i,-0.00050599-0.00032409i,-0.00011647-0.00013655i,-0.00014432+2.1248e-05i,-0.00025088+0.00024248i,-0.00012417+0.00012336i
0.00068772-0.00030862i,6.777e-05+0.0015702i,-0.001159+0.0010617i,-0.0014233-0.00026202i,-0.001415-0.00058093i,-0.00073699-0.00038445i,0.00020098-0.00052099i,-0.00035305-0.00064198i,-4.7256e-05-3.7224e-05i,0.00052845+0.00023554i,-4.9854e-05-0.00043693i,-0.00051862-0.00062818i,-0.00010132-0.00078299i,0.00062982-0.00052199i,0.00080573+0.00017133i,0.000743+0.00029659i,0.00070967+0.00011093i,0.00042165+0.00023694i,0.00011098-2.5156e-05i,-0.00022863-0.0013336i,-0.00036066-0.0019045i,-0.0010245-0.0011927i,-0.0012368+0.00012247i
-0.00037402-0.00036621i,-0.00060649-0.00033297i,-0.0003028+0.00089315i,0.00018762+0.00049053i,0.00027898-0.00052139i,-0.00015285-0.0011441i,-0.00065119-0.00070036i,-0.00089712+0.00031301i,-0.00076746+0.0006988i,9.5977e-05+0.00021681i,0.00051807-0.00043749i,-0.00017286+0.00028203i,-0.00023021+0.00045217i,0.00030785+0.00015338i,0.00033543-0.00021119i,-0.00021109-0.00082673i,-0.00039479-0.00039229i,-0.00056489+0.00030014i,-0.00059438+9.6523e-05i,-0.00048159+0.00016736i,-0.00071338+0.0003111i,-0.00048997-6.647e-05i,-0.00045678-0.00019067i
0.0012749-0.00098496i,0.00054308-0.0014161i,0.0009469-0.0002207i,0.00012655+0.00025895i,-0.0010329-9.8126e-05i,-0.0012568+0.0001414i,-0.00096745+0.00039532i,-0.00047335-0.00020877i,6.6722e-05-0.00075575i,0.0001632-0.00025517i,0.00035146-7.3122e-05i,0.00082538-0.00021515i,0.00082784+0.00019555i,0.00020999+4.6287e-06i,-0.00043173-0.0008466i,-0.00077792-0.00097106i,-0.00075155-0.00075422i,-0.00020999+1.208e-05i,8.427e-05+0.00061495i,0.00011155+0.00061995i,0.00062325+0.00017655i,0.00029267+1.4552e-05i,-0.00031157+0.00021395i
-0.0029494+0.00080043i,-0.0026691+0.0016215i,-0.0017388+0.0015354i,-0.00028488+0.0020357i,-0.00014789+0.0013193i,0.00070177-6.9474e-05i,0.0011083-0.0001507i,0.00010829-6.5462e-05i,-0.00019724-0.00041765i,0.00016171-0.00052346i,-0.00024773-8.0618e-05i,-0.00011098+0.00095294i,0.00010785+0.0016266i,-0.0005082+0.0010613i,-0.00094975+8.9187e-05i,-0.00066504-0.0005055i,-7.4635e-05-0.00043886i,6.7212e-05-4.4408e-05i,-0.00051994+0.00086289i,-0.00057684+0.0011065i,-0.00049309+0.00011193i,-0.00099403-6.4299e-05i,-0.00084819-4.0107e-05i
0.0012453-0.0048321i,5.8671e-05-0.0046391i,-0.001084-0.0033147i,-0.0015906-0.0024337i,-0.0023223-0.0013841i,-0.0013349+4.6484e-05i,0.00080378+0.00036111i,0.0013953+0.0001606i,0.00018433+0.00030549i,-0.00046131-0.00037291i,0.00095526-0.00079367i,0.0013696-9.3343e-05i,0.0005198+0.00028235i,9.8157e-05-7.0284e-05i,-0.00023101-0.00012307i,-0.00053106-0.0003069i,-0.00029077-0.00061549i,-0.000648-0.00058189i,-0.00073612-0.00032724i,-0.00020765+0.00013155i,-7.9605e-05-6.1379e-05i,0.00039557+0.00039478i,0.00086595+0.0013502i
0.0024095+0.00087992i,0.0020482-0.00026693i,0.0013461-0.00033279i,0.00083321-0.0012469i,0.0011617-0.0016644i,0.00099167-0.000946i,-0.00032567-0.0014142i,-0.0016961-0.0017266i,-0.0020318-0.0010783i,-0.0011832-0.00076826i,-0.00067554-0.0014025i,-0.0010531-0.0017797i,-0.00069787-0.0016894i,-0.00032468-0.00094774i,-0.00071684-0.00039807i,-0.00057434-3.5533e-06i,-0.0003578+0.00023871i,-0.0002909+0.0005964i,-3.3156e-05+0.00057389i,0.00056917+0.00047048i,0.00072314-5.7374e-06i,0.001105-0.00038661i,0.00069665+0.00017528i
-0.0017057-0.0025701i,-0.0020692-0.0031525i,-0.0018021-0.003248i,-0.0022465-0.0026295i,-0.002014-0.001229i,-0.0010602-0.000288i,-0.00044212-0.00061613i,-0.00063238-0.00034859i,-0.001128+0.0011068i,-0.00083858+0.0011769i,-0.0009828+0.00059412i,-0.0014269+0.00045769i,-0.0013279-0.00012408i,-0.00082094-7.5888e-05i,-0.00036489-8.3693e-05i,-3.8565e-05-0.00075811i,4.1014e-05-0.00051697i,1.2479e-05-0.00031711i,-8.7992e-05-0.00074137i,-0.00030388-0.00085629i,-0.00038496-0.00056372i,-0.00019847-0.00056621i,-0.0003465-0.00045063i
-9.3087e-06+0.00065974i,-0.00030224+0.0015388i,-0.00042588+0.0020405i,-0.0001243+0.0021608i,0.00026979+0.00070455i,-6.3397e-05-0.0015614i,-0.00109-0.0017381i,-0.001269-0.00023709i,-0.00080651+0.00082154i,-0.00065582+0.00084181i,-0.00082655+0.00040797i,-0.000809+0.00019395i,-0.00032961+0.00083987i,-0.00039118+0.0010242i,0.00010629-0.00017152i,0.0010393-0.00074618i,0.00073762-0.00053526i,6.892e-05-0.00051425i,-0.00031688-0.00092591i,-6.9197e-05-0.00052283i,0.00063578-0.00049821i,0.00023777-0.00054376i,-0.00010216-0.00072141i
-0.00048089-0.0014958i,-0.00030826-0.0018922i,0.0008912-0.0017667i,0.00040997-0.0014745i,-0.00036641-0.0014866i,-0.00022863-0.0010917i,-0.00035407-0.00054152i,-0.00078272+0.0002805i,-0.00083376+0.00056557i,-0.0006389+2.5165e-05i,-0.00051508-9.9566e-05i,2.7926e-05+0.00032448i,2.2003e-05+0.00075082i,-0.00030382+0.00042324i,-0.00025092-0.00047645i,-0.00049794-0.00046121i,-0.00064947-0.00047732i,-0.00079897-0.00057264i,-0.00063116-0.0006175i,-0.00058944-0.00042391i,-0.000801-0.00016091i,-0.00023292-0.00038025i,0.00059807-0.00098724i
-0.0010212-0.0040528i,-0.0022439-0.0026615i,-0.0034532-0.0018838i,-0.0038441-0.00042332i,-0.003457+0.00083061i,-0.0020123+0.0015528i,-0.00078383+0.0016393i,-0.00038522+0.0013724i,-9.6705e-05+0.00041819i,0.00014418-0.00048124i,0.00053268-0.00042241i,0.00041225-0.00035437i,-0.0004648-5.3527e-05i,-0.00068073+0.00010484i,-0.00023663-0.00026551i,-0.00011572-0.00044534i,5.9228e-05-0.00034545i,0.00026551-0.00058232i,0.00044448-0.00042769i,-0.00014428-0.00047698i,-0.0010291-0.00036923i,-0.0010413-0.00030424i,-0.000141-0.0002191i
-0.00015115-0.0023233i,-0.0010186-0.0025355i,-9.7749e-05-0.0029341i,0.000406-0.002414i,-0.00059939-0.0013777i,-0.00083314+0.00021051i,-0.0001805+0.00084441i,0.00044784+0.00031744i,0.00060599-0.00027377i,0.00070146-9.414e-05i,0.00076174-0.00010937i,4.8672e-05+2.3743e-05i,-0.00065243+0.00024763i,-0.00079381-0.00010057i,-0.00063469+5.644e-06i,-0.00033542+7.2334e-05i,-0.00086896+0.00025183i,-0.0015095+0.00052252i,-0.00071414+0.0011179i,-0.00026625+0.00090664i,-0.00050799+0.00010465i,-0.00059533+0.0002853i,-0.00043246+8.3656e-05i
0.0008493-0.0013599i,0.00062936+0.00023216i,3.6936e-05+0.00060752i,-0.00048272+0.00035562i,-0.0012549-0.00011969i,-0.0015365+5.1106e-05i,-0.0011427+0.00052447i,-0.0010983-0.00036963i,-0.0011273-0.00067796i,-7.6668e-05-0.0005092i,0.00041898-0.0015406i,0.00036576-0.001407i,-0.00029709+0.00024704i,-0.0011676-8.4459e-05i,-0.00076439-0.00076002i,-0.00034173-0.00049584i,-0.00017434+0.00037403i,0.00036789+0.00086478i,0.00057697+0.00029063i,-0.00023917-0.0003276i,-0.00043471-0.0002895i,-0.00042873+8.1957e-05i,-0.00075179-5.5853e-05i
-0.0016317-0.00074755i,-0.0018867-0.00050249i,-0.00092603-0.0011119i,-0.00086851-0.0011394i,-0.0013664-0.0015676i,-0.00018129-0.00097207i,0.0010451-0.00042417i,0.00085907+6.0496e-05i,0.0002347+0.0009371i,-0.00013122+0.0011217i,-0.00043166+9.2288e-05i,-0.0011855-0.00025295i,-0.001486+0.00015454i,-0.00083292+0.00020942i,0.00015317-0.0003567i,0.00029943-0.00044658i,-0.00019776-0.00069616i,5.047e-05-0.00069971i,0.00065099+0.00017774i,0.0010582-0.00016037i,0.00049496-0.00074374i,-1.292e-05-0.0002874i,0.00010201+0.00013204i
0.002311-0.0025568i,0.0015346-0.0021839i,0.0010835-0.0027869i,0.00034477-0.0025947i,-0.0003828-0.0010848i,-0.00066343+8.9399e-05i,-0.0010213-0.00027769i,-0.0016916-0.0011159i,-0.00072402-0.00066664i,0.0002767-5.6654e-05i,-0.00029449-0.00065518i,-0.00090956-0.00046786i,-0.00093928-0.00020343i,-0.00067415-0.00024135i,-0.00023881+0.00030993i,-0.00053452-0.00022855i,-0.00070944-0.00065213i,-0.00055576-0.00051896i,-0.00029577-0.0012056i,0.00028988-0.0015155i,0.00084356-0.00087611i,0.00059179-0.00012069i,0.00031589-0.00062663i
-0.00077131+0.0004447i,-0.00083464-1.2589e-05i,-0.00058286-0.00045575i,8.2597e-05-0.00014195i,-0.00014305-0.00064413i,-0.00049017-0.0012079i,-0.0010764-0.00072475i,-0.0013867+0.00028429i,-0.00017278+0.00092924i,0.00022326+0.00070151i,0.0002857+0.00074564i,5.3125e-05+0.0011563i,-0.00026179+0.00041688i,-0.00033694-0.0003542i,-0.00080305-0.00027005i,-0.00062215-0.00013095i,-0.00019055-0.00039058i,-0.00010378-0.00076684i,-0.00030062-0.0011722i,-0.00016218-0.0010434i,-0.00037132-0.00084127i,-0.00042923-0.00020145i,-0.00036948+0.0003927i
-0.0022538-0.0026465i,-0.0016984-0.0014371i,-0.002521+4.1183e-05i,-0.00222+0.00043047i,-0.0018541+0.00065576i,-0.0011875+0.00011045i,-0.00065883-0.00030908i,-0.0010548+0.00010753i,-0.0002282-0.00042435i,0.00027935-0.00056277i,-0.00056029-0.00051239i,-0.00086096-0.00024019i,-0.00047614-0.00010904i,-0.00016195-7.5625e-05i,-0.00019775+0.00028402i,-0.0011146-0.00032571i,-0.0013003-0.00080588i,-0.00048599-0.00011005i,0.00040766-0.00027357i,0.00029377-0.00050667i,-0.00044354-0.00062103i,-0.00031189-0.00050701i,-0.00041055+0.00010211i
0.0034433-0.0022242i,0.0026853-0.0028661i,0.0015523-0.0038121i,7.8698e-05-0.0041335i,-0.001014-0.0034243i,-0.0013468-0.0020439i,-0.0019689-0.0014831i,-0.002177-0.0012487i,-0.0014382-0.00026201i,-0.00086253+0.00029428i,-0.00015975-0.00011897i,0.00033329-7.7928e-06i,5.7784e-05+0.00011871i,-0.00026093-4.8956e-05i,-0.0005269-0.00033146i,-0.0006278-0.00036558i,-0.00035891-6.5281e-06i,3.2652e-05+0.00021092i,0.00040712+0.00042158i,0.00066268+0.00014584i,0.0001249-0.00014249i,-0.00094563+0.00055066i,-0.00074394+0.00030694i
-0.0021843-0.001605i,-0.0029862-0.0016806i,-0.0029775-0.0014942i,-0.0034602-0.00046113i,-0.0035821+0.00025449i,-0.0023815+7.1873e-05i,-0.0012406-0.00053138i,-0.00084327-4.1867e-05i,-0.00025891-0.0002034i,0.00038237-0.00035682i,0.00031397-3.3866e-06i,-0.00018497-0.00046637i,-0.00042437-0.00071433i,-0.00012236-0.0002063i,8.1777e-06+0.00019843i,-2.3168e-05+0.00059924i,-0.00038103+0.00034764i,-0.00045435+0.00058416i,-0.00065911+0.0004967i,-0.00089516+0.00035009i,-0.00057001+0.00046283i,-0.00031712+0.00061675i,-0.00044101+0.00065706i
0.00015643-0.0013349i,0.00011453-0.00014328i,-0.00012616+0.00037855i,0.00024759-0.00017325i,0.00034957+0.00026064i,-0.00069233+9.4506e-05i,-0.00089659-0.00022664i,-0.0010159-0.00033317i,-0.0012666-0.00024444i,-0.00016398+0.00029331i,0.00041091+9.6908e-05i,-0.00019326-7.0524e-05i,-0.00015078-9.7424e-05i,0.00027744-0.00020592i,0.00065789+0.00050795i,0.00072583+0.00095394i,-0.00023854+0.00036308i,-0.00047074-0.00018966i,0.00013873-0.00060835i,0.00029719-0.00083762i,0.00038771-0.00088032i,0.00027265-7.7993e-05i,-0.00014974+0.00017501i
0.00043732-0.00011653i,-0.00015525+0.0006541i,-0.00019191+0.00014662i,-0.00032607-0.00058833i,-0.00057933-1.356e-05i,-0.00068494+0.00044895i,-0.00081308-0.00058925i,-0.00022717-0.00085937i,-8.2368e-05+0.00058417i,-0.00066766+0.00066977i,-0.00054335+6.2704e-05i,-0.00012438-0.00052352i,0.00016164-0.0005865i,0.00066197+0.00045966i,0.00034123+0.0001418i,-0.00055756-0.0010006i,-0.00049367-0.00060662i,-5.1136e-05-0.00012476i,0.00065982-0.00030995i,0.0010051-0.00033074i,0.00061357-0.00045625i,0.00045203-0.00010175i,0.00068249+0.00037533i
0.00010668-0.0034105i,-4.7092e-05-0.0032156i,-0.00017361-0.002045i,-0.0005577-0.00095186i,-0.00027154-0.00058198i,-0.00041437-0.00033204i,-0.00060734+0.00034547i,-0.0013129+0.00070719i,-0.0012237+0.00056693i,-1.9295e-05+3.9523e-05i,0.00012447-0.0010185i,-0.00040886-0.001146i,-0.00010056-0.00044125i,-0.00019026-0.00099172i,-0.00073758-0.0011494i,-0.00018603-0.00042703i,-0.00043237+0.00024603i,-0.00071633+0.00043159i,9.3068e-05-0.00020857i,0.00054972-0.00060301i,-0.00020793-0.00038609i,-0.0003701-0.00064346i,8.4833e-06-0.00042629i
0.00076321+0.00010816i,-0.00084136-0.00047887i,-0.00074997-0.0012012i,0.00057296-0.0010421i,0.00054301-0.00040782i,0.00037384-0.00016665i,0.0004645-0.00014468i,-0.00013534-0.00018331i,-0.00049496-0.00042085i,-0.00011917-0.00063376i,-0.00027222-0.0011242i,-0.00059506-0.00054428i,-0.0003247+0.00033418i,0.00033318+0.000298i,0.00019225-0.00040532i,5.5101e-05-0.00076224i,-0.00045532-0.0007837i,-0.0013516-0.0012898i,-0.00055465-0.0011768i,0.0007823-0.00059029i,0.00044065-0.00044642i,-0.00055522-0.00050102i,-0.00051634+5.8474e-05i
0.001323-0.0015471i,0.001425-0.00093567i,0.0022268-0.00052388i,0.0016049-0.0018473i,0.00046037-0.0032306i,-0.00055634-0.0018379i,-0.001395-0.00072746i,-0.0010788-0.00091716i,-0.00061805-0.00050968i,-0.00041523-0.0003677i,-0.00017753-0.0011857i,-0.00047452-0.001475i,-0.00042277-0.00089532i,-0.00025305+4.0275e-06i,5.1099e-05-3.5742e-05i,7.6898e-05-0.00012644i,4.5158e-05+0.00015485i,0.00016444+0.00041352i,-4.1362e-05+0.00015246i,-0.00024531-0.00046347i,-0.00072674-0.0010531i,-0.00026773-0.00098618i,0.00036276-0.00052508i
0.00027812-0.0023941i,-0.00090908-0.0019292i,-0.0014984-0.0027523i,-0.0023057-0.0027748i,-0.0033551-0.0019992i,-0.0018299-0.0019421i,-0.00019824-0.0017583i,-0.00022164-0.001158i,-0.00067452-0.00065477i,-0.0009156-0.00069227i,-0.00085405-0.0014904i,-0.00065563-0.0014162i,-0.0001979-0.00068034i,0.000227-8.2827e-05i,5.1937e-05-0.00032878i,-0.00057079-0.00080294i,-0.0006482-8.9549e-05i,-0.00059206-3.8951e-05i,-0.00015169-0.00020071i,-8.8718e-05-0.00029296i,-0.00055338-0.00064092i,-0.00075357-0.00067652i,-0.0010801-0.00078696i
-0.00017046-7.9937e-05i,0.00062866-0.00044801i,0.00050654+0.0012577i,-0.00044929+0.001464i,-0.0010001+0.0010534i,-0.0017156+0.00040958i,-0.0015855-0.0005672i,-0.0014913-0.00055002i,-0.0018524-0.00075183i,-0.0015858-0.00057434i,-0.0014365-9.5821e-05i,-0.0012066+0.00087587i,-0.00044295+0.0011066i,0.00041081+0.00024673i,0.0012596-0.00042579i,0.0012106-0.0009552i,0.00049436-0.00081655i,0.00031474-0.00027968i,0.00020481-0.00013393i,8.5435e-05-0.00041442i,7.9375e-05-3.569e-05i,0.00033495+0.0010078i,0.00047244+0.0010506i
-1.6863e-05-0.0022079i,8.2628e-05-0.0019701i,0.0005896-0.0012342i,-0.00043576-0.00086691i,-0.0016327-0.00065392i,-0.0015977+7.3401e-05i,-0.0014074-0.00020562i,-0.0013164-0.00062051i,-0.0011494-0.00048379i,-0.00064808-0.00068248i,-0.00054507-0.00096633i,-0.00012695-0.00072256i,0.00092042+0.00019014i,0.0014826+0.00011866i,0.00091859-0.00073262i,6.9521e-05-0.00076035i,-0.00013454-0.00061078i,0.00046421-0.00032045i,0.0016989+0.00017635i,0.0019589+0.00019991i,0.0010502+0.00037782i,0.00041955-4.3024e-05i,0.00069068-0.00035379i
-0.0035027-0.00061249i,-0.0038349+0.0010253i,-0.0040816+0.0013556i,-0.0037975+0.0017551i,-0.0022094+0.002539i,-0.00071137+0.002646i,-0.00031168+0.00091948i,-0.00043217+6.2217e-05i,-0.00089671-0.00049333i,-0.00084081-0.00044152i,-0.00049523+0.00054971i,-0.00046408+0.0010957i,-0.00056698+0.00076083i,-0.00061894-0.00017361i,-9.2434e-05-0.00070699i,-5.1128e-06-0.00057007i,-5.5762e-05-0.00020498i,-0.00024087-8.4764e-05i,8.4609e-06-0.00035059i,0.00070245-0.00023075i,0.00041605+8.308e-05i,7.4453e-05-0.0007936i,0.00070994-0.0014843i
0.00060058-0.00088797i,-9.7624e-05-0.00093408i,-6.4707e-05-0.00029103i,0.00065347+0.00015071i,0.0015604+0.00043395i,0.0016683+0.00054676i,0.00059109+0.00017259i,-0.00036745-0.00016446i,-0.00036973+0.00011166i,0.0004761+4.3824e-06i,0.00062051-0.00015012i,0.00027551-0.00023026i,0.00055507-0.0007018i,0.00086953-0.0012443i,0.00085242-0.0012164i,0.00014065-0.0005638i,-3.4341e-05-0.00057286i,0.00035049-0.0010941i,0.00070849-0.0010628i,0.0008606-0.0012595i,0.00014946-0.0010217i,0.00047089-0.00039655i,0.00096624-0.000938i
0.00065861+2.6014e-05i,0.00012414+0.00066557i,0.00021291+0.0012255i,0.0011028-6.2365e-05i,0.001238-0.001147i,0.00070989-0.0014311i,0.000669-0.0013366i,4.3504e-05-0.00078515i,-0.00048167-0.00023084i,-0.00017579-7.5606e-05i,-7.8902e-06-0.0010324i,0.00066468-0.0016562i,0.0010716-0.00094519i,0.00091129-0.00056901i,0.00033643-0.00029624i,-0.00026998+0.00016476i,-0.00065326+0.00021697i,-0.00033701-0.00042099i,0.00036424-0.00053216i,0.00060707-0.00040117i,-0.0001915-0.0005962i,-0.0010048+0.00029179i,-0.00020518+0.0010023i
0.0004303-0.00089102i,0.00032143-0.0019964i,-0.00028673-0.002594i,-0.0003675-0.0030789i,0.00032383-0.0045224i,0.00076238-0.0040783i,-0.00049287-0.0025791i,-0.001252-0.0010299i,-0.00090606+5.5877e-05i,-0.00039752-0.0003988i,2.8131e-05-0.00074452i,-0.0004146-0.00062858i,-0.00059563-3.9326e-05i,-0.00013543+0.0002902i,0.00075835+0.00022651i,0.0010485+0.00051037i,0.00017211+0.00096154i,-0.0006858+0.00069931i,-0.0011643-8.0288e-05i,-0.0015408-0.00037467i,-0.0014272-3.9821e-05i,-0.0014043+7.7463e-05i,-0.001041-0.00053165i
-0.00074454-0.0016976i,-0.0019045-0.00057005i,-0.0031084-0.00015035i,-0.0029205-0.00063338i,-0.0026908-0.0010151i,-0.0023281-0.0010098i,-0.001397-0.00041694i,-0.00047976-0.00095777i,-0.00064836-0.00054576i,-0.0016242+0.00055943i,-0.0019123+0.00011938i,-0.001504-0.00062556i,-0.0012296-0.00028279i,-0.0012251+0.00073075i,-0.00063624+0.0012741i,-4.9107e-05+0.00089484i,-0.00025002+0.00030598i,0.00030577-0.00011336i,2.8171e-05-9.0588e-05i,-0.00091+0.00023779i,-0.00083866+0.00056461i,-0.000358+0.00059809i,0.00012613+0.00056175i
0.0012049-0.001235i,0.00034942-0.0011868i,0.00024881-0.0022836i,-0.00049373-0.0025148i,-0.0016612-0.0019915i,-0.0020816-0.0016955i,-0.0023404-0.0010832i,-0.0021209+0.00014966i,-0.0016687+0.00073844i,-0.0005451+8.3123e-05i,3.3207e-06-0.00048001i,5.5021e-05-0.00046292i,0.00045449-0.00038599i,0.00040258-0.00046884i,-0.00050468-0.00083608i,-0.00074073-0.0010426i,7.3476e-05-0.00061008i,0.00020921-8.5303e-05i,0.00045159+0.00012889i,0.0010016+0.00039833i,0.00051411+0.00067647i,-2.6531e-05+0.00012319i,-0.0004937-0.00021472i
0.0018603-0.0023792i,-0.00016198-0.0027584i,-0.00077501-0.003302i,-0.0013244-0.0036051i,-0.0021024-0.0024628i,-0.0020985-0.001507i,-0.0011669-0.0011131i,-0.0006941-0.0011266i,-0.00041695-0.0012319i,0.00058158-0.00078656i,0.0011663-0.00029986i,0.00017878-0.00055879i,-0.0008012-0.00071455i,-0.00068051-0.00061042i,-0.00039763-0.001221i,-0.00010269-0.0013298i,-0.00041728-0.00054871i,-0.00077536-8.817e-05i,-0.00031138+0.00026473i,-0.00021261+0.00041327i,-0.00054756+0.00021674i,0.00030048-0.00028811i,0.0005719-0.00018426i
-0.00055693+0.0025419i,0.00011976+0.0019328i,0.0028516+0.003216i,0.0030464+0.0032183i,0.00081179+0.0017182i,-0.00032551+0.00026417i,-0.00068646-0.00074486i,-0.0009627-0.0010981i,-0.00049408-0.00063638i,-0.00036518-0.00042001i,0.00051979-0.00062766i,0.0010631-0.00039392i,0.00096744-0.00031815i,0.00087256-0.00049705i,0.00038103-0.00042864i,0.00018938-3.5308e-05i,0.00028993-0.00036709i,0.00029762-0.0010701i,0.00039001-0.00087511i,0.00056733-0.00037354i,0.0011373-0.00015363i,0.00098654-0.0001841i,0.00083958-0.00056555i
