-0.00031426+0.00025655i,-0.0011564+0.00041515i,-0.0014736-0.00035327i,-0.0010863-2.1783e-05i,-0.00083035+0.0013169i,-0.00091882+0.0016014i,-0.0010438+0.0016076i,-0.00070051+0.0015678i,0.00012383+0.00088433i,0.00053081+0.00027643i,0.00063489+0.00029763i,0.00015722-0.00032738i,-0.00027584-0.00056886i,-0.00015578-0.00024462i,5.7405e-05-0.00069631i,4.1898e-06-0.00039459i,-3.4573e-05+0.00034535i,-1.4826e-05+0.00086671i,-0.00012909+0.00040384i,8.6207e-05+0.00019965i,5.3322e-06+0.00066797i,-0.00061817+0.00030103i,-0.0010083-0.00042037i
0.00072795-0.0012831i,0.0016285-0.00061923i,0.001795+7.2416e-05i,0.0015396-0.0002669i,0.0014484-0.00074357i,0.00013616-0.0014226i,-0.00088849-0.0019415i,-0.00048573-0.00036088i,-0.00037263+0.0008885i,-0.00082588-0.00013455i,-0.00065462-0.00023807i,-5.6912e-05-0.00024633i,0.00057062-0.0010683i,0.0011914-0.00051006i,0.001508+0.00035985i,0.0010898+0.0012411i,0.0001364+0.0011516i,-0.0012997+0.00023933i,-0.0024523-8.6021e-05i,-0.0020872-0.00044583i,-0.00076555-0.00093739i,-0.00022883-7.3423e-05i,-2.8452e-05+0.00073985i
-0.0029663-0.0010594i,-0.0024927+0.001149i,-0.0018552+0.0019758i,-0.00045389+0.0020715i,9.6779e-05+0.00060777i,0.00012791-0.0014654i,0.00098972-0.0020763i,0.0014096-0.0012611i,0.00027107+6.8546e-06i,-0.00073943+0.000973i,-0.00039333+0.0015282i,0.00012281+0.00056536i,0.00068845+0.00052255i,0.00088456+0.001193i,0.00054078+0.0011102i,-0.00028655+0.00078699i,-0.00077406+0.00064058i,-0.00077617+0.00012502i,-0.00092753-0.00057348i,-0.00086837-0.0012082i,-0.0011358-0.000955i,-0.00035633-0.00076117i,0.00049281-0.0005837i
0.00076249+0.0019841i,0.00039435+0.0019147i,0.0015692+0.00038544i,0.0019893-0.00065974i,0.00071403-0.0010156i,-0.00025478-0.0021915i,0.00033235-0.0018033i,0.00042481+0.00023668i,-0.00042041+0.00037562i,-0.0006173-0.00064406i,-0.00031126-0.00082869i,0.00051419+3.352e-05i,0.0014035+0.001043i,0.0010675+0.0012451i,-0.00060574+0.0011681i,-0.0014291+0.00081819i,-0.0012991+0.00014824i,-0.0012376-0.00087759i,-0.00054999-0.0013234i,0.00020146-0.00063965i,0.00033691-0.00099465i,7.9183e-05-0.00082504i,-0.00017124-0.00069399i
-0.00074177-0.00085235i,-0.0016943-0.00055014i,-0.0011779-0.0003143i,-0.00099317-0.00099027i,-0.001786-0.0011437i,-0.0020398-0.0013089i,-0.0014131-0.001226i,-0.0014983-0.0006123i,-0.0013756-0.00014229i,-0.00019346+0.00023427i,0.00071749+0.00030838i,0.00020729+0.00025806i,-0.00037694+0.0002483i,-0.00037627+0.00035934i,-0.00066919+1.7606e-05i,-0.00081528-0.00065509i,-0.0013267-0.0010017i,-0.00098589-0.0013903i,-4.3057e-05-0.0015565i,0.00042088-0.00093397i,0.00087499-6.2607e-05i,0.00036909+4.1122e-05i,-0.00012696-0.00014271i
-0.0011585-0.000345i,0.00028356+0.00044248i,0.0021164+0.0010823i,0.0034633+0.00079456i,0.0029797-0.00056042i,0.00076804-0.0013806i,-0.0015125-0.0013019i,-0.0019232-0.00069737i,-0.00052636-0.00035567i,8.3632e-05-0.00071627i,9.6376e-05-0.00036639i,-9.7275e-05+0.00016587i,-0.00039379-0.00027046i,-0.00084046+0.00031249i,-0.001331+0.00039853i,-0.00069825-0.0014986i,4.7026e-05-0.0027441i,0.00023039-0.0018335i,0.0002434-0.00028874i,0.00039401+0.0005928i,0.00071937+0.00058931i,0.0009997+0.00053274i,0.00071563-0.00054948i
0.0011395+0.00016262i,0.0011259-0.00056884i,0.00065519-0.00044076i,-0.00026386+0.0010997i,-0.0010658+0.0010816i,-0.0011391+0.00041384i,-0.001032+0.00052438i,-0.00050942+0.00076257i,-0.00010977+0.00045704i,-0.00015689-0.00012929i,-0.00016403-0.00040203i,-0.00071002-5.823e-05i,-0.0011159+0.0013003i,-0.00042197+0.0021678i,6.5326e-05+0.0010718i,0.00059937-0.00089318i,0.0016056-0.0013813i,0.0018189-0.00067365i,0.0013713+9.5563e-05i,0.00075165+0.00049008i,0.00069759+0.00061113i,0.00034609+0.00056924i,-4.6602e-05+0.00030989i
-0.00053091+6.4206e-06i,-0.00045553+0.0016096i,-9.4712e-05+0.0015393i,0.00058326-0.00074322i,0.00097667-0.0023906i,0.00037817-0.0029308i,-0.00029753-0.0018699i,-0.00012552-0.000195i,0.00045597+0.00027866i,0.00073522+0.00080473i,0.00043806+0.0017994i,-0.00038508+0.0013742i,-0.0007189+0.00064344i,-0.00017717+0.00019264i,0.00014824+0.00010132i,0.00069201+1.4741e-05i,0.0015162-1.2902e-05i,0.002016+5.0004e-05i,0.0015111-7.8918e-05i,0.0010355+0.00030892i,0.00080449+0.00061495i,-1.8777e-05+0.00010761i,0.00048596-3.8928e-05i
0.0030842-0.00027308i,0.0034236-0.00094946i,0.00159-0.00087485i,-0.00033709-0.00038631i,-0.0014251-0.00071236i,-0.0016742-0.0018875i,-0.0018238-0.00097498i,-0.0017309+0.00057863i,-0.00096377+0.00067163i,-0.00046939+0.00065988i,-0.00039155+0.00054531i,-0.00039493-6.7152e-06i,-0.00072764-0.00051886i,-0.0012025-0.00083489i,5.1372e-05-0.00061959i,0.0017614-0.00011801i,0.0014958+0.0004053i,0.0011177+0.00068484i,0.00071324+0.0001186i,-0.00023937+0.00033551i,-0.000598+0.0006951i,-0.00060317+0.00056883i,-0.0012511-4.4469e-05i
0.001806-0.00076732i,0.0031495-0.0016131i,0.0031689-0.001068i,0.0025325-0.00091979i,0.00059664-0.0019129i,-0.0015814-0.0021289i,-0.0015312-0.0010511i,-0.00056652-0.00068291i,-0.0006996-0.00062162i,-0.0009992-0.00044839i,-0.00099786-1.5286e-05i,-0.00039517+0.00034445i,-0.00032766-0.00045369i,-0.00010188-0.00071871i,0.00013969+0.00029835i,7.5487e-05+0.0015889i,0.00030749+0.0022366i,6.418e-06+0.0026134i,-0.00042184+0.0023679i,-0.00038999+0.0014547i,-0.0012905+0.00097799i,-0.00094991+0.00063671i,0.00060473+0.00074192i
-0.00027389+0.001881i,0.00011007+0.00223i,-0.00026057+0.0019076i,-0.00059874+0.00099684i,-0.00033009+0.00061001i,-0.0010021-0.00010723i,-0.0014933-0.00044796i,-0.00071395+0.00036947i,8.1896e-06+0.0002317i,0.00024515-0.00011091i,3.5927e-05-0.00017386i,0.00041075-0.00084271i,0.00063529-0.0012621i,0.00020634-0.00090671i,4.5841e-05-0.00027886i,-0.00024153+0.0013514i,-0.0015777+0.0023466i,-0.0016512+0.0027165i,-0.00089492+0.0014216i,-0.00057738-0.00020961i,-0.0010367-0.00015222i,-0.0012381+4.1207e-05i,-0.00017726+0.00025107i
-0.00066906-0.00078865i,-0.0010881-0.00087048i,-0.00076883-0.00053775i,0.00029267-0.00050952i,0.0013916-0.00080842i,0.0011463-0.0010512i,-0.00052102-0.00093554i,-0.0014886-0.00030378i,-0.0013731-0.00016167i,-0.00075287+0.00010459i,-0.00026646+0.00039036i,0.00069458+0.00033091i,0.0013532+0.00083643i,0.0012361+0.0011283i,0.00077909+0.00071111i,-0.00045251+0.0011546i,-0.0015551+0.0015993i,-0.0013926+0.0013814i,-0.00023281+0.00074413i,0.00054813-0.00024168i,8.521e-05-0.00024449i,-0.00075816+0.00037573i,-0.00075923+0.00010706i
0.001564+0.00084795i,0.0017965-0.00025315i,0.0016148-0.00046098i,0.0012552+0.00014528i,0.00056515+9.6159e-05i,5.0519e-05-0.0005467i,-3.1372e-05-0.00065611i,9.4712e-05-0.00030983i,4.1102e-05-0.00010558i,-0.00095105+6.4679e-05i,-0.0013267-3.2943e-06i,-0.00095557+0.0004039i,-0.00021238+0.00038752i,0.00037443+0.00040795i,-0.00012514+0.00075025i,-0.0014378+0.00065603i,-0.0021475-3.5927e-05i,-0.0021544-3.8586e-05i,-0.0011289+0.0013248i,6.4722e-05+0.0010027i,0.00069333-0.00048552i,0.00040657-0.00027826i,-3.3019e-05+0.00021821i
0.00035748-0.00088858i,0.0015774-0.0013188i,0.0020518-0.0012318i,0.0015686-0.001465i,0.00077468-0.0019391i,-0.00089533-0.0016678i,-0.0013815-0.0012107i,-0.00032179-0.00076242i,0.0002962-0.00026224i,3.222e-05-0.0003133i,-5.174e-05-1.0647e-05i,1.215e-05+0.00090973i,0.00024255+0.00043344i,0.00020917+0.00011138i,-0.0011696-4.7217e-05i,-0.0024425-0.00071235i,-0.0017762-0.00092005i,-0.00017328-0.00082463i,-0.00025808-0.00043093i,-0.00010475+9.9207e-05i,0.00077247+0.00059966i,0.00048301+0.00016976i,-0.0002573-0.00096821i
0.0001974-0.0020952i,-0.0015971-0.0013259i,-0.0030781-8.437e-05i,-0.0028258+0.00060194i,-0.001438-6.1807e-05i,-0.00094231-0.00033171i,-0.00072595-0.00049292i,0.00014335-0.00063839i,-0.00018214-0.0004953i,-0.00037911-0.00080684i,-8.6141e-05-0.00052193i,-6.0449e-05+0.00036767i,0.00013276+0.00077766i,5.7959e-05+0.00072489i,-0.00027044+0.000152i,-0.00036712-0.001207i,-0.00052425-0.0016647i,-6.6161e-05-0.0011914i,0.00044794-0.00038595i,0.00039386+0.00080481i,6.4562e-05+0.00061519i,-0.00056762+0.0002328i,-0.00065179-0.00035045i
0.0015712+0.00058704i,0.0022757+0.0019348i,0.0025756+0.0027544i,0.0018309+0.0017416i,0.00081355-0.00061633i,-0.00034802-0.0020948i,-0.0017548-0.0011473i,-0.0014962-0.00053874i,-0.0011328-0.00090651i,-0.00094187-0.00069133i,0.00019669-0.00042959i,-0.00050795-0.00031095i,-0.0014791+0.0001482i,-0.00033214+0.00063654i,0.00067341+0.00033153i,0.0010352-0.0005161i,0.0015135-0.0011604i,0.0012446-0.00091466i,-0.00012325-0.00086494i,-0.0003432-0.0002328i,0.00045098+0.00087441i,0.00039812+0.00014747i,-6.3111e-05-0.00090339i
0.0027719+0.00038387i,0.003486-0.00075424i,0.0043802-0.0019217i,0.0034179-0.0014705i,0.0018228-0.00081038i,0.0010736-0.0013747i,9.8053e-05-0.001649i,-5.5678e-05-0.00024919i,0.00040556+0.00055879i,9.7125e-05-7.9484e-05i,-0.00082068-0.00052431i,-0.00053553-0.00074044i,-0.00051209-0.00036804i,-0.0012329+0.0005425i,-0.00034979+0.00087418i,0.00064603-0.00010723i,0.0010979-0.0012867i,0.0019649-0.0014246i,0.0013055-0.00089336i,-0.00027635+2.5495e-05i,-0.0011406+0.0008575i,-0.0012354+0.00062807i,-0.0011644+0.00016331i
0.0014824-0.00013173i,0.0002315+0.00034262i,-0.00017332-0.00092385i,0.00021394-0.0013922i,-0.00035997-0.0008964i,-0.0022101-0.00096702i,-0.0025001+6.1417e-06i,-0.00089487+0.001101i,0.00021344+0.00060726i,0.00010804+0.00016635i,-0.00063126+0.00015173i,-0.0012396+0.00038329i,-0.0015976+0.00063705i,-0.00026984+0.0011748i,0.0014894+0.0024104i,0.0025152+0.0021182i,0.0031357+0.0011067i,0.0026824+0.00011878i,0.0011417-0.00077974i,7.2411e-05-0.00084199i,-0.00073197-0.0012327i,-0.00094534-0.0012377i,-0.00042762-0.0001288i
0.002709+0.0020875i,0.0030004+0.002492i,0.0023339+0.0018381i,0.0011536+0.00057845i,-0.00037267-0.0005922i,-0.000484-0.0011338i,-0.00032209-0.0007211i,-0.00083739-9.9463e-05i,-0.00064425-0.00012786i,-0.00015944-0.00019524i,-0.0011936+0.00013138i,-0.0026156+0.00024891i,-0.0020958+0.00013521i,-0.0010498-2.5427e-05i,-0.00061899+0.00079001i,0.00014729+0.0014536i,0.0010303+0.0018705i,0.00078507+0.0020275i,0.00056648+0.00062392i,0.00056307-0.0010533i,0.00039996-0.0015328i,0.00055693-0.0016738i,0.00046087-0.0014026i
-0.00072074-0.0014982i,-0.0003968-0.000415i,0.0011069-0.00010089i,0.001473-0.00082297i,-0.00040465-0.0016387i,-0.0019607-0.0021723i,-0.0016997-0.0022243i,-0.0013806-0.0009469i,-0.0010729-0.00039736i,-0.00062795-1.7632e-05i,-0.00027581+0.0001409i,0.00024278-0.00052095i,0.00027189-0.00036221i,-7.3777e-05+0.00056334i,-0.00010338+0.0019121i,-0.00080759+0.0028361i,-0.0010352+0.0024926i,0.00028567+0.0022273i,0.0019954+0.0016507i,0.0016376+0.00038439i,5.5987e-05-0.00069917i,-0.00075511-0.0011556i,-0.00075961-0.0012072i
0.00029268-0.0011096i,0.00089331-0.0030804i,0.0013861-0.0033232i,0.00081229-0.0015109i,0.00063869-0.0006662i,-0.00043018-0.00082811i,-0.0017023+0.00018744i,-0.0014293+0.00047037i,-0.0012326+0.00015244i,-0.0015282+0.00045989i,-0.00034013+0.00040648i,0.0010211-0.00045287i,0.00058445-0.00082344i,-0.00074702+0.00035778i,-0.0026271+0.0015294i,-0.003121+0.0011976i,-0.0015574+0.00099i,-0.00045479+0.0010199i,0.00064274+0.00099008i,0.0014542+0.00065903i,0.001036-0.00016215i,0.00091221-0.00033567i,0.00067804-0.00041362i
-0.0018435-0.00040897i,-0.0032196+0.00051125i,-0.0037819+0.0022434i,-0.0026942+0.001992i,-0.0015653-0.00026196i,-0.0019411-0.0023429i,-0.0024292-0.0022626i,-0.0017633-0.00072828i,-0.00070711+0.00034716i,4.5987e-05+0.00097823i,-7.2075e-06+0.00064212i,-1.0742e-05-0.00046979i,0.00053313-0.0013783i,-9.5942e-05-0.0013251i,-0.0012998-0.00068648i,-0.0016517-0.00054664i,-0.00097088-0.00013558i,0.0001182+0.0010743i,0.00078219+0.0019938i,0.0011376+0.0017637i,0.0013541+0.00058757i,0.0011138-0.00025404i,0.00055534+0.00030198i
0.0018947-0.00099567i,0.0024137-0.0011417i,0.0023568-0.00088742i,0.0014326-0.00028177i,2.0791e-05-0.00028786i,0.00016899-0.00035655i,-5.8152e-05-9.817e-06i,-0.00043109-7.7814e-05i,-0.00017774-0.00072493i,9.5e-05-0.00045475i,0.00066207+0.00040387i,0.00068917+0.00047961i,0.00065702-0.00013455i,0.00061758-0.0002076i,0.00013099-0.00020824i,-0.0011245-0.0013357i,-0.0023546-0.0012262i,-0.0022883+0.00057527i,-0.0010467+0.001358i,0.00021761+0.0014593i,0.0014165+0.0015586i,0.001597+0.00029033i,0.0011436-0.00062553i
0.0023809-0.0015194i,0.0024266-0.0030073i,0.0021295-0.0031519i,0.001077-0.002962i,0.00056685-0.0021638i,-0.00052995-0.0017116i,-0.0010776-0.0017518i,0.00013509-0.0012211i,0.00024869-1.897e-05i,-3.1416e-05+0.00061096i,-0.00012437+0.00096091i,-0.00016915+0.00096621i,0.00088849+0.00035713i,0.00097153-0.00019185i,0.00023609-7.1019e-05i,0.00010114-0.00036795i,-0.00072115-0.0005389i,-0.0013513-0.00018986i,-0.00090466+0.00094028i,0.00022587+0.0023749i,0.0011256+0.0024712i,0.00075657+0.00137i,0.00018913+0.00046147i
-6.9962e-05+0.00090826i,0.0012145+0.0004877i,0.0017285+0.00046172i,0.00055121-0.00012532i,-0.00070303-0.0013357i,-0.00082538-0.002263i,-0.0011634-0.0015521i,-0.0010882+3.8956e-06i,-0.00042054-0.00054716i,-0.00018995-0.00054451i,8.2721e-05+0.00018436i,-0.00021091-0.00037641i,-0.00053626-0.00079609i,0.00025127-0.00097169i,0.0015092-0.0014779i,0.0016425-0.0015894i,0.00082794-0.0017863i,2.9504e-05-0.0013221i,-0.00084433+0.00024629i,-0.00066688+0.0016883i,-3.0959e-05+0.0020615i,0.0003557+0.0014147i,0.00052222+0.00071748i
-0.00098978-0.00064278i,-0.0020885+0.00061118i,-0.001972+0.0023457i,-0.0016529+0.0026296i,-0.0022339+0.00086104i,-0.001957-0.0010407i,-0.00053867-0.0013083i,-0.0003352-0.00129i,-0.00095467-0.0011782i,-0.00077175-0.0010296i,0.00029418-0.00090303i,0.00085999-0.00043267i,0.00059337+0.00043468i,0.00085242+0.0001692i,0.0024426+0.00030213i,0.0038527+0.00067299i,0.0025363-4.4272e-05i,0.00075516-0.0010439i,-0.00018137-0.0016909i,-0.00098748-0.00085692i,-0.0011214+0.0002249i,-0.00063394+0.00058213i,-0.00017755+0.0011231i
0.0003647+0.00075856i,0.0019676+0.00076514i,0.0033858-8.0678e-05i,0.0035948-0.0017815i,0.0018832-0.0028544i,-0.00069852-0.0029348i,-0.00079202-0.0018949i,-0.0002085-0.00080484i,-0.00059188-0.00012376i,-0.00095469+0.00011236i,-0.000947-3.5731e-05i,-0.0010977+0.00020587i,-0.0010663+0.00089683i,8.1172e-05+0.0016123i,0.001535+0.0028745i,0.0022494+0.0033601i,0.0014286+0.0021119i,-6.8985e-05+0.00033501i,-0.00076534-0.00029499i,-0.0011735-0.00019605i,-0.0011678-0.00028339i,-0.00086368+0.00047383i,-0.00072848+0.0004528i
0.00033577-0.00017525i,0.00016202-0.0011359i,0.00060676-0.0010894i,0.00046095-0.00098013i,-0.00060206-0.00099217i,-0.0014584-0.001282i,-0.0010409-0.00098496i,-0.00029458+0.00041715i,0.00031625+0.0013973i,0.00092547+0.00071124i,0.0011919-0.00017638i,0.0010222+0.00011134i,0.00076636+0.00042508i,0.00056818+0.0014358i,-0.00018781+0.0027205i,0.00023162+0.0028655i,0.0012313+0.0019739i,0.0015812+0.00040169i,0.00068755-0.0005513i,-0.00024954-0.00067784i,-0.00069795-0.00051336i,-0.0015721+0.00023165i,-0.0018987+0.00064336i
-0.00092133-0.00082675i,-0.0015992+0.00028586i,-0.00080664+0.0020552i,0.001001+0.0021204i,0.0015391-0.00027668i,0.00046315-0.0022539i,0.00056802-0.0019442i,0.0013398-0.0010244i,0.00086927-0.00098762i,0.00076024-0.00082133i,0.00055105-6.4533e-05i,5.9498e-05+0.00035238i,-0.00088372+0.00034368i,-0.0022672+0.0012501i,-0.0023761+0.0019091i,-0.0012392+0.0023061i,-0.00093972+0.0020595i,-0.00044248+0.00073176i,0.00056371-0.00081916i,0.00013886-0.0010896i,-0.0010253-0.00097748i,-0.0014999-0.0011265i,-0.0012019-0.0016212i
0.00093717+0.0011995i,0.000824+0.0012756i,0.0014457+0.0015435i,0.0019158+0.0011697i,0.0016346+0.00068973i,3.9622e-07-0.00079646i,-0.00049816-0.0020271i,-0.00069695-0.0011881i,-0.00066695-6.3563e-05i,-2.1338e-06+2.1154e-05i,2.2488e-05-0.00028077i,-0.00021143-0.00072526i,-0.00089241-0.00089513i,-0.0027222-0.00051684i,-0.0041143+0.00034247i,-0.0039355+0.0013164i,-0.0023847+0.0013255i,-1.1866e-05+0.00077737i,0.0016849-5.093e-05i,0.0012285-0.00063008i,0.00025009-0.0016848i,0.0003053-0.0018632i,0.00079475-0.0010317i
0.0024118+0.0020952i,0.0031885+0.0009775i,0.0023906-0.00010067i,0.0018962-0.0009499i,0.00022119-0.0017205i,-0.0015472-0.0021487i,-0.0019901-0.0014009i,-0.0015289+5.3234e-05i,-0.0014304+0.00076003i,-0.00058234+0.000455i,0.0011207-0.00030584i,0.0016128-0.00043246i,3.7344e-06-0.0010213i,-0.0014801-0.0023274i,-0.0015287-0.0019479i,-0.0012226-0.00094644i,-0.0010945-0.00037138i,0.00033599+0.00031114i,0.0018949+0.00055662i,0.0024682+0.00045785i,0.0020942-0.00016685i,0.0011896-0.0012269i,0.0009856-0.001432i
0.00047497+0.0041558i,0.00066858+0.0037217i,0.0010907+0.0025456i,0.0010177+0.00216i,0.00090784+0.00088498i,0.00049445-0.0010482i,-0.00071125-0.0010471i,-0.00099229+0.00052552i,-0.00028739+0.00097883i,-0.0001566+0.00027511i,9.6947e-05+0.00017983i,0.00047409+0.00027808i,-0.00010076-0.00090441i,-0.00052164-0.0022615i,-0.00080802-0.0027674i,-0.00097642-0.0029985i,-0.000605-0.0017504i,-0.00079073+0.00084157i,-0.00085021+0.0012424i,0.00011723+8.8502e-05i,0.00047211-0.00028989i,0.00034002-0.00049491i,0.0004035-0.001371i
-0.0024088-0.000135i,-0.0026027+0.00093749i,-0.0024095+0.0027392i,-0.00072685+0.002874i,3.2005e-05+0.00069777i,2.2894e-05-0.00085305i,0.00038789-0.00074788i,0.00033363-0.0010084i,0.0003413-0.00098518i,-0.00021598-5.7025e-05i,-0.00095629+0.00082937i,-0.00086235+0.00087588i,-0.00019683-0.00043158i,0.0012333-0.0021405i,0.002053-0.0032567i,0.0022417-0.0034505i,0.0020728-0.0021678i,0.00074475-0.00014278i,0.00010129+0.0017013i,-0.00019965+0.001894i,0.00012916+0.00038501i,0.0013136-0.0010446i,0.0012622-0.0010328i
-0.0011924+0.00081587i,-0.00050512+0.00059794i,0.00038339+0.00051436i,0.001466-0.00050161i,0.0018658-0.0014577i,0.0011138-0.002873i,0.00088017-0.0032979i,0.00073435-0.00192i,0.00050022-0.00094918i,0.00081718-0.00044099i,0.0005937+0.00024052i,0.00036506+0.00061546i,0.00092967-0.00028844i,0.0022771-0.0011293i,0.0033561-0.00075797i,0.0036211-0.00010758i,0.0023318-0.00018343i,0.00017558+0.00031637i,-0.0010482+0.00043985i,-0.00069473+0.00041022i,8.4501e-05+0.0010626i,0.00046017+0.0012206i,0.00089991+0.00044601i
-0.0014303+0.0011906i,-0.00089253+0.00039183i,-3.724e-05+0.00046684i,0.00062016+0.00012918i,-0.0010226-0.00089903i,-0.002968-0.001792i,-0.002816-0.001206i,-0.0020829-0.00030259i,-0.00163-1.682e-05i,-0.0010981-0.00047159i,-0.00046533-0.00090712i,-0.00023433-0.0012306i,0.00047206-0.0010914i,0.0014434-0.00019935i,0.0023791+9.3128e-05i,0.0029801+5.9936e-05i,0.0025111+0.0005641i,0.00055284+0.0012269i,-0.0010508+0.0013405i,-0.0013784+0.00059474i,-0.00089702+0.00092447i,6.9308e-05+0.0016127i,0.00059889+0.00086347i
-0.0013976-0.001i,-0.00017806-0.00078157i,0.00080519-4.1063e-05i,0.0018982-0.0001065i,0.0021389-0.00082953i,0.00016743-0.0013161i,-0.0012612-0.0010696i,-0.00096465-0.00046419i,-0.0003782+0.00025629i,0.00016008+0.00020954i,-0.00012867-0.00074041i,-0.0002372-0.00085756i,0.0011525-0.00028885i,0.0016614+0.00084322i,0.00064332+0.0022719i,-2.9963e-05+0.0027096i,0.00017263+0.0019609i,4.1077e-05+0.00013693i,-0.00055034-0.00029422i,-0.0014767+6.2021e-05i,-0.0015706+0.0004707i,-0.00038204+0.001077i,0.00055602+0.00099249i
0.0011424-0.0030642i,0.00088792-0.0029927i,-2.4153e-05-0.0022254i,-0.00072492-0.0020471i,-0.00083462-0.0016865i,-0.001209-0.00080181i,-0.00075195-6.0199e-05i,0.00042093+0.0011326i,0.00065576+0.0017448i,0.00043786+0.0015936i,0.00021633+0.0012258i,0.00041087+0.0012194i,0.0011231+0.0020177i,0.00023137+0.003525i,-0.0009504+0.0041024i,-0.00117+0.0035016i,-0.0015307+0.0020253i,-0.0014811+0.00067776i,-0.0013136+0.0001008i,-0.0015369-0.00034447i,-0.0015158-0.00057967i,-0.0015557-0.00046385i,-0.0011364+0.00036073i
0.0017396+0.0023425i,0.0022908+0.0024486i,0.0023158+0.0018684i,0.0015203+0.00057543i,0.00044049-0.00068161i,0.00065487-0.00089019i,0.00064416-0.00076094i,0.00048357-4.2311e-05i,0.00047532-0.000511i,0.00023758-0.0007827i,0.00036725+0.00028511i,-0.00014221+0.0010073i,-0.0012376+0.0019889i,-0.0016443+0.0025663i,-0.0022925+0.0023242i,-0.0032709+0.0020443i,-0.0034315+0.0011459i,-0.002311-0.0006489i,-0.001316-0.001151i,-0.00057259-0.0010053i,0.00051062-0.0011068i,0.00033933-0.00068742i,-0.00052059-0.0006787i
0.0018486-0.0002663i,0.0020184-0.0011617i,0.00072789+0.00032713i,-0.00010715+0.0018103i,-7.7983e-05+0.0010033i,-0.00018018-6.1429e-06i,-0.0003348-0.00043693i,8.7421e-06-0.00038336i,0.00016487-0.00062369i,1.8753e-05-0.00042626i,0.00017868+0.00045314i,0.00059204+0.0008962i,-0.0001639+0.00050636i,-0.0015236-1.7124e-05i,-0.002356-0.00018216i,-0.0026754-0.00050884i,-0.0019757-0.0012128i,-0.00043309-0.0017179i,0.00014174-0.0016222i,-0.00012047-0.0013289i,-9.5627e-05-0.0010385i,-0.00013092-0.0016803i,-0.00070693-0.0017589i
-0.003765+0.001357i,-0.0039907+0.0028775i,-0.0012991+0.0028489i,0.0017467+0.00046836i,0.0016478-0.0022137i,-0.00077593-0.0032871i,-0.0021563-0.0022651i,-0.0017725-0.00093833i,-0.0011885-0.00030811i,-0.0016909-0.00082153i,-0.0015531-0.00090149i,-0.0013255+1.1752e-05i,-0.001808-0.00022038i,-0.002112-0.0015021i,-0.0021558-0.0022749i,-0.0016434-0.0025384i,-0.00061533-0.0024872i,0.00021352-0.0017195i,0.0016646-0.0013596i,0.0018887-0.00098625i,0.00056471-0.00093445i,-0.00017809-0.0021852i,-0.00028623-0.0023247i
-0.0015402-0.00025208i,-0.0015596+0.0004955i,-0.00085094+0.0012039i,-0.00061576+0.0010664i,-0.00085244+0.000737i,-0.0012804-0.00010012i,-0.0019758+6.7567e-05i,-0.0011703+0.00079876i,-4.6937e-05+0.00033902i,-0.00015321+7.9237e-05i,-0.0012823+0.00064906i,-0.0019546+0.00048806i,-0.0016177-0.00054121i,-0.00090463-0.001569i,8.7009e-05-0.0020145i,0.00088558-0.0024663i,0.0010692-0.002006i,0.00092508-0.00072162i,0.0013079-0.00022342i,0.0019258+0.00019628i,0.0024917+0.00018018i,0.0017107-0.0006208i,0.00010237-0.0011205i
-0.0017138-0.00064087i,-0.0037775+0.0006452i,-0.004339+0.0021493i,-0.0024033+0.0024308i,-0.00093727+0.00087201i,-0.00044759-0.00044645i,0.00021512-0.00028994i,0.00095722+0.00020828i,0.00030555+0.00034582i,-0.00048827+0.00088767i,-0.0010647+0.00050131i,-0.0013125-0.00048373i,-0.00049942-0.0010879i,0.00081451-0.0015649i,0.0025553-0.0014213i,0.0031982-0.00088753i,0.0022645-0.00018764i,0.0016778+0.00018025i,0.0017356+0.000403i,0.001247+0.00092097i,0.0011924+0.0011689i,0.0020206+0.00098932i,0.0016826+0.00040923i
0.0048112-0.0030994i,0.0048139-0.0047931i,0.0049024-0.0042756i,0.0035888-0.0021492i,0.0015881-0.0012937i,0.0013167-0.0021564i,0.0010211-0.0023011i,0.00055263-0.0010013i,0.00041384+3.2253e-05i,0.00036284-0.000241i,-9.4109e-05-0.001007i,-0.00063955-0.0015673i,0.00020411-0.0018386i,0.0015117-0.00078105i,0.0025125+0.00091045i,0.0035169+0.0014403i,0.0022902+0.00093176i,0.00057978+0.00042815i,0.00028304+0.00094812i,0.00055312+0.0019299i,0.00090733+0.0020577i,0.0014488+0.0010726i,0.0021834+6.172e-05i
-0.0028572-0.0036327i,-0.0053664-0.0035834i,-0.0073488-0.0031562i,-0.0053938-0.0019759i,-0.0021557-0.0014637i,-0.00059375-0.0014721i,-0.00084429-0.0020136i,-0.0011841-0.0018465i,-0.00059843-0.0015166i,-0.00017948-0.0016979i,0.00011851-0.001699i,0.00058627-0.0019814i,0.0009313-0.001559i,0.0015329+0.00012335i,0.002084+0.0027697i,0.0015616+0.0033018i,0.001042+0.0015806i,0.0010598+0.00057925i,0.0013912+0.0010144i,0.001177+0.0015415i,0.00012645+0.0014336i,0.00064604+0.00092239i,0.0013807+0.00041996i
