0.0022065-0.0015976i,0.0019074-0.0023211i,0.00086773-0.0027535i,-0.00078421-0.0023575i,-0.003127-0.0012078i,-0.0033881+0.00047598i,-0.00071577+0.0023834i,0.0014848+0.0029731i,0.0019584+0.0017829i,0.0013372-0.00028176i,-0.00028742-0.0013984i,-0.0016673-0.00094559i,-0.0021277-0.00027438i,-0.0014855-0.00027952i,-0.00042449-0.00040416i,-0.00065344+0.00023067i,-0.00063038+0.00025441i,6.1407e-05+0.0004938i,-0.00024466+0.0011385i,5.077e-05+0.00099861i,0.00032131+0.00015601i,-4.5078e-05-0.00066391i,6.2923e-05-0.00051982i
0.00089136+3.0121e-05i,0.0022063+0.0019022i,0.0018681+0.002526i,0.0015586+0.0016485i,0.0017238+0.00037566i,0.0013217+0.00017205i,0.0001826-0.00024732i,-0.00015587-0.0010961i,4.8851e-05-0.00062355i,-9.4695e-05-0.00034821i,0.00028837-0.00066562i,0.00056772-0.0010499i,-0.00025877-0.00068275i,-0.00079916-0.00024415i,-0.00049205-0.00099754i,-0.00033434-0.00086045i,-0.00020858-9.0051e-05i,-0.00022844-0.00011778i,-0.00040376-0.00056143i,-8.378e-05-0.00063643i,-0.00014569-0.00064113i,0.00033696-0.00054819i,0.0011802-0.00024738i
-0.001236-0.0014108i,-0.0010217-0.0028534i,-0.0012102-0.0015475i,-0.0014142-0.00035044i,-0.00082126-0.0011419i,-0.00045069-0.00063261i,-0.00031259+0.00063302i,0.00033456+0.00039549i,0.00049901-0.00021743i,4.0999e-05-0.00039134i,0.00054133-0.00034999i,0.0016372+7.5553e-05i,0.0017521+0.00043866i,0.0012872+0.00020795i,0.00079402-1.1835e-05i,0.00044038-2.4673e-05i,0.00074443-0.00044475i,0.00077907-0.0005792i,0.0010166+0.00028019i,0.00072301+0.00060224i,-0.00032436+0.00052176i,-0.00019391+0.00046766i,0.00031304-0.00031867i
-0.0022354-0.00010114i,-0.0026412+0.00086355i,-0.0014236+0.00041384i,-0.00085513+0.00067959i,-0.0006409+0.0014186i,0.00019118+0.0015605i,4.7365e-05+0.0013765i,-0.00057884+0.00088958i,-0.00026964+0.00037392i,-0.0006679+0.00010223i,-0.0011002-1.3459e-05i,-0.00040039-2.2542e-05i,0.00061677-6.0891e-05i,0.00048632-7.6622e-05i,-0.00031443-0.00048857i,-0.0002104-0.00094004i,0.00059147-0.00056573i,0.00095537+0.00033101i,0.00075021+0.00079066i,0.00035412+0.000704i,0.00011915+0.0011739i,0.00080508+0.001314i,0.00082705+0.00071134i
-7.9391e-05-0.00013013i,-0.0025819+0.00032277i,-0.0029341+0.00062637i,-0.0013971+0.00083914i,-0.00011864+0.001063i,0.00040777+0.00084393i,0.00011299+0.00055078i,0.00022362-0.00039589i,-0.00025883-0.00059172i,-0.0015087-0.0006108i,-0.0012855-0.0013292i,-0.00078967-0.00076014i,-0.00059769+2.6474e-06i,-0.00031922+0.00016354i,-0.0006568-8.0659e-05i,-0.0010774+0.00017688i,-0.00046629+0.0010867i,0.00014952+0.0014578i,-0.00012227+0.00090225i,-0.00018706+0.00044516i,-0.00055801+0.00028088i,-0.00092519+0.00056172i,-0.0011026+0.00098236i
0.00069505+0.0032457i,0.0012918+0.0024148i,0.0017924+0.0016698i,0.0010557+0.0015693i,-0.00015182+0.0010513i,-0.00050024+0.00074397i,-0.00026584+0.0010016i,0.00082489+0.0012299i,0.0014683+0.00033172i,0.00059232-0.00078416i,0.00020555-0.00082185i,-0.00019806-0.00033251i,-0.00092338-0.00048463i,-0.00058268-0.00034886i,-0.00051792+0.00033157i,0.00030243+0.00022454i,0.00089018+2.7787e-05i,-0.00012964-4.6627e-06i,-0.00033349-0.00051158i,-0.00012972-0.00057796i,-3.6752e-05-0.00097312i,-4.0752e-05-0.0012785i,0.00012828-0.00069761i
-0.00036891-0.0020876i,-0.00073265-0.0008038i,-0.00081461+0.00040067i,-0.0006304+0.00036582i,0.00023903+0.00076403i,0.00049724+0.00072126i,0.0010933+0.00037322i,0.0011642+0.00082684i,0.00019729+0.00054862i,-0.00020423-0.00015472i,-0.00040677-0.00041865i,-0.00062252-0.00076037i,-0.0005239-0.00058995i,0.00010339+0.00035629i,-9.0698e-05+0.00090734i,0.00032282+9.7622e-05i,0.001115-0.00070199i,0.00043976-0.00080404i,-0.00022704-0.0006897i,0.00037401-0.00043375i,0.00030107-0.00021867i,0.00026419+5.6937e-05i,-4.3474e-05+0.00026296i
-0.0006881+1.445e-05i,-0.00037329+0.000326i,-0.00043636+0.0008726i,-0.00061408-0.00018111i,-0.00052195+0.00040377i,-7.7023e-05+0.0015403i,0.00063331+0.00080973i,0.00071577+0.00021137i,0.00088488+1.2184e-05i,0.0006517-0.00010968i,-0.00027973+0.00028269i,-0.00082289+0.000605i,-0.00068786+0.0003947i,9.2106e-05+0.00031834i,0.00067598+0.00016837i,0.00069959+0.00015984i,0.00066228+3.8788e-05i,0.00057153-0.00060019i,0.00090711-0.00023528i,0.00089275+0.00053111i,0.00037268+0.00033214i,0.00093961-0.00021774i,0.00068504+0.00044851i
0.00031855+0.0013533i,-0.00013833+0.00037192i,-0.00092751-0.00055092i,-0.00044025-0.00039759i,0.0006814-0.00041658i,0.00044317-0.00045352i,0.00029664-0.00065155i,0.00054373-0.00028987i,0.00086152-0.00051984i,0.00055653-0.0010055i,-0.00057615-0.00069422i,-0.00083604-0.0003719i,0.00014891-0.00045793i,0.00015716-0.0010312i,-0.00040287-0.00073674i,5.5235e-05+0.00022203i,0.00050939+2.8832e-05i,0.0010593-0.00036929i,0.0010367-4.3569e-05i,0.00078483-0.00032074i,0.00064977-0.00034491i,-9.952e-06+0.000489i,-0.00039948+0.0012142i
-0.0006444-0.00041748i,-0.0018284-0.00020356i,-0.0025688+0.00035208i,-0.0018885+0.00058011i,-0.0014075+0.00039815i,-0.00080171+0.00021731i,-0.00024196+0.0005057i,3.4848e-05+0.00096184i,0.00014507+0.00080525i,6.7828e-05+6.7198e-05i,0.00025377-0.00026326i,0.00032703-0.00017853i,0.00034997-0.00037219i,-0.00013346-0.00081256i,-0.00084307-0.0013178i,-0.001003-0.0010782i,-0.0015594-0.00086257i,-0.0014634-0.00086058i,-0.00039927-0.00045135i,0.00012685-6.5432e-05i,0.00038883+3.5524e-05i,0.00036147-0.00038737i,0.00011933-0.00097827i
-0.00018536+0.0019386i,0.00013761+0.0023245i,-0.00010355+0.0029184i,0.0010441+0.0027527i,0.0017005+0.0017628i,0.0012424+0.00031186i,0.00058027-0.00031557i,0.00080795-6.3897e-06i,0.00094296+7.181e-05i,7.2512e-05+0.0004494i,-0.00044032+0.00088651i,-3.6501e-05+0.00077049i,0.00069194-0.00038727i,0.00088992-0.00095111i,0.00076788-3.7841e-05i,3.1583e-06-0.00012779i,-0.00039387-0.00099466i,3.32e-05-0.0011316i,3.3058e-05-0.00052943i,-0.00023712-5.856e-05i,-0.0001988+0.0002548i,-0.00031114+0.00024925i,5.7981e-05+0.00026744i
-4.5593e-05+0.0027631i,-0.00019424+0.00099373i,0.00060925-0.00016933i,0.00099135-0.0003858i,0.0010078-0.00036633i,0.00056802-0.00079889i,-4.3106e-05-0.00037071i,0.00021265+7.0133e-05i,5.172e-05-0.00089825i,-8.7345e-05-0.0015294i,8.4392e-05-0.00094284i,0.00015742-0.00049421i,-0.00033418-0.00036181i,-0.00033784+0.00032429i,0.00019256+0.00053576i,7.1589e-05-0.00032172i,4.8638e-05+6.5963e-05i,0.00074059+0.0010717i,0.0012578+0.0007484i,0.0007533-0.00020552i,0.00043315-0.00080577i,-0.00011073-0.00043251i,-0.00029962+0.00025342i
-0.00084847-0.0012409i,-0.0018567+0.00017489i,-0.0012387+0.0013725i,-0.00070483+0.0013285i,-0.00087493-0.00021895i,-0.00072453-0.00045388i,-0.00040247+0.00017598i,-0.00051386+0.00091301i,-0.0004277+0.0010814i,-3.5168e-06-6.74e-05i,0.00026746-0.00046261i,0.00011526+0.00073371i,-9.318e-06+0.00083315i,-0.00062709-0.00046798i,-0.0015031+6.4921e-06i,-0.0010829+0.00096473i,-9.9856e-05+0.00040431i,0.00064665-0.0002934i,0.00098206-0.00011093i,0.00053298+0.00021073i,0.00010782+0.00076672i,0.00010513+0.00065373i,-0.00034023+0.00021836i
-0.00058367+0.00071938i,-0.0015463+0.00024287i,-0.00057186+0.00047449i,0.00021645+0.00055922i,0.00062248+0.0010839i,0.00030982+0.0010525i,0.000268+0.0009229i,0.00095648+0.0005265i,0.0014642-0.00032599i,0.0016461-0.00040816i,0.00047073+0.00020892i,-0.00073388+0.00053969i,-0.0012148+0.00016426i,-0.00096557+0.00024317i,-0.00055068-3.8251e-05i,-6.5087e-05-0.00020022i,0.00013788-0.00048463i,9.9079e-05-0.0010047i,0.00089114-0.00061799i,0.00073052-0.00049946i,6.7373e-05-0.00054928i,-0.00021033-0.00067367i,-0.00040448-0.00059079i
-0.00086102+0.0014981i,-0.00014184+0.0011085i,9.6986e-05+0.0014595i,0.00059319+0.0017197i,0.0013553+0.00093157i,0.00046733-0.00068375i,1.3842e-05-0.00072788i,0.0007156+0.0010113i,0.00052074+0.00098377i,0.00016524-0.00066639i,-0.00053325-0.00097819i,-0.00086811-0.00031047i,0.00026289-0.00028133i,0.000773-0.00026003i,-9.5807e-05-6.4754e-05i,-0.00048059-0.00016535i,-0.00022745-0.00058213i,-8.4258e-05-0.00092466i,0.00040775-0.00069912i,0.001407-0.00040153i,0.0015921-0.00010115i,0.00097914+0.0001018i,0.00035344+9.5558e-06i
-9.9872e-05-0.0001531i,-0.0012149-0.00076299i,-0.00087712-0.0005254i,0.00017259-3.3326e-05i,0.00035051-0.000259i,-0.00011296-0.00077704i,0.00080831-0.00066572i,0.00083188-0.00011067i,-0.00045412-0.00019235i,-0.00094634-0.00032294i,-0.0010403-0.00052637i,-0.00052932-0.00049446i,-2.0373e-05+0.00028125i,-0.00035348+0.00013452i,-0.00052789-0.00057439i,-0.00089386-0.00040502i,-0.00061222+0.0005035i,-4.2912e-05+0.0011573i,-0.00028573+0.0011042i,-0.0002154+0.00062423i,-0.00026888+0.00061457i,-0.00072471+0.00075263i,-0.00090211+0.00012474i
-0.00046513-0.0014297i,-0.00085886-0.00049044i,9.5586e-05+0.00055887i,-7.7223e-06+0.00084656i,0.00025297+0.00041685i,0.0004988+0.00012334i,0.00016486-0.00015501i,0.00015261-0.00032003i,0.00025291-0.00084389i,0.00015955-0.00093066i,-0.00026578-0.00090051i,-0.00026503-0.0013793i,-0.00036416-0.00064072i,2.8132e-05+0.00076661i,0.00035753+0.0014605i,0.00036192+0.00082858i,0.00071071+0.00021846i,0.00013388+0.00048801i,-0.00018535+0.00039164i,-0.000217-0.00020089i,-0.00016538-0.00031665i,7.5472e-05-7.3522e-05i,-0.00043518-8.8158e-05i
-0.00022439+0.0021188i,0.00024036+0.0022731i,0.00091453+0.0018396i,0.0007639+0.0015789i,0.00028621+0.0013846i,-0.00010866+0.0011674i,1.2483e-05+0.0008331i,9.3725e-05+0.00025847i,0.00015603+0.00023451i,6.0198e-05-4.8557e-05i,4.3584e-05+0.00010236i,8.2113e-05-0.0001806i,0.00044336-0.0010288i,-0.00013484-0.00072943i,-0.00053635-0.00045564i,0.00049213+0.00022335i,0.00084325+0.0006642i,0.0005646+0.00030378i,0.0010889-0.00031302i,0.00090642-0.00039789i,0.00091745-0.00057285i,0.0011558-0.00058937i,0.0011162-0.00027887i
-0.00083477-0.0015288i,-0.0012935-0.0010608i,-0.0013652-0.00055278i,-0.00020704+0.00025103i,0.0013782+0.00015145i,0.0017767-0.00010673i,0.0014404-0.00063654i,0.00079849-0.0014113i,5.7211e-05-0.0015919i,-2.9827e-05-0.00090908i,-0.00033561-0.00041387i,0.00030328-7.8037e-05i,0.0011042+0.00035538i,0.0011704+0.00062238i,0.00099545+0.00078846i,0.0010931+0.00043318i,0.00054297+0.00029558i,-0.00041914+0.00021347i,-0.00034354-0.00024639i,0.00040661-0.00075155i,0.00033899-0.0001636i,3.262e-05+0.00075948i,0.00016168+0.00069575i
-0.0011003+0.0018159i,-0.00071831+0.0040278i,-0.00010806+0.0036862i,-0.00049926+0.0020702i,-0.00078452+0.00059004i,-0.00038302-0.00010666i,0.0002932-0.00020193i,0.00055256-0.00020583i,0.00072731+0.0001033i,0.00091448+0.00021587i,0.00022502-0.00098255i,-0.000965-0.0019261i,-0.0013294-0.0010706i,-0.00060591-0.00048908i,0.00027959-0.0010181i,0.00046627-0.0013784i,-0.00036591-0.00048052i,-0.0009485-3.8025e-05i,-0.00026773-0.00029224i,0.00047393+3.8838e-05i,0.00065239-1.3594e-05i,8.0995e-05-0.00018999i,-0.00051272-7.7435e-05i
-0.0010949-0.0013368i,-0.0018751-0.0015989i,-0.0012509-0.00069615i,-0.00092913+0.00075059i,0.00035371+0.0016308i,0.0013761+0.0012899i,0.0011199-9.395e-05i,0.0012239-0.00069666i,0.00095291+0.00046776i,0.0005158+0.00056376i,0.00060451-4.3429e-05i,0.0012278-0.00028186i,0.0012084-3.0385e-05i,0.0006342-0.00044483i,-0.00013565-0.0016963i,-0.00023464-0.00097147i,0.00029888+0.00048241i,0.00070279+0.00057359i,0.0001959+0.00060891i,-0.00034221+0.00051411i,-0.00023167+0.00027955i,-0.00053506+7.5543e-05i,-0.0002885-0.00010696i
-0.00093315+0.00042876i,-0.0016992-0.00088292i,-0.001918-0.00059335i,-0.0013002+0.00082003i,-0.0002022+0.0011891i,0.00044397+0.00042301i,0.00019009-0.00021853i,-0.0003488-0.00049878i,-0.00092338-0.00059988i,-0.00054338-0.00056225i,-8.8318e-05+0.00090008i,0.0004102+0.0015793i,0.0010888+0.00082254i,0.0010735+0.00015598i,0.0008182+0.00042875i,0.00099985+0.00067713i,0.0011022+0.00037382i,0.00029491+0.00021454i,0.00025744-0.00034463i,0.0006134-0.00059788i,0.00020973-1.7298e-05i,0.00015356+0.00013796i,0.00030854+0.00047315i
-0.0021065-0.0013585i,-0.0026919+0.00052548i,-0.003212+0.0019165i,-0.0017777+0.0021985i,-0.0011268+0.0028697i,-0.00067986+0.0022546i,0.00091313+0.0011933i,0.001094+0.0003881i,8.7781e-05-0.00050371i,-0.00099312+1.2135e-05i,-0.00056627+0.00024535i,0.00078122+0.00028252i,0.0014086+0.00018319i,0.00099166-0.00038151i,-9.6472e-05+0.00031245i,-0.00056166+0.0010912i,-0.00043551+0.00035163i,-8.4452e-05-0.00062451i,0.00089173-0.0004231i,0.00071681+9.107e-05i,9.6627e-05+0.00019728i,-0.00033437+9.744e-05i,-0.00046044+0.0001274i
-0.00014246+0.0016008i,0.00015543+0.0011751i,0.00039747+0.0018414i,0.00039243+0.0021325i,0.0010946+0.00037993i,0.00075451-0.00041452i,-0.00039655+7.5878e-06i,0.00016326+0.00039344i,0.00072842+0.00028909i,0.00048388-0.00045462i,-0.00022092-0.00072098i,-0.00078149-0.00078567i,-0.00047598-0.00053271i,0.00011772-0.00016447i,-0.00018381-0.00030284i,-0.00037452-0.00065368i,-0.00014384-0.00088698i,0.00032626-0.00034999i,0.00098959-0.00044856i,0.0010384-0.0003649i,0.00028758+0.00015954i,-0.00035094-0.00059275i,-0.00030768-0.0011361i
-0.0014559-0.0014067i,-0.00083776-0.00090473i,-0.0013217+9.1056e-05i,-0.00087984+0.00074993i,-6.3004e-05+0.0011875i,0.00057723+0.0005081i,0.0011481+0.00037901i,0.00092901+0.00062806i,0.0005941-0.00048088i,7.7144e-05-0.0010208i,-8.5726e-06-0.0002566i,-0.00015094-0.00010451i,-0.00031779-0.00079523i,-0.00060683-0.00097611i,-0.00038862-0.00044892i,0.00080868+0.00018249i,0.0010334+0.0002471i,0.00015095+0.00036641i,-0.00082025+0.00017314i,-0.00075179-0.00034417i,-0.00035035-0.00026524i,-0.00053574+0.00034509i,-0.00086935+0.00066152i
0.00042314+0.0011338i,-0.0026047+0.00082885i,-0.0021645-0.00019741i,-0.00090068-0.00062948i,-0.00078873+2.6024e-06i,-0.00086827+0.0003455i,-0.00061046+0.00056268i,4.0565e-05+0.00072506i,0.00014598+0.00012296i,-0.00044438-0.0004094i,-0.0010298-7.3781e-05i,-0.0010669+0.00069796i,-0.00035613+0.0010687i,0.00090108+0.00043919i,0.0011173-0.00029324i,0.00038175-0.00015432i,0.00026631+0.00040771i,0.00028428-0.00012847i,9.5886e-06-0.00052238i,-0.00037683-0.00062113i,-0.00035703-0.00062136i,-0.00063603-0.0011797i,-0.00043467-0.0020259i
-0.0015662-0.0016274i,-0.0015848-0.0015333i,-0.00073429-0.0013069i,-0.00024125-0.00044993i,-0.00085398+0.00032286i,-0.00096205+0.00086327i,-0.00014957+0.00076111i,-3.8348e-05+0.00039573i,-0.00024107-0.00012956i,-0.0002934-0.0010922i,-0.0010277-0.00085746i,-0.001031-0.00038888i,-0.00056905-8.1686e-05i,-0.00045311+5.5747e-05i,-0.00020335+9.261e-05i,4.4067e-05+0.00015374i,0.0005721-0.00034707i,0.0008411-0.00043789i,0.00016195-9.3016e-05i,-0.0003457+0.00025842i,-0.00049613+0.00017596i,-0.00028866-0.00037879i,-0.00055239-0.00063982i
0.0030755+0.00087721i,0.0018672+0.0012606i,0.00049677+0.00066108i,0.00042544-0.00014786i,0.0011621-0.00086079i,0.00086329-0.00079142i,-5.3067e-05+0.00047468i,7.5452e-05+0.001244i,0.00085078+0.00069917i,0.0018973-0.00058236i,0.001757-0.0011215i,0.00040368-0.00069836i,8.2738e-05-0.0007539i,0.00039214-0.00095717i,-0.00038828-0.00069362i,-0.0009127-0.00050382i,-0.00064364-0.00022745i,-0.0010123+0.00064195i,-0.00052667+0.00081735i,0.00066476+0.00010895i,0.0012219+0.00054133i,0.001455+0.00076046i,0.0010817+0.00041523i
-0.00019711-0.00076847i,0.00011821-0.00089263i,0.00071322-2.5081e-06i,-0.00046743+0.0012386i,-0.0010682+0.0016732i,-0.0013464+0.0016988i,-0.001248+0.00078964i,-0.00078356-0.00032179i,-0.00031701-0.00059913i,-0.00046346-0.0001834i,-0.00026365+0.000484i,-0.00039934-0.00014346i,-0.00063808-0.0010616i,-6.0348e-05-0.00090112i,0.00037394-0.00047541i,0.0007329-0.0005761i,0.00080191-0.00013729i,0.00025852+0.00038915i,-8.389e-05+0.00070545i,-8.3399e-05+0.00053707i,0.00061483+0.00061769i,0.00051803+0.00097839i,-0.0005356+0.0010465i
0.001391+0.00067769i,0.0015531+0.00062668i,0.0011352+0.00022094i,0.00041659-0.00044636i,-3.9336e-05-0.0010435i,5.3862e-05+0.00021815i,-0.00045706+0.00041317i,-0.0011522-9.4503e-06i,-0.00033537-0.00035227i,0.00023338-0.0008771i,-0.00042022-0.00088888i,-0.00081183-0.00023094i,0.0001539+0.00046427i,0.00097327-0.00032124i,0.00090147-0.0019929i,0.0011308-0.0017871i,0.0016247-2.0958e-06i,0.00080541+0.00034542i,-0.00029771-0.00032916i,-0.00078202-0.00043038i,-0.0011138+0.00012815i,-0.0010711+0.00023131i,-0.00095372+0.00020225i
-0.0025716+0.0014117i,-0.0023089+0.0016371i,-0.0005674+0.0022516i,8.1253e-05+0.0024172i,0.00037251+0.0021332i,0.000934+0.00096063i,0.001078+0.00065467i,9.9401e-05+0.0010993i,0.00064229+0.00080208i,0.0015479+0.00018197i,0.00076361-0.00072403i,-0.00090341-0.0013927i,-0.0017541-0.00094531i,-0.00048416-0.00088323i,0.00030606-0.00099403i,0.00016598-0.00043454i,0.00018613+0.00025697i,0.0001451+0.00019111i,4.6129e-05+0.00023125i,6.829e-06+8.5429e-05i,-1.142e-05-0.00017157i,0.00025255-0.00070587i,0.00034647-0.00098859i
0.0010951-0.00070109i,0.0014617-0.0009716i,0.0021438+0.001112i,0.0018624+0.0011004i,0.00054581-0.00036208i,-0.00019431-0.0008392i,8.2374e-05-0.00014092i,0.00016495+0.00024999i,0.00024461-9.4663e-05i,0.00035081-0.00099017i,0.00073118-0.0010148i,0.0012132-0.00056574i,0.00035142-0.00015452i,-0.0010152+8.3689e-05i,-0.0014395+8.0352e-05i,-0.0004288+0.00049612i,2.2749e-05+0.00071141i,-0.00010522+0.00064486i,-0.00028524+0.00098157i,-0.00044667+0.0012079i,0.0002444+0.00092342i,0.00033122+0.00028364i,0.000133-0.00064648i
0.0017432-0.00075421i,6.8338e-06-0.00064211i,-0.001267-6.2556e-05i,-0.0013021+0.00028167i,-0.00054067+0.00013557i,0.0002213+0.00062426i,-0.00037872+0.0010843i,-0.0012939+0.00050415i,-0.00095259-0.00020954i,-0.00074878-0.00028323i,-0.0011626+5.2913e-05i,5.7393e-06+0.00034718i,0.00085455+8.8132e-05i,0.00039597-0.00040698i,-0.00012603+9.8833e-05i,-0.00030492+0.00072252i,-0.00043299+0.00075592i,-0.00074382+0.00079342i,-0.00054754+0.0002227i,-0.00075579-7.5265e-05i,-0.0011567+0.00084215i,-0.0010174+0.0010722i,-4.2978e-05+0.00054004i
-0.0015259+0.00092399i,-0.0022017+0.0013645i,-0.0024003+0.0013085i,-0.0013123+0.00054866i,-0.00024511+0.00052111i,0.0011144+0.00096565i,0.0017161+0.0011406i,0.0013777+0.0011719i,0.0011196+0.00040972i,0.00049724-0.00059726i,-0.00015816-0.0011555i,-0.00035681-0.00018882i,-8.3645e-05+4.5708e-05i,0.00010005-0.00090039i,-4.0297e-05-0.0011933i,-0.00063673-0.00056566i,-0.00052682+0.00045875i,0.00028591+0.00043775i,5.7835e-05+0.0001629i,-0.00029406-0.0001005i,-0.00027073-7.4916e-05i,-7.6451e-05+1.3847e-05i,0.00018869+0.00038901i
0.0013774-0.00078772i,-0.00014788-0.00083817i,-0.0003051-0.0018393i,-1.8542e-05-0.0014807i,-0.0006137-0.00077255i,0.00022067-0.00036555i,0.00077451-0.00018204i,0.00029225-0.00039848i,-0.00052555-0.00046004i,-0.0008738-0.0011041i,-0.00042033-0.0012348i,-0.00071065-0.00079399i,-0.0010352-0.00036435i,0.00025673+0.00022785i,0.0013578+0.00022835i,0.0013391+0.00020429i,0.0015973-0.00019339i,0.0018122-0.00073697i,0.00046585-0.00013749i,-0.0006371+0.00035775i,-0.00081307+0.00068369i,-0.0007577+0.00097162i,-0.00063332+0.00045365i
-0.00031043-0.001728i,-0.0018951+1.6317e-05i,-0.002091+0.0009876i,-0.0022697+0.0017068i,-0.0025052+0.0020013i,-0.0015831+0.0017631i,-0.00075701+0.0012296i,-0.00026145+0.00021863i,-0.00055925-3.498e-05i,-0.00049569+0.00027229i,0.00011995-8.9307e-05i,0.00013679-0.0007857i,0.00019023-0.0011148i,0.00050664-0.00021438i,0.00037122+0.00097424i,0.00032397+0.0015914i,0.00041328+0.0011399i,0.00071832+0.00019748i,0.0005769+0.00040676i,0.00014577+0.00061163i,0.00014768+0.00032317i,3.9108e-06+0.00034303i,6.4245e-05+0.0002206i
0.0012386+0.0027682i,0.0016331+0.0017145i,0.0020975+0.0020481i,0.0014403+0.0011248i,0.00041262-0.00066156i,-0.00043749-0.00088157i,-0.00064396-8.426e-05i,-0.00050627-0.00017668i,-0.00041832-0.00074332i,3.4352e-06-0.00046113i,0.00020258+1.9635e-06i,0.00044237+0.00024965i,0.0012295+0.00064494i,0.0014993+0.00056241i,0.0001028+7.643e-05i,-0.00020719+0.00043157i,0.00014087+0.00079253i,-6.7646e-05+0.00013533i,-0.00019613-0.00017291i,-0.00021925+0.0005843i,-0.00016972+0.0010738i,-0.00016977+0.0007359i,-0.00036843+0.0003191i
-0.0022506-0.00012522i,-0.0022667+0.00036677i,-0.0015252+0.0007546i,0.00012918+0.0006598i,0.0017684+0.00065082i,0.0014891+0.00044098i,-0.00025505-2.4054e-05i,-0.00098557-2.5169e-05i,-0.00059285+0.00052524i,-0.00054253+0.00048508i,-0.00041696+0.00024536i,-0.00027855+0.00014029i,-0.00051819-9.6665e-05i,-0.00041112+0.00011641i,-0.00038505-0.00028693i,-0.00038564-0.0012563i,-0.00019077-0.0007906i,-0.00011221-0.00034326i,-0.00055567-0.00044219i,-0.00011313-0.00036574i,0.00074996+0.00017326i,0.00027342+0.0011622i,-0.00070463+0.00082223i
-0.0036821-0.0021934i,-0.0041341-0.0019421i,-0.0036426-0.00059822i,-0.0020445+0.001672i,-0.00025781+0.0024253i,0.00016276+0.0015909i,0.00015481+0.00060624i,0.00045665+7.6949e-05i,0.00033548-0.00014511i,0.00021713+2.3536e-05i,0.0011743+0.00018471i,0.00070635-0.00064323i,0.00016838-0.00080256i,0.00055701-5.2075e-05i,0.00049123+0.00028593i,0.00063526-0.00026489i,0.0010171-0.00081727i,0.00042231-0.00063192i,-0.00011709-0.00058221i,-0.0001766-0.00027478i,-0.00069211+7.3353e-05i,-0.00082898-0.00033934i,-0.00062767-0.0010075i
0.0008743-0.00014739i,6.4232e-05-0.0005362i,0.00010383-0.00051609i,0.00031295-6.7299e-05i,0.00056264+0.00046524i,0.00012632+0.00010516i,0.00035984-0.00083079i,0.00073236-0.00094775i,0.00026202-0.00018999i,-0.00057268+0.00010232i,-0.00084076+0.00024155i,6.877e-05+9.3936e-05i,0.0011978-0.00037369i,0.001239-0.0001043i,0.00085903-0.000124i,0.00091668+0.00012412i,0.0010061-4.6881e-05i,0.00092643-0.0009054i,0.00089991-0.00081806i,0.00067805-0.00026118i,0.00024382-0.00033147i,3.8146e-05+0.00022396i,0.00064601+0.00054517i
-3.7142e-05+0.002152i,0.0010157+0.0013087i,0.00042139+0.0019013i,-0.00022632+0.001868i,2.0702e-05+0.0011652i,0.00023116+0.00054316i,0.00064736+0.00065953i,0.00089864+0.00032501i,8.6326e-05-0.00039173i,-0.00044513-0.00021036i,-0.00068764+0.00056075i,-0.00065418+0.00015301i,0.00024275-0.00072157i,0.00055323-0.00014118i,0.00048916-9.061e-05i,0.00025797-0.00033892i,-5.7559e-05-0.00031476i,-0.00026347-0.00019617i,-0.00081841-0.00014227i,-0.00092195-1.7705e-05i,-6.165e-05-0.00010455i,0.00073563+0.00015018i,0.00044184+0.00052144i
-0.0040473-6.1204e-05i,-0.00542+0.0017332i,-0.0042091+0.0022764i,-0.0013946+0.0017294i,-0.00091917+0.0015001i,-0.00044475+0.0010128i,0.0011065+0.00089522i,0.0012018+0.0011026i,-3.4042e-05-7.9646e-05i,-0.00082939-0.0012898i,-0.00086464-0.0017511i,-1.9815e-05-0.001262i,8.8254e-05-0.0001157i,-0.00046768-8.8823e-06i,-0.0013788-0.00059601i,-0.0016451-0.00038634i,-0.0007805-0.00017631i,4.9526e-05-0.00032392i,0.00046822+0.00035683i,-2.4329e-05+0.0007123i,-0.00019212+0.0010361i,-8.9442e-05+0.001323i,0.00022102+0.00062778i
-0.0033394-0.002277i,-0.0034328-0.0017949i,-0.0023671+0.00056877i,-7.303e-05+0.0026034i,0.0011821+0.0028756i,0.0013441+0.0022464i,0.00075875+0.0010058i,-0.000212+0.00059378i,0.00021351+0.0012913i,0.0016012+0.0012157i,0.0020466+0.0001318i,0.00091511-8.0626e-05i,-0.00032848-4.5579e-05i,-0.00018221+0.00032785i,0.00046405+0.00056801i,0.00024359-0.0001448i,6.5266e-05-0.00049009i,-0.00023447-0.00087239i,-0.00077363-0.00044622i,-0.0011331-0.00010371i,-0.00075882-0.00018213i,-0.00080294+0.00038115i,-0.00051594+0.00037945i
