-0.00069539+0.0061068i,0.00075564+0.0055315i,0.0036026+0.0031789i,0.004455+0.00092802i,0.0025562+0.00044252i,0.00098028+0.00061521i,0.00095662+0.00081579i,0.00024627+0.00096974i,-0.0011062+0.00081734i,-0.0020369+0.0011304i,-0.0025084+0.0014553i,-0.0021205+0.0012664i,-0.0010092+0.0011182i,0.00048329+0.00107i,0.0021887+0.0017421i,0.0026645+0.0021254i,0.0021765+0.0011221i,0.00185+0.00070182i,0.0013564+0.00093724i,0.00079132+0.0012428i,0.00084616+0.00092461i,0.00077061+0.00043216i,0.00072398+0.00076643i
-0.00057983+0.0012216i,0.00037422-0.0014204i,0.0022517-0.005273i,0.0013-0.0064952i,-9.82e-06-0.0037787i,0.00041767-0.00092898i,0.002427+0.00056749i,0.0029112+0.00088661i,0.00072901+0.00057877i,-0.0014657+0.0009155i,-0.0018857+0.00043312i,-0.0016708-0.0002797i,-0.0015357+0.00031076i,-0.0015145+0.0022891i,-0.0016135+0.0031472i,-0.001101+0.0017106i,-0.00060567+2.2032e-05i,-0.00089216+2.5878e-05i,-0.00068675+0.00080796i,-0.00070435+0.0013251i,-0.0010826+0.0013494i,-0.00036514+0.0012219i,0.00056725+0.0010229i
0.0026434-0.0035536i,0.0023745-0.0055719i,0.00041071-0.0048157i,0.00062459-0.0032541i,0.0029269-0.0021574i,0.0037939-0.0015673i,0.0032122-8.4029e-05i,0.0018148+0.00062156i,0.0011934+0.0010481i,0.0019977+0.0014298i,0.002502+0.0010719i,0.00093084+0.00040525i,8.9453e-05-0.00022522i,-7.752e-05-0.00099063i,-0.0002999-0.00095352i,-0.00049403+0.00010325i,-0.00097913+0.00053432i,-0.0013956+0.00031296i,-0.0021628+0.00024482i,-0.0023461+0.00020229i,-0.0014075+5.6319e-05i,-0.00071112+0.00045223i,-0.00087288-2.3892e-05i
0.0031002+0.0031004i,0.0030146+0.0035513i,0.0024233+0.0049653i,0.0016691+0.0033814i,0.0014639-6.0296e-06i,0.00096567-0.00020382i,0.00032269+0.00018156i,0.0012925-0.00049375i,0.002501-0.00049939i,0.0036949-0.00080889i,0.0043304-0.0014895i,0.0029093-0.0010463i,0.0018172-0.0007451i,0.0019286-0.0021034i,0.00082949-0.003752i,-0.00078533-0.0039387i,-0.00061295-0.0028909i,0.00071745-0.0015886i,0.0015096-0.0012641i,0.00056659-0.0018172i,-0.00096276-0.0024283i,-0.0010211-0.0022643i,-0.00053626-0.0014282i
0.0011764+0.003446i,0.0018937+0.0050926i,0.0039618+0.0041444i,0.0035549+0.0019582i,0.00066993+0.0013305i,-0.0014988+0.0023489i,-0.0014624+0.0019521i,-0.00050567+0.00045824i,0.00028046-0.00030855i,0.00060975-0.00057666i,-2.5731e-05-0.00053628i,-0.001518-0.00021973i,-0.002003-0.0005103i,-0.00080042-0.0016642i,0.00044698-0.0020582i,0.00046626-0.0020852i,0.00014004-0.0014241i,0.00064385-0.00057508i,0.0016537-0.00085893i,0.0017943-0.0011636i,0.00078987-0.0013429i,0.00035981-0.00088939i,0.0006564+0.00061813i
0.00015061-0.0052302i,0.0015303-0.007557i,0.0025526-0.0071128i,0.0018622-0.0038163i,0.0014417-0.0021626i,0.00078852-0.0016808i,-0.00033234-0.00049491i,-0.00048501-4.063e-05i,-0.0008217-0.00081072i,-0.0020618-0.0015166i,-0.0025233-0.0012984i,-0.00099893-0.00062935i,0.00018325+0.00021906i,0.00086357+0.00068971i,0.0019521+0.0011012i,0.0021318+0.0010005i,0.0016796+0.00074819i,0.0013274+0.00015928i,0.00084881-0.00049211i,0.00097509-0.00031654i,0.0011773-6.2472e-05i,0.00087296-4.9062e-05i,0.0010065-0.00042656i
0.0043844-0.00075969i,0.005704-0.0039221i,0.0027167-0.0054571i,-0.0002297-0.0044211i,0.000216-0.0026708i,0.0011593-0.0016552i,0.0005482-0.00075329i,-0.00043053+0.00042961i,-0.0016762-0.00018308i,-0.0026242-0.001419i,-0.0030251-0.0015594i,-0.0027405-0.00064168i,-0.0014002+0.00038314i,-0.00030969+0.001833i,0.00018477+0.0034296i,0.00030293+0.003343i,0.00023416+0.001664i,-0.0001932+0.00049675i,-0.00067488+2.4419e-05i,-0.0006792+0.00072913i,-8.7827e-06+0.0017896i,0.00096904+0.001519i,0.0010272+0.00022218i
0.0010631+0.00033407i,-0.0007475+0.002802i,-0.0011954+0.0031649i,-8.9939e-05+0.0022612i,0.0016702+0.0013089i,0.0025183+0.0018988i,0.0023181+0.0032575i,0.00097393+0.0020263i,0.00036503+0.00076634i,0.00088673+0.00060079i,0.0014528+0.00073515i,0.0013317+0.0016491i,0.0011339+0.0026433i,0.00054785+0.0023819i,-0.00022377+0.0023509i,0.00015742+0.0025773i,0.00037242+0.0010797i,-0.00038307-0.0003952i,-0.00078683+0.0001895i,-0.00038864+0.00088581i,3.7041e-05+0.00056979i,0.00044424+0.00026157i,0.00036327-3.8014e-05i
-0.0041282+0.0031667i,-0.0022523+0.0050496i,0.0015109+0.0054007i,0.003159+0.0033248i,0.0015123+0.0019331i,0.00081898+0.0018624i,0.0019251+0.0030714i,0.0021949+0.0035784i,0.0013254+0.0034069i,0.00027048+0.0041359i,0.0010334+0.0031117i,0.0011627+0.00022426i,0.00049638-0.0017734i,0.00010996-0.0026444i,-0.001287-0.0021936i,-0.0024076-0.0016228i,-0.0018115-0.0015482i,-0.0010511-0.0017286i,-0.0004492-0.0015239i,-0.00049405-0.0015549i,-0.00081546-0.0017273i,-0.0011897-0.0015505i,-0.0013653-0.00128i
0.0078312-0.0014627i,0.0086515-0.0045827i,0.0073092-0.0055004i,0.0052146-0.0045458i,0.0026549-0.0024936i,0.000495-5.1554e-05i,0.0017101+0.00016059i,0.0028385+0.00039191i,0.0013641+0.0015285i,0.00072695+0.0019783i,0.0014521+0.0013836i,0.0015709+0.00039972i,0.00015439-0.0001911i,-0.00080138-0.0011507i,-0.00074412-0.0017418i,-0.00043026-0.0010431i,-0.00028786+7.9179e-05i,-0.0011121-9.7918e-05i,-0.0009939-0.00095994i,0.00041449-0.00080223i,0.00042805-0.0005251i,0.0001753-0.00088807i,4.7037e-05-0.00013315i
