-0.0016643+0.0011991i,-0.00093642+6.8894e-06i,-0.0010131-0.0012899i,-0.00079244-0.0010838i,-0.0011696-0.00019112i,-0.0013065+0.0013279i,-0.00071882+0.0018187i,0.00023744+0.0013958i,0.0014959+0.0003729i,0.0014078-0.00051668i,0.0011019-0.00061405i,0.00074162-0.00081633i,-9.88e-05-0.0011927i,0.00014733-0.00065098i,0.00064372+0.0001747i,0.00034057-0.00031185i,0.00022322-0.001287i,-8.424e-05-0.0010017i,-0.00045154-0.00050078i,-0.00082447-0.0001338i,-0.00042996+0.00060329i,4.561e-06+0.00088405i,-0.00014432+0.00059785i
0.00022246+0.00083693i,0.00056397+0.0005662i,0.0013379-0.00012221i,0.0012441-0.0008524i,0.0011509-0.00071696i,0.0010613-0.00042117i,0.0011491-8.1556e-05i,0.0012123-0.00022793i,0.00059756-0.00079446i,-0.00057097-0.00081756i,-0.0010015-0.00048641i,-0.00065546-0.00097456i,-0.00020371-0.0012389i,0.00019691-0.00061976i,0.00036864+0.00020538i,0.00010799+0.00021459i,-8.0229e-05+0.00023063i,1.8518e-05+0.00018258i,-0.0001674-0.00038273i,0.00014526-0.00033613i,0.00030322+7.6163e-05i,-3.3928e-05+0.00029861i,0.00018753+0.00059127i
-0.0014646-0.0016443i,-0.0019115-0.00089431i,-0.0021245+0.00011956i,-0.001021+0.0016739i,0.00035594+0.0020668i,0.0014943+0.0013196i,0.0017909+0.00086706i,0.0019584-8.5462e-05i,0.0015921-0.00090539i,0.00090233-0.00071772i,0.00092987-0.00063514i,0.00185-0.00062668i,0.0025771-0.00049353i,0.002103-0.00032365i,0.00087282-2.5184e-06i,0.00049165+0.00033316i,0.00056829-0.00016809i,0.0004088-0.00087066i,0.00026381+5.8313e-05i,-0.00030712+0.0016441i,-0.00048352+0.0011604i,-0.00020587-0.00016915i,-0.00054257-0.00078084i
0.00073667-0.0026222i,4.6982e-05-0.002904i,-0.00053443-0.0028986i,-0.0010065-0.0011112i,-0.00055192+0.00067828i,0.00035381+0.0014774i,0.0013017+0.0008295i,0.0014689-0.00017941i,0.001017-0.00033161i,0.00035262-0.00062051i,0.00032275-0.000422i,0.00075506+0.00074273i,0.0010342+0.00090025i,0.0012546+0.00070524i,0.00045915+0.0013047i,-0.00033884+0.0015578i,-0.00012902+0.0014029i,-0.00048436+0.00076543i,-0.0009099-0.00016283i,-0.00032749-0.00073126i,0.00018305-0.00056915i,0.00035813-0.00022719i,0.00035606-0.0003206i
-0.0018375+1.2117e-05i,-0.0015026+0.00078252i,-0.0016638+0.0023041i,-0.0010929+0.0019136i,0.00032489+0.0010652i,0.0015404+0.00050274i,0.0011362-0.00023481i,0.00075355-0.00062433i,0.0015686-4.6595e-05i,0.0018846+0.001445i,0.001158+0.0017732i,0.00080296+0.0018117i,0.0003709+0.0018101i,-0.00042157+0.001024i,-0.00095027-9.2054e-05i,-0.00059337+0.00010518i,0.00014417+0.0005022i,-9.4854e-05-7.4182e-05i,-0.0008522-0.00015864i,-0.0003916+0.0002452i,-0.00039813+0.00054966i,-0.00041604+0.00034273i,0.00013362+0.0004805i
-0.00224+0.0019926i,-0.002386+0.0023778i,-0.0012889+0.0027549i,0.00094324+0.0016395i,0.0022592+0.0015637i,0.0014602+0.0012274i,0.0011903+8.5843e-06i,0.00081585-0.00058205i,0.0001505-0.00075436i,0.00048645-0.00013873i,0.00010561+0.00083406i,-0.00083934+0.00087975i,-0.0015928+0.00035799i,-0.0014114-0.00026811i,-0.00059998-0.00052619i,-0.00034697+4.3245e-05i,-0.00037086+0.00037736i,-0.0002402-0.00016217i,0.00040243-0.0011164i,0.0010813-0.0010382i,0.0008058+0.00013171i,0.00082707+0.00086516i,0.00062911+0.0010102i
0.00061354-0.0001393i,0.0014329+0.00021878i,0.0022583+0.0011924i,0.001588+0.0015163i,0.0009922+0.00032603i,0.00076194-0.00014951i,0.0005889+0.00027928i,0.00052987-5.4694e-05i,0.00095916-0.0004268i,0.0009082-0.00041682i,-0.00068127-0.00040892i,-0.0013636-0.00146i,-0.00071811-0.0027506i,-0.00075968-0.002072i,-0.00076767-0.00018973i,-0.00040319+0.0007374i,0.00011062+0.00023658i,0.00033029-0.00030746i,-0.00076846+3.4655e-05i,-0.0011446+0.00066359i,0.00045372-0.00012498i,0.0014139-0.0009088i,0.00097351-0.00079715i
-0.00070023+0.00032339i,0.00011436+0.00067031i,0.00022387+0.0010951i,0.00016847+0.0016833i,0.0011313+0.003352i,0.0017978+0.002878i,0.0016474+0.00059534i,0.0014671-3.4387e-05i,0.001197+0.00032814i,0.0011628+0.00014414i,0.0012264-0.00023507i,0.0016207-0.00088127i,0.0022167-0.0011922i,0.002148-0.00050668i,0.00080471+0.00036277i,-0.00015362+0.00083632i,-0.00028335+0.00088113i,-0.00016663+0.00020281i,0.00033294-8.5066e-05i,0.00096032+0.00046796i,0.0010027+0.0013966i,0.00048333+0.0018957i,-0.00014428+0.0011354i
-0.0016733-0.00013174i,-0.0019227+0.00051012i,-0.0015744+0.0017465i,-0.00078627+0.0027166i,-0.00061885+0.0021642i,0.00010126+0.0013998i,0.0011755+0.0012543i,0.0011344+0.000764i,0.00053892+0.00081978i,0.00051514+0.0013213i,0.0015118+0.0015209i,0.0025567+0.0019707i,0.0024721+0.0015266i,0.0013501+0.0008106i,8.5125e-05+0.00081482i,-0.00036167+0.0014137i,-0.00050162+0.0015114i,-0.00025225+0.00025238i,-0.0007526-0.00063774i,-0.001954-4.1278e-05i,-0.002213+0.00073658i,-0.001177+7.2515e-05i,-0.00056141-0.0006723i
0.00078162+0.00038806i,0.0010579+0.00049794i,0.0024016+0.0012047i,0.0027022+0.0016109i,0.0026015+0.00080034i,0.0022187+5.7449e-05i,0.0011179-4.6184e-05i,0.00054251-0.0012668i,-0.00044803-0.0013659i,-0.00098569-0.00015513i,-0.00072822+0.00096053i,-0.0016783+0.0017621i,-0.0020414+0.0019835i,-0.0021488+0.001737i,-0.0018642+0.00095295i,-0.00040901+0.00027407i,0.00063776-0.00018954i,0.0014381-0.00033384i,0.0014815+5.6252e-05i,0.00086772-0.00015313i,0.00040323-0.00025878i,3.8881e-05-0.00021696i,0.00016857-0.00080461i
0.00090697-0.00014898i,0.00063961+0.00032586i,-4.2074e-05+0.00053471i,-0.00093739+0.00059884i,-0.0008237+0.0012438i,-0.0006864+0.001198i,-0.00011885-0.00024301i,-6.2396e-05-0.00085114i,-0.00067358-0.00058478i,-0.0014935-0.00040119i,-0.0013989-0.00029512i,-0.00024721+0.00029411i,-0.00030884-0.00014262i,-0.0016066-0.0010887i,-0.0016264-0.00071949i,-0.00084675+0.00017733i,-0.00085607+0.00022499i,-0.00095155-0.00098717i,-0.00031013-0.0016796i,0.00017942-0.0013063i,0.00098893-0.0013423i,0.0012125-0.0010901i,0.0007628-0.00012176i
-0.0010369+0.00055147i,-0.00047968+0.00073022i,0.00082223+0.00092408i,0.0021301+0.0013565i,0.0015786+0.0014857i,0.00093342+0.00085022i,0.0011258+0.00035281i,0.001182-0.00074886i,0.0010946-0.001245i,0.00044713+7.9162e-05i,-0.00011369-7.3774e-05i,0.00014915-0.0010211i,0.00012535-0.0021468i,-0.0001376-0.0025178i,-0.00049479-0.0005844i,-0.00057397+0.001009i,-0.00085019+0.0019378i,-0.0011893+0.0016997i,-0.0011996+0.0011278i,-0.00077471+0.0010108i,9.719e-05+0.00069971i,0.00042374+0.00091579i,0.00027749+0.00025258i
0.00064952+0.00021088i,0.00088966+0.00024804i,0.00092698+0.0015246i,0.0016257+0.0019368i,0.001641+0.0018373i,0.0018788+0.00082144i,0.0019299+0.0006661i,0.002013+0.00067404i,0.002142+7.7052e-05i,0.0014996+0.00021821i,0.0016372+0.00024483i,0.0023571-0.00046578i,0.0031249-0.00063623i,0.003168+9.3616e-05i,0.0017191+0.0011316i,0.00069765+0.001087i,0.00025046-3.8608e-06i,-3.847e-05-0.00060478i,-0.0002348-7.8994e-05i,-2.9502e-05+0.0008348i,2.4827e-05+0.0014446i,-0.0003359+0.0018732i,-0.00045354+0.0014765i
-0.00042722+0.00017661i,-0.00087428-0.00015671i,-6.9555e-05+2.5823e-05i,0.00093362+2.4588e-05i,0.0006046-0.00021123i,0.00062527-0.0012943i,0.0010914-0.001811i,0.0010203-0.0018334i,0.00095542-0.0010069i,0.00088556+0.00035677i,0.0014449+0.0009587i,0.0020895+0.0010604i,0.0018633+0.0010203i,0.002122+0.0010722i,0.0016269+0.00084925i,0.00090039+0.00057429i,0.00097422+0.00053478i,-4.1493e-05+0.00039719i,-0.0010342+0.00039724i,-0.0015829+0.00031062i,-0.0011962+9.9364e-06i,-5.105e-05+8.5825e-05i,-0.00017621+6.7345e-05i
0.0017023-0.0013547i,0.00043533-0.0016728i,-0.00018835-0.0010439i,-0.00018574-0.00017399i,0.00092569+0.00017216i,0.00024251+0.0010127i,-0.00059068+0.00099572i,8.7329e-05+0.00051742i,-0.00014076+0.00018866i,-0.0006214+2.2948e-05i,-0.00083074+0.0011931i,-0.00086129+0.0020652i,-0.00057179+0.0023647i,-0.00032681+0.0021842i,0.00055926+0.0020285i,0.0014611+0.0017461i,0.001306+0.00086833i,0.00066616+0.00049348i,0.00013902+0.00089297i,-0.00033009+0.0008948i,-0.00060804+0.00021723i,0.00044743-0.00031748i,0.00098049+0.00028764i
0.0014327-0.00073362i,0.001062-0.001303i,0.0016586-0.00099086i,0.00074113-0.00024509i,-0.00045689-0.00026532i,-0.00048994-0.00028823i,0.00054859-0.00090219i,0.0017926-0.00097625i,0.0013928-0.00084653i,0.00088133-0.0013431i,0.00096129-0.0014196i,0.00016364-0.00034945i,-0.00016052+0.00044679i,-7.9306e-05+0.000491i,-0.00050837+0.00045965i,-0.00039923+0.00056121i,-4.8666e-05+0.0009897i,0.00017012-5.2172e-06i,0.00026437-0.00093276i,0.00012593-0.0010012i,-0.00058577-0.0010687i,-0.00059588-0.00097924i,0.00044277-0.0008788i
-0.0019305+0.0011475i,-0.0019939+0.0014925i,-0.00020505+0.0023587i,0.0015494+0.0028079i,0.0025015+0.0023228i,0.0021108+0.0015314i,0.00085669+0.001103i,0.00081235+0.00046616i,0.0018011-8.5609e-05i,0.0015337-0.00066327i,0.00069645-0.0012536i,0.0005784-0.001169i,0.00074028-0.0020203i,-0.00026651-0.0027999i,-0.0013142-0.0021699i,-0.0015577-0.00071158i,-0.0010137+0.0004549i,0.00018313+0.0004791i,0.00057352+4.2373e-06i,0.00040978+0.00062517i,0.00072593+0.001389i,0.00050104+0.0011021i,0.00033339+0.00057741i
0.00091357-0.0031612i,0.00016649-0.0038262i,-0.001667-0.0036289i,-0.0029597-0.0024033i,-0.0018072-0.0018227i,-0.00062896-0.0010659i,0.00058279-4.1529e-05i,0.0017304+4.4657e-05i,0.001065-0.00026971i,-0.00052504-0.00051455i,-0.00052907-0.00045903i,0.00046581+0.00042613i,0.00066414+0.00071505i,0.00043179+0.00056637i,0.00044348+0.00073996i,-0.00024464+0.00090812i,-0.0012418+0.0011316i,-0.00095637+0.00010119i,0.00013616-0.00039149i,0.00092686-0.000104i,0.00085709+0.00022263i,0.00055843+0.0008835i,0.00050476-0.0001254i
0.0033171-0.0010158i,0.0032491-0.00066508i,0.0027446-0.00016556i,0.0014456-8.2566e-06i,9.4416e-05-0.00054481i,-9.8702e-05-0.0010169i,-5.032e-05-0.0008363i,0.00049802-0.00074221i,0.00070027-0.0012546i,-0.00074607-0.00073736i,-0.00076989+0.00059355i,0.00086446+0.0014718i,0.0020576+0.0013132i,0.0019983+0.00046449i,0.0013628+0.0007084i,0.0012597+0.00075254i,0.0019576+0.00060265i,0.0013576+0.0006807i,-9.7975e-05+8.0353e-05i,-0.00099505-0.00018066i,-0.001147+0.00020461i,-0.0010455+0.00041031i,-0.00095858+0.00065587i
0.0013895-0.0019452i,0.00066626-0.0016995i,0.00089861-0.0024692i,0.0010656-0.0013997i,0.00042332+0.00080356i,0.00065052+0.0015964i,0.001131+0.0011678i,0.0015672+0.00049537i,0.0014338-8.0707e-05i,0.00059465+0.00042231i,-0.00054425+0.0014194i,-0.0014429+0.0018326i,-0.00106+0.0015089i,-0.00052858+0.0013846i,-0.00012374+0.0014297i,0.0003833+0.00074678i,0.00053445+0.00099214i,0.00065447+0.00096446i,0.00065365+0.00031249i,0.00053579+0.00010522i,0.00036405-0.0007381i,0.00016846-0.0012236i,0.0001891-0.00077368i
-0.0012602+0.00021814i,-0.0023184-0.0020652i,-0.0027968-0.00053176i,-0.0017101+0.0018257i,0.0003487+0.0016529i,0.0017862+0.00046971i,0.0020256-0.00047357i,0.0019662-0.00011219i,0.0016684+0.00045323i,0.0011282-0.00036116i,0.00071489-0.00046344i,-9.884e-05-0.00015324i,-0.00025549-8.1484e-05i,0.00030509+0.0014485i,3.086e-05+0.0018434i,-0.00068999+0.0013734i,-0.00055131+0.0010541i,-8.6563e-05+0.00063754i,4.201e-05-9.5322e-05i,0.00060343-0.00086923i,0.0013445-0.00063663i,0.0008953-0.00041448i,6.5732e-06-0.00098229i
-0.00028201-0.0013247i,0.0007533-0.0015024i,0.0002582-0.00058264i,-2.0272e-06+0.00069714i,-3.2633e-05+0.0014721i,-9.664e-05+0.0018114i,0.0001352+0.0015327i,0.00041334+0.00093202i,0.00052699-5.2813e-05i,0.0010454+7.7379e-06i,0.0018734+0.00081769i,0.0017264+5.7158e-05i,0.00082326-0.001293i,0.00041806-0.002162i,0.00044625-0.0022176i,-0.00010567-0.0010875i,-0.00014637+0.00019942i,-0.00033742+0.00068691i,-0.00082976-5.1119e-05i,-0.00034946-0.0002481i,0.00033022+0.00062189i,0.00080047+0.00081125i,0.00059218+0.00068927i
-0.0012619-0.0025973i,-0.0018233-0.0023871i,-0.0022854-0.0023953i,-0.0019969-0.00051972i,-0.0014596+0.0015124i,-0.00025335+0.0013121i,0.00039415+0.00037124i,5.2589e-05-0.00015759i,-0.00048018-0.00033797i,-0.001184-1.0028e-06i,-0.00094606+0.0008404i,0.00068005+0.0016858i,0.0023188+0.00089607i,0.0015639-0.00083584i,0.00033587-0.0020048i,0.00045307-0.0014583i,0.00062372-0.00059157i,3.6517e-05-0.00036316i,-0.0010359+0.00016188i,-0.001282+0.00058298i,-0.00059595+0.00079909i,-0.00088441+0.0013908i,-0.00099124+0.002021i
0.0016172-0.0010449i,0.0014446-0.0021226i,0.00034845-0.0024426i,-0.00035595-0.0014224i,0.00025197-0.00035397i,0.0006672+0.00013077i,0.00089226-0.00012006i,0.001265-7.815e-05i,0.00028273-0.00027318i,-0.00068751-0.00011741i,-0.00098692+0.0012158i,-0.00013431+0.0022612i,0.00068707+0.0020385i,0.0013989+0.00093138i,0.0013953+0.00016781i,0.00091486-0.00042697i,0.0009867-0.00039707i,0.00089389+0.00041641i,0.00042851+0.00012396i,-0.00042653-0.00083283i,-0.00092665-0.00077308i,-0.0010573+0.00016399i,-0.0016592+0.0011306i
-0.0013333-0.00092129i,-0.00064698-0.00040682i,-0.00087789-0.00090887i,-0.0015323-0.00031055i,-0.00072357+0.0010792i,0.00067967+0.0015215i,0.0014396+0.00099706i,0.0013749+0.00041806i,0.0011561-1.8143e-05i,0.00055097-8.9737e-05i,-0.00066218+0.00012963i,-0.0010493+0.00062803i,-0.00030269+0.00086528i,-0.00012441+0.00046735i,-0.0017835+0.00059017i,-0.0020099+0.001214i,-0.00047456+0.001621i,0.00060487+0.0014104i,0.00030682+0.00066737i,-8.1257e-05+0.00052607i,0.0001812+0.00049728i,-0.0002424-0.00022682i,-0.00015774-0.0002709i
-0.00031486-0.0017185i,0.00048201-0.0029595i,-0.0003035-0.0026282i,-0.00048082-0.00067504i,0.00016717+0.00090124i,0.00076825+0.0010833i,0.0007792+0.00056277i,0.00031434+0.0011321i,-0.00015223+0.0017344i,-3.1568e-05+0.0010378i,0.0010116+0.00015519i,0.0019502-0.00034161i,0.0014413+0.00041508i,-0.00064371+0.0010985i,-0.0012448+0.0010334i,-0.00010767+0.0015878i,0.00073097+0.0020514i,0.0010507+0.0013277i,0.00075331+0.00019606i,7.7204e-05-0.00040401i,-0.0001329-0.00013895i,0.00056536-0.00082922i,0.00094755-0.0017564i
0.0032845-0.00037006i,0.0041102-0.00088713i,0.0039858-0.0012199i,0.0024462-0.00057021i,0.00043914-0.00079751i,-0.00039193-0.00037116i,0.00025475-0.00040246i,0.00076787-0.00063315i,0.00026575+0.00035162i,0.00019656+0.0010259i,0.0013658+0.00097887i,0.0016189+0.00010347i,0.00068124-0.00038663i,4.3318e-05-0.00019235i,2.8001e-05-0.00038891i,0.00027659+0.00022815i,-0.00027071+0.00055063i,-0.00038433+0.0005008i,-0.00063409+0.00041072i,-0.0010674+0.00074183i,-0.00089265+0.0006774i,0.00023195+0.0005181i,0.0011323+0.00010062i
-0.00076703+0.0015416i,-0.00054907+0.00058455i,-0.00050572+4.9335e-05i,-4.973e-05+0.00060806i,0.00068687+0.0011158i,0.00048686+0.001434i,0.0001195+0.0008264i,0.00063245-0.00033021i,0.0014756-0.0014416i,0.0018161-0.00095553i,0.00090712+0.00031198i,-0.0007247+0.00061489i,-0.00089262-0.00010228i,0.00018678-0.001068i,0.00024435-0.0014755i,-0.00038512-0.00019435i,-0.00059317+0.0014653i,-0.00054087+0.0006913i,-0.00051922-0.00070072i,-0.00063833-0.00017488i,-0.00092453+0.00027698i,-0.0004888-0.00030852i,9.12e-05+0.00031842i
0.00025919-0.00092291i,0.00015743-0.0016421i,-0.00094312-0.00085265i,-0.0013992+0.00071403i,-0.00039957+0.00068147i,0.0006182-0.00038384i,0.00112-0.0011437i,0.0015898-0.0018173i,0.0016369-0.0026354i,0.00065073-0.0020685i,-0.00099238-0.00062429i,-0.0015586+0.00076605i,-0.0008237+0.0006281i,-3.6588e-05-0.00011459i,0.00053357-0.00054355i,0.0013811-0.00064119i,0.00066323-6.3519e-05i,-0.00030688-0.00018669i,-0.00036084-0.00086966i,-0.00072957-0.0010713i,-0.0011641-0.00096518i,-0.0023062-0.00044705i,-0.0027344+0.00023688i
0.0025437+0.00046636i,0.0020935+0.00059217i,0.0029578+0.0007692i,0.0021565+0.0008043i,0.00082704+0.0011964i,0.00076807+0.0013403i,0.00079622+0.0012258i,0.0012286+0.00079875i,0.0015775-0.00016163i,0.00066894-0.00098325i,-0.00065595-0.0015326i,-0.00089753-0.0004215i,-1.3595e-05+0.0014502i,0.00096305+0.0017215i,0.00049357+0.00082394i,-0.0010374+0.00071395i,-0.00084774+0.00076347i,0.00050483-0.0001716i,0.0008423+0.00015996i,0.00082001+0.0010696i,0.0010636+0.00017357i,0.00032477-0.00083321i,-0.00014934-0.00055345i
0.00096942-0.00050168i,0.0012752-0.00013755i,0.0015886-0.00090832i,0.001458-0.001621i,0.0010082-0.00023765i,0.00019763+0.0012534i,-2.6398e-06+0.0010161i,-9.6426e-05+0.00078223i,-0.00079589+0.00032484i,-0.00094347+0.00033093i,-0.00037922+0.0016178i,0.00048501+0.0015047i,0.00092196+9.9464e-05i,-0.00037306+0.00027934i,-0.00073045+0.0016116i,-0.00048331+0.0019084i,0.00010558+0.00059132i,0.00036599+1.044e-05i,0.00043679-4.611e-05i,0.00094042+9.4044e-05i,0.0013299+0.00075023i,0.0016276+9.5717e-05i,0.001704-0.00054453i
0.00083399-0.00098685i,0.0010748-0.00067426i,-0.00015044-0.0013301i,-0.0012582-0.0012163i,-0.0013558-0.00013098i,-8.5488e-05+0.00018843i,0.00024763-0.00023177i,-0.00034894-0.00091114i,0.00017136-0.00088109i,0.00055919+0.00063392i,0.00026614+0.0022494i,0.00038183+0.0022596i,0.00090481+0.0018938i,0.0005769+0.0022735i,-0.00032099+0.0020153i,-0.00070598+0.0015761i,-0.00051337+0.0021657i,-0.00060655+0.0018699i,-0.0016752+0.0010189i,-0.0017547+0.00076522i,-0.00080443+0.00070116i,-0.00047168+0.0010672i,-0.00029771+0.00098021i
-0.001111+0.0016703i,-0.0011148+0.0023858i,-0.0010267+0.0027737i,0.00043144+0.0031514i,0.001857+0.0033014i,0.0019997+0.0024517i,0.001612+0.00036551i,0.0018553-0.00041249i,0.0012517-0.00034683i,3.3791e-05-0.00018274i,0.00013204-2.5969e-05i,0.00091139+0.00023972i,0.00068798-3.6005e-06i,-2.055e-05-0.0011466i,-0.00072544-0.0017169i,-0.00082195-0.00049594i,0.0002751+0.00083344i,0.00084264+0.00023585i,0.00022885-0.0015495i,-0.00077972-0.0021608i,-0.0011342-0.0010023i,-0.00059192-8.4773e-06i,-0.00039033+0.00059868i
0.001124+0.0017362i,0.0014212+0.001181i,0.0012427+0.00035501i,0.00043406-0.00058183i,0.00064976-0.0012953i,0.0011617-0.00052967i,0.0012286+0.00027586i,0.0019063+0.00073649i,0.0020439+0.00028923i,0.0020342-0.00063598i,0.00082426-0.0014057i,-0.00042414-0.002078i,-0.00019639-0.0011803i,-6.4168e-05+0.00020086i,0.00010667+0.0011904i,-0.00019319+0.0012682i,-9.7238e-05+0.00082332i,0.00061533+0.0008294i,0.00024645+0.0003159i,-0.00034918-3.0889e-05i,-0.00017642-0.00045114i,-0.00077811-0.00082711i,-0.0023341-0.00062491i
-0.00074386+4.1883e-05i,-0.00076796+0.00023591i,-0.001251+0.00067004i,-0.0012503+0.0025982i,-0.00010982+0.0028895i,0.0011114+0.0010803i,0.0011805+6.5928e-05i,0.0014473+0.0003202i,0.0018729+0.00090797i,0.0016274+0.00081777i,0.0017891+1.3238e-05i,0.00091877-0.00040322i,0.00058175+7.4834e-05i,0.0018551+0.00031076i,0.0017406-0.00012566i,0.00085646+0.00025776i,0.00044472+0.0010196i,0.00045894+0.00083818i,0.0008223+0.00040968i,0.0010667+0.00018355i,0.001825+5.1861e-05i,0.0018275-0.00032949i,0.0011053-0.00052873i
-0.00059576-0.0014927i,3.5336e-05-0.00092882i,0.001032-0.00063404i,0.0022+0.00047724i,0.003187+0.0011627i,0.0027106+0.0019551i,0.0012309+0.0014657i,0.00067549-0.000249i,0.00075063-0.0001838i,0.0004618+0.0011236i,0.00022955+0.0014137i,0.00048434+0.00097169i,0.00062686+0.00043601i,5.311e-05+0.00058185i,-0.00030962+0.00071617i,-0.0001317+0.00079903i,-0.00057266+0.00040072i,-0.0010335-0.00028917i,-0.00076592-0.00029814i,-0.0013834+2.3287e-05i,-0.0013031+0.00029619i,-0.00033343+6.4988e-05i,0.00093472-0.00075839i
0.0034616-0.0024225i,0.0037852-0.0025751i,0.0021778-0.0026326i,-0.00075007-0.0017628i,-0.0020703-0.0013998i,-0.00056597-0.00076157i,0.00031745-0.00056018i,0.00022371-0.0010248i,-0.00041296-0.0013448i,-0.00098389-0.00051452i,-0.00045567+0.00141i,0.00042807+0.0021721i,0.00073491+0.0022593i,0.00031548+0.0030939i,0.0002038+0.003372i,0.001075+0.0030008i,0.0014065+0.00174i,0.0010914+0.00070821i,0.00093155-8.1109e-05i,0.00037058-0.0011294i,-0.0003584-0.0009619i,-0.00011569-0.00016282i,-0.00019181+0.0013087i
0.0021043-0.00034326i,0.0014572+0.00055741i,0.0015469-1.2231e-05i,0.0014351-0.00013408i,0.00050885+0.00041601i,-0.00056661+0.00057225i,-0.0004418+0.00021173i,0.00097915-0.00038396i,0.0016688-0.00091656i,0.001074-0.00087119i,-0.00015072-0.00032293i,-0.00031281+0.00049442i,0.0012627+0.0010664i,0.0018884+0.0005284i,0.00096131+3.4559e-05i,0.00013853+0.00062417i,-0.00023395+0.00056199i,-0.00022386-0.0011449i,0.00032393-0.0023519i,0.00051345-0.0018876i,-0.00026106-0.0018431i,-0.00091936-0.0020607i,-0.0005103-0.0016012i
-0.0009237+0.0013802i,-0.0016829+0.001463i,-7.6272e-05+0.00028717i,0.0016045-0.00021377i,0.0018832+0.00059317i,0.0014872+0.0012851i,0.0014375+0.0014314i,0.0014037+0.001395i,0.0012835+0.0010276i,0.00053831+0.00041299i,0.00026372+0.00021719i,1.3457e-05-7.1321e-05i,-0.00028623-0.00012874i,1.249e-05+0.00040346i,-0.00034458+0.00084588i,-0.0010203+0.0012436i,-0.00084572+0.00097802i,0.00022836+0.00032523i,0.00099139-1.3276e-05i,0.00092824+3.1936e-05i,0.0009052+0.00028222i,-1.166e-05-6.6183e-05i,-0.0017914-0.00026149i
0.0019617-0.0023365i,0.0020137-0.0029096i,0.0024239-0.0029652i,0.0016988-0.0013049i,-0.00036024+0.00046062i,-0.0014169+8.4823e-05i,-0.00058196-0.00060814i,0.00050819+3.6075e-05i,0.0015167+0.0006657i,0.0020128+0.00050912i,0.0017153+0.00059454i,0.0017483+0.0014819i,0.0020676+0.0012661i,0.0018489+0.00054068i,0.00076326-7.8928e-05i,0.00031443-0.00068061i,0.00096256-5.8505e-05i,0.0012604+0.00090113i,0.00096946+0.001199i,0.00071031+0.0012895i,0.00080547+0.0014668i,0.0017631+0.00094157i,0.002005-0.00081587i
0.0016246-0.00012987i,0.00244-7.4788e-05i,0.0020059+0.001371i,0.0011946+0.0025902i,0.0014721+0.0022434i,0.0015722+0.0018219i,0.0011783+0.0010578i,0.00073989-0.00028927i,0.00060341-0.0010084i,0.00082758-0.0010117i,0.00076437-0.00010258i,-0.00031884+0.00030375i,-0.001228-0.00026524i,-0.0013038-0.00041434i,-0.0014248+0.00094101i,-0.0010134+0.0015286i,-0.0010236+0.0012146i,-0.0021078+0.001471i,-0.0023601+0.0017076i,-0.0020013+0.0015183i,-0.0013977+0.0011741i,-0.00033031+0.00084908i,-4.3317e-05+0.00050456i
-0.0012962+0.002422i,-0.0018176+0.0031012i,-0.0016082+0.0028517i,-0.00081794+0.0014509i,-0.0011577+6.188e-05i,-0.00037536-0.00030658i,0.0012998-0.00079866i,0.0018962-0.00067087i,0.0013082-0.00076946i,0.0006138-0.0010553i,0.00045755-0.00035441i,0.00013722-2.798e-05i,-0.00083567+0.00019893i,-0.0014297+0.001201i,-0.00048888+0.0016728i,0.0001521+0.0015053i,0.00050529+0.00058623i,0.0014395-0.00034936i,0.0010715-0.0008385i,0.00013322-0.0016553i,-0.00034767-0.0012013i,-0.0008352+0.00061216i,-0.0008817+0.002013i
-0.00038615-0.00051553i,-0.0010311-0.0016066i,-0.00025844-0.00087437i,1.7215e-05+0.001007i,-0.00080076+0.0018541i,-0.00066682+0.00075071i,0.00038621-0.00028728i,0.00068517-0.00020113i,0.0008781+0.0006054i,0.0011926+0.00031965i,0.00061208-0.00018905i,0.00024176+0.00049881i,0.0010309+0.00094933i,0.0011729+0.00037308i,0.00037445+0.00016614i,-1.326e-05+0.00085933i,0.00063773+0.0011206i,0.00095433+0.00030628i,-0.00016153+8.8736e-06i,-0.00084109+0.00032097i,-0.00036154-0.00082001i,-0.00019518-0.0018623i,3.3514e-05-0.0014564i
-0.0011311-0.00052534i,-0.00065887-0.00014062i,-0.0005545+0.00053333i,0.00096983+0.0011433i,0.0027756+0.0015589i,0.0033498+0.0010956i,0.0026346+0.00047993i,0.0011536+0.00044472i,-1.9545e-05+0.00095498i,-1.3807e-05+0.00074279i,0.00051458-0.00074895i,0.00022793-0.0015827i,-0.00048548-0.00062352i,0.00011561+0.00043494i,0.00033523-0.00015569i,-0.00034105-0.0001348i,-0.00019877+0.00053892i,0.00029081+0.00054871i,0.00057338+0.00049667i,0.00015153+0.00082263i,-0.00041528+0.00054131i,-0.0012274-0.00039411i,-0.0016206-0.00046801i
