0.41275-0.31116i,0.28405-0.49988i,0.038302-0.45382i,-0.065202-0.31498i,-0.057247-0.25826i,-0.068733-0.26042i,-0.057579-0.25632i,-0.035548-0.22597i,-0.029075-0.15452i,-0.0086303-0.096821i,0.0013062-0.078627i,-0.012728-0.04945i,-0.016906-0.02061i,-0.020892-0.024252i,-0.042613-0.035959i,-0.060251-0.029255i,-0.049726-0.012936i,-0.019041-0.0046647i,0.0037025-0.0066051i,0.0083545-0.009988i,0.003348-0.0098408i,-0.0038857-0.0054241i,-0.0055938+0.0019287i
-0.67115+0.61485i,-0.69407+0.78484i,-0.52325+0.6289i,-0.32471+0.38888i,-0.1746+0.2474i,-0.098069+0.14825i,-0.1035+0.071838i,-0.11885+0.046464i,-0.10051+0.048919i,-0.075233+0.056934i,-0.052464+0.059053i,-0.022251+0.045043i,-0.0044994+0.020075i,-0.011151+0.0066525i,-0.020673+0.013608i,-0.014446+0.030284i,0.0046603+0.038271i,0.020145+0.026328i,0.017612+0.0081791i,0.0081449-0.0013812i,0.0043787-0.0037848i,0.0034328-0.008735i,0.00073831-0.019753i
0.2514-0.41247i,0.25838-0.29658i,0.24782-0.00069417i,0.19723+0.13297i,0.032599+0.089725i,-0.15778+0.082232i,-0.21123+0.099309i,-0.12771+0.074917i,-0.025349+0.020634i,0.011333-0.024078i,0.0078969-0.037476i,-0.001035-0.042255i,-0.017091-0.033702i,-0.022927-0.0078082i,-0.0064218+0.010857i,0.022314+0.014829i,0.042033-0.00084768i,0.038017-0.028852i,0.018129-0.04265i,-0.0023104-0.033621i,-0.011336-0.01164i,-0.001946+0.010499i,0.013459+0.017704i
0.46725+0.36509i,0.67521+0.13053i,0.59159-0.16381i,0.37758-0.22387i,0.27607-0.10697i,0.26562-0.023667i,0.20299+0.015766i,0.10034+0.049087i,0.03463+0.054838i,0.026292+0.033658i,0.029711+0.013655i,0.015829+0.0097219i,0.0029251+0.011082i,-0.0011592+0.0087028i,-0.00060021-0.0022345i,-0.0009073-0.02186i,-0.0083491-0.037249i,-0.023918-0.034481i,-0.035259-0.010575i,-0.028137+0.018125i,-0.0084879+0.032139i,0.00086032+0.023121i,-0.0078014+0.0052363i
-0.81493-0.2834i,-0.9732-0.14787i,-0.73261-0.024662i,-0.40939+0.0056158i,-0.2301+0.048697i,-0.132+0.085908i,-0.074467+0.042978i,-0.052351-0.020097i,-0.056983-0.04915i,-0.086388-0.054493i,-0.095711-0.047176i,-0.076592-0.028317i,-0.047896-0.0025842i,-0.020975+0.00066084i,-0.021921-0.019294i,-0.037753-0.024777i,-0.035808-0.010913i,-0.018275+0.00040769i,-0.0022021+0.0030247i,0.0092261-0.001626i,0.017583-0.010862i,0.022165-0.018715i,0.022551-0.021128i
0.72957+0.048043i,0.70237-0.029345i,0.417-0.051112i,0.20036-0.077124i,0.063011-0.16511i,-0.1509-0.19313i,-0.28141-0.084273i,-0.19719+0.031984i,-0.047683+0.055221i,0.019031+0.02812i,0.024597+0.0011582i,0.018663-0.018212i,0.0061158-0.025446i,-0.0063667-0.018381i,-0.00994-0.00096133i,0.00029591+0.018388i,0.013911+0.020122i,0.013833+0.001407i,0.001038-0.012718i,-0.010312-0.0079195i,-0.010481+0.00074601i,-0.0090358+0.0052941i,-0.0060038+0.0089788i
-0.52986+0.33346i,-0.50484+0.42196i,-0.32746+0.37914i,-0.17573+0.34968i,-0.065109+0.4432i,0.030146+0.60057i,0.073317+0.62297i,0.0893+0.41652i,0.051994+0.14419i,-0.032648+0.0020932i,-0.10057-0.010203i,-0.12566+0.020278i,-0.10336+0.049315i,-0.062335+0.045048i,-0.042361+0.011335i,-0.032799-0.013105i,-0.013048-0.022428i,-0.00524-0.023433i,-0.0094181-0.0090482i,0.0021247+0.0043473i,0.017632-0.0025938i,0.018837-0.019542i,0.0051082-0.029854i
0.29903-0.46724i,0.25747-0.45363i,0.21616-0.27453i,0.18642-0.1735i,0.14625-0.18006i,0.14089-0.20492i,0.14054-0.21643i,0.076707-0.19325i,-0.006785-0.1282i,-0.062412-0.049701i,-0.052091+0.01394i,0.0062126+0.035852i,0.040493+0.014632i,0.019926-0.0067038i,-0.015181-0.00039827i,-0.018264+0.0011722i,-0.010236-0.021637i,-0.012615-0.03093i,-0.011126-0.016058i,-0.0044585+0.00042423i,0.0014843+0.013219i,0.010346+0.020772i,0.018931+0.01442i
0.21049+0.68987i,0.43055+0.6326i,0.49783+0.23101i,0.44683-0.053856i,0.52207-0.0091597i,0.68554+0.11945i,0.63991+0.15844i,0.35733+0.11662i,0.080786+0.073772i,-0.042102+0.057963i,-0.08564+0.043563i,-0.11111+0.050276i,-0.097284+0.065177i,-0.071596+0.061286i,-0.060206+0.068228i,-0.044788+0.087024i,-0.021623+0.086028i,-0.003567+0.055978i,0.0024436+0.021752i,0.0033218+0.0016847i,-0.0068076-0.016075i,-0.030025-0.027989i,-0.040768-0.017977i
-3.5534+6.7731i,-1.8063+5.609i,2.0852+5.1909i,4.5291+1.9248i,4.062-1.486i,1.6924-2.6681i,-0.36511-1.3697i,-0.6841+0.39977i,0.24243+1.104i,1.2826+0.61208i,1.5884-0.49034i,1.1748-1.3852i,0.65217-1.5126i,0.55308-1.0348i,0.81991-0.7372i,0.69283-0.68788i,0.18613-0.47911i,-0.11582-0.27146i,-0.20322-0.25281i,-0.17583-0.2168i,-0.0061596-0.19261i,0.14282-0.34517i,0.079129-0.49242i
