-0.0014933+0.00019571i,-0.0019726-0.00074921i,-0.0016924-0.0013366i,-0.00084511-0.00051388i,-0.00082098+0.00054259i,-0.0012925+0.00061991i,-0.00069697+0.00090291i,0.00023481+0.0011096i,0.00097974+0.00047754i,0.00059337+0.00044015i,8.6738e-05-0.00049724i,4.0118e-05-0.0012672i,1.7566e-05-0.00083811i,0.00071927-0.00059482i,0.0005484+3.1142e-05i,-0.00071275+0.00077213i,-0.0012713+0.00029117i,-0.0008486-0.0009899i,7.7231e-05-0.0012533i,0.0006852-0.00020394i,0.00075488+0.00066035i,0.00026123+0.0005992i,-0.00021555-3.7498e-06i
-0.00050353+0.00030834i,-0.00046636+0.00030024i,-0.00047123-0.00047239i,-0.00037038-0.00078657i,-0.00042073-0.00036067i,-0.00036564-0.00024623i,0.00032211-0.00077772i,0.0010793-0.0005545i,0.00040213-0.00016948i,-0.00032951-0.00038759i,-0.00043543+4.858e-05i,-0.00040822+0.00019144i,-6.2888e-05-0.00041825i,0.00052813-0.00056664i,0.00057365-0.00085298i,0.00049916-0.00025022i,0.00068839+0.000504i,0.00036439-4.5844e-05i,0.00036015-0.00016264i,0.0011292+7.9181e-05i,0.00073822+0.00028378i,0.00010862+0.00020036i,0.00055064-2.5072e-05i
0.0010392-0.00063987i,0.00026721-0.00036266i,0.00079428-0.00032139i,0.0012538+0.0001803i,0.00054379+0.00052138i,-0.00054888+0.00044788i,-0.00067017-0.00014339i,-0.00015241-0.00019082i,-0.00032102+0.00037985i,-0.00040259-0.00012784i,0.00014129-0.000908i,-4.5874e-05-0.00032333i,-0.00045427+0.00010559i,-0.00028135-0.00019315i,-0.00057991-0.00029613i,-0.00059707-0.00022008i,-1.2943e-05-0.00027206i,0.00011347-0.00017211i,-0.00025721+0.00042559i,-0.00074132+0.00047969i,0.00026578+0.00011401i,0.0012837+0.00040373i,0.0005949+0.0004052i
0.0021434-0.0014118i,0.0021228-0.0023524i,0.0012953-0.0024059i,0.00088847-0.001324i,0.0011348-0.00031997i,0.0010627+0.00022939i,0.0011903-0.00020485i,0.00094435-0.00041933i,0.00021726-0.00012542i,-0.00016354-0.00037992i,-0.00015776-0.00032728i,-0.00031745-0.00029565i,-0.00051618-6.4505e-05i,-0.00028052+0.00057831i,-0.00010666+0.00049096i,-0.00063454-0.00044542i,-0.00092326-0.00050403i,-6.5455e-05+0.00024851i,0.00058729+0.00024515i,0.00021434-7.822e-05i,-0.00080204+0.00045527i,-0.0013008+0.00056967i,-0.0010256+0.00036638i
0.0001936-0.00029334i,0.00024092-0.001232i,-0.00028108-0.0013737i,-0.00097539-0.00092119i,-0.00041576-0.00018733i,0.00045184+0.0001801i,0.00038263+6.6303e-05i,-0.00093469+4.6234e-05i,-0.0016043-2.0737e-05i,-0.0012148-0.00035447i,-0.00018021-0.00029146i,0.00011032+8.7947e-05i,0.00027999-0.00016378i,0.00012642-0.00031776i,-5.4762e-06-0.00026214i,3.7569e-05-0.00016575i,-0.00044072-0.00027643i,-0.00044424-0.00074384i,-0.0011889-0.00095939i,-0.001673-0.000254i,-0.00097241-0.00012526i,-0.00051261-0.00048643i,0.0001638-0.00022184i
0.00076096+0.0023207i,0.0015735+0.00012237i,0.0015228-0.00089549i,0.00068933-0.00057757i,-0.00047334-0.00027548i,-0.00072035-0.00055067i,-0.00084706-0.00038199i,-0.0010124+0.00024008i,-0.00051141+0.00014169i,0.00040916-0.00041386i,0.0012135-0.00083932i,0.0013462-0.0008833i,0.00049832-0.0010515i,-0.0002337-0.001092i,-0.00028775-0.00094961i,5.1492e-05-0.00063486i,0.00035361-0.00043993i,0.00052743-0.00017708i,0.00051651+0.0007133i,6.6379e-05+0.00088357i,0.00018318-0.00029408i,0.0008271-0.0011432i,0.00040752-0.00047213i
0.00031579+0.00083359i,0.0010258+0.00046291i,0.0015216+0.00064566i,0.0014659+0.0010315i,0.0011386+0.0013286i,0.0012392+0.00079308i,0.0012557+0.00020378i,0.00047146+1.741e-05i,-0.00014374-0.00046535i,-0.00015031-0.00022712i,0.00017086+9.9956e-05i,-9.29e-05-0.00040023i,-0.00023406-0.00094922i,-0.00092862-0.0014667i,-0.0010338-0.0015118i,0.00010829-0.00048936i,0.00071494+0.00083563i,0.0007202+0.0010673i,0.0007929+0.00044979i,0.0009169+4.984e-05i,0.00097828-0.00030213i,0.00086271-0.00091694i,0.00029335-0.0005735i
0.00041549+0.00048643i,-0.00021885-0.00058852i,-0.0017938-0.00085671i,-0.002316+5.7062e-05i,-0.0017539+0.00029192i,-0.0001621-0.00026924i,0.00051426-0.00015736i,0.00067882-0.00028483i,0.00086026-0.00096021i,0.00079281-0.00056423i,0.00044887-0.00035022i,0.00066155-0.00055316i,0.00081979-0.00014914i,0.00095486-0.00016398i,0.00066582-0.00055877i,-0.00025235-0.00080292i,-0.00026-0.00042214i,0.00032198-0.00014544i,0.00052351-0.00038256i,0.0008408-0.00024041i,0.00073325+0.00021867i,-0.0005163+0.00018926i,-0.0006383+0.00012672i
-0.0024206+0.00048328i,0.00093914+0.0015493i,0.0025664+0.0012848i,0.0022793+0.0007025i,0.0023217-1.3712e-05i,0.00089759-0.00054621i,-0.00097687-0.00023141i,-0.0013259+0.00037154i,-0.0007567+0.00033942i,-0.00011798+0.00030634i,-3.495e-05+0.00029482i,0.00032659+0.00017769i,0.0010012+0.0005242i,0.00062173+0.0004631i,0.00028978-0.0005892i,-6.0343e-05-0.0014402i,-0.00021239-0.0009178i,-0.00031024+0.00049314i,-0.00049715+0.00064159i,-0.00088036+0.00085496i,-0.00058977+0.0018046i,0.00029913+0.0011499i,0.00049566+7.8438e-05i
-0.00055906-0.00073361i,-0.00040992-0.00061487i,7.3813e-05-0.00059416i,0.00054673-0.00059682i,0.00086208+0.00020316i,0.0011242-9.4792e-06i,0.0010738-0.00031366i,0.00070863+0.00042639i,0.00012249+0.00078181i,-0.00016802+0.00049894i,7.443e-05+0.00064876i,0.00045512+0.0011007i,-0.00014714+0.00091789i,-0.00051314-2.4332e-05i,-0.00037932-0.00074743i,-0.00059997-0.00066419i,-0.00061347-0.00043358i,-9.7909e-05+0.00019069i,3.5865e-05+0.0010514i,-0.00056281+0.00058737i,-0.00070279+0.00057995i,-0.00069832+0.0012855i,-0.00071938+0.00064437i
-0.00067537-0.0014285i,-0.0013665-0.00050531i,-0.0015541+0.00061256i,-0.0011655-4.7368e-05i,-0.00062963+0.00011555i,-0.00092154+0.00058417i,-0.0011925+0.00072845i,-0.00087376+0.00086305i,-0.00049198+0.00080328i,-0.00023277+0.00075536i,0.00019155+0.00049023i,0.00038929+0.00064889i,0.00094693+0.0011083i,0.0014752+0.0016004i,0.00058647+0.00090834i,-0.00045733-0.00044224i,-0.00025599-0.0007165i,0.00042864-0.00087953i,0.00021773-0.00094334i,-0.00047378-0.00047785i,-0.00069985-0.00064647i,-0.00064348-0.00027964i,-0.00069285+0.00030858i
0.0011806-0.0015913i,0.001334-0.0015629i,0.00091436-0.00034196i,-0.00054541+0.00036759i,-0.00019929-0.00027609i,0.0010327-0.00031631i,0.00025127-0.00029676i,-0.00068012-0.0010109i,-6.2668e-05-0.0014153i,0.00013586-0.00059163i,-0.0002918-0.00013014i,-0.00018621-0.00057769i,0.00026925-0.00035449i,0.00040955-0.00055068i,0.00031408-0.00077149i,0.00063594-0.00060884i,0.00051318-0.00064592i,3.8907e-05-0.00073149i,-0.00036948-0.0012586i,-7.2897e-05-0.00045347i,-0.00011795+0.00083061i,-0.00071683+0.00040592i,-0.00061442+0.00041884i
0.0027366-0.00091914i,0.0027824-0.0026339i,0.0017022-0.0023769i,0.001852-0.00087044i,0.0013879-0.00037757i,-0.00022463-0.00067601i,-0.0002277-0.0010445i,0.00032421-0.00087501i,0.00046403-5.4669e-05i,0.00014101-0.00012911i,6.1205e-05-0.00044002i,0.00055109-0.00047985i,-0.00012568-9.895e-05i,-0.00079625+0.0001106i,-0.00058538-0.00034272i,-0.00096745-0.00058035i,-0.0010568-0.00020759i,-0.00057973+0.00057189i,-0.00056539+0.00046928i,0.0001635-9.1633e-05i,0.00042827+9.4264e-06i,0.00025918-0.00020549i,0.00051897-0.0007741i
0.0015677+0.0025544i,0.0010773+0.0017149i,1.0659e-05+0.00095343i,-0.00061145+2.4515e-05i,-1.2474e-05-0.00049232i,-0.00024696-0.00057047i,-0.0012561-5.8893e-05i,-0.0011791-0.00016998i,-0.00086625-0.00071767i,-0.00099678-0.00075702i,-0.0004584-0.00022431i,-0.00027989+0.00016917i,-0.00084933-0.00060182i,-0.0010828-0.00078301i,-0.00058008-0.00085961i,-0.00028104-0.000476i,-0.000617+0.00023704i,-0.00048433-0.00044391i,-0.00053976-0.00044525i,-0.0010168-0.00025214i,-0.0011796-0.00033368i,-0.0010694+0.00023558i,-0.00013818+0.00064649i
-0.002181+0.0044953i,-0.0015967+0.0053467i,-0.0011199+0.004712i,-0.00046051+0.0031502i,-6.1557e-05+0.0013743i,0.00025089+0.0001737i,-0.0005264+0.00033607i,-0.00063481+0.00051735i,-0.00042625+0.00080189i,0.00010893+0.0011306i,0.00070497+0.00075684i,0.000583+0.00064394i,0.00061048+0.0006862i,0.00084977-0.00031614i,7.8588e-05-0.00089244i,-0.00057258-0.00092272i,-0.00065531-0.00018949i,-0.00036905+0.00041117i,0.00016223-4.6593e-05i,-0.00031531+0.00013567i,-0.0011048+0.00056632i,-0.0010595+0.00017273i,8.5549e-05-0.00017598i
-0.0024614+0.0019496i,-0.00032899+0.00114i,0.0013641-2.8549e-05i,0.0023306-0.0014318i,0.0022718-0.002162i,0.00096852-0.0012142i,-3.8767e-05-0.00081995i,-0.00037132-0.00089842i,-0.00064306-0.00031078i,-8.4824e-06+0.0001613i,0.0010132+0.00010825i,0.0013728+4.2061e-06i,0.00073332-0.00037389i,0.00024538-0.00034768i,-9.7967e-05+0.00052306i,-0.00078978+0.00088907i,-0.0011713+0.00090445i,-0.0012688+0.00043505i,-0.0014897-0.00024537i,-0.001027-0.0002811i,-0.00018869+0.00053012i,1.5161e-05+0.0010705i,-0.00038259+0.00053379i
-0.0011574-0.001841i,-0.0016439-0.0013902i,-0.0017717-0.00062801i,-0.0008808-0.00033309i,0.00019947+0.00012743i,0.00067221+0.00014287i,0.00086562+0.00012459i,0.00069919+7.232e-05i,0.00012279-0.00043888i,0.00025768+0.00040683i,0.00083526+0.00093406i,0.00018302-0.00023251i,-0.00071196-0.001352i,-0.00053921-0.00089377i,-0.00088332-0.0005849i,-0.0011811-0.00031888i,-0.00010138+0.00021732i,0.00087152-0.00033149i,0.0004311+7.2766e-05i,4.2923e-05+0.00070698i,-0.00030452+0.00010359i,-0.00043322-0.00023701i,-0.00040451-5.2034e-05i
0.00026081+8.3099e-05i,0.0010495+0.0015045i,0.0015948+0.0021623i,0.0011225+0.0012136i,0.00061203+0.00037245i,-0.00012696+0.00038403i,-0.0010311+0.00062052i,-0.0011477+0.00093363i,-0.000572+0.0010132i,-0.00028561+0.00078197i,-0.00020436+0.00036887i,-2.2556e-06+0.00027019i,0.00038767-4.3385e-05i,0.00055703-0.00022389i,-0.00042365+3.5081e-05i,-0.00048666+0.00056543i,0.00033924+0.0013377i,-0.00038783+0.0014614i,-0.00094984+0.00064394i,-0.00081987-0.00060532i,-1.3085e-05-0.0011742i,0.00060935-0.0001229i,0.00055399+0.00049717i
0.0011108-0.0016419i,0.0010999-0.0014242i,0.0016045-0.0010413i,0.00097517-0.0010368i,0.00015805-0.0015476i,-0.00040428-0.0012298i,-0.0011358-0.00040617i,-0.0013189-0.0006943i,-0.00071628-0.0012616i,-0.00035882-0.00084436i,-0.00052094-0.00039306i,-0.00030163-0.00024701i,-0.00018974+0.00010598i,-0.00064961-0.00036314i,-0.00033026-0.00060887i,-0.0003039+0.00016008i,-0.00074056+0.00017666i,-9.14e-05+0.00041556i,0.00011354+0.00071826i,-0.00072365+0.00057616i,-0.0002009+0.0010316i,0.00092899+0.0005093i,0.0010808+0.00013443i
0.00079658+0.00054342i,0.00056512+0.0007078i,0.00039307+0.00093067i,0.00030961+0.0010119i,0.00053334-5.6428e-05i,0.00070424-0.0017612i,0.00068144-0.0016951i,0.0001335+1.3231e-05i,9.7798e-05+0.001108i,0.00074575+0.0011894i,0.001014+0.00025447i,9.0437e-05-0.00080474i,-0.00039582-0.0014615i,0.00063779-0.001364i,0.00054331-0.00091157i,-0.00043263-0.00038672i,-0.00087528+0.00025882i,-0.00091167+0.00083993i,-0.00050217+0.00076295i,-0.00042101+0.00024597i,9.2322e-06-7.7525e-05i,0.00020722+1.812e-05i,0.00044683+0.00045491i
0.0026531+0.00034998i,0.0025372+0.00086449i,0.0022098+0.0016719i,0.0019513+0.0013998i,0.0015419+0.0003318i,0.0002959-0.00037646i,-0.00056156+0.00022984i,-0.00079074+0.00072343i,-0.0007265+0.00083444i,-0.00022454+0.00020036i,6.9177e-05-0.0004059i,-0.00072925-3.5807e-06i,-0.00042455-8.4039e-05i,-5.8866e-05-0.00052493i,-0.00039166-0.0009265i,0.00012151-0.0010638i,0.00011428-0.00013012i,-4.5114e-05+0.00064671i,0.00045005+0.0010369i,0.00078431+0.0012699i,0.00076851+0.0016526i,0.00031976+0.00098382i,0.00041889-0.00014346i
-0.0015958+0.0028713i,-0.00091603+0.0034581i,-0.00013373+0.0020439i,0.0011867+0.0012657i,0.0023416+0.00097279i,0.0023108-0.00019212i,0.00062173-0.0012146i,-0.00049243-0.00083148i,-0.000411+0.00024228i,0.00017115+0.00079363i,0.00050122+0.00016449i,0.00031428-0.00093467i,0.00069511-0.0014046i,0.00061771-0.0013829i,0.00066908-0.00093006i,0.0003883-0.00078313i,-0.00042712-0.0010581i,-0.00048987-0.00090442i,-1.2618e-06-0.00067566i,0.0003955-0.00028438i,0.0003533+0.00041165i,-0.00034358+0.00037313i,-0.00069179-0.00020176i
-0.0040162+0.0085782i,-0.0018035+0.0097219i,0.0011766+0.0092468i,0.0035537+0.0049194i,0.005478+0.00058372i,0.0035495-0.003421i,0.00010979-0.0042767i,-0.0013716-0.0026247i,-0.00094241-0.00033819i,0.0013063+0.00081966i,0.0026251-0.00011123i,0.00073431-0.0016002i,-0.0013779-0.0029127i,-0.0012633-0.0041722i,-0.00027979-0.0054343i,-0.00018374-0.0037543i,-0.00016249-0.00034051i,-8.183e-05+0.00049874i,-0.001067-0.00029193i,-0.0012715-0.00046577i,-0.0003499+1.8935e-05i,0.00039659-0.00013046i,0.00024489-0.0007468i
0.0027271-0.00205i,0.0021495-0.0042177i,0.0010637-0.0063776i,-0.00039025-0.0046685i,-0.0033855-0.00067043i,-0.0040504+0.0033033i,-0.0014457+0.0036827i,-0.00034045+0.0021189i,-0.0010711+0.00034863i,-0.0025274-0.00074831i,-0.00218+5.7098e-05i,-0.00099642+0.001249i,-0.00044537+0.0017504i,-0.00046729+0.0030071i,-0.00042134+0.0037113i,-0.00089609+0.0020036i,-0.00028587+0.00067179i,0.00093956+0.00050709i,0.0012131+0.0002045i,0.001059-3.3842e-05i,0.00087826-0.00045994i,0.00038872-0.000558i,-0.00038499+7.5566e-05i
-0.00089242-0.0039993i,-0.00012967-0.0034896i,-0.001803-0.0032732i,-0.0028271-0.0025998i,-0.0020031-0.0012893i,-0.00098845+0.00014814i,-0.00029044-0.0007282i,-0.00027823-0.0014845i,9.0055e-06-0.00061492i,0.00061076+0.00058171i,0.00021539+0.0010335i,9.5991e-05+0.00064393i,0.00034572+0.00051825i,0.00038895+0.00098794i,0.00084845+0.0013032i,0.00059416+0.0011128i,0.00042209+0.00088278i,0.00091328+0.0011096i,0.0010982+0.0008248i,0.0014313+0.00018406i,0.0010104-0.00028907i,-8.1659e-05-0.00075995i,-0.00074382-0.0001697i
0.0031329-0.00087167i,0.0026776-0.0011935i,0.0022266-0.0011287i,0.0013914-0.00086734i,0.00011887-0.00065054i,-0.0011744-2.5691e-05i,-0.0011354-0.0001522i,-6.024e-05-0.00030673i,0.00087965-3.3954e-06i,0.0004567+0.00019347i,0.00015509+0.00090956i,0.00042256+0.0013606i,-9.7278e-05+0.00041211i,-0.00062813+0.00017685i,-0.00081629+0.0008415i,-0.00049149+0.00048244i,0.00055167+0.0004692i,0.00075584+0.00066782i,0.00069884+7.2618e-05i,0.0010291-0.00036696i,0.00060663-3.3253e-05i,0.00023724+0.00049483i,0.00021329+0.0004686i
0.0042646+0.00039509i,0.0053087-0.0021477i,0.0044626-0.0037465i,0.0025044-0.0033141i,0.0010528-0.0018811i,0.00079673-0.00077366i,0.00067067-2.4443e-05i,0.00050617+2.0758e-05i,0.00052994-0.0006912i,0.00057761-0.00093929i,0.00048241-0.00065067i,2.0203e-05-0.00024069i,-0.00072299+0.0007618i,-0.0017012+0.0014725i,-0.0016255+0.0012102i,-0.00082134+0.0010677i,-0.00052783+0.00034143i,-0.00041975-0.00044964i,-0.0004956+0.00070668i,-0.00087631+0.0014022i,-0.00070365+0.00043503i,0.00029102+2.667e-06i,0.00043707+7.9936e-05i
0.00091133-0.00021374i,2.037e-05-0.0011467i,-0.0014277-0.0013645i,-0.0021748-0.0014584i,-0.00079112-0.0016757i,0.00020619-0.0012287i,0.00016308-0.0011865i,-0.00025345-0.0010072i,-0.00077807-0.0010667i,-0.0013469-0.0014205i,-0.0013425-0.00059559i,-0.00023838+0.00028542i,0.00018589+0.00074785i,-0.00021075+0.00070265i,-0.00041701+0.00077079i,-8.5079e-05+0.00074882i,0.00012052+0.00046727i,0.00051824+8.1853e-05i,0.00069654+0.00012512i,0.00038554+0.00020898i,-0.0001591+0.00027811i,-0.00022589+0.00075367i,0.00024359+0.00087232i
0.0021607+0.0011354i,0.00377+0.0015825i,0.0028028+0.00072128i,0.0012779+0.00042106i,-0.00053332+0.0010266i,-0.0013359+0.00071934i,-0.0008303+0.0008635i,-0.00028086+0.0012811i,-0.00024104+0.0010982i,-0.00031992+0.00065904i,-0.00016476+0.00052871i,-0.00071589+0.0011678i,-0.00038244+0.0011595i,0.00035857+0.00016529i,0.00010495-0.00038996i,-0.0003331-0.00030449i,-0.00087424-0.00036425i,-0.00069973+2.1788e-05i,7.4743e-05+0.00015347i,0.00038454-0.00069018i,0.00031618-0.00142i,-0.0001154-0.00080621i,-0.00080555+0.00035999i
0.0013857-0.0018029i,0.0025274-0.0028536i,0.0023037-0.0040001i,0.00072059-0.0024867i,0.0001764-0.00043978i,6.4004e-05+0.00064525i,-0.00039064+0.00074964i,-0.00041998+0.00042801i,-0.0002713+0.00064158i,-0.00017326+0.00095878i,0.00021273+0.00039128i,0.00093767-0.00016066i,0.00071218-3.9562e-05i,-0.00014559+0.00077536i,8.75e-05+0.0011259i,0.00045403+0.00082758i,-9.0283e-05+0.00031848i,0.0003692-0.00042257i,0.00042962-0.00050574i,-0.00012886-0.00029545i,-0.00037183-0.0001616i,-0.0002569+0.00027689i,-0.00047003+5.1287e-05i
-6.3504e-05+0.00072106i,0.00011573+0.00017946i,0.00063739-0.00064038i,-0.00049292-0.0010279i,-0.0021567-0.0010543i,-0.0014458-0.00031011i,-0.00057175-0.00091925i,-0.00046004-0.0010916i,0.0001945-0.00026658i,0.00038043-0.00035852i,-0.00011442+0.00013969i,0.00011859+0.00043489i,-0.00030493-0.0005919i,-0.00055645-0.000837i,-0.00060364-0.00012177i,-0.0005097+0.00035954i,-0.00027011+9.6808e-05i,-0.00023279+0.0002452i,-0.00013584+0.00036636i,0.00015148-0.00011163i,0.00028214-6.3536e-05i,7.2385e-05+0.00027843i,0.00030477+0.00014801i
-0.00077373+9.9719e-05i,0.00012144-0.00024775i,0.0016028+0.00039112i,0.0016368-7.7073e-06i,0.00062742+8.6615e-05i,-6.3944e-05+0.00010552i,-0.00016184-0.00036886i,-0.00035911-0.00014074i,-0.0009082-0.00016036i,-0.00044203-4.2317e-06i,-0.00018005-0.00043972i,0.00013918-0.00074136i,0.00085834+0.00020498i,0.0005486+0.00033234i,0.00029752-0.00058916i,0.00042867-0.0006356i,0.00069575-0.00028895i,0.00098781-0.00027557i,0.00096357+8.6004e-05i,0.00045862-2.7354e-06i,-0.00026147-0.00013728i,-9.8776e-05-0.00028246i,0.00022975-0.00056458i
0.0022427-0.0024013i,0.0030945-0.0020203i,0.0016212-0.0017619i,-0.00023227-0.0003502i,-0.00033513+0.00068023i,0.00064866+0.00035326i,0.0014143+0.00030942i,0.00052641+0.0005098i,-0.00031893-0.00011331i,0.00010153+4.4098e-05i,0.00063113+0.00055085i,0.00087312-0.00052605i,0.0016173-0.0014547i,0.0012754-0.00077963i,0.0010862-0.00033399i,0.0003907-0.000861i,-2.3878e-05-0.00087728i,7.6623e-05-0.00037233i,0.00049716-0.00046475i,0.0013278-0.00023493i,0.00078518+0.00034874i,-0.00050983-1.336e-06i,-8.9507e-05+8.4102e-05i
-9.4327e-05-0.00038199i,0.00070807-0.00064493i,0.00013277-0.00069462i,0.00038544-0.00038149i,0.00045673-0.00021502i,-0.0006957-0.00068099i,-0.001767-0.0013836i,-0.00091797-0.00094226i,0.00029408-0.00059514i,0.00028402-0.00065096i,-0.00024785-0.0003268i,-0.00018075-0.00024352i,6.0364e-05-0.00042757i,-0.00057055-0.00011795i,-0.0013221+0.00041923i,-0.0010071+0.00048225i,0.000331+0.00018497i,0.00032599+0.00048299i,-3.5066e-05+0.00047314i,0.00019609-7.9151e-05i,-0.00015828+0.0003413i,-0.00040686+0.00016239i,-0.00030952-0.00039787i
-0.00092217+7.6514e-05i,-0.00085852-0.00071814i,0.00037009-0.00082746i,0.00086781-0.00023903i,0.0003961+0.00095781i,-5.1615e-05+0.0016759i,8.5696e-06+0.0017503i,7.3047e-05+0.0015415i,0.00033877+5.2738e-06i,0.00017026-0.00032372i,3.9602e-05+0.00038846i,0.00086045+0.00069599i,0.00033719+0.00064118i,-0.00018824-0.00036717i,0.00032569-0.00044898i,-0.00026629+0.00025187i,-0.0010005+0.00022456i,-0.00086086+0.00069532i,-0.00082077+0.00028429i,-9.4524e-05-0.00058714i,2.1101e-05-0.00023999i,-0.00081108-0.00011139i,-0.00078882-0.00046456i
-0.00060664-0.003431i,-7.2451e-05-0.0041897i,-0.00069276-0.0035418i,-0.001637-0.0018956i,-0.0012366+3.3423e-05i,0.00053905+0.00027249i,0.0010135-0.00037237i,7.3558e-05-0.00053194i,-0.00060392-0.00051714i,-0.0005662-0.00018562i,-0.00087101+0.00022431i,-0.00041029+0.00060462i,0.00053438+0.00036119i,0.00075574-0.00010869i,0.001168+0.00011713i,0.00076851-0.00017218i,-0.00052473-0.0010041i,-0.00053363-0.00022485i,0.00046921+0.00043457i,0.00086403-0.00092233i,0.00056612-0.00078367i,-0.00021632+0.00019807i,-0.00048756+6.6108e-05i
-0.00070744-0.001166i,-0.00041916-0.0005946i,-0.00081719+0.00014102i,-0.0011398+8.3586e-05i,-0.00091341-9.7225e-05i,-0.00089919-0.00076219i,-0.00076009-0.0010568i,-0.00087076-0.00072721i,-0.0014628-0.00035795i,-0.00078362-8.2573e-05i,-0.00016001-0.00040954i,0.00034634-0.00058655i,0.0005523-7.984e-05i,-0.00019323+2.3711e-05i,0.00043497-0.00039365i,0.00059665-0.0004824i,-0.00026791-0.00037565i,-0.00069006-0.00042168i,-0.00047854-0.00086039i,4.3249e-05-0.00065321i,1.5959e-06+0.0003181i,-0.00019754+0.00084002i,-0.00028595+0.0009505i
0.0052249+0.00050476i,0.0064153-0.00068556i,0.005665-0.0028883i,0.0027233-0.0030968i,-0.00065999-0.0017598i,-0.0023392-0.00073732i,-0.0026217+0.00017074i,-0.0014702+0.00078965i,0.00033146+0.00074339i,0.00091207-2.6926e-05i,-0.00016356-0.0012245i,-0.0011455-0.0013802i,-0.00072302+0.00016535i,-0.00062985+0.00065564i,-0.0010695+0.0001992i,-0.00064993+8.5144e-05i,0.00025607-0.00029586i,0.00017131-0.00026817i,-0.00018709-8.0842e-05i,0.00043565-0.00024471i,0.00052869-0.00089992i,1.2576e-05-0.0012889i,0.00030986-0.00061134i
-0.001122-0.00052559i,-0.0017738-0.00089408i,-0.0028101-0.0010311i,-0.0017191-0.00076714i,0.0010607-0.00096715i,0.0019937-0.00071534i,0.0014542-0.00063561i,0.00075389+9.9095e-05i,4.6771e-05+0.00036195i,0.00047852-1.0895e-05i,0.0010224-0.00013534i,0.00093526+0.00028136i,-0.00028577+0.00015812i,-0.00068659-0.00045429i,0.00010823+0.00061058i,0.00026545+0.0010498i,0.00037819-0.00028545i,0.00061758-0.00075497i,0.0010444-0.00011288i,0.00085743+0.00050236i,0.00010358+7.217e-05i,5.8956e-05-0.00057227i,0.00065429-0.00043145i
0.0011293+0.0029062i,0.0019956+0.0027245i,0.0032399+0.0029336i,0.0022529+0.0025286i,8.4981e-05+0.0011113i,-2.9201e-05+0.0001672i,-0.00027216-0.00024424i,-0.0012179+0.0001966i,-0.00077666+0.0012193i,-0.00011596+0.0015618i,-0.00013423+0.00091166i,0.00037319+0.00030269i,0.00075989+0.00056487i,-7.0346e-05+0.00057307i,-0.00076305+9.7836e-05i,-0.0007482+0.00038434i,-0.00037818+0.0004613i,-0.00019984+0.00018067i,-4.8253e-05+0.00030227i,-0.00016341+7.2122e-05i,0.00022+7.1832e-06i,0.00014149+4.4412e-05i,-0.00022032+0.00041932i
0.00052889-0.0013897i,8.1026e-05-0.002658i,0.00047956-0.0032441i,0.00072302-0.0024151i,0.00030265-0.00082573i,0.00015563-0.00013949i,0.00025194-0.00099297i,0.00020112-0.00072795i,0.00028876-8.3108e-05i,3.8133e-05+0.00016896i,0.00034751+0.00042047i,-1.9576e-05+0.00029536i,-0.00038075-0.00022289i,0.00056879+8.6656e-05i,0.00078485+0.00035033i,0.00044103+0.00058663i,0.0002583+0.00039449i,-0.00031876+1.3258e-05i,-0.00033677+1.7934e-06i,-1.7423e-06-0.00077179i,0.00014994-0.00077125i,0.00021772+0.00011612i,0.00037669+0.00034056i
-0.0026257-0.00013934i,-0.0013957+0.00091611i,-0.00064438+0.0014905i,-0.0001925+0.0010735i,-0.00026199+0.00017462i,-0.000272-0.00057161i,-0.0009583-0.0023037i,-0.0011787-0.0023377i,-0.00074125-0.001264i,-0.00039495-0.00075271i,0.0001149-0.00016973i,0.00033679-0.00038637i,-7.9853e-05-0.00051074i,-0.00064185-0.00071305i,-0.00072708-0.00046819i,-0.0005611+0.00020694i,0.00035-0.0002205i,0.0011343-0.00032716i,0.00083168-0.00010485i,0.0002182-0.0002475i,-1.2322e-05-0.00045888i,9.3229e-05-0.00075559i,-0.0003506-6.7236e-05i
0.0011387-0.00025869i,0.0026954+0.00026049i,0.0027601+0.00029576i,0.00089116+0.0003149i,-0.00043093-0.00025996i,-0.00060884-0.00015283i,-0.00085567+0.0009204i,-0.00066955+0.0010549i,-0.00036325+0.00077305i,-3.4027e-05+0.00044554i,8.9574e-05+0.00070021i,-0.00072719+0.001266i,-0.00084656+0.0014787i,-7.0297e-05-4.2382e-05i,0.0003564-0.00063489i,9.7175e-05+3.1971e-05i,-6.544e-05+0.00050665i,-0.0001548+0.00083493i,-0.00023673+0.00037068i,0.00014127-0.00044964i,2.51e-05+0.00011896i,-0.00014144+6.8216e-05i,8.6913e-05-0.00041131i
0.0023129-0.0016416i,0.0012277-0.0019307i,0.00041853-0.0024537i,0.00029372-0.0021337i,0.00046064-0.001373i,-5.8098e-06-0.00093687i,-0.0009702-0.00011816i,-0.00043563+0.0002667i,0.00049625-0.00061493i,0.00052997-0.00096508i,0.00072623-0.00053784i,0.00059794-8.393e-05i,-0.00012345+0.0003847i,-8.4146e-05+0.0010683i,-0.00037738+0.00067806i,-0.00045248+0.00062015i,-0.00014885+8.893e-05i,-0.00035583-0.0010849i,-0.00014426-0.00095023i,-4.3487e-05-7.3999e-05i,-0.00068274-0.00026685i,-0.0007966-0.0008197i,-0.00073506-0.00074013i
