-0.0005278+0.0011326i,6.9301e-05-6.9411e-06i,-0.0022562-0.00076194i,-0.0033681-0.00037935i,-0.0017031-0.00033026i,-0.00023576-0.00012989i,0.00079168+0.00074969i,0.001209+0.0010573i,0.00076205+0.00050948i,0.00059543+0.000622i,0.00077768+0.00067692i,0.001219-0.00017479i,0.00092317-0.00023865i,0.00012603-0.00023133i,0.00062612-0.00023243i,0.00091372+0.00032829i,0.00018936+0.00082097i,-6.5277e-05+0.00031293i,0.00051343-0.00012079i,0.00040894+0.000359i,0.00015214+0.00017301i,0.00049227+4.0145e-05i,0.00063132-4.2683e-06i
0.0012259-0.0026261i,0.00040135-0.0019315i,-3.0923e-05-0.0012462i,-0.00035903-0.00086673i,-0.00065237+0.00052033i,-0.00044978+0.0014804i,-5.1385e-05+0.000883i,-0.00073588-8.7235e-05i,-0.0020909-0.001871i,-0.0030018-0.0018398i,-0.0027343+0.0005867i,-0.0016059+0.0013291i,-0.00070024+0.00073653i,3.3713e-05+0.00025766i,0.00044985-0.00050799i,0.0010055-0.00099291i,0.0012817-0.00079577i,0.00070968-0.00057876i,0.00053635+2.7933e-05i,0.00027755+0.00086405i,-0.00031123+0.0001808i,-0.00054467-0.00073373i,0.0002527-0.000931i
-0.0020743-0.0011793i,-0.0022164-0.00084349i,-0.0017229-0.00030361i,0.00080072+0.00030763i,0.001805+0.00076831i,0.0015319+0.0012681i,0.0016504+0.00046675i,0.0019237-0.0014684i,0.0010422-0.0015972i,0.0001116+1.6366e-05i,0.00026488+0.001392i,-0.00043166+0.0021065i,-0.00096362+0.0027402i,-0.00020742+0.0017593i,0.00083727+0.0011841i,0.00095351+0.0016005i,0.00010876+0.001138i,0.00024673+0.00061375i,0.00020576+0.00025494i,-0.00074632-6.4478e-05i,-0.00051327+0.00052925i,4.0222e-05+0.00070106i,0.00073185+0.00029589i
-0.0027338+0.00060333i,-0.0036135+0.00092229i,-0.0042219+0.0014907i,-0.0028565+0.0015433i,-0.00061416+0.0016878i,0.0015667+0.0015001i,0.0025474+0.0004426i,0.0017092-0.00055256i,0.00018694+0.00016789i,-0.00026431+0.0012868i,0.00048416+0.0010042i,0.0012989+0.00065542i,0.0014646+0.0016833i,0.0013449+0.0026217i,0.00087255+0.0022725i,-0.00028778+0.0017151i,-0.00064888+0.00073179i,-0.00077282-0.00021203i,-0.00057753-0.00032773i,-0.00053569-0.000286i,-4.031e-05-0.00087789i,0.00084554-0.00076552i,0.00039858+7.7992e-06i
4.8922e-05+0.0020642i,-0.00043083+0.0019511i,-0.00095382+0.0018617i,-0.00091888+0.0012742i,-0.00017214+0.0010427i,0.0010451+0.00065662i,0.001146-0.0005385i,-0.00014986-0.00084674i,-0.00082528-0.00029551i,-0.00062697-0.00032861i,1.6986e-05-0.00032228i,0.00052871-0.00017613i,-0.00026216+0.00093937i,-0.0014226+0.0014818i,-0.0020159+0.00088614i,-0.0024755-0.00017027i,-0.0019136-0.0014899i,-0.00067506-0.0010668i,0.0001652-0.00033951i,-0.00010328+0.00026487i,-0.00062756+0.0011862i,-0.0006075+0.0012511i,-0.00010768+0.00056626i
-0.00022099+0.00065885i,0.00021009+0.00036998i,1.4289e-05+0.00034809i,0.0003028-0.00011713i,0.0012363-0.00023917i,0.0028132+0.00022614i,0.0025599+0.00033952i,0.00070493-0.00083713i,-0.001177-0.0018752i,-0.0028765-0.0019637i,-0.0029761-0.0020518i,-0.0030079-0.00079381i,-0.0027435+0.0017377i,-0.0019284+0.0012007i,-0.0011826-0.0010021i,-0.0004-0.0015117i,6.1501e-05-0.0013068i,-0.0004498-0.00085634i,-0.00097373-0.00032428i,-0.0010655+0.00010748i,-0.0011992+0.0010761i,-0.00024427+0.0018872i,0.00051892+0.00099604i
-0.0016624-0.0014669i,-0.0013693-0.0014221i,-0.0025054-0.0015854i,-0.0023597-0.00032072i,-0.0008615+0.00099142i,0.00063929+0.0015249i,0.0018209+0.00023402i,0.0015373-0.0019336i,-0.0002615-0.0025789i,-0.0022946-0.0013773i,-0.0033312+0.00051511i,-0.0026157+0.0020058i,-0.0009387+0.0022248i,0.00018363+0.0013443i,0.0009697+1.5652e-05i,0.0020532-0.00028392i,0.0026777+0.00011992i,0.0021008-9.3963e-05i,0.0012285-0.00067645i,0.0007504-0.00061245i,0.00074799+4.8072e-05i,0.00097023+0.00035799i,0.00059207-0.0001846i
-0.0029809-0.00029868i,-0.0029485-0.00034524i,-0.0018569-0.00016222i,6.9131e-05+0.0010322i,0.00055356+0.0020135i,0.001131+0.00069162i,0.0016325-0.00041485i,0.0006773-0.00057051i,-0.00052041+0.00051933i,-0.00049618+0.0023539i,-0.00090901+0.003872i,-0.0012853+0.0039598i,-4.2687e-05+0.0028987i,0.0016632+0.0027107i,0.0024101+0.002737i,0.0025274+0.0022766i,0.0023271+0.0017033i,0.001403+0.00066176i,0.0012665-0.00074888i,0.001168-0.0015192i,0.00070623-0.0015204i,0.00026734-0.0012934i,-3.6771e-05-0.00081766i
0.00014292+0.0025004i,0.0012932+0.0039256i,0.0011619+0.0046876i,-0.00017235+0.0026979i,-0.00049882+0.0010221i,0.00062266+0.00016887i,0.0011557-8.0114e-05i,0.00039442-0.00055881i,-0.00028587-0.00035071i,-2.6312e-05+0.0014349i,0.0011916+0.0020854i,0.0016155+0.0019933i,0.00087249+0.0030926i,0.00039311+0.0035937i,4.5802e-05+0.0030506i,-0.00048192+0.0020289i,-0.00069082+0.0013733i,-0.00051659+0.0011076i,-0.00066102+0.0010361i,-0.00094978+0.0010098i,-0.00026271+0.00035582i,-2.1639e-05+0.00056449i,-0.00047904+0.000828i
0.00016948+0.0025919i,-0.00036294+0.0029757i,-0.00041695+0.003769i,0.0015524+0.0033337i,0.0025538+0.0023482i,0.002314+0.0013615i,0.0017874+0.00071057i,0.00097891-0.00065519i,0.00082363-0.0015503i,0.0014389-0.00052355i,0.002096-7.6819e-05i,0.00091921-0.00035407i,-0.00030758+0.0011201i,-0.00077964+0.0017245i,-0.0020236-0.00035612i,-0.002784-0.0015898i,-0.0021722-0.00079007i,-0.00072548+0.00030145i,-0.00010062+0.00046701i,-6.825e-05+0.00091676i,0.00027483+0.00099216i,0.00062594+0.00029683i,0.00099636+8.1564e-05i
-0.00084978-0.0009322i,0.00016166-0.00032169i,0.00071183-0.001407i,0.00060424-0.0010896i,0.0010378-0.0004342i,0.0017738-0.00042374i,0.0017296-0.00063857i,0.0010473-0.0018962i,0.00065521-0.0026285i,-0.00025145-0.0017653i,-0.00094183-0.00076585i,-0.00088879-4.8099e-05i,-0.0012545+0.00068987i,-0.0014623-7.7007e-05i,-0.0021721-0.0018141i,-0.0025031-0.0028404i,-0.0014416-0.0021594i,-0.00080325-0.0011241i,-0.00074559-0.00060674i,-0.00081892-0.00042496i,-0.00081713-0.0006795i,-0.00037952-0.00063796i,0.00062866-0.00076077i
-0.0011783+0.00073428i,-0.00069541+0.0017109i,-0.0015236+0.0019024i,-0.0018064+0.002043i,-0.00069154+0.0030113i,0.00098073+0.0027508i,0.0015499+0.00073638i,0.0011685+0.00023202i,-0.00059027+0.00022084i,-0.0027931-0.00013344i,-0.0030568+0.00029085i,-0.002227+0.0017932i,-0.0014225+0.0032997i,0.00088595+0.0022104i,0.0027376+0.00060149i,0.0029365+9.6978e-05i,0.0027292-7.5768e-05i,0.0016179-0.00054493i,0.0010206-0.00070911i,0.00083817-0.00071064i,0.00037771-0.00038033i,1.1265e-05-4.4577e-05i,0.00013622-0.0010313i
-0.0016321+0.00016814i,-0.0017649+0.00072704i,-0.0015901+0.00065876i,-7.742e-05+0.0012936i,0.00065189+0.0022455i,0.0012058+0.001561i,0.0014871+0.00064816i,0.00016757-0.00076552i,-0.0023094-0.001196i,-0.0037376+0.00040957i,-0.0031055+0.0017576i,-0.0020604+0.0022421i,-0.00053991+0.0033851i,0.0015252+0.0041828i,0.0029402+0.0038883i,0.0035558+0.0037158i,0.0035446+0.0028159i,0.0029258+0.0015041i,0.0014318+0.0006457i,-0.00017678+0.00065307i,-0.00048662+0.00075706i,0.00020363+0.00026354i,0.00024023-0.00016656i
-0.0013234+0.00095574i,-0.0012306+0.00079083i,-0.0010923+0.0019978i,-0.0013439+0.0020037i,-0.00082245+0.00099239i,-7.3175e-05-0.00019787i,0.00042254-0.001337i,0.00012228-0.0022696i,-0.001072-0.0023966i,-0.00122-0.00074164i,0.00025721+0.0015249i,0.00070715+0.0018503i,0.00073278+0.0015511i,0.00099268+0.0026063i,0.00039888+0.002944i,-7.8722e-06+0.0028682i,-0.00059464+0.003145i,-0.00071167+0.0022318i,-0.00045542+0.0010056i,-0.000158+0.00072967i,0.00042254+0.00031289i,0.00070549+5.4584e-05i,1.6283e-05-0.00017377i
0.0030647+0.00058324i,0.00458+0.00039439i,0.0037094+0.0004776i,0.0023678-5.7691e-05i,0.0018943+0.00017953i,0.0017331+0.00032642i,0.0024902-7.9078e-05i,0.0028538-0.001098i,0.0021332-0.0013141i,0.0020135-0.00074528i,0.0020882-0.00016501i,0.0016777+0.00047577i,0.00081501+0.00078764i,-0.00034531-8.1465e-05i,-0.002168-0.00096036i,-0.0038684-0.0013966i,-0.0041831-0.0010601i,-0.0031884-0.00088574i,-0.0023371-0.00098201i,-0.0021336-0.00057111i,-0.0012781-0.00053769i,-0.00036246-0.0010508i,-0.00026828-0.00078125i
-0.0012721+0.00098112i,-0.0016102+0.00075011i,-0.0017425+0.0010245i,-0.0011194+0.0005325i,6.2896e-05+0.00090712i,0.00063645+0.0012007i,0.0014032+0.0001712i,0.0023835-0.00035799i,0.0013663-0.00093843i,0.000382-0.0011215i,0.00026611-0.00070593i,-7.4178e-05-1.1762e-06i,6.0568e-05+0.00086129i,-0.00012756+9.9936e-05i,-0.001141-0.0021084i,-0.0019899-0.0033872i,-0.0021117-0.002725i,-0.001482-0.0013447i,-0.0011116-0.0012742i,-0.001023-0.0013548i,-0.00071253-0.00025308i,-9.7582e-05+5.476e-05i,0.00010047-0.00030869i
-0.00134-0.00042195i,-0.0022794+9.7072e-05i,-0.0025062+0.00094771i,-0.0013731+0.0019303i,0.00021848+0.0026003i,0.0016343+0.0025519i,0.0010459+0.0015484i,-0.00034583-0.00014635i,-0.0020459-0.00077831i,-0.0028602-0.00058459i,-0.0021296+0.00033023i,-0.0013014+0.0014706i,-0.00075706+0.0019249i,0.00065371+0.0012982i,0.002145+0.00050278i,0.0031027-0.00010067i,0.0035589-0.00057089i,0.002231-0.00091639i,0.00071564-0.00090745i,0.00019509-0.00051974i,-0.00015477-7.5953e-05i,0.00046588+0.00050637i,0.00071018+0.00066489i
0.0014109+0.00068582i,0.0015813+0.00074358i,0.0017154-0.0005913i,0.0018198-0.0011174i,0.0017306-0.0011985i,0.0010263-0.0014704i,0.00052783-0.0020084i,3.8042e-05-0.0032991i,-0.0018951-0.0034483i,-0.0035798-0.0020447i,-0.0039028-0.00056575i,-0.0030483+0.00030524i,-0.00083626+0.0013909i,0.00087286+0.0034623i,0.0024626+0.0046873i,0.0043215+0.0041156i,0.0043152+0.002537i,0.0031776+0.001286i,0.0021787+0.00081754i,0.0015647+0.00066343i,0.00079236+0.00096618i,-0.00012707+0.0010576i,1.7223e-05+0.00035428i
0.000734+0.0022851i,0.00084065+0.0022424i,-0.00012872+0.0026521i,-5.5415e-05+0.0029094i,0.00092253+0.0016932i,0.001954+0.00056032i,0.0025034-0.00043926i,0.0018204-0.0012523i,0.00081675-0.0016633i,-0.00077071+4.9813e-06i,-0.0014731+0.0019587i,-0.00092979+0.0016959i,-0.0007672+0.0016163i,-0.00086344+0.002553i,-0.00015294+0.002976i,0.00068047+0.0028538i,0.001674+0.0026807i,0.0015181+0.0018175i,0.00069893+0.00085225i,0.00068389+0.00062808i,0.00029382+0.00035973i,-0.00041147+6.7113e-05i,-0.00088217-0.0006292i
0.00069356+3.5483e-05i,-0.00022243+0.00047237i,-0.00035983+1.1531e-05i,0.00031392-9.7096e-05i,0.00048189+0.0013284i,0.0014892+0.0028721i,0.0025636+0.0021372i,0.0018824+0.00031249i,0.00047758+0.00019035i,0.00014228+0.0010793i,0.00015492+0.0014626i,0.00016794+0.0013679i,-6.1154e-05+0.0014339i,-0.0010282+0.0013307i,-0.002132+0.00063401i,-0.0035258+0.00036389i,-0.004456+0.0011752i,-0.0027133+0.0012573i,-0.001128+0.0002531i,-0.00049166-0.00083519i,0.00048365-0.0010909i,-0.00017169-0.001328i,-0.00041047-0.0012987i
-0.0021698+0.0039926i,-0.0034741+0.0041468i,-0.0034411+0.0052759i,-0.0014172+0.0052492i,0.00066707+0.0045818i,0.0014225+0.0023195i,0.001512+0.00055546i,0.00089209-0.00019758i,-0.0004581+0.00067372i,-0.0005622+0.001893i,-0.00028052+0.0023683i,-0.00035836+0.0023393i,-0.00043338+0.0022553i,-0.00015196+0.00049425i,-0.00064033-0.0024985i,-0.001881-0.0035501i,-0.0022961-0.0030591i,-0.0021423-0.0021215i,-0.0018779-0.0013408i,-0.0010828-0.00066251i,0.00013823-0.00032606i,0.00073666-0.00039863i,0.00033105-0.00027807i
-0.00061582+0.00084604i,0.00087333+0.0014201i,0.0010639+0.0024958i,0.00087597+0.0010196i,0.00089535-0.00019622i,0.0015901+0.00056876i,0.0013818+0.00045962i,7.0906e-05-0.0011027i,-0.0010614-0.0015733i,-0.0010529-0.0010365i,-0.00034818-0.00010295i,-0.0004401+0.00064131i,-5.5909e-05+0.0010013i,0.0012718+0.0005121i,0.0023205-0.00050966i,0.0020968-0.0017046i,0.0019558-0.002892i,0.0013074-0.0029i,0.000492-0.0011194i,0.00023189+0.00087719i,-0.00013146+0.0018062i,1.3474e-05+0.0022192i,0.00084734+0.0017304i
0.0020039+0.0019641i,0.0017244+0.0024326i,0.0019459+0.0024989i,0.0011694+0.0014248i,0.0007458+0.00021366i,0.0013069-0.00053016i,0.0017588-0.0020202i,0.0015452-0.0036422i,7.3326e-05-0.0034594i,-0.0013656-0.0013833i,-0.001813+0.00040431i,-0.0018822+0.0012431i,-0.0013172+0.0019239i,0.00068692+0.0027607i,0.0032152+0.0029939i,0.0051532+0.0025424i,0.0056762+0.0019982i,0.0038423+0.00030105i,0.0012531-0.0015335i,-0.0005395-0.001116i,-0.00081307+0.0005733i,-0.00025767+0.00053321i,0.00021693+7.9961e-05i
-0.00079443+0.00051898i,-0.0011247-0.00017038i,-0.0012576+0.00043706i,-0.0015275+0.0022128i,-0.00072814+0.0024969i,0.00070228+0.0021574i,0.0024473+0.0016292i,0.0024974+0.00013567i,0.0006835-0.00085708i,-0.00024995-0.00011858i,-0.0005605+0.0011924i,-0.0011881+0.001846i,-0.001224+0.0016828i,-0.0002367+0.0025197i,0.0008917+0.0040691i,0.0016234+0.0046811i,0.001956+0.0047233i,0.0017727+0.0033588i,0.0010956+0.0011032i,0.00057464-0.00045881i,-0.00022171-0.0009117i,-0.0010319-0.00089612i,-0.00011584-0.00046285i
0.0031778+0.0018505i,0.0048575+0.0017547i,0.0056697-0.00020657i,0.0048183-0.0015507i,0.0036481-0.00035287i,0.0029601+0.00089105i,0.0018219+0.00067531i,-0.00022629-0.00042503i,-0.0017104-0.00021353i,-0.0014559+0.00090417i,0.00018307+0.0014656i,0.0001562+0.0011481i,-0.0012651+0.00038217i,-0.0012059-0.00072662i,-0.0020378-0.00088941i,-0.0038339+0.00030446i,-0.0037942+0.0017665i,-0.0019457+0.0025519i,-0.00013103+0.0019645i,-0.00033861+0.0017374i,-0.00069861+0.00078799i,-8.7971e-05-0.00082431i,0.00036387-0.0012041i
-0.0029311+0.0052281i,-0.0037835+0.0058141i,-0.0030443+0.0071157i,-0.00027123+0.0050735i,0.0013424+0.0024302i,0.00096112+0.00096295i,-0.00025772-0.00015435i,-0.00084513-0.0007761i,-0.0010942-0.00054598i,-0.00094909-0.00026062i,0.00054832+0.00060433i,0.001673+0.0018632i,0.0018568+0.0026304i,0.0017107+0.0015346i,7.4119e-06-0.0014915i,-0.0023678-0.0035935i,-0.0031427-0.0033318i,-0.0026063-0.0017133i,-0.0014204-0.00021456i,-0.00045124+0.00038356i,0.00075449+0.0009386i,0.001666+0.00080322i,0.0014793+0.00084937i
-0.0032863+0.00023543i,-0.0039105-0.00050495i,-0.0043444-0.00018462i,-0.0029074+0.00016403i,-0.0011732-1.4539e-05i,0.00041969-0.00088844i,0.0016736-0.0018896i,0.0020968-0.0023256i,0.00044562-0.0015146i,-0.00090887-0.00040501i,-0.00037646+4.1831e-05i,5.7838e-05+0.0010477i,0.0013453+0.0018722i,0.0021707+0.0012191i,0.001863-0.00063295i,0.0013049-0.0023398i,0.00079179-0.0036901i,-0.00027472-0.0034935i,-0.0011873-0.0016146i,-0.0013713-0.00012709i,-0.001343+0.0007487i,-0.00063055+0.0010285i,0.00042841+0.00078257i
0.0033033-0.00053621i,0.0038101-0.0016784i,0.0029997-0.0016286i,0.0013305+0.00045124i,0.00072435+0.0024022i,0.0015432+0.0016445i,0.0020835+0.00061306i,0.001783+0.00019684i,0.00080516-0.00045244i,-0.00055456-0.00025703i,-0.0006002+0.00071746i,-0.00094426+0.0016599i,-0.001132+0.0020302i,0.00011384+0.0028261i,0.0019801+0.0028831i,0.0040615+0.0015357i,0.0045599+0.00031888i,0.0033664-0.0012715i,0.00098629-0.0017272i,-0.00058247-0.0005853i,-0.00047194-7.9198e-05i,-0.00032763+0.00018532i,-0.00084292+0.00050597i
-0.00087052-0.00033652i,-0.001458+0.00059786i,-0.0017772+0.0014079i,-0.0012688+0.0019507i,0.0003572+0.0021759i,0.0016343+0.0020738i,0.0012283+0.00063433i,1.3787e-05-0.001326i,-0.00099238-0.0018904i,-0.0019157-0.0010632i,-0.00223+0.00044443i,-0.0021617+0.001232i,-0.0018687+0.0014719i,-0.0018408+0.00232i,-0.00099902+0.0029797i,0.0015179+0.0042887i,0.0033254+0.0043559i,0.0027703+0.0030088i,0.00076388+0.0015077i,0.00015849+0.00016929i,0.00021242-0.00023526i,-0.00033285-0.0003302i,-0.00071826-0.00031219i
-4.4221e-05+0.00091928i,0.00020044+0.00038239i,7.3489e-05+0.00041788i,0.0010794-0.00022843i,0.00059142-7.3518e-05i,-0.001219+0.00038282i,-0.00022618-0.0001575i,0.00061694-0.00096549i,-0.00051799-0.0010249i,-0.001843-0.00046782i,-0.0013559+0.00041768i,0.0001182+0.001079i,0.00035467+0.00031399i,-0.00039598+9.4333e-05i,-0.0020218+0.00094731i,-0.0035029+0.0018251i,-0.003223+0.0033345i,-0.0016527+0.0033292i,2.4551e-05+0.0020259i,0.00050513+0.0014854i,4.9495e-06+0.0015056i,0.00035716+0.0015592i,0.00086227+0.00064852i
-0.0023651-0.0010771i,-0.0019806-0.0015982i,-0.0032678-0.0015563i,-0.0037026+0.0011499i,-0.0032029+0.0018276i,-0.0010957-0.0010136i,0.0006778-0.0029698i,0.00089914-0.0029179i,0.0002243-0.0016543i,0.00019968-0.00048072i,0.0010661-0.00028555i,0.001541+0.00056483i,0.0012247+0.0021069i,0.0010564+0.0010939i,7.2331e-05-0.0015946i,-0.0026332-0.0025834i,-0.0046759-0.0018464i,-0.0034226-0.00060887i,-0.0017515-0.00011357i,-0.0009413+0.00031409i,-0.00078545+0.00095129i,-0.00029333+0.00060381i,0.0010294+0.00041499i
0.0012808-0.0016241i,0.00089009-0.00031774i,0.00064276+0.00010524i,0.00043368+7.9543e-05i,5.4265e-05+0.00079307i,0.0018633+0.0017686i,0.0034195+0.0012596i,0.0023512+0.0002009i,-0.00030931-0.00082365i,-0.00171-0.00099778i,-0.0013465-0.00020206i,-0.00088642+0.00026476i,-0.00083559+0.0010629i,-0.00042425+0.0014543i,-0.00037558-0.00047451i,-0.00080102-0.0030111i,-0.0017977-0.0042978i,-0.0024392-0.0035403i,-0.0019622-0.0018918i,-0.0017295-0.0013558i,-0.0014454-0.0012159i,-3.0024e-05-0.0010528i,0.00073642-0.00078411i
-0.0026169-0.0035518i,-0.0024816-0.003251i,-0.0023702-0.0027571i,-0.0017281-0.00088903i,-0.00039773+0.00107i,0.00079706+0.0027008i,0.001851+0.0029366i,0.0011346+0.00099591i,-0.001037-0.00028893i,-0.0024767+0.00074245i,-0.0029142+0.0015362i,-0.0022794+0.0018894i,-0.0013171+0.0026422i,0.0001931+0.0030331i,0.0014135+0.0029938i,0.003048+0.00174i,0.0038622-0.0010678i,0.0032046-0.0027887i,0.0020787-0.0022854i,0.00068166-0.00161i,0.00023006-0.0019801i,0.0007387-0.0017604i,0.00086218-0.0010228i
0.0029269-0.0030208i,0.0022023-0.0037036i,0.0018977-0.003003i,0.00017873-0.0013206i,-0.00093151-0.00033777i,-0.0011044+0.00056082i,-0.0012857+0.0012036i,-7.2214e-05+0.00036544i,0.00054158-0.00087062i,-0.00038294-0.00053796i,-0.0020575+0.00099656i,-0.0028356+0.0017381i,-0.0012286+0.0010104i,-2.5257e-05+0.00099638i,-0.00024849+0.0031911i,0.00093631+0.0048701i,0.0028443+0.003548i,0.0035171+0.0013098i,0.0022621+0.0002466i,0.001218-1.5432e-05i,0.0010143+0.00030675i,0.00036184+3.8415e-05i,-5.5866e-05-0.00076624i
2.1989e-05-0.00069667i,0.00088692-0.00090893i,0.00078185-0.00080317i,-0.00097589+0.00016161i,-0.0031901+0.0013293i,-0.0030214+0.0012003i,-0.00094395-0.0013313i,0.00092561-0.0028278i,0.00014174-0.0014927i,-0.0008574+0.00068001i,-0.00074054+0.0020692i,-0.0012153+0.0026886i,-0.0011841+0.0027892i,-0.00037198+0.0019338i,-8.4812e-05+0.0018353i,-1.8334e-05+0.0034775i,0.00048946+0.0047045i,0.0007125+0.0041548i,0.00056114+0.0027663i,0.00011801+0.0022791i,3.5688e-05+0.0017112i,0.00031614+0.00081011i,0.00033968+0.00047816i
-0.004408+0.0003111i,-0.0049799+0.0018003i,-0.0047602+0.0019927i,-0.004048+0.0018047i,-0.0021354+0.0010275i,0.0017344-0.00056633i,0.0039704-0.0018336i,0.0032473-0.0031228i,0.00027546-0.0031931i,-0.001289-0.0023192i,0.00029671-0.0014293i,0.0018273+0.000628i,0.0013431+0.0019252i,-5.5547e-05+0.0015815i,-0.0016095-0.00030633i,-0.0037146-0.0011201i,-0.005165+0.00082625i,-0.0041537+0.001984i,-0.002638+0.0016753i,-0.0023237+0.0011252i,-0.00177+0.0010531i,-0.0012689+0.0011112i,0.0002746+0.0012461i
-0.00095632-0.0018233i,-0.0019532-0.0027798i,-0.0017821-0.00096766i,0.00049311+0.0015777i,0.0033098+0.0015814i,0.0043838+0.0018809i,0.0041494+0.0030737i,0.002956+0.0021428i,0.00042426-0.00017931i,-0.0012697-0.0017503i,-0.00085953-0.002455i,-0.00018859-0.0015388i,0.00024184+0.00020314i,0.00094677-0.00013508i,0.0011724-0.002005i,0.0002599-0.0037982i,-0.0011642-0.0040018i,-0.0019949-0.0030187i,-0.0022837-0.0021275i,-0.0016377-0.001978i,-0.0012941-0.0014371i,-0.0018517-0.001024i,-0.0011872-0.00077021i
0.0023398-0.00042035i,0.0033725-0.0015664i,0.0038997-0.0041085i,0.0026578-0.0041625i,0.00072248-0.0012088i,-0.00037015+0.0022696i,-0.0012491+0.0033434i,-0.0023522+0.0013558i,-0.0029582+0.00033216i,-0.0029015+0.0003301i,-0.0019944+0.00050163i,-0.0022409+0.0011512i,-0.0016076+0.00125i,0.00012971+0.00092826i,0.00044205+0.00019984i,0.0014764-0.0014196i,0.0027093-0.003308i,0.0025091-0.0042167i,0.0021048-0.0035022i,0.0018062-0.0024088i,0.0012091-0.0014039i,-8.9414e-06-0.0012607i,-0.00093172-0.0020665i
9.6126e-06+0.0011678i,0.00012021+0.0016731i,0.00071147+0.00083128i,-4.2855e-05+0.00068633i,-0.0011698+0.0021902i,-0.0018315+0.0020077i,-0.0022784-6.119e-05i,-0.0018467-0.0012768i,-0.0016411+9.2679e-06i,-0.0017853+0.00091339i,-0.0028964+0.001007i,-0.0036615+0.0012636i,-0.0019027+0.0015854i,-0.00017075+0.002408i,-1.6244e-05+0.002866i,0.0010076+0.0029937i,0.0029145+0.0017071i,0.0041726+0.00010072i,0.003921+0.00040288i,0.0029037+0.00081444i,0.0019122+0.00072006i,0.0013102+0.00063328i,0.0006986+0.0002799i
-0.002546+0.0012777i,-0.0033053+0.00057214i,-0.0029833+0.0015775i,-0.0013672+0.0022704i,0.00064979+0.0016501i,0.0016525+1.962e-06i,0.002275-0.0027512i,0.0030107-0.0038626i,0.0010903-0.0028697i,-0.0015981-0.00032736i,-0.0023831+0.0022606i,-0.0018073+0.0034926i,-0.0012304+0.0041762i,-0.00081109+0.0039441i,-0.00026931+0.0033951i,0.00034489+0.0037267i,0.00041999+0.0046869i,0.00040271+0.0045712i,0.0003033+0.0033002i,-0.00011132+0.0039072i,0.00026096+0.0037485i,0.00176+0.0019372i,0.0017686+0.00034296i
-6.6801e-05-0.0015638i,0.00021525-0.0025182i,0.00028011-0.0015088i,0.00042666-0.00099319i,0.0014235-0.00055085i,0.0040367-0.00059469i,0.0069614-0.00042526i,0.0074089+2.3412e-05i,0.0051464-0.00021726i,0.0031934-0.00045002i,0.0024372+0.00070914i,0.0016837+0.0024008i,0.0010348+0.0027405i,0.00083043+0.0021946i,3.4324e-05+0.0013117i,-0.0014697+0.00086245i,-0.0030281+0.0015153i,-0.0029706+0.0025987i,-0.0026109+0.0020698i,-0.0029853+0.00035091i,-0.0022387-0.00010555i,-0.00081367+0.00094224i,0.00072069+0.0017162i
0.0019576-0.0032489i,0.0020485-0.0019174i,0.003811-0.0017244i,0.0028765-0.0012649i,0.0010645+0.00046108i,0.0017203+0.0025854i,0.0018035+0.0041831i,0.00037633+0.0034234i,-0.00051687+0.0006379i,-0.00042814-0.00066673i,0.00016945-0.00025563i,0.00076402-0.00030678i,0.001299-0.00031766i,0.0011807-0.00072287i,0.00074512-0.0020733i,-0.00025824-0.002521i,-0.0019022-0.0019755i,-0.0027547-0.0010624i,-0.0024019-0.0013604i,-0.0011064-0.0022891i,-0.00086438-0.0016146i,-0.0018768-9.6558e-05i,-0.0018072+0.00021877i
2.4959e-05+0.00073925i,-0.0012143+0.00033978i,-0.00025906-0.00032833i,0.00054579+0.00022852i,-4.5909e-05+0.0026321i,-0.0015932+0.0043989i,-0.0032142+0.0030327i,-0.004308+2.8173e-05i,-0.0042256-0.0010496i,-0.0024975-0.00046923i,-0.00086005-0.00047951i,1.7533e-05-0.00062234i,0.00080724-0.0001964i,0.001276+0.00041447i,0.00093053-0.00042104i,9.5061e-05-0.0020068i,-0.00072555-0.0033048i,-0.00067595-0.0041775i,0.00019174-0.0033928i,0.0016397-0.0026108i,0.0012491-0.0021685i,-0.00082754-0.0011815i,-0.0011523-0.00096842i
-0.0007271-0.00017156i,-0.00070904-0.0015215i,-0.0022203-0.00020463i,-0.00209+0.0017404i,-0.00066874+0.0015681i,-0.0003141-0.0013955i,-0.00094351-0.0044678i,-0.002401-0.0054249i,-0.0042708-0.0046326i,-0.0050168-0.0021511i,-0.0036783-0.00066957i,-0.0024713-0.00059374i,-0.0022322+0.0010966i,-0.0018487+0.0027607i,-0.001006+0.0029166i,0.00060364+0.0023194i,0.0026496+0.00043293i,0.003388-0.0011171i,0.0028752-0.00047983i,0.0012525+0.001065i,7.0087e-06+0.00064598i,0.00033036-0.00051117i,0.00039452-0.0012246i
