-0.0017667-0.0016252i,-0.0023791-0.0023627i,-0.0030184-0.0011926i,-0.0026558-0.00022766i,-0.00098712+0.00069526i,-0.00014998+0.0016017i,-0.00059269+0.0015648i,-3.4786e-05+0.0014938i,0.0014104+0.00063091i,0.00097313-0.00048752i,0.00055748-0.00083354i,0.00052679-0.0010024i,0.00042495-0.00038577i,0.00058979+0.0010307i,0.00014631+0.00095154i,-0.00014764-0.00016724i,-0.00040753-0.00039315i,6.5277e-05-4.5131e-05i,0.00097268-4.6687e-05i,0.001067-0.00022193i,0.00082358+0.00033467i,4.468e-06+0.00075926i,-0.00046054+0.00012258i
0.0022002-0.0012192i,0.0029863-0.00021425i,0.0027964+6.2388e-06i,0.0019016-0.00014502i,0.0015535-0.00023993i,0.00094718-0.00083087i,0.00021369-0.00065944i,0.0010253+0.00040527i,0.00095875+0.00086235i,-0.00054662-3.4437e-05i,-0.0013744-0.00049881i,-0.00045008-0.00049259i,0.00054988-0.0006529i,0.00059775-0.00099766i,-4.191e-05-0.00065048i,-0.00047193+0.00061984i,-0.0003258+0.00057249i,0.00015054+0.00021988i,0.00033032+0.00017223i,0.00031272-0.00025447i,0.00040949-0.00047615i,0.0004791-0.0003279i,0.00097155+0.00027983i
0.0043349-0.0021937i,0.0029186-0.0031445i,0.0016584-0.0031957i,0.00087035-0.0011567i,-0.00060148+0.00058921i,-0.00089759+0.00094368i,-0.00030057+0.0008447i,0.00012266+0.0011528i,0.00085033+0.00077004i,0.00075678+0.00039078i,0.00026752+0.00029327i,0.00010687+0.00066086i,8.718e-05+0.0014589i,-0.00032901+0.00123i,-0.00050535+0.00044826i,2.8278e-05+3.8505e-05i,0.00028734-0.00020092i,0.00035668-0.00087939i,0.00039833-0.001194i,9.3188e-05-0.00063396i,0.00023969-0.00015927i,0.00036444-0.00012103i,-0.00029756-0.00015865i
0.0023812-0.0003262i,0.0024236-0.00011941i,0.0014245-0.00075792i,-0.0003662-0.00091461i,-0.00088254-0.00064348i,-0.00014114+7.3543e-05i,0.00044836+0.00065445i,0.00061588-4.9203e-05i,0.00056895-0.00048756i,0.00018622-0.0004588i,0.0001897-0.00053778i,3.8496e-06-0.0007035i,-6.7466e-05-0.00011707i,0.00017935+0.0009632i,9.6037e-05+0.00060963i,8.8783e-05-6.2935e-05i,0.0001297-0.00039434i,0.00031245-0.0010648i,0.00013181-0.00092984i,-1.8779e-05-0.00028313i,0.00026377-1.1403e-05i,-0.00029251+0.0003685i,-0.0013645-0.00014715i
-0.0011879+0.0019191i,-0.0011778+0.0012163i,4.0544e-05+0.00035694i,0.0016142+4.969e-05i,0.0021148+0.00034358i,0.0010999-2.0389e-05i,0.00041773+0.0006649i,9.1068e-05+0.00086307i,-8.7573e-06-0.00025068i,0.00034299-0.00033804i,0.00024462-5.5785e-05i,-0.00040375-0.00027203i,-0.00057261-0.00058455i,6.4059e-05-0.00048189i,0.00040745+6.419e-05i,-1.8618e-05+0.00018696i,-0.00031804-0.00035527i,-0.00031661-0.00015227i,0.00015616+0.0003721i,0.00068245+0.00021623i,0.00012926+0.00012849i,-0.00029226+0.00047638i,0.00055342+0.000351i
0.0015991+0.00013858i,0.0016427-0.00063462i,0.0021949-0.00076727i,0.0012093+0.00027222i,-0.00028668+0.001498i,-0.00083555+0.0016847i,-0.00090239+0.00083574i,-0.00052219+0.00017292i,-0.00035184+0.00034486i,-0.00030028+0.00049265i,-6.589e-05+0.00089291i,-0.00033631+0.00081053i,-0.00031061+0.00040133i,-2.0538e-05-0.00072011i,-3.7767e-05-0.0007693i,-0.00042962-4.7847e-05i,-0.00081775+0.00046719i,-0.0006944-0.00031278i,8.9514e-05-0.00094912i,0.00066447-0.00055893i,-8.03e-05-0.00053911i,-0.00077726-0.00085804i,-0.00038425+2.9785e-05i
0.0034064-0.00082051i,0.002704-0.0020243i,0.0019992-0.002722i,0.0017031-0.0023559i,0.0012015-0.0021395i,0.00021809-0.0011551i,4.7752e-05+0.00057401i,0.00017578+0.00034491i,0.00033626-0.00025741i,0.00027281+0.00032821i,0.00029412+0.00054696i,0.00098095+0.00025591i,0.00095098-0.00027729i,-0.00012994-0.00031953i,-0.00051563-2.0321e-05i,-0.00048842+4.6176e-05i,-0.00043884-0.00076986i,0.00047028-0.0011156i,0.0011513-0.000549i,0.00098671-0.00045459i,0.00099219-0.00045956i,0.00085126-3.9607e-05i,0.0002988-0.00013801i
0.0021731+0.0004382i,0.0022047-0.00012999i,0.0029441-0.00025874i,0.0019336-0.00045731i,0.0010576-0.00022108i,0.00093022+0.00115i,0.00017006+0.0021105i,0.00032635+0.0020107i,0.00059412+0.0012628i,0.00033226+0.00045365i,0.00048997+0.00015543i,0.00017172-0.00011976i,-0.00030004-5.0929e-05i,-0.001018+0.00063465i,-0.0017352+8.4213e-05i,-0.0012336-0.00050394i,-0.00066993-0.00011674i,-0.00073935+0.00043377i,-0.0007632+0.0003859i,-0.00061172+0.00031393i,-0.00088848-0.00037741i,-0.00093515-0.00063578i,-0.00064148+0.00028187i
0.0017242-0.00066364i,0.0010149-0.0012954i,0.00050783-0.001411i,0.00064069-0.001351i,0.00065027-0.00068294i,0.00059078+0.00029057i,0.00038941+0.00039424i,0.00019444+0.0006349i,8.4306e-05+0.00017664i,-0.00017624-0.00038425i,-0.00063065-0.00045625i,-0.00046957-9.8402e-05i,0.00058028+0.00078634i,0.00035096+0.0011188i,-0.00041458+0.00017504i,-0.00088598-0.00049023i,-0.00044471-0.00057752i,0.0010334-0.00041488i,0.00080625+0.00039222i,-0.0003228+0.00040154i,-0.00058382-0.00031238i,-0.00048022-0.00092587i,0.0004562-0.00091256i
0.00081444+0.0010621i,0.00044086-0.00074045i,-0.00047121-0.0016145i,-0.00040526-0.00070917i,0.00072496+0.00072396i,0.0011985+0.0010855i,0.00091341+0.00079605i,0.00044377+0.00055205i,0.0006911+0.00011675i,0.00045162-0.00057174i,-0.00022305-0.00032527i,-0.00019435+0.00012658i,0.00049403+0.00022109i,0.00029173+0.00054947i,-0.0005949+0.00058425i,-3.3145e-05-0.00017928i,-0.00016344-0.00058273i,-0.0008545-7.8236e-05i,-0.00073631+0.00020458i,-0.00024012+0.00049992i,-0.00020631+0.00057284i,-0.00049675+0.00068588i,-0.00050351+0.00058411i
-0.00033984-0.0011058i,-0.0013764-0.0015662i,-0.0018078-0.00029708i,-0.00045044+0.0009833i,0.00075426+0.0010691i,0.0012501+0.00094013i,0.00084316+4.0362e-05i,0.00045757-0.00060255i,0.00056931+0.00053025i,0.00058672+0.00063678i,-5.5043e-06-8.6372e-05i,-0.00047014+2.0328e-05i,-0.00035346-1.1374e-06i,-0.00056826-0.00017638i,-0.00104+1.6183e-05i,-0.00083082+0.00029056i,-0.00023966+0.00030966i,0.00014662-3.6165e-05i,0.0004052-0.00039663i,-1.5902e-05+0.0010292i,-0.00022522+0.0017322i,-0.00025611+0.0004713i,-0.0011653-0.0004136i
-0.0018046-0.001089i,-0.0017183-0.00034417i,-0.00023867+0.00046078i,0.0013193+0.0009573i,0.0013041+0.0015266i,0.0012996+0.0016014i,0.00098308+0.00049603i,0.00021415-0.00011211i,-0.00036074+0.00020624i,-0.00022032-0.00027713i,6.5718e-05-0.00052319i,-3.2214e-05-0.00030737i,-0.00023346-0.00038374i,-0.00041283+4.5193e-05i,-0.00033254+0.00029178i,-0.00031538-1.5466e-05i,-0.00057946-0.00023903i,-0.00020318-0.00073878i,0.00039406-0.001193i,3.1035e-05-0.00080263i,-0.00053429-0.0002691i,-0.00065352+0.00041588i,0.0004747+0.00063902i
-0.0005829-0.0019366i,-0.00045884-0.0021155i,-0.0015779-0.0016388i,-0.00065878-0.00018569i,0.0011961+0.001131i,0.0012272+0.0014217i,0.0004994+0.0016137i,-0.00048461+0.0012004i,-0.0007684+0.00082845i,-0.00045593+0.00091722i,-0.00050594+0.00057363i,-0.00036547-0.00017233i,-0.00029765-0.00011887i,-0.00056182+0.00041881i,-0.00051294+0.00094132i,-0.00099175+0.00043196i,-0.00095402+0.00040857i,-0.00036065+0.0012415i,-0.00037867+0.0010282i,-0.0003807+0.00015491i,-0.0004959-0.00040635i,-0.00085947-0.00048868i,1.1068e-05-0.00037715i
0.0043076-0.00082179i,0.0041362-0.0021235i,0.0037488-0.0015864i,0.0024184-0.0006988i,0.0015469-0.00016931i,0.00070768+0.00014959i,-0.00014575+0.00010266i,0.00024442-0.00011335i,0.0003231+0.00020682i,4.2455e-05+0.00044982i,0.00021386+0.00021983i,0.00045769+0.00039836i,-0.00026836-0.00016781i,-0.00071176-0.00059987i,-0.00045965-0.00046435i,-0.0013111-0.00056311i,-0.00088835-0.00010679i,0.00033693+0.00036268i,0.00085769+0.00048256i,0.00064877+0.00052676i,0.00043396+0.00069887i,0.00022719+0.0010913i,-0.0006623+0.00072191i
0.0011364-0.00022i,0.00031279-0.0010755i,4.4438e-05-0.00103i,0.00020687+5.3521e-05i,-0.00044694+0.00088189i,0.00013306+0.00029768i,0.0014866-9.5945e-05i,0.0019038+0.00048869i,0.0012383+0.0010811i,0.000362+0.00011738i,-0.00011546-0.00081243i,-0.0002038-0.00020868i,-0.00042182+0.00021855i,-0.00069303+0.00026706i,-0.00022534+0.00059849i,-0.00023318+0.00042236i,-0.00076137-9.0948e-05i,-0.00016783-0.00028168i,-0.00015089-0.00053106i,-0.00093366-0.00065563i,-0.00071679-0.00028343i,0.00010135-0.00022388i,0.00027153-0.00017641i
-0.00041317+0.0025961i,-4.9418e-05+0.0016078i,0.00031031-9.1466e-05i,0.00044069-0.00020082i,0.00077556+0.00047983i,0.00076378+0.00076224i,0.00052168+0.0010335i,0.00015792+0.00030718i,-7.0009e-05+0.00014805i,0.00022749+0.00055675i,0.00025672+0.00062107i,-6.3063e-05+0.00040199i,-0.00027627-0.00015212i,-0.00018299-0.00021662i,-0.00054952-0.00012849i,-0.00034327-0.00040461i,0.00016861-0.00031857i,-0.00018957-0.00035696i,-0.00059769-0.00028705i,-0.00024446+0.00021011i,-0.00045972+0.00019767i,-0.00064381+0.0003742i,-0.00030001+0.00031505i
0.0010787-0.00036659i,0.0012738-0.0014349i,0.0015493-0.00052979i,0.0013343+0.00098242i,0.00088859+0.00035692i,0.0008304-0.0004484i,0.00029013+0.00011724i,-0.00010931+0.00071524i,0.00044908+6.7764e-06i,0.00031138-0.0010808i,0.00056416-0.00063459i,-0.00030004+8.4453e-05i,-0.0012792-0.00031521i,-0.00086479-0.0005665i,-0.00085307-0.00049701i,-0.00069257-0.00049136i,-0.00010952-0.0004197i,0.0002154+0.0002189i,6.8118e-05+0.00059242i,-9.4689e-05-0.00056709i,-0.00060343-0.00082537i,-0.00051936-0.00015766i,-0.00043862-0.000706i
0.0015439-0.00096772i,0.00071388-0.0024449i,0.00077591-0.0036971i,0.0014474-0.0032372i,0.00088686-0.001616i,-0.00030777-0.00049133i,-0.00045315+0.00028141i,-0.00040349+0.00043345i,0.00013392-0.00040359i,0.0007441-3.9685e-05i,0.00033914+0.00063998i,-0.00053437+3.3558e-06i,-0.0011068-0.00017734i,-0.0016545+0.00021806i,-0.0015725+0.00014904i,-0.00023366+0.00022513i,0.00089274-2.22e-05i,0.00087824-0.00025398i,0.00022338-0.00014388i,-0.0001561-0.00056044i,5.1904e-05-0.00030139i,0.0001047-0.00010248i,0.00029636-0.00035359i
0.0010105-0.0021911i,0.0016564-0.0013084i,0.00086601-0.00052693i,0.00054416+0.00024489i,0.0011816+0.00074574i,0.0018913+0.0006848i,0.0016314+0.00088357i,0.0012471+0.00016681i,0.00028569-0.00028102i,-6.5175e-05-0.0001938i,9.8615e-05+0.00058133i,0.00045032+0.00098122i,0.00079668+0.00016739i,8.1805e-05-0.00067399i,-0.00013985-0.00075833i,0.00045472-0.00025738i,0.00010438-0.00016681i,-0.00073834-0.00048296i,-0.00091262-0.00013843i,-0.00075285-0.00010497i,-0.00070754-0.00059059i,-0.00012318-0.00036932i,0.00028814-0.00011307i
0.0019015-0.0014405i,0.00099239-0.0032947i,0.00063707-0.0037734i,-9.7067e-05-0.0022051i,-0.00046056-0.00026098i,0.00070068+0.0008226i,0.00036828+0.0012514i,-0.00080412+0.00068288i,-0.00020554-9.2051e-05i,0.00060001+0.00020211i,8.523e-05+0.00055797i,-0.00017787+0.00019739i,0.00023342-5.6991e-05i,0.00038503-0.00049456i,0.0010016-0.00056608i,0.00024412-0.00018209i,-0.0002687-3.2886e-05i,0.0006753-0.00046633i,0.00059523-0.0011333i,0.00065118-0.00076916i,0.00040431-0.00031373i,-0.00027744-0.00053685i,-0.00075195-0.00016769i
0.0013122+0.0015545i,0.0012125+0.0019054i,0.00094871+0.0010893i,0.00079331+0.00026601i,0.00041413+0.00083569i,5.3955e-05+0.0013665i,0.00061886+0.00018418i,0.00083114+6.4744e-05i,0.0010274+0.00049327i,0.0015466+8.2764e-05i,0.00099153-0.00059653i,0.00052025-0.00058317i,0.00026516-0.00029803i,-0.0002327+0.00021941i,0.00012735+0.00011046i,0.00018328-0.00042908i,0.00082328-0.00036725i,0.00079464-1.1395e-05i,-0.0003527+0.00037276i,-0.00039734+0.00058783i,-0.00024029+0.00042521i,-0.00064638-0.00026473i,-0.00047732-0.0004719i
-0.00011942-0.0015311i,5.0744e-05-0.003145i,5.6425e-05-0.0041677i,-0.00012961-0.0028531i,-0.00031706-0.0013208i,-0.00079817-0.00034841i,-0.00049936+0.00089434i,-5.4129e-05+0.00029898i,0.00016792-0.00019989i,0.00091244-9.2038e-05i,0.00084874-0.00037268i,0.00062468-0.00022284i,0.00051477-0.00011532i,1.0878e-06+0.00023963i,-0.00013766+0.00040598i,-0.00061478-0.00041769i,-0.00094867+1.6658e-05i,-0.00057124+0.00060442i,-9.8271e-05+0.00049631i,0.00050315+9.3225e-05i,0.00043312-0.00022367i,4.8937e-05+5.2315e-05i,-0.00015513+0.00096067i
0.0024023-0.0018497i,0.0017144-0.00088064i,0.00066678-0.00087659i,9.2734e-05-0.00071598i,0.00076108+0.00043057i,0.0013588+0.00086992i,0.001242+0.00057571i,0.0012978+0.0002619i,0.00047077+0.00042563i,-0.00077846+0.00061455i,-0.00099959+0.00039697i,-0.00052499+0.00032612i,-9.8794e-05+0.00094926i,-0.00020886+0.00073552i,0.00014346+0.00064351i,0.00050469+0.00037374i,0.0001947+9.9331e-05i,-0.00040706-5.9464e-06i,-0.00032156-0.00032269i,-0.00025682-7.9499e-07i,-0.0002786-0.00047247i,8.3751e-05-0.00084067i,-6.6128e-05-0.00041829i
0.0025595-0.0016686i,0.0016272-0.0022906i,0.00071191-0.0021945i,0.00012786-0.0017695i,0.00033713-0.001344i,0.0017229-0.00012871i,0.001684+0.0011849i,0.00050716+0.0011482i,0.00017352+0.0008394i,-0.0003936+0.00040914i,-0.00078164-0.00042804i,-0.00066768-0.00082551i,-0.00015673-0.00066029i,0.00054019-0.00030263i,0.00055436+0.00031085i,-3.1709e-05+6.6985e-05i,-0.00034033-0.00084633i,-0.00035013-0.001092i,6.9958e-05-0.0012418i,0.0004857-0.0012415i,0.00027202-0.00082695i,-0.00096482-0.00022607i,-0.0014986+0.00012928i
-0.00019366-0.002594i,7.2625e-05-0.0023139i,-0.00015501-0.00071747i,0.00012841+0.00064316i,0.00079609+0.0012562i,0.0012784+0.0015288i,0.0012772+0.00060849i,0.0010245-0.00069028i,0.0010822-0.00093332i,0.00062011-0.0006576i,-0.00013989-0.00052993i,-0.00061811-0.00083794i,-0.00030703-0.00066322i,0.00034273-0.00039415i,0.00030219-0.00046412i,0.00030137-0.00068647i,0.0010228-0.00035702i,0.0014459+9.0713e-05i,0.00096569+0.00038593i,6.0349e-05-0.00017916i,-0.00020472-0.00027784i,0.00027585+8.0498e-05i,0.00061726-7.6295e-05i
-1.7925e-05+0.00077873i,0.0016157+2.358e-05i,0.0018224-0.0010105i,0.00080097-0.00090397i,-1.7209e-05-0.00019926i,-0.00047226-0.00020814i,-0.00060239+0.00027924i,-0.00055359+0.00078633i,-0.00026958+0.0009669i,0.00056993+0.00082416i,0.00044243+0.0001655i,-8.6323e-05+0.00013312i,0.00037047+0.00021139i,0.00080044-0.00063523i,0.00036454-0.00089754i,0.00012157-0.00081374i,-0.00012019-0.00075569i,-0.00079149-0.0008835i,-0.0010117-0.00067448i,-0.00050925-0.00035779i,-0.0002574-0.00043807i,-0.00079166-0.00050968i,-0.00026824-0.00079783i
0.0012091-0.0014737i,0.0015951-0.0014883i,0.0018522-0.0020539i,0.00082695-0.0016433i,0.000313-0.00042905i,0.00054674+0.00078858i,0.00041881+0.00079889i,0.00025631+0.00034631i,-1.1967e-05+0.00053132i,0.0003596-0.00024158i,0.00073596-0.00066636i,0.00056192-5.6264e-05i,0.00052907-3.0844e-05i,0.00033675-0.00063058i,2.7137e-06-0.00035771i,-0.00068161+0.00012066i,-0.00054033+7.8443e-05i,0.000147+0.00016578i,-0.0001937+0.00037315i,-0.00095726-9.4837e-06i,-0.00043819-0.0007353i,0.00027258-0.00059148i,0.00060921-0.00041349i
0.0010401-0.0019185i,0.00094649-0.001258i,9.7383e-05-0.00063715i,-0.00048875+0.00019503i,0.00012887+0.00089433i,0.00051728+0.0011053i,-2.0912e-05+0.00016768i,0.00014281-0.00039756i,0.00063497+0.0004013i,8.8221e-05+0.00052703i,-0.0004768+0.00058163i,0.00066033+0.00047584i,0.0016893+5.1979e-05i,0.0015412-0.00019733i,0.00074393-0.00079308i,0.0009465-0.0008889i,0.0012593-0.00084293i,0.00031416-0.00042735i,-0.00017699-0.00021089i,-0.00055149-0.00039658i,-0.00084195-0.00066976i,-0.000603-0.00050738i,-0.00043009-0.00046244i
0.0031093-0.0023341i,0.0029567-0.0031574i,0.001045-0.002695i,-0.0006044-0.00087362i,-0.00027848+9.812e-06i,0.00089431+0.00080709i,0.00068055+0.0013503i,-0.00019543+0.00088404i,-0.00017706+0.00063018i,8.2275e-05+0.00078316i,0.00033929+0.00059456i,0.00033611-0.00031842i,0.0001377-0.0004281i,0.00019202-0.00022319i,0.00041459-0.00049927i,0.00046296-8.6559e-05i,0.00027543+0.0002182i,0.00068066-0.00015727i,0.00071908-0.00052821i,0.00046832-0.00027131i,-4.1372e-05+2.9759e-05i,3.4384e-05+0.00035672i,-0.00010708+0.00067772i
-0.00032358-0.00079919i,0.00032455-0.00087101i,0.000311-0.0010905i,0.00038374-0.00068498i,0.00047757-0.00033157i,0.00092746+0.00042743i,0.00090987+0.00074212i,0.00047605+0.00017442i,-0.00021457+0.00052645i,-0.00031861+0.00063578i,-0.00032213+0.00018432i,-0.00023185-0.00024853i,-0.00055812-0.00050191i,-0.00095698-0.00019459i,-0.00097759-0.00026917i,-0.00082547-0.0010275i,-0.00021942-0.0010545i,0.00025242+0.00022196i,-0.00028323+0.0016274i,-0.0005132+0.0012314i,-0.00014859+0.00042353i,-0.00031297-3.6985e-05i,0.00012368-0.00030017i
0.00088732-0.00033142i,3.97e-06-0.00056984i,-0.0011227-0.00048718i,-0.00088684-0.00016975i,-0.00084872-3.868e-05i,-0.00024661+0.00020184i,0.0009975+0.00054346i,0.0013803+0.00062805i,0.00072535+0.00041842i,0.00038408+0.00020747i,0.00014573+0.00080848i,-0.00049424+0.000396i,-0.00058983-0.00025073i,-0.00024431-3.771e-05i,-9.968e-05+0.00015679i,9.7941e-05-4.5863e-05i,0.00026329+1.7818e-05i,0.00025853+0.00032047i,0.00082113+0.00095323i,2.0176e-05+0.0016728i,-0.00085206+0.0019802i,-0.00012709+0.0016913i,0.00011164+0.0012398i
0.0016988-0.00015398i,0.003113-0.0013381i,0.0030351-0.0021851i,0.0016215-0.0024982i,0.0015456-0.0017077i,0.0018335+0.00021092i,0.00044759+0.0010866i,-0.00077238+0.00053765i,-0.00039557+0.00042733i,0.00047534+0.00081782i,0.00028793+0.00039242i,-0.00030922+0.00018974i,-0.00031309+0.00065652i,-1.9469e-05+0.00094414i,0.00095333+0.00039659i,0.00084647-0.00037984i,-1.7853e-05-0.00032901i,-0.00036839-4.0171e-05i,-0.00036638-0.00047483i,-0.00045945-0.00083501i,-0.00066372-0.00056504i,-0.0005047+0.00015469i,-0.00079419+0.00021847i
0.001486-0.0012745i,0.00045746-0.0023162i,-0.00065267-0.0024475i,-0.0016138-0.0017213i,-0.0013526-0.00071382i,-8.6616e-05+0.00024011i,0.00057791+0.0009484i,0.0014341+0.00088742i,0.0010941+0.00054939i,-0.00014551+0.00052529i,-0.00044501+9.3263e-05i,-0.00060843+8.281e-05i,-0.0010762+0.00034429i,-0.00081743+0.00048005i,2.0389e-05+0.0002027i,-0.00029114-0.00027385i,-0.0002666-0.00010337i,-7.6716e-06+0.00056319i,-2.6771e-05-2.6464e-06i,0.00062708-0.00050673i,0.0004723+6.1987e-05i,0.00021582+0.00043654i,0.0003032+4.073e-05i
-0.00013416-0.00145i,-0.00035308-0.0013973i,-0.00010603-0.0018282i,0.00061037-0.0014197i,0.00073754-0.00051827i,-3.4269e-05+0.00049545i,-0.00044546+0.0008394i,0.00020897+0.00094946i,0.00024013+0.00086681i,-0.00039729+4.1758e-05i,-0.00029821-0.0006253i,-0.00017372-0.00042668i,-0.00029695-8.4585e-05i,-0.00045711+0.00019123i,5.9513e-05+0.00036533i,0.00015797+0.00039253i,-0.00061682-1.2354e-05i,-0.00026877-0.00059813i,0.00012884-0.00014415i,0.00046963+0.00032598i,0.00082606+0.00063604i,0.00027724+0.00046211i,-0.00025395-2.2396e-05i
0.0018576-0.00099073i,0.0015778-0.001801i,-0.00012701-0.0032803i,-0.0010006-0.0023447i,-0.00046179-0.00023547i,0.00090799+0.0013i,0.00179+0.0015034i,0.0017901+0.00082229i,0.00084609+0.00011384i,0.00013759+5.5513e-05i,3.0717e-05+6.7897e-05i,-0.00042569+0.00018704i,-0.0003327+0.00027208i,0.00013931+0.00034688i,0.00027166+0.00045498i,0.00084309+0.00021157i,0.001086-0.00036282i,0.00048063+0.00017457i,0.00056828+0.00058944i,0.0014863+0.00026807i,0.0016347-0.00028979i,0.0012494-0.00089238i,0.00080811-0.00065198i
0.0017787+0.0017406i,0.001638+0.0017051i,0.00081983+0.00089895i,-2.4978e-05+0.00040918i,5.4089e-05+0.00061129i,-3.2363e-05+0.00077484i,8.2797e-05+0.00064902i,-0.00012138+0.00040625i,-0.00076962+0.00051331i,-0.00088538+1.1523e-05i,-3.5836e-05-0.00062608i,0.00015592-0.00046363i,0.00048604-0.00012306i,0.00060935-0.00022606i,-8.7107e-05+0.00019325i,-0.00025456-3.5422e-05i,-0.00031503-0.00026188i,-0.00047367+0.00072703i,-0.00027028+0.0012208i,0.00046916+0.00072397i,-0.00012138-0.00010738i,-0.00061452+0.00028709i,0.00016163+0.0010927i
0.00028364-0.0010376i,0.0014062-0.001688i,0.0014394-0.0029359i,0.00040021-0.0023661i,-0.00096949-0.00045304i,-0.00033854+0.0014128i,0.00026617+0.0019647i,0.00030431+0.0012534i,0.00065674+0.0005422i,0.00054103+9.468e-05i,0.00037943+0.00025098i,0.00045564+0.00088114i,-0.00043581+0.0010909i,-0.0005387+0.00067102i,-0.00016878+0.00055008i,-5.6371e-05+0.00013358i,0.00026481-9.7122e-05i,-0.00032017-0.00011022i,-0.00064663-0.00018072i,0.00031164+0.00052903i,0.00034023+0.0010962i,-0.00014057+0.00023803i,-0.00029118-0.00083811i
0.0012909-0.0038093i,-0.00021217-0.0043588i,-0.00060407-0.0042219i,-9.728e-05-0.0029954i,1.8482e-05-0.0014908i,0.00016411+0.00034736i,0.0011269+0.0015086i,0.0011194+0.0012622i,0.00085612+0.00041704i,0.00056214-0.00032514i,0.00036813-0.00034737i,0.001351+0.0004157i,0.0010637+0.00083634i,0.00017605+0.00034674i,3.9486e-05-0.00021554i,0.00043968-2.6015e-05i,0.0006526+6.218e-05i,0.00021155-0.0002434i,0.00015669+0.00054406i,0.00010107+0.00051232i,0.0001338-5.4181e-05i,0.00027023+0.0001769i,-0.00040894+0.00058995i
0.0022996-0.0021188i,0.0013905-0.0030999i,0.00051931-0.0035611i,6.0665e-05-0.0027075i,-0.00012168-0.00055078i,-0.00058822+0.0012138i,-0.00054271+0.00115i,-0.0002415+0.00072262i,-0.00047994+4.2106e-05i,-0.00071741-0.00011942i,-0.00085204+2.7829e-05i,-0.0010508-3.7022e-05i,-0.00076682+0.00071479i,-0.00089178+0.0016945i,-0.0010882+0.0012978i,-0.00087235+0.00066131i,-0.00051288-6.4296e-05i,3.0446e-06-0.00031223i,0.00016109-2.1101e-05i,-9.3342e-05-0.00022356i,-0.0008152-0.00038553i,-0.00089597-0.00051828i,-0.00085582-4.1378e-05i
0.0045362-0.00025226i,0.0036439-0.0011994i,0.0022308-0.0020144i,0.00076031-0.0014758i,-0.00071887+0.0001235i,-0.0012572+0.0022094i,-0.00018526+0.0021503i,0.00062471+0.0016199i,0.00060843+0.00061493i,0.00063495+0.00012283i,-0.00011019+0.00036843i,-0.00040167+0.0010941i,2.1654e-05+0.0012029i,-0.00010086+0.00065468i,0.0004147+0.00043208i,0.00060235+0.00047329i,-0.00012591+0.00056841i,0.00036393+0.00034765i,0.00032054+0.00015677i,0.00019534-0.00032917i,0.00024468-0.00043945i,-0.00038945-0.00024928i,-0.00079099-0.00020601i
0.0047532-0.0021016i,0.0041567-0.0049231i,0.0019122-0.0074877i,0.00013135-0.0054938i,-0.0015669-0.0019064i,-0.0019866+0.0021392i,-0.00031251+0.0023519i,0.00011264+0.00088808i,-0.00014644+0.0007359i,-0.00087325+0.00050678i,-0.001844+4.0074e-05i,-0.0012045+0.0011361i,-0.0009389+0.0025607i,-0.0010659+0.0028478i,-0.00075991+0.003144i,-0.0012538+0.0021711i,-0.0013908+0.00058712i,-0.00042204-5.5335e-05i,0.00030318+0.00012566i,0.00032298-1.2757e-05i,0.00027917-0.00021274i,0.0001553-0.00043902i,0.00048311-0.0003242i
-0.0051399+0.0017191i,-0.004+0.004474i,-0.0022164+0.0080158i,0.0001449+0.0065204i,0.0030241+0.002672i,0.0040671-0.0017907i,0.0020212-0.0033486i,0.00022982-0.0017364i,-0.00023801+0.00038117i,0.00069855+0.00076336i,0.0015269-0.0004063i,0.0010438-0.0014144i,0.0010364-0.0022306i,0.0011972-0.0025193i,0.00083734-0.0024432i,0.00069053-0.0016485i,0.00062468-0.00058188i,0.00027032-0.00039923i,-0.00069661-0.00041884i,-0.00097867-0.0002011i,0.00022854+0.00037649i,0.0011435-1.4197e-05i,0.0011181+5.828e-05i
-0.0031983+0.001031i,-0.0016121+0.0025125i,-0.00033359+0.0037186i,0.00071248+0.0027776i,0.0016057+0.0013779i,0.0014432+0.00085996i,-1.0788e-05+0.00073661i,-0.0011889-0.00023736i,-0.0011567-0.00046191i,-1.3691e-05-0.00018414i,0.0012777-0.00058162i,0.0011877-0.00066252i,0.0010474-0.000599i,0.0011448-0.001055i,0.00055039-0.0016076i,-0.00036056-0.001243i,-0.00069073-0.0011995i,-0.00050283-0.0011886i,-0.00096341-0.00073983i,-0.0010747-0.00046925i,-0.00034594-1.6786e-05i,0.00034746+0.0002355i,0.0010007+0.00050739i
0.00094055-0.00016821i,0.00019383-0.0014379i,0.00076468-0.00055265i,0.00184-0.00010827i,0.0024789-0.00051766i,0.0012889-0.00022584i,0.00013845-0.00027513i,0.00068756-0.00034113i,0.0010224+0.00053631i,0.0012347+0.00075924i,0.0014272-0.00033887i,0.00115-0.00084856i,0.00072606-0.0010459i,0.00047834-0.0013149i,0.00044485-0.0013127i,-0.00044957-0.00071322i,-1.4459e-05-0.00016215i,0.0003948-0.00026777i,-0.00045953-0.00029905i,-0.00057551+0.00045539i,-7.3533e-05+0.00082202i,0.00018939+0.00052311i,0.00029007-0.00018428i
