-0.0011944-1.6038e-05i,-0.00083352-0.00078031i,-0.00173-0.00088439i,-0.002188-0.0004804i,-0.0021493-0.00054033i,-0.0016206-0.00079918i,-0.0011528-8.2827e-05i,-0.00075482+0.0010287i,0.00043964+0.00041415i,0.00087218-0.00074115i,-6.6031e-08-0.00070968i,-0.0010384-0.00092823i,-0.00098331-0.00066624i,-0.00049284+0.00029883i,-4.6101e-05+0.00033097i,0.00033084-0.00034678i,0.00036561+5.9799e-05i,0.00036447-0.00063849i,0.00050724-0.0013355i,7.2245e-05-0.0012824i,-0.00032474-0.0018533i,-0.00047828-0.0018825i,-0.0009094-0.00099546i
-0.00015833+0.0012316i,0.00036609+0.0014606i,0.0011451+0.00068303i,0.0015012-0.0016591i,0.0011692-0.0020675i,0.0011722-0.00091569i,0.00088756-0.00066305i,-2.8056e-05-0.00078512i,5.8185e-05-0.00010806i,0.00019232-5.6179e-05i,-2.7233e-05-0.0002187i,3.8734e-05-0.00015123i,-1.4845e-05-0.00035788i,-4.2292e-05-0.0007184i,-0.00014212-0.0012684i,0.00024075-0.0013384i,0.0005955-0.00047207i,0.00015402-7.6064e-05i,-0.00016045-4.2431e-05i,0.00024124+0.00043327i,0.00078975+0.00037722i,0.00080328+0.00059372i,0.00028456+0.00064322i
0.00039021+0.0019941i,-0.00011223+0.0011838i,-0.00051938+0.0014044i,-0.00062941+0.0017949i,-0.00041611+0.00026879i,-0.00078346-0.00077138i,-0.00047162-0.00076949i,0.00021804-0.00023802i,-0.00026183+0.00030642i,-0.0004649+0.00036513i,0.00022087-0.00015992i,0.00031598-0.00099861i,0.00040536-0.00047599i,0.00037824-6.1505e-05i,0.00028645-0.00075213i,0.00057758-0.00046599i,0.000873-0.0001548i,0.00068091+5.7765e-05i,-0.00014033+0.0002999i,-0.00081732-7.0021e-05i,-0.00072474-0.00024375i,0.00010797-0.00018306i,0.00019748+0.00030492i
-0.0027935-0.00035381i,-0.0033436-0.00034737i,-0.003329+0.0011197i,-0.001582+0.0023213i,0.00020829+0.0016789i,0.0011449+0.00044775i,0.00028154-0.00013455i,-0.00087228-0.00010756i,-0.00065372+7.2868e-05i,-0.00078571+0.00056264i,-0.00048679+0.00052347i,0.00064683+0.00060176i,0.00052243+0.00097509i,0.00059921+0.00094668i,0.0014559+0.00071434i,0.0016081+0.00047322i,0.00087301-0.000218i,0.0007696-0.00066269i,0.00072399-8.8572e-05i,1.7136e-05+0.0006918i,-0.0003445+0.00079964i,-0.00027308+0.00050868i,0.00016015+0.00039098i
0.0005995+0.00036297i,0.00083125+0.0011859i,0.00042285+0.0006439i,0.00092468-0.00018035i,0.0023411-0.00054556i,0.0022992-0.0012599i,0.00083995-0.0012888i,-0.00080794-0.00045746i,-0.00076869-6.6938e-05i,-0.00022889+0.00062342i,-0.00031529+0.00072708i,-0.00043713+0.00040914i,3.1424e-05+4.9381e-05i,0.00083613+0.00033568i,0.0011036+0.00085295i,0.00085426+0.0009088i,0.00034451+0.0010009i,6.8551e-05+0.0005591i,-0.000143+0.00014193i,0.00019006-0.00018404i,0.00058407-0.00033009i,0.00030786-0.00046116i,0.00010905-0.00062737i
-0.0024158+0.00017673i,-0.0021294+0.00081863i,-0.0017356-2.7355e-05i,-0.0015134-0.00035275i,-0.00065424-0.00035418i,-5.2281e-05+0.00017563i,-0.0010095-0.00068512i,-0.00177-0.0011158i,-0.0019137-0.00043377i,-0.0013921-0.00022236i,-0.00058898+0.00061529i,0.00027987+0.0012268i,9.446e-05+0.00063903i,-0.00017783+0.00088716i,7.5192e-05+0.0012485i,0.00019544+0.00091982i,0.00029468+0.0002063i,0.00060462-0.00030109i,0.00054398-0.00040013i,0.0005066-0.00065049i,0.00048245-0.00064i,0.00061033-0.00042846i,0.00045885-0.00058771i
0.00060397-0.00093947i,0.00059549-0.00086314i,0.0013885-0.00076947i,0.001244-0.00018497i,9.105e-05-0.00056163i,-0.0005214-0.00040119i,-8.8618e-05+0.00010048i,3.9318e-05-0.00030765i,-0.00096517-0.0004686i,-0.0015988+0.00015527i,-0.00061955+0.00044536i,0.00078499+0.00038237i,0.00084845+0.00044281i,0.00042913-0.00022044i,0.00055985-0.0009188i,0.00096719-0.0009574i,0.00034292-0.00069594i,-0.00022106-0.00026055i,-0.00035344-0.00027783i,0.00025611-0.00033806i,0.00084301+0.0002873i,-0.0003879+0.00023942i,-0.0006472-0.00087108i
0.0003727-0.0010353i,-0.00072199-0.00094998i,-0.0011872-0.0017323i,-0.00033764-0.00062444i,6.9574e-05-0.00018589i,-0.00025951-0.00025041i,-0.00038227-7.1187e-05i,-0.00031858-1.5308e-08i,-0.00064797-0.00024124i,-0.0011509-4.6443e-05i,-0.0011596+0.00018506i,-0.00080591+2.3294e-05i,-0.0013795-0.00043644i,-0.0019062-0.0013174i,-0.0012112-0.0017044i,-0.00052011-0.0010122i,-0.0001944+0.00018425i,-0.00050117+0.00018375i,-0.00075442-0.00055569i,-0.00028843-0.00073391i,-0.00056896-0.00023965i,-0.00090877+0.00068525i,-0.0003494+0.00033561i
0.0019659+0.00023299i,0.002221+7.5556e-05i,0.0023139-0.00015143i,0.0009451-0.00077884i,0.00043965-0.0011551i,0.00034331-0.0010117i,5.0609e-07-0.0010618i,-0.00063881-0.00039443i,-0.0013198+0.00033254i,-0.0020045+0.00022355i,-0.0017294-0.0003468i,-0.00010987-0.00071881i,0.00050094-0.0009964i,0.00013009-0.00048253i,0.00043258+0.00073996i,0.00022293+0.0006637i,-0.00079487-0.00038271i,-0.0011729+0.00024283i,-0.00066236+0.00096997i,-0.00019403+0.00014546i,-8.4809e-06-0.00070525i,-0.00037131-0.0011098i,-0.00032822-0.0011072i
0.00064417+0.0012947i,0.00095789+0.0011536i,0.001821+0.00087417i,0.0022693+4.9524e-05i,0.0011534-0.0011358i,9.8932e-05-0.00091005i,-0.0005659-0.00020976i,-0.00080179-0.00064857i,-0.00073084-0.0010449i,-0.00051379-0.00082672i,-0.00071857-0.0011278i,-0.00073212-0.00051959i,-0.00058053+0.00013752i,8.8981e-05+0.00015373i,0.0008001-0.0002887i,0.0010913-0.00043295i,0.00057442-0.00050907i,0.00061316-0.00028369i,0.00050758-5.3313e-05i,-0.0001639-6.5085e-05i,-0.00035749+0.00047574i,0.00025518+0.00054022i,0.00063972-0.00052589i
-0.00091707-0.0015884i,-0.00058183-0.0015867i,-0.00090059-0.0019855i,-0.00012619-0.0020338i,0.00042127-0.0011458i,0.0003806-0.0001556i,0.000262-0.0004294i,-0.00039934-0.00036495i,-0.00055338-0.00010134i,-0.00048578-0.00018847i,-0.00080127+0.00032091i,-0.00072914-4.8459e-05i,-0.00018997-0.0011367i,0.00036052-0.00087324i,0.00029675+0.00033758i,0.00032315+0.00073847i,0.0001289+0.00019897i,0.00030563-0.00043324i,0.00042154-0.00021598i,0.000127-0.00019149i,0.00013171-0.00057118i,0.00039146-0.00023842i,0.00059997-0.00035461i
0.00067879-0.0018479i,0.00036824-0.0020051i,-0.001057-0.0018495i,-0.0015363-0.0018852i,-0.0005719-0.001401i,-0.0002844-0.00056324i,-0.00085518-0.00060747i,-0.00093384-0.00037325i,-0.0010174-0.00017044i,-0.0014877-0.00032671i,-0.0015526+0.00013284i,-0.00082246+0.00018919i,0.00024832-0.0010264i,0.00013166-0.00011896i,-0.00034185+0.0017774i,0.00034503+0.0014925i,0.00087943+0.00026247i,0.0008253-0.0006689i,0.0005868-0.0008809i,1.8165e-05-0.00053345i,-0.00028305-3.0283e-05i,7.4259e-05-0.00042099i,0.00028726-0.000977i
0.00055617+0.00080099i,0.0013206+0.00096982i,0.0015727+0.0015737i,0.00092165+0.0014613i,0.00011751-6.8068e-05i,-0.00054999-0.0011906i,-0.0009498-0.00049078i,-0.00083167-0.00032928i,-0.00053019-0.00057133i,0.0001084-0.00032109i,0.00021362+9.8191e-05i,0.00059568-2.287e-05i,0.00073209-0.00064693i,0.00015837-0.00031022i,-0.000161+0.00028353i,0.0001958+0.00017541i,0.00015631+5.5147e-05i,5.5368e-06+0.00068821i,0.00030958+0.0012252i,0.00010204+0.00052494i,-0.00041502-0.00040599i,-0.00023968-0.00065234i,2.5249e-05-0.00033243i
0.00081306+0.0014412i,0.0009526+0.0013787i,0.0023747+0.00090884i,0.0026615+0.00024006i,0.0023332-0.000443i,0.001224-0.00043792i,0.0003662-0.00044253i,3.9751e-05-0.0010123i,-0.00010812-0.0014015i,-6.9172e-05-0.00091331i,0.00029677-0.00022268i,0.00027077+6.4571e-05i,-0.00076317+0.0003155i,-0.001163+0.00056439i,-0.00024135-0.00013518i,-0.00026966-0.00025157i,-0.00052886+0.00029736i,-0.00018642-0.00068096i,0.00054156-0.0020783i,0.0012644-0.0017577i,0.00011198-0.0005579i,-0.00022632-0.00037178i,0.00047746-0.00026585i
-0.0012897-0.0004687i,1.4623e-05-0.0017552i,0.00034122-0.0010055i,-0.0003715-0.00030787i,-0.00048415-0.00019379i,-0.00032826-0.00020085i,-0.0010707-0.00043931i,-0.0017951-0.00012081i,-0.0013796+0.00016587i,-0.00028135+0.00019434i,0.00023932+0.00061936i,0.00013659+0.00026916i,0.00015413-0.00039525i,-4.2075e-05-0.00038225i,-0.00027139-0.00095451i,-0.00013288-0.0011063i,-0.00028166-0.00011711i,0.00041486+0.00028713i,0.00076482-3.7746e-05i,0.0002884+0.00020132i,0.00032097+0.00099538i,-0.00018856+0.00083461i,-0.0004478+0.00032472i
-0.0012668+0.00025885i,-0.00028316+0.0001538i,0.00017493-0.00030204i,0.00069823-0.00038466i,0.00081979-0.00037983i,0.00030555-0.00043718i,-0.00022607-0.00050933i,-2.1882e-05-0.00034817i,0.00024103+8.323e-05i,-5.7554e-05-1.5412e-05i,-0.00033846+0.00024555i,0.00040858+0.0006313i,0.0012768-0.00026501i,0.00072984-0.00067516i,0.00079778+0.00013001i,0.00061488+0.00040397i,-0.00015273+0.00051407i,9.5322e-05+0.00051918i,0.00067905+0.0004364i,0.00049401+0.00043991i,-9.1832e-05+0.0002115i,2.5085e-05+0.00023237i,-5.1638e-05-4.982e-05i
-0.0029101+0.00031712i,-0.0025232+0.00070312i,-0.0019733+0.0013067i,-0.0011133+0.0014412i,0.00024332+0.00048535i,0.00055727-0.00068389i,-0.00036644-0.00094907i,-0.00036848-0.00097181i,-6.8175e-05-0.00080063i,-0.00043624-8.9304e-05i,-0.00087+0.00040547i,-0.00029181-0.00035965i,0.00030328-0.0013096i,0.00029429-0.00033066i,4.0737e-05+0.0012177i,-5.361e-05+0.0011677i,0.00018068+0.00081594i,0.00050213+0.001101i,0.00050819+0.00063829i,0.00033834-0.00042256i,-0.00038563-0.00070585i,-0.000714-0.00038285i,-0.00026517+7.9327e-05i
-0.00064425+0.0011168i,0.00020739+0.0010567i,0.00021018+0.00065621i,-0.00013714+6.118e-05i,0.0005154-0.0004253i,0.0012035-0.00080428i,0.00052971-0.0003578i,-0.00037684-0.00067059i,-1.1106e-05-0.00086592i,-0.00015331-0.00049299i,-0.00039042+0.0001551i,-0.00028925+0.00066077i,-0.00026453+0.00031354i,0.00015742-0.00085355i,0.00023871-0.00092922i,-9.8971e-06-0.00071099i,5.9733e-05-0.00070967i,-5.7666e-05-5.946e-05i,0.00036252+0.00015078i,0.00067975-0.00021601i,0.00032291-0.00095394i,0.00049101-0.00047121i,0.0010398+0.0002013i
0.0033327-0.0010682i,0.003216-0.0002967i,0.0026676-0.00040955i,0.0023217-0.0013716i,0.0015367-0.0019934i,0.00032719-0.0020184i,-3.908e-05-0.0013367i,-0.00042217-0.00054366i,-0.00068597-3.3975e-05i,-0.00011315+0.00012236i,0.00032733+7.066e-05i,0.0001648-0.00037652i,0.00025687-0.0011393i,0.00063403-0.0017288i,0.00091617-0.001253i,0.00041753+2.5312e-05i,-0.0001912-8.443e-05i,0.00037755-0.0010587i,0.00017212-0.00071115i,-0.0009846+4.2409e-05i,-0.0009038-0.00036945i,-0.00059649-0.00017657i,-0.00045844+5.3748e-05i
-0.0010278-0.00022003i,-0.0011247-0.0010746i,-0.0013307-0.00082427i,-0.00097006-0.000427i,0.00040649-0.00029321i,0.001093-0.00032077i,-0.00030437-0.00051453i,-0.0019762-0.00059923i,-0.0021073-0.00053523i,-0.0014+0.00020237i,-0.00094168+0.00084321i,-0.00054173+0.00031423i,-0.00043665-0.00086295i,-0.00023994-0.00049508i,6.6529e-05+0.00083093i,-0.00011483+0.00094817i,-0.00044596+0.00046245i,-0.00041387+0.00013087i,-3.8887e-05-0.00041644i,0.00046809-0.00056898i,0.00096791+2.26e-05i,0.0012152+0.00042354i,0.00080438-0.00019153i
0.0013012-0.00062882i,0.0018467+0.00016052i,0.0012161+0.00083446i,0.00073173+0.00099924i,0.00098328-0.00019343i,0.00053164-0.0015577i,1.4456e-06-0.0017042i,-0.00052381-0.0013281i,-0.00093396-0.00070972i,-0.00063089-9.9619e-05i,-0.00050315+0.00047302i,-0.00058881+0.00058438i,-0.00080062+0.00012851i,-0.00066029-0.00047952i,0.00016042+0.00027877i,0.00045708+0.00031477i,-1.76e-05+0.00014481i,-0.00018313+0.00012917i,0.00030601-0.00049228i,-5.8663e-05-0.00021281i,-0.00076501+0.00037697i,-0.0007668-0.00059549i,-0.00075128-0.00093281i
-0.00045437-0.00027053i,-0.00099811-0.00045166i,0.00020395-0.00037007i,0.00098177+0.00012568i,0.00017062+6.0569e-05i,-0.00010675-0.00098372i,0.00026343-0.0014544i,-0.00084169-0.001023i,-0.0015189-0.00033271i,-0.00048024+2.0398e-07i,0.00058251+0.00079519i,0.0006048+0.00095906i,0.00019636+0.00010292i,8.1627e-05-0.00057011i,0.00061896-0.00090534i,0.00065674-0.00052749i,0.00024466+2.283e-05i,0.00019405+7.515e-05i,0.00063491+0.00021569i,0.0012058+0.00026614i,0.0010765+0.00012307i,0.00064092+0.00010693i,0.0005724+0.0004813i
0.00055598+0.00053612i,0.0010839+0.00038573i,0.0011251+0.00038237i,0.0012929-0.00043106i,0.00099285-0.001485i,-1.2316e-05-0.002388i,-0.00039974-0.002005i,-0.00028579-0.0013333i,0.00012166-0.00046893i,-0.00029156+0.00022823i,-0.00013113-0.00024739i,0.00013155-0.00089709i,0.00022273-0.0011301i,0.00062736-0.00084718i,0.00071858-0.0010177i,0.00034809-0.0004566i,0.00019774-0.00016114i,2.4421e-05-0.00077296i,0.0005695-0.00058752i,0.0010944-0.00065155i,0.00039857-0.0004526i,-0.00049599+0.00021806i,-0.00069008-0.0001058i
0.0027239+0.00060977i,0.0021761+0.00011509i,0.0016632-0.00045273i,0.00061872-0.001271i,0.0007751-0.0015894i,0.00043738-0.0013315i,-6.3033e-05-0.00025443i,0.00019006+0.00099694i,0.00028407+0.00074697i,-1.4024e-05+8.3854e-06i,0.00023923+0.00020179i,0.00077053-8.9552e-05i,0.00087794-0.0001632i,0.00010002-3.8702e-05i,-0.00067057-0.00019631i,-1.9598e-05+0.00013557i,0.0006268+0.0001074i,0.00023675-5.6713e-05i,-1.5166e-05+4.2344e-05i,0.00017464-0.00033166i,0.00024013-0.00094038i,0.00031047-0.00068213i,-0.0001314+0.0002775i
-0.0010148+0.0014996i,-0.00052433+0.0019382i,-0.0003984+0.0028223i,-0.0002377+0.0017324i,0.00084031-1.2844e-05i,0.0010843-0.00099966i,-0.00040658-0.0013174i,-0.0010846-0.0010373i,-0.00033536-0.00036053i,-0.00012227-0.00017219i,-0.00038117+0.00037243i,1.4828e-05+0.0010387i,0.00019828+0.00039067i,0.00029156-3.142e-05i,0.0006546+0.00044047i,0.00093151+0.00036628i,0.00083251+0.00060571i,0.0010554-1.1562e-05i,0.00087422-0.00052079i,0.00090338-0.00051835i,0.00070633-0.0010969i,0.0006542-0.00069713i,0.00034591+0.00028663i
0.00065583-0.00033882i,-0.00055455+0.00041092i,-0.00088846+0.0011242i,-7.6069e-06+0.00063224i,0.00016325-0.00020935i,-0.00041837-0.00079144i,-0.00078305-8.5374e-05i,-0.00062824+0.00072739i,-0.0010036+0.00053492i,-0.0015466-5.7769e-05i,-0.0010917-0.00049351i,-3.8806e-05-0.00048875i,0.00075884-0.00012359i,0.00097135-9.9128e-05i,0.00057702-3.5159e-05i,0.00039251-4.2008e-06i,-2.7723e-05+0.00025639i,-0.0003467+0.00011689i,0.00016856-0.00056066i,0.0005687-0.00078396i,0.00014174-0.00061399i,-0.0003399-0.00033687i,-4.5993e-05-0.00029739i
-0.00030574-0.0017844i,-0.00066589-0.0029199i,-0.00076624-0.0029111i,-0.00092418-0.002169i,-0.00080819-0.0017254i,-0.00025395-0.0012511i,-0.00071921-0.0011756i,-0.0013524-0.0010437i,-0.0010256-0.00041035i,-0.00095979+0.00039421i,-0.00075057+0.00055241i,-0.00049305+0.00014761i,-0.00033073-0.00072994i,0.0002255-0.00083114i,0.00039263-0.00043873i,0.00026148-0.00058371i,0.00038848-0.00046876i,0.00067802+8.5764e-05i,0.00089345+0.00095757i,0.0004961+0.0015496i,0.00037532+0.001029i,0.00088659+8.6777e-05i,0.00082801-0.00062968i
0.0012997-0.0014107i,0.00097242-0.00036113i,0.0012016+0.00012674i,0.00040829-0.00036043i,-0.00013042-0.0013631i,0.00036026-0.00121i,0.00053439-0.00096921i,-0.00034441-0.00058493i,-0.0011382+0.00022141i,-0.00038145+3.1066e-05i,0.00065553+7.2518e-06i,0.00060741+0.00015314i,0.00021388+0.00028476i,0.0004058+0.00015929i,0.0010001+0.00045317i,0.00064167+0.00082448i,-0.00013337-0.00021033i,-0.00065373-0.00077362i,-0.00062526-0.00028462i,-0.00027317-1.8764e-05i,0.00033715-0.00012356i,0.0010573-0.00012589i,0.0010883-5.8005e-06i
-7.6739e-05+0.0015889i,0.00044402+0.0012121i,0.0015442+0.00030177i,0.001679+3.9784e-05i,0.0017385-0.00053401i,0.0015541-0.0008247i,0.00053887-0.00017052i,-0.00038676+0.0002615i,-9.0915e-05+0.00026091i,-0.00019812+0.00041105i,4.922e-05+0.00037461i,0.0008514-0.00025188i,0.00099901-0.00071474i,0.00096364-0.00040902i,0.00084794-2.3401e-05i,0.00046477-0.00050743i,5.3932e-05-0.00065283i,-0.00056355+2.7261e-06i,-0.00066021-3.4358e-05i,0.00031401-0.0002409i,0.00037536-0.00042365i,-0.00025033-0.00020045i,0.00022122-0.00039377i
-0.0012527+0.002326i,-0.00037031+0.0028642i,0.00043035+0.0032398i,0.00099792+0.0024278i,0.0012016+0.00093325i,0.001671-0.00064831i,0.00081164-0.0012821i,-0.0005723-0.00077358i,-0.00073902+9.1739e-06i,-0.00062279+0.00038093i,-0.00037159+0.00072326i,0.00098557-3.259e-05i,0.0018928-0.0011365i,0.0014665-0.00088906i,0.00097846-0.00065012i,0.00093984-0.00082687i,0.00026183-0.00087159i,0.00037967-0.00087334i,0.00054981-0.00028379i,5.551e-05-0.000428i,0.00018015-0.00053115i,-0.00014935-4.5285e-05i,-0.00047953-0.00020953i
-0.0012133+0.0021841i,-0.0016597+0.0022396i,-0.0015202+0.0025151i,-0.00043328+0.0029098i,0.0005065+0.0018414i,0.00028322-0.00038109i,-0.00075244-0.00086062i,-0.0013334-0.00041859i,-0.0012623-0.0002329i,-0.00097347+8.7176e-05i,-0.0001926+0.00017138i,-4.2701e-05-9.3482e-05i,0.00025842-0.00021885i,0.0015119-0.00038435i,0.0013525-0.00028216i,0.00068697-0.00067187i,0.00046494-0.00042761i,-0.00010195+0.0001884i,0.00013535+0.00035669i,0.00097553-0.00010662i,0.00044654-0.00040793i,7.5231e-05-0.00030339i,-0.00013898+0.00014764i
0.00054287+3.4565e-05i,0.0019499-0.0012065i,0.0015855-0.0019733i,0.00084751-0.0017727i,0.00055174-0.0015116i,0.00012552-0.0015001i,0.00053476-0.00052436i,5.5378e-05+0.0001519i,-0.00092726-0.00029067i,-0.0012176-6.87e-05i,-0.00053178-4.8849e-05i,-9.7739e-05-0.00063914i,-0.00038828-0.0012363i,0.00035976-0.0010242i,0.00079102-0.00076048i,0.00047217-0.00075045i,6.7141e-05-0.0003121i,-0.00014298+0.00057602i,-0.00023402+0.00065186i,-0.00042422-1.0003e-05i,-0.00041274+0.00012081i,-0.00017164+0.00043541i,0.00027648-0.0002108i
-0.001082+0.00020703i,-0.00092126-0.0010604i,-0.0012467-0.00096536i,-0.0012998-0.00011568i,-0.00068227-0.0003471i,-7.7139e-05-0.000915i,-0.00037188-0.00093743i,-0.00044567+0.00013951i,-0.0010004+0.0012134i,-0.0014365+0.0010429i,-0.00071115+0.00059613i,-0.00063072+0.0010319i,-0.000941+0.00081193i,-0.00023707+0.00010289i,0.00030375+0.00042059i,0.00052523-0.00011009i,0.00023135-0.00077862i,-0.00051372+0.0003016i,-0.00052162+0.00044278i,0.00026905+0.00013663i,0.00094269-5.2135e-06i,0.00066261+3.9093e-06i,4.6652e-05-0.00018601i
-0.00088064+0.0019112i,-0.00012909+0.0023788i,0.00032687+0.0032976i,0.0010826+0.0022321i,0.0017676+0.00067231i,0.0025454-4.667e-05i,0.0018029-1.2808e-05i,8.5702e-05-0.00010077i,-3.173e-05+0.00030762i,-0.00036467+0.00103i,-0.00099564+0.00071109i,0.00013738-2.9055e-05i,0.00076326-0.00017891i,0.00039094-0.00015841i,0.00047331-7.4269e-05i,0.00063781+0.00060377i,4.9574e-06+0.00056452i,-0.0005675-0.00026281i,-0.0001317-0.00054635i,0.00072026-0.00048117i,0.00029283-0.00045641i,-0.00014741-0.00041495i,-8.7474e-05-7.9234e-05i
0.00089863+0.00061162i,0.00020284+0.00060658i,0.00063705+0.00078589i,0.0021006+1.5892e-05i,0.0020211-0.00085111i,0.00059629-0.0010348i,-0.00024756-0.00061523i,-0.00044881-0.00038135i,-0.0002525+0.00015652i,-0.0002485+0.00072055i,-0.0005005+0.00073485i,-0.0005446+0.00068406i,-0.00037999-0.00016249i,-0.00040299-0.00090378i,0.0001877-0.0011034i,0.00067972-0.00072866i,6.8693e-05+0.00026863i,-0.00094797-0.00013523i,-0.0009472-0.00037371i,-0.00022421+0.00049196i,-0.00011552+0.00047201i,-0.00019282-1.1226e-05i,-0.00027519-0.00036201i
0.001605+0.0013621i,0.001796+0.0010901i,0.0004077+0.00044317i,-0.00050173-0.00059712i,-0.0005504-0.0012614i,-0.0013078-0.002191i,-0.0015674-0.0020516i,-0.0013494+9.4158e-05i,-0.0010797+0.00082716i,-0.00070111+3.8512e-05i,2.7366e-05-0.00017687i,0.0012447-0.00046306i,0.0011936-0.0013265i,0.00042656-0.0012811i,8.8651e-05-0.00034607i,0.00024854-0.00046179i,0.00031059-0.00029754i,-5.1009e-05+0.00029623i,-0.00038665+0.0004314i,-7.3323e-05-0.00026002i,8.5292e-05-0.0012247i,0.00060702-0.00018752i,0.0010656+0.0004511i
0.00409-0.00056095i,0.0043875-0.00039509i,0.0038937-0.00020507i,0.0026687-0.0013712i,0.0018105-0.0032021i,0.00076359-0.0025782i,0.00030144-0.00063236i,8.4656e-05-0.00012958i,-0.00029412-0.00057513i,-0.00043009-0.00087024i,-0.00074261-0.00054816i,-0.00046837-0.00057792i,0.00098133-0.0014825i,0.0018689-0.0012786i,0.0010282-0.00061084i,0.00061214-0.00071517i,0.00087304-0.00097291i,0.0007721-7.0436e-05i,0.00046192+0.00059485i,-0.00032509+0.00060177i,0.0002266+0.00047554i,0.00059011+0.00050871i,4.1369e-05+0.00040624i
-0.0010701+0.00071714i,0.00014455+0.0010814i,0.00044645+0.0011587i,-0.00027693+0.00082077i,-0.0013211+0.00046577i,-0.0007275-0.00070014i,-0.00028521-0.0011242i,-0.00062655-0.00097651i,-0.00040032-0.00060672i,-0.0005884+0.00020717i,-0.00079874+0.00032529i,0.00013913+0.00016292i,0.0011889+3.6477e-05i,0.00069444+0.00028014i,0.00042801+0.00017211i,0.00040326-0.00046636i,3.4634e-05-0.00069907i,-0.00014014-0.00076231i,-0.00012088-0.0010102i,-6.728e-05-0.00036378i,-9.6066e-05+9.5329e-06i,-0.00050528-0.00010287i,-0.00071664-6.3304e-05i
0.003569-0.00078339i,0.0029581+0.00065922i,0.0023481+0.00083264i,0.0023207+1.001e-05i,0.0021262-0.00048739i,0.0010943-0.00040432i,-0.00031656-0.00021418i,-0.00062566-6.3009e-05i,-0.00066482-0.00028543i,-0.0007012-0.00082958i,-0.00047651-0.00044978i,-0.000959-0.00044765i,-0.001177-0.0010807i,-0.00099212-0.00076107i,-0.00063833-0.00032646i,7.2322e-05-0.00064972i,0.00042053-0.00093855i,0.00018145-0.00066313i,2.611e-06-0.00030558i,-7.0804e-05-0.0001169i,-0.00055676+0.00057065i,-0.00081262+0.00027691i,-7.4456e-05-0.00035295i
0.00031591+1.814e-05i,-0.00029547-0.00043027i,-0.00021346-0.00073428i,0.00052291-0.00045188i,0.00091854-0.00094636i,0.00029896-0.0015366i,-0.00042855-0.00086325i,-0.00063047-0.00035624i,-0.00060292+0.00057836i,-0.0007386+0.001739i,-0.00075553+0.0021651i,0.00014014+0.0013774i,0.00093718+0.00016111i,0.00089374-0.00015138i,0.0010431+0.00023011i,0.00080779+0.00053861i,-0.00034922+0.00011812i,-0.00061235-0.00046062i,-0.0002873-0.00054453i,-0.00020311-0.00015141i,0.00034984+6.5188e-05i,0.00084206+3.3901e-05i,0.00072843-0.00040037i
0.00014504-0.00041996i,6.838e-05+0.00037445i,-0.00032665+0.000395i,-0.00068525+0.00055046i,-0.00033977+0.00039452i,3.8204e-05+0.00055974i,-0.00098938-0.00020318i,-0.0015243-0.00087135i,-0.0011794-0.00087839i,-0.0012721-0.00041489i,-0.0012623+0.00016i,-0.00057425+8.1662e-05i,-0.00018421+7.2373e-05i,-0.00044292+0.00041736i,-0.00018732+0.00072132i,0.0004259+0.00020934i,0.00020401-0.0002232i,-5.2346e-06-0.00030014i,0.00047082-7.2058e-05i,0.00027831+0.00073979i,0.00039962+0.00072746i,0.0008828+0.00029063i,0.00085412-0.0005422i
-1.4509e-05+0.0010565i,-0.00035679+0.00053511i,-0.00063177-0.00031526i,-0.0011732+5.7737e-05i,-0.001048+0.00090625i,-0.00035622+0.000233i,6.5536e-05-0.00064818i,7.7278e-05-0.00063824i,-0.00053098-0.00047323i,-0.00045803-0.00015193i,0.00068693+1.9878e-06i,0.000916+0.0003865i,0.00018281+0.0007562i,-0.00036587+0.00045073i,-6.4762e-05-0.00021324i,0.00088629-0.00019049i,0.00092873+0.00011044i,0.00055985+0.0011035i,5.023e-05+0.0010555i,0.00015143-0.00057317i,3.8691e-05-0.0015896i,-0.00051198-0.00099356i,-0.0003163+1.3586e-06i
-0.00073368+0.00038491i,-0.0020661-0.00078827i,-0.001481-0.00086801i,-0.00026705-0.00026195i,0.00057399-0.00010307i,0.00065483-0.00062479i,-0.00053435-0.00080959i,-0.00049125-0.00051654i,0.00054989-0.00018528i,0.0005906-6.3954e-05i,0.00022297+8.0865e-05i,0.00018275-0.00034644i,0.00037973-0.00065373i,0.00031427-0.00036509i,0.00082751-0.00039475i,0.0012623-0.0001323i,0.00019096+0.00016724i,-0.00026563+9.2826e-05i,0.00060227+0.00016428i,0.00050812+0.00054145i,4.454e-06+0.00042743i,5.2137e-05-0.00027106i,-4.6748e-07-0.00015887i
0.0012737+0.00029766i,0.00091146-4.8585e-06i,2.7324e-07-0.00032192i,-0.0001951-0.00050964i,-0.00032609-0.00018732i,-0.00014495-0.00045186i,0.00015188-0.001193i,8.9541e-05-0.0003997i,-0.00039584+0.00082137i,-0.0013833+0.00099989i,-0.0012153+0.00049176i,2.4841e-05+0.00013302i,0.00029518-0.00024672i,-0.00049293-0.00016009i,-0.00052032+0.00059445i,0.00016546+0.00018981i,0.00065285+0.000316i,0.0013167+0.00086849i,0.0016755+0.00085782i,0.0011972+0.00051793i,0.00112+7.2573e-05i,0.00027725-0.00037461i,7.4133e-05-0.00065809i
