-0.0024501+0.0012906i,-0.0015106+0.00017765i,-0.0026034-0.00057596i,-0.0024612-0.000748i,-0.0016095+0.00030184i,-0.00097825+0.0015617i,-0.00073749+0.0023145i,0.00041891+0.0021082i,0.0016405+0.0012392i,0.00097937+0.00042168i,0.00010791-0.00049031i,0.00053916-0.00057203i,0.0012637+0.00084873i,0.0017669+0.0016716i,0.0012127+0.00066035i,0.00029808+2.1276e-05i,-0.00015236+0.00031309i,-0.00047581-0.00058027i,0.00075282-0.0012143i,0.00099139-0.0007982i,-0.00039923-0.00018168i,-0.00036727+2.5185e-05i,-0.00023058+0.00019537i
-0.00059924+0.00042221i,8.9143e-05+0.00013817i,0.00047631+0.00047546i,-8.6322e-05+0.0010411i,0.00024523+0.0014541i,0.00095256+0.0016808i,0.00095297+0.0014856i,0.00067834+0.0015201i,0.00089303+0.0013574i,0.0014781+0.00016375i,0.0010231-0.00065072i,0.00030939-0.00062248i,0.00080791-0.0007253i,0.00057656-0.00025932i,-0.0001644+0.0002723i,0.00049708+0.00017888i,0.001172-0.00035274i,0.0013658-0.00058893i,0.00095394-6.5411e-05i,0.00070791+0.00049044i,0.00063601+0.00022568i,0.00015146-0.00067481i,-0.00027355-0.00177i
0.00026573-0.0014261i,-2.7135e-06-0.0014975i,-0.00012856-0.0019643i,-0.00050496-0.0021673i,-0.00086873-0.001369i,-0.00070517-0.00021565i,-0.00016775+0.00049591i,0.0006552+0.00087708i,0.00030267+0.0014088i,-0.00015738+0.00050551i,0.00043876-0.00057338i,0.0006995-0.00028665i,0.00014362-3.9132e-05i,2.2821e-05+0.00011515i,5.5196e-05+0.00055078i,0.00010834+0.00051688i,-0.00038563+0.00049152i,-0.00038627+0.00064869i,0.00027742-0.00011354i,0.00071548-0.00032768i,0.00076173-0.00043102i,-4.9215e-05+0.00021483i,-0.00061929+0.00057803i
-0.00022363-0.00040334i,-0.00032533-7.7726e-05i,0.00022793-0.00097123i,0.00015638-0.0017878i,2.2204e-05-0.0013025i,-0.00049643+5.6271e-05i,-0.00032834+0.0011558i,0.00043463+0.0011866i,0.0007755+0.00058528i,0.0011234+0.00012051i,0.0013185+3.8497e-05i,0.00059668-0.00040086i,0.00018541-0.00054906i,0.00041242+0.00014904i,0.00075672+0.00085722i,0.00079616+0.00080709i,9.9784e-05+0.00082984i,-0.00047746+0.00023041i,-0.00016825-0.00058972i,0.00041484-8.2621e-05i,0.00039984-5.8246e-05i,0.0003947-0.00071502i,0.00025143-0.00030901i
0.0016363+0.00051082i,0.0021489+0.00058364i,0.0028695+0.00041725i,0.0014917-7.6822e-05i,-0.00080966-0.00092026i,-0.00063243-0.00076947i,-0.00045337+0.00053151i,-0.00032354+0.0018951i,-0.00012353+0.0024726i,0.00050602+0.001313i,0.0013691-0.00033103i,0.0018284-0.00095852i,0.0016961-0.00087155i,0.00094566-0.00061726i,0.00013657-0.00017549i,-0.000184+0.00037276i,0.00027422+0.00045561i,0.00036871+0.00026878i,7.0576e-05+0.00050011i,0.00036361+0.00027981i,0.0002627+6.624e-05i,-4.132e-05-0.00017498i,-0.00015862+0.000531i
0.0008928-0.0001668i,-0.00030342-7.6096e-05i,-0.0010249+0.00070243i,-0.0014586+0.001121i,-0.0017181+0.00036102i,-0.0013143+0.0008627i,-0.001031+0.0012536i,-0.00011819+0.00037645i,0.00086522+0.00030148i,0.0011289+0.0012678i,0.0011343+0.00075064i,0.0013058-0.00080044i,0.0010748-0.0011056i,0.00062326-0.00094129i,6.9726e-05-0.00066988i,-0.00036527+0.00017446i,-0.001069+0.00014465i,-0.00088623-0.00026968i,0.00033454+8.7483e-05i,0.00041805+0.00014995i,-7.1159e-05+2.1341e-05i,-0.00030021-0.00027445i,-0.0006552-0.00060261i
5.6599e-05-0.0014995i,2.6949e-05-0.0019913i,-7.0956e-05-0.0016366i,0.00083368+7.324e-05i,0.0011817+0.0010412i,-4.5476e-05+0.00057023i,-0.00068954+0.00054974i,-0.00014817+0.0012732i,0.00044307+0.00091158i,0.00074162+0.00020541i,0.00083738+0.00030234i,0.00096869+0.00058608i,0.001174+0.00047316i,0.00080788+0.00027128i,-0.0002293-8.3646e-05i,0.00017257+0.00037643i,0.00069284+0.00046254i,-0.00026814-0.00044941i,-0.00020205-0.0005995i,0.00031305-7.6234e-05i,-0.00027275-0.00010125i,-8.5604e-05-0.00030868i,0.00054656-3.1717e-05i
-3.6184e-05-0.00039571i,-0.00076193+0.00028176i,-0.0015185+0.00039735i,-0.0012414-0.00018865i,-0.0010347+0.00031601i,-0.00069224+0.00097116i,0.00010765+0.00047524i,0.00098531+0.00020412i,0.0010807+0.00044514i,0.0003831+0.00045442i,2.6986e-05+0.00061591i,0.00078934+0.00044405i,0.0009802+0.00076469i,0.00029245+0.00063161i,-0.00013298-0.00023365i,3.2316e-06-0.00026839i,0.00053688-0.00023166i,0.00076081-0.00092523i,0.00057873-0.00085001i,0.00082092+2.8354e-06i,0.00075574+0.0003404i,0.00017553+0.00011725i,0.00058203-0.00039901i
-0.0018063-0.00041109i,-0.0018833-0.00020417i,-0.0014879+0.0012234i,-0.00074469+0.0017552i,-0.0010276+0.0019527i,-0.0012182+0.00094746i,-0.00043314+0.00010078i,0.00026049+0.00059709i,0.00098711+0.00083808i,0.00081566+0.0005148i,0.00050049+0.00088639i,0.00083169+0.0010308i,0.00027789+0.0001864i,-0.00018416-0.00039531i,0.00027316-0.00048133i,0.00048446-0.0012666i,0.00029256-0.0012041i,-0.00012435-2.462e-05i,-0.00071767+0.00064216i,-0.00085546+0.00059546i,-0.00042967+0.00061514i,-0.00035368+0.00057648i,-0.00054671+0.00022649i
-0.00048718-8.0042e-05i,-0.00032917-0.00067971i,0.00033499-0.0011272i,0.0011081+0.0005476i,0.00076535+0.0016921i,-0.00038208+0.0011149i,-0.00015933+0.00055565i,0.00019263+0.00034725i,-0.00029316+0.00048529i,-0.00019351+0.00015991i,0.00023037-0.00035818i,0.00022035-0.0001466i,0.00059544-0.0002201i,0.0011687-0.00042661i,0.0012198-0.00012074i,0.00046786+0.0001737i,-0.00023319+1.0882e-05i,-0.00096919-9.1123e-05i,-0.0014596-0.00048499i,-0.00029494-0.00050168i,0.00055947-0.00027074i,0.00021556+0.00012073i,-0.00025307+0.00060031i
0.00091979+0.00039508i,0.001869+0.00093566i,0.0011529+0.0013624i,0.0010411+0.00078257i,0.0016357-0.00045431i,0.001271-0.00050488i,0.00060745+0.00056944i,0.00036818+0.00085822i,0.0011993+0.00010787i,0.0019123-0.00050937i,0.0015804-0.00070743i,0.0014185+0.00021399i,0.0010086+0.00079023i,0.00041323-0.00011813i,-5.4884e-05-0.00041488i,0.00035975+0.00019706i,0.0016327+0.00074509i,0.0020119+0.00026269i,0.0016834-0.00040109i,0.001195+0.00025681i,0.0011191+0.00059905i,0.0004864-0.00035546i,-0.0010201-0.0012451i
-0.0020443+0.0009734i,-0.0020573+0.00098442i,-0.0021799+0.00089519i,-0.0018526+0.00091001i,-0.00089111+0.0016103i,-0.00017517+0.0015515i,-0.00045921+0.00079808i,-0.0002889+0.00045725i,0.00041936+0.00061202i,0.00074008+0.00033403i,0.00072557-0.00016625i,0.00061624-0.00049933i,-0.00025915-0.00025033i,-0.00020358+0.0002025i,0.00040461+0.00056065i,0.00038554-0.00010621i,0.00026234-0.00057909i,-7.2544e-05-0.00062335i,-0.00021459-0.00043679i,-0.00024983-0.00025092i,-0.0004348+0.00012242i,-0.00043976+0.0002707i,-0.00087444+3.3708e-05i
-0.002642+0.0010121i,-0.0027783+0.0014147i,-0.0016374+0.0015956i,-0.00037937+0.00098295i,-0.00047599+0.001202i,-0.00038228+0.0012667i,-0.00036598+0.0013412i,-0.0012099+0.0012519i,-0.0010322+0.00056195i,7.4158e-05+0.00046237i,0.00074013+0.00076583i,0.00093915+0.00063898i,0.0010873+0.0012102i,0.00078671+0.00088043i,0.00056981+8.4961e-05i,0.00057076+0.00034681i,0.00072252+0.00036355i,0.00061095+0.00028782i,0.00012107+0.00031603i,-6.8402e-05-5.3069e-05i,-9.7102e-05-4.6892e-05i,5.7536e-05+0.00034436i,-5.9326e-05-0.00023688i
0.00029147+0.00020138i,-0.00041341+7.7802e-05i,-0.00092271-0.00042432i,-0.00079174-0.0013462i,0.00044544-0.0004453i,0.00091692+3.3343e-05i,0.00033694+0.00016459i,-6.3302e-05+0.00098666i,0.00025064+0.00074623i,0.00098769+0.00041183i,0.0013449-0.0001466i,0.0011725-0.0005778i,0.00073847-0.00012128i,0.0011021+0.00027048i,0.0010623+0.00042787i,0.00068226+1.681e-05i,0.00099744-0.00051068i,0.0011413-0.00049388i,-4.656e-05-0.00033515i,-0.00081311+0.00012371i,-8.9265e-05+0.00061798i,-0.00029396+0.00022345i,-0.00088826+0.0001633i
0.0015863+0.00038871i,0.0014716-0.00010883i,0.00049478+0.0010512i,-0.00027291+0.0019517i,-0.00065266+0.00089148i,-0.00048193+0.00029393i,0.00024885+9.9717e-05i,0.00045452-0.00029379i,0.00049544+0.00018662i,0.00039717+0.00067685i,0.00067536+0.0002972i,0.0012572-0.00024681i,0.00076214-0.00038739i,-0.00011266-0.0004051i,-0.00012419-0.00020896i,0.0004837-0.00015375i,0.00065975-0.00073285i,0.00037095-0.00058845i,0.00059995+0.00016466i,5.1165e-05+0.00059743i,-0.00067304+0.0010384i,-0.00018884+0.00092696i,0.00059112+0.00014953i
-0.0020506-0.00046428i,-0.0023919+4.7039e-05i,-0.0036376+0.00087743i,-0.0019762+0.0013522i,-0.00031415+0.0015306i,0.00040417+0.0019023i,0.00036245+0.0018078i,-0.00031779+0.001749i,-0.0002876+0.0012301i,0.00017197+0.0007724i,0.00078027+0.00079423i,0.00090554+0.00051864i,0.001107+0.00076604i,0.00080671+0.0004998i,-2.1464e-06+0.0004143i,0.00053584+0.00077651i,0.0013813+0.00032527i,0.0012711+5.1571e-05i,0.00072065+0.00027051i,-6.447e-05+0.00035503i,-0.00036488+0.00030407i,-5.3565e-05+0.00033091i,7.3727e-05+0.00016814i
-0.00019808+0.00023098i,-0.00024823-0.00089349i,-0.00042538-0.0012738i,-9.1805e-05-0.001436i,0.00072785-0.00074259i,0.00058632+5.8247e-05i,8.4291e-07+0.00056469i,-0.00016083+0.0011698i,7.9002e-05+0.0013337i,0.000681+0.0005413i,0.00068851-0.00018335i,0.00069316+0.00032273i,0.0014694+0.00092305i,0.0008895+0.00099228i,0.00013627+0.00073399i,0.00023306+0.00018374i,0.000872-0.0001791i,0.0010767-0.00078461i,0.00090205-0.00082742i,0.0003248-0.00036872i,-0.00064681+5.4206e-05i,-0.00079156+0.0002981i,-0.00049513-5.4777e-06i
-0.0015024-0.00015376i,-0.0013596+0.0008359i,-0.0018725+0.0022807i,-0.0021329+0.0027708i,-0.0015197+0.0021918i,-0.00092721+0.0016024i,-0.00095366+0.00087169i,-0.0011715+0.00042281i,-0.00043443+0.00057333i,0.0007904+0.0009786i,0.0011242+0.00058505i,0.00054401+8.5076e-05i,0.00028374+0.00015238i,0.0011879+0.00051973i,0.00063522-0.00013669i,-6.4527e-05-0.0008346i,0.00034322-0.0012482i,0.00034734-0.0017918i,0.00047323-0.0010614i,0.0003858-0.0007375i,0.00060987-0.00074581i,0.00064819-0.00076334i,0.00011618-0.00033214i
-0.00041322-0.000105i,0.00084982-0.00012298i,0.00094958+0.00043573i,0.0011149+0.00061071i,0.00085881+0.00014837i,0.00025588-0.0002039i,0.00012441+6.6162e-05i,0.00053847+0.00064612i,0.00020486+0.00048279i,0.00047194-0.00013022i,0.0011459+0.00025349i,0.00067142+0.00034664i,0.00062385-0.00011423i,0.00046283-6.2497e-05i,-0.00062125-2.4639e-05i,-0.00064034-0.00019491i,0.00036377+0.00012545i,0.0012463+7.4159e-05i,0.0011909-0.00021313i,0.00055215+7.3825e-05i,0.00040448+5.7652e-05i,0.00068186+0.00041135i,-0.0001159+0.00031702i
-0.0024833-0.00011425i,-0.0030623+0.00011077i,-0.0036815+0.0010073i,-0.0020264+0.00059388i,-0.00047412+0.001077i,-0.00042128+0.00091057i,-0.00090726-4.5781e-05i,-2.431e-05+0.0002528i,0.0012827+0.00019053i,0.0014982-2.9738e-05i,0.0012335+0.00024432i,0.00054036+0.00028085i,0.00072738+0.00016146i,0.0015696+6.34e-05i,0.0011513+0.00020933i,0.00029571+0.00052822i,5.9436e-05+0.0003675i,0.00012113-0.00020945i,0.00024467-0.00019087i,0.00017434-1.1287e-06i,0.00022348-0.00031604i,0.00040577-0.00027346i,0.00012112+0.00044329i
0.0028272+0.0014297i,0.0023868+0.0024386i,0.002401+0.0022824i,0.0018726+0.0013904i,0.00055899+6.992e-06i,-0.00080811+0.00040625i,-0.00078388+0.00076027i,0.00057402+0.00056037i,0.0011978+0.0011574i,0.0018245+0.0006015i,0.0019098-0.00092141i,0.0016756-0.00084106i,0.0012116-0.00042586i,0.00062171-0.00022646i,0.00037012-8.462e-05i,0.00011287-0.00044722i,0.00011991-0.00055381i,0.00013329+0.00016821i,-0.00012297+0.0007519i,6.2099e-05+0.00035573i,2.8846e-05-0.00060038i,-2.4507e-05-0.00081104i,0.00078192-0.00026217i
-0.0011083+0.00055119i,-0.00084741+0.00021276i,-0.0011172+2.0991e-05i,-0.00039538-5.322e-05i,0.00011993-0.00010675i,0.00051226-0.00018193i,0.00094135+0.00018076i,0.00079613+0.00076154i,0.00081823+0.00078937i,0.00079508+0.00028436i,0.00067754-0.00029205i,0.0002885-0.00015161i,-0.00026047+0.00054166i,-0.00063016+0.0011431i,-0.00057457+0.00095272i,0.00010942+0.00033797i,0.00047571-0.00012098i,0.00024185-7.1939e-06i,0.00020671+0.00039327i,0.00032947+0.00032581i,0.00018244+0.00014927i,-0.00046821+3.121e-05i,-0.00013703+0.00014018i
-0.00066729-0.00057233i,-0.00041352+0.00070734i,-0.00083239+0.0014552i,-0.001083+0.0015485i,-0.00039265+0.0018513i,0.00017473+0.0012827i,-0.00037107+0.00071037i,-0.00098924+0.00086584i,-0.00067573+0.00088373i,8.1377e-06+0.00053245i,0.00020026+1.0271e-05i,0.0001136+0.00018933i,0.00056094+0.00010738i,0.00064336-0.00015363i,0.0005604-0.00025955i,0.00048366-0.0002829i,-4.506e-05-0.00019282i,4.022e-06-0.00071822i,0.00068532-0.00031315i,0.0012367+0.00050921i,0.0011206+0.00034507i,0.00014841-0.00023964i,0.00058216-0.00017347i
-0.0016319-0.0015864i,-0.001527-0.0005361i,-0.0013777-0.001313i,-0.0011088-0.00074277i,-0.0011442+0.0006088i,-0.0012128+0.0012466i,-0.0005316+0.0014747i,-0.00035279+0.0019033i,0.00020876+0.0011031i,0.00071365+0.00011345i,0.00019696+0.0004237i,-2.5244e-05+0.00065372i,-0.00014691+0.0002969i,-0.00044277+0.00013597i,-0.00068244-0.00018988i,-0.0005457-0.00094849i,-0.000185-0.0011051i,-9.1934e-05-0.00059865i,-0.00040238-0.00046273i,-1.4526e-05-0.00032761i,-0.00010971-0.00027557i,-0.00042692-0.00022852i,-0.00045627-9.8282e-05i
0.00035473-0.0012683i,7.6049e-05-0.0010856i,-0.0005204-0.0021241i,-0.00025309-0.0018458i,0.00059245-0.00016704i,0.00039544+0.00053777i,7.6646e-06+0.00099138i,0.00029998+0.0010403i,0.00030361+0.00049257i,0.00041766-0.0001126i,0.0006987-0.00024144i,0.00081136-4.942e-05i,0.0010532+0.00070977i,0.0011359-7.0112e-05i,0.00067719-0.0010283i,-6.0997e-06-9.5328e-05i,0.00030256+0.00038831i,0.00063581-0.00030772i,4.5421e-06-0.00065169i,0.00012511-0.00093167i,0.00023169-0.0013139i,-9.216e-05-0.00059564i,-0.00062069-0.00050512i
0.00013855-0.0016972i,-0.00067789-0.001835i,-0.00035441-0.0013147i,-0.00050825-0.000995i,-0.0015807-0.00045186i,-0.0018111+0.0007322i,-0.00057552+0.00097446i,0.00094737+0.00076918i,0.00096683+0.00085624i,0.00021399+0.0002309i,0.00073465-0.00040558i,0.0011793+0.00033349i,-0.00018318+0.00059975i,-0.0012524-0.00012268i,-0.00065948-0.0006701i,0.0001772-0.00065003i,0.00030067-0.00090885i,5.3394e-05-0.0012485i,-0.00073146-0.00034441i,-0.00067815-0.00012616i,0.00029716-0.0006554i,0.00047116-0.00033566i,0.00024493+0.00016338i
-0.00060769+0.00025353i,-0.00062228+0.00043877i,-0.0010684+0.00093009i,-0.0010372+0.0010606i,-0.00040805+0.00078451i,8.569e-05+0.00072558i,0.00072049+0.0013676i,0.00064753+0.0016628i,0.00062363+0.00094504i,0.0012036+0.00055326i,0.00095744+0.00060397i,0.0002171+0.00081144i,0.00016924+0.00072598i,1.6268e-05+0.00012671i,-0.00096732-9.6835e-05i,-0.0010558+0.0004901i,0.00024351+0.00030404i,0.0013463-0.0003387i,0.0013433-4.941e-05i,0.0010396-0.00024393i,0.0011819-0.00035749i,0.00075119-0.0002782i,-0.00038004-9.3448e-05i
5.8735e-05+0.00093535i,-0.0004495+0.00053795i,-0.0010502+0.0010036i,-0.00095602+0.0010672i,-0.00032881+0.00047186i,0.00033359+0.00053959i,0.00015875+0.00085032i,0.00038185+0.0013764i,0.00056385+0.0010822i,0.00095114+9.7819e-05i,0.0012444-0.00035331i,0.00064984-0.00061039i,-5.7248e-05+0.00022808i,-0.0006987+0.00063408i,-0.00026116+0.00019959i,-8.3484e-05-0.00022744i,0.00035671-0.00023988i,0.00095161+0.00046697i,0.00028642+0.00061385i,-8.7332e-05+0.00023736i,-2.6096e-06+8.8481e-05i,-0.0001434-0.0002554i,-0.00047915-0.00042182i
-0.0013797-0.00097418i,-0.0025738-0.0013882i,-0.002804-0.0012569i,-0.001673+3.1077e-05i,-0.001258+0.00066068i,-0.00072022+0.00081392i,-0.00047395+0.0003274i,-0.00088139-6.8611e-05i,-0.00026672+0.00034594i,0.00010382+0.00072625i,0.00028891+0.00066557i,0.00050331+0.00093879i,0.00052801+0.0011594i,0.00066835+0.00052115i,0.00031732+6.4769e-05i,0.00043136-0.00068967i,0.00071884-0.00075981i,9.9412e-05-0.00035857i,-0.00014363-0.00036117i,4.6486e-05+0.00032564i,-0.00072523+0.00084802i,-0.001351+0.00031439i,-0.0010585+0.00025947i
0.0013392-0.00014964i,0.0015721-0.00081392i,0.00072499-0.00087495i,-0.00024594-0.00022513i,-0.00015802+0.00020311i,9.1308e-05+0.00044694i,-2.3024e-06+0.0010878i,-0.00081799+0.001168i,-0.00091704+4.0629e-05i,-0.00010062-0.00026269i,0.00021301+0.00020495i,0.0003637+0.00029558i,0.00032327+0.00041861i,0.0004226-3.241e-05i,0.00027889+0.00016799i,-0.00042759+0.00017956i,0.0002358-7.8475e-05i,0.0011138-0.00023212i,0.0010334-0.00039649i,0.00019258-0.00044754i,0.00028745-0.00010362i,0.0007025-0.00038892i,-0.00011938-0.001215i
-0.0017315+0.00021915i,-0.00081563+0.00079907i,-0.0001543+0.00023337i,-0.00011755-3.0696e-05i,-0.0006437+0.00031156i,0.00054319+8.3861e-05i,0.0010477+0.00052269i,4.4969e-05+0.0010851i,6.8919e-05+0.00050003i,8.1311e-05-0.00076162i,-0.00014426-0.00093321i,0.0002813+8.4755e-05i,0.00038236+0.00050228i,0.00022545+5.0624e-05i,0.00016202-0.00012235i,-7.8844e-06-0.00025727i,0.0002399-0.0003025i,-0.0003279+6.8721e-05i,-0.0007283+0.00045116i,-0.00059685+0.00023405i,-0.00052408-0.00053237i,-4.2835e-06-0.00060683i,-6.9961e-05-0.00015204i
0.0003159-0.00061178i,9.181e-06-0.00037596i,-0.0012511-0.0010679i,-0.0017021-0.00026419i,-0.001131-0.000118i,-0.00055805+0.00021334i,-0.0003178+0.00019039i,6.2699e-05-8.3489e-05i,0.00065579+0.0010394i,0.0014865+0.001379i,0.00097346+0.00011167i,0.00038119-0.00043569i,0.00068749-0.00011562i,0.00070253-0.00028527i,0.00076647-0.00034499i,0.00036234+3.5653e-05i,-0.00018279+5.4351e-06i,0.00040598+0.00013005i,0.0011716+0.00059451i,0.00058181+0.00019285i,-5.8551e-05-0.00018816i,-4.9805e-05-0.00022599i,-0.00011887-0.00041603i
0.0004321+0.00080687i,0.00080034-0.00012885i,0.0020322-0.00011137i,0.0015382-0.00031285i,0.00087465-0.00027723i,-9.9293e-05+4.8406e-05i,-0.0006901+0.00061115i,3.9955e-05+0.00064347i,0.00060239+0.00066786i,0.00090881+0.00071628i,0.0011482-3.2871e-05i,0.00074195-0.00042997i,0.00063829+3.1515e-05i,0.00065326+0.00056754i,0.00054017+0.0003726i,0.00078785+0.00063853i,0.00095569+0.00052382i,0.00099872+8.1912e-05i,0.0010787+0.00018285i,0.00085806+0.00053992i,0.00021899+0.0009932i,0.00044568+0.00089432i,0.00042413+0.00057134i
0.00039743+3.5442e-05i,-0.00064917+0.00066363i,-0.0010313+0.0002003i,-0.0012263+0.00033446i,-0.0015125+0.00053165i,-0.00095963-0.00035064i,-0.0003875-0.00013731i,0.00013854+0.00069465i,0.00047472+0.00051907i,0.00048956+0.00025925i,0.00082234+0.00020207i,0.00091704-0.00043253i,0.00081276-0.00099616i,0.00074662-0.00083944i,0.00030187-0.00069331i,4.3401e-05-0.0011775i,-0.00019651-0.00064741i,-0.00019039-0.0006246i,-0.00010306-0.00061915i,-0.00030225-0.00055572i,-0.00032169-0.000475i,0.00011189+8.8016e-05i,0.00022449+0.00068393i
-0.0023249-8.8428e-05i,-0.0028209-0.00020457i,-0.0024534-0.00065068i,-0.0016982+0.00025711i,-0.0011296+0.0011022i,-0.00094149+0.00098986i,-0.00089722+0.00079979i,-0.00057918+0.00056154i,4.133e-05+0.00027721i,0.0008665+0.00011528i,0.00093893+0.00084633i,0.00082669+0.0010506i,0.00088783+0.00034887i,0.00097563-0.00031619i,0.00039503-0.00053573i,-0.00064984-0.00060216i,-0.00072776-0.0010005i,3.0044e-05-0.00075842i,0.00043341-0.00016268i,0.00061365-9.7664e-05i,0.00069074-0.00057193i,0.00078825+0.00031968i,0.00019832+0.0010977i
-0.00047039-0.00114i,0.00030795-0.0013928i,0.00019327-0.00063282i,-0.00072014+0.00049938i,4.6536e-05+0.00071765i,0.0013828+0.00063476i,0.0013047+0.00060039i,0.00044729+0.0007602i,9.9364e-05+0.00076329i,0.00047223+0.0012943i,0.00069616+0.0011052i,0.00068736-0.00043405i,0.00034724-0.00066414i,-0.00021161+0.00058435i,-0.0006233+0.00079756i,-0.00045956+0.00022283i,-0.00014394+0.00010513i,0.00026214+0.00016935i,0.00062858-0.00028499i,0.00039388-0.00061608i,-0.00010774-0.00022324i,-0.00012711+0.00071159i,-0.00030387+0.00063759i
0.0023987+0.0018623i,0.0027316+0.0020638i,0.0037807+0.00081128i,0.0023454-0.00067127i,0.0004307-0.0010112i,-0.00060871-0.00055274i,-0.00059126+0.00048342i,2.0413e-05+0.0010172i,0.00061465+0.0007127i,0.00076119+5.7271e-05i,0.00086658-0.00017379i,0.001108-0.00056696i,0.0016728-0.0015308i,0.0018462-0.0019459i,0.00066685-0.0016142i,-0.0004826-0.0011118i,-0.00061329-0.0006479i,0.00047791-0.00019115i,0.00057439+0.00038717i,0.00028137+0.00068454i,0.00070103+0.00032762i,0.00082986+0.00019473i,0.00059002+0.00014189i
0.00072601+0.0032196i,0.00082215+0.0027634i,0.00059123+0.0016094i,0.0003297+0.0002548i,-0.00019161-0.00022549i,0.00050661+0.00017422i,0.00056249+0.0013344i,0.00014871+0.001741i,0.00049643+0.0013292i,0.00073675+0.0011988i,0.00079586+0.0015163i,0.0011339+0.00047603i,0.0015936-0.00058471i,0.0018308-0.00054374i,0.0018772-0.00047326i,0.00073756-0.00028742i,0.00014244-0.00042837i,0.00069485-0.0010687i,0.00046944-0.0010774i,-0.00029163-0.00037641i,-0.00015595+0.00068058i,-9.6884e-05+0.00073133i,-1.0162e-05+0.00024594i
-0.0010581+0.0004301i,0.00044269+0.00083468i,0.0017739+0.0004869i,0.00071484+0.00052141i,-0.00037452+0.00014831i,-0.00044486-0.00028749i,-0.00022365+0.0002627i,0.00053088+0.0004955i,0.0013003+5.3709e-05i,0.00098391-2.1785e-05i,0.0012281+0.00056248i,0.0014139+0.00045744i,0.00087698+0.00041568i,0.00040897+9.0624e-05i,0.00033224-0.00028934i,-0.0001466-0.00044672i,-0.00053514-0.0002186i,-0.00051928+0.00016989i,-0.00025374+0.00012187i,-0.00024705+0.00041323i,-0.00048791+0.00064483i,0.00036099+0.0002697i,0.00072065-0.00014057i
0.00087145+0.00039846i,-0.00011175+0.0013056i,0.00023697+0.00054053i,0.0007627-0.00034736i,0.0009179+0.0003337i,0.0001084+0.0011399i,-0.00029031+0.0011966i,0.00050315+0.00095378i,0.00071518+0.00064346i,0.00090414-0.00059259i,0.0017163-0.0013243i,0.0013948-0.00026835i,0.00065166+0.00016336i,0.00073812-5.9257e-05i,0.00062513+0.00019697i,4.1954e-05+5.6482e-05i,8.986e-05-0.00011986i,-0.00012333+4.9137e-06i,-3.9811e-05+0.00033636i,0.0010402+0.00056362i,0.00093449+0.00064874i,0.00023815-0.00028021i,0.00025844-0.0007119i
-0.0028812-0.00049821i,-0.0028409-0.00050811i,-0.001688-0.00047768i,-0.00092563-0.00019995i,-0.0002276+5.3074e-05i,0.00043792+0.0003005i,0.00053408+6.651e-05i,0.00079759+0.0004502i,0.0010344+0.0012432i,0.00059485+0.00047095i,0.00021661-0.00033661i,0.00060919-0.00017572i,0.00095509-0.0002225i,0.0010545-0.00043423i,0.00070053-0.00044388i,0.00060431-0.00057322i,0.00029353-0.00040214i,-0.00025862-0.00038262i,0.00018885-0.00092136i,0.00081991-0.00053419i,0.00070601-0.00011806i,0.00033102+0.00036542i,-0.00022334+0.00038077i
-5.1982e-05+0.00058096i,-0.00043486+0.0012621i,-9.8244e-05+0.00062027i,-0.00047335+0.00083239i,-0.00073612+0.00071431i,0.00029317+0.00021726i,0.00092294+0.00076121i,0.0010669+0.0011928i,0.0013115+0.0007943i,0.0016754+0.00024439i,0.0013105-0.00021051i,0.00078947-0.00064231i,0.0001938-0.00020633i,-0.00032877+0.00050669i,-0.00013363+4.6204e-05i,0.00029823-0.00057789i,0.00039859+0.00021044i,0.00057488+0.00085899i,0.0011421+0.00075827i,0.00067426+0.00020468i,0.00017767-0.00041016i,7.4302e-05-0.0001484i,-0.00043353+0.00011637i
-0.0040742+0.00041262i,-0.0043312+0.00033914i,-0.0043157+0.00087085i,-0.00198+0.00097936i,2.7765e-05+0.0011719i,0.00045399+0.00071994i,0.00050483-0.00019917i,0.00067426+0.0002473i,0.00015035+0.0013004i,0.00077987+0.0011691i,0.0017214+0.0010903i,0.0012706+0.0011261i,0.00063502+0.00071582i,0.00060892+0.0002307i,0.00075409-0.00024063i,0.00073116-0.00011063i,0.00073951+0.00055953i,0.00054408+0.00020119i,0.00068213-0.00051112i,0.00024656-0.00044487i,-0.00035355-0.0004054i,-0.00052693-8.927e-05i,-0.00056104+0.00018788i
-5.2713e-05+0.0011471i,9.9643e-05+0.0013412i,3.2336e-05+0.0016173i,1.6044e-05+0.0011841i,0.00024327+0.00099463i,0.00030334+0.00027381i,-9.781e-05+0.00046138i,0.00016119+0.0012491i,0.00023966+0.0019204i,-6.3762e-05+0.0020004i,0.00046527+0.00069478i,0.00070196+5.1157e-05i,0.00044874+0.00056745i,-0.00012487+0.00067195i,-0.00016949+0.00016282i,0.00057599+1.8689e-05i,0.00067784-0.00024638i,-0.00037752-0.00088737i,-0.00036091-0.00084124i,-0.00031561-0.00052609i,-0.00033851+1.3541e-05i,0.00032221+0.00033985i,7.0603e-05+0.00048446i
