-0.0022109+8.8647e-05i,-0.0020511-0.0010635i,-0.0015124-0.0010121i,-0.0014937-5.2184e-05i,-0.0010501-6.3907e-05i,-0.00016508-0.00011159i,7.7922e-06+0.00053177i,0.00045289+0.0010363i,0.0012475+0.00026874i,0.00046792-0.00064221i,0.00024224-0.001041i,0.00039984-0.0012897i,3.3576e-05-0.0011481i,5.4398e-05-0.00084652i,-9.3484e-06-0.00072025i,-0.00046742-0.0006303i,-0.0005337-0.00039118i,7.9679e-05-0.00021914i,0.00079394-5.9147e-05i,0.00034698-0.00026825i,-0.00054256-0.00010716i,-0.0013755+0.00052433i,-0.00085778+0.00036237i
-0.0018617+0.0002064i,-0.0027225-0.00013744i,-0.0025438+0.00043674i,-0.0010931+0.0012745i,0.0011484+0.0008501i,0.0019283-0.00054077i,0.0013043-0.00046971i,0.0010302+4.7265e-05i,0.00034402+0.00015807i,0.00036293+2.3726e-05i,0.0005553+0.00022229i,-9.6747e-05-6.5045e-05i,-0.00061882-0.00013926i,-0.00097204+0.0001365i,-0.0012775-9.4588e-05i,-0.00085413-0.00066693i,0.00018291-0.00076051i,0.00064726-0.00046572i,0.00069261-3.7908e-05i,0.00022744+0.00032155i,-0.00049097+0.00031158i,-6.2042e-05+0.00018747i,0.00048735+0.00053844i
-0.0014132-0.00066663i,0.00011606-0.00053788i,0.00089139+0.00067971i,0.0011325+0.0017604i,0.0018114+0.00081774i,0.0028605-0.00020902i,0.0028069+0.00022829i,0.0011493+0.00017795i,0.00022726-0.00016254i,0.00071865+0.00015729i,0.00070079+0.00035959i,0.00057611-0.00040796i,0.000912-0.00082178i,0.00084758+1.1085e-06i,0.0005416+0.00049186i,6.6793e-05-0.00030353i,-6.9961e-05-0.00094052i,0.00053237+0.00031441i,0.00053427+0.00087133i,-0.00013478-0.000658i,-0.00031609-0.0011729i,-0.00013549-0.00062407i,-0.00045551-0.00073468i
0.00099318-0.0012286i,0.0010649-0.0012437i,0.00045676-0.00043065i,-0.00062431+0.0012263i,-0.00037387+0.0022507i,0.00090648+0.0013893i,0.001732-6.6844e-05i,0.0011965-0.0011061i,0.00030755-0.0014208i,4.2494e-05-0.001066i,-0.00026645-0.00023745i,-0.00071439+0.00039824i,-0.0011175-0.0004193i,-7.8259e-05-0.00095788i,0.00041894-0.00047574i,0.00059649-0.0001504i,0.00098622-0.00041025i,0.00045236-0.00035656i,0.00022901+1.337e-05i,0.00049251+0.00027464i,0.00048902+0.00041174i,0.00021504-1.0326e-05i,9.0443e-05-0.00027764i
-0.00045267+3.6881e-05i,-0.0018002-0.0001032i,-0.0017761-0.0014385i,-0.0003952-0.0022764i,-0.00014106-0.0020534i,-0.00054764-0.00179i,-0.00072381-0.001165i,-0.00067632-0.00039127i,-0.00041424-0.00030531i,0.00066268+0.00018727i,0.0010674+0.00028606i,0.00050672-0.00036242i,0.000522-0.00092366i,0.00091779-0.00118i,0.0010099-0.00077081i,0.00080112-0.00021852i,7.9877e-05+0.00014982i,-0.00043877+0.00048106i,-0.00081582+0.00080098i,-0.00039934+0.00057955i,0.00044955+0.00027519i,0.0007135+0.00010951i,0.0010575+5.726e-05i
0.00097471+0.00049594i,0.00042824+0.00049109i,1.0846e-05+0.00094685i,0.0002699+0.0017333i,0.0015828+0.00079767i,0.0024189-0.00091763i,0.0012193-0.0013617i,0.0001959-0.0012319i,1.0576e-05-0.00050343i,-9.9394e-05+0.00068579i,-0.00035465+0.00055881i,-0.00047037+7.9336e-05i,-0.00070709+0.00071957i,-0.00057345+0.00096927i,0.00040179-0.00094193i,0.0014449-0.00090995i,0.0018672+0.00087921i,0.0012804+0.00096605i,0.00037283-0.00012917i,-0.00018667-6.3335e-05i,0.00011763+0.0006225i,0.00079197+0.00033548i,0.0017189-0.0002423i
-0.00096789+6.8417e-05i,-0.0011144+5.539e-05i,-0.00052762-7.6677e-05i,-0.00049332+0.00047623i,-0.00020609+0.0011641i,0.00027965+0.0014683i,-7.2289e-05+0.0010024i,-0.00024944+0.0006471i,0.00059599+0.0012961i,0.0013914+0.0018668i,0.001132+0.0013854i,0.00062084+0.00060077i,0.00035918+0.00052427i,0.00048482+0.00099677i,0.0007376+0.00062741i,0.00086202+0.00048109i,0.00080025+0.00047212i,0.00051382+0.00017708i,0.00042601-0.0003302i,0.00035084-0.00044141i,-0.00054169+0.00031978i,-0.0011839+0.00083687i,-0.00044827+0.00066764i
0.0010631-0.0029162i,-0.00058518-0.0039405i,-0.0019433-0.0038567i,-0.0027287-0.0020152i,-0.0011459+0.00065869i,0.0013972+0.0011782i,0.0023203+0.00024423i,0.0020582-2.0329e-05i,0.001475-8.352e-05i,0.00035361-0.00052466i,-0.00022497-0.00048196i,-3.912e-05+0.00033978i,-5.7164e-05+0.00062107i,1.1005e-06+0.00096268i,-6.6972e-05+0.0019984i,-0.00022969+0.0019504i,7.7848e-05+0.0009211i,0.0002901+0.0005031i,0.00034603+0.00033991i,0.00059314-0.00018754i,0.00022721-7.7158e-05i,-0.00080963+0.00037836i,-0.0016662+0.00045875i
-0.001766-0.0029344i,-0.0033647-0.0024393i,-0.0037564-0.0016484i,-0.0026492-0.0012211i,-0.0010728-0.00032895i,0.00042542+0.0003622i,0.00085358-7.8248e-05i,-0.00018198+6.6732e-05i,-0.00089539+0.00085528i,-0.00021437+0.00057138i,0.00077141+0.0002252i,0.0003876+0.00082988i,-0.00013156+0.00089234i,5.3934e-05+0.00057776i,-0.00059516+0.00072368i,-0.00075247+0.00024088i,-0.00057334-4.8244e-05i,-0.00074211+0.0006745i,-0.00035438+0.00056252i,-0.00048729-0.00029616i,-0.00023738-0.00064277i,0.00032582-0.00031987i,-0.00015535-0.0001183i
0.001915-0.00033719i,0.0016646-0.0007167i,0.001124+0.0008634i,0.00096398+0.0021701i,0.0018302+0.0015219i,0.0027774+0.00081996i,0.0027078+0.00033401i,0.0015153-0.00025027i,0.00063321+1.3706e-05i,0.0005328+0.00032294i,0.00044418+0.00068547i,0.00068921+0.0004641i,0.00044998-0.00073549i,-0.00042704-6.4088e-05i,-0.00074197+0.00087831i,0.00010842+0.00066931i,0.00050196-4.9727e-05i,0.00055778-0.00023177i,-0.00011641+0.0011017i,-0.00057801+0.0011418i,0.00025197-0.0003193i,0.00035326-0.00079331i,-0.00026729-0.00025737i
0.0014606+0.00069199i,0.0027577-0.00011882i,0.0033911-0.0010073i,0.0036169-0.00092572i,0.0020221-0.0011015i,0.00022792-0.00071507i,-0.00025429+0.00096569i,-0.00046529+0.0017112i,-1.8291e-05+0.00066213i,0.00051274+0.00021699i,0.00063582+0.00028564i,0.00053035+0.00010778i,0.0004459+0.00010245i,0.00034164-0.00028691i,-0.00042835-0.00020018i,-0.0012077-0.00020187i,-0.0011068-0.00051762i,-0.00018862-0.00090813i,0.00056165-0.00038331i,0.00058883+0.00057181i,6.816e-05+0.00057788i,-0.00018382+0.00079166i,-0.00025252+6.5926e-05i
-0.0010015-0.00157i,-0.0020782-0.0027408i,-0.0031167-0.0027809i,-0.0035092-0.0010493i,-0.00114+0.00090912i,0.0015796+0.00034747i,0.0016662-0.0014051i,0.00087724-0.0015575i,2.1363e-06-0.0011133i,-0.00060022-0.00057711i,-0.0011618-0.0010973i,-0.00071721-0.0012665i,0.00053558+1.8943e-05i,0.00069978+0.00032959i,0.00081703-7.8258e-05i,0.00092179-0.00089828i,0.00012706-0.0012186i,0.00054503-0.00058735i,0.0010531+0.00023219i,0.00070915+0.00017251i,0.00039024-0.00028569i,0.00032979-0.00041439i,0.00045214-0.00076934i
-0.0010711-0.00040894i,-0.00090492-0.0006487i,-0.00084481-0.00037444i,0.00040765+0.0013797i,0.00093001+0.0030138i,0.00024059+0.0027117i,0.00046651+0.00163i,0.00031031+0.0011196i,-0.00038495+0.000557i,-0.00082853-0.00018147i,-0.0006643-0.00031781i,-0.00051142-2.4325e-06i,-0.00068511-0.00035802i,-0.0008165-0.00056668i,-0.00011907-0.00029262i,0.00073278+0.00017358i,0.00026245+0.0004259i,-0.00043497+7.6115e-05i,-0.00071688+2.4916e-05i,-0.00097496-0.00019305i,-0.00080047-0.00043484i,-0.00028392-0.00080354i,0.00070449-0.00029761i
0.0007327-0.00053815i,-0.00068854-0.00076325i,7.4514e-05-0.00086331i,0.00068864-0.00013656i,0.00046488-0.00051139i,0.00046273+0.00013278i,0.00060405+0.00016103i,0.00088509-0.00054453i,0.00026359-0.00014587i,-0.0005235-0.00027498i,-0.00028722-0.00030367i,0.00018526+0.00051945i,3.0213e-05+0.0010645i,-0.00016885+0.00040858i,-0.0001573+0.00037182i,0.00029529+0.00029625i,0.00035438-7.073e-05i,0.00046044-0.00014254i,0.00018585+0.00011886i,1.4169e-05+0.00065422i,0.0007366+0.00017553i,0.0016598-0.00097099i,0.0017276-0.0005928i
0.00022162-0.0029817i,0.00056158-0.0039575i,-0.00060875-0.0028292i,-0.00020148-0.00074752i,0.0015128+0.0008868i,0.0019314+0.0013466i,0.0015689+0.00062261i,0.0018845-0.0003039i,0.0021656-0.00030933i,0.0014085+0.00043995i,0.00076338+0.00123i,0.0019266+0.001255i,0.0024972+0.00020211i,0.0018184-0.00053615i,0.0015046+0.00018678i,0.0010438+0.00084109i,0.0010688+0.00093973i,0.00093968+0.0010999i,0.00062523+0.00060353i,0.0006069+2.3848e-05i,0.00057931+0.0001099i,0.00056909+0.0007154i,0.00078567+0.00059786i
0.001099-0.0015813i,-0.00085906-0.003044i,-0.0024826-0.0031883i,-0.0023662-0.0015891i,-0.0010161-0.00053058i,9.1084e-05-0.00064779i,0.00013796-0.00055182i,0.00034802-0.00040285i,0.000741-0.0013831i,0.00043929-0.0013566i,-0.00012876-0.00038719i,-0.00021782-6.9041e-05i,0.00049004+0.00033322i,0.0010828+0.0010415i,0.00070323+0.0014141i,0.00052661+0.00095688i,0.00066359+0.00054428i,0.00074573+9.3482e-05i,0.00036399-0.00032946i,0.00066856-0.00013418i,0.00090044+0.00015973i,0.00055403+9.4746e-06i,0.00054869+0.00044413i
0.00049265+0.0043712i,0.00099201+0.0042879i,0.0022975+0.0047717i,0.0027249+0.0040286i,0.0030647+0.0022619i,0.0021986+0.0010957i,0.0002097+5.201e-05i,-0.00079638-0.0015339i,-0.0011718-0.001529i,-0.00029996-0.00031554i,-0.00045845+0.00045749i,-0.0013587+0.00010976i,-0.00095376-0.00040699i,-0.00066495-0.00059806i,-0.0010242-0.00051045i,-0.00073134-0.001081i,0.00012287-0.0013256i,-0.00012571-0.00026527i,-9.5992e-05+0.00082748i,0.00016612+0.0011209i,-0.00047919+0.00034158i,-0.00070825+9.7991e-05i,-0.00060117-9.419e-05i
-0.0005053-0.0027794i,-0.00081312-0.0019129i,-0.00087511-0.0014909i,-0.00079179-0.00051491i,-0.0009459+0.0002261i,-0.00085824+0.0012289i,-0.00027348+0.0012967i,3.6668e-05+0.00042665i,-0.00053792+0.00014856i,-0.00089593+0.00053613i,-0.00087381+0.00053695i,-0.00045905+0.00097674i,-0.00049153+0.001422i,-0.00048596+0.001171i,-3.0094e-05+6.5584e-05i,-0.00035084-0.0013921i,-0.00106-0.001201i,-0.0010842-0.00085268i,-0.00033978-0.00054441i,0.00038079+4.709e-05i,0.00029657+6.3363e-06i,-0.0012145+0.00047476i,-0.0020876+0.00052242i
-0.00069261-0.0019057i,-0.00039284-0.002358i,-0.00056816-0.0016224i,-0.0011589-0.00072392i,-0.00060027-0.00036286i,0.00047078-0.00027167i,-0.00033607+0.00056704i,-0.00078882+0.0011691i,0.00044633+0.0012238i,0.00071931+0.0011654i,-4.7168e-05+0.00091442i,6.3232e-05+0.0014208i,0.00015357+0.0011692i,-9.6156e-05-0.00026109i,-0.00063035-0.00087324i,-0.00010735-0.00066026i,0.0005398-0.00017123i,0.00030673+0.00016626i,-0.00021578+0.00027288i,4.0227e-05+0.00015598i,0.0004039+0.00027061i,4.4902e-05+8.7404e-05i,-0.00039936-0.00060232i
0.0038119-0.00033324i,0.0036487-0.0011168i,0.0024474-0.00020029i,5.5285e-05-0.00015381i,-0.0010167-0.00087614i,-0.0008234-0.00018754i,-0.00059453+0.0010966i,-0.00031283+0.001147i,0.0001387+0.00023095i,0.00049588+6.5171e-05i,0.000445+2.513e-05i,-0.0005561-0.00061873i,-0.00076357-0.00028676i,-0.00019959-0.0001761i,7.095e-05-0.0004346i,0.00050956-0.00058747i,0.00071517-0.00097083i,9.2491e-05-0.00044988i,-0.00046949+0.00011248i,0.00023258-0.00012054i,0.00084248-0.0002183i,0.00046182-0.00029891i,-0.00036201-0.00013359i
-0.00022222-0.000269i,-0.001077-0.00040914i,-0.00047204+0.0012778i,0.001363+0.0027382i,0.003216+0.0028425i,0.0033159+0.0022528i,0.0022945+0.00078167i,0.0010345-0.00068504i,0.00013454-0.0010715i,-8.3022e-05-0.00085377i,-0.00011216-0.00081498i,-0.00037245-0.00071344i,-6.8985e-06-0.001643i,0.00081114-0.0021896i,0.00079712-0.0018409i,0.00092011-0.0014879i,0.0011394-0.0010902i,0.00036239-0.00040713i,-0.00050443+0.00012186i,-0.0011669-0.00017673i,-0.0010073-0.00076355i,0.00025067-0.0009603i,0.00020388-0.0005637i
-0.0014335-0.00022046i,-0.0017937-0.00029098i,-0.0015874+0.00030792i,0.00018809-3.5201e-05i,0.0017749-0.00071083i,0.0015215-0.0010968i,0.0007309-0.00071534i,-0.00061277+1.5043e-05i,-0.0013536+0.00039066i,-0.00102+0.00011803i,-0.00095609+9.9957e-05i,-0.00071376+1.7237e-05i,0.00022944-4.0481e-05i,0.0011495-0.000631i,0.0013238-0.00096568i,0.00085123-0.00033834i,0.00048455-0.00041761i,0.0013157-0.0010766i,0.0012376-0.00063781i,0.00021799-0.00028259i,2.7349e-05+0.00013606i,0.00043517+0.00098293i,0.0011241+0.00090425i
-0.0027783-0.002254i,-0.0026503-0.0017123i,-0.002401-0.00017727i,-0.0023373+0.00097468i,-0.00042537+0.0016277i,0.0015629+0.0010301i,0.00055508-3.1091e-05i,-0.0002403-0.00018127i,0.00025431+0.0010567i,-6.5055e-06+0.0017847i,-0.00039308+0.0018795i,0.00045462+0.0011876i,0.0013659+0.00023466i,0.0016864-0.00029621i,0.0016406+0.00022565i,0.00068482+0.0016064i,0.00027705+0.002319i,0.00015667+0.0020602i,-0.00049517+0.0013879i,-0.0005305+0.0011802i,-0.00041525+0.0012253i,-0.00069504+0.00083416i,-0.00043679+0.0008157i
0.0016744-0.0019663i,-0.00037523-0.00054803i,-0.0010961-0.00019453i,-0.00037868+0.00074176i,-0.00033213+0.0015847i,6.775e-05+0.0012158i,0.00090696+0.00080084i,0.0014387-0.0001969i,0.0013036-0.00051592i,0.00099895+0.00035443i,0.0011117+0.0013241i,0.0012811+0.0014619i,0.0014268+0.0011297i,0.001214+0.00075423i,0.00030686+0.0011703i,-0.00024404+0.0015027i,0.00024723+0.00066231i,0.00041475+2.6601e-05i,0.00028931+3.154e-05i,-0.00021755+0.00011038i,-0.00070132+0.00037929i,-0.00051783+0.00063518i,0.00017524+0.00025018i
0.00059049-0.0011618i,-0.00022715-0.0027938i,-0.0010578-0.0035569i,-0.00024953-0.0027433i,0.0016724-0.00076125i,0.0019506+0.00033725i,0.0016505+0.00020693i,0.001667-0.00013743i,0.00080827+5.5986e-05i,-0.00039684-0.00065869i,-0.00059491-0.0005339i,9.8875e-07+0.0011221i,0.00018016+0.0014349i,0.00057922+0.0010463i,-9.0475e-05+0.00057962i,-0.0012416-0.00048914i,-0.0015302-0.00090533i,-0.00094331-0.00049574i,0.0005419-0.00021542i,0.0010752+0.00035122i,0.00044678+0.00027563i,0.00021994+2.8998e-06i,0.00087708+0.00011138i
-0.0039658+0.0010424i,-0.0044676+0.00083758i,-0.0040748+0.0016755i,-0.0027305+0.0031766i,0.00011079+0.0032836i,0.0020165+0.0021746i,0.0014718+0.00085406i,0.0001995+0.00012033i,-0.0010464+0.00032675i,-0.00052779+0.00017988i,0.00042938+0.00033476i,0.0004585+0.00055882i,0.00091577+0.00017291i,0.00065681-0.00063264i,0.00011129-0.0016758i,-0.00011635-0.0023839i,-0.00077643-0.0016301i,-0.0011791-0.00064986i,-0.0011385-0.00044061i,-0.00060497-0.00069144i,0.0001262-0.00080241i,2.1695e-05-0.00082147i,-5.5314e-06-0.0010476i
0.0002171-0.0013238i,0.0012335-0.0014823i,0.0010415-0.001405i,0.00085467-0.00025308i,0.0016625+0.0014636i,0.0027673+0.0018115i,0.0020487+0.00035912i,0.00047981+0.00035724i,-0.00076721+0.0011743i,-0.0013344+0.0018811i,-0.00066319+0.0019519i,-0.00032448+0.0015374i,-5.1542e-05+0.0013106i,0.00046407+0.00018814i,0.0010428-0.0013725i,0.00076636-0.0021242i,0.00014235-0.0018183i,-0.00042663-0.00096681i,-0.0005596-0.00037687i,-0.00030797+3.7494e-05i,0.00014216+0.00043064i,1.2595e-05+0.00032871i,-0.00027827-0.00013006i
-0.0012886-0.0013305i,-0.00065121-0.0018168i,-0.00021436-0.00079292i,3.8255e-05+0.00054928i,0.00082292+0.0013609i,0.0019051+0.0012796i,0.0022753+0.00028045i,0.0015179+3.7329e-05i,0.00066915+0.00094648i,0.00053599+0.0011256i,0.00083216+0.00044545i,-0.00019707+0.0005959i,-0.00071048-0.00015202i,0.00065763-0.0010569i,0.0013259-0.00093553i,0.00098973-0.00099106i,0.00031652-0.0011547i,6.0586e-06-0.00098595i,0.00015362-0.00022885i,9.3366e-05-3.056e-05i,0.00039068-0.00046518i,0.00084187-0.00055565i,0.00041822-0.00039498i
0.0014855-0.0024396i,0.00050823-0.0028055i,-0.00062961-0.001637i,-0.00095435-0.0015809i,-0.00086992-0.0023246i,-0.00066157-0.0021105i,-0.0007039-0.0011044i,-0.0013329-0.00046945i,-0.00091724-0.00054741i,8.9058e-05-0.00042053i,-0.00026189-0.00067196i,-0.00066894-0.00084982i,-0.00019333+6.3737e-05i,0.00010523+0.00051377i,0.0003418+9.6352e-05i,0.00031539-0.00076301i,0.00030949-0.00068095i,-0.00019682-0.00026624i,-0.00073477-0.00012338i,-0.001033+4.3863e-05i,-0.0013932+0.00017726i,-0.00095131+0.00050899i,-0.00050485+0.0005871i
-0.0024776+0.00040495i,-0.0030097+0.002028i,-0.002599+0.0026614i,-0.0010563+0.0033591i,0.00066203+0.0041164i,0.0016699+0.0030641i,0.0022501+0.0012051i,0.0015413+0.00018666i,-2.0081e-05-0.00010458i,-0.00076157+0.00027794i,-0.00057446+0.00029257i,-5.5929e-05-0.00022503i,0.00072219-0.0010442i,0.0014592-0.0010899i,0.0014591-5.0393e-05i,0.0013796+0.0011147i,0.0011541+0.0012781i,0.00033294+0.00051913i,-0.00038365-0.00010627i,-0.00030845-0.00083617i,0.00037211-0.0010329i,0.00029829-0.00053721i,-0.00026077-0.00034549i
-0.00062379-0.00032113i,-0.00021752-0.00063056i,-0.00030155-0.00067625i,-0.00051221-0.00048154i,-0.00045907+0.00032307i,1.2547e-05+0.0011466i,0.00039042+0.0013114i,2.7274e-06+0.00094652i,-0.00079978+0.0015206i,-0.0012575+0.0016949i,-0.00023468+0.00064065i,0.00072665-0.00020802i,0.0010251+0.00040815i,0.001345+0.0013066i,0.00054601+0.0013664i,-0.00013993+0.00094006i,-0.00013334+7.8221e-05i,0.00012884+2.8412e-07i,0.00056821+0.00037115i,0.0010697-0.00014036i,0.00093403-0.00045238i,3.9201e-05-0.00013396i,-0.00024372-0.00070729i
-0.0012499-0.0045479i,-0.0020499-0.0062341i,-0.0026811-0.0045524i,-0.0014067-0.00059476i,0.00087731+0.00084117i,0.0028313+0.00089406i,0.0026737+0.00088069i,0.0012315+0.00071257i,0.0011122+0.0003473i,0.0017721-0.00033433i,0.00080296-0.00017832i,0.00040878+0.00012733i,0.0012422-0.00013886i,0.00095899-0.00067866i,0.00026598-0.00040747i,-0.00041064-0.00014166i,-0.0009379-0.00043617i,-0.0011258-0.00059745i,-0.00033161-0.00042256i,0.00036085+0.00017444i,0.00049445+0.00023816i,0.00055444+5.3045e-05i,-8.4902e-05+0.00014767i
-0.00037418-0.0018562i,-0.0010829+0.00030342i,-0.0017445+0.0029953i,-0.0008432+0.0033393i,0.00062755+0.0011283i,0.00089508-0.0011292i,0.0010437-0.0019664i,0.0022143-0.0017963i,0.0022864-0.0015692i,0.0011434-0.00077782i,0.00078865-6.0775e-05i,0.0015786-0.00027272i,0.0019101-0.00074383i,0.00051778-0.0012676i,-0.00074075-0.0021262i,-0.00049245-0.0027866i,-0.00053728-0.0020364i,-0.0010961-0.0012529i,-0.00067907-0.00053302i,9.5112e-06+0.00018553i,-0.00021711+0.00013622i,-0.00010198+2.6011e-05i,0.00027712+8.0944e-05i
-0.00055033-0.0029639i,-0.00038642-0.0028557i,0.0001171-0.0013761i,0.0013292-4.3033e-05i,0.0020748+0.0012421i,0.0021853+0.0018844i,0.00017061+0.00070636i,-0.0013551-0.00066065i,-0.00058823-0.0010099i,0.00026422-0.00065278i,0.00040408-5.7234e-05i,0.00039854+0.00085621i,0.0004738+0.0018815i,0.00073521+0.0012759i,0.00089854-0.00049004i,0.0008714-0.0014236i,0.00029106-0.0017634i,0.00031123-0.001093i,0.00063994-0.00018325i,0.00035047+4.897e-05i,0.0006443+0.00046294i,0.0017666+1.5591e-05i,0.0016938-0.001048i
0.0010761+0.0034196i,0.00091114+0.0030266i,6.3781e-05+0.0020072i,0.00045406+0.00092965i,0.0016999-9.3567e-05i,0.0016853-0.00023743i,-0.00050364-0.00037604i,-0.0020249+1.4838e-05i,-0.0016545+0.0011507i,-0.00040116+0.00094927i,0.00037346+0.0011465i,0.00044311+0.0018126i,0.00054591+0.0013304i,0.0010137-0.00073066i,0.0016579-0.002075i,0.0019131-0.0018379i,0.00095359-0.00065151i,-1.6922e-05-0.00024606i,-0.00046553-0.00076932i,-0.00059156+0.0001639i,5.0432e-05+0.0016495i,0.00074125+0.0014027i,0.0003212-0.00016759i
0.0037034-0.004473i,0.0035987-0.0057749i,0.0011027-0.0047255i,-0.0010786-0.00092832i,-0.0013904+0.0017847i,-0.00028139+0.0017431i,-0.00018482+0.0017883i,-0.00034791+0.0020376i,-0.00055264+0.0017376i,-0.00043408+0.0012547i,-0.00051623+0.00063584i,-0.001363+0.00020291i,-0.00043155+5.7369e-05i,0.0011092+0.00031399i,0.0016519+8.9514e-05i,0.0019931-0.00065612i,0.0023241+5.6541e-05i,0.0023257+0.00032467i,0.0013845-0.00027408i,0.00068282-0.00012292i,-4.9833e-05+0.00015135i,-0.00051151+0.0004415i,-0.00039177+0.00060427i
-0.0013751+0.0045591i,-0.0024124+0.0057566i,-0.002788+0.0055777i,-0.0013803+0.0036645i,-0.00023791+0.0019542i,0.00079067+0.0015214i,0.0023505+0.0010562i,0.0031553+0.001222i,0.0020343+0.001926i,0.00049218+0.0021084i,-0.00065106+0.0012258i,-0.0010986-0.00012618i,-0.0009133-0.00043589i,-0.00020645-0.00024338i,0.0014004+0.00090077i,0.0020733+0.0018543i,0.0011321+0.001318i,0.00075984+0.0010951i,0.0010718+0.00099892i,0.00034861+0.00067894i,-0.00064021+0.00067456i,-0.00068401+0.00048702i,-0.00038041-0.00018124i
-6.8041e-05+0.0026056i,0.0017478+0.0021342i,0.0028675+3.8989e-05i,0.0030214-0.0021721i,0.0022226-0.0015339i,0.0014407-0.00094871i,0.0021606-0.0015923i,0.0022019-0.0018456i,0.001057-0.0018486i,0.0012551-0.0012871i,0.00075339-0.00043787i,-0.00065088+0.00019043i,-0.0014651+0.00018053i,-0.0015021+4.4722e-05i,-0.00055653+0.00041944i,0.00024352+0.00066342i,0.00032131+0.00065703i,0.00048324+0.00067917i,0.00063058+0.00084764i,0.0004882+0.00094555i,0.00013313+0.0010496i,-0.00033824+0.0014252i,0.00043814+0.0010833i
-0.0046972-0.00038122i,-0.0048189-0.00071934i,-0.0029374-0.00039855i,-0.00078436+0.00024291i,0.00046882+0.00093914i,0.00059778+4.5877e-06i,-0.00029748-0.0017046i,-0.0010067-0.0019768i,-0.0014727-0.001407i,-0.0012244-0.0010906i,-0.00049844-0.0010837i,0.00032066-0.0016153i,0.00057159-0.0014243i,-0.00029095-0.0002204i,-0.00098059+0.00046904i,-0.0014989+0.0005787i,-0.0016824+0.00012431i,-0.00080172-0.00050001i,-0.00015456-0.0005521i,-0.00038313-0.0010917i,-0.00056679-0.0011032i,-0.00035736-0.00086809i,0.00022707-0.00043204i
0.00043307-0.0027992i,0.0018899-0.0050257i,0.001985-0.0032461i,0.0020916-0.00042208i,0.0024626-0.00033634i,0.00080357-0.00070026i,-0.0018287+0.0010008i,-0.0027415+0.0018374i,-0.0015337+0.00054795i,-0.0006789-0.00088613i,-2.0497e-05-0.0012559i,0.00081482-0.0014234i,0.00094441-0.0014642i,0.00037824-0.0015434i,-0.00041854-0.0014653i,-0.00083805-0.0010093i,-0.0005749-0.00062486i,-0.00095358-0.00053528i,-0.0012668-0.00044961i,-0.00041768+4.5188e-05i,0.00054864-0.00048974i,0.00051178-0.0019441i,0.00017259-0.0016398i
-8.3741e-05-0.0011679i,-0.00045029+8.6784e-05i,-0.00056465+0.0011006i,-0.00015967+0.00029224i,0.00051555+0.0002937i,0.0011182+0.0014156i,0.0010519+0.0013871i,0.00068283+0.0017659i,0.00014354+0.002825i,0.00017381+0.0017705i,0.0007455+0.00020584i,0.00076501-0.0005402i,0.00095716-0.0014829i,0.00068314-0.0024263i,-9.1994e-05-0.0018031i,-0.00058071-0.001352i,-0.00096858-0.0014011i,-0.0012976-0.00068159i,-0.0017981-3.4354e-05i,-0.00090508+0.00047558i,0.00082722+0.0005045i,0.0007498-0.00049323i,-0.00011918-0.00080535i
0.0030758-0.00025071i,0.0030868-0.0013974i,0.00078052-0.0011849i,-0.001527-0.00039423i,-0.0012747+0.00016202i,-9.0006e-05+0.00017461i,0.00076068-0.00039776i,0.00082884-0.00055626i,0.00086728+4.3879e-06i,0.0015541+0.00085057i,0.0014448+0.0011114i,0.0014671+0.0014303i,0.0012065+0.0018661i,0.00071383+0.00065936i,0.0010923-0.0017813i,0.0014743-0.0022538i,0.0011342-0.0015904i,0.0010092-0.00097931i,0.00017349-0.0004964i,-0.00099512-0.00037763i,-0.00025949-0.00052425i,0.00087619-0.00016638i,0.00024423+0.00013628i
-0.000429+0.0017818i,-0.0005477+0.0020121i,-0.00034131+0.0016998i,0.00040542+0.001127i,0.0013562+0.00047051i,0.0019639+0.00034336i,0.0012572-0.00045575i,0.0010809-0.0018307i,0.0012383-0.00128i,0.00086779-0.00044032i,0.00011622-0.00027895i,5.1504e-05+0.00078288i,0.0012921+0.0013186i,0.0024803+0.00057098i,0.0032534-0.0001875i,0.0028205-0.00017482i,0.0020627-0.00073028i,0.0012912-0.0005562i,0.00028207-0.00016766i,0.00024787-0.00029829i,0.00066459+0.0002998i,0.00097075+0.00077139i,0.0004144+0.00045476i
0.00088577-0.002038i,-0.00010081-0.0028956i,-0.0010716-0.0018447i,-0.0013321-0.00036169i,0.0006723+0.00074328i,0.0018514+0.0001009i,0.00060547-0.0013236i,-0.0008085-0.0022028i,-0.0014587-0.0020139i,-0.0017246-0.0010897i,-0.0012157-9.0713e-05i,-0.00030684+0.0012256i,0.00057763+0.0023009i,0.0016911+0.0020722i,0.0029684+0.0016112i,0.0019506+0.0015389i,0.0009491+0.00050654i,0.0012191-9.154e-05i,0.001139-0.000345i,0.00063211-0.00057032i,-0.00041625-4.7366e-05i,-0.00049149-4.8707e-05i,-0.00019839-0.00073886i
