-0.003207+0.00018381i,-0.0024292-0.00056363i,-0.0037987-6.3141e-05i,-0.0029138+0.00083675i,-0.001157+0.00096386i,-0.00040387+0.00030813i,-0.00013424+0.00023446i,-0.00010493+0.00038759i,4.9826e-05+0.00047816i,0.00024416+0.00010898i,0.00013208+0.00029065i,-0.00033911+0.00057025i,0.00020929+0.00067241i,0.00053123+0.0010316i,-0.00026609+0.00093908i,-0.0009086+0.0015602i,-0.00022466+0.0016382i,0.0008142+0.0004782i,0.0011478-0.00028988i,0.0012038+0.000346i,0.00055291+0.00027081i,-7.0662e-05-0.00061616i,-0.00027711+8.6447e-05i
0.00076119+0.00099722i,0.0007226+0.0015295i,0.00079319+0.0013036i,0.00038871+0.00098911i,0.00077071+0.0012053i,0.00099539+0.0012757i,0.00053186+0.00084775i,0.00042421-0.00031185i,0.00016558-0.00034887i,0.00035587+0.00025621i,-0.00041904-8.074e-05i,-0.0012177+0.00022108i,-0.00080289+0.00059948i,-0.0003556+9.3004e-05i,-0.0002455-0.00093512i,-0.00028917-0.00093116i,-0.00052906+0.00066696i,-0.0010283+0.00069385i,-0.0011514-2.9971e-05i,-0.0010245-0.00034359i,0.00020247-0.00057759i,0.00074279-4.585e-05i,0.0011031+0.00077014i
-0.0040821+0.00095422i,-0.0045204+0.00090442i,-0.0038111+0.001687i,-0.0020089+0.0027589i,-0.00021065+0.0020581i,0.0011106+0.0010413i,0.0013093+0.00061143i,2.4778e-05+0.00096033i,-9.5454e-05+0.00095625i,0.00027427+0.00036521i,-0.00086079-1.0729e-05i,-0.0016408+0.00016605i,-0.0012514-4.1331e-05i,-0.00081323-0.0010035i,-0.00044969-0.0015827i,-0.0008508-0.0015311i,-0.0014095-0.0012873i,-0.0013431-0.00031617i,-0.001376+0.00019544i,-0.001203-0.00011318i,-0.00071834-0.00022587i,-0.00017062-0.00036936i,0.00024049-0.00041805i
-0.0015501-0.0036399i,-0.0020689-0.0043305i,-0.0025099-0.0043301i,-0.00092546-0.002721i,-0.00015531-0.0014461i,0.00036607-0.00029917i,0.0015047-1.6021e-05i,0.00055723-0.00083461i,-0.00097638-0.001307i,-0.0018339-0.00075832i,-0.0020082-0.0006316i,-0.0011045-0.0012143i,0.00026055-0.00027572i,0.0002503+0.0010305i,-0.00098053+0.00046573i,-0.0014864-0.00075409i,-0.0011178-0.00099091i,-0.00057641-0.00083522i,-0.0001151-0.0004187i,0.00051098+0.00058848i,0.0011653+0.00073949i,0.00021895+0.00080224i,-0.00075396+0.00085906i
0.0021372+0.0018559i,0.0014508+0.0023197i,0.00057925+0.0011453i,0.00055472-8.3134e-06i,0.0011637-0.00034542i,0.00096076-0.00076699i,0.00040999-0.00078718i,-4.9558e-05-0.00029876i,-0.00099963-0.00031545i,-0.0011567-0.00042098i,-0.00082858-0.00069638i,-0.00014216-0.0010714i,5.5678e-05-0.0010535i,-0.00048025-0.00078322i,-0.00012616-0.00026573i,0.00054037-0.00049184i,0.00012287-0.00080761i,-0.00039229+0.00011858i,-0.00022563+0.00065027i,0.00014734+0.00046892i,-2.5005e-05+0.00091627i,-9.3583e-05+0.0013i,-0.00090077+0.0011312i
-3.076e-05+0.0011381i,-0.0005465+0.00086453i,-0.00078282-0.00037992i,-0.0003229-0.00048448i,0.00076905+0.00027445i,0.0016967+0.00023116i,0.0017537-0.00025784i,0.0016392-0.00042526i,0.001065-8.6988e-06i,0.00041172+0.0001383i,-0.00050004-0.00021915i,-0.00072041-7.2238e-05i,-0.00055867-0.00024403i,-0.00074331-0.00062039i,-0.00033927-0.00020735i,0.00020866-1.0711e-05i,-9.8945e-05-0.00032603i,-2.9626e-05-0.00098592i,0.00033624-0.0011249i,-0.0002582-0.00081346i,-0.00077259-0.00040971i,-0.00036807+2.6258e-05i,-0.00045029+0.00020595i
-0.001715+0.00010938i,-0.0020467-0.0002827i,-0.0010076-0.00016071i,0.00036875+0.00047789i,0.00089325+0.00033223i,0.0018459-0.00012772i,0.0017563-0.00055608i,0.0010718-0.00037692i,0.0013535-0.00040901i,0.0015716-0.00094332i,0.00088324-0.0011257i,-0.00012013-0.00039887i,-0.00024289+0.00033575i,-0.0004138+0.0001836i,-0.00048665+0.00025002i,-0.0006246+0.00024814i,-0.00055872-0.00037658i,-0.0002109-0.00051586i,0.00021676-0.00016565i,-0.00079822+3.6244e-05i,-0.0012207-0.00076961i,-0.00039303-0.00078618i,-0.00099625-0.00014073i
-0.0010139-0.0012176i,-0.00079905-0.0016714i,-0.00067334+0.00057554i,-8.2769e-05+0.00066526i,0.00092599-7.1091e-05i,0.0013279-0.00030139i,0.0011132-0.00098262i,0.0011967-0.001327i,0.0014122-0.00028471i,0.0012367+0.00020096i,-0.00015914-0.00014984i,-0.0010662+5.3112e-05i,-0.00035814+0.00066426i,-0.00016422+0.00053318i,-0.00091435-0.0002836i,-0.0014197+1.6996e-05i,-0.00065592+0.00069761i,0.00053178+0.00055307i,0.0005256+3.7937e-05i,-1.3205e-05-0.00053489i,0.00034919-0.00042459i,0.0012298+8.6884e-05i,0.0011265-6.4005e-05i
0.0018005+0.002144i,0.0025796+0.0026768i,0.001871+0.0017207i,0.0013682+0.00061166i,0.0018268+0.00041393i,0.0014225+4.2605e-05i,0.0010663-0.00016558i,0.0013874+0.00053624i,0.00025378+0.00049073i,-0.0014599-0.00037474i,-0.0023344-0.00020376i,-0.0020848+0.00016575i,-0.00093395+3.8137e-05i,-0.00036994+0.00031188i,-0.0012377+0.00075287i,-0.0016522+0.001639i,-0.0016496+0.0021038i,-0.00053773+0.0013839i,0.00058914+0.00050399i,0.00033519+0.00020967i,0.00073958+0.00043299i,0.00045097+0.00049711i,-0.00019988+0.00019972i
0.00096229+0.0042234i,0.00049938+0.0055545i,0.00097061+0.0044247i,0.0012111+0.0023735i,0.0011882+0.00096274i,0.00077756-0.00031433i,0.00058015-0.00094431i,0.00011192-0.00091254i,-0.0008969-0.00012122i,-0.0014234+0.00062636i,-0.001319+0.00054685i,-0.0005133+0.00044762i,0.00035314+0.00011568i,0.00036102-9.2884e-05i,-0.00026175-2.4452e-06i,-0.001173+0.00011638i,-0.0014019+0.00045797i,-0.00029871+0.0007959i,0.00010291+0.0010625i,9.0706e-05+0.00077026i,0.00072507+0.00043736i,0.00077627+0.0014524i,-0.00011155+0.0012843i
-0.0040606-0.00053807i,-0.0026955-0.00070298i,-0.0025204-0.00051551i,-0.0014523-0.00012408i,0.00013257-0.00016294i,0.0014584+0.00029598i,0.0016032+8.6146e-05i,0.00021367-0.00086614i,-0.0003722-0.00085095i,-0.00068707-0.00044232i,-0.00056412-0.0001297i,7.739e-05+0.00050765i,7.3698e-05+0.00068841i,0.00037762+0.00038695i,0.0011176-9.6752e-05i,0.00055062-0.00091852i,-0.00031437-0.00064238i,-9.467e-05+5.5011e-05i,-0.00037303-0.00019737i,-0.00092627+0.00044842i,-0.0011371+0.00093294i,-0.00088677+6.07e-05i,-0.00064449-4.1432e-05i
0.0017643+0.00025941i,0.0015899-0.000665i,0.0010069-0.00021119i,0.0011587+0.0012451i,0.0015847+0.0010823i,0.00080386-0.00036964i,0.00019776-0.001907i,0.00062404-0.0026932i,0.0015738-0.0024259i,0.0016144-0.0019076i,0.00096329-0.001168i,0.00061194-0.00043083i,0.00021372-0.00049712i,0.00045189-0.00075728i,0.00039025-0.00060265i,-0.00053335-0.00070479i,-0.00099144-0.00069398i,-0.00075403+6.3605e-05i,-0.00018731+0.00033176i,-0.00027597+9.776e-05i,-0.00044196+0.00014598i,-0.00039019+0.00017244i,-0.00064683+1.1089e-05i
-4.2246e-05-0.0019801i,-0.00021281-0.0021121i,-0.00039976-0.002016i,0.00063647-0.00084594i,0.0018921-9.152e-05i,0.0027092-0.00025846i,0.0023093-0.00039968i,0.001835-0.0010786i,0.0013872-0.0013617i,0.00056297-0.0012987i,0.00045437-0.00054718i,-6.3383e-05-0.00026361i,-0.00051984-0.0010677i,-0.00046494-0.0011606i,-0.00054259-0.0012709i,-8.5338e-05-0.0012271i,0.00080711-0.0005101i,0.00062182-0.00011953i,-0.00065643-1.6804e-05i,-0.0010692+0.00044231i,-0.00034107+0.00029004i,-0.0001413-6.5881e-05i,-0.00073583+8.3449e-05i
-0.0025979-0.0014225i,-0.0027525-0.0014909i,-0.0016112-0.0006116i,-0.00071342+0.00082734i,-0.0010935+0.00033131i,-0.00067101-0.00095926i,0.0008895-0.00057788i,0.0011972-0.00040884i,-0.0001018-0.00069364i,-0.0014326-0.0014296i,-0.0018201-0.00088596i,-0.0023652+0.00057285i,-0.0022512+0.00079228i,-0.00096255+0.00017071i,-0.00022398-0.00015667i,0.00053131+0.00090236i,0.0011811+0.0017047i,0.00094327+0.00062802i,0.00016937-0.00025175i,0.00017731-0.00043535i,0.00071856-0.00042353i,0.00040552-0.00081892i,-5.2988e-05-0.0016387i
0.0021973-0.0018442i,0.0027266-0.0010275i,0.0025961-0.0017784i,0.0004553-0.0023091i,-0.00099919-0.0018456i,-0.00057483-0.00013645i,-0.00029911+0.00051418i,-0.00079729-0.00019621i,-0.0017833-0.0010979i,-0.0020903-0.0012788i,-0.0016425-0.00094015i,-0.0012337-0.00051727i,-9.2767e-05-0.00061581i,1.5387e-05-0.00031035i,-0.0012005+0.0004506i,-0.0011947+0.00044488i,-0.00050033+7.0686e-06i,-0.00038031+0.00027943i,-0.00019343+0.00048628i,0.0003204+0.00039117i,0.0004017-8.6104e-05i,0.00015266+0.00040065i,-7.7606e-05+0.0015457i
-0.0010971+0.00060235i,-0.00097877+0.0020482i,-5.9501e-05+0.0024321i,0.0011384+0.0012961i,0.0022493+0.00063544i,0.0022653+0.00077247i,0.0016979-3.1397e-07i,0.00047482-0.0006137i,-0.00076601-0.00017924i,-0.0012678+0.00065411i,-0.00064624+0.0011556i,0.00032918+0.00042082i,0.0007444-0.00021803i,0.00057902+0.00086374i,0.00011634+0.001486i,-0.00039314+0.0010715i,-0.0010663+0.00058611i,-0.00067879+0.00028494i,0.00031666+2.0401e-05i,0.0010707-0.00022363i,0.0011561+0.00028659i,0.00010233+0.00084651i,-0.00010421+0.00087467i
0.00021478-0.0022728i,0.00013308-0.002254i,-0.0013258-0.0017468i,-0.0016961-0.00043686i,-0.0013124-0.00029145i,-0.0011105-0.00066507i,-0.00028164-0.00051861i,0.00071185-0.00039812i,0.00064129-0.00039952i,-0.00017529-0.00065443i,-0.0003748-0.00091054i,0.00057151-0.0010828i,0.0004586-0.001136i,-0.00037516-0.001159i,-0.0010673-0.00070162i,-0.0020568-0.00024851i,-0.0027195+0.0008034i,-0.001893+0.0014403i,-0.0003796+0.0011302i,-0.00047298+0.0010408i,-0.0015141+0.0010934i,-0.0016513+0.0014582i,-0.00038057+0.0012304i
0.0010773-0.00032624i,0.0017289-0.0010544i,0.0015555-0.0014575i,0.001285-0.0019068i,0.0002898-0.0019195i,-0.00045044-0.0016847i,0.0006059-0.0016486i,0.0012802-0.00095592i,0.00043356-0.00075661i,-0.00078919-0.00082677i,-0.00084209-0.00022339i,-0.0010148-0.00017588i,-0.00082808-0.00034032i,-2.3008e-05-8.9808e-05i,-0.00084489-0.00044902i,-0.0014357-0.00093946i,-0.001213-0.0003205i,-0.00092506+0.00047752i,-0.0015687+0.00087483i,-0.0019552+0.00077761i,-0.0011201+8.6458e-05i,-0.00053685+0.00047002i,-0.00023336+0.0012885i
0.0020929+0.00083314i,0.0018888+0.0010233i,0.0020485+0.00066419i,0.00079114-0.00070489i,-0.0002426-0.0014741i,0.00053839-0.00040347i,0.0009898-0.00028599i,0.00084908-0.00078735i,0.0005439-0.00053439i,5.7011e-05-0.00049581i,-0.00078411-0.00034767i,-0.0012504+0.00048148i,-0.0010993+0.00039786i,-0.00064292-0.0013666i,-0.00059929-0.00212i,-0.00090579-0.0014675i,-0.00024072-0.0010467i,-0.00060728-0.00081869i,-0.0016205-4.0337e-05i,-0.0015796+0.00029283i,-0.0011328-7.4261e-05i,-0.00071965-0.00079561i,-0.00097094-0.0009904i
0.00076197-0.00056059i,0.001149-0.00073742i,0.0012886-0.00074302i,0.0014353-0.00046677i,0.0005187+0.00038783i,0.00018116+0.00094515i,0.0014598+6.5659e-05i,0.0020819-0.0013014i,0.00028144-0.001407i,-0.001105-0.00042562i,-0.0012562+0.00055582i,-0.0014558+0.00067694i,-0.0018037+0.00068734i,-0.0021476+0.0013056i,-0.001341+0.001023i,3.7117e-05+0.00049169i,0.0003809+0.00057939i,-0.00080915-0.00027863i,-0.0014775-0.0013923i,-0.00090184-0.0012482i,-0.00050042-0.00099068i,-2.5934e-05-0.00082158i,0.00060831+9.9839e-05i
0.00071989+0.0018249i,0.0010149+0.0011501i,0.00030413-0.00042391i,-0.00069528-0.00069634i,-0.00015954-8.1375e-05i,0.00074147-0.00012177i,0.00034356-0.0011848i,-0.000509-0.0015528i,-0.00087736-0.0014896i,-0.00062206-0.0008396i,-7.717e-05-0.00054901i,0.00024216-0.0015909i,-0.00023067-0.0011785i,-0.00071793-0.00013385i,-0.00049464+0.00052565i,-0.00050622+0.00094906i,-0.00069713-3.7574e-05i,-4.6527e-05-0.00098213i,0.00070946-0.00074212i,0.0014991-0.00061127i,0.0013653-0.00034877i,0.00069327+0.00030671i,-1.2874e-05+0.00092856i
-0.00028527+0.000481i,-0.0021024+3.6514e-05i,-0.0011194+0.00052597i,0.00057395+0.0017213i,0.0010755+0.0013226i,0.001481+0.00098291i,0.0010749+0.00064876i,0.00072409-0.0010762i,-0.00032452-0.0012484i,-0.0016071+0.00018705i,-0.0013209-0.00024772i,-0.00022742-0.00091895i,-0.00052042-0.00030422i,-0.00089328-0.00035189i,-0.000518-0.00066035i,-0.00048606+0.00032297i,-0.00052142+0.0011558i,0.00022735+0.00077136i,0.0013018-0.00068124i,0.0013411-0.0011446i,0.00088885-0.0003903i,0.00056987-0.00022254i,0.00075333-0.00053821i
0.0020476+0.00035942i,0.0017812-0.0011455i,0.0022742-0.00097574i,0.0022145-0.0011173i,0.0017255-0.00022898i,0.0014782-0.00026398i,0.0014976-0.00099715i,0.0010425-0.00094765i,0.00040298-0.00095823i,0.00089347-0.00063013i,0.00088166-0.00028338i,0.00013505-0.00091555i,-0.00066956-0.0013013i,-0.00057584-0.00075937i,-1.5224e-05-0.0012271i,-0.00044594-0.0015913i,-0.00054023-0.0006684i,-0.00048131+9.5247e-05i,-0.00017451+0.00040817i,1.365e-05+0.00050362i,-0.00027165+6.055e-05i,0.00073313-0.00035499i,0.0012129-0.00019048i
0.0023444-0.00071825i,0.0036062-0.0011419i,0.0036418-0.0019804i,0.0024187-0.0014692i,0.0011557-0.00087912i,0.00014068-0.00013367i,0.00046505-0.00041357i,0.00099374-0.0012152i,0.0007511-0.0009354i,0.00016869-0.00036584i,-0.00026727-0.00050624i,-0.00023367-0.00035739i,0.00061211-0.00026019i,0.00021783-0.00080965i,-0.00066239-0.0015295i,-0.00055374-0.001723i,-0.00057785-0.00018831i,-0.0005888+0.0016093i,-8.9832e-05+0.0023892i,-8.4731e-05+0.0017557i,-0.00027492+0.0004964i,-0.00035549+6.9703e-05i,-0.00032242-0.00069343i
-0.0014284+0.0029002i,-0.00095352+0.0024837i,-0.00046272+0.0017683i,5.0256e-05+0.00077106i,0.001158+0.00024257i,0.0014233-0.00029121i,0.0014801-0.00085477i,0.00076088-0.00061999i,0.00014828-0.00050251i,0.00031877-0.00022013i,-0.00049864+0.0015613i,-0.0014758+0.0025075i,-0.0007722+0.0014364i,0.00058171-0.00012486i,0.00069217-0.00023258i,0.00069379-0.0002018i,0.000776-0.00058829i,0.00062839+0.00057703i,-0.00040945+0.0017282i,-0.00065574+0.0006081i,9.4343e-05-0.00023738i,0.00015467-0.00035281i,8.3237e-05+0.00042711i
0.0022443-0.0005356i,0.0024+0.00062535i,0.001826+0.00058221i,0.00095888+0.00075991i,0.00032184+0.00016443i,0.00036201-0.00059741i,0.00032736+6.0382e-05i,-0.00027592+0.00077494i,-0.00063377+3.0718e-06i,-0.0010063-0.0010719i,-0.001438-0.00083226i,-0.0016935-0.00049791i,-0.00095833-0.00068521i,-0.00016791-4.9654e-05i,-0.00013436+0.00077442i,-0.00026226+0.00035965i,-0.00064268-0.0003293i,-0.0010034-0.00030902i,-0.00089726-0.00059605i,-4.3096e-05-0.00056346i,-2.2687e-05-0.0002626i,-0.0011415+0.00034065i,-0.001122+0.001204i
-0.0018204-8.9429e-05i,-0.0021238-0.0009944i,-0.0021056-0.001103i,-0.0009941-0.0014173i,0.00017755-0.0019006i,0.001051-0.00076476i,0.0016596-0.00012745i,0.00080677-0.00079808i,-0.0011801-0.00094861i,-0.0025431-0.0007857i,-0.0029263-0.00052859i,-0.0024494-0.00068631i,-0.0018931-0.0011062i,-0.0016763-0.00068018i,-0.0006146+0.00086184i,-0.00018151+0.001345i,-0.00069308+0.0008296i,-0.0013845+0.00038085i,-0.0011121-0.00010751i,-0.00064884+8.5327e-05i,-0.00073297+0.00053919i,-0.00019967+0.00063913i,-0.00018501+0.00073322i
-0.0017807-0.0010153i,-0.0024061-0.0015927i,-0.0024061-0.0012793i,-0.0026461-2.5272e-05i,-0.0018819+0.0011969i,-0.00016956+0.00085022i,-2.5018e-05-0.00037569i,-0.00092777-0.00095605i,-0.0011454-0.0013244i,-0.00091294-0.0016584i,-0.0015129-0.0016386i,-0.0023244-0.0013816i,-0.0014351-0.0013135i,-0.00026175-0.0009601i,-0.00047577-0.00073707i,-0.00099415-0.00022141i,-0.0014692+0.00056385i,-0.0018924-8.4494e-06i,-0.0013638-0.00034489i,-0.00070396+0.00076225i,-0.00071053+0.00091735i,-0.00078956+0.00064171i,-0.00041321+0.00017581i
0.00034345-0.00086407i,0.002068-0.00093858i,0.0020914-0.00081578i,0.0017561+0.00040156i,0.0022529+0.00089365i,0.0018826+0.00059823i,0.001216+0.00030648i,0.00086254-0.00046666i,0.00060601-0.00065442i,0.0002166-0.00089183i,-0.0005303-0.0012137i,-0.0014134-0.00074786i,-0.0012328-0.00044708i,-0.00075895-0.0012726i,-0.0012965-0.0015669i,-0.002044-5.794e-05i,-0.0014894+0.00078759i,-0.00023653+0.00085839i,0.00044131+0.0010875i,0.00036362+0.00072601i,-0.00047646-0.00043611i,-0.00047592-0.00058162i,0.00066979-0.00038088i
0.0024543+0.0014964i,0.0042178+0.0021333i,0.0034038+0.0019367i,0.0013269+0.00061168i,0.00041944-0.00059245i,-0.00049033-0.00065006i,-0.00041685-0.0010053i,0.00063894-0.0012707i,0.00090711-0.00083965i,0.00062305-0.00022158i,0.00038863+0.00017546i,0.00094222+0.00026816i,0.00095806+0.00033449i,-0.00052003-0.0001468i,-0.0013949-0.00084853i,-0.0016092-0.00063687i,-0.00061474-0.00014866i,0.00089294+0.00032722i,0.00083892+0.00075689i,2.2671e-05+0.00074465i,-0.00047076+0.00018051i,-0.00011117-0.0011833i,0.00027563-0.0016395i
-0.00078868-0.0005952i,-0.0015161-0.00062738i,-0.0012021-0.00084096i,-0.00044948-0.0010942i,-0.00075291-0.00032623i,-0.0011728+0.00032544i,9.2562e-05-0.00051495i,0.0016609-0.0013276i,0.0017753-0.00086292i,0.00031984-0.00034772i,-0.00030738+0.00021339i,0.000437+0.00042836i,0.0014361+0.00046815i,0.00097788+0.00027149i,-0.00012776-3.7131e-05i,-0.00078978+7.4223e-05i,-0.00078147+1.233e-05i,-0.00027+2.6598e-05i,-0.00014608+0.00032134i,-0.00030481-0.00031005i,-6.1172e-05-0.00069195i,-3.5302e-05-1.4245e-05i,-2.6874e-05+0.00064368i
0.0014486-0.0021031i,-0.0010776-0.0031411i,-0.0015903-0.0034056i,-0.001758-0.0016355i,-0.0022436-0.00018142i,-0.0020242-0.00058291i,-0.00023901-0.0013745i,0.00079043-0.00077075i,5.0691e-06-0.00035274i,-0.0004858-0.00048089i,-0.00022375-0.00035763i,7.1833e-05-0.00069804i,-0.00012478-0.0014404i,-0.00040645-0.0018743i,-0.00035152-0.0015141i,-0.00013111-0.0006213i,-0.00078071-0.00011165i,-0.0011672+0.00051297i,-0.00082795+0.00066245i,-0.00033567+6.2657e-05i,4.5514e-05+0.00025593i,-0.00048137+0.00014108i,-0.00063719+0.00019026i
0.00030242-0.0026998i,0.0006333-0.0028659i,0.00029674-0.001512i,-3.8846e-05+0.00067152i,0.0010973+0.00079468i,0.002597-0.00065044i,0.0024296-0.0014478i,0.00096443-0.00084491i,-0.00041488-0.0002783i,-0.00099817-0.00010985i,-0.00088339-0.00064127i,-0.0016643-0.0010816i,-0.0027422-0.00071104i,-0.0018394-0.0013947i,-0.00088223-0.0012597i,-0.0014794+0.00039876i,-0.0024379+0.0010958i,-0.0026401+0.0012768i,-0.0015262+0.0011251i,-0.00031925+0.00093977i,0.00024245+0.0016407i,0.00060548+0.0020163i,-7.5495e-06+0.0013637i
-0.0011546-0.001825i,9.6047e-05-0.0024322i,0.00017143-0.0025119i,6.3311e-05-0.001936i,0.00014331-0.00037598i,0.0017798+0.0011695i,0.0020432+0.00044817i,0.00023597-0.0010916i,-0.001291-0.0011974i,-0.0020118-0.0011231i,-0.0024254-0.00070788i,-0.0030644+6.6358e-05i,-0.0029592+0.00026488i,-0.0019805-0.00043476i,-0.0013681-0.00068997i,-0.0012497+0.00058168i,-0.0010446+0.0016456i,-0.00055839+0.0010815i,2.2292e-05+0.00043784i,0.00033669+0.00028663i,-5.2357e-05+0.00029826i,-0.00049896-0.0001089i,-0.00022514-0.00040626i
0.0014859+0.0027098i,0.0018967+0.004688i,0.0017409+0.003164i,0.00018975+0.0010013i,-0.00036122+0.0008183i,6.0924e-05+0.0014306i,4.0619e-05+0.0014999i,-0.001099-6.1336e-05i,-0.00094181-0.0011289i,-0.00066988-0.0015433i,-0.00124-0.0019462i,-0.0014439-0.0012331i,-0.00097437+0.00054079i,-0.00063438+0.00072023i,-0.000702-5.8022e-06i,-0.00090009+0.00022767i,-0.00040855+0.00032919i,-0.00045564-0.00038593i,-0.00058669-0.00068776i,-0.00087575-0.00022634i,-0.0014485-0.0011652i,-0.0011238-0.0022184i,-0.0010167-0.001783i
-0.00052393+0.001482i,-0.00086147+0.0015802i,-0.00034791+0.00081168i,0.00089799+0.0011715i,0.001483+0.001998i,0.00069509+0.0015753i,-0.00015052-0.00060632i,-0.00038974-0.0025147i,-0.00025489-0.002158i,-0.00087533-0.00058398i,-0.0021032-0.00056153i,-0.0013941-0.0010844i,-2.2959e-05+0.000169i,0.00070981+0.00119i,0.0002209+0.00068725i,-0.00040214-2.9797e-05i,-0.00061892-0.00056806i,-0.0008328-0.00061595i,-0.00028399+0.00039139i,-0.00047669+9.3468e-05i,-0.00071274-0.0011868i,-0.00032268-0.0011895i,7.5781e-05-0.00075392i
-0.0020659-0.0014025i,-0.0038408-0.0022245i,-0.004301-0.0030827i,-0.0033793-0.0014182i,-0.0022781-0.00024584i,-0.00057298-0.00062103i,0.00024353-0.0010105i,0.00054207-0.001052i,0.0010037-0.00088174i,0.00095198-0.00067418i,0.00072427-0.00018269i,0.0011381-0.00022408i,0.00043034-0.00056254i,-0.0010439-0.0010317i,-0.0012869-0.0011778i,-0.0014851-0.00083908i,-0.0015528-0.00042292i,-0.0015575+0.00016104i,-0.0010342+0.0004222i,-3.4565e-05-1.3961e-05i,-6.6866e-05+0.00025804i,-0.00030875+0.00027018i,0.00040978+0.00032945i
0.00071651-0.002861i,0.0016155-0.0029999i,0.00092146-0.0034797i,-0.00039072-0.0022988i,-0.00093435-0.0017525i,-9.7007e-05-0.0023447i,0.0017149-0.0031946i,0.0028275-0.0034375i,0.0021493-0.0028073i,0.00078004-0.0015662i,-0.00016148-0.0011707i,-0.00064342-0.0011956i,-0.0018763-0.00065217i,-0.0025915-0.00045468i,-0.0014486-0.00056655i,-0.00081251-0.00040133i,-0.0015956+8.989e-05i,-0.0019635+0.00089145i,-0.0013765+0.00074735i,-0.00038691+0.00060833i,0.00058359+0.00091983i,0.0011843+0.0012235i,0.00089865+0.0018016i
-0.00025689+0.0011609i,0.0017557+0.0019948i,0.0021746+0.0014612i,0.00080339+0.00084324i,0.00084412+0.00019114i,0.002518-0.00076063i,0.0038777-0.0011344i,0.0035471-0.00089509i,0.0023363-0.0010386i,0.0013426-0.00057927i,0.00017091+2.9128e-05i,-0.0012811+0.00019256i,-0.0021295-0.0002006i,-0.0017446-0.00087973i,-0.00051012-0.0022501i,0.00017181-0.002042i,-0.00061773-0.00028174i,-0.0006091+0.00024213i,0.00024733-5.1623e-05i,0.00058013+0.00043921i,0.0007216+0.00094311i,0.00039885+0.00051212i,-0.0001294+9.9581e-05i
-0.00079898+0.001587i,-0.0010721+0.003766i,0.00018988+0.0039695i,0.0016922+0.002699i,0.0027069+0.0014931i,0.0040953+0.0017335i,0.0046974+0.0018465i,0.0035343+0.0010225i,0.0012217+0.00052859i,-0.00040352+0.00041208i,-0.0011032-0.00023539i,-0.0017012-0.00090302i,-0.0011558-0.00052888i,0.00032274+0.00036625i,0.00096938+0.00055546i,0.00035307-7.5475e-05i,7.4911e-05-0.00092869i,0.00070506-0.00086385i,0.00071209-0.00087034i,8.5107e-05-0.00074149i,-0.00014021-9.7689e-05i,0.00038005+0.00039141i,0.00062668+0.00061411i
-0.0063652+0.0011778i,-0.0069806+0.00092685i,-0.006529+0.0018015i,-0.0028277+0.0018412i,0.0017204+0.0014735i,0.0037372+0.0021118i,0.0028004+0.0025214i,-0.00016044+0.0020225i,-0.0017724+0.0018751i,-0.001267+0.0023336i,-0.00079818+0.0022012i,-0.00022124+0.0013473i,0.00056974+0.00085174i,0.0013519+0.0014025i,0.0017702+0.0021963i,0.0016062+0.0022259i,0.0012925+0.0016064i,0.0005786+0.00035363i,0.00034668-0.00041905i,0.00039507-0.00046071i,-0.00057317-0.00041246i,-0.0013678-6.7827e-05i,-0.0018023-0.00012953i
0.0032957-0.0018017i,0.0020012-0.0024516i,0.0017525-0.0022027i,0.00094455-0.00054059i,-0.0010124+0.0017395i,-0.0017227+0.0035219i,-0.0016442+0.0033851i,-0.0021545+0.0013337i,-0.002302-0.00029355i,-0.0019531+0.00018911i,-0.0018396+0.00026422i,-0.0016035-0.00023531i,-0.0007943-0.00029615i,4.039e-06-0.00018406i,-0.00030786+0.00045252i,-0.0014531+0.00097664i,-0.0017114+0.0012591i,-0.00048577+0.0017847i,0.00062816+0.0014465i,0.00088958-0.00010318i,0.00021102-0.0013292i,-0.00047915-0.0011398i,-0.0012391-0.00054144i
0.001967-0.003358i,0.0028267-0.0036603i,0.0016558-0.0037096i,-2.9917e-05-0.0013049i,-0.0010852+0.00029385i,-0.0026865-2.2626e-05i,-0.0035409-0.0015911i,-0.002979-0.0020692i,-0.0018457-0.0016285i,-0.00090432-0.0012536i,-0.00069268-0.00084875i,-0.00049961-0.00025921i,-0.0017921+0.00023558i,-0.0028678-0.00014098i,-0.0023695-0.00010472i,-0.0023245+0.00058893i,-0.0020161+0.00149i,-0.0017991+0.002739i,-0.0012188+0.0034778i,0.00015585+0.0025498i,0.0010292+0.00064159i,0.0010785-0.00044734i,9.5921e-05-0.0004882i
0.00043829+0.0046423i,0.000655+0.0052444i,0.0010976+0.0031217i,0.0003661-4.3422e-05i,-0.00098995-0.0029689i,-0.0021146-0.0047082i,-0.0017137-0.0056433i,-0.00011497-0.0062314i,0.00083498-0.0058763i,0.00085637-0.004809i,0.00058531-0.0040103i,1.7721e-05-0.0032279i,-0.0014905-0.0010984i,-0.0028279+0.00031886i,-0.0036664-0.0008607i,-0.0041625-0.0021549i,-0.0034008-0.0013683i,-0.002277+0.0002846i,-0.0013072+0.00088996i,0.00017761+0.00074673i,0.0010111+0.00037217i,0.00054665+0.00019128i,-0.00037431-0.00050274i
