0.0013049-0.00018932i,0.00091667-0.00036507i,0.0001514-0.00068462i,-0.00056757-0.00063328i,-0.0018966-0.00061841i,-0.0024508-0.00048022i,-0.001783+0.0002249i,-0.0007759+0.00058788i,-0.00037773+0.00030237i,-0.00041532-0.00036201i,-0.0003114-0.00084077i,-0.000566-0.00026048i,-0.0004115+0.00073351i,0.00049875+0.00075892i,0.0006776+0.00065425i,0.000197+0.00086798i,-6.9958e-05+0.00068785i,2.2858e-05+9.0343e-05i,-2.6622e-05-0.0009912i,0.00021735-0.0013475i,0.00050422-0.0011064i,0.00085658-0.0010081i,0.0006201-0.00052702i
0.0026612-0.00055475i,0.0014734-0.0011402i,0.0014206-0.0020936i,0.00022939-0.0026743i,-0.00073146-0.0027862i,-0.0011082-0.0023992i,-0.0013128-0.0015172i,-0.0012791-0.00094079i,-0.00096859-0.00060255i,-0.00078379-0.00048335i,-0.00083735-0.0004153i,-0.0011623-0.00013031i,-0.0016029+0.0001935i,-0.0010018+0.00056428i,-0.00013994+0.00093604i,0.0003586+0.0010842i,0.00070676+0.00046659i,0.00096161+6.186e-05i,0.00036704+0.00053938i,-0.00062742-0.00041851i,-0.00050316-0.00076642i,-4.6075e-05+0.00010884i,0.0001388+0.00029785i
0.00015865+0.0031751i,-0.00073354+0.0041049i,-0.0015813+0.0032276i,-0.0012036+0.0021335i,-0.00073026+0.0017749i,-0.00074572+0.0003853i,-0.00040605-0.00032422i,1.575e-05-4.1276e-05i,0.00057213-0.00064508i,0.00034171-0.00051565i,-0.00072414+0.00023589i,-0.0010537+0.0002135i,-0.00037457+0.00089609i,0.0006726+0.00089927i,0.0008461+0.00034844i,3.8661e-05+0.00019104i,-0.00051738-0.00036812i,0.00010619-0.00025951i,0.00081995+0.00053093i,0.00060374+0.00036647i,-3.0437e-05-0.00052667i,-0.0001014-0.00090105i,0.00030858-0.00021199i
-0.0015815+0.00019983i,-0.0034287+0.0011732i,-0.003357+0.0023246i,-0.0018046+0.003209i,-0.00051241+0.0021818i,5.226e-05+0.0007566i,0.0012267-0.0010082i,0.0017253-0.0020268i,0.0001396-0.0019573i,-0.0010955-0.0016951i,-0.00076589-0.00090181i,-0.00021307+0.00032842i,0.00014102+0.00073212i,0.00036767+0.00044702i,9.414e-06-0.00013409i,4.9213e-05-0.00072244i,0.00056747-0.0012116i,0.0011478-0.00090382i,0.00062771-0.00074061i,-0.00034973-0.00043607i,-0.00030954+0.00040135i,-2.3657e-05+0.00049594i,-0.00036571+0.00053354i
-0.00022841-0.0021245i,0.0003372-0.0019753i,-0.00018062-0.00026429i,-0.00061165+0.0017085i,-0.00059053+0.0019283i,-5.512e-07+0.00085322i,0.00029754-0.00016466i,-8.9179e-05-0.0010186i,-0.00017838-0.00051762i,-0.00023836+0.00052902i,0.00021844+0.00069899i,0.00043401+0.00061474i,0.00024619+0.00041198i,0.00015103+0.00014962i,0.00016645-0.0006143i,0.00028041-0.0008542i,0.00089025-0.00036512i,0.0013045-0.00012648i,0.001249-0.00039132i,0.0004044-0.00065811i,-0.00027696+6.804e-05i,-0.00065265+0.00093804i,-0.00037974+0.0011122i
0.00086972+0.00071375i,0.0017587+0.0015499i,0.0010918+0.00081626i,7.2579e-05+0.00048279i,-0.00046835+0.0010492i,0.00045537+0.00068354i,0.00093486-0.00053145i,-0.00041282-0.0012716i,-0.001757-0.0015166i,-0.0017899-0.0011638i,-0.00090855-0.00050909i,-3.4264e-05+0.00035073i,-9.004e-05-0.00010693i,7.0579e-05-0.00086551i,0.00070332-0.00058673i,7.4335e-05-0.00065198i,-0.00020796-0.00081161i,0.00034262-0.0001634i,-9.6492e-05+0.00087279i,-0.00038819+0.00057046i,0.00070509-2.1137e-05i,0.0013696-0.00029071i,0.00062148-0.00054114i
-0.0018626+0.00091674i,-0.0014826+0.00089252i,-0.0017077+0.00044783i,-0.0019032+0.0012474i,-0.00083891+0.001136i,-0.0001739+0.00052703i,-0.00099416-0.00069165i,-0.00065229-0.0017542i,5.0757e-05-0.0012952i,-0.00068835-0.0013842i,-0.00088075-0.0011842i,-1.2778e-05-0.00039356i,0.00033452+8.9772e-05i,-0.00026695+0.00046479i,-0.00073039-0.00017121i,-0.0006544-0.00053011i,-0.0005305-0.00038137i,-0.00023047-0.00017037i,0.00059403+6.5563e-05i,0.00073405+0.00019285i,0.00028122+0.0004198i,0.00016804-9.448e-05i,0.00028658-0.00047504i
-5.1116e-05+0.00038486i,0.00039422+0.0020019i,-9.4301e-05+0.0027586i,-0.00012394+0.0031208i,0.00025523+0.0026715i,-0.00033104+0.001173i,-0.00094601+6.4216e-05i,-0.00049971-0.00023261i,-0.00010966-0.00050996i,-0.00057083-0.0010877i,-0.00092602-0.0008364i,-0.0010231-0.00038833i,-0.0007202+7.0235e-05i,-0.00021239+0.00076121i,9.9448e-06+0.00086851i,-0.00032682+5.2124e-05i,6.9798e-05+0.00029295i,0.00038903+0.00067159i,-0.0005275+0.00042345i,-0.0012257+0.00021356i,-0.00053071-0.00011419i,4.8203e-05-0.0001311i,-0.00010594-0.00010928i
-0.0010275-0.00054012i,6.5527e-05-0.00042049i,-0.0010303+0.00016865i,-0.0013241+0.0014836i,-0.00019918+0.0016273i,0.00059341-7.546e-05i,0.00083362-0.0021037i,0.00034247-0.0027499i,-0.00074843-0.001859i,-0.0015435-0.0012128i,-0.0010139-0.00097878i,-0.0002812+9.5723e-05i,-0.00077152+0.00038941i,-0.00091692-0.00023164i,-0.00071243+0.00020809i,-0.00074646+0.00077289i,-0.00048805+0.00088103i,-0.00028098+0.00059446i,-0.00016781+0.00036529i,0.0004908+7.6415e-05i,0.0010533-2.0897e-05i,0.0013146+6.8961e-05i,0.00084694-0.00025431i
0.0014094-0.0019731i,0.00016026-0.00042072i,-0.0010165-7.321e-05i,-0.0012453+0.00096376i,-0.0015333+0.0022955i,-0.0012149+0.0022282i,-0.00019979+0.00035226i,0.00016232-0.00097958i,-0.00018729-0.00094017i,-0.00074272+0.0002153i,-0.001068+0.00078063i,-0.00089882+0.00062008i,0.0004899+0.00056051i,0.00098816+0.00050868i,0.00013358+0.00051901i,-0.00074524+7.9924e-05i,-0.00044802-0.00012751i,0.00034021+0.00051936i,0.00057793+0.00066988i,0.00051259+0.00041666i,0.00063422+0.0007952i,0.00064228+0.00054577i,0.00030075-1.9484e-05i
0.00028842+0.00061772i,0.00034129+0.0018712i,-0.00040499+0.0024466i,-0.00075895+0.0019416i,-0.0004877+0.0016038i,-0.0010134+0.0010106i,-0.001061-0.00028501i,-0.0011592-0.0010935i,-0.0016567-0.0018623i,-0.0015854-0.001667i,-0.0012909-0.00041544i,-0.0009573+0.00063962i,-7.7494e-05+0.00014154i,0.00072058-0.0006325i,0.0005696-0.00042435i,0.00013529-0.00045369i,-4.0744e-05+0.00018886i,0.00024619+0.0008451i,0.00046207+0.00058448i,0.00045693+0.00047815i,0.00046738+0.00081182i,-9.8296e-05+0.00026931i,-0.00083268-0.0010165i
-0.00066373-0.00059134i,-0.0014522-0.0004704i,-0.0018997+0.00093074i,-0.0011807+0.0017912i,-0.00012359+0.0011508i,0.00092325-0.00040403i,0.0011519-0.0014609i,0.00037369-0.0012809i,-0.00012249-0.0016531i,-0.00014321-0.0024018i,0.00027074-0.0014412i,0.00075681-0.00026654i,0.00042619-0.00025601i,-9.7198e-06-0.00016371i,-5.9656e-06+0.00030526i,-0.00082382+0.0003746i,-0.0011276-0.00019633i,-0.00031452-0.00017438i,0.00035258+0.00046245i,-5.4489e-05+0.00050333i,-0.00091165+0.00050724i,-0.00023047+0.00035137i,0.00073962-2.2476e-05i
0.00038443+9.3329e-05i,-0.001549+0.0011322i,-0.0029817+0.0016718i,-0.0021161+0.0023241i,-0.00074466+0.0021774i,0.00011489+0.00075826i,-0.00041318-0.00088068i,-0.00059656-0.0018335i,-2.669e-05-0.0016559i,-0.00048869-0.0011571i,-0.00028771-0.0010367i,0.00032258-0.0008443i,0.00035887-0.00081529i,0.00053297-0.00106i,0.00073129-0.001225i,0.00038986-0.00083896i,0.00013046-0.00018296i,0.00029107-0.00043566i,0.00045273-0.00063137i,0.00072648-8.4954e-05i,0.00079323+0.0003049i,0.00035647-3.1644e-05i,4.9102e-05-0.00018554i
-0.0010485+0.00064302i,-0.00085588+0.00012597i,0.0004848+0.0010847i,0.0021594+0.0015316i,0.0021374+0.00061443i,0.001106-0.00045097i,0.00015194-0.0017214i,-0.00087743-0.0023031i,-0.0015621-0.0014285i,-0.0012912-0.00049454i,-0.00056266-0.00081283i,-0.00052306-0.00095584i,-0.0012228-0.00093663i,-0.0011412-0.0013273i,-0.00034207-0.00074997i,-0.00034963+0.00027674i,-0.00074809+0.0010251i,-0.00092274+0.0013521i,-0.0005006+0.00087106i,-0.00045175+0.00043006i,-0.0007043-1.343e-05i,-0.00059873+0.00040017i,-0.00015089+0.00095341i
-0.00042002-0.00030869i,0.00025512-0.0012439i,-0.00077225-0.00043665i,-0.0014606+0.0014391i,0.00077839+0.0023048i,0.0015707+0.0010953i,0.00023645-0.00074522i,-0.0006291-0.0016973i,-0.00078249-0.0016189i,-0.00058588-0.0010574i,-0.0006878-0.00098337i,-0.00077743-0.00065583i,-0.0004836-0.00039431i,-0.00059796-0.00020602i,-0.00013388+3.96e-05i,0.0015237-0.00053396i,0.0013441-0.0011265i,0.00058368-0.00034907i,0.0005493+0.0010169i,0.00065809+0.0011227i,0.0004786+0.00050339i,-2.3506e-05+0.0001138i,-7.1127e-05+0.00014191i
0.0011145+0.00071606i,-0.00070637+0.0019339i,-0.0016124+0.0029599i,-0.00069065+0.0032792i,0.00019185+0.00214i,0.00030393+0.00046339i,0.0010439-0.00016487i,0.0010563-0.00046494i,0.00014843-0.00072835i,-0.0003322-0.00045409i,-0.00044037+0.00025151i,-0.00079032+0.00045695i,-0.00072746+0.00047362i,0.00030305+0.00061218i,0.00021807+0.00016951i,-0.00032669+0.00026553i,-0.00032295+0.00092937i,0.00019263+0.0011224i,0.00027654+0.00028777i,-0.00012115-5.3876e-05i,-0.00010807+0.00037426i,6.0824e-05+0.00071953i,1.0457e-05+0.00060462i
-0.00041198+0.00082583i,-0.002606+0.0016599i,-0.0021217+0.0011383i,-4.7803e-05+0.00042821i,0.0007817+0.00037416i,-0.00013514-5.2301e-05i,-0.00060314-0.00079447i,-0.00013596-0.0014642i,8.7912e-05-0.0015742i,-9.1817e-05-0.00090498i,-0.0008703-0.00045587i,-0.0016702-2.429e-05i,-0.0012985+0.0013236i,-0.00035421+0.0017061i,0.00030859+0.00039255i,0.00059932-0.00011089i,0.00021893+4.3071e-05i,-0.0009248+0.00022154i,-0.0014949+0.0002537i,-0.0010113+8.2849e-07i,0.00010487+0.00031956i,0.00064524+9.5455e-05i,0.00047126-0.00031002i
3.0791e-05-0.0018527i,0.00015479-0.0027167i,-0.0012984-0.0013851i,-0.0014693+4.1041e-05i,0.00039629+0.00021163i,0.0014968-3.3437e-05i,0.00053862-0.0014151i,-0.00020085-0.0020917i,-0.00054405-0.0017176i,-0.0003119-0.0010114i,-8.9328e-05+0.00013461i,0.00028351+0.00039819i,0.00075116+0.00019168i,0.00087182+0.00026187i,0.0003119+0.00028757i,-0.00051731+3.9483e-05i,0.0005085+0.00024084i,0.0012045+0.00087428i,0.00075649+0.0001356i,0.0010022-0.00032344i,0.0013578-0.00055852i,0.00071515-0.00019789i,-0.00032161+7.1576e-05i
0.00092869+0.0024903i,-0.00047568+0.0029664i,-1.7612e-05+0.0020987i,0.00053821+0.0012664i,0.00082906-4.1588e-05i,0.00055422-0.00097868i,-0.0002779-0.0022935i,-0.00027006-0.0027236i,-0.0009432-0.0023931i,-0.00085139-0.0025387i,9.8555e-05-0.0019809i,0.00017142-0.00056595i,-9.664e-05+0.00050633i,0.0006989+0.00095187i,0.00075707+0.0011473i,-0.00012407+0.0011388i,-0.0005281+0.0013559i,0.0010506+0.0010884i,0.0021496+0.00054511i,0.0014456+0.00091186i,0.00047616+0.00075141i,-0.00020968+0.00017277i,3.946e-06-8.5915e-05i
-0.00098917+0.0022703i,-0.0025533+0.002241i,-0.0015797+0.0011067i,0.00013663-1.275e-05i,0.0010899-0.00040762i,0.0005282-0.0010724i,-0.00021749-0.0014272i,-0.0001394-0.0017288i,-7.6807e-06-0.0013063i,-0.00028349-0.00056841i,0.00039277-0.0002913i,0.0012383+0.00051618i,0.00063676+0.00091816i,-3.8738e-05+0.00018999i,-0.00029741-0.00034011i,-0.00051664+1.2243e-05i,-0.00017095+0.00022002i,3.4332e-05+9.8097e-05i,-0.00040648+4.2208e-05i,0.00015287+0.00027109i,0.00066932+0.0001031i,0.0012244-0.00031382i,0.00095438-0.00098419i
0.00089601-0.0035607i,-0.00044156-0.0023342i,-0.0017682-0.00069093i,-0.0013144+0.0012625i,-0.00039822+0.0014036i,-0.00014237+0.0004651i,-0.00042344+1.9504e-05i,-0.00072936-0.0010558i,-0.001045-0.001297i,-0.0010636-0.00095857i,-0.00062142-0.00069082i,-0.00054452-0.0010676i,-0.00095694-0.0011997i,-0.0010589-0.00036536i,-0.00061724-0.00028382i,-1.2405e-05-0.00048882i,0.00079553+0.00030124i,0.00039244+0.00084144i,6.9583e-05+0.00036198i,0.00026748-7.884e-05i,0.00022573+0.00063949i,0.00025772+0.0011456i,-0.00012523+0.0010372i
0.002192+0.0014641i,0.0019907+0.0029238i,0.00085434+0.0028407i,0.00014324+0.0020368i,0.00084859+0.0010464i,0.0012978+0.00039563i,0.0007093-0.00046013i,0.00021486-0.0012719i,-0.00022843-0.00075097i,-0.00087262-0.00056753i,-0.0012178-0.00082956i,-0.0010756-0.00024919i,-0.00013658-0.0001197i,0.00042233-0.00083317i,0.00011803-0.0003513i,0.00010571+0.00054109i,0.00024724+0.00094701i,0.00041273+0.00067073i,0.00059639-0.00010818i,0.00056643-1.4938e-05i,0.00026754+0.00037512i,7.064e-06+0.00012562i,0.00022765-0.00029326i
-0.0030007+3.1229e-05i,-0.0032973+0.0015292i,-0.0025713+0.0030391i,-0.002119+0.0033357i,-0.0010677+0.0021477i,0.00043312+0.0010895i,0.00038536+5.7621e-05i,-0.00041046-0.0009853i,-0.00093387-0.0017592i,-0.0011455-0.0011007i,-0.00093591+7.9458e-05i,-0.00082936+0.0011113i,-0.00030096+0.0015542i,0.00038577+0.0014682i,0.00068166+0.0010889i,0.00025789+0.0005849i,0.00028799+0.00051533i,0.00070764+0.00069903i,7.3542e-05+0.00029874i,0.00044948+0.00030967i,0.00096284+0.00052239i,0.00047651+0.00019608i,0.00020059-1.4191e-05i
0.0014848-0.0036738i,0.0015341-0.0033086i,-0.00048133-0.0011776i,-0.0015632+0.0010236i,-0.0010943+0.0022451i,-0.00090382+0.001664i,0.00037425-6.0424e-05i,0.00096004-0.0014664i,-0.00021464-0.0013207i,-0.0018466-0.00013422i,-0.0019622+0.00076839i,-0.00099865+0.0015539i,-0.00079496+0.002288i,-0.00069699+0.0016869i,-0.00038831+0.00015514i,-0.00029495-0.0008724i,-0.00020601-0.00039631i,-0.00013115+0.00072276i,0.00066371+0.00086238i,0.0010253+0.00094991i,0.00078389+0.0007246i,0.00065105-7.134e-05i,8.369e-06-0.00051403i
0.0018886+0.0034059i,0.0014775+0.0028515i,0.0015047+0.001807i,0.0015485+0.0014443i,0.0012411+0.0012826i,0.00036381-0.00012081i,-0.00050568-0.0013728i,-0.00049973-0.0016494i,-0.00026946-0.00042447i,-0.00049154+0.00071007i,-0.00066126+5.7877e-05i,-0.00068878-0.00048173i,-0.0010456-0.0002728i,-0.00082201+0.00016597i,-0.0002247+0.001021i,-5.8956e-05+0.0013294i,-4.0039e-05+0.00084752i,0.00050998+3.1682e-05i,8.1779e-05+0.00016145i,-0.00014974+0.00036888i,0.00025366+3.4173e-05i,-0.00023276-8.0499e-05i,-0.00015708+4.6283e-05i
-0.0040112-0.00065165i,-0.0044875-0.0010715i,-0.0033443-0.00038587i,-0.0016846+0.00059808i,0.00019307+0.00085692i,0.00070616-3.9727e-05i,0.00010211-0.0012774i,-0.00081714-0.0020201i,-0.00073277-0.0023803i,-9.8578e-06-0.0023223i,0.00033862-0.0011175i,0.0011051-0.0003227i,0.0016931-0.00059332i,0.0015129-0.00039968i,0.0016594-0.00018196i,0.0013689-0.00040318i,0.00050076-0.0012264i,0.00051744-0.0014233i,0.00083626-6.6933e-05i,0.00044889+0.00073234i,0.00021936+0.00024526i,0.00011306+0.00042921i,0.00024901+0.00097976i
0.0018924-0.0012163i,0.0015733-0.00086556i,0.0016724-0.00018584i,0.0011674+8.9199e-05i,-0.00028383+0.00010342i,-0.0012585-0.00023812i,-0.0010182-0.00039415i,-0.00054226-0.00031414i,-0.00016911-0.00077547i,-4.6753e-06-0.0010619i,0.00040448-0.00074602i,0.00038223-0.00017149i,6.5591e-05+0.00065693i,-0.00018012+0.00035378i,-0.00011635-0.00014253i,-0.00011467+0.00010683i,0.00010147+0.00029719i,0.00011332+0.00023787i,-0.00048907+0.00027534i,-0.00042177+0.00035095i,0.0007607+0.00053946i,0.00089577+0.00015403i,0.00050505-0.00020949i
0.00033481+0.00074489i,-7.436e-05+0.0022603i,-0.0016657+0.0021587i,-0.0025842+0.0019202i,-0.0019932+0.0014329i,-0.00045908+0.00063754i,-0.00011156-0.00015267i,-0.00062912-0.0010269i,-0.00043017-0.0012006i,-0.00065023-0.00054289i,-0.0015661-0.00074766i,-0.0021259-0.00085328i,-0.0019788-0.00087006i,-0.00097662-0.0010605i,-9.6634e-05-0.00082712i,3.1341e-05+0.00030103i,-0.00010115+0.0014971i,-0.00062451+0.00080492i,-0.00052532-0.0005956i,9.5658e-05-0.00062601i,0.00032577-0.00035867i,0.0008431-0.00024048i,0.00025149-0.00073708i
-0.0025247-0.00047432i,-0.0025649+0.0010173i,-0.0035091+0.0023348i,-0.0029564+0.0039609i,-0.0013674+0.003534i,-0.00024186+0.0019202i,0.00046765+0.00028985i,0.00036185-0.0013941i,-0.00097476-0.0022879i,-0.0017706-0.0018023i,-0.001447-0.0010801i,-0.0011225-0.00082009i,-0.00064185-0.00097248i,-0.00071196-0.0009427i,-0.00080507-0.0010979i,-8.2453e-05-0.0011541i,-9.6217e-05-0.00055238i,-0.00029361+0.00038668i,0.00054591-0.00010465i,0.00066507-0.00045235i,0.00070694+0.00047226i,0.0012783+0.0010243i,0.00091275+0.00090259i
0.0027447-0.0025751i,0.0018825-0.00086062i,0.0004103+0.00033297i,-0.00017581+0.00096732i,-0.0001088+0.00089911i,0.0002934+0.0011429i,0.00076407+0.00089295i,0.00075076-0.00061643i,0.00037777-0.0010977i,-0.00015912-0.0012006i,-0.00035944-1.531e-05i,-5.016e-06+0.0013409i,0.00090958+0.0012046i,0.0016613+0.00054847i,0.001763-0.00010653i,0.0010593+0.00034617i,0.00041452+0.0013002i,0.00027328+0.0013644i,0.00058204+0.00016653i,6.2631e-05+0.00051544i,-0.00039238+0.0013901i,0.00034425+0.00030183i,0.00026886-2.9108e-05i
-7.6547e-07+0.0016543i,-0.00071602+0.0026757i,-0.00046644+0.0032182i,-0.00022454+0.0026267i,-0.00020541+0.0016428i,-0.00048425+0.00028294i,-0.000399-0.0013968i,-0.00044417-0.002174i,-0.0001946-0.0018459i,0.00047305-0.001294i,0.00015622-0.00016655i,-0.00025957+0.00093673i,0.00021628+0.0015432i,0.00062223+0.0011586i,0.00021073+0.00022897i,5.2951e-06-0.00019322i,0.00032577-0.00025044i,0.00018976-0.00033119i,-3.8039e-05+0.00019462i,-0.00033426+0.00079392i,-0.00040547-3.6741e-06i,6.9085e-05-0.00096905i,0.00038624-0.00060989i
-0.0022864-0.0016162i,-0.0014336-0.0021033i,-0.0013115+0.0007237i,-0.00029569+0.0029493i,0.0011083+0.0019356i,0.0025118+2.5856e-05i,0.0019502-0.0012784i,0.00026917-0.0020597i,-0.00066338-0.0015248i,-0.0010718-0.00073936i,-0.001081-1.3652e-05i,-0.00012604+0.0005321i,0.00040224-0.00025393i,-0.00034678-0.0011014i,1.4741e-05-0.00082326i,0.00051789+0.00025092i,0.00073174+0.0010311i,0.00093417+0.00099323i,0.00074961-5.9414e-05i,0.00054218-0.00040998i,0.00038337+0.00014232i,0.00026579+0.00044607i,0.00042563+0.00040283i
0.0019008+0.00064191i,-0.00013556+0.0015445i,-0.0014811+0.00063729i,-0.0011172+9.9505e-05i,-0.00050224+0.00094522i,-0.00093036+0.0011767i,-0.0015959+0.00021354i,-0.00088567-0.0015792i,-0.00013353-0.00242i,-0.00055045-0.0015241i,-0.0010771-0.0010243i,-0.00078563-0.001335i,-0.00020573-0.00089595i,-8.6716e-05-4.9999e-05i,0.00029977+0.00019942i,-2.9186e-05-0.00015707i,-0.00081699-0.00036613i,-0.00039681-0.00031826i,0.0011221-0.00022576i,0.0014993-2.7566e-05i,0.00020734-0.00034369i,-0.00020038-0.00070129i,-6.3069e-05-0.00013697i
-0.00033581+8.8659e-05i,-0.0019503+0.00096476i,-0.0036537+0.0013972i,-0.0034055+0.0017367i,-0.0019975+0.0021513i,-0.0011355+0.0019299i,-0.0014237-5.0616e-05i,-0.0014957-0.0017006i,-0.0018115-0.00266i,-0.0013626-0.0021606i,-0.00034767-0.00037841i,1.1257e-05+0.00030359i,0.00050606+0.00072111i,0.00043026+0.00096102i,0.00057328+0.00047841i,0.0012913+2.3806e-05i,0.0013149+0.0010571i,0.00074817+0.0011161i,0.00046458+0.00024959i,0.00047596+7.9014e-06i,0.00026373+0.0011499i,0.00070115+0.0016663i,0.00043367+0.0010122i
-0.00080755+0.00037653i,-0.0010352-0.00035246i,-0.0010299+0.00048957i,-0.00030905+0.0013474i,0.00087525+0.0013711i,0.00083207+0.00066723i,1.5609e-05-2.9114e-05i,-0.00018818-0.00064869i,-0.00021151-0.00081907i,-1.13e-05+0.00016696i,-0.00021544+0.00035095i,-0.00095298+0.00032595i,-0.00086219+0.00084128i,-0.0001541+0.0013758i,2.2031e-05+0.0015988i,-0.00016396+0.0014532i,-0.00014509+0.00088949i,-0.00014502+6.9764e-05i,-0.0001646+0.00025195i,-0.00015071+6.932e-05i,-4.8232e-05-0.0002044i,-0.00063016-7.3989e-05i,-0.00046563-0.00053456i
0.0015183+0.0017137i,0.00063251+0.00076304i,-0.00029228+0.00022853i,-0.0010769+0.00014153i,-0.00052721-1.2551e-05i,-0.00011415+0.00036569i,-0.00015143+0.0004451i,-0.00039206+0.00044966i,-0.00054043-6.902e-05i,-0.00032241-0.00011971i,-0.00083353+0.00052266i,-0.0016204+0.0007762i,-0.0011957+0.00096733i,-0.00034421+0.0016276i,3.2004e-05+0.0011837i,0.0005737+0.00026142i,0.00023625+0.0003798i,-0.00034702+0.00062179i,-0.00048752+0.0004849i,-0.00051908+0.00011891i,-0.00046949-9.2901e-05i,-0.00014364-0.00030236i,0.00029126-0.00081664i
-0.0027744+0.0025809i,-0.0036774+0.0024539i,-0.0018374+0.0030278i,0.00059103+0.0032556i,0.0017397+0.0015045i,0.0021038-0.0011486i,0.0020875-0.0021483i,0.0012012-0.0021075i,-0.00031587-0.0012443i,-0.0013426-0.00049191i,-0.001192-0.0006773i,-0.0010545-0.00066443i,-0.00058517-0.00035166i,5.5859e-05-0.00047775i,0.00019384-0.00039244i,-0.00014711-2.3944e-05i,-0.0011257+7.6158e-05i,-0.001428+0.00043866i,-0.00040823+0.00036048i,0.0005839+0.00021861i,0.00054577+0.0005735i,0.00032218+0.0013915i,6.6619e-05+0.0016097i
-0.00094813-0.0015978i,-0.00096742-0.0012907i,-0.00088597-0.00024426i,0.00028115+0.00060656i,0.0012264+0.0011685i,0.0015866-0.00047628i,0.0014053-0.0022464i,0.0010964-0.0022689i,0.00024339-0.0013809i,-0.00055306-0.00050352i,0.00013519-0.0002399i,0.0012972-0.00015785i,0.00097506-0.00073501i,-0.00025701-0.0012836i,0.00014175-0.0010107i,0.00069478-0.00081654i,-0.00012774-0.00036746i,-0.00062223+0.00013863i,-8.6888e-05-0.00031346i,-4.6265e-05+2.3962e-05i,6.6032e-06+0.00046867i,0.00021689+0.00048199i,0.00018424+0.00061412i
0.0015042-0.00081629i,1.8448e-05-0.00061118i,-0.00064313-0.00063164i,-0.0010877-0.00056099i,-0.00018918-0.00058043i,0.00067075-0.001008i,0.00087353-0.0017966i,0.00042464-0.0018393i,-0.00024616-0.0018411i,-0.00084246-0.001441i,-0.00098679-0.00085347i,-0.00075932-0.00022227i,-0.00043842+0.00028717i,0.00066887+0.00052217i,0.00090377+0.00029028i,-0.00012465-7.9426e-05i,-5.0344e-05-0.00021368i,-0.00039576+0.00023641i,-0.00099885+0.0011405i,-0.00024499+0.0012917i,0.00015926+0.0011641i,0.00039074+0.00075672i,0.00095608+0.00040935i
-0.0013501+0.0028097i,-0.00066944+0.0034659i,0.0009982+0.004141i,0.0019887+0.0034738i,0.0019786+0.0012473i,0.0012854-0.0015051i,-0.00024268-0.0024193i,-0.001784-0.0021456i,-0.0019037-0.0021597i,-0.0016578-0.0018298i,-0.0013526-0.00094899i,-0.0015281-0.00052106i,-0.0025582-0.00051632i,-0.0025397-0.0001293i,-0.0014265+0.00012457i,-0.0012808+0.0004529i,-0.0010515+0.00055367i,-0.00016152+0.00027365i,-0.00038863+0.00078616i,-0.0010188+0.00027343i,-0.00060724+0.00032415i,-4.6989e-05+0.00092858i,0.0002179+0.00057587i
-0.0013876-0.0012738i,-0.0029645-0.0004625i,-0.0036288+0.0015813i,-0.00208+0.0026774i,-0.0012225+0.0032588i,-0.00086619+0.002106i,-0.00099183-0.00018565i,-0.0012984-0.0013243i,-0.0013065-0.00077157i,-0.0011624-0.00017652i,-0.0008843+0.00032339i,-0.0013087+0.00076474i,-0.0019892+0.00098306i,-0.0017046+0.00085169i,-0.00082787+0.00075554i,-0.00066846+0.00049104i,-0.00026772+0.00011321i,0.00010812+0.00030446i,0.00030193-0.00013556i,0.00038182-0.00028095i,0.0007326+0.00043277i,0.00041236+0.00026466i,-0.00036776+1.9581e-05i
0.0021737-0.00030108i,0.0018382+0.00089263i,0.00064739+0.0012479i,-0.00011403+0.001206i,9.0309e-05+0.00075602i,0.00078006+0.0011678i,0.0010686+0.00069685i,0.00094471-0.00084906i,0.00057858-0.001235i,0.00014866-0.00029292i,-0.00042405+7.8327e-05i,-0.00012822+0.00051213i,0.00079062+0.0016155i,0.0011304+0.001898i,0.00030866+0.0008274i,0.00060245+0.00070645i,0.00080378+0.0014537i,0.00045323+0.00096198i,0.00037917-0.00014642i,0.00036257-6.6472e-05i,0.00032383+0.0004984i,0.00054786-0.0002124i,0.00066284-0.0004107i
-0.00046651+0.00057643i,-0.0004246-9.5929e-05i,-0.0011635+0.00062863i,-0.0015162+0.0012681i,-0.0010636+0.00074571i,-0.00044233-2.8243e-05i,-0.00042095-0.00048611i,-0.0012383-0.00059136i,-0.0016284-0.00037674i,-0.000852+0.00034473i,0.00070074+0.0011291i,0.0015789+0.0014222i,0.0014517+0.00086917i,0.0013338+0.00045016i,0.0016463+0.00033819i,0.0008336-0.00019023i,0.00015266-0.0002998i,0.00079635+0.00012771i,0.00030387+0.00058616i,-0.0010664+0.00030934i,-0.00031579-0.00024834i,0.000719-0.00023209i,0.00044749+0.000274i
