0.0015562+0.00046382i,0.0026363-0.00080411i,0.0013621-0.0018086i,-0.00061833-0.0015953i,-0.0014535-0.00073826i,-0.0020858+0.00069012i,-0.0016145+0.0018693i,-0.00040434+0.0024012i,0.0012347+0.00087957i,0.0018995-0.0014671i,0.001176-0.001669i,0.00014664-0.00057053i,-0.00040774-0.00025445i,-0.00064961-0.00014957i,-0.00047163-2.6662e-05i,-0.00040705+0.0003456i,-0.00058433+0.0001949i,-0.0002702-0.00011851i,0.00089553+0.0006243i,0.0015464+0.0010536i,-6.2059e-05+0.0010831i,-0.001285+0.0002522i,-0.00055953+9.6433e-05i
0.00055073+0.00061594i,0.00021479-0.00046265i,0.00050491-0.0010363i,0.0015076-0.0011642i,0.0017073-0.00055453i,0.00055568+0.00052072i,-0.0007819+0.00062455i,-0.0011815+0.001684i,-0.00082036+0.0027487i,-0.00013002+0.0015223i,-0.00011856-0.0011604i,-0.00072285-0.0028192i,-0.0015678-0.0025052i,-0.0017382-0.0011999i,-0.00087986+0.00029503i,-0.00014167+0.0010089i,0.00056164+0.00043564i,0.00083112+4.4865e-05i,0.00058446+0.00052536i,8.0291e-05+0.0007005i,-0.00012988+0.00044079i,0.00033508+0.00043284i,0.00035595+0.00035942i
0.0029903+0.00048595i,0.0036813-0.0006874i,0.0038736-0.0018624i,0.0024209-0.0023396i,0.00036438-0.0022162i,-0.0016901-0.0019512i,-0.0018894-0.00052258i,-0.0010111+0.00071231i,0.0005287+0.00028954i,0.0019445-0.00088053i,0.0023663-0.0014943i,0.0018988-0.0016023i,0.0010144-0.0023151i,0.00086525-0.0017522i,0.00050761+0.00023492i,-0.00042024+0.0010967i,-0.00067709+0.00073343i,-0.00018369+2.0401e-05i,0.00015016+0.00019556i,-1.8124e-05+0.0010348i,-0.00017931+0.0010188i,-0.0005795+1.0017e-05i,-0.00080094-0.00026117i
0.00019966-0.00039412i,-0.00089313-0.00033773i,-0.0014521+3.1639e-05i,-0.0014336-0.00019734i,-0.00099683-0.00093552i,-9.0571e-05-0.0006566i,9.6056e-05-0.00040128i,-6.3806e-05-0.00034444i,0.0004873-6.0314e-05i,0.00091886-0.00035938i,0.0012214+0.00054202i,0.0021091+0.00090918i,0.0018086-0.00017458i,0.00029577-0.00096869i,-0.00065638-0.00046173i,-0.00045578+0.00049802i,-0.00029154+0.00064633i,-0.00071106+0.0005087i,-0.0002227+0.0002082i,-0.00016597+0.0002824i,-0.00022685+0.00028566i,0.0003204+0.00034296i,-1.863e-05+0.00038909i
-0.001409+0.00066323i,-0.00075212+0.0015734i,-1.4325e-05+0.0021516i,-3.6545e-05+0.0022426i,-0.00074293+0.0017759i,-0.00029806+0.00088848i,0.0006475-8.2093e-06i,0.0011376-0.0002106i,0.00094027+0.00060117i,-7.8336e-05+0.0012103i,-7.0492e-05+0.0019177i,0.00080577+0.002586i,0.0017631+0.0015741i,0.0014871-6.7708e-05i,0.0010777-0.00057338i,0.00058407-0.00032393i,0.00022624+0.00014201i,7.2026e-05+0.00025548i,-0.00041434+0.00032936i,-0.00074454+0.00076448i,-0.00096219+0.00047523i,-0.00060766+2.0742e-05i,-0.00031635-0.00023151i
-0.0019978-0.0024215i,-0.0018877-0.0025959i,-0.0016268-0.0019878i,-0.0018575-0.00040149i,-0.0014804+0.0010927i,-0.00047667+0.0013196i,-0.00011096-0.00011152i,-0.00010747-0.0011223i,-0.00051062+5.7042e-05i,-0.0012053+0.0011496i,-0.001214+0.0017038i,0.00036781+0.0021359i,0.0016397+0.0022722i,0.00097809+0.0013437i,1.5075e-05-0.00016191i,0.00012081-0.0010201i,0.00048804-0.0012658i,5.9635e-05-0.00071496i,-0.00097572+0.00015087i,-0.00099945-3.2412e-05i,-0.00018898-0.00050781i,0.00036131-0.00081286i,0.0010101-0.00015281i
-0.0017112+0.00065635i,-0.003248+0.0011781i,-0.003637+0.002185i,-0.0023887+0.0018913i,-0.00089833+0.0005421i,2.7906e-05+0.00020615i,-0.00053208-1.7671e-05i,-0.0012638+0.00057534i,-0.0016273+0.0017189i,-0.0012803+0.0013235i,-0.0018335+0.00064855i,-0.0026024+0.00078193i,-0.0018026+0.0013041i,-0.00031856+0.0009319i,6.8335e-06-0.00061196i,-0.0001142-0.00076722i,0.0002753+0.00048816i,0.00045879+0.00074085i,0.0007761-0.00019829i,0.00039484-7.8083e-05i,-0.00036783+0.00040311i,0.00020729+0.00059127i,0.00023749+6.8641e-05i
-0.0007156-0.0014969i,-0.0015379-0.0015679i,-0.0011656-0.0017309i,-0.0015372-0.00039929i,-0.0024138+0.0017747i,-0.0018427+0.00197i,-0.0017151+0.0006195i,-0.0022024+0.00016186i,-0.0016222+0.00023456i,-0.00055311+0.00017515i,-0.00060539-0.00097769i,-0.0014183-0.0017256i,-0.0016585-0.0011283i,-0.00077771-0.00082125i,-6.4944e-05-0.0005578i,7.6955e-05-0.00032287i,0.00050325-5.215e-05i,0.00074408-0.00041177i,0.00056052-0.00062364i,-0.00039408-0.0004684i,-0.00044735+0.00012679i,1.0571e-05+0.00057359i,0.00040819+0.00023218i
0.00092251+0.00020711i,0.0018799+0.00043879i,0.0023764+0.00026679i,0.00094851-0.00031288i,0.00062613-0.00019181i,0.0012851-0.00047049i,-4.0132e-05-0.0013682i,-0.00086589-0.0017261i,-0.00013913-0.00086945i,0.0011567-0.00072099i,0.0018675-0.0013068i,0.00090677-0.0027401i,0.00011718-0.0034368i,0.00026103-0.0016768i,-0.00030908-0.00024643i,0.00024074+0.00094879i,0.0011711+0.0013038i,0.00081516+0.00096688i,0.00025789+0.00063401i,-0.00028093+0.00034901i,-0.00076344+0.00072439i,-1.1066e-05+0.00059938i,0.00033286-0.0002628i
0.0010714-0.0011785i,0.0010002-0.0015765i,-0.00017414-0.002187i,-0.0010367-0.0014452i,-0.0015337+0.00048378i,-0.0012984+0.0007289i,-0.00057032-0.00083588i,-0.00032901-0.0012873i,0.00062594-0.00049041i,0.001552+0.00082752i,0.0017439+0.00093099i,0.0025834-0.00036216i,0.0026372-0.0014215i,0.0018349-0.0022073i,0.0010795-0.0014772i,0.00076219-0.00069564i,0.0005936-0.0011557i,0.0001744-0.00088994i,-0.00012004-0.00045952i,0.00018228-0.00015151i,0.00036143+0.00017861i,0.0006602+0.00019761i,0.00067568+0.00016404i
-0.00068365+0.0015458i,-0.00092493+0.0018119i,-0.00041713+0.00055714i,0.000575+0.00074901i,0.0011513+0.00042749i,0.00090989-0.00075299i,0.00065948-9.5429e-05i,0.0012494+0.00084406i,0.0016911+0.0020551i,0.00089893+0.0031315i,0.00022318+0.002427i,0.0016848+0.0016961i,0.0027337+0.001248i,0.0017801+0.00036446i,-0.00011689+0.00030095i,-0.0012984+0.00073473i,-0.0012691+0.00052523i,-0.0014437+0.0005255i,-0.00077852+0.0015702i,-0.00019638+0.0016853i,-0.00012879+0.00078887i,-0.0010124+0.00017077i,-0.0010479-4.2043e-05i
0.00219-0.0020681i,0.0034426-0.0025796i,0.0025153-0.0019496i,0.00046782-0.0018078i,-0.00069037-0.0010637i,-0.00087994+0.00060573i,-9.7507e-05+0.00045753i,0.00064245+0.00042264i,-0.00025721+0.0010536i,-0.0015996+0.0015414i,-0.0018401+0.0017996i,-0.00042981+0.0019274i,0.0011336+0.0016422i,0.0014925+0.0012047i,0.00054288+0.00051914i,0.00015409+0.00026576i,0.00050244+0.00016824i,-4.1019e-05-0.00018227i,-0.00015485-0.00061674i,7.9644e-05-0.00038039i,0.00016169+2.8246e-05i,-0.00018471+0.00061233i,-0.00022892+0.00097271i
0.00018323-0.0023188i,-0.0010758-0.0029838i,-0.0018044-0.0018914i,-0.0021933-0.00044545i,-0.0017622+0.00040825i,-0.00066354+0.00098291i,-0.00049957+0.0011611i,-0.0015165+0.00094637i,-0.0025508+0.00043925i,-0.0023208-0.00061249i,-0.0013912-0.0012135i,-0.00087194+0.00040968i,-4.1004e-05+0.0019023i,0.00077748+0.001237i,0.00023508+0.00016375i,-0.00042544-0.00058342i,-0.00022069-0.00051942i,5.674e-05-0.00015369i,-0.00011881-0.00022849i,-0.00033408-0.00047308i,-9.0733e-05-0.00083495i,-9.1418e-05-0.00062602i,-0.00030914-0.00037625i
-0.0008242+0.0032107i,-0.00093582+0.0035803i,-4.8419e-05+0.00123i,2.4627e-05+0.00011662i,0.00016912+0.00023514i,0.00052504-0.00052354i,-0.0009928-0.001637i,-0.0025583-0.0017331i,-0.0017286-0.0013466i,8.9959e-05-0.0014007i,0.00022227-0.001554i,-0.00122-0.0010223i,-0.0025166-7.9038e-05i,-0.002086-0.00021494i,-0.000831-0.0012235i,0.00021443-0.00094206i,0.00076333-0.00030545i,0.0010472-0.00041755i,0.00070995-0.0006787i,0.00041689-0.00061671i,0.00033616-0.00049538i,0.00010371-0.00073263i,0.00050405-0.00026779i
0.001324-0.0015957i,0.0021015-0.0032158i,0.0019343-0.0036502i,0.0010092-0.0022499i,0.00033934-0.0012003i,-0.00027232-0.0008473i,-0.00016792-0.00051016i,0.00038434-0.00072276i,0.0008094-0.0013527i,0.00088146-0.00056729i,0.00069149+0.00058145i,9.9903e-05-0.00047244i,-0.0013185-0.0022808i,-0.0010083-0.0020486i,0.00048943-0.00047037i,0.0016007+0.00021346i,0.0014221+0.00053266i,0.00051029+0.00084292i,-0.00013525+0.00063041i,-0.00023068+0.00080066i,0.00015636+0.0012645i,0.00047055+0.0014509i,0.00045938+0.0014275i
-0.0012244+0.0033317i,-0.00046588+0.0042736i,-0.00038465+0.0047438i,0.00076738+0.0031609i,0.0017107+0.0008042i,0.001403-0.00097312i,0.00047127-0.0011887i,0.00092986-0.00085965i,0.0021578+0.00083376i,0.0014281+0.0022168i,0.0012218+0.0017428i,0.001112-3.7889e-05i,-3.916e-05-0.0019417i,-0.00074687-0.0025845i,-0.00060682-0.0014587i,0.00024696+0.00048223i,0.00039172+0.0014694i,-0.00018459+0.001177i,-0.00023355+0.0005954i,0.00046277+0.00030129i,0.00084432+9.0485e-05i,0.00010591-0.00023151i,-0.00036735-0.00083971i
-5.2259e-05-0.0010472i,0.0011568-0.00083046i,0.0012748-0.00044336i,0.0004008+0.0007429i,-0.00088062+0.0022266i,-0.00088725+0.0019763i,-0.00082181+0.00081442i,-0.00030082+0.0013257i,-0.00028994+0.0022678i,-0.00052841+0.0025892i,0.00019763+0.0019144i,0.0023363+0.00030792i,0.0038145-0.00059161i,0.0028897-0.00051609i,0.0016603-2.1391e-05i,0.00037397-0.00014462i,0.00023126-0.00030793i,3.4326e-06+3.3063e-05i,-0.00055984+0.00023126i,-0.00035342+0.00044826i,-0.00020858-0.00014641i,-0.00035033-0.00059817i,-0.00039416-2.1602e-05i
0.0018526+0.002312i,0.00191+0.0014125i,0.0015788+0.0009931i,0.0018628+0.00068547i,0.0019552+0.00027281i,0.00054925-0.00035468i,-0.00053024+0.00027948i,-0.00093775+0.0012929i,-0.0014087+0.0017039i,-0.0022901+0.0011189i,-0.0015615-0.00014354i,0.00039354+0.00016122i,0.0015104+0.0011299i,0.0014525+0.001142i,0.00062218+0.0010941i,7.0378e-05+0.0013912i,-4.3452e-05+0.0013514i,-0.00068686+0.00040668i,-0.0011967-0.00025067i,-0.00079028-0.00067782i,-0.00052746+3.7604e-05i,-0.00081003+0.00091947i,-0.00091321+0.00060036i
0.00045151+0.0036053i,0.0019605+0.003039i,0.0020959+0.0018601i,0.0015739+0.0014218i,0.001477+0.00085185i,0.0011247-0.0007028i,-0.00046506-0.0017336i,-0.0018805-0.001597i,-0.0017883-0.0016351i,-0.00088112-0.0022719i,-0.00032766-0.0016218i,0.00066751+0.00031442i,0.0013631+0.0018797i,0.0016577+0.0018767i,0.0014075+0.0007224i,0.00054236-0.00015681i,-0.00022934-0.00052757i,-0.00048946-0.00087661i,-8.2896e-05-0.0015598i,-5.2986e-06-0.0010481i,-6.1482e-05+1.4532e-05i,-0.00026456-9.1943e-05i,-0.00017071+1.3192e-05i
-0.00014816+0.00059442i,-9.0808e-05+0.00034274i,0.0016336-0.00068833i,0.0016309-0.001843i,0.00025443-0.0015624i,-0.00043108-0.0010068i,-0.00052083-0.00077023i,0.00013059-0.0011487i,0.00090873-0.0021687i,0.0022932-0.002196i,0.00254-0.00041024i,0.00060949+0.0022772i,-0.00087989+0.0030174i,-0.00089032+0.0022853i,-0.00054833+0.00093184i,-0.00026836-0.00046304i,-0.0001904-0.00054595i,0.0006466-0.0010292i,0.0010983-0.0011834i,-1.1963e-05-2.8433e-05i,-0.00017131+0.00043813i,0.00023568-0.00011004i,0.00057176-0.00055183i
0.0013198-0.00057354i,0.00098555-0.0013051i,0.00011554+1.5522e-05i,-0.00018698+0.0007464i,-2.3404e-06+0.00040178i,-0.00049623+4.8064e-06i,-0.00037046-0.00044239i,0.00099855-0.00025945i,0.0027969+0.0011823i,0.0035133+0.0023549i,0.0021113+0.0022207i,0.00011909+0.0017424i,-0.0015898+0.00064542i,-0.0022091-0.00031978i,-0.00094651-0.00079266i,0.00039063-0.0010206i,0.00049841-0.00037809i,0.0008929+0.0001164i,0.0011785-0.00067297i,0.00031813-0.00095599i,-0.00025439-0.00065254i,-0.00013527-0.00019301i,-3.2901e-05+0.00047818i
4.9301e-05-0.00099467i,0.00060391-0.00041108i,-9.2687e-05+0.0014348i,-0.00060345+0.0019982i,0.00047445+0.00096293i,0.0012938+0.00032119i,0.00039831+0.00023136i,0.00017901+0.0015013i,0.00068776+0.0027982i,0.00030636+0.0029664i,-0.00079809+0.0022055i,-0.0013036+9.472e-05i,-0.0015395-0.0023911i,-0.00090607-0.0026837i,0.00044917-0.0012463i,0.0017044-0.00062086i,0.0015396-0.00033798i,0.00038589+0.00045618i,0.00017241+0.0013i,0.00077797+0.0017634i,0.0012774+0.0013817i,0.00075978+0.0011044i,-0.00093222+0.0013163i
-0.0024263+0.0032938i,-0.0024387+0.003074i,-0.0020964+0.0028406i,-0.00016673+0.0025929i,0.00075608+0.0021525i,-0.0001391+0.00090231i,-0.0013771+0.00021989i,-0.0015204+0.0016669i,-0.001062+0.0029626i,-0.0017454+0.0024087i,-0.002412+0.00040702i,-0.0013164-0.0012541i,0.00037842-0.002139i,0.00083651-0.0027067i,-0.0001349-0.0023629i,-0.0004736-0.00086042i,-0.00026435+0.00083437i,-0.00024438+0.00067544i,-0.00090354-0.00012232i,-0.0011066+0.00035492i,0.00027482+0.00073897i,0.00071724+0.00075258i,0.00085852+0.0010577i
0.0010988+0.0016239i,0.0024469+0.0014998i,0.0025875-0.00021665i,0.00081414-0.00055541i,0.00030693-0.00013279i,0.00061383-0.0005614i,-0.00013561-0.0009653i,-0.0013987-0.00070251i,-0.0025238-0.00096583i,-0.0027629-0.0021609i,-0.0017231-0.0028332i,0.00081602-0.0027525i,0.0032893-0.0017359i,0.0032187-0.0013116i,0.0019003-0.00098538i,0.0011629-2.992e-05i,0.00094167-0.00012538i,0.00036172-0.00039432i,-0.00047168+0.0001081i,-0.00076251-0.00042113i,-0.00044649-0.00068355i,-0.00057292+3.1222e-05i,-0.00044866+8.3714e-05i
0.00042644-0.00016172i,-0.00043672-0.0030132i,-0.00052004-0.0036488i,-0.00072482-0.0023836i,-0.0011625-0.0013728i,-0.0015308-0.0010083i,-0.0010638-0.0011213i,9.9526e-05-0.00093054i,0.00088163-0.0016729i,0.00078208-0.0030266i,0.0013127-0.0031215i,0.0024311-0.0013688i,0.0033962+0.00046294i,0.0028316+0.0011979i,0.00051494+0.0010145i,-0.00079743+0.0005491i,-0.00064915-5.6226e-05i,-0.00028208-0.00032096i,-0.0004522-0.00049757i,-0.00065136-0.000314i,-0.00044897-0.0001971i,-0.0003294-0.00047814i,-0.000804-4.1093e-05i
0.0013378+0.0014541i,0.0015878+0.0014631i,0.0014352+0.0025876i,0.00066701+0.0012632i,0.00020052-0.0011459i,-0.00089452-0.001245i,-0.0012575-0.0011255i,0.00017509-0.0012078i,0.0024489-0.0013412i,0.0035861-0.0008989i,0.0031368+0.00088612i,0.0022427+0.0023733i,0.0015535+0.0025248i,0.00087333+0.0020894i,0.00023936+0.0012396i,0.00024495+0.00094196i,0.00042491+0.0003734i,0.0005214-0.00032922i,0.00039479-0.0005416i,0.00051444-0.00035559i,0.00041586+0.00011959i,0.00072569+0.000515i,0.00086191+0.00045635i
0.0017597+0.00043292i,0.0037755+6.676e-05i,0.0024671-0.0003696i,0.0019344-0.0010302i,0.0025622-0.00072482i,0.0015452-0.00023982i,0.00023975+0.00061421i,4.1593e-05+0.0024018i,0.0019237+0.0034697i,0.0035645+0.0042437i,0.0018058+0.0047329i,-0.00097239+0.0039175i,-0.0019696+0.0026093i,-0.0014622+0.0013885i,-0.00088417-4.805e-05i,-0.00071747-0.00015767i,-0.00011047+0.00068474i,0.00038838+0.00043297i,0.00050307-0.00033302i,0.00020863-4.7002e-05i,-0.00027483+0.00036081i,-0.00047415-8.7771e-05i,4.3136e-05-0.00035725i
-0.00055817+0.0016982i,-0.0004393+0.0014602i,-0.00077822+0.00053007i,-0.0018193-8.3795e-05i,-0.0016165-1.633e-05i,-0.00033509+0.00019054i,0.00013744+0.00050653i,-0.00014045+0.0012728i,-0.00060326+0.002975i,-0.0015516+0.0048495i,-0.0030948+0.0050344i,-0.004378+0.0028682i,-0.0035084+0.00029851i,-0.0014954-0.00066368i,-0.00084087-0.00026546i,-0.00057523-6.7987e-05i,0.00042733+0.00027233i,0.00084991+0.00085113i,0.00032097+0.0011248i,-0.00044556+0.00062659i,-0.0009142-0.00065167i,-0.00032439-0.0011424i,0.00058982-0.0003255i
-6.5994e-05+0.00058818i,0.00042359-0.0004964i,0.0019164-0.00074253i,0.0010196+0.00012184i,-0.00089179+0.00034732i,-0.0016157-0.0001419i,-0.0026639+0.00013304i,-0.0027916+0.00022421i,-0.0029018+0.00057958i,-0.0040185+0.00056721i,-0.0040196-0.00085254i,-0.0033284-0.0026298i,-0.0026617-0.0027518i,-0.0015051-0.00099268i,-0.00058011-0.00036512i,0.00033574-0.00094342i,0.00062851-0.00093689i,0.00030044-0.00088908i,-0.00029098-4.2686e-06i,-0.00038618+0.0011728i,-5.3973e-05+0.0013209i,0.00059466+0.0011098i,0.00096813+0.00053677i
0.00011798-0.0031646i,-0.0011671-0.0033721i,-0.0018258-0.0030758i,-0.00096628-0.0017575i,-0.00079403-0.00089432i,-0.00060342+0.00043484i,-0.00012345+0.00019995i,-0.00060714-0.0013575i,-0.0011815-0.0024841i,-0.0023715-0.0035427i,-0.0021645-0.0044029i,0.00013545-0.0046012i,0.001599-0.004443i,0.0016896-0.0034622i,0.0016563-0.0018589i,0.00085735-0.0014228i,-0.00055669-0.0012909i,-0.00075551-0.00057068i,-0.00098332+0.00070324i,-0.00081761+0.00079123i,0.00012633+0.00047721i,0.00024186+9.3562e-05i,-0.00082693+0.00059261i
0.003193-8.2938e-05i,0.0037467-0.00087016i,0.0033345-0.00080645i,0.0017579+0.0003408i,0.00011528+0.00043366i,-0.00041676-4.9828e-05i,-0.00091695+7.8551e-05i,-0.00018959-0.0011549i,0.001428-0.002504i,0.0021324-0.0026932i,0.0036374-0.0024262i,0.0049087-0.0014865i,0.0040725-0.00058838i,0.002828-0.00052291i,0.0022072-0.00047329i,0.0013422-0.00070568i,0.00051959-0.0010965i,9.9566e-05-0.00064253i,-0.00013504-0.00032727i,-0.00034009-0.00023335i,-0.00032036+0.00052825i,-0.00017084+0.0005912i,0.00019951-0.00015731i
0.0032929+0.0026925i,0.0036251+0.00071893i,0.0029028-0.00063161i,0.0012201-0.0017336i,-0.00060129-0.0022928i,-0.0010924-0.0023176i,0.00027356-0.001298i,0.0020755+0.00059159i,0.0041091+0.0016472i,0.0050075+0.0011929i,0.0048849+0.0011342i,0.0040751+0.0025258i,0.0025933+0.0028654i,0.0013398+0.0019961i,0.00073765+0.001515i,0.00039842+0.0014283i,5.9772e-05+0.0018056i,-0.00032196+0.0015603i,-0.00042194+0.00056802i,-0.00076423-0.00016922i,-0.00081016-0.00059919i,-0.0001147-0.00069259i,0.00069035-0.00012337i
0.00073868+0.001375i,0.0020081+0.0015481i,0.0011475+0.0017162i,0.00024386+0.0011389i,0.00017249+0.0004228i,-0.0001623-3.8745e-05i,-0.00021767+0.00048944i,0.0003191+0.0015725i,0.00089385+0.0030409i,0.00067196+0.0043732i,0.00040889+0.0056871i,1.0691e-05+0.0064299i,-0.00021167+0.0052318i,-0.00020008+0.0035465i,0.00034767+0.0024665i,0.00027437+0.0018583i,-0.00031167+0.0015033i,-0.00059715+0.00059178i,2.3962e-05-8.7643e-05i,0.0012402-0.00042908i,0.00091275-0.00042811i,-0.00014013-0.00023448i,-0.00076427+0.00047165i
-0.0014041+0.0027032i,0.00084613+0.0016552i,0.0028669+0.00058712i,0.0022205+0.00046464i,0.0013849+0.00011122i,0.00083743-0.0005942i,-0.0010948-0.0011761i,-0.0017843-0.00016281i,-0.0014044+0.0023333i,-0.0020239+0.0036383i,-0.0035314+0.0035257i,-0.0045049+0.0023483i,-0.0041387+0.0014189i,-0.0030119+0.00083387i,-0.0023225+0.0004529i,-0.0019174+0.00062589i,-0.0016603+0.00094321i,-0.0016425+0.00048053i,-0.0015728-0.00058257i,-0.0012849-0.00044609i,-0.00028671+0.00034075i,0.00043778-0.00011372i,0.00033719-0.00013804i
0.00039741-0.0014123i,0.00025398-0.0022613i,0.00019746-0.0026775i,-0.0012589-0.0021981i,-0.0018135-0.0019488i,-0.00085154-0.00041359i,-0.00075633+0.00036255i,-0.0011445-0.00022149i,-0.00096643-0.00036296i,-0.002227-0.00061684i,-0.0041617-0.0019572i,-0.0050056-0.0028993i,-0.0037559-0.0022371i,-0.0014554-0.00057465i,-0.00025721+0.00028522i,-0.00047311+0.00024822i,-0.0007914-0.00067851i,-0.00029758-0.00065458i,4.8155e-05+0.00015235i,6.1358e-05+0.00016009i,0.00018501+0.00031491i,0.00087775+0.00046768i,0.0013109+0.00011421i
0.00097489-0.0047396i,-0.00023179-0.005118i,-0.0028182-0.0029806i,-0.0027681-0.00019145i,-0.0017809+0.0018428i,-0.0011527+0.0015622i,-0.00079059+2.5201e-05i,-0.00084881-0.0007908i,-0.00022833-0.0017568i,-0.00020133-0.0029847i,-0.00091405-0.0046555i,0.0005082-0.0059023i,0.001689-0.0054008i,0.0015155-0.0042564i,0.00089182-0.0031544i,-1.153e-05-0.0017303i,-9.5483e-05-7.1049e-05i,1.8067e-05+4.2901e-05i,-0.00011763-0.0003271i,0.00010403+0.00024007i,0.00075061+0.00057728i,0.0007503+0.00094585i,2.9722e-05+0.0010502i
0.0027474+0.0010124i,0.0040167+0.0016343i,0.0039682+0.00058055i,0.0017598-5.0938e-05i,-0.00080026+0.0004117i,-0.0010924+0.00014583i,0.00026874-0.00037315i,0.001852-0.00054187i,0.0033185-0.001488i,0.0042967-0.0032941i,0.0052883-0.0041974i,0.0057986-0.0041205i,0.0040293-0.0028321i,0.0015157-0.0011553i,0.00033643-0.00059242i,0.00072377-0.0010477i,0.0010136-0.00081757i,0.00083864-0.00014099i,0.00048629+4.5042e-05i,0.00055325+0.00065815i,0.00026458+0.00076852i,-0.00029414+1.9983e-06i,-0.00043038-0.00063004i
-0.0026341-0.001508i,-0.0033726-0.0007427i,-0.0036748-0.00020469i,-0.0030436+0.00078438i,-0.0015043+0.0019414i,-0.00064505+0.0023594i,-0.00067206+0.001757i,-0.00062823+0.001172i,0.00033188+0.0014069i,0.0022558+0.0016705i,0.004119+0.0021066i,0.0049616+0.0028411i,0.0038556+0.0021076i,0.002143+2.2326e-05i,0.00096966-0.0010085i,0.00068392-0.00040876i,0.00087706-0.00018005i,0.00083915-0.00018065i,0.00056675+0.00043235i,0.00025203+0.00091365i,0.000225+0.0013285i,-0.00080735+0.00061069i,-0.00048346-0.00018732i
-0.0011928-0.0024967i,-0.0018237-0.0006367i,-0.002201+0.00032427i,-0.0019664+0.00016306i,-0.0018769+0.00079404i,-0.00075653+0.00131i,-0.00051155-0.00038363i,-0.001543-0.0007285i,-0.0017203+0.0017826i,-0.00088809+0.0044269i,-0.00047717+0.00585i,-0.00040974+0.0054488i,0.00029567+0.0030836i,0.00074909+0.00065402i,0.00039325+3.1653e-05i,0.00063626+0.00070338i,0.00091174+0.001023i,0.00063474+0.0010698i,0.00030778+0.00084792i,4.4175e-05+0.00061725i,1.7504e-05+0.00073113i,-0.00024539+0.00033771i,-0.00091099-0.00025939i
0.0027839-0.0034978i,0.001672-0.0055703i,0.00042142-0.0052433i,-0.0015964-0.003474i,-0.0023521-0.0017493i,-0.0017832-0.00044181i,-0.0017476-0.00078826i,-0.0019719-0.00088823i,-0.0026118+0.00061432i,-0.003731+0.002007i,-0.0052119+0.0040122i,-0.0053129+0.0046891i,-0.0031903+0.002873i,-0.0007112+0.0012377i,0.00035956+0.00040905i,-4.0294e-05+0.00031125i,-0.00010343+0.00041i,0.00025771+0.00063491i,0.00092208+2.7393e-05i,0.0016335+0.00043779i,0.0010406+0.00082781i,0.00014391+0.00068286i,-0.00054247+0.00054347i
0.00030874+0.001079i,-0.00097823+0.0012914i,-0.0024242+0.001156i,-0.0022779+0.00088157i,-0.0012837+0.0011516i,-0.00074926+0.00069018i,-0.00054655+0.00053159i,-1.7655e-05+0.00047353i,-0.00056201-0.00085537i,-0.0027426-0.0017745i,-0.004278-0.0018324i,-0.0035958-0.0015165i,-0.0016399-0.0014873i,-0.00027912-0.001525i,0.00016147-0.00021952i,-0.00047383+0.00050764i,-0.00018384+0.00055076i,0.00023803+0.00034859i,0.0003726-9.0005e-05i,0.0012195-0.00054688i,0.00079985-0.00066287i,0.00022443-0.00038529i,0.00041555-0.00018454i
0.0035533+0.00077386i,0.0054517-0.00055886i,0.0045987-0.0018323i,0.0024304-0.0012703i,0.00067364-0.00017942i,0.00026888-0.00053617i,0.0001632-0.00049683i,0.00066372+5.219e-05i,0.0015463-0.00083266i,0.00086146-0.003106i,0.00045787-0.0058931i,0.00067031-0.0065016i,0.00032311-0.0043152i,0.00036637-0.0013691i,0.00042032-0.00045852i,0.00010335-0.00083419i,-0.00014264-0.00076118i,-0.00017861+0.00038005i,-0.00061837+0.00079688i,-0.00043144-0.00017601i,0.00033625+5.3778e-05i,0.00064011+0.00010261i,0.00049037-0.00021018i
-0.00064088-0.00022985i,-0.0017846-0.00054141i,-0.0023153-0.0016554i,-0.0023541-0.0012211i,-0.002018-0.00016526i,-0.0011537-6.5198e-05i,-0.00092063+0.00028088i,-0.0008763+0.0013014i,0.0010231+0.00090165i,0.0043466-0.0020414i,0.0065696-0.0040369i,0.005721-0.0038899i,0.0023506-0.0025379i,-7.8589e-05-0.00076951i,-0.00033212-0.00034507i,0.00013343-0.00044397i,0.0003521+0.00097729i,0.00028327+0.0012492i,0.00010711+0.0001762i,-0.0002418+0.00068055i,-0.00056024+0.00096734i,-0.00015816-3.8159e-05i,-0.00016371-6.6666e-05i
0.0011017-0.0015967i,-0.00016668-0.00022761i,-0.0011387+0.00086947i,-0.0027433+0.00062693i,-0.0024558+0.00031724i,-0.00081272-0.00020855i,-0.00029727-0.00087554i,-0.00060155-0.0005874i,0.00073123+0.00053269i,0.0040449+0.0018635i,0.0060318+0.0031693i,0.0058484+0.0030529i,0.0037283+0.0019395i,0.0010442+0.00043366i,-0.00046201-0.00028422i,-0.00054857-0.00015566i,0.00012571-7.6384e-05i,-0.00022547-0.00040454i,-0.001049-0.00043562i,-0.001045-0.00025127i,-0.00046583+6.4634e-05i,-0.00052744-0.00017452i,-0.00086269-0.0011237i
