0.0013184-0.00055339i,0.00015241-0.0012702i,-0.0011279-0.0029358i,-0.0021023-0.0020767i,-0.0018297-0.00019323i,-0.001219+0.0010132i,-0.00029664+0.0015362i,0.0010265+0.0006664i,0.0016256-0.00026926i,0.0015928-0.00059317i,0.001075-0.00087026i,0.00042776-0.0010111i,-0.000301-0.00087097i,-0.00037258-0.00024716i,0.00010059-0.00022011i,0.00017979-0.00036773i,-1.8045e-05-0.00019732i,0.00060683-5.5044e-06i,0.00030071-9.8893e-05i,-0.00010404-0.00066687i,-8.5276e-05-0.00046381i,-0.00046955+0.00045673i,-0.00078661+0.0012662i
-0.0033849-0.00057676i,-0.0035091-0.0030374i,-0.0040755-0.00068305i,-0.0024994+0.001945i,-0.0001057+0.0028939i,0.001892+0.0024351i,0.0025303+0.00059611i,0.0015194-0.00043343i,0.00030943+0.00057294i,0.00017372+0.0015331i,0.00039607+0.00088299i,7.9728e-06+0.00017396i,-0.00043213-0.00080786i,-0.00028694-0.0014118i,-0.00037802-0.0013285i,-0.00081576-0.0010438i,-0.00068377-0.00070393i,-9.7573e-05+1.6976e-05i,0.00021972-7.3581e-05i,-0.00051936-0.00038647i,-0.00083728-0.00057427i,-0.00011227-0.00086974i,0.00061629+4.8084e-05i
0.0018891-0.0024572i,2.5643e-05-0.0047687i,-0.00152-0.0059367i,-0.0021756-0.00424i,-0.0011026-0.0003961i,-0.00024074+0.0020186i,0.00037506+0.0015748i,0.00047273+0.00090801i,0.00014437+0.00090845i,7.7367e-05+0.00020309i,1.5007e-05-0.00039587i,0.00031392-0.00014945i,0.00076494+0.00030636i,0.00079685+0.00028779i,-0.00064378-0.00021102i,-0.00020196-0.00019175i,0.001296+0.00035951i,0.00090598+0.00051504i,0.00042815+0.00021228i,0.00032783-0.00041736i,-0.00024888+0.00011747i,-0.00069706+0.0012206i,-0.00042271+0.00088516i
-0.00027914-0.0026868i,0.0010562-0.0037886i,0.00034394-0.0036622i,-0.00096272-0.0010433i,-0.0001319+0.0012896i,0.0019666+0.001662i,0.0023519+5.0407e-05i,0.0016553-0.00069424i,0.00027871-0.00015361i,0.00043885-0.00024204i,0.0012333-0.00061372i,0.00062372-0.00034222i,-0.0001733-0.0010023i,-0.00049353-0.0011412i,-0.00065193-0.00021137i,0.00023116+0.00031431i,0.0011155+0.00034906i,0.0011143+0.00078812i,-1.7411e-05+0.00074991i,-0.00086271-0.00012048i,-0.00031285+3.9467e-05i,0.00095819-0.00022892i,0.0014593-0.00081202i
0.00016319-0.00054882i,0.00089112-0.0021429i,8.2508e-05-0.0035619i,-0.00039377-0.002332i,0.001365+0.00014703i,0.0027625+0.0005079i,0.0023929+5.3794e-05i,0.0016046+0.00021782i,0.00026796+0.00065397i,-0.00053578+0.00065382i,-0.00029077-8.8136e-05i,0.00037138-0.00024261i,0.00059297-0.0010048i,0.00025969-0.0017241i,0.00013194-0.00043413i,0.00037188+0.00028614i,0.00039788+6.5239e-05i,-0.00010108+0.00035679i,0.00011954+0.00055967i,0.00063156+0.00010437i,0.00029227+0.00017296i,-0.00020506+0.00079148i,-0.00055995+0.00067758i
0.00035508-0.00036965i,0.0012272-0.0025916i,0.00087018-0.003107i,-0.0006716-0.0011637i,-0.00034961+0.00056574i,0.001558+0.0011199i,0.0019299+0.0011193i,0.00095709+0.0010664i,0.00048155+0.0010406i,0.00050948+0.00057577i,0.00041157+0.000228i,0.00035197+0.00027395i,0.00029663-3.7463e-05i,3.618e-05-0.0007976i,-0.00073943-0.00103i,-0.00087127-0.0004638i,-0.00053976+0.00012764i,-0.00022525+0.00035882i,0.00033339+0.00019276i,0.00053221-8.3964e-05i,-7.4958e-05-8.9345e-05i,-0.00071345+0.00064192i,-0.00032205+0.0010151i
-0.00024044-0.00015526i,0.0009842-0.0019029i,0.0001257-0.0028971i,-0.0011158-0.001924i,-0.0005671+0.00012911i,0.0011441+0.0020386i,0.0013425+0.0015284i,0.00037797+0.0001732i,0.00035016+0.00069022i,0.00063787+0.00094153i,0.00042973+3.6517e-05i,0.00049109+0.00059539i,-6.1447e-05+0.00088684i,-0.00020433-0.00041377i,0.00056797-0.00087269i,0.00022942-0.00038207i,-0.00036635+0.0001502i,-0.00024513+0.0011226i,0.00045846+0.0010581i,0.0011+0.00016735i,0.00077609+0.0001739i,0.00024253+0.0001432i,0.00035038-0.00021754i
-0.00083338-0.0019362i,0.0007472-0.0025995i,0.0010178-0.0039091i,-9.5421e-05-0.0022368i,0.00043611+0.000548i,0.0024044+0.0011663i,0.0030865-0.00013i,0.0020375-0.0010915i,0.0011055-0.00065691i,0.00059285-0.00076922i,0.00045473-0.0011676i,0.00045761-0.0011749i,0.00083936-0.00064267i,0.00063668-0.00029264i,0.00049702-0.00036205i,0.00050707-0.00023976i,0.00010374-0.00019817i,5.596e-05-0.00017847i,0.00022555-0.00016646i,-0.00036156+8.1327e-07i,-0.00046109-0.00018411i,-5.486e-05-0.00031786i,3.1945e-05+4.0777e-05i
-0.001944-0.0031586i,-0.0019974-0.0030154i,-0.0019213-0.0017813i,-0.00095814+0.00020802i,5.2903e-05+0.0015374i,0.0015564+0.0016483i,0.0029533+0.0013553i,0.0018459+0.00082168i,9.5699e-05+0.00050255i,-0.00017846+0.00025528i,-0.00033912-0.0003193i,-0.00038429-0.00037631i,0.00068422-0.00040793i,0.0012608-0.00062328i,0.00058709-0.0012388i,-5.1009e-05-0.0012091i,-0.00010796-0.00011077i,0.00019748+6.4825e-05i,0.0005472-0.00013472i,0.0011077+3.6827e-05i,0.0013448+5.8803e-06i,0.00080317+0.00061423i,0.00013103+0.0014323i
0.0016469-0.00024654i,0.00014158-0.0026802i,-0.00072044-0.003302i,-0.0013021-0.0021955i,-0.00049311-5.2837e-05i,0.0017889+0.0010467i,0.0019817+0.00044977i,0.00074781-0.00022629i,0.00072944+0.00087451i,0.00049492+0.0012318i,-0.00013178+0.00020198i,-4.1858e-05-0.00024891i,0.00047755-0.00036806i,-0.0001237-0.00058935i,-0.00073801-0.00037502i,-2.8255e-05+9.3224e-05i,0.00056365+0.00090382i,0.00088142+0.00098524i,0.0006493+5.9782e-05i,0.00038597-0.00046001i,0.000328+0.00030686i,-0.00023546+0.00038905i,-0.00026968+4.2462e-05i
-0.00072689+0.001859i,-0.00034178+0.00032039i,-0.0013511-6.3392e-05i,-0.0012329+0.00020616i,0.00063053+0.0013067i,0.0020537+0.0020248i,0.0022054+0.0010991i,0.0013082+0.0002744i,-0.00032215+0.00059974i,-0.00025533+0.00076646i,7.9766e-05-9.7261e-05i,9.006e-05-0.0012616i,0.00018498-0.0018311i,-0.00029943-0.001817i,-0.00061506-0.0017969i,-0.00052248-0.00088932i,-0.00037813-0.00015874i,-0.00022343-1.381e-05i,8.5982e-05-0.00032657i,-0.00065979-0.00071913i,-0.0012375-0.00043592i,-0.00015802+7.8981e-05i,7.3316e-05+0.00050445i
-0.00031855-0.00092571i,-0.0012284-0.003359i,-0.0011827-0.0052189i,-0.0020669-0.0035519i,-0.0017854+0.00031775i,-6.2e-05+0.0017834i,0.00090022+0.00076072i,0.00078315+0.00044133i,0.00074334+0.00039604i,0.00091259-5.6997e-05i,0.0011735-0.00046694i,0.0014254-0.00083087i,0.00091335-0.00094605i,0.00048645-6.0937e-05i,0.00058897+0.00048089i,0.00029916+0.00078624i,-0.00026302+0.00089892i,0.00022233+0.00050995i,0.00055783+0.00045799i,-0.00037698+0.00059221i,-0.0010508+0.00088819i,-0.0007082+0.00093489i,0.00044694+0.0011576i
-0.0011165-0.003734i,-0.0011022-0.0057371i,-0.001449-0.0060732i,-0.00061635-0.0039771i,0.00036895-0.00059141i,0.0013574+0.00046137i,0.0013137-0.00016736i,0.00074551-0.00021554i,6.9039e-05+0.00075278i,4.5535e-05+0.00042438i,0.00079853-0.00010661i,0.00020031+8.2053e-05i,-4.0436e-05-0.00028818i,0.00024256-9.1483e-05i,5.4886e-05+0.001146i,0.00031479+0.00129i,0.0010625+0.0008817i,0.0013365+0.00052239i,0.00066137+0.00013144i,0.00013388+0.00011689i,-0.00017399+0.00018788i,-0.00038089+0.00050049i,-0.00054409+0.00058658i
0.0015316-0.0014974i,0.00085047-0.0023855i,-0.0010904-0.0018211i,-0.0017061+0.000526i,-0.00010508+0.002703i,0.0016901+0.0019969i,0.0025656+0.00041077i,0.0016399+0.00053871i,0.00017706+0.00061858i,0.00017968+0.00033724i,0.00039034+0.0001112i,-0.00025949-0.0005193i,-0.00027825-0.00041446i,0.00030179+2.3692e-05i,0.00079868+0.00011243i,0.00045419-0.00027596i,0.00031192+0.00050288i,0.00074844+0.0017452i,9.7145e-05+0.00084673i,-0.00054943-0.00074958i,-0.00035522-0.00026061i,0.0001783+0.0010828i,0.00056465+0.0010649i
0.0018342+0.00011104i,0.0011002-0.0008644i,0.00082648-0.0025355i,-0.0004867-0.0017965i,-0.00074526+0.0002135i,0.0019707+0.0014682i,0.0033839+0.0010682i,0.0015035+0.00052587i,0.00052474+0.00044725i,0.00042624+0.00047042i,-0.00055816+6.6759e-05i,-0.0004557-0.0007238i,0.00076106-0.00081647i,0.001687-0.0004735i,0.00083601-0.00029369i,0.00044325-0.00030092i,0.00041941-0.00010433i,5.8366e-06+0.00021087i,-9.0069e-05-0.00025897i,-0.00021813-0.00088526i,0.00019731-0.0006536i,0.0012594-0.00045202i,0.00090925-0.00010369i
-0.0022108-0.00022515i,-0.0029671-0.0020015i,-0.0026446-0.0032203i,-0.0011532-0.001777i,1.7396e-05+0.00079473i,0.0011493+0.0013936i,0.0020557+0.00091485i,0.0012532+0.00082006i,0.00045885+0.00062376i,-1.4668e-05+5.5269e-05i,9.1005e-07-0.00056097i,0.00042927-0.00093182i,6.6449e-06-0.0014163i,-0.00065673-0.00084485i,-0.00076036+0.00020853i,-2.2814e-05+0.00076161i,-0.00011121+0.00029894i,-5.9554e-05-0.00077091i,0.00022802-0.00090169i,-0.00038117+0.00012275i,-0.00052753+0.00075973i,-0.00016459+0.00085516i,-0.00014976+0.00066628i
-0.00044866-0.0015295i,0.0013398-0.0029868i,0.0011462-0.003601i,9.0091e-06-0.0012i,0.00031195+0.0018193i,0.0016518+0.0025862i,0.0017142+0.00104i,0.00087112-0.00010823i,0.00078818+0.00022496i,0.0012975-7.2176e-05i,0.0018665-0.00091309i,0.0013945-0.0011574i,0.00040757-0.0011863i,-8.4567e-05-0.00058966i,-0.00011666+0.00024971i,3.733e-06+5.8377e-05i,-3.6163e-05+0.00036577i,-0.00017928+0.00095269i,-9.7021e-06+0.00012498i,2.5668e-05-0.00049743i,-0.0001952-0.00017089i,-0.00047546-0.0004121i,-0.00050918-0.00021597i
0.0019052+0.0007696i,0.0015376-0.00030798i,0.00037168-0.0019167i,-0.00053832-0.0012823i,-0.00070687+0.00043581i,0.0007868+0.00075431i,0.0016483+0.0010279i,0.0013318+0.0012981i,0.0016333+0.00097902i,0.0013453-0.00016804i,0.00016319-0.00083713i,-0.00033339-0.00037099i,0.00051389+0.00047081i,0.0011163+0.00059158i,0.00058878-0.00029583i,-0.00012271-0.00094121i,0.00034336-0.00099927i,0.00095197-0.0009434i,0.00080449-0.00098731i,0.0003359-0.0008295i,-0.00034151-0.0004795i,-0.0010161+0.00037985i,-0.00088909+0.00098401i
-2.8558e-05-0.00082553i,-0.00076039-0.002595i,-0.0009002-0.0040908i,-0.0014851-0.0033869i,-0.00095883+0.00016597i,0.00088414+0.0020564i,0.0017399+0.0013718i,0.00079673+0.00094526i,-1.2638e-05+0.0016678i,0.00047298+0.001905i,0.00079061+0.0013723i,-6.7401e-05+0.00058382i,-0.00049839-0.00013373i,5.9758e-05+0.00025901i,0.00062446+0.00097476i,0.0011439+0.00078183i,0.0012341+0.00050216i,0.0012247+0.00014798i,0.0011294-3.8748e-05i,0.0010077+0.00046283i,0.00070994+0.00097161i,0.00021508+0.00084041i,0.00011147+0.00036414i
2.9235e-05-0.0026078i,-0.00054337-0.003892i,-0.00085749-0.0039505i,-0.00042336-0.0016463i,0.00079051+0.0018609i,0.0022356+0.0020974i,0.0019667+0.00019702i,0.0010764+6.1143e-05i,4.0897e-06+0.0006903i,-0.00011914+0.00063505i,0.0001038+0.00049658i,0.00017731+0.00022891i,0.00045836-0.00030953i,-9.2006e-06-0.00090805i,2.6383e-05-0.0009976i,0.0011622-0.0007432i,0.0010404-0.00038465i,0.00016825+1.2731e-05i,0.00019982+0.00021559i,0.00048823-0.00019646i,0.00036669-0.00046658i,-0.00016046-0.00081328i,-0.00053844-0.00016912i
0.0025408-0.001156i,0.0013251-0.0033763i,0.00015953-0.0041596i,-0.00085675-0.0032256i,-0.00088891-0.0010851i,0.00050616+0.0011369i,0.0015785+0.001324i,0.0011242+0.00060703i,0.00058915-6.9584e-05i,0.00054478-0.0006798i,0.00077528-0.00047122i,0.00014178-0.00033214i,-0.00041366-0.00070596i,2.7547e-05-8.4351e-05i,0.00037721+0.00098326i,0.00047278+0.00086682i,0.00067915-7.7791e-05i,0.00061098+0.00045234i,0.00010794+0.00078283i,-0.00011493-0.0006452i,-0.00063899-0.0011642i,-0.00077725-0.00073174i,0.00017836-0.00020957i
-0.0012259+0.001476i,0.00095979-0.00012444i,0.0015205-0.0010221i,0.0009155-0.00014334i,0.00074648+0.0013473i,0.0014361+0.0013987i,0.0019358+0.00072212i,0.0016819+0.00080513i,0.0010444+0.0015582i,0.00079187+0.0013888i,0.00049387+0.00032866i,-0.0003798-0.00018861i,-0.00095645-7.3657e-05i,-0.00099604-0.00027927i,-0.00083431-0.00044822i,-0.00040993+0.00072875i,-7.6241e-05+0.00072698i,0.00039025+0.00026391i,0.0005279+0.00065606i,0.00019724-0.00019224i,-0.00063587-0.00092669i,-0.0007108-0.00042252i,-0.00020762+0.00022907i
0.00044883-0.00033987i,-0.00037154-0.00093152i,-0.0013068-0.0028806i,-0.0020904-0.0018502i,-0.0013137+0.00070883i,0.00043674+0.0013128i,0.001418+0.00027091i,0.00082029-0.00043825i,0.00074897-0.00075348i,0.00084763-0.00064215i,0.0010164-0.00012658i,0.001006-0.00032079i,0.00048331+0.00028158i,-0.00039007+0.00063478i,-0.00050895-0.00026154i,0.00022353-0.00014199i,0.00032793+0.00030788i,-7.6379e-05+0.00068263i,-0.00025677+0.00073016i,8.3493e-05+0.00079491i,0.0002075+0.00065507i,-0.00044636-0.00047734i,-0.0005813-0.0011672i
-9.6778e-05-0.0032969i,-0.00095354-0.0035887i,-0.001209-0.0033904i,-0.0012475-0.0018446i,-0.00081653+0.00032511i,0.00077891+0.0017605i,0.0021199+0.0011336i,0.0011489+0.0002285i,-0.00019133+0.00035099i,-0.00026772+0.00019305i,-8.3186e-05-0.00044941i,-2.011e-05-0.00046262i,0.00046453-0.000151i,0.001308-4.165e-05i,0.0016661+0.0004781i,0.00087037+0.0011431i,0.00074797+0.00046333i,0.00084333-0.00069839i,1.6585e-05-0.0011128i,-0.00073654-0.0005494i,-0.00087925+0.00033509i,-0.00096255+0.00035524i,-0.00068782+0.00051995i
0.0016809-0.0018007i,1.3372e-05-0.0045672i,-0.00088232-0.0046677i,-0.00088904-0.0018312i,6.8132e-05+0.0010174i,0.00098573+0.0021277i,0.00097582+0.0013002i,0.00056762+0.00073087i,0.00022871+0.00080011i,0.00039237+0.00048984i,-6.6174e-06-0.00012458i,0.00017302-0.00061131i,0.00072665-0.00078575i,0.00056666-0.00060178i,0.00047305-0.00012202i,0.00068341-0.00029034i,0.0012194-0.00029411i,0.0007105+0.00038633i,-2.7607e-05+0.00078517i,-0.00045599+0.00088274i,-0.00057366+0.0011412i,-0.00031258+0.00017777i,0.00087084+1.5431e-05i
0.002125+9.7742e-05i,0.0020811-3.9404e-05i,0.0012215-0.0014836i,-0.00032553-0.0021529i,-0.00030337-0.0013789i,0.0014209-0.00055843i,0.0024547+0.00037099i,0.0015638+0.00099837i,0.00017058+0.00070153i,-0.00075221-0.00047611i,-8.9725e-05-0.0010821i,0.00065826-0.00059533i,0.00039476-0.0003224i,-0.00044809-0.0005487i,-0.00092946-0.0012074i,3.5518e-05-0.001249i,0.00096013-0.00032436i,0.00067842+0.00015645i,0.00020407+0.00028998i,-0.00063405+0.00071545i,-0.00089794+0.00071434i,0.00012047-0.00045158i,0.0002792-0.00052506i
-0.0014186-0.00018445i,-0.0004358-0.00033574i,-0.00037983-0.00041224i,-0.00072673+0.00066643i,0.00018134+0.0020916i,0.0014709+0.0028531i,0.0020792+0.0024218i,0.0019254+0.0011704i,0.00050577+0.00059251i,-0.00055786-6.0803e-05i,-0.00061785-0.00088842i,-0.00011181-0.0010797i,0.00039002-0.00079867i,0.00051278-0.00024471i,0.00058171-5.6238e-05i,-1.4911e-07+6.6226e-05i,-0.00027639+0.00035843i,0.00038578+0.00066602i,0.00069884+0.00050355i,0.00039526+6.0876e-05i,-0.00027903+2.7952e-06i,-6.0604e-05-0.00026053i,0.00038658-0.00056604i
-0.00067152-0.0021102i,-0.0016273-0.0022596i,-0.0012685-0.0032867i,-0.0011877-0.0026787i,-0.00087137-0.00034257i,0.00059854+0.0010253i,0.0010273+0.00015789i,-0.00050456-0.00091705i,-0.00062278-0.00094226i,0.00087658-0.00097257i,0.0008145-0.00048746i,-1.1304e-05+0.00027966i,0.00028406+0.00036297i,0.0001519+0.00039732i,8.9193e-05-0.00015877i,0.00029614-0.00050992i,-0.00011333-0.00068571i,-0.0004496-0.000103i,5.4653e-05+0.00077388i,-0.00011462+0.00043227i,0.00027139-0.00015789i,0.00084011+0.00028814i,0.00031481+0.00066837i
0.00087781-0.0022312i,-0.00032936-0.0036812i,-0.0016902-0.0046196i,-0.0011141-0.0026801i,0.00064377+0.00079355i,0.0016115+0.002641i,0.0014352+0.0020069i,0.0012212+0.0010029i,0.0011332+0.00077774i,0.0010507+0.00037273i,0.00021594+4.4232e-05i,-0.00020515-0.00038093i,-5.7097e-05-0.001063i,0.00017718-0.00079571i,0.00031538-0.00074423i,0.00074049-0.00024744i,0.0010553+0.00036045i,0.00010712+0.00031356i,-0.00061434+0.00047968i,-0.00029071+0.00061463i,2.3707e-05+0.00044751i,-0.00051787+8.0467e-06i,-0.0011873+0.00020849i
0.00095193+0.00061327i,0.001742-0.00087403i,0.00012434-0.0026656i,-0.0011382-0.0018259i,-0.00018856+0.001i,0.00077299+0.0018493i,0.00069782+0.00086561i,0.00055752+0.00080219i,0.0011743+0.00085898i,0.00093793+0.00030589i,0.00018927+0.00017912i,0.000197-0.00013876i,-7.7467e-05-0.00047035i,-0.00055352-0.0009165i,-0.00030525-0.00076204i,0.00048986-0.00033105i,0.00068108+0.00036232i,0.00022857+0.0011048i,1.6541e-05+8.253e-05i,0.00022262-0.00041204i,4.4802e-05-0.0002075i,-0.00012665-0.00047503i,0.00035298+9.3037e-05i
-0.0028561-0.00077315i,-0.003025-0.0016943i,-0.0032474-0.0023002i,-0.0025344-0.0010282i,-0.00049782+0.0016405i,0.0013391+0.0020908i,0.0018089+0.00073637i,0.0012874+0.00011045i,0.00044292+0.00034081i,0.00013551+0.00028785i,0.0004777+0.00011028i,0.00097496+0.00026209i,0.00080105-3.9904e-05i,0.00078146-0.00058261i,0.0011322-0.00035147i,0.001043+0.00027318i,0.00083652+7.3611e-05i,0.0005312-0.00028092i,-0.00027625-0.00020442i,-0.00031462+0.00021057i,-0.0001764+7.179e-05i,-1.0289e-06-0.00089235i,0.00020705-0.0008921i
0.0021163-0.0025704i,0.0023928-0.0040717i,0.0015665-0.0048361i,-0.00028772-0.0023942i,-0.00099796+0.00018734i,0.00021158+0.0012038i,0.0011344+0.00083531i,0.00058289-0.00041803i,-3.4826e-05-0.0001664i,-7.3614e-05+0.00026413i,-6.8495e-05-7.451e-05i,0.00023598-0.00037139i,0.0012844-0.00032419i,0.001096-0.00045909i,0.00029458-0.00036673i,0.00051037+0.0002662i,0.00094624+0.00028313i,0.000508-0.00016215i,-0.00029706-0.00031353i,-0.00061708-5.6259e-05i,1.3721e-05+0.00054022i,0.00075696+0.00052919i,-2.9103e-05+0.00017384i
0.00097722-0.0021887i,0.0017402-0.003326i,0.00023689-0.0030751i,-0.00091289-0.0007941i,0.00031267+0.0020456i,0.0023257+0.0024195i,0.0025805+0.00099151i,0.00081956-0.00042125i,0.0002129-0.00043901i,0.00038878+1.476e-05i,0.0008614+0.0001334i,0.00063452-0.00017463i,0.00016621-0.00050879i,-0.00018704-0.00099659i,-0.00066782-0.0013296i,-0.00024431-0.00038869i,0.00062795+0.00023362i,0.00036206+0.0003542i,-0.0003917+0.00092729i,-0.0009953+0.0011596i,-0.0012448+0.00052742i,-0.0012022-0.00019846i,-0.0011069-1.5745e-05i
-0.00010756+0.0016771i,-0.00051718+0.0011335i,-0.0018396-0.0007414i,-0.0033124-0.0012208i,-0.0024241+0.0010455i,0.00036065+0.0021971i,0.0020277+0.0014309i,0.002073+0.00052132i,0.0015532+0.00014151i,0.0012-0.0003376i,0.00099811-0.00084405i,0.00023345-0.00018657i,-0.00027982-0.00038742i,-0.0001745-0.0014691i,3.3878e-06-0.0010495i,0.00051867+0.00039376i,0.00050531+0.0010817i,-0.0002901+0.00070888i,-0.00063791+0.00060156i,-0.00078315+0.00018084i,-0.00081893-0.0003573i,-0.00071476-0.00015762i,-0.00043497+0.00035777i
-0.00030013+0.00023767i,7.8229e-05-0.0014605i,0.00062599-0.0017612i,0.00068806-0.00076613i,0.0013092+0.00075195i,0.0018833+0.00091339i,0.0015795+0.00037511i,0.0017276+0.00050346i,0.0016647+0.00073802i,0.0013386+0.00018856i,0.00074973-0.0010497i,-0.00060603-0.0011409i,-0.00089813-0.00049113i,-0.00085468-0.00017222i,-0.00094133+1.8851e-05i,-0.00064627+0.00035284i,-0.00025409-0.00014442i,0.00097858-0.00040808i,8.2823e-05+0.00049215i,-0.0011677+0.00029445i,-0.00038448-0.00042258i,8.8195e-05-0.00063162i,-0.0001578-0.00065222i
-0.00050631-0.0032724i,-0.0023973-0.0059084i,-0.0030151-0.0068312i,-0.0022285-0.0033322i,-0.0012037+0.00070845i,0.00056685+0.0020015i,0.0012208+0.0015233i,0.00066914+0.00058771i,0.00074324-0.00046358i,0.0016104-0.0001417i,0.0012543+0.00040463i,0.00026654+6.2111e-05i,0.00012133-0.00033824i,0.00037531-0.0006281i,0.00062408-0.00062632i,0.0006182+0.00023277i,0.00021505+0.00024178i,0.00017305-0.00032527i,0.00026349-0.00022222i,0.0003566-0.00017051i,0.00042979+8.3132e-05i,-1.1652e-05+0.00042793i,-0.00033436-6.7449e-06i
0.0027213-0.0018133i,0.0031427-0.0020102i,0.0012973-0.0025933i,-0.00012793-0.00099132i,0.00049005+0.0018472i,0.0013521+0.0024518i,0.0018305+0.0014837i,0.0018355+0.0006719i,0.001521+0.00072387i,0.00055863+0.00046798i,-0.00041343-0.00019771i,-0.00030508-0.00051295i,0.0007599-0.00010171i,0.0007714+0.00029459i,0.00015733+0.00021373i,-0.00014891+1.8126e-05i,0.00027105+0.00034041i,0.00033575+0.00073655i,-0.00012699+0.00022131i,2.3523e-06-0.00016582i,0.00015957+0.00017474i,-0.00013998+0.00023734i,-0.00021681-7.9703e-06i
-0.00082247-0.0012203i,-0.0022411-0.0035572i,-0.0017842-0.0055438i,-0.00099257-0.0036605i,0.00053106-0.00051979i,0.0023747+0.0009135i,0.00292+0.0016329i,0.0019332+0.0017807i,0.00091582+0.0013105i,0.00014015+0.00034277i,-8.2117e-05-1.359e-05i,0.00014304-0.00033573i,-0.00018969-0.00064904i,-0.0007118-0.00061204i,-0.00034504-0.00055444i,0.00052668-4.0021e-05i,0.00036877+0.00058641i,1.1574e-05+0.00088208i,0.00011791+0.00079582i,0.00028273+0.0008864i,4.1838e-05+0.00082421i,-0.0001458+0.00019813i,0.00025261-0.0003938i
0.00045667+0.0010115i,0.00073609-0.00096938i,0.00070825-0.0023124i,-9.9349e-05-0.00099319i,3.6862e-05+0.00059625i,0.00095169+0.00115i,0.00072406+0.0017912i,-0.00038453+0.0016414i,-0.00020757+0.00065484i,1.5459e-05+0.00015338i,7.8922e-05-0.00025836i,0.00043964-0.00064514i,0.0003999-0.00042269i,-0.00043673-0.00034937i,-0.00075436-0.00061706i,1.7859e-05-0.00030601i,-0.00015839-0.0004161i,-0.00062522-0.00060866i,-0.00038976-0.00075119i,-0.00030911-0.00070557i,-0.00049319-4.9666e-05i,-0.00018953-0.00012849i,-0.00042231-0.00055731i
-0.00074474-0.0028117i,-9.4588e-05-0.0037652i,-0.0010942-0.0041103i,-0.0017278-0.0016504i,-0.00067671+0.0010091i,0.0016926+0.0014558i,0.0022263+0.00065865i,0.00037352-0.0003127i,-0.00070561-0.00035225i,-0.000767-0.00014712i,-0.00096174-0.00051329i,-0.00032515-0.0012457i,0.00025311-0.001545i,0.00048996-0.0010526i,0.00086496-0.00037275i,0.00076002-0.00021909i,1.7848e-05+9.6896e-05i,-0.00066929-2.7062e-05i,-0.00080558-0.00031181i,-0.00074204-0.00048421i,-0.00056159-0.0012146i,-0.00022766-0.00088507i,-0.00049412+0.0003441i
0.001225-0.00023914i,0.00073518-0.0012136i,0.00049871-0.0030268i,-4.3286e-05-0.00279i,-0.00017594-7.991e-05i,0.00062298+0.0025008i,0.0011773+0.0022546i,0.0011197+0.0003962i,0.00049911-0.00046907i,0.00066455-0.00074376i,0.0010006-0.0010003i,0.00091216-0.0014302i,0.00089366-0.0014554i,0.00079901-0.0014942i,2.3536e-05-0.0012254i,-0.00057708-9.5913e-05i,8.0654e-05+0.00025575i,0.00080993-0.00021179i,0.00041419-0.00030628i,8.6583e-06-0.00033005i,0.00041163-0.00015558i,0.00014376-0.00017901i,-0.00020591+7.4698e-06i
0.00080546-0.00099388i,0.0014525-0.00069411i,0.00084592-0.0011263i,0.00012571-0.0012174i,0.00026667+0.0007882i,0.0018391+0.0017304i,0.0025268+0.00095695i,0.0014608+0.00022847i,0.0013635+0.00025906i,0.0017666+0.00056864i,0.0015115+0.00011921i,0.0010303-0.00025215i,0.00091624-0.00029314i,0.0010689+0.00012791i,0.00096694+0.00013323i,0.00073157+0.00067078i,0.00049285+0.00067682i,-0.00046177+4.0947e-05i,-0.00067105+0.00029976i,-1.0167e-05+0.00036002i,0.00067745-5.9436e-05i,0.00028297+0.0001844i,-0.00016101+0.00017552i
-0.00050594+0.00051071i,-0.0020997-0.00094588i,-0.0025873-0.0012122i,-0.0025302+6.6201e-05i,-0.00098469+0.0021056i,0.0021844+0.0038417i,0.0023267+0.0024229i,0.0010035+0.00062839i,0.00079888+0.00050762i,0.00056103+0.0010369i,0.0007972+0.0016271i,0.00093424+0.00086675i,0.00079401-0.00020641i,0.00077898-0.00025124i,-2.3946e-06-0.00067473i,5.6786e-05-0.00053212i,0.0011534+0.00010958i,0.0007652+0.00071274i,0.00072086+0.00087704i,0.00043627+0.00037702i,-0.0002114+0.00016489i,3.6304e-05+6.206e-05i,1.6158e-05-9.806e-05i
0.00043178-0.00084978i,-0.00074258-0.0023223i,-0.002354-0.004135i,-0.0018346-0.0034909i,-0.00064858-0.00037064i,0.00076092+0.00093592i,0.001691-0.00030595i,0.0015995-0.00032103i,0.0011876+0.00076746i,0.00055077+0.0010611i,7.5986e-05+0.00077568i,-0.00011924+0.00063938i,-0.00015655+0.0003629i,0.00039441+0.0005524i,0.00031092+0.00025939i,0.00013174-2.2166e-05i,0.00060866+0.00039905i,0.00047022+0.00066268i,-0.00028906+9.2668e-05i,-0.00071781-0.00049098i,-0.00067385-0.00035438i,-0.0004332-0.00023983i,-0.00028844-0.00042152i
