4.1105e-05+0.0027645i,0.00050231+0.0017848i,-0.00058547-8.5775e-05i,-0.0017061-0.0017347i,-0.0023158-0.0010515i,-0.0031462+0.00081772i,-0.0019401+0.002159i,0.00012557+0.0030573i,0.0011959+0.0022405i,0.0013099+0.00028149i,0.0007556+0.00015444i,2.7392e-06+0.00061086i,-0.00045667+0.00039243i,0.0001093+0.00030066i,9.9877e-05+0.0003328i,-0.00013735-4.3616e-05i,7.2737e-05-0.00032627i,9.3947e-05+0.00050372i,4.6209e-05+0.00056297i,0.00034878+5.831e-05i,9.4239e-05+0.00038952i,-0.00058344+0.00046767i,-0.00034584-0.00012287i
-0.00049196+6.0791e-05i,-0.00091832+0.0014812i,-0.00026802+0.0019841i,0.00082007+0.0010085i,0.001129+3.0152e-05i,0.00071548+0.00014176i,0.00087949+0.00058461i,0.00026829+0.001092i,-0.00049018+0.0016636i,-0.00019702+0.0018386i,0.00049151+0.0010947i,0.00018982+0.00039614i,0.00013164+0.00029194i,0.00055417+0.00026174i,0.00019763+0.00039603i,0.00013551+0.00012154i,0.00075517-0.00037779i,0.00040339-0.00047999i,-8.3376e-05-0.00064768i,0.00019036-0.00054143i,9.3731e-05-0.00027102i,-0.00055811-0.00064394i,-0.00055667-0.00024834i
0.00011199+0.0014298i,-0.001477+0.0023461i,-0.0018012+0.0018201i,-0.0011918+0.00052764i,-0.0017576-0.00091771i,-0.0018951-0.0012369i,-0.0012398+0.00024118i,-0.00046069+0.0018352i,0.00051613+0.002651i,0.00069607+0.0022585i,0.00045939+0.001127i,-0.00014043+0.00073037i,-0.00023762-1.5278e-05i,0.00077066-0.00062893i,0.00086667+0.00034223i,0.00057247+0.0011939i,0.00016249+0.00077335i,-0.0011338-0.00047417i,-0.0015581-0.00086037i,-0.0007593+2.1275e-05i,-0.00053445+0.00054273i,0.00013462-0.0002862i,0.00049277-0.00093577i
0.00042793+0.0020254i,-0.00044076+0.0024754i,-9.3962e-06+0.0027959i,-0.00016806+0.0016872i,-0.001128-0.00061285i,-0.0019859-0.0014758i,-0.0011917-0.00088389i,0.00031665+0.00045465i,0.000789+0.0012403i,0.00038745+0.00056065i,-0.00019735+0.00027073i,0.00025519-3.7385e-05i,4.8475e-05-0.0007244i,-0.00083483-0.00084477i,-0.00051696-0.00051227i,0.0002433-2.51e-05i,0.00019504+0.00031426i,-9.3253e-05+0.0007738i,-0.00056852+0.00084945i,-0.00085834-1.0952e-05i,-0.00058905+0.00017064i,-0.00045131+0.0007079i,-0.00054647+0.00051736i
-0.00025937-0.0020838i,-0.00057786-0.0010711i,-0.00047116-0.00021168i,-0.00083191-2.3626e-05i,-0.0020872-0.00017092i,-0.0025159+0.00024905i,-0.0010965+0.0011956i,-0.0002737+0.0014344i,-0.00010619+0.0013749i,0.00060879+0.0020447i,0.00031621+0.0021557i,-4.8896e-05+0.00096214i,0.00097045-0.00052772i,0.00072683-0.00076463i,-6.7527e-05-0.00041775i,-0.00041609-1.6762e-05i,-0.0014307+0.00011594i,-0.0010071+0.00011856i,-0.00015098+0.00035202i,-8.4621e-05+0.00024618i,6.4882e-05-9.9151e-06i,-0.00037718+0.00032493i,-9.3175e-05+5.6774e-05i
-0.00016461+4.8919e-06i,-7.5661e-05+0.001329i,-0.0001933+0.0015178i,-0.00050627+0.0009619i,-0.0011566-0.00019989i,-0.00093636-0.00079648i,-0.00011388-0.00055322i,0.00071897+0.00022834i,0.0010931+0.00103i,0.0012194+0.00096659i,0.0012377+0.0006165i,0.00027306+0.00047087i,0.00018903+0.00010921i,0.00024582-0.00013423i,0.00014938+0.00012342i,0.00013148+0.00022894i,-0.00062339-0.00046337i,-0.00049998-0.00086611i,0.00037787-0.00023521i,-5.7309e-05-3.212e-05i,-0.00053059-0.00097471i,0.00019584-0.0013175i,0.0004492-0.0007239i
-0.00044929+0.001327i,-0.00076421+0.0011666i,0.00011228+0.001969i,0.0013509+0.00051944i,0.0011042-0.0018492i,0.0013397-0.0024772i,0.00080953-0.0011098i,3.9158e-05-0.00018754i,-0.00049111+0.00092158i,-0.00075031+0.0016419i,0.00033164+0.001194i,0.00031215-0.00034598i,-0.00050497-0.0014919i,-0.00034448-0.00078076i,0.00029581-0.00019917i,0.00061199-0.000377i,0.00077046+0.0001759i,0.00071484+0.00123i,-8.9397e-05+0.00041035i,-0.00028013-0.00069648i,-2.9093e-05+4.8592e-06i,0.00017594+0.00057477i,0.00030442+0.00069112i
0.00039323+9.8097e-05i,-0.00079486+0.00060741i,-0.0026251+0.00062533i,-0.0020202-0.00022198i,-0.0020085-0.000842i,-0.002651-0.00099571i,-0.0020916+0.00020088i,-0.001206+0.001136i,-0.0008334+0.0018357i,-0.00040092+0.0023224i,-0.00010788+0.001568i,-0.00030168+0.00061095i,0.00029173+0.00075357i,0.0002903+0.00080865i,-0.00026909+0.00019952i,1.7649e-05-0.00034468i,0.00022636-0.0007701i,-0.00019043-0.00058865i,-0.0006007-0.00088676i,-0.00061298-0.00099992i,-0.00040182-0.0011392i,0.00013806-0.000816i,0.0012448+9.768e-05i
-0.00048881+0.00016872i,-0.0017772+0.0027488i,-0.0012918+0.0035183i,-0.00077754+0.0017712i,-0.0011821-0.00042095i,-0.00083849-0.00075256i,-1.196e-05+0.00099432i,-0.00032627+0.0023076i,0.0004012+0.0015717i,0.0018675+0.00063888i,0.0015898+0.0005198i,0.0008943+0.00068665i,0.00049038+0.00098092i,9.7417e-05+0.00096874i,-0.00037729+0.00048241i,-0.00076263+0.00028039i,-0.0005917+5.9949e-05i,-0.00040444+0.00047621i,-0.00022924+0.0012149i,0.00018451+0.00055878i,0.00012512-0.00039859i,0.00018856-0.00027364i,0.00038198+0.00028313i
0.00061163-0.00095977i,0.00046126+0.00043489i,2.5632e-05+0.0006861i,-0.00038136-0.00046624i,-0.00063142-0.0013656i,-0.0010721-0.0015727i,-0.0015853-0.00073794i,-0.0011679+5.5876e-05i,-0.00052711+0.00062018i,-0.00016836+0.00053184i,0.00087803+0.00042182i,0.00096927+0.00057924i,0.00067573+0.00090181i,0.00073179+0.00083163i,0.00075385-0.00049871i,0.0012486-0.0007627i,0.0010753-0.00014401i,0.00072132-0.00019141i,-4.0927e-05-0.00052659i,-0.00089454-0.00032573i,-0.00099346-5.3298e-05i,-0.00087512+0.00021199i,-0.00053502+0.00013615i
-0.00077468-0.00049323i,-0.00090464+3.201e-05i,-0.00081626+0.00061415i,0.00017168+0.00024076i,0.0005506-0.00071176i,0.00020391-0.00031366i,4.5724e-05+0.00029355i,0.00040323+0.00047589i,0.00067217+0.0011847i,0.00067101+0.0016234i,0.00064491+0.0011676i,0.00052299+0.00050391i,0.00050501-0.00015641i,0.00060564-0.00069344i,0.00035314-0.00076161i,0.00029172-0.00069526i,0.0008947-0.00039091i,0.0012494+0.00043978i,0.00049489+0.00069558i,0.00075619+0.00066904i,0.0010638+8.5728e-05i,0.00048868-0.00044197i,-0.00023215-0.00010602i
-0.00051531+0.002616i,-0.0010382+0.0024164i,-0.00043677+0.0025488i,0.00053634+0.00086161i,0.00032778-0.0019512i,-0.0007307-0.002711i,-0.0014791-0.00024579i,-0.00085651+0.0015902i,0.00026085+0.0011218i,0.00091529+0.00088472i,0.0013637+0.00039798i,0.0010906-0.00021917i,-8.8642e-05-6.0233e-05i,-0.00066264+4.8871e-05i,-0.00052248+0.00014139i,-0.00073178+0.00066681i,-0.001039+0.00084566i,-0.00082024+0.00062938i,1.7955e-06+0.00033071i,-0.00014422+0.0004376i,-0.00036742+0.00057056i,-0.00040406+0.00091575i,-0.00068645+0.00027236i
0.00039568+0.0017779i,-0.00096655+0.0026481i,-0.00055385+0.002631i,-0.00061541+0.00081131i,-0.001002-0.0019456i,-0.0012196-0.0028604i,-0.00041592-0.00042694i,0.0001542+0.0012871i,-7.5638e-06+0.0020233i,0.00030666+0.00212i,0.00099203+0.00086156i,0.0010533+0.00031249i,-0.00010317+0.00050623i,-0.00079437+0.00045749i,-0.00019226+0.00051279i,3.4281e-05+0.0001867i,0.00025725+0.001005i,0.00040027+0.0015719i,0.00035119+0.00045629i,0.00029855-0.00050034i,0.00026834-0.0010364i,0.00038127-0.00086077i,3.9009e-05+0.00040025i
-0.0009532+0.00091248i,-0.0010057+0.0019286i,0.00013687+0.0023794i,0.00055203+0.00073371i,-0.00031607-0.0016216i,-0.0014435-0.0021458i,-0.0016188-0.00089598i,-0.0010885+0.00053701i,-6.0263e-05+0.0016521i,0.0011655+0.0013351i,0.0021778+0.00056531i,0.0017464+0.00020015i,0.00081983+0.00021369i,4.8994e-05+0.00031632i,-0.00044894-0.00054347i,0.00043421-0.00077762i,0.00034185+0.00016331i,-0.00048107+0.00077589i,0.00023074+0.00056011i,0.00068195+2.0173e-05i,-4.9557e-05-0.00023784i,-0.00021635-0.00022022i,9.8465e-06+0.00042417i
-0.0012526+0.001375i,-0.002175+0.0021184i,-0.0014225+0.002642i,-0.00079594+0.001091i,-0.0011655-0.0015284i,-0.0017125-0.0018108i,-0.0010804-0.00034101i,-0.00016754+0.0012641i,0.00010506+0.0018666i,0.00050626+0.002036i,0.00018893+0.0015415i,-0.00056502+0.00047411i,-0.00064836-0.00014255i,-0.00017428-0.00010485i,0.00024848-0.00036148i,0.00029224-0.00064937i,7.8742e-05-0.00079331i,0.0002633-0.00087724i,0.00097603-0.00040929i,0.00046339-0.00043351i,-0.00047489-0.0011291i,-0.00022934-0.00077163i,0.00019706-2.7971e-05i
0.0021585+0.0017481i,0.0018133+0.0018714i,0.0029484-0.00032746i,0.0020491-0.0017192i,-3.1774e-05-0.0027681i,-0.0011184-0.0028855i,-0.0012534-0.00092075i,-1.5695e-05+0.00080212i,0.0012975+0.0014539i,0.0010451+0.0016645i,0.00058553+0.0010358i,0.00066391+0.00033088i,0.00045577+8.9397e-05i,-4.8005e-06-5.6325e-05i,-0.00048607+0.00017022i,-0.00038558+0.00064658i,7.3388e-05+0.0005485i,0.00031058-0.00018539i,0.00020746-0.00056833i,8.7375e-05-0.00014006i,-0.00056629+0.00043037i,-0.0011418+0.00086528i,-0.00090303+0.0013264i
0.00024201-0.0027755i,0.0003044-0.0011232i,-0.00088706+0.00059809i,-0.0019378+0.0011476i,-0.002199-0.00026381i,-0.0020886-0.0003951i,-0.0013401+0.0010975i,-0.00015601+0.0015781i,1.1642e-06+0.0010155i,-0.00035043+0.00071464i,-0.00026112+0.00045633i,0.00074697-0.00029022i,0.00074681-0.00033925i,0.00031231+0.00018785i,0.00079221+0.00013015i,0.00056546-4.7917e-05i,0.00066935+0.00026263i,0.00047649+0.00052673i,-0.00034918+0.00063415i,-0.00015318+0.00018416i,1.9346e-05-0.00037118i,-0.00044376-0.00090695i,-0.00024467-0.00049685i
-0.0017249+0.00038513i,-0.0013107+0.0006493i,-0.00048223+0.0016524i,0.00044182+0.0010955i,0.00023834-0.00085339i,-0.00049111-0.0015711i,-0.00065037-0.00032668i,-0.00069985+0.00058612i,-0.0012782+0.0012797i,-0.00033209+0.0014988i,0.0010923+0.00077265i,0.00076087+0.00059061i,-0.00017629-7.2635e-05i,-0.00083931-0.00045913i,-0.00095883-0.0002406i,-0.00054581+0.00020073i,-0.00065555+0.00090683i,-0.00077818+0.00062282i,-0.00075631+0.00047498i,-0.00067642+0.0015753i,-0.00010381+0.001832i,-0.0002866+0.00084301i,-0.00073929+0.00011267i
0.0015051-0.00041305i,0.0011418+0.0016656i,0.00069559+0.0022061i,0.00063189+0.0011011i,0.00011519-0.00023701i,-0.0011223-0.00037513i,-0.0012146-0.00026736i,-0.00027119+0.00051501i,0.00019515+0.0017474i,-1.256e-05+0.0012708i,0.00010266+0.00055546i,-0.0001183+0.00080601i,-0.00041639+0.0011636i,0.00043657+0.0012893i,0.00098577+0.00063817i,0.00025227+0.00018382i,0.00025871+4.6135e-05i,0.00041168+0.00044666i,-0.00044847+0.00030585i,-0.00042835-0.00056626i,-1.9581e-05-0.00028363i,0.00031701+3.5981e-05i,0.00056515-0.00023409i
-0.0015641-0.00080121i,-0.00065901+0.00052191i,-0.0011808+0.00079485i,-0.0014192-0.00096221i,-0.0010002-0.0016299i,-0.0006763-0.0011808i,-0.00056857-0.00033125i,-0.00065032+0.00053744i,-0.00026113+0.0012788i,8.3931e-05+0.0016624i,-0.00015738+0.0013116i,0.00033614+0.00059252i,1.0009e-05-0.00066179i,-0.00042832-0.00012597i,-0.00062786+0.00039167i,-0.00023996-0.00014141i,0.00098834+0.00033919i,0.0011554+0.00026893i,0.00031273-0.00067281i,9.9812e-05-0.00084289i,0.00049086-0.00059462i,0.00019153-8.6147e-05i,-0.00039202+0.00027375i
-0.00029737+0.00070828i,-0.0011888+0.0014857i,-0.0014719+0.0023787i,-0.00089394+0.0016372i,-0.00063764-0.00017141i,-0.0014779-0.00025565i,-0.0010683+0.0016946i,4.3211e-06+0.0022746i,0.00069538+0.0013784i,0.0012462+0.0011015i,0.001125+0.00073489i,0.00039416+0.00055164i,-0.00030299+0.0010793i,-0.00023729+0.0011854i,-0.00036411+0.00050422i,-0.00025662+5.9049e-05i,0.00031625+0.00051646i,5.6727e-05+0.00026412i,-0.00037332-8.3793e-05i,-0.00063711+0.0005535i,-0.00099673+0.00087137i,-0.00070221+0.0010539i,0.00032619+0.0010749i
0.00021143+0.0020054i,0.00083339+0.0026718i,0.0020784+0.0028407i,0.0024204+0.0016941i,0.0017501-0.00036623i,0.0011216-0.0023661i,8.8572e-05-0.0019389i,-0.00065776-6.1032e-05i,-8.9656e-05+0.0011072i,0.00089409+0.00098995i,0.00058618+0.00035163i,-0.00073857-0.00041648i,-0.001075+1.9794e-05i,-0.0006462+0.0017355i,-0.00051125+0.0019014i,-0.00014341+0.00055649i,0.00056006-0.00056421i,-4.8586e-05-0.0010179i,-0.00062879-0.00077965i,-0.00068575-0.00042837i,-0.0004648-3.0152e-05i,1.1519e-05+0.00024772i,0.00028939+9.1008e-05i
-0.0017216+0.00083225i,-0.0029609+0.0012075i,-0.0029691+0.002028i,-0.0021109+0.0014514i,-0.0013569-0.00030252i,-0.0019395-0.001381i,-0.0020889+0.00014576i,-0.0013317+0.0014625i,-0.00061388+0.001945i,-0.00052075+0.0021369i,-0.00017038+0.0016176i,0.00034285+0.00099399i,0.00026968+0.00086863i,-3.0992e-05+0.00078835i,-0.00027369+0.00022674i,-0.0001842+0.00016525i,0.00023952-0.00058443i,7.0937e-05-0.0010807i,0.00026014-0.00037948i,0.00073497-0.00033011i,0.00025786-0.00046386i,0.00020646+0.00023002i,0.00037899+0.00099398i
-0.00013857-3.3634e-05i,-0.00035127+0.00070912i,-0.00024105+0.0010387i,-0.00012276+0.00010922i,-9.9365e-05-0.0014183i,-0.00034231-0.0011198i,-0.00032224+0.00049193i,0.00017235+0.0011861i,0.00034705+0.0019147i,0.00098631+0.0023198i,0.00090468+0.0011518i,-0.00031131-0.00023928i,-0.00065527-0.00049421i,9.7149e-05-6.3525e-05i,0.00024131-0.00016852i,-1.8509e-05-0.00016171i,0.0002032+0.0003405i,-0.00072805+0.00039244i,-0.0010656+0.0001545i,-0.0005541-0.00033137i,-0.00059464-0.00073439i,-0.00065758-0.00033255i,-0.00044769+0.00036908i
-0.00083964+0.00069059i,-0.0015488+0.001452i,-0.0017872+0.0017629i,-0.0011891-0.00023519i,-0.0011845-0.0023591i,-0.00084871-0.0016826i,-0.00099156-0.00031761i,-0.0013749-0.00013204i,-0.00071221+0.00082058i,0.0005845+0.0018601i,0.00078924+0.0019227i,0.00042617+0.00052814i,0.00049946-8.9596e-05i,0.00014398+0.00042806i,-0.00024144+0.00052864i,-0.00023142+0.00052131i,-0.00013363+0.00069617i,-8.6201e-05+0.00066708i,-0.00027176+0.00061072i,-0.00049694-0.00010859i,0.00028799-0.00079061i,0.000651-2.0608e-05i,5.8777e-05+0.0008264i
-0.0015607-0.00042575i,-0.0011116+0.00029295i,-0.0012379+0.0013003i,-0.00074707+0.00075536i,-0.00049937-0.0003493i,-0.00080344+0.00013094i,-0.000275+0.0011077i,0.00045+0.00095737i,-7.5072e-05+0.00052252i,-0.00058976+0.00044906i,-0.0005011+0.00031509i,-0.00030056-0.00028034i,-0.00061328-2.0614e-05i,-0.00086823+0.00030329i,-0.00099308+0.00049899i,-0.00055362+0.0012169i,-0.00038445+0.0014778i,-0.0011833+0.00025786i,-0.0010486-0.00044234i,-0.00073098+0.0005355i,-0.00045341+0.0013412i,0.00032592+0.00056682i,0.00034484-0.00067254i
0.00059655+0.00018412i,0.00035873+0.00085735i,-0.00027089+0.001631i,-0.00052024+0.00053566i,-0.00056893-0.0011619i,-0.00070498-0.00079634i,-0.00095914+0.00066365i,-0.00023707+0.0010565i,0.00017889+0.0008675i,5.2536e-05+0.0011842i,0.00012228+0.0010134i,0.00038148+0.0010579i,0.00094175+0.001145i,0.0014418+0.00095006i,0.00089902+0.0010026i,0.00035037+0.0010258i,0.00090307+0.00077013i,0.00078952+0.00016608i,-0.00056024-0.00077679i,-0.0010659-0.00059752i,-0.0011325-0.00047784i,-0.00070493-0.00024861i,0.00043095+0.00081338i
-0.00086787+0.0014691i,-0.0005796+0.0019596i,-0.0002099+0.0027608i,-0.00015157+0.0014672i,-0.0001071-0.0015052i,-0.00027832-0.0028375i,-3.743e-05-0.00099707i,-0.0001553+0.0009379i,6.3695e-05+0.0014575i,0.00087061+0.00148i,0.00093759+0.0010706i,-0.00042071+0.00043685i,-0.00049745+0.00032862i,0.00014209-0.00016178i,0.00051803-0.00053689i,0.0012697+9.5381e-05i,0.00045458+0.00056484i,2.2621e-05+0.00035828i,0.00067721+0.00044367i,0.00029543+0.00011772i,-0.00064371-0.00085099i,-0.00061664-0.00065287i,-0.00024798+0.00032318i
-0.00058945+0.00045141i,-0.0028668+0.001311i,-0.0019983+0.0010078i,-0.0016113-0.00047213i,-0.0023824-0.00098015i,-0.0030002-0.00041169i,-0.0024592+0.00058671i,-0.0012122+0.0012654i,-0.00070015+0.001981i,-0.0004919+0.0012945i,-0.00037262-5.3536e-05i,-0.00019903+8.4713e-05i,-5.2645e-06+0.00032577i,8.0374e-05+9.019e-05i,0.0002505-5.4148e-05i,0.00068023+6.6932e-05i,0.00042652+4.9023e-05i,-0.00061779-0.00056748i,-0.0002901-0.00043908i,0.00076936+0.00035767i,0.0013891+0.00041074i,0.0010116+0.00010223i,3.4216e-05+3.5251e-05i
0.0010628+9.5242e-05i,0.0017356+0.0014265i,0.00041373+0.0032749i,-0.00019086+0.0025038i,-0.00035355+0.00039289i,1.4689e-05+0.0003812i,9.6764e-05+0.00023231i,0.00014545-5.4108e-06i,-0.00018245+0.00084099i,-0.00064572+0.0013995i,-0.00033061+0.00073569i,0.00040854-0.00024142i,0.0005951-0.00010702i,-3.1366e-05+0.00024192i,-0.00043664-0.00032381i,-0.00031288-0.0012569i,-6.6079e-05-0.00090352i,6.1892e-06-0.00027873i,0.00018937-0.00035323i,1.9606e-05-0.00041287i,-0.00048435-9.32e-05i,1.8621e-05+0.00019454i,4.3755e-05+0.00050132i
0.0013052+0.00076793i,-0.00042211+0.0011417i,-0.0026041-6.5507e-05i,-0.0021172-0.00084252i,-0.0013263-0.0016044i,-0.0013502-0.00062806i,-0.0014127+0.001673i,-0.0015383+0.0022875i,-0.0012556+0.0014534i,-0.00039589+0.0013258i,0.0001892+0.0013978i,0.00023669+0.0010502i,-5.5263e-05+0.0008216i,1.4478e-06+0.0010311i,0.00050848+0.0010848i,0.00049582+0.00070747i,0.00031473+0.00055257i,0.0004458+0.00066051i,0.00070508+0.0001386i,0.00048481-0.00034854i,-0.00013979-8.0072e-05i,-0.00021777+0.00025254i,0.00021383+0.00076409i
-0.0016898+0.0025542i,-0.0015804+0.0030561i,-0.0002934+0.0039505i,0.00089619+0.0027058i,0.0013465+0.00058679i,0.0011278-0.00091879i,0.0010968-2.2088e-05i,0.0010193+0.0009052i,0.0005328+0.0013195i,0.00075825+0.0019146i,0.00047134+0.0013407i,-0.00027421+0.00084251i,-0.00069028+0.00024544i,-0.001615-0.00078111i,-0.0017591-0.00098653i,-0.00097971-0.00050573i,-0.00028911-0.00044568i,0.00011522-0.00073009i,-3.0093e-06-0.0012586i,-0.00014632-0.0012207i,-0.000146-0.00084469i,0.00019986-1.8512e-05i,0.00047218+0.00053081i
-0.00037228+0.0013464i,0.0002207+0.0018228i,0.00096194+0.0015163i,0.0010239-0.00088644i,0.00024808-0.0028978i,-0.0012187-0.0030008i,-0.0020761-0.00096361i,-0.0013947+0.00074434i,-0.00018164+0.0013509i,0.00069737+0.00093541i,0.0003924+0.00065541i,-0.00018553+0.00032453i,0.00047735+0.00022991i,0.00057755-2.0911e-05i,-0.00012874-8.874e-05i,-7.5879e-05+0.00020228i,0.00048282+0.00020303i,0.00012821+0.00024144i,-0.00070143+0.00041212i,-0.00051994+0.00053782i,7.8636e-05+2.769e-05i,-7.4601e-06-2.0763e-05i,-0.00010778+0.00053285i
0.00021034+0.00010377i,-0.00014164+0.00068673i,-0.00090075+0.0004436i,-0.0015023-0.00016599i,-0.0014363-0.0005988i,-0.001204-1.7086e-05i,-0.0012777+0.0010603i,-0.00095972+0.0016166i,-1.3244e-05+0.001605i,0.0012998+0.0013699i,0.0013833+0.00045918i,-3.6664e-05-0.00081544i,-0.00041925-0.00056952i,0.00022532-7.1196e-05i,0.00043376-8.5115e-05i,0.0004142+0.00016543i,4.7046e-05+0.00037881i,0.00024806-0.00014077i,0.00043223+3.6658e-06i,0.00043873+0.00013113i,0.00043742+0.00028085i,0.00036603+0.00030778i,-0.00017316+0.00016159i
-0.001071+0.00071131i,-0.00020031+0.0018304i,0.00022404+0.0031391i,0.00043327+0.0017941i,-7.9578e-07-0.00058435i,-0.0001959-0.0011825i,0.00029888+0.00044083i,2.6766e-05+0.0017156i,0.00024055+0.0010674i,0.00010724+0.0012247i,0.00035774+0.0012777i,0.00096221+0.00027693i,0.001194+0.00030978i,0.0011982+0.00057589i,0.00061719+0.00053002i,-0.00032124+0.00051831i,-0.00070299+6.0838e-05i,-0.0004028-0.00041946i,0.00014663+0.00050262i,3.1446e-06+0.00041326i,-0.00021741-0.00075986i,0.00030484-0.00078899i,0.00052774+0.00026374i
0.00027386+0.0011501i,-0.0016191+0.00045567i,-0.0012587+0.0012014i,-0.00050652+2.0857e-05i,-0.00045861-0.0022031i,-0.00065336-0.0019423i,-0.00051878-0.0001057i,-0.00020298+0.001649i,0.00015934+0.0021067i,0.00077839+0.0012361i,0.00068127+0.00065089i,0.00015723+0.00045145i,0.00012662-0.00018057i,-7.753e-05-0.00013089i,-0.00015214+0.00021757i,0.00015635+0.00051001i,-0.00021796+0.0010926i,-0.00074035+0.00098744i,-0.00053145+0.00070318i,-8.0916e-05+0.00039721i,0.00025884-0.00017424i,-3.3869e-05+0.00036733i,2.6215e-05+0.00093312i
-0.00083812-1.8258e-05i,-0.00089234+0.001041i,-0.0015456+0.001303i,-0.0020721+0.00030463i,-0.001071-0.001173i,-0.0010734-0.001301i,-0.0010873-0.00023409i,-0.00080179+0.00062943i,-0.00075116+0.00092196i,-0.00030926+0.0011217i,-2.4382e-05+0.00084221i,-0.00010209+0.00048938i,-4.9861e-05-0.00013217i,-0.00019921-0.00049411i,-0.00035947-0.00012421i,-0.00027845-6.0656e-05i,-0.00025606+0.00057421i,-0.00090033+0.00063727i,-0.0008302-0.00031245i,-0.00022905-0.00064811i,6.6609e-05-0.00038276i,1.192e-05-0.00036992i,0.00032051-0.00010187i
-0.0013309+0.00015676i,-0.0015853+0.0022416i,-0.0017316+0.0044067i,-0.00045588+0.0044601i,7.084e-05+0.0022223i,-0.00080546+0.00057152i,-0.00078671+0.00085647i,-0.00026306+0.001263i,-0.00065028+0.0017609i,-0.00060264+0.0026999i,0.00017647+0.0023114i,0.00044818+0.0012508i,0.00070226+0.0007495i,0.0011527+0.00024146i,0.00012495-0.00050664i,-0.00065839-0.00025693i,-0.00030235+0.00058864i,-7.135e-05+0.00051006i,0.00046628-0.00057047i,0.00033056-0.00055665i,3.6576e-05+2.6723e-05i,-3.9668e-05-7.8464e-05i,-0.00038533-0.00029887i
-0.00064909+0.00070145i,-0.00051121+0.00095395i,0.00017003+9.6067e-05i,0.00038582-0.00059195i,8.7594e-05-0.00090986i,-0.00010099-0.00070653i,-0.00083115+0.0008597i,-0.0010186+0.001757i,-0.00054458+0.0015655i,0.00036703+0.0015207i,0.0012638+0.00079594i,0.00074024+0.0009332i,9.7721e-05+0.0010212i,-0.00033278+0.00020212i,-0.0013558-0.00020701i,-0.001436-0.00060773i,-0.00078648-0.0012173i,-0.00044584-0.0010839i,-0.00013343-0.0005153i,-0.00038468-0.00023521i,-0.00012821-0.00023588i,0.00074171-0.00070941i,0.0003328-0.00051002i
0.00029195+0.00062631i,-0.0013284+0.0016921i,-0.0012655+0.0010499i,4.2551e-05-0.0010564i,0.00079132-0.0023371i,-9.2918e-06-0.0012016i,-0.00066298+0.00052322i,-0.000881+0.0015541i,-0.00086147+0.0022324i,-8.2634e-05+0.0020472i,0.00036583+0.0007459i,-0.00074444-4.0902e-05i,-0.0011009+0.00053625i,0.000274+0.00076314i,0.00087457+7.4986e-05i,0.00052583-1.4699e-05i,0.00072887+9.4166e-06i,0.00017452-0.00035443i,-0.0009263-0.0003286i,-0.00096661-0.00056761i,0.00031882-0.00015834i,0.00054599+0.00049374i,-0.0003598+0.00023602i
9.7705e-05+0.0010244i,-0.0016843+0.0014824i,-0.0018913+0.0009986i,-0.00052406-0.00018408i,-0.00032896-0.0020347i,-0.0012267-0.0015589i,-0.0010465+0.0007902i,2.125e-06+0.0019342i,0.00030169+0.0017891i,0.00024094+0.0013438i,0.00044494+0.0011454i,0.00056644+0.00066133i,0.0003688+0.00046612i,0.00038649+0.00053863i,-6.0726e-05+0.0010632i,-0.00059296+0.00075984i,-0.00015883+3.4634e-05i,-2.0958e-05+3.6656e-05i,-0.00058443-0.00018848i,-0.00069876+3.8179e-05i,-0.00078023+0.00015294i,-0.00051069-0.00033491i,-0.00043981-0.00061215i
-0.00034694-0.0010958i,-0.00045176+0.00018923i,-0.0011127+0.0012541i,-0.0013791+0.00086127i,-0.0016517-0.0008141i,-0.0015002-0.00099328i,-0.00030741+8.5697e-05i,-1.4014e-05+0.000638i,-0.00055147+0.0014238i,-0.00055732+0.0018148i,0.00021467+0.0016634i,0.00070415+0.0013424i,0.00017273+0.0012875i,0.00012783+0.00073914i,6.4764e-05-0.0003653i,4.318e-06-0.0010151i,0.00032944-0.00094902i,0.00085528-0.00032939i,0.00047559-0.00039026i,0.00043089-0.0012394i,0.00096559-0.001356i,0.00067391-0.00041126i,-5.3307e-05+0.00030865i
-0.00015579+0.0016971i,-0.0003134+0.0026438i,0.00087951+0.0035418i,0.0010632+0.0027898i,-3.6711e-06+8.4916e-06i,-0.0012973-0.00087754i,-0.0017415+0.00024053i,-0.0010265+0.0010931i,-0.0003384+0.00077954i,-5.7945e-07+0.00043193i,0.00022703+0.00085227i,0.00096597+0.00078991i,0.0016362+0.00057648i,0.00038665+0.00075037i,-0.0012113+0.0007862i,-0.00084864+0.00054996i,1.5856e-05-0.00041406i,0.00020272-0.00057557i,-0.00053948-0.00057294i,-0.00096127-0.0010797i,-0.00071363-0.00063247i,-0.00067553-0.00038457i,2.0218e-05+0.00011253i
