-0.0012235-5.2613e-05i,-0.0012908-0.00060289i,-0.0016748-0.0015201i,-0.0013632-0.0009905i,-0.0011613+0.00011752i,-0.0014198+0.0010205i,-0.0012502+0.0017052i,-0.00076659+0.0014014i,-0.00029576+0.00056158i,0.00033759+5.8095e-06i,0.0014164-0.00029456i,0.0015767-0.00057047i,0.00055857-0.00012091i,-0.00034255+0.00027794i,-0.00069261+5.2858e-05i,-0.0013569+0.00037231i,-0.001733+0.00059161i,-0.0015366+0.00012944i,-0.000566+3.1502e-05i,-0.00011989-0.00018053i,-5.3868e-05-0.00092238i,0.00016345-0.001643i,-9.2497e-05-0.0011576i
0.0018006-0.0026612i,0.0025503-0.0041115i,0.0015481-0.0043506i,-0.0010138-0.0032714i,-0.0023581-0.0019592i,-0.0017535-0.00046709i,-0.0004831-0.00062074i,-1.6269e-05-0.0010935i,-0.00042404-0.0010102i,-0.0007496-9.6867e-05i,-0.00022058+0.00065486i,0.0010834+0.00070734i,0.0013274+0.0013058i,0.00093666+0.0010163i,0.00082675+0.00045269i,0.0005839-4.4033e-05i,4.208e-05-0.00040793i,-0.00047609-0.00091381i,-0.00056607-0.0012314i,-0.0008372-0.00069438i,-0.00071497-0.00013021i,-0.00077019+0.00011051i,-0.00089871+0.00046447i
-0.00035624-0.00079717i,-0.00027741-0.00026996i,-0.00040906+0.00012427i,-0.00042538-4.0471e-05i,0.00020759-5.0608e-05i,0.00041587-0.00041122i,0.00033128-0.00074771i,0.0011405-0.00059137i,0.001252-0.00015821i,0.00098578+9.3458e-05i,6.3142e-05+0.000333i,-0.0008281+0.00055137i,0.00032869-0.0001313i,0.00083641-0.00046747i,0.00014483+0.0002793i,-0.00071529+0.00041047i,-0.00055893-0.00043319i,0.00014578-0.0010516i,-0.00019275-0.001336i,-0.00012755-0.0010811i,0.00030227-0.00086745i,0.00062495-0.00052602i,0.00091251+1.3029e-05i
-0.00093246+0.0014091i,-0.00052479-0.00049807i,0.00070374-0.00065786i,0.0019716+5.2853e-05i,0.0017683-0.00018801i,0.0010439-6.993e-06i,0.00017644+0.00078786i,-0.00012219+0.00062397i,0.0004978+0.00032656i,-0.00037263+0.00011587i,-0.00043986-0.0006503i,0.00019906-0.0004351i,-0.00061151-0.00013183i,-0.00126+0.00016017i,-0.0015279+0.00056182i,-0.0010241+0.0006663i,0.00010529+0.00060161i,0.00034066+0.00030296i,0.00017416+0.00066603i,0.00019455+0.0008338i,0.00027466+0.00058132i,6.6801e-05+0.00054898i,-0.00048685-0.00043637i
0.0014041-0.00094413i,0.00055081-0.00079973i,-8.5988e-05-0.0010839i,0.00047307-0.0010418i,0.00038517-0.0003482i,0.00026129+0.00021601i,0.00097173-0.00025948i,0.0011823-0.00037736i,0.0010178-0.00069071i,0.00077365-0.0011707i,0.00056834-0.00023583i,0.00060333+0.00059647i,0.00040795+5.5672e-05i,0.00010604-0.00034607i,0.00040811+4.4293e-05i,0.00054358+0.00090989i,-0.00030948+0.0007669i,-0.00084329-6.8867e-05i,-0.00091216+0.00020545i,-0.00050136+0.0003195i,0.00024432-0.00036226i,8.0499e-05-0.00076987i,-0.00060051-0.00041562i
-0.0013969+0.0010836i,-0.0012785+0.0014508i,-0.00037558+0.0016058i,0.00023859+0.0015757i,0.00029108+0.00095315i,0.00090876+0.00039297i,0.00082345-0.00023607i,0.00031102-0.00041477i,-0.00037164-0.00085996i,3.5917e-05-0.00063734i,0.0011819+0.00063035i,0.0015017+0.0005979i,0.0010283-0.00039805i,3.5452e-05-0.0011149i,-0.00032989-0.0010886i,-0.00055894-0.0010479i,-0.00095955-0.00025274i,-0.00066629+0.00025783i,-0.00070063+0.00016409i,-0.00063058+0.00073198i,-0.00032987+0.00060877i,-0.00050864+0.00016963i,-0.00028519+0.00070929i
-0.00081978-0.0011218i,-0.0010914-0.00092569i,-0.00047057-0.00068073i,8.0069e-06-0.00036535i,0.00064422+0.00045419i,0.00061893+0.00095982i,0.00034349+0.00078603i,0.00067636+0.00078659i,0.00065632+7.8972e-05i,0.00018235-0.00055236i,-0.0001932+0.00022896i,-0.00049505+0.0007614i,2.2036e-05+0.00090753i,0.00027983+0.00071824i,-0.00025332+3.066e-05i,0.00016689-0.00022845i,0.000484-6.9504e-06i,0.0006549+0.00017572i,0.00040894+0.00058i,-0.00033126+0.00062852i,0.00030972-6.1412e-05i,0.00079255-0.0004138i,-4.5607e-05+0.00012661i
0.00088117+0.0016562i,0.0011489+0.0013558i,0.0010335+0.0012271i,0.0018051-0.0001256i,0.002302-0.0016312i,0.0014506-0.001869i,0.00048602-0.0016404i,-6.6745e-05-0.00095759i,-0.00065669-0.00015408i,4.8024e-06+0.0009321i,0.00075329+0.001413i,0.00065296+0.00028306i,0.00027046-0.00068797i,-0.00026182-0.00027272i,-0.00028173+0.00023481i,-0.00035796-0.00025387i,-0.000684-0.00085703i,-0.0010591-0.00045944i,-0.00043101+0.00018959i,-0.00020994+0.00042416i,-5.1931e-05+0.00023077i,0.00053804+0.00011632i,8.7634e-05+0.00043694i
-0.0016234+9.6077e-05i,-0.00065831+0.0012416i,-0.00064792+0.0028895i,-0.00081982+0.0021286i,1.1385e-05+0.00013092i,5.5498e-05-0.0006802i,-0.00069215-0.00085347i,-0.0011154-0.0012329i,-0.00048478-0.0010491i,-3.8576e-05-0.00084561i,0.00034428-0.00056603i,0.00086429-0.00028009i,0.00084518-0.00011902i,7.9155e-05+0.00010953i,-0.0006947-0.00024397i,-0.0006374-0.00015912i,-0.00022545-3.937e-05i,-8.2787e-07-0.00048233i,7.358e-05+0.00017964i,-0.00054626+0.0010892i,-0.00059428+0.00094767i,0.00016206+0.00035338i,0.00010138+0.00015626i
-0.0021602+0.0013775i,-0.001613+0.00070143i,-0.00055821+0.0011218i,0.00056055+0.0013798i,0.0014001+0.0009275i,0.0015305+0.00040765i,0.00052803-0.00016117i,5.5528e-05+0.00014441i,0.00035127+0.00018342i,0.00054929+0.0001011i,0.0013826-2.9963e-05i,0.0012038-8.4607e-05i,-0.00027489-0.00059459i,-0.0011126-0.00082315i,-0.00088194-0.00052471i,-9.8557e-05-0.00046136i,0.00024607+9.0474e-05i,-0.00020649+0.00018148i,-8.9031e-05-0.00043169i,-0.00033616-0.00056315i,-0.0002386-0.00026902i,0.00019595+0.00030014i,-0.0004966+3.8529e-05i
-0.00011971+0.00012105i,0.00063566-0.00039408i,0.0013709+7.2862e-05i,0.00065314-0.00015933i,-2.6068e-05-0.00034516i,-0.00010791+6.4591e-05i,-8.4354e-06+0.000466i,0.00058154+0.0010197i,0.00054413+0.0014503i,2.6505e-05+0.0005868i,0.00059809+0.0001227i,0.00093992+0.00058526i,0.00036984+0.00057378i,0.00064623+0.00024608i,0.00078876-0.00043178i,-0.00028922-0.0010664i,-0.0005169-0.00047689i,0.000106+0.00026245i,0.00055164+0.00031451i,0.00083687+0.00032295i,0.00052236+0.00057393i,9.024e-05+0.00092101i,-0.00033147+0.00087541i
0.0019775-0.00089463i,0.0022154-0.0012451i,0.0022509-0.00055573i,0.0016503-0.00080424i,0.0013933-0.0010931i,0.0012082-0.00020163i,0.00072771+0.00039143i,0.00058483+5.1597e-05i,0.00037088-5.9566e-05i,-0.00023707-7.864e-05i,-0.00027043-0.00012535i,0.00086557-0.00017119i,0.0007052-2.2876e-06i,-0.00047723+0.00039946i,-0.0012289+0.00090918i,-0.00093188+0.00069837i,-0.00038985-0.00038766i,-0.00020944-0.00048938i,0.00017135+0.00044353i,0.00077963+0.00022181i,0.00053876-0.00013214i,-0.00014028+8.2687e-05i,-0.00054485-0.00016437i
0.000769+0.00095764i,-0.00013413+0.00032011i,0.00041991-0.0002473i,0.0012558+2.7328e-05i,0.0021014+0.00034498i,0.0017817-0.00029714i,0.00069614-0.0012638i,0.00087462-0.0010477i,0.0015653-0.00018049i,0.0011252+0.00011534i,0.00050696-0.00060607i,-0.00030568-0.0014521i,-0.00021199-0.0013831i,0.00023115-0.00090167i,-7.1813e-05-0.00074884i,-0.00045104+8.2559e-05i,-0.00018339+0.00043015i,0.00053923-0.00050139i,0.0001168-0.00053473i,0.00014847+0.00032183i,0.00057674+0.00063074i,3.8344e-05+0.00065043i,-0.00024791+0.00071978i
0.00037767-0.00078611i,0.00056582-0.0011001i,-0.0001655-0.0012696i,-0.0001954-0.00013887i,0.00062159+0.00034609i,0.00027215-0.00062353i,-0.0001825-0.00067777i,-4.1821e-05-0.00040177i,6.9146e-05-0.0010475i,-0.00056647-0.0012414i,-3.6519e-05-0.00040395i,0.00077297+0.00040028i,0.00054431+0.00047859i,4.8286e-05-1.0967e-05i,-0.00059895-0.00061902i,-0.00084828-0.00075982i,-0.00063798-0.00032117i,-0.00083073-0.00018771i,-0.00125-0.00055887i,1.6534e-06+7.1789e-05i,0.00051987+1.2707e-05i,-0.00048469-0.00045136i,-0.00070318+8.0938e-06i
-0.00037222-0.00070005i,0.00036389-0.0017237i,0.00069011-0.0018677i,0.00020988-0.00050451i,-0.00022486+0.00018456i,-7.8568e-06-4.3671e-06i,4.3495e-05+0.00099621i,-0.00031323+0.0020835i,-0.00022225+0.0011008i,0.00016686-0.00018709i,0.00067628-0.00062296i,0.00086359-0.00079433i,0.00082818-0.00022987i,0.00080598-8.8807e-06i,0.0006438-0.0002464i,0.0007091-0.00059784i,0.00076138-0.00074082i,-0.00010118-0.0005357i,-0.00075817+0.00027449i,-0.00024501+0.00084454i,0.00049878+0.00063908i,0.00029386+0.0002221i,-0.00050593-8.5634e-05i
-0.0019302-0.00033148i,-0.0018129-0.00010096i,-0.0020715-7.3222e-05i,-0.0010515-0.00076548i,0.0010176-0.000991i,0.001953-0.0012292i,0.001817-0.00099707i,0.0010327-0.00043557i,0.00017023-0.00025655i,0.00049876+6.0586e-05i,0.00034772+2.2256e-06i,7.7744e-05+0.00088728i,0.00034177+0.00099066i,-0.00047024+0.00023593i,-0.00027278+0.0002948i,0.00080269-5.7933e-05i,0.0010447-0.00073173i,0.00052386-0.00093991i,0.0001221-0.00057647i,0.00014121-0.0010155i,0.00025078-0.00053901i,3.6668e-06+0.00060867i,-0.00036873+0.0003786i
0.00048478+0.0024861i,0.0012517+0.0020664i,0.0025296+0.0018602i,0.0030356+0.0010613i,0.0028254+0.00015701i,0.00071758-0.00052499i,-0.0010669-0.00052908i,-0.0010242-0.0006017i,-0.0002062-0.00077041i,0.00034804-0.0010462i,0.00066895-0.0010298i,0.0013148-7.988e-05i,0.00061553+0.00068132i,-0.00042207+0.00038282i,-0.00039525+0.00021786i,-0.00056271+0.00033807i,-0.00091794+5.5785e-05i,-0.00097726-1.099e-06i,-0.00052196+0.00013681i,0.00030913+4.9355e-05i,0.00071007+0.00037225i,0.00060883+0.00094144i,-0.00013447+0.00027891i
0.00027499-0.0022765i,0.00099394-0.0029044i,-0.00015688-0.0024961i,-0.0010935-0.001294i,-4.7348e-05-0.00022693i,0.00065546+0.00098341i,0.00039939+0.00045533i,-0.00014956-0.00036361i,-0.00040031-0.0003651i,-0.00021417-0.00014405i,-0.00049722+0.00042778i,-0.00018105+0.00012342i,0.00048387+0.00017317i,0.00047568+0.00033932i,-0.00013218-0.0001302i,-0.0004154-0.00067452i,0.00052858-0.00055625i,0.00087869+9.0268e-05i,5.3275e-05+0.00014672i,-0.00090235-6.5453e-05i,-0.0011264+0.00012389i,-0.0013445-0.00016322i,-0.001675-0.0011489i
0.00053225-0.0013473i,-0.0005966-0.0013231i,-0.00013061-0.0020375i,0.0012203-0.00127i,0.00087366-0.00046575i,0.00020322-0.0004854i,0.0003328-0.00049364i,0.00065466+3.4076e-05i,0.0004225-0.00049936i,-0.00013946-0.00016046i,0.00063204+0.00041567i,0.0012346+0.00081457i,0.00033248+0.00070755i,-0.00046473+0.00060366i,-0.00048155+0.0001732i,0.00015069+8.1769e-06i,-0.00022847-2.109e-05i,-0.00067661-0.00055457i,-0.00080937-0.00041581i,-0.00060162-0.00045018i,0.00013229-0.00073573i,4.4311e-05-0.00065973i,-0.00026092-1.6391e-06i
-0.0009242-6.2939e-05i,-0.00044421-0.00010493i,3.5229e-05+0.0011642i,0.0002797+0.00033669i,0.0011143-0.00072403i,0.0011939-8.9513e-05i,0.0003508+0.0011923i,0.00012569+0.0010139i,0.00013299+0.00011606i,0.00058232-0.00046742i,0.00072824-0.00033017i,3.3139e-05-0.00050039i,-0.00048895-0.00055111i,-0.00025373-0.00038584i,6.7619e-05-0.00091645i,-4.4226e-05-0.0010208i,7.0371e-05-0.00083368i,0.00025829-0.0008128i,-0.00024166-0.00014046i,-0.00070492+6.7321e-05i,-0.0004986-0.00025185i,-0.00026909+5.6805e-07i,0.00010199-0.00013356i
0.00052937+0.0001423i,0.00092504+0.0010484i,0.00082877+0.00096083i,0.00067696+0.0017302i,0.0011101+0.0020195i,0.0014946+0.0007483i,0.0010524+6.1521e-05i,0.00069094+0.00039221i,0.00034067+0.00082466i,-0.00043024+0.00079233i,-0.00026522-0.00018658i,0.00027503-0.001064i,-2.0587e-05-0.00059276i,-0.00017876-0.00047742i,-0.00039612-0.00079393i,-0.0011535-0.00056567i,-0.00077824-0.0010563i,-0.00051822-0.0011721i,-0.00092146-0.0010463i,-0.00066432-0.00067683i,-0.0002911-0.000335i,-0.00034558-0.00015468i,-0.00055657-0.00025462i
-0.0022863-0.0015763i,-0.0018631-0.001032i,-0.0021724+0.00094465i,-0.0012594+0.0013631i,0.00023944+0.00094515i,0.00071823+0.00044657i,0.00055608-0.00068001i,-7.7643e-05-0.00076732i,-0.00098583-0.00042118i,-0.0011689+7.1587e-05i,-0.00069742+0.00078247i,0.00017796+0.00046753i,0.00065589-0.00026935i,-0.00024389+2.7982e-05i,-0.0010871+0.00042246i,-4.9002e-05-4.9155e-05i,0.00082643-0.00026553i,-1.3256e-05-0.00034421i,-0.00040741-0.00056595i,-0.00039293-0.00023427i,-0.00019578+8.6006e-05i,-6.165e-05-3.9351e-05i,0.00023893-0.00021246i
0.00022169-0.002667i,0.00025318-0.003218i,0.00011263-0.0033137i,0.00013556-0.0021525i,-0.00033756-0.00033643i,-0.00048006+0.0011393i,3.0633e-05+0.00092761i,0.0001328-0.00018296i,-0.00016668-0.00087824i,-0.00019522-0.00070552i,-0.00010592-0.00042658i,0.0011177-0.00033255i,0.0018298+0.00069901i,0.0013402+0.0012584i,0.00027515-0.00036523i,-0.0004647-0.0013416i,-0.001102-0.00044409i,-0.0014003+0.00028437i,-0.00042593+0.00010477i,0.00069545+0.00017362i,-0.00024734+0.00058029i,-0.00082572+0.00021636i,-0.0011353-0.00054815i
0.00037025+0.0025244i,0.00037733+0.0034982i,0.0024608+0.002864i,0.0030588+0.0016543i,0.0022436+0.001362i,0.0018414+0.0011734i,0.0013681+0.00068121i,0.0013011+3.3763e-06i,0.00086716-0.00088405i,0.00011984-0.0012118i,0.00026182-0.00048327i,-1.9762e-05+0.00055968i,-0.00045831+0.00029551i,-0.00036272-0.00023061i,-0.0002954-4.0481e-05i,-0.0010097-0.00018947i,-0.00072915-0.00020485i,-0.00012142+6.4442e-05i,5.6892e-05-0.00022579i,0.00048406-0.0002914i,0.00013449-7.3296e-05i,-0.0001729+0.00088906i,-5.2201e-05+0.00093198i
6.6024e-06-7.4338e-05i,-0.00033925-0.00049518i,0.00098818-0.00020114i,0.0017532-0.0004229i,0.0011959-0.0011654i,0.00034716-0.0011592i,-0.00016136-6.9147e-05i,-0.00062058+0.00043741i,-0.0012957-0.00049696i,-0.0010771-0.0009476i,-0.00052826-0.00074746i,-0.00020073-0.00050105i,4.3008e-05-0.00039288i,0.00057509-0.00052862i,0.00077045-0.00030751i,0.00068563-0.00015975i,0.00011673-0.00068936i,-0.00031505-0.00020225i,-0.0003721-2.1919e-05i,-5.3379e-06-0.00068484i,0.00051252-6.4198e-05i,3.9865e-05+0.00036825i,-0.0004825-0.00020885i
-0.00059401-0.00035675i,0.00021161-0.0014421i,1.7974e-05-0.0010152i,-0.00086116+0.00012199i,-0.00075686+0.00032763i,0.00040137+0.00070084i,0.0018685+0.00053551i,0.0016999+2.8248e-06i,0.00056512+7.3559e-05i,0.00040613+0.0004044i,0.00073006+0.00046811i,0.0011014+0.00064757i,0.00088613+0.00055751i,-0.00022176-0.00040101i,1.1778e-05-0.00049564i,0.00063292-0.00035529i,-0.00034688+0.00034794i,-0.0008108+0.00082584i,-0.0002684-0.00015082i,-0.00053286-0.00056064i,-0.0007406-0.0001568i,-0.0005603-0.00077472i,1.4509e-05-0.0010086i
-0.0022691+0.0025263i,-0.0021529+0.0025618i,0.00029659+0.0028452i,0.0021263+0.0028934i,0.0030967+0.0016394i,0.0024556+0.00037162i,0.0011949-0.0005429i,0.0005085-0.0004037i,0.00058688+0.00015255i,0.0011852+0.00049373i,0.0011258+0.00044876i,0.00073196+0.00017893i,-0.00024872+3.8197e-05i,-0.001046-0.00036944i,-0.00039718-0.00075072i,-9.7588e-05+6.3915e-05i,0.00050241+0.00072343i,0.0002777+0.00084014i,-0.00039437+0.00047651i,0.0006459-0.0005988i,0.00078339-0.00083337i,-0.00030955-0.00035063i,-0.00080113+0.0001344i
0.00093062+0.0029878i,0.00077951+0.0024492i,0.002245+0.0029632i,0.0032047+0.0017554i,0.0031001-0.00014542i,0.0019045-0.0010402i,0.00022646-0.00027806i,8.3373e-06+0.00046933i,0.00015107+0.00050873i,0.00050647+0.0003047i,0.00065259-0.00012102i,4.5583e-05-0.00051605i,-0.00051254-0.00027023i,-0.00037798-8.605e-05i,0.00015919+0.00016793i,-0.000189-0.00047258i,-0.00080033-0.0005355i,-0.00057376+0.0004544i,-3.725e-05+0.0001098i,2.8604e-06+3.3673e-05i,-7.1197e-06-0.00063721i,0.00068514-0.0011078i,0.00077661-0.00039244i
-0.00012941+0.00064407i,-0.00059968+0.00075266i,0.00028042+0.0008947i,0.00087946+0.0017024i,0.0011518+0.0015011i,0.00096042+0.00096406i,0.0012347-0.0001382i,0.0015849-0.00014716i,0.00057133+0.00028295i,-0.00021526-0.00025829i,0.00013084+9.4837e-05i,0.00064467+0.00053451i,0.00036189+0.00066367i,-0.00064905+0.0015697i,-0.0011557+0.00093901i,-0.00053298-0.0004502i,0.00056472-0.00054199i,0.00064597+0.00028333i,0.00023218+0.00092471i,0.00067315+0.00077266i,0.00038422-0.00014893i,0.00017736-0.00059928i,0.00031053-0.0012534i
0.0019067-0.00040149i,0.00078861-0.00048725i,0.00060494-0.00075718i,0.0010583-0.00043644i,0.00071311-2.7392e-05i,0.00027-0.00018788i,-0.0001769-0.00057175i,-0.00051929-0.0015105i,-0.00024278-0.0013343i,-0.00018389-0.00056923i,-0.00026157-0.00036947i,0.00034314-0.0011736i,0.0016892-0.00149i,0.0020379-0.00020369i,0.0010528+0.00036337i,0.00052923-0.00021628i,-4.3631e-05-0.00068771i,-0.00058737-0.00049428i,-0.00024285-0.00035785i,-3.765e-05-2.6043e-05i,-7.8832e-05+0.0005177i,-0.00028895+0.00051726i,-0.00058604+0.00040813i
0.00039172-0.0014601i,0.00057502-0.0016233i,-0.00033113-0.001002i,0.00054525+5.8174e-05i,0.0011341+0.00012653i,0.00083871-0.00010487i,0.00067598-0.00010169i,5.1444e-05-0.00044707i,-0.00098401-0.0010974i,-0.0011733-0.00057724i,-0.00087641-8.0492e-06i,-8.0196e-05-1.9865e-05i,0.00083476+0.00010557i,0.00078391+0.00070737i,0.00029142+0.0010599i,-0.00030663+0.000723i,-0.00077479+0.00021605i,-0.0010567-0.00095137i,-0.00069361-0.00083191i,-0.00028819-0.00055154i,0.00021556-0.0012977i,0.00054186-0.0012295i,-0.00016855-0.00042881i
0.0020379-0.00098316i,0.0013255-0.00067344i,0.00055831-0.0018251i,-0.00070766-0.0028231i,-0.0013-0.0022987i,-0.001037-0.00090545i,-7.8872e-05-0.00045183i,0.00010268-0.001203i,-0.00025682-0.00095581i,0.00029172-0.00035142i,0.00016341-0.00027944i,-0.00016433+0.00018433i,-0.00010453+0.00078708i,-0.00034699+0.00093946i,-0.00017877+0.00073333i,-0.00027549+0.00026389i,-0.00014121+0.00063805i,-0.00032104+0.00067542i,-0.00076299-0.00015285i,-0.00013875-0.00036084i,0.00035466-0.00035062i,0.00029615-0.00041506i,-0.00058247-0.00038782i
0.00083807-0.00088172i,0.0011862-0.0001995i,0.0012154-0.00075389i,0.00044681-0.0010771i,0.00079316-0.00083761i,0.0012455-0.00042971i,0.0010431-0.00027885i,9.5882e-05-0.00034686i,-0.0006481-0.00029024i,-0.00010188-0.00033698i,-2.8413e-05-6.9572e-05i,-0.00013916+0.00022588i,0.00044809+9.7592e-05i,0.00046955-0.00044118i,-0.00037387-0.0012034i,-0.001069-0.0013315i,-0.00064116-0.0010151i,-0.00056452-0.00044526i,-0.00050663-0.00030876i,-6.1467e-05-0.00036689i,-0.00028466-0.00038485i,-0.00027967+0.00012768i,-4.0827e-05+0.0011433i
-0.00020447-0.0020531i,-0.000185-0.003489i,0.00048474-0.002113i,0.0014309-0.00043006i,0.0022718-0.0002682i,0.0014646+0.00022428i,0.00032521+7.3787e-05i,-0.00051723-0.00023403i,-0.0012316-0.00023802i,-0.00084737+0.00010698i,9.9326e-05+0.00067625i,0.00046678+0.00093097i,0.00053611+0.00071757i,0.00051442+0.00031356i,0.00027458-4.8783e-05i,0.00035254-0.00015892i,0.0011998-0.00038888i,0.001427-0.000717i,0.00054314-0.00087828i,0.0004358-0.00064029i,0.00026699+7.4731e-05i,-0.00047616-0.00021768i,-0.00052664+0.00010744i
0.0028622-0.00084042i,0.0032002-0.0011442i,0.0035928-0.0019935i,0.0028756-0.00085913i,0.0015516+0.00031221i,0.00043565+0.0010239i,7.089e-05+0.00097781i,0.00040258+0.00036667i,0.00042549-0.00072063i,0.00059041-0.0012602i,0.00058539+0.00012546i,0.00077448+0.00084507i,0.0015652+0.00054835i,0.0012753+0.0014484i,5.8962e-05+0.0012911i,0.0001114+0.00012437i,0.00047457-0.00034064i,-0.00046612-0.00013953i,-0.0012358-0.00035152i,-0.00015499-0.00059811i,0.00080628-0.00043465i,0.00083511-0.00064888i,0.00029916-0.00043678i
0.0010923-0.00065086i,-0.00050679-0.00078969i,-0.0015867-0.00186i,-0.0013938-0.0019021i,-0.00051505-0.0015815i,-0.00060715-0.0012714i,-0.000446-0.00052042i,-3.7803e-05-9.1048e-05i,7.6463e-05-0.00055559i,0.00017985-0.0011142i,4.4232e-05-0.0008621i,-1.8294e-05+0.00010749i,0.00023587+0.00039966i,0.00020733+0.00023716i,0.00064834+0.00019941i,0.00064513-8.27e-05i,0.00018211-0.00047799i,-0.00024729+0.00019443i,-0.0014013+0.0013448i,-0.0016364+0.0012173i,-0.00061358+0.0012504i,0.00063625+0.0011217i,0.0012553+0.00057351i
0.0015187+0.00070549i,0.001245+0.00074425i,0.00076512-2.6875e-06i,0.0018129+0.00051152i,0.0015309+0.00078962i,-9.1902e-05+0.00013264i,-0.001299-0.00031251i,-0.0014408-0.00060616i,-0.00089045-0.00041085i,-0.00020545-0.00035726i,0.00091234-0.00059584i,0.00089968-0.00026296i,-4.4014e-05+1.7518e-05i,-0.00043017-0.00061908i,-0.00025661-0.0018043i,-0.00050781-0.0017299i,-0.00072897-0.00095054i,-0.00079739-0.00081358i,-0.00071555-0.00041939i,-0.00081919-0.00019648i,-0.00051025-0.00049915i,0.00010851-0.00032918i,0.00057279-3.3802e-05i
-0.004119-0.001082i,-0.0037681-0.00037965i,-0.0027753+0.0012993i,-0.001343+0.0018062i,0.00047339+0.0012449i,0.00076266+0.00065727i,-0.00036728-0.00083152i,-0.00021361-0.0013422i,0.00047366-0.00077612i,0.00054754+0.00036218i,0.0010608+0.0005983i,0.0021518+0.00019265i,0.0024003-0.00040104i,0.0020199-0.00054492i,0.00023564-0.00057555i,-0.0010266-0.00034038i,8.4938e-05-3.6414e-05i,0.00056219-0.00023257i,-0.00014539-0.00086094i,-0.00059046-0.00066662i,-0.00051455-0.00015895i,-0.00062998-0.00051112i,-0.00022621-0.00083832i
-0.0013787-0.0003423i,-0.0019748-0.00012574i,-0.0016672+0.0017296i,-0.00064309+0.0030529i,0.00016414+0.0019523i,0.0013977+0.0011129i,0.0011624+0.0016973i,0.00035037+0.001453i,0.00020054+0.0009269i,0.00062294+0.00052373i,0.00091518+0.00052193i,0.00068391+0.00049113i,3.2506e-05+7.7999e-05i,-0.00082798-0.00038611i,-0.0016362-0.00049005i,-0.0014566+0.00012097i,-0.0010175+0.0002007i,-0.00076154-0.0002374i,-0.00065246+0.00030691i,-0.0011813+0.00069526i,-0.001145+0.00066123i,-0.00078636+0.00092879i,-0.00070276+0.0010597i
0.00019091+0.0013541i,-3.4561e-05+0.0021121i,-0.00091228+0.0022273i,-0.0016179+0.0014843i,-0.00078398-0.00024294i,0.00010723-0.00018603i,0.0003299+0.00028003i,0.00025485+0.00032074i,0.00013325+0.00031966i,0.00030692+0.00021234i,0.00063622+0.0010394i,-2.3617e-05+0.0012265i,-0.00046051+0.00085984i,0.00031841+0.00022111i,0.00053477-0.00059425i,-0.00021185-0.0005231i,-0.00030091+3.2827e-05i,0.00093423+7.9141e-05i,0.00067082+0.00036847i,-0.0010797-9.1833e-05i,-0.0007178-0.00067473i,0.00013804-0.00023898i,1.5021e-05+0.00037069i
-0.0022015+0.0022775i,-0.002169+0.0015653i,-0.0010027+0.0025601i,3.7646e-05+0.0030313i,0.0010528+0.002244i,0.0010659+0.0008443i,0.0003147-0.00051521i,-0.00022784-0.00088806i,-0.00045967-0.00081051i,0.00021736-0.0002655i,0.0018086-0.00046417i,0.0018185-0.001221i,0.00069116-0.0007265i,-2.4945e-05-2.0461e-05i,-0.0005044+0.00012173i,-0.00055184-6.4282e-05i,1.34e-05+0.00041095i,0.00054322+0.00096097i,0.00047165+0.00023627i,0.00045119+1.9734e-05i,0.0001685-0.00010589i,1.599e-05-0.0004007i,-4.2005e-05-0.00017384i
0.0012781+0.00020419i,0.0015516+0.00047219i,0.0021262+0.00032105i,0.0023335+0.00099379i,0.0017459+0.00030523i,0.0013237-0.00067557i,0.00054561-0.00045327i,-3.0664e-06+0.00015283i,8.8079e-05-0.00012635i,0.00016357-0.00054663i,0.00024511+0.00026415i,0.00017452+0.00039356i,0.00034588+2.2332e-06i,8.9415e-06+6.4445e-05i,-0.00067129+0.00071647i,-0.0011958+0.00066829i,-0.00078761-0.00048869i,-0.00035696-0.00091762i,-0.00071028-0.00039227i,-0.0001802-4.3756e-05i,0.00020049+0.00035405i,-0.00010495+0.0004751i,-0.00014612-0.00044121i
-0.00044834+0.00065149i,-4.0324e-05+0.00080108i,0.00083221+0.00051871i,0.0017125+0.00045394i,0.0019989+0.00037991i,0.00094279+0.00017403i,-0.00028556+8.3117e-05i,-0.0004306+7.0956e-06i,-0.00069432-0.00031047i,-0.00078004-0.00049274i,0.00049551-0.00044348i,0.0011054-0.00038353i,0.00033545+5.243e-05i,-0.00052893+0.00042619i,-0.0012066-0.00030231i,-0.0011207-0.00084495i,-0.00038861-0.00037818i,0.00054282-0.00012019i,0.00042555+3.0852e-05i,-0.00064456+0.00070212i,-0.00047695+0.0010621i,-0.00012839+0.00043161i,4.6676e-05-0.00048777i
0.0021532+0.00049721i,0.0018293-0.0006711i,0.0014843-0.0010215i,0.00060057-0.00050836i,-0.00072019-0.0017115i,-0.00079261-0.001443i,0.00011422-9.7388e-05i,0.00044792+0.00055718i,0.00060666+0.00042801i,0.00011912-0.00031211i,-0.00011301-0.00014896i,0.00012995+9.2576e-05i,0.00040272+3.7037e-05i,0.00070438+0.00010568i,0.00023525-1.4358e-05i,7.9614e-05-0.00067874i,0.00071251-0.00083902i,0.00011755+0.00030995i,-0.0011784+0.0015457i,-0.0012054+0.0011326i,-3.6221e-05+0.00028518i,0.00061469+0.00023773i,-0.00033473+0.00010605i
