-0.003152-0.00015175i,-0.0025506+0.00079276i,-0.0032528+0.0026992i,-0.002596+0.0025915i,-0.0012437+0.0021511i,-5.8591e-05+0.0019713i,0.00061309+0.00097204i,0.0012277-0.00016761i,0.0017301-0.00054466i,0.0018767-0.00012317i,0.001384-0.00010577i,0.00063509-0.00059544i,0.00063156-0.0011868i,0.00065724-0.00099386i,0.00043376-0.00023397i,-0.00027397+6.5118e-05i,-0.0010694+0.00077068i,-0.00075182+0.0004575i,0.00026635-0.00077091i,0.00071991-0.00048295i,-4.3004e-05-3.2433e-05i,-0.00095985-0.00033334i,-0.0012578-0.00022715i
-0.0095223-0.0099819i,-0.014968-0.011043i,-0.012734-0.0085048i,-0.0065453-0.0047225i,-0.0025026-0.0018001i,-0.0003766-0.00055896i,0.00049791-0.00039222i,0.0013288-2.3512e-05i,0.0013038+0.00073499i,0.00017545+0.00061475i,1.817e-06+0.00033667i,2.1559e-05+0.00072734i,0.00019848+0.0010492i,0.00053312+0.00043455i,0.00086382-8.0178e-05i,0.00061219+0.00029016i,0.0002476+0.00042191i,0.00046309+9.2191e-05i,0.00048871-0.0001039i,0.00033463-0.00041223i,0.00088686-0.00025161i,0.00024565+0.00025747i,-0.00053643+0.00029197i
-0.012524+0.0043735i,-0.015539+0.0099085i,-0.012701+0.010191i,-0.0078175+0.0058301i,-0.0041668+0.0018643i,-0.0013009+0.00034598i,-0.00016361-0.00044083i,8.9e-05-0.00069459i,0.00062803+2.1345e-05i,0.00083455+0.00065311i,0.00046649+0.00041833i,0.00053676+0.00011319i,0.0004663-0.0001285i,0.00018913-0.00070404i,1.8242e-05-0.0012028i,-0.00017177-0.001287i,-0.00029822-0.0012635i,-0.00066889-0.0010948i,-0.00047074-0.00074429i,0.00016969-0.00020641i,-5.7351e-05+3.4426e-05i,-0.00052511+0.00025961i,-0.00067824+0.00070636i
-0.00026563+0.012127i,0.0058367+0.017317i,0.0067935+0.014911i,0.0036696+0.0093822i,0.002334+0.0055245i,0.0023707+0.0015149i,0.00077007-0.0010161i,-0.00052449-0.0018234i,-0.00045728-0.0019145i,0.00011728-0.00085374i,0.00041737-0.00051351i,0.00030464-0.00028384i,0.00031127+0.00020003i,0.00023914-0.00047662i,0.00025612-0.0010832i,-9.7811e-05-0.0014118i,-0.00033197-0.001194i,-0.00062069-0.00048546i,-0.0012154+0.00023076i,-0.00089755+0.00096348i,-0.00057397+0.00065376i,-0.00029203+7.282e-05i,-0.00025878-0.00042279i
0.011615+0.0039389i,0.018028+0.00029003i,0.016174-0.0019423i,0.010708-1.1874e-05i,0.0071722+0.00051015i,0.0037463-0.0018009i,0.00019694-0.0019308i,-0.001256-0.00023306i,-0.00085719+0.00034432i,-7.477e-05+3.6181e-05i,-0.00044306-0.00030272i,-0.00039056-0.00058231i,0.00026784-0.00033125i,0.00024871+0.00038817i,0.00018476+0.00066319i,0.00019329-0.00053796i,-2.3127e-05-0.0016158i,-0.00053094-0.00083031i,-0.0010565-6.4448e-05i,-0.00087306+2.9699e-05i,-0.00043043+0.00030184i,-0.00080888+9.452e-05i,-0.00053428-5.6677e-05i
0.0053165-0.012865i,0.0037941-0.020745i,0.0014478-0.019795i,0.0013265-0.01187i,0.00096926-0.0051551i,-0.00079592-0.0020426i,-0.00096758-0.00074769i,0.00034509-0.00020058i,0.00023684+1.6954e-05i,-0.00053747+0.00016343i,-0.00053537+0.00083245i,-0.00044054+0.0015747i,-0.00016732+0.0015075i,-0.0001183+0.0010431i,-0.0003169+0.0008654i,8.1705e-05+0.00089769i,0.00074573+0.00049827i,0.00042715-0.00020406i,5.9563e-05-0.0010903i,-4.032e-05-0.0011828i,0.00026048-0.00048083i,0.00063978+0.00015058i,0.0004047+0.00025807i
-0.0080157-0.0092516i,-0.015644-0.010035i,-0.015759-0.0065916i,-0.0098017-0.0037401i,-0.0049433-0.0016842i,-0.0021474+0.00038535i,0.00016994+0.00086481i,0.00096247+0.00057275i,7.3715e-05-0.00011163i,-0.00031635-0.00052519i,-2.3359e-05-0.00052287i,5.7595e-05-0.00023328i,-0.00016757-0.0001566i,0.00029483-0.00079852i,0.001139-0.00087254i,0.0010632-0.00061052i,0.0010165-0.00028652i,0.00063405-0.00040265i,-0.00025829+0.00024276i,-0.00074577+0.00091871i,-0.00076565+0.00015128i,-0.0012368-0.00018609i,-0.0016551+9.633e-05i
-0.011228+0.0065727i,-0.012993+0.012518i,-0.0096442+0.013321i,-0.0049301+0.0092273i,-0.0017578+0.0052155i,0.00013522+0.0022688i,0.0014365+0.00045437i,0.00089252-0.00039628i,-0.00019595-0.00057489i,0.00041767+0.00044993i,0.0012047+0.0010959i,0.00063759+0.000332i,0.00015976-0.00055257i,0.00046152-0.0011446i,0.00028645-0.0014605i,0.00022065-0.0013366i,0.00071121-0.00099211i,0.00076083-0.00097449i,0.00014515-0.0012813i,-0.00058739-0.0013575i,-0.0013725-0.00090416i,-0.0011637-0.00045078i,-0.00038258+9.6786e-07i
0.001032+0.0099269i,0.0081988+0.01384i,0.011158+0.011843i,0.0078289+0.0081476i,0.0043173+0.004754i,0.0031882+0.0017962i,0.001588+0.0001699i,-0.00039259+0.00045531i,-0.00060063+0.00082599i,0.00084666+0.00016353i,0.0012904-0.00054586i,0.00074251-0.00072063i,-0.0001111-0.00097389i,-0.00034066-0.0016105i,0.00072963-0.0015187i,0.00080097-0.0010433i,-0.00058772-0.00056896i,-0.0014856+0.00029074i,-0.00092051+0.00088057i,-0.00033666+0.00037031i,0.00023111+0.00033524i,-0.00039551+0.00078943i,-0.00087547+0.00042341i
0.0097074-0.00048162i,0.015788-0.0062933i,0.013183-0.0081274i,0.0081445-0.0057123i,0.0055376-0.0028834i,0.002959-0.0011159i,0.00081232-0.00038707i,0.00080981-0.00031294i,0.00099013-6.7698e-05i,0.00058727+0.00054485i,0.00025069+0.00037506i,1.2063e-05-0.00039652i,0.00023576+7.9808e-05i,0.00065977+0.00036118i,-0.0002285+6.2587e-05i,-0.001214+0.00039834i,-0.00057077+0.00043027i,0.00054786+0.0003601i,0.0008655+0.00069517i,0.0003458+0.00058854i,-9.7115e-05+2.5779e-05i,-0.000155-0.0006189i,-0.00053677-0.0008867i
0.0023301-0.0079216i,0.00015604-0.016379i,-0.0027258-0.016984i,-0.0018394-0.011059i,-4.913e-05-0.0064153i,-0.00018175-0.0036671i,-0.00069948-0.0013866i,-0.0002341-0.00041548i,0.00012502-0.0004186i,6.7994e-05-0.00047413i,-0.0004271-0.00024787i,-0.00032031-8.1238e-05i,0.00058253+0.0012321i,0.00044309+0.0021697i,0.00037635+0.0006017i,0.00091814+0.00021322i,0.00075404+0.00073221i,0.00051818+0.00010766i,0.00038254-0.0005651i,0.00035544-0.00076038i,-7.9056e-05-0.00052908i,-0.00038575-0.00016837i,-0.00089818+5.8566e-05i
-0.0099769-0.0076167i,-0.017058-0.0060361i,-0.018191-0.00098265i,-0.013026+0.0006891i,-0.0069513+0.00065889i,-0.0028982+0.0010486i,-0.00037556+0.00088416i,0.00056488-4.5148e-05i,0.00017758-0.00048372i,-0.000233-2.9979e-06i,-0.00021423+0.0003862i,-5.2382e-05+0.00011848i,-0.00025251-8.2772e-05i,-0.00021053+0.00039874i,0.00022331-0.00048606i,0.00064984-0.0012513i,0.00076522-0.00096916i,0.0011247-0.00096326i,0.00080416-0.00089337i,-0.00017597-0.00046662i,-0.00088973+0.00015304i,-0.0010039+0.00021463i,-0.00039986+0.00023194i
-0.0055602+0.0066164i,-0.0063294+0.014332i,-0.0022894+0.016443i,0.0004706+0.010334i,0.00082769+0.0042916i,0.0012038+0.0023724i,0.001043+0.00077874i,0.00015936+0.00020125i,-0.00060165+0.00064089i,7.8585e-05+0.00071292i,0.0010261+0.00029717i,0.00048775-0.00062468i,-0.00031049-0.0013024i,-0.00075277-0.0010722i,-0.00087344-0.00085784i,-0.00015679-0.0015095i,4.322e-05-0.0016146i,-6.4121e-05-0.0010768i,-0.0006926-0.00024869i,-0.00093461+0.00048648i,-0.00036837+0.0007087i,-0.00019957+0.00095578i,-2.4992e-05+0.00075439i
0.0056631+0.010491i,0.012703+0.012922i,0.015279+0.0091498i,0.012049+0.004451i,0.0077304+0.0016095i,0.0045136-5.3452e-05i,0.0020722-0.0012419i,0.00075334-0.00030801i,0.00015088+0.00082102i,0.00039018+0.0010123i,0.0006482+0.00063014i,0.00015125+0.00047589i,-6.0536e-05+0.00045718i,0.00041915-0.00029883i,0.00012035+0.00013443i,-0.00074607+0.00042736i,-0.00096847-0.00028454i,-0.00081567-0.00030308i,-0.00065248+0.00022197i,-0.00033052+0.0004458i,6.9862e-06-0.0002965i,-0.00010798-0.00029818i,0.00010652+9.896e-05i
0.0091016-0.0033126i,0.013689-0.0093013i,0.011399-0.013298i,0.0058509-0.0099921i,0.0030473-0.0059596i,0.0016898-0.0046196i,0.00056076-0.0023159i,0.00060164-0.00017547i,0.00064223+0.00034782i,0.00051919+2.6505e-05i,0.00083477-0.00014898i,0.00049209-0.00025683i,-4.61e-05+0.00026241i,-0.00054749+0.0012327i,-0.00051548+0.0013504i,-0.00012595+0.0011134i,0.00055052+0.00077898i,0.0011621-0.00026199i,0.0010506-0.00084898i,0.0006055-6.9566e-05i,0.0005727+0.00016153i,0.0010709-0.00059333i,0.00083386-0.0011045i
0.001018-0.0087535i,-0.0034127-0.014655i,-0.0086521-0.014511i,-0.0067841-0.0097861i,-0.0021296-0.005137i,-0.00087674-0.00301i,-0.00076805-0.0016256i,0.00011414-0.00028238i,0.00037259-0.00031676i,0.00013134-0.00048177i,-0.00023426+5.7112e-05i,6.293e-05-2.312e-05i,1.6881e-06-0.00020831i,3.3899e-05-9.7978e-05i,0.00044378-0.0001281i,0.00011779-0.00035607i,0.00026064-0.0014341i,0.00038949-0.0013614i,-0.00070367+0.00022071i,-0.0010151+1.6924e-05i,-0.0011401-0.00099667i,-0.0013193-0.00069553i,-0.00082567-0.00080448i
-0.0079285-0.0035167i,-0.014961-0.0019489i,-0.016452+0.0039999i,-0.011801+0.0065138i,-0.0053331+0.0041999i,-0.0025858+0.0016858i,-0.00064011+0.0002782i,0.0010622-0.00038685i,0.00067616-0.00035487i,0.00023158-0.00019559i,0.00061944-0.00034635i,0.00085677+5.9699e-05i,0.00020492+0.00012203i,-0.00036338+8.8928e-05i,-0.00010447-0.00017114i,-5.2514e-05-0.00046801i,-0.0004559-0.0012392i,0.00049823-0.0015357i,0.00074243-0.00095228i,-0.00037945-0.00070539i,-0.00032456-0.00076843i,-9.6747e-05-0.00058244i,-0.00054511+0.00010191i
-0.0035601+0.0064864i,-0.002794+0.012285i,0.0014882+0.015668i,0.003151+0.012103i,0.0020062+0.0060086i,0.0010017+0.0025513i,0.00061087+0.0010584i,0.00030333+0.00024433i,-0.00016073+0.00034548i,0.00032925+0.0012226i,0.00061595+0.00092472i,-0.00063157-3.0696e-05i,-0.00060267-1.3092e-05i,0.00067633+3.7031e-05i,1.1084e-05+7.067e-06i,-0.0007255-0.00025483i,-0.00037524-0.00046796i,-0.00081353-0.00075522i,-0.00058836-0.0010178i,-0.00049603-0.00082823i,-0.00037895-0.00031475i,-0.00026506+0.00037105i,0.00014786+0.0010108i
0.004618+0.0051806i,0.013088+0.0062314i,0.017246+0.0025093i,0.013478-6.8003e-05i,0.0086917+0.00042352i,0.0054607+0.00089385i,0.0020216-0.00027498i,-0.00013026-0.0013194i,-0.00041367-0.00068766i,-0.00028827+0.00028427i,-0.00076455+0.00017255i,-0.00077005-0.00010187i,-0.00045492-1.4207e-05i,-0.00016001-0.00038973i,0.0004177-0.00082632i,0.00040999-0.00045207i,-0.00024632+0.00011725i,-6.4466e-05+0.00012122i,0.00022272-0.00010241i,-0.00031969-0.00056781i,-0.00069243-0.00046924i,-0.00030134+0.00067639i,0.00054679+0.00080519i
0.0069313-0.0040493i,0.0097399-0.010849i,0.0068066-0.016795i,0.0017838-0.013352i,0.00023904-0.0062423i,0.00064808-0.0026525i,0.00038457-0.0018494i,0.00076351-0.0013535i,0.00043089-0.00035862i,6.0485e-05+0.00016349i,2.0399e-05+5.2294e-05i,-0.00040197+5.5231e-05i,-0.00055528+0.00063899i,-1.9807e-05+0.00019795i,4.3307e-05-0.00036509i,-0.00072006+6.9616e-05i,-0.00054816+0.00054557i,-0.00026527+0.00067759i,-0.001045-0.00030724i,-0.00061745-0.0009076i,0.00045408-0.00051926i,0.00032446-0.00032808i,1.5792e-05-0.00056049i
-0.0014718-0.0064124i,-0.0062486-0.011296i,-0.012782-0.011779i,-0.01055-0.0076526i,-0.0041175-0.0040992i,-0.0011926-0.0027126i,0.00035753-0.00079093i,0.00093116+0.00034242i,0.00025471+0.00038124i,0.00017094-0.00014049i,0.00033087-0.00073854i,0.00011966-0.00083966i,-0.0002072-0.00065254i,-0.00067336-0.0010861i,-0.00073201-0.0009949i,-0.00047325-0.00047974i,0.00039723-0.00046853i,0.0006542+4.6803e-05i,2.0718e-05-9.4992e-05i,-0.00027504-0.00051087i,-0.00061989-0.00077998i,-0.00070287-0.00090843i,-0.00084833-0.00036987i
-0.0084913-0.003475i,-0.014321+0.0013953i,-0.015739+0.010281i,-0.011297+0.01122i,-0.0059806+0.0055601i,-0.0033562+0.0022635i,-0.0014709+0.0011978i,0.00046482+0.00031798i,0.00010623-0.00031934i,-0.00050675+0.00025256i,-0.00054135+0.00042644i,-0.00060561-0.00028267i,-0.00019164-0.00027441i,0.0004598+0.00022176i,0.00011898-3.2126e-05i,0.00015939-0.00099699i,0.0010845-0.00053765i,0.00079583-2.125e-05i,-0.00017367+0.00027245i,-0.00018082+0.00052411i,-0.00054359+0.00038007i,-0.00099694+0.00073031i,-0.00062437+0.00088723i
-0.0030753+0.0062731i,-0.00047687+0.011829i,0.0049181+0.016267i,0.006691+0.014039i,0.0050179+0.0085917i,0.0027609+0.0041057i,0.0012335+0.001489i,0.00069907+0.00047256i,0.00045524+0.0012312i,0.00066285+0.0021463i,0.00046384+0.001359i,0.00037306+0.00034754i,-4.0165e-05+0.00061385i,0.00062206+0.00088071i,0.0013174+0.00061054i,0.00041179-0.00028529i,-0.00033039-0.0014578i,-0.00050938-0.00082402i,-0.00022375+0.0008174i,-0.00015729+0.0011814i,0.00025722+0.00048853i,0.00013148+0.00062833i,-0.00030857+0.00095771i
0.004384+0.0025886i,0.011979+0.0020942i,0.017095-0.0026308i,0.014045-0.0046332i,0.0085001-0.0026609i,0.0045797-0.0013418i,0.0020676-0.0015873i,0.0012789-0.0015686i,0.0012408-0.0010445i,0.00024304+0.00018474i,-0.00057828+0.0012944i,-0.00059531+0.0012443i,6.0049e-05+0.0011184i,0.0011985+0.0009i,0.0013806+0.00082769i,0.0005114+0.00031099i,0.00032638-0.00017892i,0.00025854-0.00041633i,0.00022884-0.00061185i,0.00076131-0.00068568i,0.00067795-0.00092763i,0.00025007-0.00020139i,0.00018617+0.00066728i
0.0031439-0.0073035i,0.0040938-0.015204i,0.00060254-0.020974i,-0.0013324-0.016807i,0.00014099-0.0094067i,0.0010999-0.0054265i,0.000361-0.0030773i,0.00043765-0.0012525i,0.0012057+3.2423e-05i,0.0011769+0.00065436i,0.00097565+0.00040783i,0.00061793-0.00043983i,-0.00047114-0.0019795i,-0.00055485-0.0018811i,5.4972e-05-0.00071828i,-0.00042402+0.00042831i,-0.00073637+0.001114i,-0.00012567+7.7619e-05i,0.00032577-0.00097045i,-9.2223e-05-0.00049547i,-0.00032469+0.00042448i,0.00044718+0.00039407i,0.00068137-0.00079299i
-0.0034458-0.0049744i,-0.0096388-0.0064758i,-0.016387-0.0043665i,-0.013788-0.00060171i,-0.006099-5.4155e-05i,-0.0020179-0.00084406i,-0.00096591-0.0005583i,-0.00049909-0.00051748i,-0.00016387-0.0011121i,-0.00045281-0.0010115i,-0.00035007-0.00099243i,-1.5059e-05-0.0016702i,-4.8701e-05-0.0015205i,0.00056173-0.00041877i,0.00083096-0.00018595i,5.9716e-05-0.00034874i,-4.3522e-05-5.8461e-05i,-0.00013681-0.00020547i,-0.00098814-0.00012387i,-0.00063654+0.00034701i,-0.0002425-0.00014334i,-0.00061706-0.00062251i,-0.00033175-0.00030722i
-0.0053587+0.0027571i,-0.0088359+0.0088915i,-0.0091774+0.015839i,-0.0060814+0.014084i,-0.0024745+0.0070782i,-0.00083901+0.0025793i,-0.00072275+0.00093383i,-0.00060581-0.00021342i,-0.0004603-0.00032626i,-0.0003378-2.5464e-06i,-0.00028248-8.6574e-05i,-0.00093529+0.00038867i,-0.00095529+0.00066745i,-8.2043e-05+0.00032924i,0.00037224-0.00014441i,0.00043002-0.00096332i,0.00035348-0.00099746i,0.00062219+2.1902e-05i,0.00095266+0.001573i,0.00090782+0.0018942i,0.00014013+0.0003773i,-0.00086621-6.5632e-05i,-0.0010604+0.00024444i
0.0026001+0.0022703i,0.0072834+0.0063072i,0.013759+0.009047i,0.013842+0.0071448i,0.0083188+0.0040316i,0.0039896+0.0018585i,0.0019712+0.00099526i,0.00071084+0.00069103i,-5.8282e-06+0.00069842i,-0.00032181+0.00074128i,-0.00082362+0.0005864i,-0.00093371+0.00033985i,-0.0004583+0.00023037i,-0.00062744+4.9683e-05i,-0.00056766-0.0012971i,-0.00022257-0.0020678i,0.0002354-0.0013133i,0.00044859-0.00061091i,-2.1338e-05-0.00046377i,-0.00030878-0.00010804i,-0.00046069+0.00041478i,-0.00068473+0.0010819i,-0.00058432+0.0013432i
0.0049282+0.0015028i,0.010153-0.0026668i,0.015615-0.0086243i,0.014222-0.0093477i,0.0089675-0.0051538i,0.005279-0.0014965i,0.0024877-0.00057352i,0.00084823+0.00041719i,0.00063039+0.0013102i,0.00048928+0.0017593i,0.00037151+0.00094526i,0.00091669-0.00022121i,0.00080884-0.00038003i,0.00071684-0.00072572i,0.00096737-0.0010131i,0.00013509-0.00040298i,-0.00098515-0.00016517i,-0.0013635-0.00093444i,-0.0012819-0.0017287i,-0.0004674-0.00090818i,-0.00028712-0.00014539i,-0.00026607-0.00041919i,-1.9851e-05-0.00028041i
-0.0018338-0.0066025i,-0.0035715-0.013178i,-0.0071616-0.017716i,-0.0080985-0.014945i,-0.003665-0.0088262i,0.00013339-0.004996i,0.00077096-0.0029999i,0.0018052-0.0018583i,0.0028151-0.001252i,0.0028812-0.00094894i,0.0022148-0.00060398i,0.00086966+0.00017092i,0.00031698+0.0011659i,4.3296e-05+0.0015054i,0.00057197+0.00082675i,0.0012278+0.00037341i,0.00057113+0.00034955i,-0.00044163-0.0003261i,-0.00047657-0.00071926i,-0.00036559-0.00036644i,-0.000482-7.6644e-05i,0.00040932-0.00071038i,0.0010103-0.00098085i
-0.0039513-0.0038077i,-0.0097518-0.0031637i,-0.016486+0.00021091i,-0.015912+0.0026012i,-0.0088505+0.00082227i,-0.0035898-0.0016076i,-0.0014803-0.0019134i,-0.00059896-0.0019815i,-0.00014137-0.0015656i,0.00093839-0.0005039i,0.0005812-0.00013162i,6.1827e-05-0.00066869i,0.00064703-0.00044701i,0.00066195-0.00045673i,0.00065309-0.00073019i,0.0003014-0.00023059i,0.00061197+0.00017524i,0.00067714+0.00061231i,-0.00043731+0.00038448i,-0.00070596+0.00011722i,-0.00066006-9.0982e-05i,-0.00099221-0.0012136i,-0.00090371-0.0021126i
-0.0027784+0.0027122i,-0.0042026+0.0081435i,-0.0034676+0.015541i,-0.0006639+0.015669i,-9.411e-05+0.0095577i,-0.0017486+0.0045947i,-0.001743+0.00090225i,-0.0014016-0.00077214i,-0.0013474-0.00057706i,-0.00049156+0.00039526i,3.3463e-05+0.00048722i,1.5273e-05+0.00041785i,-0.00075451+0.00089757i,-0.00052555+0.00018205i,0.00014309-0.00077366i,0.00030449-0.00054652i,0.00010229-7.6232e-05i,-0.00013224+2.871e-05i,-0.00039845+0.00030579i,-0.00049807-0.00023954i,6.2675e-05-0.00066197i,-0.00042753+0.00045133i,-0.0012782+0.00099777i
0.0041798+0.0048792i,0.010199+0.0050072i,0.01792+0.0044278i,0.01796+0.0027596i,0.01071+0.0012443i,0.0039986+0.00067583i,0.0003005+0.00061988i,-0.0014772+0.0011078i,-0.0015073+0.0014846i,-0.00082702+0.00093861i,-0.0008633-0.00013701i,-0.0016213-0.00081715i,-0.0014162-0.00034266i,-0.00092003+0.00042533i,-0.00080617-0.00011867i,-0.00067533-0.00077927i,-0.00052682-0.000977i,0.00013191-0.00061539i,0.00057396-0.00045168i,0.00073198-0.00086665i,0.00058257-0.0004287i,-0.00052841+0.00072041i,-0.00068596+0.0011812i
0.0055197-0.0015346i,0.0068325-0.0059353i,0.0089242-0.01312i,0.008083-0.013527i,0.0056198-0.0077962i,0.0033138-0.0040375i,0.0005827-0.0016339i,0.00051774+0.00066036i,0.0013827+0.00081917i,0.0006456+0.00094991i,-0.00064659+0.0011232i,-0.00050197+0.0010734i,0.00017145+0.0010147i,7.4901e-05+0.00029087i,0.00072619-0.00016664i,0.00069538-0.00012343i,0.00016397+0.0003122i,4.2683e-05-0.0003313i,-0.00025945-0.0011192i,0.00046446-0.0011928i,0.0006137-0.00035035i,0.00058033+0.00084228i,0.00090971+0.0011044i
-0.0006306-0.0078989i,-0.0053037-0.010744i,-0.013046-0.013772i,-0.014464-0.011261i,-0.0077215-0.0051286i,-0.0013827-0.0021441i,0.0014059-0.00097646i,0.002352+0.00013498i,0.0020792+9.8124e-05i,0.0014508+0.0004517i,0.00085239+0.0010047i,0.0002078+0.00034689i,0.0010311-8.6007e-05i,0.0014972+0.00052323i,0.00085214+0.00034613i,0.00096964-7.6659e-05i,0.00027571-0.00017705i,-0.0011263+4.5462e-05i,-0.0011586-3.813e-05i,-0.00038108-0.00026934i,0.00047114+0.00046149i,0.0014894+5.8754e-05i,0.0015721-0.00028659i
-0.0028584-0.0053029i,-0.0074768-0.0022184i,-0.013553+0.0050368i,-0.013861+0.0086164i,-0.0078699+0.0048729i,-0.0029268+0.0013163i,-0.00030535-0.00043327i,0.00077575-0.0022767i,0.0006606-0.0033362i,0.00053202-0.0026225i,-0.00021457-0.0022242i,-0.00017325-0.0020583i,-0.00032543-0.00055588i,-0.00084014+0.00041169i,-0.000176-0.00013162i,0.00043672-0.00054615i,-0.00015955+0.00021165i,-9.9664e-05+0.00072115i,0.0003573+0.00049616i,0.0008443+0.00015862i,0.00085303+0.00017368i,0.00049327-0.00021327i,0.00060476-0.0012647i
-0.0034247+0.0040808i,-0.0021065+0.0070448i,0.0025392+0.013512i,0.0056589+0.015411i,0.0039805+0.0093895i,0.002055+0.003078i,0.00044827-0.00058898i,-0.0014388-0.0022759i,-0.0015149-0.0025385i,-0.0009198-0.0018715i,-0.00041291-0.0010469i,4.1476e-05-0.00092348i,-4.6381e-05-0.00040811i,-0.00048974+0.00017575i,-0.0010545+5.053e-05i,-0.0014988-0.00035963i,-0.00096366-0.0004067i,-2.8828e-05-0.00035549i,2.7788e-06+0.00034622i,-0.00025151+0.00047671i,-0.00018205-0.0005591i,-0.00081792-0.00067087i,-0.00061953+0.00026325i
0.0001334+0.0010954i,0.0060771-0.0016505i,0.012688-0.0042137i,0.01385-0.0033059i,0.0092437-0.00029369i,0.0043227+0.00086891i,0.00068406+0.00056919i,-0.0011019+0.00049169i,-0.00095732+0.00044355i,-0.00067295+0.00062833i,-0.00046912+0.00034287i,0.00012078-0.00033173i,0.00050868-0.00033954i,0.00043735-0.00070827i,0.00010584-0.0011954i,-0.00012637-0.0010288i,0.0008482-0.00091341i,0.001263-0.00080284i,0.00094908-0.00053596i,0.0011167-0.0002806i,8.5843e-05+0.00018461i,-0.00052277+0.00091076i,-0.00038857+0.00095531i
0.0048919-0.0011669i,0.0040218-0.0065032i,0.002239-0.013293i,7.651e-06-0.013863i,0.00044109-0.0095391i,0.0014284-0.0050303i,-0.00015711-0.001033i,-0.00028336+0.0012162i,0.00073244+0.00061175i,-0.00045286+0.00039233i,-0.00079165+0.00059862i,-0.00020752+5.1023e-05i,-0.00053969+0.00015121i,-0.00019667+0.00060424i,0.0011503+0.0010883i,0.00099613+0.00067478i,-0.00065196-0.00011987i,-0.0014666-0.00098842i,-0.00096314-0.00099513i,-0.00089322-0.00010043i,-0.0011284+0.0003477i,3.6884e-05+0.00036009i,0.00080227+0.00029644i
0.0013331-0.0066178i,-0.0050947-0.0073652i,-0.012528-0.0070716i,-0.013246-0.0051385i,-0.0080286-0.0037983i,-0.0034607-0.0026206i,-0.00056405-0.00047294i,0.0015113-5.6608e-05i,0.0020763-0.0015088i,0.0021328-0.001437i,0.0014927-0.00054766i,-5.9961e-05-0.00030203i,-0.0010353-0.00012682i,-0.00066968-2.6375e-05i,0.00025847-0.00027319i,0.00028154-0.000432i,-0.00023836-0.00024873i,-0.00048344-0.00015957i,-0.00074582+0.00018599i,-0.00018993+0.00084162i,-0.00015397+0.00024528i,0.00044666-0.00095114i,0.00040192-0.0011148i
-0.0045154-0.0024973i,-0.0043381+0.0017418i,-0.0057056+0.0090662i,-0.0048598+0.011973i,-0.0031789+0.0072813i,-0.0013154+0.0016545i,0.00079334-0.000854i,0.001573-0.0018121i,0.0012748-0.0015878i,0.00067196-0.00068402i,6.9433e-05-0.00052188i,0.00037726-0.00082233i,0.00079765-0.00091417i,0.00071876-0.001522i,0.00047374-0.0014955i,-1.754e-07-0.00080333i,0.00033524+0.00017503i,0.0009031+0.001045i,0.00029186+0.0008052i,-0.00070885-4.1388e-05i,-0.00063965-0.00076956i,-0.00023165-0.00072234i,-0.00040642-0.00014574i
-0.0039495+0.0038093i,0.0016258+0.0042834i,0.0075914+0.0061414i,0.0087323+0.007887i,0.0060902+0.0069879i,0.0031637+0.0041584i,0.00084223+0.0012924i,-0.00045521+0.0001109i,-0.00019945+0.00026552i,-0.00042337-0.00037762i,-0.00040519-0.001151i,5.5549e-05-0.00032105i,0.00057541+0.00095317i,0.00041698+0.0011797i,-0.00049005+0.0006825i,-0.00044516-0.00024299i,0.00023571-0.0012458i,0.00063162-0.00053617i,0.0010524-0.00026632i,0.00076954-0.00085056i,-7.7174e-05-0.00090654i,-0.00083178-0.0012879i,-0.0009503-0.0013361i
0.0019949+0.0024083i,0.0035095-0.0044262i,0.0074972-0.011842i,0.0094008-0.011688i,0.0078187-0.0060911i,0.0048012-0.0023185i,0.0024987-0.001144i,0.0010027-0.00016258i,0.00079628-0.00039565i,0.00056428-0.00049124i,-0.00086633-0.00017069i,-0.0006505+0.00042015i,0.00020668+0.0016352i,-0.00015101+0.0018894i,4.6594e-05+0.00082099i,0.0010071-7.5218e-05i,0.0011921-0.00092261i,0.00042326-0.0018851i,8.8403e-05-0.0019035i,-0.00015899-0.0015459i,0.00011962-0.0011703i,-5.7244e-05-0.00052855i,-0.00066025-0.00039959i
0.0087815-0.0011353i,0.0026907-0.0053403i,-0.0032708-0.010229i,-0.004605-0.010524i,-0.0022603-0.0085845i,-0.00053924-0.0065739i,-0.0010095-0.0025846i,1.9399e-05+0.00041076i,0.00147+0.00048875i,0.0011619+0.00041364i,0.00075752+0.00075678i,0.00057466+0.0004756i,3.3165e-05+0.00061865i,-0.00023185+0.00063104i,-0.00012477+1.8016e-05i,-0.00066075-0.00044521i,-0.00078309+5.1045e-05i,-0.0010531-0.00026029i,-0.001153-0.0010338i,-0.00080844-0.00091491i,-0.00065413-0.00046645i,-0.00024571+0.00022401i,0.00048761+0.00064336i
