-0.0025938+0.0014952i,-0.0018796+5.3705e-06i,-0.0032678-0.00020808i,-0.0029176-5.8162e-05i,-0.0013569+0.00015054i,-0.00069697-3.9131e-05i,-0.00064091+0.00033233i,-0.0004778+0.0015722i,0.00028862+0.0020448i,0.0010526+0.001256i,0.001181+0.00063129i,0.0012961+0.00065842i,0.00055759+0.00019469i,0.00018352-0.00012268i,0.00045941+0.00019247i,0.00081+0.00041421i,0.0007314-0.00020408i,0.00025546-0.0010277i,0.00086462-0.00055409i,0.0018113+0.00032728i,0.0016039+0.00045251i,0.00019938+0.00015574i,0.00021167-0.00024381i
0.0034754-0.0016511i,0.0037043-0.0019296i,0.0026785-0.0022322i,0.00056193-0.002007i,-0.00092649-0.0025026i,-0.00030897-0.0024756i,0.00073603-0.0017798i,0.00034336-0.0011808i,-0.00047774-0.00064735i,-0.00053883+0.00036887i,-0.0011485+0.0013232i,-0.0015873+0.00074521i,-0.0015634+0.00036339i,-0.0015694+0.0002471i,-0.0013079-0.00035567i,-0.00056399-0.00079898i,-0.00049993-0.00014764i,-0.0007116+0.00039555i,-0.00083387-0.00021936i,-4.0549e-05+2.9987e-05i,0.00035516+0.00036871i,0.00018825+0.00016885i,0.00014096+0.00033977i
0.00033016+0.00060628i,0.00073759+0.0014063i,0.0009175+0.0019594i,0.0013688+0.001167i,0.0016624+9.7463e-05i,0.0011252-0.0012343i,0.0001163-0.0015874i,-0.00065323-0.00087045i,-0.0012751+9.7353e-05i,-0.00052468+0.00041423i,0.0002188+0.00059934i,-0.00033457+0.0016792i,-0.00036626+0.0025312i,0.0005713+0.0018251i,0.00082077+0.00096767i,0.00057278+0.00048568i,0.00066138+0.0006022i,0.00091072-9.7746e-06i,0.00093594-0.00079355i,4.3753e-05-0.00048861i,-0.00016095+0.0001161i,-9.7868e-06+0.00080914i,0.0002127+0.0010017i
-0.0012324-0.00096397i,-0.00096508-0.0014237i,-0.0008266-0.00096645i,-0.00031277+0.00014528i,0.0012074+2.2083e-06i,0.0021236+5.4194e-05i,0.0013335-5.146e-05i,0.00047514-0.00074429i,-0.00020414-0.00050181i,-0.00070433+0.00028592i,-0.000747+0.00082544i,-0.00063012+0.0017756i,-0.00053558+0.0027473i,-0.0004818+0.0034694i,-0.00052177+0.002766i,-1.2552e-05+0.0013199i,0.0010647+0.0008535i,0.00089615+0.00049164i,0.00030316+0.00048419i,0.00059291+0.00069036i,0.00076041+1.6953e-05i,0.00043514-0.00048657i,0.00022717-0.0003344i
0.0020346-0.00093931i,0.0022162-0.00090675i,0.0011466-0.002127i,0.000278-0.0018975i,0.00024368-0.0014731i,8.6724e-05-0.0017196i,0.00032313-0.0018018i,0.00020453-0.0012608i,3.1447e-05-0.00072708i,-0.0005583+0.00072665i,-0.000775+0.0022717i,0.00014646+0.0025801i,0.00040628+0.0014529i,-0.00048558+0.00068464i,-0.0012803+0.00026128i,-0.00030028-0.00038204i,0.000513+0.0002308i,0.00015946+0.00097426i,0.00059463+0.00044765i,0.0011398-0.00055286i,0.0013236-0.0010058i,0.0013701-0.00074708i,0.00069102-0.00032618i
-0.0026473+0.0013423i,-0.0025722+0.0012064i,-0.0020416+0.0016702i,-0.0012195+0.0016079i,-0.00055142+0.00078364i,0.00076458-0.00019128i,0.0009512-0.00088858i,-1.0419e-05-0.00085958i,-0.00063213+0.00056219i,-0.00036416+0.0020726i,-0.00021745+0.003303i,-0.00023723+0.0031358i,0.00074008+0.00085312i,0.0015707+0.00014877i,0.0012336+0.00068942i,0.00088655+0.00049166i,0.00031624-0.00063481i,-0.00014881-0.00070651i,0.00042193+0.00031184i,0.00075791-0.00019756i,0.00014837-0.00045463i,0.00026647-0.00045486i,0.00080778-0.00084122i
-0.00057957-0.00045798i,-0.0011703-0.00070459i,-0.00011469-0.0012593i,0.00093124-0.00049584i,0.0013362-7.2182e-05i,0.0015694-0.00079517i,0.0012395-0.0013383i,0.00060881-0.0011015i,0.00030482-0.00018397i,0.00053212+0.00085706i,0.0012565+0.0013916i,0.0010366+0.0018319i,0.00074676+0.0010881i,0.00084116+0.00078737i,0.0010514+0.00080424i,0.0012958-0.00054788i,0.0014282-0.0010139i,0.0015825-0.00019969i,0.0013304+9.4495e-05i,0.00081562-0.00060057i,0.00060734-0.0009733i,0.00048736-0.0011376i,0.00062397-0.00098631i
-0.00079704+0.00042931i,-0.0011723+0.0012123i,-0.0010782+0.00028719i,-0.0015739+0.00041889i,-0.00093277+0.00026204i,0.00051166-0.00014347i,0.00032166-0.00076824i,-0.00012344-0.00089065i,0.00079922+0.00054308i,0.0015531+0.0020065i,0.0010452+0.0018547i,0.0012187+0.0013915i,0.0011441+0.0012698i,4.5513e-05+0.0014699i,5.6413e-05+0.001079i,0.00041593+4.7535e-05i,0.00042691-9.3289e-05i,0.00085696-0.00029951i,0.0013855-0.0010531i,0.0010961-0.00078116i,0.00064448-0.00015916i,-0.00029312-0.00019537i,-0.00066267-0.00033167i
-0.0030252-0.0024039i,-0.0022165-0.0015303i,-0.0021848-0.00064181i,-0.0012062-0.00058733i,0.00037224-0.00050761i,0.00131-0.00054115i,0.00087512-0.0010735i,-0.0002388-0.0009106i,-0.00073155+0.00061358i,-0.00024077+0.0012657i,-2.5129e-05+0.00085207i,-0.00046699+0.0009497i,-0.001272+0.0019005i,-0.0014176+0.0018719i,-0.0007927+0.00092328i,-0.00020599+0.00051096i,0.00081553+0.00049903i,0.0012835+0.00090457i,0.0013161+0.00099601i,0.0015065+0.00017638i,0.00061167-0.00029658i,-0.00032226-0.00082497i,-0.00069114-0.0011441i
0.00090439+0.00047483i,0.0010388+0.00018219i,0.0015476+0.00027715i,0.0010712+0.0014987i,0.00067933+0.0010772i,0.00060328-0.00045347i,0.00020552-0.0017982i,-0.00062829-0.0011681i,-0.00058151+0.00068558i,-0.00011248+0.0016287i,-0.00028151+0.0020898i,-0.00047558+0.0020664i,-2.2962e-05+0.0023881i,-8.8961e-05+0.0020211i,-0.00046369+9.844e-05i,0.00010574-0.00073439i,0.00062881-0.00021276i,0.00086458+0.00057052i,0.00058459+0.00095725i,-0.00011318-0.0001756i,-2.155e-05-0.00073915i,-0.00041122-0.00042403i,-0.00087319-0.0007298i
-0.00075036+0.00041085i,-0.0010368-4.285e-05i,0.0002586+0.00010115i,0.0012174+0.00014265i,0.00095072+1.0861e-05i,0.00072847-0.0010769i,0.00039279-0.001271i,-0.00078577-0.00053328i,-0.00073702+5.6581e-05i,-0.0003802+0.00074319i,-0.00030552+0.0012111i,0.00024312+0.0017193i,0.00043875+0.0020879i,0.0003407+0.0018955i,0.0006073+0.0014337i,0.00049281+0.00088702i,0.00018341+0.00020094i,0.00055654-0.00028468i,0.00052336-0.00049297i,0.0010327-0.00049379i,0.0016846-0.0004302i,0.0012815-0.00065118i,0.00092809-0.00086572i
0.0013519-0.0020105i,0.0013317-0.0024027i,0.00072349-0.0016779i,-0.00078815-0.00050915i,-0.00081161-0.00113i,0.00056751-0.00095531i,0.0010317-0.00048419i,0.00075038-0.00041026i,-3.5112e-05+0.00012356i,-0.00036368+0.0008209i,0.00021141+0.0018694i,0.0012549+0.0020428i,0.00083117+0.00044583i,-4.097e-05-0.00018441i,0.00012212+0.00033337i,-9.4269e-05-0.00011503i,0.00057014-0.00047244i,0.00125-0.00022758i,0.00087052-0.00028907i,0.00055374-0.00037968i,0.00072498-0.00064015i,0.00035933-0.00083249i,-7.0279e-05-0.00022633i
0.0020363+0.0013175i,0.0014919+0.0013586i,0.0018486+0.00022973i,0.002406-0.00033621i,0.0024129-0.00099146i,0.0017441-0.0018146i,0.00067798-0.0014068i,-3.1388e-05+4.1861e-05i,-0.00052374+0.0015822i,-0.00049813+0.002844i,-0.00010004+0.0030676i,-0.00029331+0.0023116i,-0.00059848+0.00097384i,-0.00064892+0.00060558i,0.00031339+0.0010181i,0.0013455+0.0011767i,0.00069605+0.00044165i,0.00037924+0.00050996i,0.0011233+0.0010851i,0.00097554+0.0016002i,0.00027476+0.00077176i,-0.00067025-0.00068049i,-0.0011727-0.0010038i
0.00028177+0.00064943i,0.0011284+0.0012269i,0.00037477+0.0021724i,-0.00031327+0.002378i,0.00028832+0.0014886i,0.0015636-2.6013e-05i,0.0014042-0.00042841i,0.00064215-0.00016378i,-0.00012+0.0006482i,-0.0001629+0.0019067i,0.00034749+0.0024795i,-0.00025232+0.0020944i,-0.0008392+0.0013132i,-0.00069881+0.0005963i,-0.00051121+0.00021918i,-0.00027725+0.00045151i,-0.00012442+0.00077895i,-5.6498e-05+0.00058724i,0.00027052-6.1443e-05i,0.00043343-2.4382e-05i,0.0014591+0.00034822i,0.0014175-0.00043404i,0.00014715-0.00088292i
0.00081046+0.00034101i,0.00072589-0.0010065i,0.0009662-0.002135i,0.00054183-0.0020692i,0.0010334-0.0012822i,0.0010544-0.0014247i,0.00096743-0.0017787i,0.00084086-0.00067558i,0.00063995+0.00058919i,0.00037712+0.00135i,0.00037447+0.0017027i,-6.1641e-05+0.0013473i,-0.00056818+0.001246i,-0.0003413+0.0013817i,-0.00017991+0.00048304i,0.00033868-0.0001509i,0.00019636-0.00019092i,0.0004329+0.00028634i,0.001703+0.00038375i,0.0013895-0.00048225i,0.00028656-0.0012432i,-0.00045182-0.00075878i,-0.0002887+0.00030294i
5.1207e-05+0.0013503i,-0.00091107+0.0015154i,-0.00094689+0.0018793i,-6.1048e-05+0.0018856i,0.00053624+0.0015341i,0.0011582-3.2944e-05i,0.00093223-0.00090643i,0.00020382-0.0007024i,-0.0007385-0.00053828i,-0.00059115+0.00022048i,7.9398e-05+0.0013221i,0.0005425+0.0024776i,0.0012038+0.0028112i,0.00088078+0.0018926i,0.00043302+0.0011306i,0.0010472+0.00061253i,0.0013523+0.0001067i,0.001443-0.0005729i,0.0012954-0.00049131i,0.00086362-0.0005002i,0.0010994-0.00073895i,0.0013038-0.0006177i,0.00090456-0.00019716i
0.0029866-0.00018006i,0.0030046+0.00047784i,0.0028237+0.00030967i,0.0014847-0.00070878i,0.00063176-0.0013264i,0.00051207-0.0014486i,0.00042813-0.001357i,1.1541e-05-0.00080939i,-0.00068443+0.00038868i,-9.3437e-05+0.00068578i,0.00061731+0.00012121i,0.00040713+0.00061955i,0.00040827+0.00090364i,0.00073366+0.00020798i,0.0006164-0.00010862i,0.00010231-0.00027887i,0.0004154-0.00015165i,0.0010742+0.0002313i,0.00097034-0.00015582i,0.00062717-0.00039808i,-0.00017049-0.00068977i,-0.00043723-0.00050553i,-0.00042062+0.00018036i
-0.00058446-0.000672i,-0.00075945+0.00015059i,0.00015406+0.0015403i,0.00082555+0.0021147i,0.00055901+0.0013677i,0.0011874-0.00046288i,0.0011277-0.0012285i,6.041e-05+0.00014485i,-9.0105e-05+0.00096837i,0.00022645+0.00097001i,0.00058776+0.0011544i,0.00053568+0.0018306i,0.00021209+0.00074592i,0.0004802-0.00050272i,0.00044546-0.00062035i,0.00039913-0.00038344i,3.044e-06-0.00019353i,-0.00018623+0.00040528i,0.00023762+0.00020592i,-0.00027914+1.455e-06i,-0.00053483+0.00015907i,-0.00013602-0.00029745i,-0.00020034-0.0011876i
0.001321+0.0020205i,0.00058731+0.0017363i,-9.556e-05+0.0017957i,0.0005193+0.00067936i,0.0017694-0.00081013i,0.0018116-0.001526i,0.00042961-0.0017964i,-0.00045805-0.0007179i,-1.6571e-05+0.0010844i,-0.00013257+0.0023644i,-0.0004534+0.0021978i,0.00016416+0.001416i,0.00065307+0.00039676i,0.0004261-0.00036154i,0.00012398-0.00058287i,0.00053067-0.0006521i,0.00080203-0.00021616i,0.00010828-9.1897e-06i,0.00015163+1.3787e-05i,0.0002335+0.00074327i,-0.00056453+0.00077119i,-0.00021464-1.3311e-05i,0.00095048+0.00015125i
0.00094653+0.00039876i,0.0009023+0.0009849i,0.0021699+0.00057671i,0.0021151-0.00038315i,0.00095818-0.00045505i,0.00056324-0.00051463i,0.00060634-0.00078927i,0.00011813-0.00035303i,1.2894e-08+8.7732e-05i,-0.00026781+0.0017532i,-0.00045692+0.0029557i,-0.00031942+0.0024042i,-0.00049569+0.0023782i,-0.0013773+0.0026561i,-0.0005305+0.001959i,0.00088553+0.00054643i,0.000914+0.00014246i,0.0013669+0.0004616i,0.0016323+0.00051329i,0.0013105-0.00017027i,0.0010443-0.00080825i,0.00080242-0.00086094i,0.00026562-0.00039912i
-0.0015862+0.00085228i,-0.0017878+0.0010737i,-0.002169+0.001579i,-0.0013123+0.0014888i,6.7686e-05+0.00058656i,-2.4928e-05-0.0017294i,1.7165e-05-0.0025914i,0.00094961-0.0010113i,0.00073644+0.00097357i,0.00064829+0.0023139i,0.00097915+0.0024649i,0.0005626+0.0027532i,-0.00053914+0.0031156i,-0.00079619+0.0024837i,-0.00025764+0.0013618i,0.00030069+0.0010136i,0.00033078+0.00099394i,0.00013139+0.00070358i,0.00073743-0.00021592i,0.00081444-0.00091335i,0.00048342-0.00096659i,0.00054186-0.0011835i,0.00044134-0.00084295i
0.00094186+0.00064174i,0.0014319-3.661e-05i,0.0016843+0.00011509i,0.0012525+0.00012322i,0.0021977-0.00072528i,0.0028048-0.002147i,0.001646-0.0029347i,0.00030883-0.0016836i,-0.00032967+4.9e-05i,0.00085631+0.0013321i,0.0020466+0.0017137i,0.0013377+0.0012451i,0.00096881+0.0011331i,0.00090864+0.0012034i,0.00048545+0.00066635i,0.0004979+0.00023501i,0.0011461+0.00025723i,0.0011161-0.00016514i,0.00083311-0.00070769i,0.00064327-0.00041122i,0.00040176-0.00022739i,0.00021341-0.00049846i,-0.00031132-0.00126i
-0.0012826-0.00082073i,-0.0014747-0.00070388i,-0.0013673-6.0587e-05i,-0.0011774+0.00041058i,-0.00078995+0.00027666i,-0.00022563-4.7183e-05i,-0.00048939+0.00023857i,-0.00075308+0.0010144i,-0.00066771+0.0016327i,3.3426e-06+0.0016342i,0.0013935+0.0016917i,0.0018931+0.0020924i,0.001735+0.0018918i,0.0020582+0.00076677i,0.0012019+0.00034294i,0.00028506-8.3615e-06i,0.00018848-0.0001583i,0.00022763+2.8591e-05i,0.0003365-0.0012875i,-5.8424e-05-0.0020116i,0.00022104-0.001632i,0.0006154-0.0012431i,0.00051592-0.00098627i
0.0013283-0.0036493i,0.0017913-0.0046647i,0.00067948-0.0037458i,-0.00013672-0.0019038i,0.00026577-0.0011644i,0.00090402-0.00089998i,0.00075314-0.0013174i,-0.00020214-0.0014544i,-0.00087252-0.0009402i,-0.0010365-0.0003262i,-0.00041739+0.00018101i,0.00013846+0.0010943i,0.0004291+0.0011997i,0.00069088+0.0010454i,0.00072587+0.00097869i,0.0010575+0.000659i,0.00124+0.00031555i,0.00063864-0.00016788i,0.00041411-0.00034705i,0.0010059-0.00029158i,0.00064681+7.5906e-06i,-0.00011382-0.00035394i,-0.00051983-0.0006256i
-0.00099553+0.00029419i,-9.3645e-05+0.00019512i,-0.00023067+0.00079977i,-0.00066006+0.00086737i,-0.00046571-5.8532e-05i,0.00095572-0.00072728i,0.0020061-0.00069846i,0.0010937-0.00021799i,-0.00020832+0.00043141i,-0.00081091+0.0012548i,-0.00047538+0.0016026i,-9.5492e-05+0.00043325i,-0.0010792-0.00083422i,-0.0015854-0.00011389i,-0.00081752+0.00050496i,-5.3107e-05+0.00029865i,-0.00053399-0.000174i,-0.0010832-0.00017803i,0.00015207-4.1725e-05i,0.001512-0.00026811i,0.0014208-0.00061012i,0.00052404-0.00053873i,4.3158e-05-0.00050108i
-0.00020718-0.0019463i,-0.0012815-0.0013207i,-0.00093942-0.0018335i,-2.8965e-05-0.0014133i,0.00073005-0.00070407i,0.0016855-0.0008791i,0.0017046-0.0010667i,0.00084937-0.00052954i,-2.054e-05+0.0013056i,-0.0006623+0.0021267i,-0.00054598+0.0011526i,-0.00049721+0.00071418i,-0.00055287-2.3908e-07i,-0.0007022-6.7386e-05i,-0.00065453+0.0010267i,-0.0003261+0.0015075i,0.00038565+0.00086436i,0.0013847-0.00034886i,0.0019329-8.9482e-06i,0.0018369+0.0003782i,0.0013165+0.00021008i,0.00052414+0.00035268i,0.00030945+1.3142e-05i
-0.00077-0.0013203i,0.00045894-0.0016678i,0.0016866-0.0023723i,0.0015257-0.00092163i,0.0012211-0.0006543i,0.0012831-0.0009751i,0.00048706-0.00087698i,-0.0012547-0.00076278i,-0.0020773+0.00013044i,-0.0011507+0.0015582i,-0.00033566+0.0024048i,-3.5202e-05+0.0024644i,5.2066e-05+0.0026452i,-0.00058178+0.0028216i,-0.00029443+0.002059i,0.00038463+0.00088679i,0.0012245+0.00035273i,0.0014401-6.057e-05i,0.00063984-0.00058454i,0.00069047-0.00084662i,0.00065049-0.00058756i,0.00030896+9.098e-05i,0.00026667+0.0004592i
0.001108-0.00023363i,0.00088543+0.00016146i,0.00022212+0.00067318i,-0.00060844+0.00067527i,-0.00026351-0.00054543i,-0.00021606-0.0021005i,0.00036819-0.0031646i,0.0006565-0.0021143i,-0.00027508+0.00019946i,-0.00077403+0.0016034i,-0.00069724+0.0023304i,-0.00056353+0.0035468i,-0.00088467+0.0038522i,-0.00032566+0.0026764i,0.00087157+0.0010915i,0.0014004-0.00026377i,0.0016106-0.00078331i,0.0012906+0.00020688i,0.00067228+0.0013135i,0.00069359+0.00081471i,0.00082039+0.00031946i,0.00034437-0.00033244i,-0.00084333-0.0004236i
0.00010971-0.00079612i,-0.00047259-0.0012131i,-0.00055979-0.0022156i,0.00031579-0.001002i,0.00091316+0.00042929i,0.00098647+3.0872e-05i,0.0011828-0.00065638i,0.00039301+0.00013615i,-0.00014302+0.0013118i,0.00069074+0.0018499i,0.00085169+0.0020121i,0.001074+0.0021012i,0.0015725+0.0018883i,0.0019823+0.00033645i,0.0020738-0.00045831i,0.0017694-2.7332e-05i,0.0011632+8.7129e-05i,0.00076849-0.00041152i,0.00068645-0.00036444i,0.00069919-0.00014466i,0.00098837-0.00029652i,0.00051988-0.00065985i,-0.0002281-0.00053211i
9.8423e-06-0.00033549i,0.0009376+0.00084708i,0.0020204-0.00011804i,0.0018317-0.0016835i,0.0011684-0.0017234i,0.0011041-0.0016743i,0.00058802-0.0015463i,-0.0001407-0.00079765i,-0.00044518+0.0002096i,0.00022478+0.00097054i,0.00041829+0.0016072i,0.00088487+0.0015842i,0.0015834+0.0011933i,0.0012691+0.000889i,0.00041507+0.00068559i,-0.0010196+0.00084864i,-0.0015621+0.00067887i,-0.00056492-0.00021806i,0.00039113-0.00046766i,0.00084051+0.00043793i,0.00058665+0.00030725i,0.00043895-0.00047947i,0.00076746-0.0003848i
-0.00084894-0.0015205i,-0.001556-0.0020653i,-0.0016083-0.0018577i,-0.0015211-0.00028024i,-0.0013269+0.00038784i,-0.00096429-0.00015749i,-0.00072734-0.00093175i,-0.00084408-0.0014374i,-0.00095088-0.0011269i,-0.0011704+0.0002125i,-0.00065899+0.00095591i,0.00052638+0.00040568i,0.00031403-0.00024039i,-0.00040184-0.00058566i,-0.00065766-0.00054649i,-0.00078629-0.00055541i,-0.0001521-0.00097466i,0.00020304-0.00068063i,0.00014278-0.00016631i,0.00040079-0.00026224i,0.00050802-0.00036839i,0.00058248+0.00012931i,0.00054334-0.0002663i
-0.00085029+0.00086243i,0.00059395-0.0001447i,0.0016516-0.00032555i,0.0016534+0.00023803i,0.0019861+8.4255e-05i,0.0024256-0.00075294i,0.00189-0.0017676i,0.0003152-0.0013241i,-0.0015467+0.00054183i,-0.0018872+0.0010678i,-0.0017315+0.0010601i,-0.002455+0.0012145i,-0.0033102+0.00079426i,-0.0027249+0.00046869i,-0.00095528+4.2384e-05i,-0.00026247-6.7896e-05i,0.00060878+0.00024539i,0.001768+0.00029566i,0.0017152+4.4324e-05i,0.00106-0.00057813i,0.00013666-0.0013584i,-0.00046393-0.0018232i,0.00013856-0.001008i
-0.0016744-0.00293i,-0.0015513-0.0016576i,-0.00060652-0.0015385i,0.00098355-0.00091253i,0.0017789-0.00034585i,0.0020965-0.00082653i,0.001632-0.0015946i,0.00045682-0.0015148i,-0.00042275-0.0004683i,-0.00098058+0.0015074i,-0.0015339+0.0028047i,-0.0013972+0.0024155i,-0.0015439+0.0017111i,-0.0017882+0.0020755i,-0.00084326+0.0023322i,0.00062587+0.0019406i,0.0012424+0.0015887i,0.00085763+0.0010693i,0.00062683+0.00048195i,0.0010319-0.00038086i,0.0011858-0.0007025i,0.00039835-0.00073988i,-0.00037906-0.0013567i
-0.0015544-0.0036948i,-0.0023563-0.0042994i,-0.001985-0.0043082i,-0.0012622-0.0028212i,-0.0011584-0.0010506i,-0.00075092-0.00021633i,0.00017257+5.1875e-05i,0.00028992-0.00016883i,-0.0001186+0.00081807i,-0.00024068+0.0024998i,0.00057164+0.0030795i,0.00042052+0.0022996i,-0.00087083+0.002114i,-0.00082395+0.0026996i,-8.0537e-05+0.0025508i,6.7663e-05+0.00132i,-0.00053073+0.00039245i,9.7888e-05+0.00058949i,0.00086139+0.00115i,0.00062874+0.0010802i,0.00024403+0.00033592i,2.3118e-05-7.2154e-05i,0.00025264+0.00013432i
0.00080588-0.0013972i,0.001151-0.0013374i,0.00076338-0.0026835i,0.00022529-0.0016521i,0.00053833-0.00027238i,0.001505-0.00071948i,0.001564-0.0015372i,0.00012543-0.0012619i,-0.00041091+0.00029322i,-2.4254e-05+0.0018765i,0.00058881+0.0026799i,0.0013561+0.0029653i,0.0017592+0.0035403i,0.0009668+0.0033043i,-0.00028856+0.0019654i,-0.0010219+0.00036674i,-0.00021768-0.00096392i,0.00028282-0.0011748i,0.00060287-0.00043328i,0.00071175-0.00021596i,0.00032665+0.00020199i,1.1769e-06+0.00072255i,0.00046262+0.00062467i
-0.0027471-0.0019673i,-0.0027078-0.0014113i,-0.0025681-0.00087386i,-0.0023506-0.0014873i,-0.0014964-0.0019414i,0.00061131-0.0018791i,0.0015319-0.0015269i,0.00023729-8.9257e-05i,-0.00091224+0.0011274i,-0.00045015+0.0017196i,0.00036009+0.0021292i,0.0002232+0.0022007i,-0.0001377+0.0010851i,0.00038055-0.00037992i,0.00035693-0.00056118i,0.0004894-0.00033295i,0.00064385-0.00017368i,0.001451-0.00058364i,0.0025-0.0011646i,0.0019666-0.00049461i,0.00059051+0.00019806i,-0.00014524-0.00047847i,-0.00050395-0.00095819i
-0.000865-0.0016729i,-0.000202-0.0023311i,-0.00048814-0.0011762i,-0.00033811+0.00064161i,0.00063757+0.00083454i,0.001193+7.2455e-05i,0.0012012-0.00072586i,0.00041194-0.0010727i,-0.0001987-0.00059327i,0.00076214+0.00047008i,0.0013226+0.0012922i,0.00062966+0.00076025i,0.00036305+0.00035359i,0.0010444-5.2341e-05i,0.0021815+0.00016078i,0.0023603+0.0011497i,0.0014468+0.0014534i,0.0016193+0.00093556i,0.0019551+0.00065119i,0.001658+0.00058115i,0.00073156-2.8123e-05i,-0.00017829-0.0011336i,8.0947e-05-0.0012704i
-0.0029678+0.00048704i,-0.0032518+0.001491i,-0.0041077+0.0022967i,-0.0026624+0.0026791i,-0.00068593+0.0023647i,0.00080106+0.00091775i,0.00035405-0.0004941i,-0.00094829-0.00024742i,-0.0012006+0.00081537i,-0.00052848+0.00086222i,-0.0001574+0.00092958i,-0.00020781+0.0012755i,-0.00055921+0.0018029i,-0.0003695+0.0022903i,0.00036327+0.0026002i,0.00066784+0.0028383i,-1.1617e-05+0.0017956i,2.7375e-06+0.00091472i,0.0010261+0.00048009i,0.0014769-0.00021103i,0.0010727-0.00043949i,0.00080638-0.00035901i,0.00027164-0.00066191i
0.00035051-0.00028675i,-0.00079187-0.00021206i,-0.0016729-0.00056526i,0.00027886-0.000537i,0.0012532-0.00071645i,0.001731-0.00093396i,0.0015736-0.00062391i,0.0012153-0.00038365i,0.0012477-3.6308e-06i,0.00029934+0.00042775i,-0.0012301+0.0013678i,-0.0020349+0.0026343i,-0.0017463+0.0023805i,-0.0014369+0.0019157i,-0.0016172+0.00097717i,-0.0013851+0.00078556i,-0.00047417+0.00041608i,0.00077649+0.00014754i,0.00096748+0.00050145i,0.00065263+0.00040434i,0.00012092+1.2721e-05i,-0.00056701-0.00052547i,-0.0004471-0.0008976i
-0.0012243-0.0025296i,-0.00098556-0.0021806i,-0.00105-0.00079972i,-0.00080004+0.0001444i,-0.00013558+0.00033076i,0.00091629-0.00047969i,0.0013929-0.0012058i,0.00093621-0.000378i,-0.000683+0.00064753i,-0.0020083+0.001669i,-0.0022408+0.0031182i,-0.0015462+0.0031419i,-0.0010886+0.0030183i,-0.0016686+0.0020564i,-0.0012951-0.00018685i,0.00042558-0.0010003i,0.0010331-0.00087206i,0.0014916-0.00028953i,0.0022968+0.0008964i,0.001382+0.00088697i,0.0003019+0.00043322i,0.00021918+0.00062039i,-0.00039048+0.00013946i
-0.00035351+0.00063602i,-0.0020043+0.0010993i,-0.0012756+0.00086482i,0.00093929+0.00035405i,0.0019598+0.00013664i,0.002058-0.0011352i,0.0017557-0.0016537i,0.00021891-0.0011067i,-0.0014118+0.00034963i,-0.0012757+0.0019753i,-0.00079803+0.0026689i,-0.00023551+0.0022223i,0.00083752+0.0024041i,0.001249+0.0019265i,0.0021833+0.00056826i,0.0030254-4.8415e-05i,0.0023353-0.00012655i,0.0018471+0.00034015i,0.0014118+0.00016612i,0.00056776-0.00088605i,0.00048496-0.0009979i,0.00049075-0.00026131i,-0.00019548-0.00040226i
-0.0030778+0.0002579i,-0.0029605+1.4451e-06i,-0.0031989+0.00090554i,-0.0025004+0.0026086i,-0.00011584+0.0019844i,0.0016366-0.00015964i,0.0016676-0.0017182i,0.0010325-0.0011106i,0.0003269+0.00068849i,0.00056006+0.0023227i,0.0011601+0.0035793i,0.0013448+0.003464i,0.0016251+0.0027736i,0.0019665+0.0033544i,0.002172+0.003763i,0.0015586+0.0023877i,0.0011793+0.0013602i,0.0013458+0.0006644i,0.0017235-0.00059415i,0.0020595-0.0012875i,0.0008791-0.0013464i,-0.00019737-0.0004329i,-0.00012824+0.00016606i
0.0023145-0.0011813i,0.0029026-0.0010741i,0.003651-0.00092028i,0.0028738-0.0011019i,0.0022038-0.0017288i,0.0017559-0.0015844i,0.00095526-0.00097942i,0.00042593-8.1969e-05i,0.00058594+0.0015871i,1.9451e-05+0.003196i,-7.348e-05+0.0031364i,0.00079486+0.0023894i,0.00053759+0.0017911i,5.7932e-05+0.0013578i,-0.0012801+0.0010854i,-0.0022535+0.0014076i,-0.00083736+0.0011905i,0.00081489+0.0005349i,0.0013132+0.00013329i,0.0019324-0.00080999i,0.0018078-0.0013485i,0.00039627-0.00095878i,7.3104e-06-0.00074615i
-8.938e-05+0.0014837i,7.7326e-05+0.0018632i,0.000135+0.0024721i,0.0002348+0.0020979i,0.00055603+0.0010595i,0.0012058+1.3146e-05i,0.0012262-0.00059038i,0.00076206+0.00064711i,0.00053384+0.001855i,0.00028794+0.002507i,0.00034248+0.001988i,0.00067832+0.0010785i,0.00012635+0.0012127i,-0.00044591+0.00024577i,-0.00037007-0.0011137i,-0.00029838-0.0011704i,0.00054719-0.0005381i,0.0010346-0.00075729i,0.00053196-0.0012307i,0.00019508-0.00063151i,0.00025429-0.00035428i,0.00011655-0.00025597i,-0.00016843+0.00031384i
-0.00046498+0.00042277i,-0.0004312+5.5273e-06i,-0.00058558-0.001025i,-0.001238-0.001381i,-0.0012135-0.00078354i,-0.00063578-0.0012871i,8.3517e-05-0.0025321i,-5.4338e-05-0.0020368i,0.00023018-0.00026646i,0.000338-2.0972e-05i,-0.000269+0.00014614i,-0.00045067+0.0010764i,-0.0006621+0.00043716i,-4.1813e-05-0.00055453i,0.0018832-0.0010371i,0.0025798-0.00086652i,0.0020183+0.00029328i,0.0018838+0.00096792i,0.0010657+0.00053418i,0.00010908-0.00029988i,7.8656e-05-0.00026946i,0.00023743+0.00012815i,-0.00059113-0.00033192i
