-0.0018372+0.0015117i,-0.0026575+0.0014668i,-0.0019751+0.0013235i,-0.0016842+0.00040113i,-0.001536+0.00044434i,-4.3846e-05+0.0012682i,0.00058538+0.0020009i,0.00099688+0.0013575i,0.0013506+0.0006581i,0.0014639+0.00099607i,0.0014284+8.8361e-05i,0.0005678-0.0011474i,0.00032685-0.00071129i,0.0002756-0.00027763i,-7.7113e-05-0.00028954i,-1.383e-05+0.00017894i,0.00022596+0.00038705i,0.00053848+0.00064845i,-3.8827e-06+0.00057057i,-0.00023965-0.00024375i,0.00057584-0.00037238i,0.00062091+6.6361e-06i,-0.00016999-7.3893e-05i
0.0024291-0.00052568i,0.0034896-0.0013275i,0.0014632-0.0011173i,-0.00099382-0.00024823i,-0.00093346+0.0010324i,-0.0005352+0.0019537i,-0.00078023+0.0021443i,-7.862e-05+0.0020601i,0.00054693+0.0009931i,0.00021177+0.00014458i,-0.00017084+0.00013722i,-0.00021227-8.361e-05i,0.00023058-0.00036628i,0.00048909-0.00027468i,0.00087812+0.00040508i,0.0010203+0.00059713i,0.0010915+0.00024012i,0.00039452+0.00021043i,-0.00031414+0.00056138i,-0.00016288+0.00049709i,0.00049023+0.00017192i,9.8113e-05+0.00032285i,-0.00045349+0.00041909i
0.0012124-0.0010697i,0.00026426-0.0014836i,-0.00010778-0.001099i,-0.0012729+0.00039572i,-0.002142+0.0010997i,-0.0012142+0.0016437i,-9.4367e-05+0.0022528i,0.00046704+0.001264i,0.00053221-0.00039922i,0.00087765-0.0010842i,0.0010748-0.0012193i,0.00059293-0.0012754i,0.00024728-0.0008576i,1.9674e-05+0.00013641i,-3.0118e-05+0.0011722i,-5.1924e-05+0.00094781i,0.00011988+0.00043937i,5.0526e-05+0.00049353i,-0.00074129+0.00070481i,-0.0010584+0.00020093i,-0.00063421+0.00012136i,-0.00048158-0.00066585i,-0.00066275-0.00049272i
-0.0035458+0.0012436i,-0.0034952+0.00040866i,-0.0032157-0.00084531i,-0.0021469-0.0003926i,-0.00050635+0.0017018i,0.00034321+0.0028369i,-8.5689e-05+0.0023801i,-0.00058625+0.0014204i,-0.0011864+0.00094463i,-0.00082412+0.00097399i,-9.7678e-05+0.00030729i,0.00062735-0.00069415i,0.0010776-0.0011762i,0.0013767-0.00024309i,0.0020942+0.0002701i,0.0021532+0.0004061i,0.0009546+0.00069512i,0.00012052+0.00011141i,0.0006566-0.00098235i,0.0010602-0.0011725i,0.00025277-0.00074166i,-0.00021247-2.3019e-05i,-0.00028362+0.00017003i
0.0010002+0.00055727i,0.00058963+0.0011741i,0.00010969+0.0018849i,-0.00031523+0.0016836i,-0.00027736+0.0021068i,0.0007812+0.0023802i,0.001506+0.002043i,0.00090804+0.0017156i,-0.00025216+0.0011335i,-0.00082426-0.0001333i,-0.00043729-0.0014015i,-0.00027491-0.0014556i,5.2301e-05-0.00072447i,0.00046681-0.00023862i,-4.0722e-05+7.1935e-05i,-0.00066848-1.0255e-05i,-0.00023112-0.00089763i,0.00076595-0.00080723i,0.00050273+0.00012949i,-0.00074843+0.00023188i,-0.00028464+0.00027886i,9.6468e-05+0.00076722i,0.00018475+0.00065906i
0.00020075-0.00017128i,0.0005094-0.0017358i,0.0011231-0.0019268i,0.00022363-4.2629e-05i,-9.4197e-06+0.0013383i,0.00084441+0.001596i,0.0015856+0.0013901i,0.0009774+0.00062186i,7.8398e-05-0.00072848i,0.00066767-0.00062013i,0.00077815-0.00029826i,0.00027968-0.00024633i,3.4709e-05-0.00024247i,-0.00024075+4.6473e-05i,-0.00016289+0.00030901i,6.667e-05+0.00032455i,-8.9839e-05+0.00030209i,-0.00059543+0.000885i,-0.00077117+0.00088915i,-0.00033238+0.00052532i,0.000243+7.2473e-05i,0.00044502+6.9613e-05i,-0.00043216+0.00026557i
0.0012639-0.00015757i,0.00068126-0.0020826i,-0.0010668-0.0030577i,-0.0028718-0.0024361i,-0.002522-0.00037219i,0.00012534+0.0022722i,0.0015873+0.0026809i,0.0011399+0.0016692i,0.00083475+0.00093032i,0.00064825+0.00057249i,0.00029733+0.00052869i,0.00055813-6.4613e-05i,0.00059274+4.3211e-06i,0.00072741+0.00016522i,0.00023569+0.00028915i,-0.00085104-0.00032869i,-0.00067221-0.00059412i,-0.00038728-0.00026267i,0.00054996-0.0002275i,0.0011679-0.00023896i,0.00079241-5.3217e-06i,0.00031415+0.00050652i,-8.0342e-05-0.00012254i
0.00086466-0.0011597i,0.0012849-0.0010707i,0.00051382-0.0015877i,-0.0014057-0.00048071i,-0.0016963+0.001701i,-0.00041811+0.0027233i,0.00088594+0.0021428i,0.0013378+0.0009341i,0.00081652+0.00020751i,-5.2914e-06-0.0003565i,-0.00019909-0.00041689i,-0.00021053+6.8504e-05i,-0.00046514+0.00027194i,-0.00035902+0.00061157i,-0.00035374+0.00069533i,-0.00012108+0.00034411i,0.00043045+0.00052033i,0.00015724+0.00077016i,-2.5994e-06+0.00044047i,0.00052136+0.00086689i,0.00036294+0.00092004i,1.1599e-05-0.00014717i,0.00027116-0.0002698i
-8.6679e-05-0.0011535i,0.00029175+7.2218e-05i,-0.0012738+0.00043528i,-0.0034447-2.7681e-06i,-0.0034475+0.00064129i,-0.0012519+0.0023033i,0.00041628+0.0026119i,0.00076008+0.0014561i,0.00030285+0.00055555i,0.00050145-0.00012985i,0.00079174-0.0006791i,0.00032964-0.00067546i,-0.00010631-0.00067025i,-0.00074186-4.3323e-05i,-0.00058313+0.0006722i,9.6015e-05+0.0011578i,0.00052433+0.00041068i,0.00057894-0.00087335i,0.00030001-0.00058038i,0.00039433-5.8138e-05i,-0.00023142-0.00026597i,-0.00055478-0.00032042i,-0.00024323+0.00032666i
0.00023728-0.0018802i,0.00021913-0.0020323i,-0.00099842-0.0014622i,-0.0013313-0.00093938i,-0.00078358+0.00042878i,-0.00082579+0.0020159i,-0.00059017+0.0025294i,-0.00010713+0.0017005i,0.00025306+0.00050576i,2.1367e-05-1.3546e-05i,-0.0002674-0.00048777i,-0.00049341-0.00061094i,-5.366e-05-0.00026742i,0.00073218+3.5804e-05i,0.00083406+0.00012118i,0.00028423+0.00064316i,0.00012506+0.00090269i,0.00010256+7.764e-05i,-1.8315e-05+0.0002098i,0.00018164+0.00010515i,0.00016261-0.00050116i,-0.00035903-0.0001498i,-0.00064353+0.00077048i
0.0014474-0.001583i,0.00011335-0.001262i,-0.00091071-0.0017518i,-0.0019591-0.002106i,-0.00276-0.00077448i,-0.0016429+0.0017616i,-0.00028883+0.002604i,-0.00010317+0.0023137i,-0.00040006+0.0013251i,-0.00026854+2.7881e-05i,-0.0002622+0.00010424i,-0.0006408+0.00087622i,-0.00029973+0.00075481i,-0.00056534+0.00060368i,-0.0014156+0.00088639i,-0.0010473+0.0011393i,-0.00039395+0.0013775i,-0.00045332+0.0006776i,-0.00039825+8.1717e-05i,0.00010454+4.8573e-05i,0.0008794-0.00028132i,0.00012941-0.001051i,-0.00031525-0.00094799i
0.0004874+0.00083039i,-3.8883e-06+0.00041472i,-0.0011971+0.00053011i,-0.0019341+0.0015252i,-0.0016629+0.0025756i,-0.00030708+0.0035848i,0.00039998+0.0032371i,0.00041787+0.002393i,0.00024309+0.0010522i,0.00060496-0.00022318i,0.00070652+6.2826e-05i,0.00089338+0.00070403i,0.0011191+0.00052766i,0.0012402-8.857e-05i,0.0015015-0.00091614i,0.00094151-0.00083201i,-0.00011172+0.00034954i,-0.00077979+0.00071804i,-0.00060138+0.00012311i,-0.00038216-0.00041135i,7.2239e-05-0.00031274i,0.00023135-0.00076839i,-0.00021945-0.0010538i
0.00023522-0.0025644i,-0.00037057-0.0024594i,-0.0017654-0.002163i,-0.0027293-0.0012641i,-0.0018383-4.4089e-05i,-0.00026325+0.0015876i,0.0008454+0.0021652i,0.00076103+0.001344i,0.00024794+0.00068534i,7.0281e-05+0.00039877i,0.00071591+0.00049857i,0.00039665+0.00052235i,-0.00047538+0.00047419i,-0.00022632+0.00073852i,-0.0002979+0.0012767i,-0.00045144+0.0012529i,-0.00054594+0.0004241i,-0.00034438+0.00029137i,6.599e-05+0.0011903i,0.00054938+0.0015873i,0.00055793+0.0011732i,0.00075126+0.0011316i,0.00097562+0.00067778i
0.0013112+0.00022561i,0.003225+0.0012484i,0.0024914+0.0021685i,0.00049007+0.00096559i,-0.00063156+0.00059868i,-0.00032502+0.0017102i,2.572e-05+0.0013626i,-8.1693e-05+3.4448e-05i,0.00027362-0.00041426i,0.00053465+9.2006e-05i,0.00042494+0.00010055i,0.00034879-0.00062737i,-0.00037185-0.0008652i,-0.0015371-0.00063519i,-0.0011855-0.00060512i,-2.776e-05-1.1957e-05i,0.00034763+0.00079987i,0.00066189+0.00040318i,0.00058557+8.8107e-05i,-0.00013444+0.00043577i,-0.00010922+9.5555e-05i,0.0002679+9.3862e-06i,-4.7356e-05+0.00059658i
0.00037134-0.00037295i,-0.001057-0.0022428i,-0.0011805-0.0034753i,-0.0013442-0.0020429i,-0.001112+7.8417e-05i,-0.0011412+0.0021656i,-0.00024132+0.003146i,-0.00029817+0.0023515i,-0.0017006+0.00083266i,-0.0012409-0.0005486i,-4.5718e-05-0.0013685i,-0.00070118-0.001427i,-0.0011765-0.0010348i,-0.00094518-0.00060376i,-2.3022e-05-0.0005154i,0.00014779-0.0013264i,-0.0002437-0.0014069i,-0.00030974-0.001134i,-9.5586e-05-7.9107e-05i,0.00050803+0.00078675i,0.00027406-0.00039391i,0.00022597-0.00097043i,-9.0864e-05+4.298e-05i
-0.00061952-4.2124e-06i,-0.0022399-0.00088806i,-0.0030427-0.0014863i,-0.0029728-0.00035042i,-0.0024163+0.0017579i,4.3688e-05+0.0025138i,0.0013568+0.0023114i,0.00094304+0.0023973i,-2.7454e-05+0.001197i,5.5021e-05+2.6614e-05i,0.0004476-0.0004201i,0.00042691-0.00065416i,0.0012219-9.5677e-05i,0.0012583+0.00082815i,0.00085754+0.0016386i,0.00095194+0.0018527i,0.00090455+0.001836i,0.00049974+0.0012791i,0.00015938+0.00051658i,0.00040834-0.00013432i,0.00042345-9.3839e-05i,0.00030769-0.00034766i,0.0010433-0.00078855i
0.00098511-0.00092925i,0.00046378-0.000741i,-8.0129e-05-0.00043562i,-0.00061752+9.2567e-07i,-0.001747+0.00099093i,-0.0017379+0.0023043i,-0.00023705+0.0023438i,0.00076749+0.0016937i,0.00026631+0.0012119i,-0.00026476+0.00070861i,0.00055804+0.00042144i,0.00070052-0.00013258i,2.4149e-05-0.00052188i,-0.00038151-0.00064832i,1.5763e-05+0.00034905i,0.00029862+0.0015897i,-2.3657e-05+0.0014132i,-0.0001711+0.0010294i,7.7205e-05+0.00045668i,0.00034541-0.00063904i,8.836e-05-0.00045972i,5.9177e-05+6.1135e-05i,0.00081121-7.6898e-05i
0.00071842+0.00012981i,0.00075154+0.00042592i,4.8966e-05-8.3918e-05i,-0.0016542+3.9097e-05i,-0.0013848+0.0013811i,0.0007682+0.0019161i,0.0011069+0.0020621i,0.0004405+0.0013864i,0.00073056+2.0394e-06i,0.0012017+0.00046141i,0.0011079+0.00086032i,0.00052177+0.00040967i,-6.9945e-07+0.000236i,-9.158e-05+0.00053037i,0.00013104+0.0015573i,-6.7644e-05+0.0011692i,-8.9702e-05+0.00034982i,7.5375e-06+0.00057178i,0.00023339+0.0010972i,-0.00030892+0.00055341i,-0.00034292+0.00015527i,0.0004206+0.00064567i,0.00076328+0.00064245i
-0.00061304+0.00057926i,-0.001443-0.0008781i,-0.00058574-0.0029712i,-0.001047-0.0024262i,-0.00173-0.00027027i,-0.00082866+0.0012577i,0.00026642+0.0012496i,0.00038501+0.00065265i,0.0010103-5.9255e-05i,0.001718-0.00033628i,0.00093011-7.4957e-05i,0.00030902-6.7603e-05i,4.142e-05-8.4543e-05i,-0.00027976+0.00012179i,-0.00064807+5.0792e-05i,-0.0013126-0.00019963i,-0.00043764-6.3833e-05i,9.8139e-05+0.00011153i,-0.00027849+6.02e-05i,0.00033458+0.00024914i,0.0011012+0.00015443i,0.00073699+0.00071214i,0.00032667+0.0012397i
-0.00054779-0.0008259i,0.00054711-0.00037386i,0.00059527+0.0011256i,0.00051869+0.0026118i,0.00051078+0.0025577i,6.9662e-05+0.0020892i,0.00071351+0.0026024i,0.00074059+0.0025316i,-0.00015519+0.001055i,-0.00035284+4.5799e-05i,0.00028553-0.00077167i,0.00014115-0.00065153i,-0.00060811-0.00064698i,-0.00085444-0.00088233i,-0.00077847-0.00085528i,-0.00052209-0.0010053i,-0.00021986-0.00051387i,-0.00039588-0.00011462i,-0.00064281+2.0774e-05i,-0.00061969+5.4086e-05i,-0.00012963-0.00042525i,0.00016311-0.00081195i,-0.00016205-0.00025835i
0.0011552-0.00081832i,0.0011058-0.0014716i,0.0006116-0.0026012i,-0.00032484-0.0021534i,-0.00098914-0.00015836i,-0.0010075+0.0013806i,-0.0001541+0.0013678i,-0.00048339+0.0010608i,-5.8294e-05+0.00073826i,0.00052873+0.00036244i,0.00019522+0.00037077i,-0.00035989-0.00035476i,-0.001051-0.00056302i,-0.0012889-0.00010455i,-0.0012207-5.8297e-05i,-0.00062511-0.0004629i,-0.00039393-0.0002789i,-0.00014167-0.00010576i,0.00059013+0.00053874i,0.00037338+0.0014042i,-8.7967e-05+0.00099921i,-0.00045856+0.00042122i,-0.00049106+0.00027513i
-0.0021435+0.00055838i,-0.0020477+0.00054111i,-0.0022656+0.0013474i,-0.0017389+0.0020551i,-0.00085315+0.0019486i,6.6547e-05+0.0019844i,0.0001564+0.0014545i,-0.00017671+0.00078721i,-0.00047867+0.00080982i,-0.00012184+0.0004749i,7.7005e-05+0.00015705i,-2.4931e-05+0.00031651i,0.00075636-0.00041039i,0.0013469-0.00061691i,0.00059896+5.4295e-06i,0.00068441+0.0004234i,0.00099671+0.000337i,0.00076018+0.0001681i,-0.00020615-3.2263e-05i,-0.00084752-0.00032445i,-0.00060388-0.00030206i,-0.00054951-0.00030726i,-0.00020545-0.00027327i
-0.00075183+0.00080325i,0.00082978+0.00053347i,0.0012214+0.00017891i,0.00043278+0.00034249i,0.00012088+0.00086002i,0.00050646+0.001177i,0.00049044+0.001633i,0.00049708+0.0015228i,0.00030007+0.001517i,0.00021541+0.0010371i,0.00063431+0.00013976i,0.00066715-0.00041796i,0.00036726+0.00016792i,-0.00025376+0.00055677i,-0.00012914+0.00046401i,0.00062753+0.00024739i,0.0010224+0.00044678i,0.00066072+0.00055914i,-0.00028857+0.00050344i,-0.00053011+0.00079322i,-0.00045213+0.00053277i,-4.2608e-06+0.00012557i,0.00039187+0.00063382i
-9.0709e-05-0.0011211i,-0.0015848-0.00073541i,-0.0035605-0.0010631i,-0.0046715-0.00031034i,-0.0041252+0.0016332i,-0.002279+0.0024529i,-0.00043304+0.0013548i,0.00042465+0.00093373i,0.00085483+0.0013922i,0.00094838+0.0014457i,0.00040636+0.00118i,0.00030494+0.0010504i,0.00045117+0.0013666i,0.00025809+0.0013775i,0.00016908+0.0010241i,0.00016907+0.0013788i,-0.00015762+0.0013939i,0.00013081+0.0002885i,0.00026848-0.0004072i,0.00013331-0.0010711i,0.0002569-0.0012065i,0.00051303-0.0006353i,0.0007324-0.00022289i
0.0024574+4.3121e-05i,0.0029024-3.2331e-05i,0.0016517-0.0003441i,0.0015656-0.00062591i,0.0012209-0.0005244i,0.00040989+0.00048689i,0.00034279+0.0015518i,0.00050594+0.0010802i,3.9471e-05+0.00066861i,-0.00032035+0.0002061i,-0.00065347-0.00013689i,-0.00014752+0.00013895i,-0.00030822+0.00021897i,-0.0010442+0.00035445i,-0.00067966+0.00074257i,-0.00018498+0.00026814i,1.2512e-05+3.3272e-05i,-9.182e-05+0.0007813i,7.5311e-05+0.0011887i,2.7523e-05+0.00080015i,-0.00019939+0.00027286i,0.00043696+5.9454e-05i,0.0014083-1.4335e-05i
-7.7531e-06-0.0012328i,-0.0011596-0.00090034i,-0.0027161-0.00087282i,-0.0036692+0.00039251i,-0.0030819+0.0024445i,-0.00070991+0.0027943i,0.00076479+0.0016763i,0.00053952+0.0011813i,5.9694e-05-5.6336e-05i,0.00044346-0.0010993i,0.00077859-0.00075656i,8.7063e-05-0.00017006i,-0.0004219+2.6118e-05i,-0.00063587-0.0003364i,-0.00063913-7.4839e-05i,0.00036443-4.9222e-05i,0.00050503-0.00060275i,0.00043587-0.00056862i,0.00029058-0.00031183i,-0.00059866-0.00045815i,-0.0009728+0.00020324i,-0.00019061+0.00088766i,0.00050891+0.00072715i
-0.00083005-0.0011204i,-0.0017341-3.6527e-07i,-0.0031825-0.00058355i,-0.0027608-0.00098573i,-0.0017344-0.00014404i,-0.0008526+0.001609i,-0.00019314+0.0029268i,3.7774e-05+0.0021607i,-4.9992e-05+0.0010094i,-0.00011091+0.00089614i,0.00019952+0.00036523i,0.00078052-0.00092047i,0.00014122-0.0014419i,0.00013198-0.00078676i,0.0013041-0.0001422i,0.0010553+0.0001702i,-0.00018559+0.00020206i,-0.00058163-2.7784e-05i,-0.00077158-0.00049675i,-0.00044722-0.00089i,0.00024616-0.00063047i,0.00076747-0.00032464i,0.00059176+0.00021878i
-1.9561e-05-0.0021611i,-0.00093419-0.00298i,-0.0013259-0.0025563i,-0.002198-0.00015777i,-0.0020779+0.0013365i,-0.00072174+0.0020535i,5.9907e-05+0.0025136i,0.00068981+0.0014917i,0.0010551+0.00017239i,0.00099665+0.00030027i,0.00022605+0.0013294i,0.00014108+0.0013857i,0.00050014+0.00056264i,0.00092673+0.00032719i,0.0012593+0.0008238i,0.00031279+0.0011328i,-0.0004454+0.00082748i,-0.00072498+0.0004446i,-0.00089453+5.1937e-05i,-0.0002149-0.00024693i,0.00012951+2.3499e-06i,-0.00016584+0.00030006i,0.00037783-0.0006013i
-0.0010214+0.0010334i,-0.00077459+2.8819e-05i,-0.0018807-0.0013698i,-0.0023708-0.00045857i,-0.0014533+0.0016905i,-0.00079188+0.0028773i,-0.0004791+0.0021792i,0.00012002+0.00087841i,0.00074768-2.6382e-05i,0.0010513-0.00054452i,0.0010867-0.00058228i,0.00051099-0.00013774i,-4.9198e-05+0.00059273i,0.0002727+0.00078935i,0.00068092+0.00062856i,0.0011223-8.4749e-06i,0.0016791+0.00014767i,0.0011358+0.00076612i,0.00032164-0.00036407i,0.00015791-0.00081693i,0.00027476-0.00047423i,0.00035203-6.4877e-05i,0.00038257+0.00046275i
-0.00090728-0.00040074i,-0.00050603-0.00052572i,-0.0003494-5.2443e-05i,-0.0010558+0.00019517i,-0.0016662+6.5426e-05i,-0.0010386+0.0010003i,6.8738e-05+0.0014549i,0.00033089+0.00083846i,0.00057852+0.00087764i,0.001086+0.0008969i,0.0015861+0.0004088i,0.0014583+0.00032048i,0.0012112+0.00027959i,0.00096148+0.00053142i,0.00069148+0.00052369i,0.00063709+7.4951e-05i,0.00045913-4.0528e-05i,-5.8501e-05-0.00010888i,0.00036547-0.00021534i,0.0012247+0.00030771i,0.0011123+0.00088335i,9.0898e-05+0.00017045i,-0.00066364-0.0006317i
0.00028005-0.0033204i,-9.1963e-05-0.0029448i,-0.0010563-0.0015877i,-0.00098286+0.0011935i,-0.000382+0.0026986i,0.00044685+0.0028849i,0.0009582+0.0022865i,0.00014802+0.0010385i,-0.00081563+0.0003227i,-0.00051254-0.00015764i,-0.00013306-0.0010026i,0.00028176-0.0012222i,0.00014792-1.4468e-05i,-2.3831e-05+0.0013198i,0.00039195+0.0017464i,0.00044911+0.0015013i,0.00027327+0.0010583i,0.00024588+0.00060947i,0.00060544+0.00063591i,-7.6238e-05+0.00075001i,-0.00078335+0.00026952i,-0.00014145+0.00040038i,-0.00011001+0.00059748i
8.2033e-05-0.00037671i,-0.00033963-0.00096381i,-0.0023764-0.0019987i,-0.0039129-0.0025695i,-0.0026774-0.00082156i,-0.0004331+0.0011321i,0.00059356+0.0016762i,0.00029427+0.00093117i,0.00013222-0.0002576i,0.00031503-0.00014373i,-0.00025661+0.00074518i,-0.00048829+0.00030858i,-0.00013561-0.00051212i,-5.006e-05-0.00059757i,-0.0001031-0.00021793i,9.5851e-05+0.00060339i,-1.2232e-06+0.0008624i,-0.0011838+0.001041i,-0.00091272+0.00027883i,0.00043371-0.00034916i,0.0011085+0.0001391i,0.0012032+0.00033832i,0.00086379+0.00037831i
0.0013721+0.00094777i,0.0017598+0.0006834i,0.00029043+0.0011019i,-9.9678e-05+0.0014213i,-0.00045896+0.0017807i,-0.00094337+0.002207i,-0.00040959+0.0021202i,-0.00010919+0.0015395i,-2.463e-05+0.0001306i,0.00036078-0.00013169i,0.00089557+0.00015792i,0.0010911-0.00014549i,0.00079155-0.0007835i,9.1503e-05-0.00051153i,-0.00087268-0.00042155i,-0.0014347-0.00095891i,-0.00088955-0.00089453i,0.00013411-0.0001065i,0.00033716+0.00030648i,0.00037726-6.1487e-05i,0.00029015-0.00043879i,-5.2099e-06-0.0010494i,0.00024411-0.00057046i
-0.0023261-0.0022383i,-0.0022696-0.0022298i,-0.0023667-0.0016966i,-0.0036031+0.00037512i,-0.0033946+0.0023818i,-0.0021237+0.00342i,-0.00072057+0.0029572i,0.00017777+0.0016937i,-0.00030043+0.0006526i,-0.00054813+0.00046276i,0.00024572+0.00044685i,0.00053894+0.00015128i,0.00061251+9.218e-06i,0.00061535+0.00015419i,0.00043689+0.00017894i,0.0003267-0.00058572i,-7.2045e-05-0.0011149i,-0.00086755-0.0008544i,-0.0010831-0.00070474i,-0.00045918-0.00041422i,0.00045904-0.00040779i,0.00045192-0.00055481i,3.7787e-05-0.00038388i
-0.0022488-0.0014542i,-0.0018474-0.0013553i,-0.0020818-0.00068148i,-0.00040764+0.0001421i,0.00051315+0.0012604i,0.0012803+0.0020627i,0.0016765+0.0020289i,0.00080612+0.0019852i,-0.00015887+0.001266i,3.3988e-05+0.00030036i,0.0010398+0.0002732i,0.00091892+0.00040032i,-0.0002632+0.00042643i,-0.00036332+0.00078071i,0.00022731+0.00084214i,0.0003935+0.00071057i,0.00093045+0.0007418i,0.00096444+0.00035741i,-4.4411e-05-0.00014244i,0.00020622-0.00052718i,0.00045331-0.00042938i,-0.00030108-0.00027968i,-0.00042965+2.0214e-05i
-0.00045298-0.00081113i,0.0001002-0.0006467i,0.00016939+0.00010459i,-0.00058198+0.0013318i,-0.0010338+0.0017106i,-0.00037759+0.0015598i,0.00062005+0.0010883i,0.0013891+0.00066659i,0.00081766+0.00060148i,0.00015447+0.00069094i,0.00017064+5.9678e-05i,0.00032643-0.00096492i,-0.00013824-0.0013103i,-0.0009702-0.00069659i,-0.00084784+0.00055465i,-9.6946e-05+0.0013065i,0.0006587+0.00079127i,0.00053594+0.00022935i,0.00053826+0.00046314i,0.00035761+0.00059062i,-0.00028604+0.00040602i,-0.0010687+0.00035024i,-0.0011165+0.00027381i
-0.0015157-0.0007154i,-0.0025845-0.00084197i,-0.0039002-0.00022817i,-0.0040715+0.00098752i,-0.0022727+0.0022329i,-0.00068183+0.002716i,-0.00055091+0.0020514i,-2.9969e-05+0.00067143i,0.00054794-0.00043293i,0.00073843-0.00065622i,0.00054627-0.00082993i,0.00036125-0.00044957i,0.0002673+0.00021362i,2.8176e-05+0.00090972i,-0.00019523+0.0012658i,0.00028066+0.00095405i,0.00054941+0.00075045i,-2.4359e-05+0.0011546i,-0.00018208+0.0011815i,0.00015209+0.00028603i,0.00059159-0.00023529i,0.00020503-0.00047496i,4.5165e-05-0.00034819i
0.0023737-0.0018316i,0.003184-0.0026525i,0.0021007-0.003207i,-0.00033889-0.0027234i,-0.0018672-0.000904i,-0.0013053+0.0018366i,0.00090074+0.0028484i,0.0015877+0.0018885i,0.00061416+0.00093167i,0.00011295+6.2303e-05i,9.7804e-06-0.00024447i,4.4621e-06-0.00068749i,0.00041476-0.0010946i,0.00062698-0.00028555i,0.00035814+0.00036526i,0.00060102+0.0007587i,3.1678e-05+0.00062572i,0.0001367+0.00022256i,0.00071841+0.00045724i,0.00048089-0.00034166i,0.00070958-0.00079764i,0.0011911+6.9527e-05i,0.0010957+0.0013098i
0.00017339+0.00046636i,-0.00036857-0.00080813i,-0.00074605-0.0011102i,-0.0015148+0.0001418i,-0.00068045+0.0013424i,0.00052366+0.0023953i,0.00016081+0.0024919i,-0.00078183+0.001269i,-0.00094949+0.00014383i,-0.00073015-0.00034089i,-0.00028362+0.00013565i,0.00030043+0.00029507i,0.00011246-0.00026494i,-0.0008089-0.001352i,-0.0011987-0.0016775i,-0.00099039-0.00062531i,-0.00015983-7.4472e-05i,1.0784e-05+0.00054336i,-0.00020452+0.00085743i,0.00043557+0.00056268i,0.00062543+8.2103e-05i,0.00026077-0.00047757i,-8.9206e-05+7.9847e-05i
0.0023725+0.00034518i,-0.00014757-0.00060258i,-0.0022983-0.0023392i,-0.0039358-0.0029402i,-0.0036119-0.00066577i,-0.0020198+0.0018259i,-0.00024192+0.0021157i,0.0012612+0.0020498i,0.00085486+0.0019843i,-0.00045722+0.0012991i,-0.00070414+0.00021986i,-0.00057023-0.0006228i,-0.00065306-9.7592e-05i,-0.00033973+0.00051554i,-0.00048222+0.00048777i,-0.00061126+0.00016263i,-0.00024617+0.00012943i,-0.00014132+6.0934e-05i,0.00052211+0.00012662i,0.0011427+0.00061624i,0.001073-9.1905e-05i,0.00073809-0.00035674i,0.00031711+0.00090154i
0.00046587-0.0018445i,0.00078733-0.0015472i,0.00075754-0.0016141i,0.00055465+3.9865e-05i,7.8049e-05+0.0027374i,-0.00077253+0.0043569i,-0.00026137+0.0035193i,0.00034821+0.0020812i,0.00047599+0.0012975i,0.0007946+0.00067338i,0.00099341-0.00057125i,0.00066295-0.0013061i,0.00029918-0.00058299i,0.00020946+0.00040656i,-6.2211e-05+0.0010302i,0.00024367+0.0011111i,0.00036958+0.00074473i,-0.00037567+0.00021155i,-8.1643e-05-0.00042111i,0.0004155-0.00065849i,-0.00039167-0.00036386i,-0.00039026-7.2047e-05i,1.7533e-05+0.00055028i
0.0008611-0.0018875i,0.00094505-0.0030703i,-0.00014165-0.0032464i,-0.0017641-0.0030827i,-0.0019572-0.001002i,-0.0012341+0.0020902i,0.00053586+0.0030103i,0.001786+0.0020538i,0.00141+0.0013866i,0.0014277+0.0011543i,0.0021711+0.00011395i,0.0023947-0.001201i,0.0016542-0.0011388i,0.00051654+0.00047328i,-0.00016491+0.0011647i,2.7129e-05+0.00073963i,0.00048241+0.00014079i,0.00062052-0.00030973i,0.0010187-0.00075239i,0.0014989-0.001479i,0.00077921-0.00088992i,-0.00011044+0.00025074i,-1.8423e-05+0.00039582i
-0.00075328-0.0012275i,-0.0019724-0.0017297i,-0.0029976-0.0008096i,-0.0019204+0.0010525i,-0.00079705+0.0029241i,-0.00049727+0.0028969i,-3.1098e-05+0.0010083i,-2.4275e-05-0.00011583i,-0.00029351-0.00071161i,-0.0001569-0.0016238i,0.00035034-0.0016063i,0.0015945-0.0010765i,0.0011234-0.00034177i,3.1185e-05-8.1671e-05i,-0.00020137+0.00074808i,-0.00062728+0.0013354i,4.689e-05+0.00092087i,0.00035551+0.00044401i,0.00047899+0.00027141i,0.00015714+0.00026516i,-0.00057223+5.5822e-05i,-0.00015709-0.0006891i,0.00042019-0.00074089i
0.00036569+0.00094831i,7.4004e-05+0.0011922i,-0.0010671+0.0013012i,-0.0021531+0.00072485i,-0.0020003+0.0010997i,-0.0013306+0.0022788i,-0.0010016+0.0024938i,-0.00084435+0.0019676i,-0.00064155+0.0005638i,-0.00049759-0.00064488i,0.00050862-0.00052852i,0.0010743-0.00018672i,0.00051779-0.00042549i,-0.00046269-2.2776e-05i,-0.00058744+0.000815i,-0.00058906+0.0011003i,-0.00050879+0.00050817i,-5.7019e-05-0.00027703i,6.2321e-05-0.00037079i,0.00028523-0.00016989i,0.00035488+0.00016769i,0.00015006+0.00025384i,0.00039268+0.00013534i
