-0.0023526-0.00034587i,-0.0023543-2.8613e-05i,-0.0023316+0.00091185i,-0.0016678+0.00024174i,-0.0012784+0.00028846i,-0.0019696+0.0019826i,-0.0011883+0.0024676i,0.00053239+0.0022262i,0.00073099+0.0008054i,0.00074537-0.0010951i,0.00093811-0.0015233i,-7.7388e-06-0.00094553i,-0.00060719-0.00049054i,-0.00018624-0.00028741i,0.00019934-3.2738e-05i,0.000287-0.00039035i,-3.2552e-05-0.00057297i,-0.00026766-0.00020329i,-0.00061023-0.00051946i,-0.0011929-0.00076259i,-0.00054788-0.00074507i,0.00022498-0.00062048i,-0.00027105-0.00037561i
0.0063581+0.045813i,0.013561+0.040068i,0.010159+0.024207i,0.0054273+0.009144i,0.0020442-0.00036565i,-0.00059144-0.0052658i,-0.00099784-0.0042416i,-4.204e-06+0.00064016i,0.0016261+0.0031527i,0.0024198+0.0032547i,0.000763+0.0022481i,-0.0016611+0.0015501i,-0.0027524+0.0018979i,-0.0018187+0.0021759i,-0.00023104+0.0022381i,0.0010673+0.001184i,0.0016651-0.00068613i,0.0016931-0.0014656i,0.0016119-0.0013522i,0.0011199-0.00087287i,1.0553e-05+9.9261e-06i,-0.00043684+0.00022713i,-0.00035681-0.00048761i
0.040313+0.012389i,0.037633+0.0023243i,0.021938+6.7756e-05i,0.0080789+0.000421i,-0.00039079-0.00011691i,-0.0057579+9.4356e-05i,-0.0053797+0.0018126i,-0.0013001+0.0026523i,0.0025328+0.00031502i,0.0047681-0.0017014i,0.003914-0.00085382i,0.0016161+0.00071334i,0.00069309+0.0010925i,0.00097344+0.00063583i,0.0011751-0.00010354i,0.0018802-0.00052131i,0.0017889-0.00070914i,0.00078543-0.00032309i,0.00037427-0.00012259i,0.00077277-0.00030481i,0.00060339-0.00049296i,0.00049081-0.00047184i,0.00055681+0.00025145i
0.027783-0.029183i,0.016671-0.032197i,0.0095681-0.019815i,0.0050257-0.0073707i,-0.00052515+0.00072051i,-0.0044169+0.0062856i,-0.003022+0.0069485i,5.8598e-05+0.0028426i,0.0013865-0.0017027i,0.0010456-0.0036091i,0.001539-0.0016311i,0.0022749+0.00081718i,0.0020943+0.0011688i,0.0016542+0.00022308i,0.00048037-0.00064666i,-0.00022601-0.00073442i,-0.00025845+5.4918e-05i,-0.00075562+0.00055662i,-0.0012091+0.00067251i,-0.001055+0.00025797i,-0.00085431-0.00012637i,-0.00078156+0.00043395i,-1.2773e-05+0.0011256i
-0.01427-0.036712i,-0.022573-0.027528i,-0.013215-0.015624i,-0.002872-0.0070281i,0.0015007+0.00025602i,0.0033958+0.0059033i,0.0042196+0.0060497i,0.0021294+0.0024402i,-0.0016442-0.0003299i,-0.0045558-0.00096816i,-0.0037017-0.0017017i,-0.00088701-0.0020809i,0.00050134-0.0019107i,0.00078246-0.0017748i,0.00039581-0.0011492i,-0.00074493-0.00058075i,-0.0015254-0.00013366i,-0.0020183+9.1776e-05i,-0.0024142+0.00020929i,-0.001176+0.0002852i,-0.0003235+0.00029492i,-0.00084934+0.00041821i,-0.00093059+8.4704e-05i
-0.040465-0.0034664i,-0.038881+0.0097072i,-0.024502+0.0075899i,-0.0097389+0.0028647i,0.00073939+0.0020484i,0.0067839+0.0011716i,0.0056133-0.00074065i,0.0018362-0.00065403i,-0.0012088+0.001122i,-0.00283+0.0021589i,-0.0027313+0.0014813i,-0.0024727-0.0005237i,-0.0027525-0.0017772i,-0.0026564-0.0019585i,-0.0023675-0.001571i,-0.0015409-0.00071068i,-0.00015401+9.2301e-05i,0.00091028+0.00047669i,0.0015633+7.1477e-06i,0.0007608+0.00077767i,-3.3186e-05+0.0012743i,-0.00030258+0.00046543i,-0.00024897+6.4596e-06i
-0.015716+0.031532i,-0.0033028+0.036803i,-0.0012148+0.023214i,-0.0014938+0.0085143i,7.7728e-05+4.7122e-06i,0.0010352-0.0055611i,0.00021959-0.0058058i,-0.0010991-0.0020437i,-8.1035e-05+0.0018769i,0.0016888+0.0041594i,0.00082607+0.0043028i,-0.0011948+0.0024859i,-0.0018785+0.00075213i,-0.0014065+0.0014268i,-0.00075551+0.0022266i,0.00034902+0.0022561i,0.00111+0.0020054i,0.0011027+0.001085i,0.00067506+0.00032273i,-0.00028026+0.00029684i,-0.00034752+0.00051992i,0.00025886+0.00095428i,-0.00029888+0.00097461i
0.023787+0.027508i,0.035549+0.016378i,0.024171+0.0081963i,0.0088383+0.0034794i,-0.00039752-0.001564i,-0.0064173-0.0051977i,-0.0076239-0.0027856i,-0.0032981+0.00088777i,0.0024947+0.0013711i,0.0049375+0.00092924i,0.0041839+0.0015044i,0.0027555+0.0030165i,0.0017532+0.0039751i,0.0018098+0.003133i,0.0017361+0.0018511i,0.0020001+9.5703e-05i,0.0016763-0.0014278i,-0.00016985-0.0021235i,-0.0014219-0.0014307i,-0.0014697-0.00030433i,-0.00082479-0.00036619i,-8.9345e-05+0.00032019i,0.00034928+0.0012893i
0.028989-0.010028i,0.024286-0.025538i,0.013051-0.016986i,0.004679-0.0029621i,-0.0019914+0.003609i,-0.0058708+0.0059039i,-0.0043892+0.006796i,-0.00064897+0.004662i,0.00094417+0.00015064i,0.0011596-0.0036676i,0.0015355-0.0041486i,0.00161-0.0020287i,0.0015234-0.00019866i,0.0009157-0.00036526i,0.00019488-0.0010883i,-0.00058908-0.0016421i,-0.0011993-0.0018368i,-0.0010193-0.0013918i,-0.000221-0.00085158i,0.0010027-0.00040452i,0.0010666+0.00020629i,0.00057539+0.00014207i,0.00022275-4.9933e-05i
0.0041967-0.032097i,-0.013769-0.036277i,-0.011705-0.022689i,-0.003998-0.0073199i,-0.0017625+0.0028067i,-0.00046156+0.0088083i,0.0024001+0.0080635i,0.0019929+0.0037056i,-0.0012665-0.00017979i,-0.0030721-0.0025342i,-0.0024195-0.0027763i,-3.4323e-05-0.0020781i,0.0018387-0.0012927i,0.0021695-0.00094079i,0.00073467-0.0010287i,-0.00063318-0.001121i,-0.00048487-0.00040747i,0.00032639+0.00061047i,0.00049551+0.001895i,-0.00015675+0.0022573i,-0.0010644+0.0011347i,-0.00067124-0.00035638i,1.7005e-05-0.0010683i
-0.021201-0.011738i,-0.033526+0.002709i,-0.021873+0.0050739i,-0.0061347+0.0020892i,0.0019145+0.0019401i,0.006101+0.0031052i,0.0072802+0.0018851i,0.0038448+0.00061366i,-0.0010572+0.00088106i,-0.0037113+0.0021917i,-0.0034796+0.002036i,-0.0018469+0.00050855i,-0.00059341-0.0010021i,-0.00036588-0.001699i,-0.001099-0.00179i,-0.001369-0.0013311i,-0.00032727-0.00055762i,-0.0001532+0.00024829i,-0.00039513+0.00073614i,0.000109+0.00062803i,0.00010272+0.00068073i,-0.00021208+0.00034255i,-0.00078836-0.00037282i
-0.019793+0.01109i,-0.014494+0.029939i,-0.0088427+0.021708i,-0.0039099+0.0073748i,0.0013535-0.00020792i,0.0052618-0.0043831i,0.0035841-0.0053951i,0.00021864-0.0023364i,-0.00099795+0.0019663i,-0.001168+0.0047519i,-0.0015575+0.0056245i,-0.0026603+0.0035805i,-0.0033632+0.0010507i,-0.0029501+0.001908i,-0.0026892+0.0030447i,-0.0011895+0.0028574i,0.00056812+0.0029788i,-0.00024442+0.0010611i,-0.0007193-0.0010991i,-8.6139e-05-0.0012398i,0.00033137-0.00083903i,9.7541e-05-0.00055787i,-0.00097659-0.00025531i
0.0068269+0.014675i,0.027731+0.017055i,0.020171+0.0097917i,0.0054308+0.0021468i,-0.00083046-0.0034718i,-0.0036001-0.0073175i,-0.0051134-0.0056395i,-0.0030234-0.0014768i,0.0012323+0.00066145i,0.0037876+0.0010395i,0.0043415+0.001345i,0.0027616+0.0023542i,0.00019596+0.0038518i,-0.00025974+0.0039955i,0.00040465+0.0023405i,0.001207+0.0003038i,0.0017374-0.00068792i,0.0013186-0.0011917i,0.00047735-0.0012579i,-0.00024843-0.00067346i,-0.00051429-9.7918e-06i,-0.00071748+0.00041933i,-0.00012131+0.00030218i
0.013325-0.00316i,0.024641-0.022422i,0.013953-0.018841i,0.0010003-0.0062779i,-0.0051682-0.0015694i,-0.0089896-4.5182e-05i,-0.0088125+0.0031281i,-0.0033123+0.0032358i,0.0017286-0.0003294i,0.0034546-0.0031355i,0.0032908-0.0035724i,0.0025768-0.0020801i,0.0023416-0.00024753i,0.0024769-0.00030126i,0.0022703-0.00077901i,0.0013702-0.0021855i,-0.00031322-0.0031537i,-0.0013469-0.0012943i,-0.0004671+0.00062966i,-0.00057776+0.00040614i,-0.00060876+2.7395e-06i,0.00026565+0.00063224i,0.00041562+0.00085638i
-0.0044855-0.0074303i,-0.015502-0.025132i,-0.014089-0.013319i,-0.0058405+0.0023236i,-0.0030844+0.0082328i,-0.0041082+0.0098601i,-0.0015482+0.0089022i,0.0004895+0.0044087i,-0.00024464-0.00014472i,-0.00054289-0.0032247i,-0.0004241-0.0036099i,0.00045211-0.0017279i,0.0021927-0.00061637i,0.0024459-0.0011652i,0.0013505-0.0016848i,-0.000435-0.0015371i,-0.0014249-0.0013883i,-0.00088646-0.00057468i,-0.00018328+0.00029596i,-0.00041292+7.0439e-05i,-0.00095852-0.001151i,-0.0010652-0.0017317i,-0.00027623-0.0013259i
-0.0064451+0.0010514i,-0.030016+0.0025469i,-0.020825+0.0043456i,-0.0047884+0.004087i,0.00074743+0.0061167i,0.0034237+0.0085711i,0.00582+0.0059686i,0.0035912+0.002259i,-0.00058014+0.0016232i,-0.003816+0.0019324i,-0.0042713+0.00089839i,-0.0021707-0.00048632i,-0.00071062-0.00029182i,-0.00046086-0.00035016i,-0.00068878-0.001582i,-0.0010022-0.0012811i,-0.00093098+0.00021746i,6.5297e-05+0.00048544i,0.00079846+5.7165e-05i,0.00024837+0.00027559i,-6.78e-05+0.00095702i,-0.00022108+0.00047806i,-0.00057025-0.00040414i
0.0073961+0.0050201i,-0.0028346+0.026639i,-0.0011959+0.020215i,0.0040096+0.0064037i,0.0068888+0.0014124i,0.0089007-0.00035229i,0.0080219-0.0023956i,0.0036979-0.0013676i,0.0001988+0.001459i,-0.001601+0.0037469i,-0.0021896+0.0041902i,-0.0025712+0.0022659i,-0.0027999-0.00018557i,-0.0025311-0.00057225i,-0.0027609+0.0003142i,-0.0023127+0.0011032i,-0.00035629+0.0019574i,0.00084411+0.0015433i,0.0013325+0.00034918i,0.0014587+0.00035812i,0.00054872+0.001179i,0.00018853+0.0012007i,0.0005493+0.00035094i
0.011807-0.0078331i,0.027826+0.012892i,0.021906+0.0079063i,0.0078871-0.0013028i,0.0024926-0.0045434i,0.0020538-0.0061322i,-0.00019095-0.0053401i,-0.0015378-0.0024917i,0.00027527-6.0964e-05i,0.0019375+0.0015097i,0.0019374+0.0019443i,0.00063929+0.0012363i,-0.00066102+0.0015683i,-0.0010144+0.0024006i,-0.00058118+0.002108i,0.0010055+0.000938i,0.0021413-0.00053026i,0.0015729-0.0010747i,0.00026319-0.0014053i,0.00010873-0.0010035i,0.00048306-0.00017305i,-7.7346e-05+0.00054243i,-0.00062565+0.00061827i
-0.0086936-0.027278i,0.014632-0.032239i,0.0073055-0.026116i,-0.005246-0.012172i,-0.0090332-0.0053004i,-0.0089968-0.0040031i,-0.0084228-0.0010553i,-0.0051593+0.0011724i,-0.00050381+0.00089641i,0.0031852+0.0001582i,0.0052169-0.00031287i,0.0049808+0.00013141i,0.0033482+0.0020505i,0.0024678+0.002009i,0.0025769+0.00025004i,0.002711-0.0018498i,0.0010095-0.0034775i,-0.0010636-0.0026762i,-0.0019388-0.001362i,-0.0012297-0.00094953i,0.00010184-0.00023979i,0.00046658-8.3138e-05i,-0.00010716-9.2796e-05i
-0.030942-0.0027928i,-0.025167-0.026481i,-0.020539-0.018177i,-0.012116-0.002618i,-0.0086604+0.0025591i,-0.010338+0.004053i,-0.0074095+0.0054295i,-0.0025053+0.0031617i,-0.00060459-2.5686e-05i,-0.00045308-0.001878i,-0.00027849-0.0032822i,0.00053723-0.002641i,0.0016663-0.00031057i,0.0023732+0.00093522i,0.0021712+7.6906e-05i,0.00053657-0.0010446i,-0.0011095-0.0010736i,-0.00098862-0.0002425i,-0.00092745+0.00075965i,-0.00065382+0.00050905i,2.2875e-06+8.448e-05i,4.2394e-05-0.00096983i,0.00021305-0.0020757i
-0.016643+0.036493i,-0.034394+0.020533i,-0.024346+0.018817i,-0.0076145+0.01623i,-0.001958+0.013379i,-0.0004716+0.012203i,0.0026951+0.0087483i,0.0032241+0.0049356i,0.00061255+0.0020903i,-0.0031879-0.00016247i,-0.005918-0.00092046i,-0.0052573-0.00075748i,-0.0023914-0.0013059i,-0.00097518-0.0020049i,-0.0018125-0.001902i,-0.002413-0.00094571i,-0.0016818+0.0012618i,-0.00075365+0.0025092i,-0.00013331+0.0013546i,-0.0015012+0.00068406i,-0.0028633+0.00080278i,-0.0026659+0.00054779i,-0.0016521-0.00064806i
0.028667+0.034715i,0.0051585+0.042276i,0.0067496+0.031139i,0.010628+0.014594i,0.0092741+0.0076096i,0.0082468+0.0068548i,0.0070139+0.0038809i,0.0041064+0.0015547i,0.0018661+0.0020516i,-4.2411e-05+0.0028453i,-0.0013422+0.0029417i,-0.00025091+0.0013579i,0.00054759-0.00093739i,-0.00098745-0.0019047i,-0.0024172-0.0014461i,-0.0031964+0.0001344i,-0.0026627+0.00095792i,-0.00046795+0.00074851i,0.001217+0.00087032i,0.001356+0.0008663i,0.0010388+0.0010413i,-8.8977e-05+0.0012532i,-0.00087807+0.0017961i
0.047172-0.019238i,0.041719+0.0056302i,0.031338+0.0059561i,0.018607-0.0010162i,0.010994-0.0041276i,0.0069508-0.0056049i,0.0026228-0.005503i,0.00063043-0.002865i,0.00092745+0.00073807i,0.0017614+0.003893i,0.0030898+0.0054449i,0.0037501+0.0043658i,0.0017152+0.0020363i,-0.00061498-5.6491e-05i,-0.00065183+5.8047e-05i,0.00021635+0.00084122i,0.0017676+0.00033888i,0.0022194-0.00052773i,0.0017466-0.0016986i,0.0017073-0.0016911i,0.0014377-0.00097544i,0.0013788-0.00019944i,0.00091173+0.00084396i
0.0038645-0.060339i,0.022414-0.04248i,0.014659-0.030084i,0.002792-0.017369i,-0.00074556-0.0102i,-0.0018185-0.0093429i,-0.0033866-0.0068016i,-0.002577-0.0034754i,-0.00072351-0.0016426i,0.0016644-0.00069992i,0.0037141+0.00012875i,0.0029832+0.0012877i,0.00045941+0.0020387i,-0.0012232+0.0014197i,-0.00036151+0.0012094i,0.002057+0.00080019i,0.0024692-0.0011237i,0.00096523-0.0020986i,-0.00074509-0.0016578i,-0.0012354-0.00074485i,-0.00018302-0.00042585i,0.00042679-0.00085721i,-0.00031525-0.0010961i
-0.059885-0.030899i,-0.03391-0.039748i,-0.02583-0.026711i,-0.019036-0.009679i,-0.011858-0.0024983i,-0.0097566-0.00013811i,-0.0074358+0.0030649i,-0.0032722+0.0033403i,-0.00040704+0.00015669i,0.0014055-0.0032881i,0.0020107-0.00494i,0.0010173-0.004479i,0.00059093-0.0019223i,0.0010576+0.00031391i,0.0017259+0.00093961i,0.0021883+0.0009084i,0.00032814+3.4781e-05i,-0.0023438+0.00028686i,-0.0027748+0.00091652i,-0.0018817-4.0291e-05i,-0.0016369-0.00085908i,-0.0012611-0.0017864i,-2.3623e-05-0.0023371i
-0.058021+0.045029i,-0.054828+0.019302i,-0.03666+0.014421i,-0.016097+0.012887i,-0.0085733+0.0091516i,-0.0074395+0.0084033i,-0.0043169+0.0081723i,-0.0018238+0.005574i,-0.0013325+0.0023703i,-0.0013177-0.00033839i,-0.002254-0.0027276i,-0.0024784-0.0035608i,-0.00067297-0.0027867i,0.00099085-0.0016185i,0.00093867-0.0019256i,-0.00098631-0.002206i,-0.0020857-0.0011762i,-0.0011352-0.00040298i,0.00026562+0.00060507i,-0.00040741+0.0011058i,-0.0013495+0.00039065i,-0.00098791-0.00062257i,-0.00043267-0.0012128i
0.019224+0.07966i,-0.0019056+0.063107i,-0.00013257+0.046112i,0.0049223+0.027671i,0.0037027+0.015604i,0.0029975+0.009085i,0.0037633+0.003399i,0.0025818+0.0014424i,-0.00022147+0.002522i,-0.0033142+0.0042907i,-0.0052145+0.006042i,-0.0043367+0.0058694i,-0.0020622+0.0035038i,-0.00090513+0.0013838i,-0.00056024+0.00011119i,-0.00050049-0.00073301i,-0.00054548-0.0005897i,0.00026487+0.00036604i,0.0013995+0.0016391i,0.0013913+0.0024226i,0.00085545+0.0017973i,-0.00075331+0.0011907i,-0.0016295+0.0013829i
0.085828+0.019626i,0.058871+0.028862i,0.041233+0.019208i,0.025202+0.0071132i,0.015315+0.0020448i,0.011555-0.00045133i,0.0075968-0.0016084i,0.004096-0.00052543i,0.0028034+0.00088936i,0.0018461+0.0023999i,0.00041065+0.0043941i,0.00057213+0.0049921i,0.00019536+0.0028806i,-0.0016212+0.0011839i,-0.0011097+0.001041i,0.00073483+0.0012703i,0.0020001+0.0010723i,0.0023138+0.00067656i,0.0014931+0.00023559i,0.00061948+0.00012907i,1.941e-05+0.00058155i,0.00032998+0.0012194i,0.00069717+0.0016428i
0.054188-0.079982i,0.047296-0.051342i,0.030529-0.037908i,0.015258-0.02468i,0.008591-0.012334i,0.0051844-0.0064487i,0.00099362-0.0029151i,0.00046366-0.00048921i,0.002715-8.5254e-05i,0.0046746+0.00025599i,0.0065341-0.00020157i,0.0054394-0.0014085i,0.0016739-0.001512i,-0.00011121-0.001273i,-0.00063584-0.00072063i,-0.00076681+0.00097069i,0.00022733+0.0010949i,-6.9692e-05-0.0013315i,-0.00043447-0.0026798i,6.0373e-05-0.002565i,0.0010364-0.002262i,0.0019781-0.00084136i,0.0026523-0.00059534i
-0.053762-0.088173i,-0.031311-0.064294i,-0.025879-0.039376i,-0.017912-0.019135i,-0.0083114-0.0080971i,-0.0070343-0.0042311i,-0.0074907-0.00080919i,-0.0049442+0.00052573i,-0.0020146+4.5405e-05i,0.0010488-0.00060981i,0.0040349-0.0019149i,0.0039843-0.0027161i,0.0021254-0.0015129i,0.00015372+0.0011039i,-0.00068027+0.002368i,-0.00045148+0.0012291i,-0.00041464-0.00049869i,-0.00072038-0.00073551i,-0.00072362-0.00054404i,-0.00020322-0.0013971i,0.0005635-0.0022119i,0.00095258-0.0022144i,6.6292e-06-0.0015671i
-0.10825+0.011669i,-0.076204-8.9239e-05i,-0.050911+0.0050062i,-0.029135+0.0094731i,-0.014876+0.0056842i,-0.0082346+0.0026527i,-0.0036855+0.002757i,-0.0023787+0.0011926i,-0.003109-0.0011033i,-0.0044025-0.0023579i,-0.0057675-0.0028825i,-0.0050975-0.0026561i,-0.0021812-0.0015161i,0.00026695-4.8458e-05i,0.0021019-0.00024748i,0.0018823-0.0015443i,-0.00097599-0.0012674i,-0.0021164+0.00047536i,-0.0010494+0.0015113i,-0.002044+0.0009781i,-0.0025201-0.000463i,-0.0010858-0.0021268i,-0.000757-0.0021194i
-0.04137+0.10776i,-0.035129+0.07225i,-0.018744+0.051559i,-0.0054168+0.033077i,-0.0012209+0.016585i,0.00031646+0.008667i,0.00274+0.004715i,0.0023349+0.0030465i,0.0008219+0.0026652i,-0.00095477+0.0012516i,-0.0036708+0.00041815i,-0.0046498+0.00025378i,-0.0033262+0.00014072i,-0.0014376-0.00097224i,-0.00078766-0.0029132i,-0.00079766-0.002985i,-0.0003885-0.0012301i,-0.00072273+7.8435e-05i,-0.0013437+0.00036204i,-0.0023939+0.00077984i,-0.0035456+0.0014611i,-0.0034706+0.0013266i,-0.0023227+0.0001121i
0.085081+0.085088i,0.056207+0.063103i,0.041368+0.039794i,0.027939+0.022061i,0.014438+0.012381i,0.0066842+0.0077812i,0.0026553+0.0042905i,0.00049063+0.0040271i,0.0014418+0.0052577i,0.0028817+0.005909i,0.0026747+0.0072988i,0.0023749+0.0072119i,0.001088+0.0047906i,-0.00041409+0.0018988i,-0.00086546+0.00063546i,-0.00044689+0.00073816i,0.00042407+0.00068571i,0.0016404+0.00031655i,0.0018315-2.3345e-05i,0.0020196-0.00023847i,0.0016193+2.5716e-05i,0.00047212+0.0014834i,-8.9044e-05+0.0029174i
0.12083-0.042372i,0.082295-0.029022i,0.05151-0.027002i,0.02944-0.020302i,0.014677-0.0098481i,0.0053518-0.0043543i,-0.0016281-0.0038105i,-0.002408-0.0030337i,2.674e-05-0.0010763i,0.0020646+0.00054587i,0.0041594+0.00061538i,0.0048964+3.3847e-05i,0.0032383+0.00012649i,0.00077425-2.441e-05i,-0.00093202-0.00060593i,-0.0010909-0.00044137i,0.00015353+7.5162e-05i,0.0016186-1.8559e-05i,0.0023527-5.1473e-05i,0.0029698-0.00036226i,0.003062-0.00040091i,0.0025053+0.00064874i,0.0024602+0.00074436i
0.0029622-0.1325i,-0.00168-0.087581i,-0.0097885-0.053995i,-0.0091234-0.029997i,-0.0041616-0.014507i,-0.0014513-0.0076182i,-0.00046494-0.0042951i,-5.9069e-05-0.0036804i,-0.00052116-0.0042269i,-0.00025977-0.0045727i,0.00087442-0.0053071i,0.0010518-0.0048626i,0.00019889-0.0032408i,-0.0012166-0.001756i,-0.0022103-0.00041986i,-0.0017532+0.0002599i,-0.0012418-0.00023569i,-0.002283-0.0011744i,-0.0025376-0.0010895i,-0.0012449+0.00036547i,-0.00030361+0.00055469i,0.00041926-0.00029264i,0.0005163-0.0012527i
-0.12181-0.06603i,-0.081291-0.038443i,-0.053802-0.013881i,-0.032794-0.0024279i,-0.01636-9.9307e-05i,-0.0065398+0.0020939i,-5.0422e-06+0.0052895i,0.0022089+0.00449i,0.0014053+0.0023711i,0.00011875+0.00018552i,-0.00089262-0.0021039i,-0.0010842-0.0022949i,-0.00073199-0.001173i,0.00038957-0.00040432i,0.0018614+5.0302e-05i,0.0022517-1.8667e-05i,0.0011072+0.00023501i,-0.0010415+0.00053367i,-0.002326-0.00013925i,-0.0028333-0.0013939i,-0.0032758-0.0022529i,-0.0021184-0.0016724i,-0.00060341-0.0007729i
-0.10851+0.087268i,-0.065542+0.060625i,-0.033171+0.042451i,-0.017836+0.02633i,-0.012466+0.012957i,-0.0082963+0.0075525i,-0.0038391+0.0055515i,-0.0024214+0.0048908i,-0.0026157+0.0047676i,-0.0034926+0.0042479i,-0.0044098+0.004917i,-0.0039657+0.0052113i,-0.0014853+0.0039628i,0.0015407+0.0019653i,0.0038989-0.00053213i,0.0038241-0.0020103i,0.0028096-0.00093189i,0.00253+0.0010369i,0.001606+0.0012518i,-0.00039863-9.2937e-05i,-0.0015687-0.0010747i,-0.0020362-0.0010488i,-0.0016082+0.00034934i
0.033612+0.14223i,0.029459+0.085767i,0.03018+0.044662i,0.021293+0.023164i,0.0073117+0.010695i,0.00087421+0.0035825i,-0.00022823-0.00048009i,0.00010566-0.0012132i,0.00097762-0.00046681i,0.0012567+0.0010857i,-0.00027628+0.0023251i,-0.0018684+0.0028849i,-0.0030641+0.0019878i,-0.0032495+0.0002601i,-0.0022535-1.0047e-05i,-0.0014933+0.00043365i,-0.0012465+0.0012863i,-0.00091439+0.0021399i,-0.00074174+0.0028744i,-0.00012599+0.0038696i,0.00094309+0.0036607i,0.00073073+0.0018888i,0.00026598+0.0010943i
0.14865+0.026703i,0.093782+0.0056726i,0.05443-0.009046i,0.032111-0.0078183i,0.017336-0.0014471i,0.0086109+0.00021424i,0.0045682-0.0011321i,0.0042084-0.0020966i,0.0044925-0.002759i,0.0043808-0.0027528i,0.0051154-0.0026623i,0.005271-0.0025166i,0.0037827-0.00074988i,0.0013364+0.00024817i,-0.00065096-0.00095938i,-0.0016474-0.0014636i,-0.0018475-0.0016214i,-0.00081333-0.0023192i,-0.00034115-0.0016802i,-8.4435e-05-0.00047583i,0.0013723+0.00090659i,0.002572+0.0018715i,0.0021569+0.00127i
0.092817-0.12424i,0.046388-0.079514i,0.011684-0.04767i,0.0012325-0.026792i,8.4841e-05-0.010567i,-0.0011959-0.0010267i,-0.0016034+0.0025746i,0.0001916+0.0024072i,0.00058986+0.0012291i,-0.00049417-0.00067033i,5.3748e-06-0.0018582i,0.0016194-0.0022243i,0.0023788-0.0020252i,0.0023685-0.0015759i,0.00067476-0.0013596i,-0.001658-0.00079777i,-0.0017386-0.0013894i,-0.000338-0.0026271i,0.00018845-0.0031146i,4.4659e-05-0.0038631i,0.00018784-0.00321i,-0.00018602-0.0017014i,0.00016516-0.0015685i
-0.080281-0.13889i,-0.058317-0.076666i,-0.039961-0.031158i,-0.02483-0.014031i,-0.012966-0.0082765i,-0.0072558-0.0031488i,-0.0056168+0.001643i,-0.0050346+0.0030756i,-0.0049913+0.0026574i,-0.0060543+0.0020808i,-0.0072824+0.0016844i,-0.0071006+0.0010121i,-0.0055031+0.000401i,-0.0038935+0.0018638i,-0.0019978+0.0041514i,0.00095862+0.0045539i,0.0015036+0.0030959i,-6.7213e-05+0.0017145i,-0.00026322+0.00068039i,0.00085265-0.0010133i,0.00058011-0.002242i,-0.00056945-0.001917i,-0.0012374-0.0009217i
-0.1622+0.012775i,-0.09401+0.019945i,-0.043045+0.020158i,-0.020596+0.013023i,-0.0092495+0.0045321i,-0.0027475-0.00067802i,-0.00084746-0.0016298i,-0.0017477-0.00050671i,-0.00061367+0.0015468i,0.0014497+0.0035718i,0.00077629+0.0045809i,-0.00089017+0.0037425i,-0.0011362+0.002408i,0.00030364+0.0028202i,0.002016+0.0027179i,0.0021282+0.0015051i,0.0004925+0.0012533i,-0.00085345+0.0025876i,-0.0018947+0.0029576i,-0.0031229+0.0017301i,-0.00292+0.00083108i,-0.0016556+0.0001197i,-0.0013549+0.00035521i
-0.052807+0.15816i,-0.016915+0.094174i,0.0044249+0.046119i,0.0041341+0.02545i,0.00013011+0.01404i,0.00052539+0.0065013i,0.0023765+0.0021895i,0.0043266+0.0013696i,0.0053086+0.0019706i,0.0066214+0.0020665i,0.00885+0.0021668i,0.0091312+0.0010769i,0.0072092-0.0008716i,0.0039347-0.0021035i,0.00048353-0.0037445i,-0.0011964-0.0049373i,-0.00071668-0.0039468i,-0.00044407-0.0029642i,-0.0012175-0.0012796i,-0.0011903+0.0015784i,-0.00059348+0.0034889i,0.00018005+0.002423i,0.0010732+0.00092123i
0.12079+0.11166i,0.073001+0.051298i,0.034899+0.013526i,0.016856+0.0077498i,0.0059354+0.0093474i,-0.00052781+0.0076516i,-0.0012555+0.0064232i,0.0010143+0.0048812i,0.0028261+0.00067088i,0.003761-0.0028594i,0.0039198-0.0032826i,0.003341-0.0017739i,0.0014483+0.0004012i,-0.00044+0.0018291i,-0.00027311+0.00061452i,0.00053387-0.0019067i,0.00066063-0.0025651i,0.00079443-0.0013475i,0.0014818-0.00078499i,0.0025131-0.00057719i,0.0015735-0.00047577i,0.000995-0.0001063i,0.0017164+0.00037887i
0.15766-0.067702i,0.079521-0.047065i,0.02629-0.026852i,0.011513-0.015879i,0.0059951-0.0093783i,-0.00075624-0.003654i,-0.002449-1.5168e-05i,-0.001226+7.5862e-05i,-0.0016696-0.00062644i,-0.0033096-0.0028193i,-0.0046756-0.0059087i,-0.0046587-0.005946i,-0.002723-0.0025894i,3.314e-05+0.00076414i,0.00028323+0.001723i,-0.0012894+0.0023336i,-0.0017419+0.0029542i,-0.001566+0.0020141i,0.00026854+0.0010733i,0.0024451+0.00073086i,0.0021588-0.00068048i,0.00067934-0.0021629i,0.00050889-0.0025919i
