-0.0031383+0.0009368i,-0.0019266+2.0515e-05i,-0.0040192-0.00077736i,-0.0041781-0.00031509i,-0.0026715+0.00060438i,-0.0018202+0.0010001i,-3.0971e-05+0.0014441i,0.0017356+0.0021071i,0.0020167+0.0013851i,0.001646+0.00010864i,0.00062027-0.0012769i,-0.0005654-0.0022931i,-0.0016446-0.0014291i,-0.0010258-0.00016414i,-0.00029656-0.00014273i,-0.00043255-3.6832e-06i,-0.00017292+0.0003151i,0.00024732+0.00059134i,0.00012247+0.00043501i,-0.00048678+0.00095421i,-0.00049712+0.0016165i,-0.00062038+0.00065523i,-0.00016255-0.00059549i
-0.0019141+0.0056742i,-0.0025981+0.0063443i,-0.00071637+0.0054435i,0.00046233+0.0038735i,-0.00038688+0.0021933i,-0.0016453+0.0010105i,-0.001888+8.9727e-05i,-0.00039019-0.00046233i,0.0012823-0.0016087i,0.0025795-0.0037073i,0.0019972-0.0047628i,0.00024999-0.0038529i,-0.0010503-0.0027761i,-0.0012359-0.0027678i,-0.0012686-0.0025726i,-0.0014162-0.00214i,-0.0013082-0.0016025i,-0.00083179-0.00084893i,-0.00056558+0.00022291i,-0.001251+0.00034445i,-0.0010135-0.0006563i,-0.00034034-0.00074506i,-0.00048462-0.00085556i
-0.0027685-0.0030011i,-0.0042664-0.0034186i,-0.0052598-0.0034479i,-0.0044925-0.0020012i,-0.003403-0.00069653i,-0.0010843-0.00043232i,0.00096963-0.00050757i,0.00058753-0.00036222i,-0.00013532-0.00073841i,0.00010272-0.0016818i,0.00042743-0.0016564i,0.0016338-0.00056724i,0.0032896+0.00074603i,0.0035581-0.00052113i,0.0028449-0.0017092i,0.0019003-0.0010433i,0.00048061-0.00070002i,-0.00048053+4.0356e-05i,-0.00026986+0.00026081i,0.00054692-0.00051874i,0.00065337-0.00036879i,0.00041068-9.6272e-05i,0.0010028-0.00010593i
0.0034135+0.0017882i,0.0026947+0.0012857i,0.0024469-6.3722e-05i,0.002107-0.00043359i,0.00025383-4.8195e-05i,-0.00010267+0.0011086i,0.0012969+0.002098i,0.0018782+0.001879i,0.00089485+0.0013093i,-0.00064252+0.0013925i,-0.00079566+0.00075523i,-0.00060771+0.00042934i,-0.00021448+0.0011754i,0.00081634+0.0019709i,0.00057092+0.0024624i,-0.00026517+0.0017006i,-0.00057959+0.00037083i,-0.00022364+0.00055181i,0.00024373+0.0016185i,0.0003071+0.0019453i,0.00039618+0.0011032i,0.00042092+0.00014413i,-3.772e-05-0.00011109i
-0.0043866+0.0052881i,-0.0034369+0.0051747i,-0.0022752+0.0058903i,-0.0012104+0.0054904i,-0.00037952+0.0047739i,-0.00067259+0.0044025i,-0.0013212+0.0037247i,-1.8013e-05+0.0034602i,0.0010466+0.0033051i,0.0011137+0.0025999i,0.0009322+0.0013197i,-0.00058873-0.0011634i,-0.0025042-0.0011981i,-0.003365+0.00079007i,-0.0022292+0.0016277i,-0.0010682+0.0011252i,-0.0010394+0.00047059i,-0.0012774-2.2353e-05i,-0.0014395+0.00013541i,-0.0012068+0.00080005i,-0.00083552+0.00095003i,-0.00031318+0.00057964i,1.568e-05+0.00089125i
-0.0012331-0.0028815i,-0.0023734-0.0041135i,-0.002683-0.0038756i,-0.0016686-0.001667i,-0.0013865+0.00057669i,-0.0016999+0.0012211i,-0.0013386+0.00093445i,-0.00084411+0.00050397i,9.2021e-05+0.0012257i,0.00098179+0.0014197i,0.00062689-0.00053364i,-0.00085824-0.0028027i,-0.0017709-0.0040679i,-0.0015302-0.004038i,-0.0014278-0.0028543i,-0.0013758-0.001521i,-0.00071761-0.00035338i,6.8489e-05+0.00026416i,-9.128e-05-9.8356e-05i,-0.0008347+0.00048534i,-0.0013213+0.001114i,-0.001184+0.0003854i,-0.00063829-0.00051781i
0.00050342+0.0023088i,0.002164+0.0023889i,0.00097737+0.0013961i,-0.0012797+0.00028502i,-0.002328-4.5524e-05i,-0.0018533-0.00089975i,-1.5571e-05-0.0019131i,0.00099446-0.0016686i,0.0011318-0.00096501i,0.0024565-0.001061i,0.0033522-0.0022445i,0.0025897-0.0029471i,0.0025616-0.0020376i,0.003552-0.0016127i,0.0024973-0.0021434i,0.00074724-0.0014091i,0.00010513+0.00024626i,-0.00036837+0.00055131i,-0.00060984+0.00089364i,-0.00081516+0.0010493i,-0.00057224+0.00056138i,0.00019283-0.000102i,0.00058101+1.3188e-06i
0.00014697-0.00033442i,-0.0012428-9.4446e-06i,-0.00070167-0.000192i,-0.00046116+0.00019956i,-0.00064941+0.0014121i,0.00069413+0.0028307i,0.0023183+0.0028389i,0.0027343+0.00080778i,0.0024805-0.001666i,0.0021479-0.0026237i,0.001146-0.0018457i,-0.00083387-0.00040654i,-0.0017098+0.0015796i,0.00013057+0.0023202i,0.0015268+0.0013439i,0.0015699+0.00049983i,0.00049191+0.00023092i,-0.0013855-6.4395e-05i,-0.0014528+5.1794e-05i,-0.000688+0.00073475i,0.00023337+0.00079563i,0.001192-0.0001552i,0.0012386+0.00017871i
0.0029898-0.0015498i,0.0014368-0.0017705i,0.0017579-0.002398i,0.00032548-0.0017733i,-0.0024224-0.00087873i,-0.0032208+0.00067876i,-0.0024801+0.0022399i,-0.00096805+0.0013792i,0.00081181-0.00069311i,0.00027304-0.002014i,-0.0012984-0.0022373i,-0.0020075-0.0011255i,-0.0026803-0.00071766i,-0.0031245-0.00050087i,-0.0023689+0.00048375i,-0.00084642+0.00094295i,8.4106e-05+0.00076447i,0.0002562+0.0005986i,0.00057403+0.00036748i,0.00099506+0.00047115i,0.00030506+0.00093267i,-0.00054761+0.00056534i,-6.0049e-05-0.00036953i
-0.00071125-0.00025313i,-0.0012061+0.0005852i,-0.0010133-9.4117e-05i,-0.001181-0.001535i,-0.0017957-0.0020669i,-0.0030297-0.001869i,-0.0023708-0.001069i,-0.00060956-0.00095421i,-0.0002038+5.3651e-05i,-0.0013634+0.0010631i,-0.0013517-0.00048828i,-0.00076836-0.002586i,-0.00064958-0.0041706i,-0.0011458-0.0046922i,-0.0027552-0.003333i,-0.0028161-0.0016488i,-0.00093116-0.0005265i,0.00010144+0.00030043i,0.00049309+0.00080098i,-0.00022396+0.0014745i,-0.00089901+0.0012077i,-0.00011835+0.00069025i,0.00060955+0.00024696i
-0.00015282-0.0022047i,0.00054989-0.0015837i,0.00013173-0.00025816i,-0.0015387+0.00086832i,-0.0025331+0.0014204i,-0.0018167+0.0016458i,0.00037453+0.001366i,-3.2573e-05+0.00086244i,-0.0014867+0.0010163i,-0.00032633+0.0015206i,0.00080646+0.00057568i,0.00088331-0.001351i,0.0016806-0.0019631i,0.0025023-0.0014375i,0.0016555-0.0022835i,9.4345e-05-0.0028333i,-0.00042573-0.0017453i,-0.00023591-0.00059637i,-0.00047986+9.1912e-05i,-0.0016831+0.00061408i,-0.0020143+3.5319e-05i,-0.0015724-0.00020046i,-0.00095103+0.00036753i
0.00088157+9.3385e-06i,0.0018801-9.0484e-05i,0.00093267+2.2877e-05i,0.00067121-0.00022073i,0.0018161+0.0013905i,0.0024572+0.0034771i,0.0027859+0.0036919i,0.0019932+0.0026074i,0.0018215+0.00080159i,0.0030063-0.00011484i,0.0029078-0.00071835i,0.00070158-0.00091599i,-0.0011192+0.00059403i,0.00024173+0.0024567i,0.002451+0.002604i,0.0016354+0.00091147i,-0.0007735-0.00027461i,-0.0015013-0.0001567i,-0.0012639-6.0316e-05i,-0.00087744+0.00038688i,-0.00028738+0.00025024i,-0.00075514-0.00012164i,-0.00068448+0.00028296i
-0.0026366+0.0020305i,-0.0024087+0.0014152i,-0.0013977+0.0020159i,-0.0012087+0.001185i,-0.0027311+0.0014442i,-0.004607+0.0021499i,-0.0042316+0.0017045i,-0.0014132+0.0010057i,0.0010983+0.00084476i,0.0025536+0.00084019i,0.0028429-0.00053604i,0.00037121-0.0014595i,-0.0029205-0.00090635i,-0.003468+0.00023672i,-0.0021479+0.0013497i,-0.0012501+0.0018039i,-0.00035983+0.0012076i,-0.00019759+0.00043267i,-0.00079942+0.00033032i,-0.00049056+0.00084619i,0.00042786+0.0013072i,0.00039947+0.001552i,-7.1025e-05+0.0014747i
0.0019176+0.00050185i,0.0032038+0.00085857i,0.0024819+0.0017103i,0.00039554+0.00024073i,-0.0013987-0.0009683i,-0.001937-0.0010983i,-0.0011141-0.00084239i,-0.00084001-0.00048546i,-0.00012737-0.00022946i,0.0012946-0.00086419i,0.00088245-0.0020036i,-0.00010907-0.0019221i,-0.00030834-0.0021676i,-0.001675-0.0039181i,-0.0023775-0.0039996i,-0.001898-0.0010937i,-0.0010767+0.0015931i,-0.00032101+0.0022269i,0.0002008+0.0017147i,0.00027429+0.001621i,-0.00050985+0.0015021i,-0.00094091+0.000748i,-0.00056831-8.0277e-06i
-7.9561e-05+0.0024371i,-0.00032245+0.0025535i,-0.00076935+0.0020882i,-0.00030344+0.0017842i,0.00093741+0.0012345i,0.0032565+0.00022709i,0.0051408-0.00031844i,0.0038901-0.00026609i,0.00063738-0.0006126i,-0.0012183-0.0023704i,-0.00048155-0.0039736i,0.0002511-0.0023995i,0.001017-0.0010657i,0.0030418-0.0021072i,0.0029163-0.0029128i,0.00092999-0.0027556i,-9.2861e-05-0.0016838i,-0.00043547+8.124e-05i,-0.00084074+0.0012878i,-0.0012653+0.000777i,-0.00073035-0.00025748i,-0.00051364-0.00078612i,-0.00067296-0.00065261i
0.00014882-0.0026376i,0.00052446-0.0030546i,0.0006908-0.0026108i,7.2034e-05-0.0013422i,-0.00062132+0.00036231i,-0.0015015+0.0035177i,-0.00096987+0.0052865i,-0.00016016+0.0031541i,0.00048083-0.00066064i,0.00085847-0.0027709i,0.00017821-0.0028272i,-0.00045742-0.0022876i,-0.00072572-0.0008091i,-0.0003933+0.0013091i,0.00066794+0.0021391i,0.0016883+0.00069842i,0.0015413-0.00030328i,0.00077153-0.00016943i,-0.00010674+6.5706e-06i,-0.00061352-0.00010685i,-0.00015553-0.00035031i,0.00020092-0.00038005i,0.00017462-0.0002574i
0.0020566-0.0011391i,0.0027824+0.00060406i,0.0014598+0.00040726i,-0.00057473+0.00079959i,-0.0026607+0.0016908i,-0.0048663+0.0021315i,-0.0050961+0.002208i,-0.0023736+0.00082553i,0.00095791+0.00018003i,0.0024213+0.00062947i,0.002094+1.2244e-05i,0.0010363-0.0015552i,-0.0012741-0.0026855i,-0.0039566-0.0020057i,-0.0034737+0.00016372i,-0.00088313+0.001295i,-0.00036821+0.00044438i,-0.00050929-0.00068465i,7.2354e-05-0.00015293i,-0.00027602+0.00064179i,-0.00049841+8.1701e-05i,0.00028939-0.00075821i,0.00088087-0.00075535i
-0.00082432+0.0031753i,-0.00057862+0.0029804i,1.8118e-05+0.0026782i,-0.00036412+0.0013906i,-0.0019547-0.0016409i,-0.0019267-0.0039863i,-0.00018528-0.0041715i,0.00049007-0.0024119i,0.0010534+0.00060807i,0.0010482+0.0018779i,-9.8138e-05+0.00068747i,-0.0010091-0.0013817i,-0.0016566-0.0028016i,-0.001617-0.0032211i,-0.0016663-0.0031186i,-0.0021246-0.0013828i,-0.0020343+0.00021521i,-0.0017547+0.00038727i,-0.0020101+0.00071325i,-0.0019407+0.0016963i,-0.0010675+0.0015533i,-0.00028649+0.00030171i,0.00040643-0.00064628i
-0.0029297-0.0043913i,-0.0022534-0.0047094i,-0.0016665-0.0029513i,-0.0016512-0.00060946i,-0.00081901+0.0011106i,0.0016745+0.0017534i,0.0040468+0.0016801i,0.0031631+0.0016548i,-0.00015706+0.0012561i,-0.0018583+0.00052636i,-0.00098948-0.00024419i,-0.0011396-0.00011852i,-0.0011121+0.0013447i,0.0011501+0.0021044i,0.0023362+0.0010229i,0.001647-0.00062314i,0.00094445-7.034e-05i,8.9833e-05+0.0015284i,-0.00087994+0.0018644i,-0.00079859+0.0013908i,-0.00027501+0.00080078i,0.00021418+0.0008873i,0.00039595+0.0011276i
0.0032463+0.0019784i,0.0036225+0.0027207i,0.0031247+0.0019417i,0.0017296+0.0011049i,-0.00014028+0.0026882i,-0.0014063+0.0055622i,-0.0015197+0.0068533i,-0.0013132+0.0048721i,-0.00037835+0.0016033i,0.00075433-0.00071148i,0.00127-0.0018364i,0.00060194-0.001022i,-0.00036091+0.0010643i,0.00060512+0.0025925i,0.0017739+0.0028435i,0.0024087+0.0020357i,0.0018833+0.0012188i,0.000397+0.00081847i,0.00051376+0.00073141i,0.00016953+0.00037989i,-0.0013469-0.00029757i,-0.0011281-0.00082058i,-0.00038718-0.00059379i
-0.0025992+0.0026468i,-0.0025736+0.0026789i,-0.0026662+0.0030184i,-0.0026447+0.0025053i,-0.0046283+0.001575i,-0.0075033+0.00049438i,-0.0072502-0.00014331i,-0.0036372-0.00085894i,0.00074409-0.001239i,0.0031914-0.0012378i,0.0036768-0.0013561i,0.0027091-0.0013773i,0.0012213-0.001535i,-0.0012631-0.0012887i,-0.0027493+0.00035313i,-0.0015451+0.0017783i,-0.00046311+0.0016783i,-0.00068714+0.00098404i,-0.00086584+0.00088307i,-0.00047868+0.00071141i,-0.00049987-0.000178i,-0.00057024-0.00055726i,-0.00048614-0.00085183i
0.0014424-0.0024278i,0.0011735-0.0022678i,-0.00018509-0.0018769i,-0.0016845-0.0010014i,-0.0027045-0.0017701i,-0.0023913-0.0036817i,0.0001604-0.0052967i,0.0022563-0.0044037i,0.0034822-0.0016163i,0.0032069-0.00045213i,0.0016278-0.00070291i,0.0014195-0.001386i,0.0018509-0.0028447i,0.0014256-0.0034937i,5.7949e-05-0.0028393i,-0.0012782-0.0023692i,-0.0011517-0.0010586i,-0.00089251-0.00020306i,-0.00096375-0.00044804i,-0.00035424+0.00024758i,0.00039366+0.0010358i,0.00063804+0.001064i,0.00064236+0.00029931i
0.003227+0.00075972i,0.0029481+0.0011281i,0.0015927-0.00025892i,0.00094837-0.0012416i,0.0018789-0.00049634i,0.0046783+0.0014532i,0.007183+0.0027722i,0.0063747+0.0021509i,0.0027706+0.00082928i,-0.00032082-0.00020378i,-0.0010559-0.0022589i,-0.0011869-0.0043763i,-0.00093205-0.003586i,-0.00042478-0.0018316i,0.00062559-0.0021118i,0.00060393-0.0026223i,-0.00099353-0.001592i,-0.0015644-0.00040179i,-0.001675+0.00038697i,-0.0017761+0.0010263i,-0.00066153+0.00076043i,-8.3855e-05+0.00043369i,-0.00018168+0.00078007i
-0.0047901-0.0013658i,-0.0046514-0.00083793i,-0.0040081-0.00028116i,-0.002744+0.00091857i,-0.002287+0.0038681i,-0.0020341+0.0074711i,-0.001416+0.0088421i,-0.0016198+0.0071344i,-0.0025595+0.0019328i,-0.0024762-0.00345i,-0.0015669-0.0048148i,-0.0021591-0.004149i,-0.0032759-0.0026089i,-0.0029962+0.00093697i,-0.0014395+0.0026097i,-0.00014714+0.0011393i,2.0535e-05-0.00010615i,-0.00068866+0.00013046i,-0.0014215+0.0014793i,-0.0014626+0.0019882i,-0.0013544+0.0012412i,-0.0014661+0.00072529i,-0.00086872+0.00012483i
0.0061333-0.002549i,0.0055-0.0026776i,0.0035796-0.0013465i,-0.00016484-0.00023569i,-0.0056728+0.00046047i,-0.0099244+0.00023746i,-0.010032-0.00093843i,-0.0072929-0.0021591i,-0.0040626-0.0026986i,-0.00079748-0.001823i,0.0003435-0.00065792i,5.9449e-05+2.6779e-05i,-0.00064469-0.00018717i,-0.0017721-0.00079936i,-0.0027615+0.00014507i,-0.0022389+0.0016816i,-0.00052336+0.0016525i,0.00044417+0.00080649i,-8.6635e-05+0.00027215i,-0.0007923+0.00029664i,-0.00054521-0.0002022i,-7.4421e-05-0.0010577i,4.5304e-05-0.0012099i
-0.0020366+0.0033316i,-0.0010627+0.0045868i,-0.0012984+0.0025164i,-0.0025314-0.00056234i,-0.0015638-0.0020498i,0.0011818-0.0047066i,0.0027918-0.0075618i,0.0035806-0.0073869i,0.0032532-0.0026276i,0.0018307+0.0020492i,0.00073376+0.0028087i,0.00029577+0.0023726i,0.00041974+0.0023473i,0.0016777+0.0015339i,0.001574+0.00013283i,-0.00047883-0.00034622i,-0.0009463-5.9594e-05i,0.00010573-0.00049654i,0.00047149-0.0011729i,6.7696e-05-0.00041802i,0.00025228+0.0009505i,0.0005421+0.00076434i,0.00070549+0.00042672i
-0.0011337-0.0002614i,-0.002009-0.00027488i,-0.0018535+0.00096265i,0.00015676+0.0011898i,0.0027667+0.00026873i,0.0056767+0.00095417i,0.0089274+0.0029669i,0.0089833+0.0042218i,0.0055343+0.0044734i,0.002776+0.0036134i,0.002524+0.0017589i,0.0027287+0.00047435i,0.0032473+0.00084023i,0.003647+0.00022108i,0.0029766-0.0015815i,0.00144-0.0025946i,0.00048136-0.0016864i,0.00026112-0.00072269i,0.00019793+2.7571e-05i,0.00018678+0.00095011i,-0.00045592+0.00087701i,-0.00057601+0.00098306i,-0.0008247+0.0014618i
0.0034659-0.00012529i,0.0039343-0.0011504i,0.0032732-0.001911i,0.00094808-0.0015194i,-0.001112+0.0026827i,-0.0032412+0.0081317i,-0.004816+0.01095i,-0.003836+0.0099224i,-0.0006546+0.0056788i,0.0016265+0.001601i,0.0022361-0.0019043i,0.0021258-0.0042662i,0.00080119-0.0051981i,-0.00031073-0.0045926i,-0.00010047-0.0028203i,0.00052842-0.0014006i,0.00043377-0.000977i,-0.00025599-0.0007821i,-0.00086704-0.00053254i,-0.00077229-0.00029725i,-0.00096524-0.00040913i,-0.00085421-0.0008057i,-0.00051143-0.00038358i
-0.0026182+0.0029726i,-0.0028291+0.0046337i,-0.0020529+0.0038977i,-0.0025082+0.0027021i,-0.0052615+0.0025221i,-0.0092371+0.0015541i,-0.011118-0.0017474i,-0.0084187-0.00425i,-0.003543-0.0048827i,0.0014452-0.0054638i,0.003267-0.0063777i,0.0018346-0.0061389i,0.00012783-0.0043623i,-0.0015601-0.0026601i,-0.0022915-0.0014003i,-0.0020368+0.00016441i,-0.0017848+0.00046422i,-0.0023844+0.00078652i,-0.0023314+0.0014006i,-0.0019738+0.0015502i,-0.0021912+0.0011818i,-0.0013381+0.00055493i,0.00067144+0.00027703i
7.5596e-05-0.0023418i,-0.0009438-0.0021592i,-0.0018393-0.0011143i,-0.0020529-0.0023943i,-0.0014659-0.005321i,-0.00031677-0.0086126i,0.0029476-0.010133i,0.0047839-0.0093574i,0.0037349-0.007161i,0.0025129-0.0048361i,0.00097433-0.00373i,-0.0015778-0.0029665i,-0.0028545-0.0013438i,-0.002905-0.00026008i,-0.0034203-0.00050318i,-0.0041147-0.00045215i,-0.0034637+0.00046042i,-0.0019293+0.00087079i,-0.00083568+0.0004217i,-0.00059996+0.00047384i,0.00034213+0.0011425i,0.00089936+0.0016637i,0.00081977+0.0015253i
0.00025867+0.0027941i,0.00032303+0.0018917i,-7.6299e-05+0.0018397i,0.00052553+0.00098248i,0.0030641+0.0013244i,0.0068256+0.0035251i,0.0096398+0.0053373i,0.0097614+0.0040319i,0.0062906+0.0016692i,0.0012539+0.0014624i,-0.0011171+0.00075492i,-0.0020767-0.00068433i,-0.0026985+9.5912e-05i,-0.0016806+0.0018261i,-0.00046684+0.0015518i,-0.00028873+0.00010857i,0.00013001-0.0002279i,0.001256+6.6895e-05i,0.001463+0.00032232i,0.00077615+2.2598e-05i,0.0010314-7.309e-05i,0.00034425-0.0005305i,-0.00079405-0.0010087i
0.0010147+0.0010216i,0.00068355+0.00019315i,0.0010365-0.00036098i,0.00080258+0.00086141i,-0.00037924+0.0050033i,-0.0021756+0.0096046i,-0.0044138+0.012281i,-0.0051687+0.012238i,-0.0033287+0.0088919i,-0.0019177+0.005771i,-0.0016852+0.0037942i,-0.00064678+0.0024051i,0.00048886+0.0020738i,0.0015063+0.0022335i,0.0023507+0.0016643i,0.00265+0.001072i,0.0029155+0.0014871i,0.002537+0.0021027i,0.0011874+0.0016852i,-0.0010531+0.001501i,-0.0018341+0.0012911i,-0.0013286+0.00021157i,-0.001317-0.0011662i
0.00077488-0.0011898i,0.0014629-0.00040858i,-0.00032931+0.00084718i,-0.0034906+0.00085252i,-0.0073963-0.00025758i,-0.011149-0.0026839i,-0.011958-0.0046582i,-0.0094625-0.0035391i,-0.0048948-0.00063084i,-0.0011255+0.00097565i,0.00086282+0.00084867i,0.0019903+0.00025564i,0.0024184-6.5145e-05i,0.0025222-0.00021783i,0.0016358+6.2323e-05i,0.00027942+0.00032438i,-6.8964e-05+0.0003655i,-0.00074537+0.00087762i,-0.0011761+0.00064739i,-0.0011616+0.00012435i,-0.00020403+0.00085056i,0.00098835+0.0012867i,0.00056437+0.00033988i
-0.00038819+0.0010351i,-0.0004484+0.00069715i,-0.00043797+0.0013485i,-0.0011106-6.0397e-05i,-0.00086488-0.0038853i,0.0017671-0.0077509i,0.0047782-0.010157i,0.0053554-0.0099772i,0.0048109-0.0069475i,0.0057932-0.0036734i,0.0054679-0.0030443i,0.0032927-0.0033715i,0.0023664-0.0028903i,0.0012034-0.0028055i,-0.00025049-0.0034684i,-0.0014034-0.0025532i,-0.0019276-0.0019266i,-0.0021306-0.0024125i,-0.0024066-0.0020358i,-0.0016681-0.00086408i,-0.0012807-0.00012887i,-0.0015578+0.00096409i,-0.0011096+0.001668i
-0.003619+0.00072262i,-0.003941-7.3527e-05i,-0.003135-0.00053769i,-0.00027947-0.00020639i,0.0042213+0.0014924i,0.0084112+0.0056195i,0.011545+0.0081224i,0.012743+0.0057472i,0.01113+0.0021491i,0.009115+5.6716e-05i,0.0070384-0.0027959i,0.0032475-0.0050514i,2.8445e-06-0.0048494i,-0.00098447-0.0036811i,-0.0013982-0.0021158i,-0.0019437-0.0007645i,-0.0022168-0.00095865i,-0.0013501-0.00058732i,-0.00035724+0.0005808i,0.00042032+0.0011933i,0.00033752+0.00086736i,-0.00077094-0.00011385i,-0.00092813-0.00027322i
0.0006612-0.00076931i,0.001268-0.0010212i,0.00067193-0.0014271i,-0.0019026+0.00062225i,-0.0049553+0.0042908i,-0.0069731+0.0091792i,-0.0073899+0.012536i,-0.0041624+0.012023i,-0.00053278+0.0079029i,0.00015773+0.0020782i,-0.00069883-0.0016483i,-0.0014097-0.0020748i,-0.0018975-0.0019468i,-0.0014536-0.00095178i,-0.00049898+0.0001092i,-0.00035305-7.876e-05i,-0.00085983+9.8239e-05i,-0.00065768+0.0018511i,0.00039818+0.0026387i,0.0011597+0.0013083i,0.0015489+0.00031365i,0.0021096-0.0010817i,0.0020305-0.0018882i
-0.00028295+0.00012222i,-0.00068054+0.0012651i,-0.0015705+0.0021215i,-0.0024641+0.0021471i,-0.0056923+0.00072225i,-0.0094827-0.0028869i,-0.010375-0.005764i,-0.0094604-0.0052518i,-0.0083757-0.0030854i,-0.0071862-0.0022212i,-0.0060754-0.0023258i,-0.0046039-0.0016142i,-0.0031797+3.9244e-05i,-0.0021738+0.001213i,-0.00071385+0.0022469i,0.00012927+0.0021504i,2.3854e-05+0.00089084i,-0.00057556+0.00049063i,-0.0018413+0.00044509i,-0.0026137+0.00074928i,-0.00064466+0.0016074i,0.001444+0.002188i,0.0015643+0.0016739i
0.0041893-0.0023383i,0.0044416-0.0019986i,0.0046534-0.0037236i,0.0023183-0.0060204i,0.0019246-0.0076192i,0.0043751-0.0087468i,0.0061658-0.0095149i,0.0041724-0.0092142i,0.0010387-0.0071579i,-0.0011342-0.0043175i,-0.0024322-0.0028923i,-0.0022476-0.0016033i,-0.0012068-0.00024954i,-0.00023797+0.00042504i,0.00020796-0.00015765i,0.00011287-0.00031005i,-0.00027775+0.00085608i,-0.0001024+0.00011397i,-0.0004953-0.0016555i,-0.00080741-0.0017695i,-0.0013631-0.00034355i,-0.0011817+0.00097915i,-0.00011269+0.00094148i
0.00012475-0.00061299i,0.001091-0.0011483i,0.0011301-0.0015673i,0.0003632-0.0015315i,0.00093608+0.0018821i,0.0039958+0.0064701i,0.0080075+0.00847i,0.0086706+0.0053628i,0.0072421+0.0023142i,0.0066032+0.002967i,0.0051669+0.0029372i,0.0034583+0.00015473i,0.002437-0.0014027i,0.0022821-0.0013415i,0.0019869-0.0015338i,0.00094827-0.0014788i,0.00063689-0.001353i,0.00084783-0.0013527i,0.00066828-0.0014847i,0.00033314-0.0012966i,-3.9303e-05-0.0013698i,-0.0017764-0.0017409i,-0.0022162-0.0014732i
-0.0014761-0.00037154i,-0.0002122+0.00011024i,0.00068172+0.00046532i,-0.0011972+0.0021515i,-0.0048+0.0049029i,-0.0085318+0.0072712i,-0.0087451+0.0094819i,-0.0038752+0.009931i,0.0010174+0.0086175i,0.0032389+0.0062822i,0.0037071+0.0033125i,0.003221+0.00053696i,0.0023658-0.0015862i,0.0019422-0.0026333i,0.0010588-0.0017943i,0.00015941-0.001036i,-0.0010168-0.00095003i,-0.0016857+0.00056701i,-0.0010166+0.0015732i,-0.00054215+0.0019086i,0.00052009+0.0016911i,0.0018548+0.00020457i,0.0019005-0.0013042i
-0.0013206-0.00062603i,-0.0015967-0.00010954i,-0.0020779+0.00069948i,-0.0034763+0.00028432i,-0.0057077-0.001969i,-0.0073857-0.0055028i,-0.0084925-0.0065635i,-0.0088202-0.0031755i,-0.0065732+0.00076609i,-0.0027678+0.00077947i,-0.00096826-0.0014802i,-0.0019512-0.0020929i,-0.0025633-0.0014723i,-0.0016222-0.0011498i,-0.0011888-0.00079672i,-0.001321-0.00019344i,-0.001751-0.00012735i,-0.0028832-0.00011158i,-0.0030982+0.00086761i,-0.0018459+0.0024053i,-0.0004549+0.0037553i,0.0011114+0.0041803i,0.0018311+0.0027057i
-0.0012472+0.002333i,-0.0012704+0.0021901i,-0.002137+0.0026487i,-0.0014507+0.001001i,0.0026767-0.0014038i,0.0074189-0.0032689i,0.008655-0.0051761i,0.0055096-0.007343i,0.00048321-0.0080442i,-0.0012301-0.0077649i,-0.00042999-0.0079865i,-0.0021149-0.0066183i,-0.0036345-0.003797i,-0.0029616-0.001695i,-0.0016537-0.00037551i,-0.00080607+0.00067152i,-0.00047151+0.00085955i,-0.00069595+0.0003949i,-0.0013654-0.00046518i,-0.001804-0.0016901i,-0.0018036-0.0014507i,-0.0016252-5.776e-05i,-0.0013941+0.00038466i
-0.0016821-0.0013159i,-0.0010727-0.0016384i,-0.00059572-0.0024826i,-0.00021892-0.0010225i,0.00047424+0.0035061i,0.0011334+0.0088217i,0.0036292+0.0099855i,0.0057259+0.0050116i,0.0053717-0.00078262i,0.003139-0.0033588i,0.00092282-0.003609i,-0.00081948-0.0031765i,-0.0022055-0.0016836i,-0.0020914-9.9952e-05i,-0.00017675+0.00025505i,0.0010455+0.0005638i,0.0012004+0.0017595i,0.0014474+0.0023694i,0.0012922+0.0013941i,0.00066172+0.00020106i,0.00018605-0.0012789i,-0.00052239-0.0023815i,-0.0013763-0.0020775i
0.00375-0.00095046i,0.0040982-0.00069289i,0.0047455+1.0985e-05i,0.0031921+0.0016579i,-0.003128+0.002563i,-0.010031+0.0032939i,-0.009114+0.0052836i,-0.0021798+0.0064957i,0.0026314+0.0054473i,0.0019582+0.0038802i,-0.00031742+0.0027556i,-6.5449e-05+0.0010399i,0.00050958+0.00022271i,-0.00028419+0.00060975i,-0.00050937+0.00076733i,-0.00011832+0.00039713i,-0.00069246+0.00013686i,-0.00071897+0.00012783i,0.00060449+0.00041493i,0.0021743+0.0001979i,0.0037576-0.00078446i,0.0043927-0.0020971i,0.0031382-0.0022276i
