-0.0036742+0.00085606i,-0.0032992+0.0010976i,-0.004636+0.0028344i,-0.0046205+0.0031304i,-0.0028941+0.0019882i,-9.6272e-05+0.0011297i,0.001697+0.00084558i,0.0023756+0.00075432i,0.0025057+0.00084739i,0.001493+0.00044287i,0.0013786-0.00020354i,0.0014534+0.00019623i,0.0005795+0.0012413i,0.00040879+0.0015306i,0.00046457+0.00077614i,-9.5435e-05+0.00082564i,6.8375e-05+0.00067374i,-0.00021005+7.775e-05i,-0.0014962+0.00058078i,-0.00085534+0.0011867i,0.00040312+0.0015377i,0.00061624+0.00073531i,0.00039848-0.00030329i
0.0010968+0.00059769i,0.0023643+0.00046416i,0.0038998-5.4411e-05i,0.0036211-0.00098499i,0.0023396-0.0013759i,0.0013992-0.0013921i,0.00083209-0.00018734i,0.00053443+0.00072891i,-0.00026481+0.00052765i,-0.00034199+0.00022759i,0.0003017-0.00042036i,0.00052632-0.00044958i,0.00089143-0.0002722i,0.00048268-0.00016682i,-0.00026739-0.00075514i,-0.00044278-0.00092019i,0.00026705+0.0003057i,0.00035164+0.00077377i,-0.00050856-0.00029097i,-0.00026517-0.00088579i,-0.00032586-0.00022846i,-0.0006603-0.00038917i,-0.00037865-0.0005889i
-0.001005-0.000489i,0.00089114-0.00079872i,0.0021493-0.00053792i,0.0035463-0.0011241i,0.003482-0.0020546i,0.0023979-0.0023415i,0.0015043-0.0016076i,0.00093979-0.00037661i,0.0010996+0.00063052i,0.0012878+0.00048869i,0.00056478+9.4927e-05i,6.001e-05+1.619e-05i,0.00013735+0.0003499i,-0.00024732+0.00056582i,-9.5324e-05+0.00042497i,0.00047776+0.00042464i,0.00096524+0.00015418i,0.00038523+0.000175i,-0.00025944+0.00070188i,-0.00010722+0.00064043i,0.00018582+0.00041667i,8.3281e-05+0.00022912i,-0.00010301-0.00018197i
0.00022256+0.0014846i,0.0014136+0.00067722i,0.0027238+0.0011561i,0.0034036+0.00099752i,0.0040501-0.00064603i,0.002971-0.0023656i,0.0012995-0.002277i,9.1631e-05-0.0012678i,0.00037939-0.00058899i,0.0013133-0.00034363i,0.00094398-0.00048705i,0.00048506-1.3079e-05i,0.00033774+0.00059816i,-0.00019173+0.00031363i,-0.00067146+9.0549e-05i,-0.00017214-0.00020789i,0.00047189+0.00031657i,0.00060553+0.00035385i,0.00044682-0.00028423i,0.00076185+0.00027605i,0.00067362+0.0004648i,0.0001531+0.000236i,0.00064332+0.00051565i
-0.00064217+0.0018497i,0.00024925+0.0024667i,0.0018885+0.00092803i,0.0035056-0.0015076i,0.0039166-0.0028981i,0.0028463-0.002182i,0.0010758-0.00072398i,0.00050792-0.0002641i,0.00063129-0.00014087i,0.0007355-0.00041531i,0.00077542-0.00091414i,0.00070308-0.00084089i,0.00015577-0.00058037i,1.7241e-05-0.00052156i,0.00057636-0.00058219i,0.00084901-0.0003352i,0.00089362-0.00017492i,0.00045248+0.00024926i,6.7358e-05+0.00062198i,-0.0004202+0.00034724i,-0.00035462+0.00012342i,-4.1213e-06+0.0003121i,0.00012228+0.0010462i
-7.9101e-05-0.0019158i,0.00066118-0.0025904i,0.0021227-0.0027675i,0.003616-0.0025503i,0.0030745-0.0027568i,0.0016625-0.002119i,0.00096732-0.00025961i,0.00047066+0.0001713i,2.3449e-05-0.0002636i,-0.00038209-0.00025908i,-0.00077072+6.1364e-05i,-0.00079981+0.00099197i,-0.0003888+0.001311i,0.0001604+0.00066315i,7.7835e-05+0.00025906i,-0.00047811+0.00045358i,-0.00058785+0.0002723i,0.00018282+5.3252e-05i,0.00046731+1.3714e-05i,-0.00010367+2.237e-05i,-0.00014103-0.00015161i,0.00040918-0.00023077i,0.00023807+5.4724e-05i
0.0011449-0.0030981i,0.0020325-0.0014235i,0.0016959-0.002741i,0.00080449-0.0038787i,0.00030538-0.0025025i,0.00046351-0.00030187i,0.00076465+0.00052654i,0.00048742+9.2918e-05i,0.00023028-0.00041213i,-0.00053388-0.00049481i,-0.0013441-2.7153e-05i,-0.0011487+0.00064708i,-0.00060722+0.00028465i,-0.00020187-9.7685e-05i,7.3009e-05+0.00021497i,-1.9131e-05-4.8908e-05i,-0.00013252-0.00049413i,-0.00018564-0.00064798i,-0.00041808-0.0007467i,-0.00065941-0.00059066i,-0.00073732-0.00041386i,-1.5375e-05-0.00041956i,0.00042444-0.00061472i
0.00055072+0.00070959i,0.00062787-0.00059319i,0.0016961-0.00098687i,0.0027972-0.0011089i,0.003061-0.0019691i,0.002379-0.0010111i,0.0018448+0.00043524i,0.001311+0.0003061i,0.00094691-7.1398e-05i,0.00010479+3.447e-05i,-0.0007693+0.00011867i,-0.0014548+8.3053e-05i,-0.00073376-0.00029145i,-0.00011649-0.00037644i,-9.018e-05-0.00019517i,0.00058033+5.2937e-05i,0.00050358-0.00038485i,-1.8633e-05-0.00042856i,-0.00047993+0.00042305i,-0.0010366+0.00076388i,-0.00080901+5.0054e-06i,-0.00018015+0.00017361i,-0.0002936+0.0011174i
0.00054141+0.0045241i,0.0010559+0.0031699i,0.0038432+0.0025948i,0.0053886+0.00050111i,0.0055106-0.0022178i,0.0037606-0.0026919i,0.0024122-0.0010267i,0.0020441+0.00024527i,0.0014313+0.0004769i,0.0010541+9.262e-05i,0.00066996-0.00014404i,0.00097495-0.00056219i,0.00088532-0.00014733i,3.7455e-05+0.00029493i,-3.597e-05-0.00058536i,6.2902e-05-0.0011329i,-0.00041229-0.00082835i,-0.00039755-0.00074318i,0.00033319-0.00011981i,0.0007124+0.00052175i,0.00028921+0.00053192i,-0.00066466+0.00012826i,-0.00071427+0.0001807i
0.0025932+0.0017793i,0.0031548+0.0013022i,0.0045561+0.00046302i,0.0052403-0.0013867i,0.0034469-0.0026799i,0.0012558-0.0022398i,0.00071533-0.0012663i,0.00047136-0.00055752i,0.00028705-0.00064367i,0.0003731-0.00080258i,0.00081763-0.00024443i,0.00045077+0.00046238i,-9.784e-05+0.0010841i,-0.00030926+0.0013397i,-0.00026351+0.000482i,0.00012-0.00014998i,-2.6339e-05+1.1361e-05i,-0.00033475-0.00039384i,5.4569e-05-0.00092667i,2.0996e-05-0.0011999i,-0.00050836-0.0010505i,0.00019257-0.00058439i,0.00095948-1.9417e-05i
-3.6714e-05-0.00040538i,0.00098863-0.0005864i,0.0017178-0.0019245i,0.0019022-0.0033375i,0.0011507-0.003482i,0.0014563-0.0024665i,0.0017491-0.0018808i,0.0011475-0.0015639i,6.016e-05-0.0013536i,0.00033827-0.0013881i,0.00020426-0.0012497i,-0.00065639-0.0005087i,-0.00091505+0.00013391i,-0.00087134-5.9316e-05i,-0.00036688+0.00035986i,-0.00056555+0.00095836i,-0.00042454+0.00024628i,0.0011245-0.00040785i,0.0015108-0.00052519i,0.0011085-0.0010557i,0.00047236-0.0011545i,-0.00021368-0.00017223i,-0.00030015+0.00038498i
-0.00070855-0.0015205i,-0.00071064-0.0010094i,-0.00048351-0.0020396i,-3.0503e-05-0.0021729i,-0.00052472-0.0013363i,-0.001031-0.00026418i,0.00040465+0.00065661i,0.0013026+0.00024416i,0.00051106-0.00084986i,0.00036687-0.00082069i,0.00017185-0.00050649i,-0.00082276-0.00048582i,-0.0014736-0.00029784i,-0.0010999+0.00028053i,-0.00035475+0.0003102i,-0.00018213-0.00032233i,0.00049609-0.00058286i,0.0013283-0.00086058i,0.00082834-0.00097541i,0.00018835-0.00031142i,0.00042797+0.00026638i,0.00077606+5.97e-05i,0.00038117-0.00033886i
-0.0014379-0.0014516i,-0.00079856-0.0014808i,0.00029966-0.0019756i,0.0019456-0.0023463i,0.0022431-0.0028182i,0.0020763-0.0024176i,0.0017622-0.0013462i,0.00060336-0.0010846i,-0.00099744-0.00099535i,-0.0014151-0.00060064i,-0.00072159+1.4707e-05i,-0.00060346-0.00014735i,-0.00067929-0.00024906i,-0.0004437+0.00027514i,-0.00062428-0.00018385i,7.6969e-05-0.00062316i,0.00073896-0.0002877i,0.00050564-0.00019435i,0.00015393-0.00038923i,0.00019781-0.00042782i,-0.00015664-0.00071381i,-7.1842e-05-0.00055746i,0.00021356-4.4102e-06i
0.00029538+0.00047107i,0.0016521+0.001342i,0.0023877+0.00098016i,0.0030367-7.5132e-05i,0.0039839-0.001648i,0.0029386-0.00098865i,0.0013916+0.00032189i,0.00023576+0.00025818i,-0.00079138+0.00060301i,-0.00031168+0.00074436i,1.8684e-05+0.00057582i,-0.001061-0.00036002i,-0.00092915-0.00074405i,-0.00028732+7.169e-05i,-7.8034e-06+0.00035907i,-9.1008e-05+0.00015238i,0.00040942+0.00021871i,0.00023243+0.00019871i,-0.0004643-0.00030544i,-0.00096924-0.00033279i,-0.00044107-4.4322e-05i,0.0001931-0.00081606i,0.00015444-0.00087433i
-0.0012881+0.00026173i,-0.00079053+0.0006215i,0.00029584+0.00081128i,0.0019635+0.00087469i,0.0023495-0.00024229i,0.0018925-0.0011667i,0.0011778-0.00084903i,0.0010076-0.00061065i,0.0011048+0.00037604i,0.00091719+0.0018337i,0.00038486+0.0018088i,-7.3288e-05+0.00070789i,-0.00022744-0.00017729i,-0.00051706-0.00060339i,-0.00018521-0.00078275i,0.00035399-0.00052279i,-0.00016967-0.00080338i,-0.0009429-0.00049521i,-0.00071209+0.00097834i,-0.00021966+0.0005124i,0.00026848-0.0003453i,0.00033661-0.00017435i,-0.00032449-0.00028489i
0.0022432+0.00079895i,0.002518-0.00028343i,0.0028391-0.0018246i,0.0035405-0.0034845i,0.0037894-0.0039289i,0.0029447-0.0029833i,0.0018681-0.0011576i,0.0015278+0.00035778i,0.00095533+0.000664i,0.00053149+0.00083462i,0.0001866+0.00043312i,-0.00068199-0.00059092i,-0.0012895-0.0006135i,-0.0016209+0.00014627i,-0.00090434+0.00060186i,6.7566e-05+0.00030966i,0.00062549-0.00074019i,0.00087237-0.00066261i,0.00057789-4.6272e-05i,0.00030297+0.00011311i,0.00021388-0.00068317i,0.00037175-0.0006751i,0.00032361+8.3616e-05i
-0.00042621+0.0012464i,0.00061865+0.0009372i,0.0017955+0.00097243i,0.0030174-0.0010396i,0.0034168-0.0023521i,0.0026325-0.0020474i,0.0017615-0.0019791i,0.0010845-0.0016226i,0.00019362-0.00072028i,0.00019767-0.00038559i,0.00079257-0.00040673i,0.00038254-0.00026346i,2.5282e-05-0.00013245i,-0.00017802+5.2175e-05i,5.2336e-05+0.00040805i,0.00071663+0.00038744i,0.00080713+4.6555e-05i,0.00098347-0.00012232i,0.0012894-0.00032402i,0.00058829+0.000286i,-3.5298e-05+0.00095588i,-8.8935e-05+0.0010121i,-0.000488+0.00059169i
2.9859e-05-0.0012495i,-0.00032762-0.00072783i,-0.00067446-0.0011089i,-0.00024578-0.0018131i,0.0006538-0.0024469i,0.0011737-0.0010475i,0.0010628+0.00019075i,0.00040255-0.00060361i,9.1e-05-0.0010743i,0.00077954-0.00075075i,0.00097279-0.00088447i,-0.00031818-0.00049864i,-0.0013913-3.1127e-05i,-0.0006511+0.00030404i,0.0010014+0.0006687i,0.0016496+0.00016252i,0.0011731-0.00018859i,0.00073049+0.00022862i,0.00068592+0.00074499i,1.0358e-05+0.00020673i,-0.00073067-0.00047655i,-0.00089551-0.00034701i,-0.00025427-0.00013017i
8.1602e-05-0.00055187i,-0.0011669-0.0010036i,-0.00029258-0.0019424i,0.0018872-0.002284i,0.0030663-0.0026085i,0.0033444-0.001317i,0.0019768+0.00059823i,0.00067561+0.00063068i,-0.00020686+6.6752e-05i,-0.0012052-0.00020808i,-0.0018205-0.00017553i,-0.002191+0.00025769i,-0.0018427-0.00021327i,-0.00068562-0.00051323i,-0.0001236+0.0002265i,-0.00051222+7.6751e-05i,-0.00050643-0.00071563i,-0.00087748-0.00089562i,-0.0010176-0.00024093i,-0.0009022+0.00011464i,-0.00066361-0.00023733i,-0.00046655-0.00063912i,-0.00079008-0.00081886i
0.0004894-0.0019887i,0.0019427-0.0018016i,0.0034684-0.0022845i,0.0036315-0.0027375i,0.0020987-0.0023693i,0.00088711-0.0014185i,0.00062345+0.00010948i,-0.00035057+0.0009561i,-0.0013374+0.00025776i,-0.0013766-0.0001584i,-0.001402+0.00016031i,-0.00072057+0.0001428i,-0.00022043+0.00033831i,-9.6185e-05+0.00027616i,0.00015641+8.9346e-05i,0.00091039-0.00035386i,0.0013189-0.00083306i,0.00072719-0.00038868i,0.00011897+0.00015178i,0.00030836-6.9278e-05i,1.1667e-05-0.00035341i,-0.00056888-0.0001431i,-1.1337e-05-0.00064464i
0.0020634+0.0011561i,0.0023476+0.00074429i,0.0021295-0.00057143i,0.0031633-0.0024316i,0.0030147-0.0020927i,0.0013971-0.00041139i,0.0013733+0.00058424i,0.001518+0.001146i,0.00071533+0.00094605i,0.00056935+0.00010988i,0.00023705-0.00014206i,-0.0010053+0.00042113i,-0.0012637+2.4737e-05i,-0.0012516-0.00029603i,-0.0013058+0.00022815i,-0.0006697-0.00023793i,-0.00038211-4.2888e-05i,5.5136e-05+0.00037303i,0.00040443+0.00035154i,0.00030678+0.00032462i,0.00076485-0.00036313i,0.001526-0.00039225i,0.00087427-9.843e-05i
-0.0001485-0.0030068i,-0.00035247-0.0028897i,0.00037933-0.0034337i,0.0013962-0.0028191i,0.0012541-0.0023053i,0.00066523-0.0017512i,0.00065369-0.00019778i,0.0012921+0.0006292i,0.0012953+0.0014317i,0.00062626+0.002164i,-0.00014271+0.0015337i,-0.0010171+0.00020887i,-0.0016903-0.00032835i,-0.0022335-0.00024264i,-0.0012224-0.00033457i,1.9422e-05-6.185e-05i,-0.00019178+0.00042886i,-0.00013994+0.00062467i,-7.0357e-05-1.5269e-05i,-8.0088e-06-0.00023804i,-2.3218e-05+0.00020508i,-0.0006772+0.00032037i,-0.00072725-0.00019503i
0.00036716-0.0023086i,0.0010449-0.0022752i,0.0021574-0.0020539i,0.0022543-0.0023493i,0.0013437-0.0028594i,0.00051224-0.0016086i,0.00030105-9.249e-05i,0.00083328-3.4519e-06i,0.0015119-6.3119e-05i,0.0012085+0.00043095i,0.00023565+0.00022703i,0.00022082+0.00012671i,0.00010798+0.00035289i,-0.0010272+0.00034687i,-0.0014332+0.00053873i,-0.00054897+0.0014595i,-0.00031518+0.00093961i,-0.0006311-0.00018608i,-0.00081521-0.0011641i,-0.0006687-0.00076666i,-0.00072727+0.00012425i,-0.00017542-0.00064654i,0.00033815-0.0011235i
-0.00049108+0.004714i,0.0012447+0.0033877i,0.0037946+0.0022597i,0.005191+0.001529i,0.0045226-3.2096e-05i,0.0033499-0.00080739i,0.0017457-0.00054266i,0.00083992-0.00068242i,0.0016895-0.00085264i,0.0020917-0.00040945i,0.0022497-0.00031821i,0.0018392-8.7851e-05i,0.00026317+0.00029195i,-8.7884e-05+0.00054827i,0.00058914+0.00094261i,0.00020847+0.00093927i,-0.00050381-0.00031759i,6.3924e-06-0.0008219i,0.00030929-4.5584e-06i,-0.00052602+0.00037617i,-0.00076495+4.0568e-05i,-8.4698e-05-0.00016543i,-7.2526e-06-0.00017048i
-0.0015289+0.00064932i,0.00060942+0.0012649i,0.0014218+0.0021538i,0.0017991+0.0016984i,0.002308-0.00012245i,0.0024528-0.0013488i,0.0023239-0.001165i,0.001763-0.0012152i,0.00065596-0.0013967i,-0.00015871-0.001198i,-0.0005709-0.00031545i,-0.00074226+0.00096195i,-0.0007111+0.0014096i,-0.0007912+0.0011172i,-0.00041302+0.0011744i,6.559e-05+0.00092308i,0.00076047-0.00026724i,0.0011859-0.0006384i,0.00089954+0.00015876i,0.00029477+0.00090146i,-0.00069082+0.00084737i,-0.0009564+9.3518e-05i,-0.00071829-0.00046902i
0.0026403-0.00033569i,0.0034635-0.0010516i,0.0051094-0.0029829i,0.0065337-0.004614i,0.0049385-0.0050675i,0.0015508-0.0030648i,0.00043091-0.00071092i,-0.00014767-0.00046727i,-0.00098448-0.00021411i,-0.0011427-0.00012985i,-0.0013085-0.00073868i,-0.0016452-0.0012032i,-0.00111-0.0016903i,-0.00038728-0.0017329i,-5.0871e-05-0.00095776i,0.00035018+0.00042481i,0.00027248+0.00052304i,-0.00019345-0.00054283i,0.00021469-0.0010328i,0.00036061-0.00066587i,-0.00081203-0.00038152i,-0.00099717-4.5872e-05i,-0.00047714+0.00017349i
-0.00073628-0.00043176i,1.8698e-05+6.7177e-05i,0.0011493-0.00047079i,0.0019869-0.0012032i,0.0019188-0.0017382i,0.0011441-0.0013819i,0.0011731-0.00076805i,0.00044211-0.00073699i,-0.0013221-0.00028902i,-0.0013266+0.00014064i,0.00076167-0.00048883i,0.0014896-0.00048677i,0.00023936-0.00036455i,-0.0004462-0.00020326i,-0.00019797+0.00052602i,-0.00024682+0.00017161i,-0.00014954-0.00014667i,-6.9864e-05-0.00030934i,0.00023835-0.00049598i,0.00031033-0.00027005i,0.00011168-0.00028679i,5.3927e-05-5.7377e-05i,-0.0005325+0.00017492i
-0.00091208+0.0021112i,-0.00080158+0.0031362i,-0.00014715+0.0029406i,0.001304+0.0011977i,0.0021786+0.00051169i,0.0022843+0.00051821i,0.0017152-0.00012852i,0.0006466-6.3048e-05i,0.00058684+0.001134i,0.001665+0.0014884i,0.0014196+0.0012035i,0.00037282+0.00041907i,0.00020418-0.0002635i,-0.00028267-2.172e-05i,-0.00095425+1.2668e-05i,-0.0013306-0.00066808i,-0.00058016-0.00038386i,0.00050613+0.00018429i,0.00042701+7.8575e-05i,-0.00010711+0.00019737i,0.00013675+8.2628e-05i,6.3285e-05+0.00023308i,-0.00033494+0.00093556i
0.00070589+0.0019252i,0.0008636+0.0014658i,0.0030713+0.0010427i,0.0042402+0.00025425i,0.0033286-0.00092621i,0.0024966-0.0009947i,0.0021818+0.00021633i,0.0020173+0.0011914i,0.0016955+0.0016606i,0.0013523+0.00076611i,0.0007715+0.00015197i,-0.00016784+0.00021218i,-0.0013214+0.00023365i,-0.0022693+0.00013408i,-0.0016683+0.00041125i,-9.3502e-05+0.0010221i,0.00046587+0.00054507i,-0.00023161+0.00011452i,-0.00061396+0.00034742i,0.00035444-0.00014752i,0.00054375-0.00041868i,-0.00085788-0.0007312i,-0.0010896-0.00021013i
-0.0023867+0.0025852i,-0.001201+0.0017765i,0.0010097+0.0018576i,0.0031924+0.00031113i,0.0033342-0.0016098i,0.0023562-0.0019535i,0.0015537-0.0011998i,0.00094182-0.00092106i,0.00076872-0.00045336i,0.00078874+8.6737e-05i,0.00057568-0.0007743i,-0.00030616-0.001296i,-0.00051129+0.00039104i,0.0005594+0.0010711i,0.0005016+0.0006347i,-0.00025385+0.00099095i,0.00013408+0.00031998i,0.00015209-2.0827e-05i,-0.00021281+0.00037797i,-0.00032187+0.00023646i,-6.5984e-05+0.00044275i,-0.00012268+0.00081416i,-9.0089e-05+0.00078866i
-0.00090173+0.001555i,-0.00023449+0.00040939i,0.0015276-0.0017346i,0.0023417-0.0030338i,0.0017776-0.0030427i,0.00058861-0.002054i,0.00031511-0.0016286i,0.0010226-0.0022393i,0.00087792-0.0025003i,0.0012905-0.0023805i,0.0014471-0.0015045i,0.00090813-0.00047734i,0.00073981-0.00026332i,5.3414e-05-0.00018106i,-0.00052882+0.00052555i,-0.00015778-5.2684e-06i,-0.00023621-0.00070797i,9.1463e-05+0.00024895i,-5.3338e-07-0.00025506i,-0.00049172-0.0013216i,-0.00061821-0.00089306i,0.00022372-0.00020788i,0.00070499+0.00045413i
-0.00093897+0.00021743i,-0.00030621+0.00069997i,8.7884e-05+0.00065574i,0.0010723-0.0013375i,0.0025504-0.0017572i,0.0019389-0.00050316i,0.0016107-0.00026387i,0.0018079-0.00057978i,0.00096719-0.00017685i,8.1777e-05+0.00048204i,-0.00059722+0.00059097i,-0.00093245+0.0010244i,-0.00056973+0.001494i,-0.0002833+0.00060445i,-0.00021327+0.00031991i,-0.00029157+0.00062968i,-7.6191e-05+0.00019251i,-0.00010057-0.00032254i,-0.00042123-0.00068919i,-0.00010808-0.00075069i,2.6611e-06+0.00019029i,0.00016584+0.00041278i,0.0006323+0.00020996i
-0.00087898-0.0018286i,-0.00035144-0.0030472i,-0.00014603-0.0033111i,0.00051339-0.0028672i,9.4363e-05-0.0026803i,-0.00036967-0.0017969i,4.609e-05-0.00048929i,2.2068e-05+0.00041383i,-0.00085887+0.00069616i,-0.0018981+0.00049268i,-0.0021869-5.652e-05i,-0.002013-0.0006419i,-0.0016019-0.00095834i,-0.00042231-0.00044954i,0.0010662+0.0004763i,0.0012293+0.00080121i,0.00074053+0.00081935i,0.00044226+0.00023936i,-0.00015535-0.0006787i,-0.00024439-0.00096722i,0.00021524-0.00099464i,0.00037592+0.00022386i,0.00084956+0.001767i
-0.00047487+0.0020628i,0.0017851+0.0017016i,0.0031711+0.0016031i,0.0038642+0.00049214i,0.0039857-1.781e-05i,0.0023642-0.00050774i,0.0014174-0.00038276i,0.0010801+0.00010867i,0.00029192+0.00019262i,2.1537e-05+0.00038819i,0.00081656+0.00024589i,0.0013402+4.1863e-05i,0.00092533-0.0012808i,0.00069097-0.0017421i,0.0012609-0.00065967i,0.0011331+0.00018347i,-6.9877e-05+0.00034943i,-0.00018809+7.3339e-05i,7.9866e-06-2.3214e-05i,-0.00041271-0.00025329i,4.8047e-05-0.00042349i,-0.00025829-0.00018253i,-0.00073183-0.00023424i
-3.7006e-05+0.00048623i,0.00044722+0.00030936i,0.0028734-0.0001573i,0.0029472-0.0021076i,0.0018921-0.0029886i,0.0009225-0.0014845i,0.0009033-0.00016855i,0.0019494+6.6457e-05i,0.0022851+0.00033523i,0.0022313+0.00060144i,0.0020711-0.00026177i,0.0012274-0.00042057i,-8.0314e-05+0.00013222i,-0.00090433+0.00018913i,-0.00074119+0.00044367i,-5.5715e-05+0.00012319i,0.00063336-0.00018743i,0.0006634-0.00031642i,8.0539e-05-0.00031631i,-0.00042879+2.8127e-05i,-0.00086694-0.00015741i,-0.00083385-0.00082875i,-0.00020828-0.00067892i
0.0027368+0.0011554i,0.0034395-0.0012649i,0.0042385-0.0034306i,0.0038343-0.0049522i,0.0032032-0.0057848i,0.0022512-0.0035386i,0.00074142-0.00053284i,0.00067542+0.00025069i,0.0011811-0.00018303i,0.00052682-8.5157e-05i,-0.00048122-0.0010141i,-0.00082246-0.0017353i,-0.0011015-0.0012959i,-0.0011509-0.00095144i,-0.00040932-0.00032147i,0.00017183+0.00072184i,0.00019613+0.00040763i,-0.00015859-0.00029156i,0.00010499+0.00061387i,0.0006927+0.00082349i,0.00042691+0.00045161i,0.00019107+0.0005565i,0.00026091-4.0532e-05i
-0.0013345-0.0016978i,-0.00041768-0.0017345i,-0.00022154-0.0018119i,2.5437e-05-0.0013145i,0.00022826-0.00065003i,0.0013051+0.00010795i,0.0014803+0.00069734i,0.0001111-0.00055113i,-0.00027424-0.0019207i,3.297e-05-0.0023267i,-0.00093548-0.0019851i,-0.0017393-0.0015299i,-0.00019594-0.0012142i,0.0013601-0.00086575i,0.00032851-0.00046613i,-3.9489e-05+2.419e-05i,0.0007605+0.00044108i,0.00033751-3.5271e-05i,-0.00010214-0.0012134i,0.00033344-0.00058871i,0.00071471+0.00099578i,0.00050643+0.0011204i,0.00038771+0.00080476i
-0.00072756-0.0013652i,0.00044182-0.00065122i,0.0011834-0.00072328i,0.0019984-0.0020378i,0.0026569-0.0027092i,0.0027633-0.0014517i,0.0017427-0.00035772i,0.00097942-0.0014155i,0.0010186-0.0014256i,0.00050318-0.00036214i,0.00017457+9.6034e-06i,0.00033149+0.00018448i,0.00089154+0.00019077i,0.00058051-6.6815e-05i,0.00048011-0.00028238i,0.00091031-0.00018612i,0.00070929-0.00073977i,0.00018233-0.0011004i,0.00053377-0.00057483i,0.00093919+0.00037157i,0.00027162+0.00022617i,0.00027789-0.00063944i,0.00019561+8.1883e-05i
-0.0017261+0.00049812i,-0.00098768+0.00037832i,0.00029502+0.00084719i,0.001379+0.00051428i,0.0022677-0.00085746i,0.0019731-0.00077002i,0.0010259-6.4685e-05i,0.00061558-5.2025e-05i,-0.00017916+0.00052347i,-0.00046239+0.001297i,-0.00073607+0.0011221i,-0.00059192+0.00072518i,-1.823e-05+5.7652e-05i,0.00062936-0.00028766i,0.00035876-0.00021757i,9.1054e-05-0.00052779i,0.0006976-0.0013821i,0.00027592-0.0014988i,0.00012076-0.0007913i,0.00024987-0.00060079i,0.00017003-0.00079247i,0.00030842+2.1631e-05i,0.00013746-0.00031243i
0.0012451+1.1938e-05i,0.0012978-0.00051825i,0.0024119-0.0014661i,0.0038496-0.0031165i,0.0032055-0.003905i,0.0016386-0.0019951i,0.00098464-0.00011283i,0.00030022+0.00037186i,-0.00058692+0.00015469i,-0.00060419-1.7359e-05i,-0.00029033-0.00012574i,-0.00079714-0.00032697i,-0.0010968-0.00037471i,-0.0007274-0.00041721i,-0.00072555-0.00031998i,-0.00072508-0.00030933i,-0.00074595-0.000211i,-0.00096206-8.9011e-05i,-0.00093729-0.00016132i,-0.00035208-0.00018745i,0.00042939-0.00010868i,0.00027739-0.00015134i,-0.00021828-0.00035166i
0.00074646+0.00098283i,0.001664+0.00061278i,0.0018882+0.0002095i,0.0022602-0.00052098i,0.0020568-0.0011912i,0.0015652-0.00070183i,0.0013718+7.247e-05i,0.0016947-7.3774e-05i,0.0019932-0.00010926i,0.0017096+0.00033548i,0.0013579+0.00019067i,0.00055688-0.00037195i,0.00027903-0.00047106i,0.00038043-0.00053191i,0.00032842-1.686e-05i,0.00025108+3.783e-05i,-0.00024836-0.0002105i,-0.00038546+1.4979e-05i,0.00023946+0.00066648i,0.00052453+0.0010837i,-2.6405e-05+0.00055872i,-0.00071595+8.4826e-05i,-0.00060022+0.00031958i
-0.0034388+4.1138e-05i,-0.002648+0.00080876i,-0.0015202+0.0007751i,0.00015134+0.00069701i,0.0020081+9.1777e-05i,0.0025113-0.00043497i,0.0016552-0.00076123i,0.00056901-0.00044047i,0.000492+0.00070738i,0.00065147+0.00095181i,0.00057997+0.0005606i,0.00057752+0.00038579i,-0.00014901+0.00028078i,-0.00094482+0.00020631i,-0.00096592+0.00081225i,0.00013849+0.001304i,0.001017+0.00093148i,0.00055592-8.3832e-05i,0.00046634-0.00082974i,0.0004809-0.00053138i,0.00047069-0.0002064i,0.00073205-0.00016211i,0.00061455+0.00023375i
0.00043516-9.3894e-05i,0.00094178-0.00014087i,0.0018884-0.0011513i,0.0033873-0.0027094i,0.0036414-0.0026583i,0.0028213-0.0011902i,0.001803-0.00036031i,0.0012392-0.0011356i,9.4676e-05-0.0013466i,-0.0013777-0.0010067i,-0.0019914-0.0010193i,-0.0017197-0.00094798i,-0.00031381+0.00014831i,0.00081272+0.00076966i,0.0009599+0.00043267i,0.0011364-7.6938e-05i,0.0011094-0.00090837i,0.00063278-0.00090057i,-1.0748e-05+2.0483e-05i,-0.0004068+0.00024965i,1.747e-05-0.00025821i,4.8411e-05-0.00030637i,-0.00016747+6.041e-05i
0.0015361-0.00039539i,0.0010098-0.00015909i,0.00074614-0.00049104i,0.0011748-0.00087i,0.0019285-0.0019817i,0.0017738-0.0021412i,0.0014341-0.0014738i,0.001033-0.0020471i,0.00024923-0.0026698i,-0.00068408-0.0024121i,-0.0012637-0.00096942i,-0.0012582+0.00010713i,-0.00086894+0.00040861i,-2.5592e-05+0.0010422i,0.00090358+0.0014879i,0.0010156+0.00077012i,0.00033757-0.00056154i,0.00023605-0.0012885i,0.0002211-0.0009396i,4.6369e-05-0.00086207i,-0.00031684-0.0007032i,-0.0015714-0.00018604i,-0.0011852+0.00020381i
